Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы
A,,,,,"Объекты сельского и лесного хозяйства, охоты, рыболовства и рыбоводства",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,06,,,,
,AA,,,,Объекты животноводства,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,06.01,ВН ПН 10 40,,,
,,AAA,,,Объекты коневодства и верблюдоводства,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,06.01.002,,,,
,,,AAAA,,Здание (сооружение) объектов содержания лошадей (верблюдов),"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма).","Приказ Минстроя России от 10.07.2020 N 374/пр
СП 374.1325800.2018",,"Здание фермы мясного направления табунного содержания лошадей
Сооружение племенной фермы конюшенного содержания лошадей
Здание содержания маток с верблюжатами
Здание конюшни выжеребки кобыл",06.01.002.001,ВН ПН 10 40 15,,,
,,,AAAB,,Здание (сооружение) манежа,Специальное помещение для занятия конным спортом или производственных работ по коневодству в конном заводе. Вся площадь манежа не имеет колонн и перегородок.,СП 106.13330.2012,,Сооружение манежа для тренинга лошадей,06.01.002.099,,,,
,,,AAAC,,Здание (сооружение) вспомогательных объектов коневодства и верблюдоводства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение шорной мастерской
Здание цеха приготовления шубата
Здание кумысного цеха",06.05,,,,
,,AAB,,,Объекты звероводства и кролиководства,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,06.01.003,,,,
,,,AABA,,Здание (сооружение) для содержания зверей (кроликов),"Подразделение сельскохозяйственного предприятия, занимающегося разведением животных и производством продукции животноводства (ферма).","Приказ Минстроя России от 10.07.2020 N 374/пр
СП 374.1325800.2018
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Сооружение нутриеводческой фермы
Сооружение норковой фермы
Здание содержания основного стада нутрий и кроликов",06.01.003.001,"ВН ПН 10 40 35
ВН ПН 10 40 30",,,
,,,AABB,,Здание (сооружение) вспомогательных объектов звероводства и кролиководства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание кормового цеха
Здание цеха убоя зверей
Сооружение шеда содержания основного стада и молодняка",06.05.001,,,,
,,AAC,,,Объекты овцеводства и козоводства,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,,,,,
