Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы
,,ECA,,,Здание (сооружение) объектов накопительной водоочистки,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Прочие сооружения накопительных объектов водоочистки
Сооружение аэротенка-смесителя
Сооружение отстойника горизонтального",,ВН ПН 50 45 20,,,
,,ECB,,,Здание (сооружение) объектов водоочистки,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание очистки сточных вод от гальванических производств
Здание химводоочистки с баковым хозяйством, конденсатоочисткой, очистными сооружениями
Здание цеха адсорбционной доочистки биологически очищенных стоков с регенерацией активизированного угля",,ВН ПН 50 45 20,,,
,,ECC,,,Сооружение объектов канализации сточных вод,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение подземной сети водоснабжения и водоотведения на территории блоков оборотного водоснабжения
Сооружение подземной сети водоснабжения и водоотведения на территориях комплексов очистных сооружений канализации
Сооружение системы канализации производственных и дождевых сточных вод с очистными сооружениями",,,,,
,ED,,,,Объекты приема сточных вод,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,,,,,
,,EDA,,,Заглубленное сооружение объектов для сбора сточных вод,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение дренажной штольни на оползневых склонах
Сооружение конструкции, обеспечивающей устойчивость заглубленных сооружений от всплытия
Сооружение конструкции, обеспечивающей устойчивость ограждающих стен котлованов заглубленных сооружений",,,,,
,,EDB,,,Сооружение объектов сетей канализации,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение внутриплощадочной сети водоотведения
Сооружение внутриплощадочной сети канализации
Сооружение наружной сети бытовой и производственно-дождевой канализации
Сооружение отводящего закрытого канала",,,,,
,,EDC,,,Здание (сооружение) насосных станций сбора сточных вод,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание канализационной насосной станции
Здание насосно-воздуходувной станции
Здание насосной станции перекачки дренажных вод",,ВН ПН 50 45 10,,,
,,EDD,,,Сооружение пруда-накопителя,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение пруда накопления ливневых и сточных вод предприятия
Сооружение пруда-накопителя дождевых стоков",,,,,
,,EDE,,,"Сооружение объектов сетей канализации, сети сбора стоков",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение аварийно-регулирующего резервуара
Сооружение камеры на канализационном коллекторе
Сооружение канализационного коллектора",,,,,
F,,,,,"Объекты сбора, переработки и утилизации отходов, обработка вторичного сырья",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,,,,,
,FA,,,,Объекты обработки и утилизации неопасных отходов,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,,,,,
,,FAA,,,Здание (сооружение) объектов переработки и утилизации промышленных и бытовых отходов,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание мусоросортировочного комплекса
Сооружение для переработки промышленных и бытовых отходов металлургического предприятия",,"ВН ПН 10 20 10
ВН ПН 10 20 20
ВН ПН 10 20 30
ВН ПН 10 20 40",,,
,,FAB,,,Здание (сооружение) объектов утилизации отходов животного происхождения,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха утилизации отходов животного происхождения
Сооружение очистки органических отходов для последующей утилизации",,,,,
,FB,,,,Объекты переработки вторичного сырья,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,,,,,
,,FBA,,,Здание (сооружение) объектов переработки вторичного металлического сырья,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение механического дробления металлических отходов
Сооружение прессования металлических отходов",,,,,
,,FBB,,,Здание (сооружение) объектов переработки вторичного неметаллического сырья,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха переработки макулатуры
Здание цеха переработки отходов и лома пластмасс
Здание цеха переработки отходов и лома стекла",,,,,
,FC,,,,"Объекты сбора, обработки и утилизации опасных отходов",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,,,,,
,,FCA,,,Здание (сооружение) объектов переработки радиоактивных отходов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание переработки твердых радиоактивных отходов
Сооружение переработки жидких радиоактивных отходов с установкой цементации",,,,,
,,FCB,,,Здание (сооружение) объектов хранения отходов атомных электрических станций и опасных отходов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение пункта захоронения спецотходов
Сооружение хранилища жидких и твердых отходов
Сооружение хранилища отработавшего ядерного топлива",,,,,
G,,,,,"Объекты городской среды, охраны природы",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,,,,,
,GA,,,,"Гостиницы, хостелы, мотели",,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,,ВН ПН 20 25,,,
,,GAA,,,Здание гостиницы,"Предприятие, предоставляющее услуги размещения и, в большинстве случаев, услуги питания, имеющее службу приема, а также оборудование для оказания дополнительных услуг.","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Гостиница,,"ВН ПН 20 25 10
ВН ПН 20 25 20",,Определение синтезировано на основе ГОСТ Р 53423-2009 (ИСО 18513:2003) (отменен без замены),
,,GAB,,,Здание мотеля,"Гостиница с автостоянкой, предоставляющая услуги для размещения автомобилистов.","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Мотель,,ВН ПН 20 25 30,,Определение синтезировано на основе ГОСТ Р 53423-2009 (ИСО 18513:2003) (отменен без замены),
,,GAC,,,Здание хостела,"Предприятие, предоставляющее услуги размещения и питания, управление которым осуществляется некоммерческой организацией; проживание - в многоместных номерах, питание - с ограниченным выбором блюд и/или наличие оборудования для самостоятельного приготовления пищи; предоставление дополнительных услуг, включая развлекательные и образовательные программы","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Хостел,,ВН ПН 20 25 50,,Определение синтезировано на основе ГОСТ Р 53423-2009 (ИСО 18513:2003) (отменен без замены),
,GB,,,,Объекты бытового обслуживания,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,,ВН ПН 20 35,,,
,,GBA,,,"Здание бани (душевой, сауны)",,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание бани-душевой
Здание банно-оздоровительного комплекса
Здание банно-саунного комплекса",,"ВН ПН 20 35 10
ВН ПН 20 35 15
ВН ПН 20 35 25",,,
,,GBB,,,Здание (сооружение) объектов похоронного назначения (кладбища),,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание для проведения траурных обрядов, прощания и поминовения
Здание колумбария
Здание крематория
Производственно-бытовое здание похоронного назначения",,"ВН ПН 50 25
ВН ПН 50 25 10
ВН ПН 50 25 20
ВН ПН 50 25 30
ВН ПН 50 25 40
ВН ПН 50 25 50",,,"Ритуальный объект
Крематорий
Колумбарий
Похоронный дом
Бюро похоронного обслуживания
Салон-магазин"
,,GBC,,,"Здание прачечной, химчистки и мелкого ремонта одежды и обуви",,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание комплекса бытового обслуживания
Здание мастерской по стирке и ремонту одежды и обуви
Здание прачечной
Здание химчистки",,"ВН ПН 20 35 20
ВН ПН 20 65 10",,,
,,GBD,,,Здание (сооружение) объектов бытового обслуживания прочего назначения,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание ателье
Здание салона одежды
Здание парикмахерской
Здание салона красоты",,"ВН ПН 20 35 30
ВН ПН 20 35 40
ВН ПН 20 35 45 ",,,
,,GBE,,,Здание предприятия по ремонту бытовой техники,,,,,,ВН ПН 20 65 20,,,
,,GBF,,,Здание общественного туалета,,,,,,ВН ПН 20 70 10,,,
,GC,,,,Объекты жилой застройки,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,,,,,
,,GCA,,,Жилые объекты для постоянного проживания,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,,,,,
,,,GCAA,,Жилой дом блокированной застройки,"Здание, состоящее из двух квартир и более, каждая из которых имеет непосредственно выход на приквартирный участок ","Приказ Минстроя России от 10.07.2020 N 374/пр
СП 54.13330.2022",,Таун-хаус,,,,,
,,,GCAB,,Дом жилой одноквартирный отдельно стоящий,"Дом, состоящий из отдельной квартиры (одного жилого автономного блока), включающий в себя комплекс помещений, предназначенных для индивидуального и/или односемейного заселения жильцов, при их постоянном, длительном или кратковременном проживании (в т.ч. сезонном, отпускном и т.п.)","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
СП 55.13330.2016",,Индивидуальный жилой дом с приусадебным участком,,ВН НН 70 10 10,,,
,,,GCAC,,Многоквартирный жилой дом,"Жилое здание, в котором квартиры имеют общие внеквартирные помещения и инженерные системы","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128 
СП 54.13330.2022",,"Малоэтажный многоквартирный жилой дом
Многоэтажный многоквартирный жилой дом
Среднеэтажный многоквартирный жилой дом",,"ВН НН 80 10 10
ВН НН 80 20 10
ВН НН 80 30 20
ВН НН 80 30 10",,,
,,GCB,,,Инженерные сети населенных пунктов,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,,,,,
,,,GCBA,,Сеть газораспределения СУГ,"Наружный газопровод с техническими устройствами, расположенными на нем, предназначенный для транспортирования паровой фазы СУГ от запорной арматуры, установленной на выходе из редукционной головки резервуарной установки или испарителя, до запорной арматуры включительно, расположенной на границе сети газораспределения и сети газопотребления, в том числе сети газопотребления жилых зданий","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
СП 62.13330.2011",,,,ВН ЛО 10 50 40,,,
,,,GCBB,,Канализационная сеть,"Комплекс технологически связанных между собой инженерных сооружений, предназначенных для транспортировки сточных вод","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
Федеральный закон от 07.12.2011 г. N 416-ФЗ
СП 32.13330.2018
ГОСТ 25150-82",,Канализационная сеть,,ВН ЛО 10 50 20 ,,,
,,,GCBC,,Сеть водоотведения,,Приказ Минстроя России от 10.07.2020 N 374/пр,,Сеть водоотведения,,,,,
,,,GCBD,,Сеть водоснабжения,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Сеть водоснабжения,,ВН ЛО 10 50 10,,,
,,,GCBE,,Сеть связи,"Технологическая система, включающая в себя средства и линии связи и предназначенная для электросвязи или почтовой связи","Приказ Минстроя России от 10.07.2020 N 374/пр
Федеральный закон от 07.07.2003 г. N 126-ФЗ",,Сеть связи,,"ВН ЛО 20 20
ВН ЛО 20 20 10
ВН ЛО 20 20 20",,,
,,,GCBF,,Сеть теплоснабжения,"Трубопровод, соединяющий ЦТП, или теплоисточник, выполняющий функции ЦТП (котельную), с системами отопления, горячего водоснабжения","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Сеть теплоснабжения,,ВН ЛО 10 50 30,,Синтезированное определени,
,,,GCBG,,Сеть электроснабжения,"Комплекс инженерных сооружений, оборудования и аппаратуры, предназначенный для передачи электрической энергии от источников к потребителям","Приказ Минстроя России от 10.07.2020 N 374/пр
СТО НОСТРОЙ 2.33.120-2013",,Сеть электроснабжения,,,,,
,,GCC,,,Специализированные объекты жилого назначения,"Дома-интернаты для инвалидов и престарелых, дома-интернаты для детей-инвалидов, психоневрологические интернаты, пансионаты для людей с нарушением слуха и др., аналогичные по функции, ввиду специфики технологических требований к их проектированию, обслуживания, а также контингента проживающих в указанных учреждениях.","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
СП 137.13330.2012",,"Здание детского дома (дома для детей- сирот и детей, оставшихся без попечения родителей)
Здание дома фонда социального обслуживания инвалидов
Здание общежития для учащихся
Здание психоневрологического интерната",,"ВН НН 60 10 10
ВН НН 60 10 15
ВН НН 60 10 20
ВН НН 60 10 50
ВН НН 60 10 60
ВН НН 60 10 65
ВН НН 60 10 25
ВН НН 60 10 30
ВН НН 60 10 35
ВН НН 60 10 40
ВН НН 60 10 45
ВН НН 60 10 55
ВН НН 60 10 71
ВН НН 60 10 75
ВН НН 60 20 10
ВН НН 60 20 15
ВН НН 60 20 20
ВН НН 60 20 25
ВН НН 60 20 30
ВН НН 60 20 35
ВН НН 60 20 40
ВН НН 60 20 45
ВН НН 60 20 50
ВН НН 60 20 55
ВН НН 60 20 60
ВН НН 60 20 65
ВН НН 60 20 70
ВН НН 60 20 75
ВН НН 60 20 80
ВН НН 60 30 10
ВН НН 60 30
ВН НН 60 30 20
ВН НН 60 40
ВН НН 60 40 10
ВН НН 60 40 20
ВН НН 60 50
ВН НН 60 50 10
ВН НН 60 50 20
",,,"Дом-интернат для престарелых
Психоневрологический интернат, в том числе детский
Специальный жилой дом для одиноких престарелых граждан
Социальный приют для детей и подростков
Специализированный дом ребенка
Детский дом
Социально-реабилитационный центр
Реабилитационный центр
Социально-оздоровительный центр
Геронтопсихиатрический центр
Геронтологический центр
Центр содействия семейному воспитанию, в том числе для детей с особенностями развития
Спальный корпус
Центр социальной (постинтернатной) адаптации"
,GD,,,,Объекты общественного питания,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,,ВН ПН 20 30,,,
,,GDA,,,Здание объектов общественного питания быстрого обслуживания и на вынос,"Имущественный комплекс, используемый юридическим лицом или индивидуальным предпринимателем для оказания услуг общественного питания, в т.ч. изготовления продукции общественного питания, создания условий для потребления и реализации продукции общественного питания и покупных товаров как на месте изготовления, так и вне его по заказам, а также для оказания разнообразных дополнительных услуг","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ГОСТ 30389-2013",,"Здание кафе
Здание кафе самообслуживания
Здание столовой
Здание фабрики-кухни",,"ВН ПН 20 30 15
ВН ПН 20 30 20
ВН ПН 20 30 25
ВН ПН 20 30 30
ВН ПН 20 30 35
ВН ПН 20 30 40
ВН ПН 20 30 45
ВН ПН 20 30 50
ВН ПН 20 30 55",,,
,,GDB,,,Здание объектов общественного питания длительного посещения,"Имущественный комплекс, используемый юридическим лицом или индивидуальным предпринимателем для оказания услуг общественного питания, в т.ч. изготовления продукции общественного питания, создания условий для потребления и реализации продукции общественного питания и покупных товаров как на месте изготовления, так и вне его по заказам, а также для оказания разнообразных дополнительных услуг","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ГОСТ 30389-2013",,"Здание пивного бара (таверны)
Здание ресторана",,"ВН ПН 20 30 10
ВН ПН 20 30 15",,,"Ресторан
Бар"
,GE,,,,Объекты сохранения растительного и животного мира,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,,,,,
,,GEA,,,Объект сохранения животного мира,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание (сооружение) аквариума
Здание (сооружение) вольера
Здание (сооружение) особо охраняемых природных территорий для животных
Здание серпентария",,,,,
,,GEB,,,Объект сохранения природы в естественном состоянии,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание (сооружение) государственного биосферного заповедника
Здание (сооружение) государственного природного заповедника
Здание (сооружение) национального парка",,,,,
,,GEC,,,Объект ухода и содержания животных,,,,,,ВН ПН 20 60,,,
,,,GECA,,Питомник,,,,,,ВН ПН 20 60 10,,,
,,,GECB,,Приют для безнадзорных животных,,,,,,ВН ПН 20 60 20,,,
,,,GECC,,Центр кинологической службы,,,,,,ВН ПН 20 60 30,,,
,,,GECD,,Учебно-дрессировочный центр,,,,,,ВН ПН 20 60 40,,,
,,,GECE,,Зоогостиница,,,,,,ВН ПН 20 60 50,,,
,GF,,,,Почтово-логистические объекты,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,,,,,
,,GFA,,,Здание объектов почтовой связи,"Обособленные подразделения организаций почтовой связи, а также их структурные подразделения","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ГОСТ Р 53801-2010",,"Здание городского (сельского) отделения почтовой связи
Здание районного узла почтовой связи
Здание укрупненного доставочного отделения связи",,"ВН ПН 20 40 10
ВН ПН 20 40 20",,,
,,GFB,,,Здание объектов служб доставки и транспортно-экспедиционных услуг,,Приказ Минстроя России от 10.07.2020 N 374/пр,,Здание службы доставки,,,,,
,GG,,,,Объекты торговли,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,,ВН ПН 20 15,,,
,,GGA,,,Здание специализированных объектов торговли,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание аптеки готовых лекарственных форм
Здание аптеки по производству заказных лекарственных форм
Здание аптеки по торговле ортопедическими изделиями и специализированная аптека",,"ВН ПН 20 15 30
ВН ПН 20 15 40",,,"Аптека
Оптика"
,,GGB,,,Универсальные объекты торговли,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,,,,,
,,,GGBA,,Здание гастронома,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Гастроном,,ВН ПН 20 15 10,,,
,,,GGBB,,Здание гипермаркета,"Магазин самообслуживания с универсальным ассортиментом продовольственных и непродовольственных товаров преимущественно повседневного спроса (торговой площадью от 5000 м, при использовании до 50% от торговой площади под размещение непродовольственных товаров)","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ТСН 31-315-99 г.Москвы (МГСН 4.13-97)",,Гипермаркет,,ВН ПН 20 15 10,,,
,,,GGBC,,Здание рынка,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Городской рынок,,ВН ПН 20 15 20,,,
,,,GGBD,,Здание торгово-административного комплекса,,Приказ Минстроя России от 10.07.2020 N 374/пр,,Торгово-административный комплекс,,,,,
,,,GGBE,,Здание торгово-делового центра,,Приказ Минстроя России от 10.07.2020 N 374/пр,,Торгово-деловой центр,,,,,
,,,GGBF,,Здание торгово-развлекательного комплекса,"Здание или комплекс зданий, помещения которого (которых) предназначены для размещения предприятий торговли, общественного питания, бытового обслуживания населения, реализующих универсальный или специализированный ассортимент товаров и услуг, объектов физкультурно-спортивного назначения, культурно-досуговых учреждений, которые связаны между собой через коммуникационные пространства в виде помещений общего пользования для передвижения покупателей (посетителей), персонала.","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
СП 464.1325800.2019",,Торгово-развлекательный комплекс,,"ВН ПН 20 10 10
ВН ПН 20 10 20",,,
,,,GGBG,,Здание супермаркета,Магазин самообслуживания с универсальным ассортиментом продовольственных товаров и ограниченным ассортиментом непродовольственных товаров повседневного спроса,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ТСН 31-315-99 г.Москвы (МГСН 4.13-97)",По виду ОКС,Супермаркет,,ВН ПН 20 15 10,,,
,,,GGBH,,Здание универмага,Магазин с универсальным ассортиментом непродовольственных товаров и отделом продовольственных товаров,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ТСН 31-315-99 г.Москвы (МГСН 4.13-97)",По виду ОКС,Универмаг,,ВН ПН 20 15 10,,,
,,,GGBJ,,Здание универсама,Магазин самообслуживания с универсальным ассортиментом продовольственных товаров и ограниченным ассортиментом непродовольственных товаров повседневного спроса,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ТСН 31-315-99 г.Москвы (МГСН 4.13-97)",По виду ОКС,Универсам,,ВН ПН 20 15 10,,,
H,,,,,Объекты транспорта,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,,,,,
,HA,,,,Объекты автомобильного транспорта,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,,,,,
,,HAA,,,Сооружение автомобильной дороги в границах населённых пунктов,"Комплекс конструктивных элементов, предназначенных для движения с установленными скоростями, нагрузками и габаритами автомобилей и иных наземных транспортных средств, осуществляющих перевозки пассажиров и (или) грузов, а также участки земель, предоставленные для их размещения, расположенный в границах населенных пунктов","Федеральный закон от 08.11.2007 № 257-ФЗ
ТР ТС 014/2011
Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Дорога местного значения
Магистральная городская дорога
Проезд
Улица местного значения",,ВН ЛО 10 10,,Синтезированное определение,
,,HAB,,,Сооружение автомобильной дороги вне населённых пунктов,"Комплекс конструктивных элементов, предназначенных для движения с установленными скоростями, нагрузками и габаритами автомобилей и иных наземных транспортных средств, осуществляющих перевозки пассажиров и (или) грузов, а также участки земель, предоставленные для их размещения, расположенный вне границ населенных пунктов","Федеральный закон от 08.11.2007 № 257-ФЗ
ТР ТС 014/2011
Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Автомагистраль
Обычная автомобильная дорога
Скоростная дорога",,ВН ЛО 10 10,,Синтезированное определени,
,,HAC,,,Здание (сооружение) автостоянки,"Здание, сооружение (часть здания, сооружения) или специальная открытая площадка, предназначенная только для стоянки (хранения) автомобилей","Приказ Минстроя России от 10.07.2020 N 374/пр
СП 154.13130.2013",,"Здание гаража
Здание автостоянки
Сооружение подземной автостоянки",,"ВН НН 91
ВН НН 91 10
ВН НН 91 20
ВН НН 92
ВН НН 92 10
ВН НН 92 20
ВН НН 92 30

",,,
,,HAD,,,Здание (сооружение) автотранспортного предприятия,"Здание предприятия, обеспечивающего перевозку грузов",Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание автобусного автотранспортного предприятия
Здание автотранспортного предприятия по обслуживанию легковыми автомашинами
Здание грузового автотранспортного предприятия",,"ВН ПН 10 30 10
ВН ПН 10 30 20",,Синтезированное определение,
,,HAE,,,"Здание (сооружение) контрольно-пропускного пункта, терминала автомобильного транспорта","Автотранспортный контрольно-пропускной пункт в местах въезда/выезда автотранспорта с территории контейнерного терминала. Оснащается шлагбаумами, смотровыми площадками, закрытым отапливаемым помещением, устройствами видеонаблюдения, компьютерным терминалом, устройствами сигнализации и связи и т.д.","Приказ Минстроя России от 10.07.2020 N 374/пр
СП 316.1325800.2017",,"Сооружение автотранспортного (совмещенного) контрольно­пропускного пункта
Сооружение грузового автомобильного терминала
Сооружение контрольно-пропускного пункта",,,,,
,,HAF,,,Здание (сооружение) автозаправочной станции,"Имущественный комплекс, предназначенный для заправки транспортных средств нефтепродуктами через топливораздаточные и маслораздаточные колонки, а также для продажи фасованных нефтепродуктов, продовольственных и промышленных товаров, в том числе автомобильных принадлежностей и запасных частей","Приказ Минстроя России от 10.07.2020 N 374/пр
ГОСТ Р 58404-2019",,"Сооружение автомобильной газовой наполнительной компрессорной станции (АГНКС)
Сооружение АЗС для обслуживания легковых автомобилей
Сооружение АЗС общего пользования",,,,,
,,HAG,,,Здание (сооружение) обустройства автомобильных дорог,"Здания и сооружения для обслуживания движения, технических средств и устройств, предназначенных для организации и обеспечения безопасности дорожного движения","Приказ Минстроя России от 10.07.2020 N 374/пр
ГОСТ 33100-2014",,Пункт весового и габаритного контроля транспортных средств,,,,,
,,HAH,,,Здание пассажирского автовокзала (станции),"Объект транспортной инфраструктуры, включающий в себя размещенный на специально отведенной территории комплекс зданий (с залом ожидания вместимостью не менее 75 мест для сидения пассажиров) и сооружений, предназначенных для оказания услуг пассажирам и перевозчикам при осуществлении регулярных перевозок пассажиров и багажа, обеспечивающий возможность отправления более 1000 чел. в сутки.","Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ГОСТ 33062-2014 ",,"Здание автовокзала
Здание автомобильной пассажирской станции",,"ВН ПН 20 55 30
ВН ПН 20 55 60",,,
,,HAJ,,,Здание (сооружение) профилактория (станции технического обслуживания) автомобилей,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание (сооружение) мойки автомобильного транспорта
Здание (сооружение) станции технического обслуживания легковых автомашин
Сооружение постового профилактория технического обслуживания для автобусов
Сооружение постового профилактория технического обслуживания для грузовых автомобилей",,,,,
,,HAK,,,Сооружение инженерной защиты населения и территорий,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Агролесомелиративное сооружение
Сооружение системы водопонижения и водоотведения
Удерживающее сооружение",,,,,
,,HAL,,,Здание (сооружение) автомобильных дорог промышленных предприятий,"Дороги, предназначенные для обеспечения производственной и хозяйственной деятельности предприятия.",СП 37.13330.2012,,,,,,Определение синтезировано,
,,,HALA,,Внутриплощадочные автомобильные дороги,"Дороги, расположенные на территории промышленных площадок заводов, фабрик, нефтяных, газовых и газоконденсатных месторождений, в карьерах, торфяных разработок и т.п. и обеспечивающие транспортирование технологических и хозяйственных грузов и доставку обслуживающего персонала",СП 37.13330.2012,,,,,,,
,,,HALB,,Межплощадочные автомобильные дороги,"Дороги, соединяющие отдельные обособленные производства промышленных предприятий (цехи заводов, месторождения открытых горных разработок с обогатительными и сортировочными фабриками, нефтяных газовых и газоконденсатных месторождений) или промышленных районов, обеспечивающие транспортировку технологических и хозяйственных грузов и доставку обслуживающего персонала",СП 37.13330.2012,,,,,,,
