Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы
,,AAE,,,,,Фундамент стаканного типа,,"ГОСТ 23972-80
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,05.1.05.15,,,,
,,AAF,,,,,Балка фундаментная железобетонная,"Горизонтальный линейный несущий элемент строительных конструкций промышленных и сельскохозяйственных зданий или сооружений, предназначенный для опирания наружных и внутренних стен зданий и передачи нагрузки на фундамент","ГОСТ 28737-2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.05.01,ЭЛ 10 10 35,,,
A,AA,AAG,,,,,Фундамент трансформаторов,,СП 90.13330.2012,,,,,,,
,,AAH,,,,,Фундамент железобетонный сборный под колонны каркаса межвидового применения для многоэтажных зда-ний,,ГОСТ 24476-80,,,,,,,
,,,,,,AAH010,Фундамент тип 1Ф под колонны с поперечным сечением размерами 300 x 300 мм,,ГОСТ 24476-80,,,,,,,
,,,,,,AAH020,Фундамент тип 2Ф под колонны с поперечным сечением размерами 400 x 400 мм,,ГОСТ 24476-80,,,,,,,
,,AAJ,,,,,Фундаменты железобетонные сборные под колонны сельскохозяйственных зданий,,ГОСТ 24022-80,,,,,,,
,,,,,,AAJ010,Фундаменты железобетонные сборные под колонны сельскохозяйственных зданий марка 1Ф9.9-1 ,"Фундамента с размерами подошвы 900 х 900 мм, под стены толщиной до 250 мм
",ГОСТ 24022-80,,,,,,,
,,,,,,AAJ020,Фундаменты железобетонные сборные под колонны сельскохозяйственных зданий марка 1Ф12.9-2,"Фундамента с размерами подошвы 1200 х 900 мм, под стены толщиной более 250 мм",ГОСТ 24022-80,,,23.61.12.112.05.1.05.15-0012,,,,
,,,,,,AAJ030,Фундаменты железобетонные сборные под колонны сельскохозяйственных зданий марка 1Ф12.12-1,"Фундамента с размерами подошвы 1200 х1200 мм, под стены толщиной до 250 мм",ГОСТ 24022-80,,,,,,,
,,,,,,AAJ040,Фундаменты железобетонные сборные под колонны сельскохозяйственных зданий марка 1Ф12.12-2,"Фундамента с размерами подошвы 1200 х 1200 мм, под стены толщиной более 250 мм",ГОСТ 24022-80,,,,,,,
,,,,,,AAJ050,Фундаменты железобетонные сборные под колонны сельскохозяйственных зданий марка 2Ф15.15-2,"Фундамента с размерами подошвы 1500 х 1500 мм, под стены толщиной более 250 мм",ГОСТ 24022-80,,,,,,,
,,,,,,AAJ060,Фундаменты железобетонные сборные под колонны сельскохозяйственных зданий марка 3Ф15.15-1,"Фундамента с размерами подошвы 1500 х 1500 мм, под стены толщиной до 250 мм",ГОСТ 24022-80,,,,,,,
,,,,,,AAJ070,Фундаменты железобетонные сборные под колонны сельскохозяйственных зданий марка 3Ф18.18-2,"Фундамента с размерами подошвы 1800 х 1800 мм, под стены толщиной более 250 мм",ГОСТ 24022-80,,,,,,,
,AB,,,,,,Элементы несущих конструкций зданий и сооружений,,,,,,"ЭЛ 20 20
ЭЛ 20 20 05",,,
,,ABA,,,,,Колонны и опоры,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,"ЭЛ 30 16 40
ЭЛ 30 16 80 15",,,
,,,ABAA,,,,Капитель,"Конструкция каркаса, расположенная вверху колонны и предназначенная для восприятия нагрузки от вышележащего безбалочного перекрытия, включая усилия продавливания","ГОСТ 27108-2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"05.1.03.05
05.3.01.08",ЭЛ 30 16 25,,,
,,,ABAB,,,,Колонна железобетонная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"05.1.03.06
05.1.03.07",,,,
,,,,ABABA,,,Колонна железобетонная для многоэтажных зданий,"Железобетонная колонна сплошного прямоугольного поперечного сечения из тяжелого бетона, предназначенная для каркасов многоэтажных общественных зданий, производственных, административных и бытовых зданий промышленных предприятий",ГОСТ 18979-2014,,,,,,,
,,,,ABABB,,,Колонна железобетонная для одноэтажных зданий предприятий,"Железобетонная колонна сплошного и сквозного (двухветвевая) прямоугольного поперечного сечения из тяжелого бетона, предназначенная для каркасов одноэтажных зданий предприятий всех отраслей промышленности и сельского хозяйства","ГОСТ 25628.1-2016
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ЭЛ 30 16 41,,,
,,,,ABABC,,,Колонна железобетонная бескрановая для одноэтажных зданий предприятий,"Железобетонная колонна из тяжелого бетона сплошного прямоугольного поперечного сечения, предназначенная для каркасов одноэтажных зданий предприятий без мостовых кранов",ГОСТ 25628.2-2016,,,,,,,
,,,,ABABD,,,Колонна железобетонная крановая для одноэтажных зданий предприятий,"Железобетонная колонна из тяжелого бетона, предназначенная для каркасов одноэтажных зданий предприятий с мостовыми опорными кранами грузоподъемностью до 50 т всех отраслей промышленности",ГОСТ 25628.3-2016,,,,ЭЛ 30 16 22,,,
,,,,ABABE,,,Колонна железобетонная под параболические лотки,"Железобетонная колонна, изготовляемая из тяжелого бетона и предназначенная для опирания параболических лотков оросительных систем с расходом воды до 5 м3/с, сооружаемых во всех климатических районах страны с сейсмичностью до 8 баллов включительно",ГОСТ 23899-79,,,,,,,
,,,,,,ABABE020,"Железобетонная стойка-колонна, заделываемая в фундамент стаканного типа",,,,,,,,,
,,,,ABABF,,,Колонна железобетонная сборная для многоэтажных зданий с без балочными перекрытиями,"Вертикальная стержневая конструкция каркаса, предназначенная для восприятия и передачи нагрузки от капители безбалочного перекрытия",ГОСТ 27108-2016,,,,,,,
,,,ABAC,,,,Колонна стальная,," ГОСТ 23118-2019
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"01.7.17.04-0011
59.1.07.02-0067
59.1.07.02-0068
59.1.07.02-0069
59.1.07.02-0070",,,,
,,,ABAD,,,,Опорная плита,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,25.11.23.07.2.03.06-0071,,,,
,,,ABAE,,,,Капитель укороченная,,ГОСТ 27108-2016,,,,,,,
