Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы
,,,AGGB,,,,Ходовые мостики,,,,,,,,,
,,,AGGC,,,,Кровельное ограждение,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 20 20 60,,,
,,,AGGD,,,,Снегозадержатели,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,12.1.01.05-0031,ЭЛ 20 30 44,,,
,AH,,,,,,Погонажные изделия,,,,,,,,,
,,AHA,,,,,Металлопрокат,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"08.3
",,,,
,,,AHAA,,,,Прокат двутавровый,,"ГОСТ Р 57837-2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"08.3.01
",,,,
,,,AHAB,,,,Прокат круглый и квадратный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.3.04.02,,,,
,,,,,,AHAB010,Катанка стальная," Заготовка размером поперечного сечения 5 мм и более, получаемая способом горя-чей пластической деформации на про-волочных или мелкосортно-проволочных прокатных станах и поставляемая в мотках.","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ Р 58765-2019",,,08.3.04.01,,,,
,,,,,,AHAB020,Прокат сортовой стальной горячекатаный квадратный,,"ГОСТ 2591-2006
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,08.3.04.02,,,,
,,,,,,AHAB030,Прокат сортовой стальной горячекатаный круглый,,"ГОСТ 2590-2006
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,08.3.04.02,,,,
,,,,,,AHAB040,Сталь круглая коррозионно-стойкая и жаростойкая,,"ГОСТ 5949-2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,,,,,
,,,AHAC,,,,Прокат листовой плоский,"Полуфабрикат, получаемый способом горячей или холодной прокатки или их сочетанием, или сочетанием прокатки с разными способами дальнейшего формообразования (волочение, гибка).","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ Р 58765-2019",,,"08.3.05
",,,,
,,,,,,AHAC010,Прокат листовой горячекатаный,"Листовой горячекатаный прокат шириной 500 мм и более, изготовляемый в листах толщиной от 0,4 мм до 160,0 мм и рулонах толщиной от 1,2 мм до 25,0 мм","ГОСТ 19903-2015
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,08.3.05.02,,,,
,,,,,,AHAC020,Прокат листовой холоднокатаный,"Листовой холоднокатаный прокат шириной 500 мм и более, изготовляемый в листах толщиной от 0,35 до 5,00 мм, рулонах толщиной от 0,35 до 3,50 мм","ГОСТ 19904-90
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,08.3.05.03,,,,
,,,,,,AHAC030,Прокат тонколистовой холоднокатаный из низкоуглеродистой качественной стали для холодной штамповки,,ГОСТ 9045-93,,,,,,,
,,,,,,AHAC040,Прокат тонколистовой из углеродистой стали качественной и обыкновенного качества общего назначения,,ГОСТ 16523-97,,,,,,,
,,,,,,AHAC050,"Прокат тонколистовой коррозионно-стойкий, жаростойкий и жаропрочный",,"ГОСТ 5582-75
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"08.3.05.04
",,,,
,,,,,,AHAC060,Прокат стальной тонколистовой с полимерным покрытием,,"ГОСТ 34180-2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,08.3.05.01,,,,
,,,,,,AHAC070,Прокат толстолистовой из углеродистой стали обыкновенного качества,,ГОСТ 14637-89,,,,,,,
,,,,,,AHAC080,Прокат толстолистовой и широкополосный из конструкционной качественной стали,,ГОСТ 1577-93,,,,,,,
,,,,,,AHAC090,"Прокат листовой из коррозионно-стойких, жаростойких и жаропрочных сплавов",,ГОСТ 24982-81,,,08.3.05.04,,,,
,,,,,,AHAC100,Прокат из стали повышенной прочности,,ГОСТ 19281-2014    ,,,,,,,
,,,,,,AHAC110,Прокат из легированной конструкционной стали,,"ГОСТ 4543-2016
ГОСТ 1050-2013 ",,,,,,,
,,,,,,AHAC120,Сталь тонколистовая оцинкованная,,"ГОСТ 14918-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,08.3.05.05,,,,
,,,AHAD,,,,Прокат листовой рифленый и волнистый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"08.3.06
",,,,
,,,,,,AHAD010,Прокат рифленый горячекатаный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.3.06.01,,,,
,,,,,,AHAD020,Сталь листовая волнистая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,,,
,,,AHAE,,,,Прокат полосовой,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"08.3.07
",,,,
,,,,,,AHAE010,Прокат горячекатаный полосовой,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.3.07.01,,,,
,,,,,,AHAE020,Прокат горячекатаный широкополосный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.3.07.02,,,,
,,,AHAF,,,,Прокат угловой,,"ГОСТ 8509-93
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"08.3.08
",,,,
,,,,,,AHAF010,Прокат горячекатаный угловой неравнополочный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.3.08.01,,,,
,,,,,,AHAF020,Прокат горячекатаный угловой равнополочный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.3.08.02,,,,
,,,AHAG,,,,Профиль гнутый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"08.3.09
",,,,
,,,,,,AHAG010,Швеллеры стальные гнутые равнопо-лочные,"Стальные гнутые равнополочные швеллеры, изготовляемые на профилегибочных станах из холоднокатаной и горячекатаной рулонной стали обыкновенного качества, углеродистой качественной конструкционной и низколегиро-ванной.",ГОСТ 8278-83,,,,,,,
,,,AHAH,,,,Профиль фасонный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"08.3.10
",,,,
,,,,AHAHA,,,Профиль фасонный горячекатаный для оконных и фонарных переплетов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.3.10.01,,,,
,,,,AHAHB,,,Профиль фасонный горячекатаный для шпунтовых свай,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.3.10.02,,,,
,,,,AHAHC,,,Профиль фасонный горячекатаный шпунтовой плоский,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,,,
,,,AHAJ,,,,Швеллер из горячекатаного проката,,"ГОСТ 8240-97
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,08.3.11.01,,,,
,,,AHAK,,,,Прокат тавровый,,,,,,,,,
,,AHB,,,,,Канат,"Сборная конструкция из проволоки значительной длины, как правило, параллельно ориентированной, сформированной в компактное круглое сечение","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"08.2
",,,,
,,,AHBA,,,,Канат закрытый,,"ГОСТ 18899-73
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"08.2.01
",,,,
,,,AHBB,,,,Канат круглый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"08.2.02
",,,,
,,,AHBC,,,,Канат плоский,,"ГОСТ 3091-80
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"08.2.03
",,,,
,,,AHBD,,,,Канат стальной,,"ГОСТ 18899-73
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"08.2.04
",,,,
,,,,,,AHBD010,Канат для грузо-людского подъема,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,, 08.2.04.01,,,,
,,,,,,AHBD020,Канат для шахтных подъемов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,,,
,,AHC,,,,,Проволока,"Длинномерный сортовой прокат с малым отношением размера поперечного сечения к длине, получаемый способом холодного волочения катанки через обжимной штамп (волоку) или прохож-дением под давлением между валками для уменьшения ее начального попе-речного сечения до требуемых посто-янных по всей длине размеров и по-ставляемый в мотках.","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ Р 58765-2019",,,"10.3.01.06
22.2.02.14",,,,
,,AHD,,,,,Лента металлическая,,,,,,,,,
,,AHE,,,,,Лист металлический,,,,,,,,,
,,AHF,,,,,Пруток или полоса металлическая,,,,,,,,,
,,AHG,,,,,Профили прессованные из алюминиевых сплавов для светопрозрачных ограждающих конструкций,,ГОСТ 22233-2018   ,,,,,,,
,,,AHGA,,,,Профили прессованные из алюминиевых сплавов закаленные и естественно состаренные,,ГОСТ 22233-2018   ,,,,,,,
,,,AHGB,,,,Профили прессованные из алюминиевых сплавов закаленные и искусственно состаренные,,ГОСТ 22233-2018   ,,,,,,,
,,,AHGC,,,,Профили прессованные из алюминиевых сплавов неполностью закаленные и искусственно состаренные,,ГОСТ 22233-2018   ,,,,,,,
,,,AHGD,,,,Профили прессованные из алюминиевых сплавов закаленные и искусственно состаренные повышенной прочности,,ГОСТ 22233-2018   ,,,,,,,
,AJ,,,,,,Арматурные и закладные изделия и их соединения,,"Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ГОСТ Р 57997-2017",,,,"ЭЛ 10 90
ЭЛ 30 90",,,
,,AJA,,,,,Арматурные и закладные изделия,,,,,,,,,
,,,AJAA,,,,Сталь арматурная горячекатаная для железобетонных конструкций,,"ГОСТ 5781-82
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"08.4.03
",,,,
,,,,AJAAB,,,Сталь арматурная гладкая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.4.03.02 ,,,,
,,,,AJAAA,,,Сталь арматурная периодического профиля,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.4.03.03,,,,
,,,AJAB,,,,Проволока стальная,,"ГОСТ 2333-80
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,22.2.02.14,,,,
,,,,AJABA,,,Проволока стальная общего назначения,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ 3282-74 ",,,"08.3.03
",,,,
,,,,AJABB,,,Проволока стальная для армирования железобетонных конструкций,"Проволока, предназначенная для армирования железобетонных конструкций.","ГОСТ 6727-80
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ Р 58765-2019",,,08.4.03.01,,,,
,,,,AJABC,,,Проволока стальная для армирования предварительно-напряженных железобетонных конструкций,"Проволока, предназначенная для армирования предварительно напряженных железобетонных конструкций.",ГОСТ 7348-81,,,,,,,
,,,,AJABD,,,Проволока стальная сварочная,Сварочная проволока для использования в каче-тве плавящегося электрода.,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ 2246-70
ГОСТ Р 58765-2019",,,"01.7.11.04-0021
01.7.11.04-0041
01.7.11.04-0051
01.7.11.04-0052
01.7.11.04-0053
01.7.11.04-0055
01.7.11.04-0056
01.7.11.04-0062
01.7.11.04-0072
01.7.11.04-0073
01.7.11.04-0091
01.7.11.04-0095
01.7.11.04-0101
01.7.11.04-0121
01.7.11.04-0130
01.7.11.04-0131
01.7.11.04-0132
01.7.11.04-0133
01.7.11.04-0134
01.7.11.04-0135
01.7.11.04-0145
01.7.11.04-0146
01.7.11.04-0147
01.7.11.04-0148
01.7.11.04-0149
01.7.11.04-0150
01.7.11.04-0151
01.7.11.04-0152
01.7.11.04-0153
01.7.11.04-0154
01.7.11.04-0155
01.7.11.04-0156
01.7.11.04-0157
01.7.11.04-0158
",,,,
,,,,AJABE,,,Проволока стальная наплавочная,"проволока, предназначенная для наплавки.","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ Р 58765-2019
ГОСТ 10543-98",,,"01.7.11.04-0001
01.7.11.04-0002",,,,
,,,,AJABF,,,Проволока стальная канатная,"проволока, предназначеннуая для изготовления канатов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ 7372-79
ГОСТ Р 58765-2019",,,"08.3.03.05-0001
08.3.03.05-0002
08.3.03.05-0003",,,,
,,,,AJABG,,,Проволока стальная для гибких тяг централизации сигналов и стрелок,,,,,,,,,
,,,,AJABH,,,Проволока стальная пружинная,"Проволока, предназначенная для изготовления пружин.","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ Р 58765-2019
ГОСТ 9389-75",,,,,,,
,,,,AJABJ,,,Проволока стальная для армирования резинотехнических изделий,,,,,,,,,
,,,,AJABK,,,Проволока стальная для пружинных шайб,,,,,,,,,
,,,,AJABL,,,Проволока стальная для производства сеток,,,,,,,,,
,,,,AJABM,,,Проволока стальная для воздушных линий связи,,,,,,,,,
,,,,AJABN,,,Проволока стальная для сердечников проводов,,,,,,,,,
,,,,AJABP,,,Проволока стальная для проводов и кабелей,,,,,,,,,
,,,,AJABQ,,,Проволока стальная для бронирования проводов и кабелей,,,,,,,,,
,,,,AJABR,,,"Проволока стальная для нагревательных элементов, элементов сопротивления",,,,,,,,,
,,,,AJABS,,,Проволока стальная для упругих элементов,,,,,,,,,
,,,,AJABT,,,Проволока стальная с заданным температурным коэффициентом линейного расширения,,,,,,,,,
,,,,AJABU,,,Проволока стальная для записи гармонических сигналов,,,,,,,,,
,,,,AJABV,,,Проволока стальная конструкционная разного назначения,,,,,,,,,
,,,,AJABW,,,"Проволока стальная для крепежных изделий, изготовляемых методам холодного выдавливания и высадки",,,,,,,,,
,,,,AJABX,,,Проволока стальная шплинтовая,,,,,,,,,
,,,,AJABY,,,Проволока стальная увязочная,,,,,,,,,
,,,AJAC,,,,Детали закладные и накладные,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"08.4.01
",ЭЛ 30 80,,,
,,,,AJACA,,,Деталь анкерная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,08.4.01.01,ЭЛ 10 30 50,,,
,,,,AJACB,,,Деталь закладная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,08.4.01.02,ЭЛ 30 80 10,,,
,,,,,,AJACB010,Закладная деталь свай и свай-оболочек,,ГОСТ 19804-2021,,,,,,,
,,,AJAD,,,,Композитная арматура,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,11.3.03.16,СТ 10 19 20,,,
,,,AJAE,,,,Канатная арматура,,,,,,,,,
,,,,AJAEA,,,Канат стальной арматурный семипроволочный стабилизированный,,ГОСТ Р 53772-2010,,,,,,,
,,,,,,AJAEA010,Канат стальной арматурный семипроволочный стабилизированный типа К7 из круглой гладкой проволоки правой свивки,,ГОСТ Р 53772-2010,,,,,,,
,,,,,,AJAEA020,Канат стальной арматурный семипроволочный стабилизированный типа К7 из круглой гладкой проволоки левой свивки,,ГОСТ Р 53772-2010,,,,,,,
,,,,,,AJAEA030,Канат стальной арматурный семипроволочный стабилизированный типа К7Т из проволоки периодического профиля правой свивки,,ГОСТ Р 53772-2010,,,,,,,
,,,,,,AJAEA040,Канат стальной арматурный семипроволочный стабилизированный типа К7Т из проволоки периодического профиля левой свивки,,ГОСТ Р 53772-2010,,,,,,,
,,,,,,AJAEA050,"Канат стальной арматурный семипроволочный стабилизированный типа К7О из круглой гладкой проволоки, пластически обжатый правой свивки",,ГОСТ Р 53772-2010,,,,,,,
,,,,,,AJAEA060,"Канат стальной арматурный семипроволочный стабилизированный типа К7О из круглой гладкой проволоки, пластически обжатый левой свивки",,ГОСТ Р 53772-2010,,,,,,,
,,,,AJAEB,,,Канат стальной арматурный 1x7,,"ГОСТ 13840-68
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,59.1.20.01-0294,,,,
,,,,,,AJAEB010,Канат стальной арматурный 1x7 с отпуском,,ГОСТ 13840-68,,,,,,,
,,,,,,AJAEB020,Канат стальной арматурный 1x7 с отпуском под напряжением (стабилизированный),,ГОСТ 13840-68,,,,,,,
,,AJB,,,,,Сварные арматурные изделия,,"ГОСТ 23279-2012
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,," 08.4.02.05
",,,,
,,,AJBA,,,,Сетки арматурные сварные для железобетонных конструкций и изделий,,"ГОСТ 23279-2012
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,, 08.4.02.05,ЭЛ 10 90 20,,,
,,,AJBB,,,,Арматурные каркасы,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ЭЛ 30 16 30,,,
,,,,AJBBA,,,Пространственный сварной каркас,,,,,,,,,
,,,,AJBBB,,,Плоский сварной каркас,,,,,,,,,
,,,AJBC,,,,Сварные закладные изделия,,"Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ГОСТ Р   57997-2017",,,,ЭЛ 30 80 10,,,
,,,,AJBCA,,,Сварное закладное изделие открытое,,,,,,,,,
,,,,AJBCB,,,Сварное закладное изделие закрытое,,,,,,,,,
,,,AJBD,,,,Сетка композитная полимерная для армирования кирпичной кладки,"Сетка, образуемая путем крестообразных соединений стержней из полимерного композита, расположенных в двух взаимно перпендикулярных направлениях ",ГОСТ Р 58964-2020,,,,,,,
,AK,,,,,,Изделия для крепления и усиления конструкций,,,,,,,,,
,,AKA,,,,,Крепеж,Деталь для присоединения одного элемента к другому,ГОСТ Р ИСО 6707-1-2020,,,,,,,
,,,AKAA,,,,Детали фасонные к листам хризотилцементным,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.1.01.01,,,,
,,,AKAB,,,,Материалы и изделия крепежные и монтажные линейных сооружений,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,22.2.02,,,,
,,,,AKABA,,,Гаситель вибрации,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,22.2.02.01,,,,
,,,,AKABB,,,Гильза,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"22.2.02.02
",,,,
,,,,AKABC,,,Деталь крепления,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,22.2.02.03,,,,
,,,,AKABD,,,Звено промежуточное,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,,,
,,,,AKABE,,,Кольцо,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,22.2.02.05,,,,
,,,,AKABF,,,Консоль,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,22.2.02.06,,,,
,,,,AKABG,,,Кронштейн,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,22.2.02.08,ЭЛ 40 45 10 10,,,
,,,,AKABH,,,Крюк,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,22.2.02.09,,,,
,,,,AKABJ,,,Люк,"Проем, обеспечивающий ограниченный доступ","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,22.2.02.10,ЭЛ 30 18 50,,,
,,,,AKABK,,,Опора промежуточная в болотистом грунте,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,,,
,,,,AKABL,,,Оттяжка мачт и опор,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,,,
,,,,AKABM,,,Скрепа,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,22.2.02.15,,,,
,,,,AKABN,,,Стойка для линий сети проводного вещания,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ЭЛ 40 45 10 50,,,
,,,,AKABP,,,Стойка телефонная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,22.2.02.17,,,,
,,,,AKABQ,,,Траверса,"Балка, предназначенная для распределения сосредоточенных нагрузок на опоры","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,22.2.02.18,,,,
,,,,AKABR,,,Устройство заземляющее,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,22.2.02.19,,,,
,,,,AKABS,,,Хомут,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,22.2.02.20,ЭЛ 40 45 10 60,,,
,,,,AKABT,,,Штырь,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,22.2.02.21,,,,
,,,,AKABU,,,Элемент соединительный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,22.2.02.22,,,,
,,,,AKABV,,,Устройство защиты птиц на ВЛ,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,22.2.02.24,,,,
A,AK,,,AKABW,,,Кляммер,,"СП 43.13330.2012
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"07.2.06.01-0001
08.1.02.25-0041
08.1.02.25-0061
08.1.02.25-0062
",,,,
,,,AKAC,,,,Закладные изделия,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,ЭЛ 30 80,,,
,,,AKAD,,,,Метизы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"01.7.15
22.2.02.11",,,,
,,,,AKADA,,,Анкер,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.15.01,,,,
,,,,AKADB,,,Болт,Крепеж в форме металлического стержня со спиральной резьбой на одном конце,"ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,01.7.15.02,,,,
,,,,AKADC,,,Болт с гайками и шайбами,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.15.03,,,,
,,,,AKADD,,,Винт,"Крепёжная деталь, представляющая собой обычно металлический цилиндрический стержень с головкой со шлицем под отвёртку и резьбовым концом, завинчиваемым в соответствующее резьбовое отверстие, служит для разъёмного соединения различных деталей","Большая политехническая энциклопедия. - М.: Мир и образование. Рязанцев В. Д.. 2011
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,01.7.15.04,,,,
,,,,AKADE,,,Гайка,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.15.05,,,,
,,,,AKADF,,,Гвоздь,Прямолинейный тонкий металлический крепеж с острым концом и шляпкой,"ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,01.7.15.06,,,,
,,,,AKADG,,,Дюбель,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.15.07,,,,
,,,,AKADH,,,Заклепка,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.15.08,,,,
,,,,AKADJ,,,Крепеж георешеток,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.15.09,,,,
,,,,AKADK,,,Скоба,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.15.10,,,,
,,,,AKADL,,,Шайба,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.15.11,,,,
,,,,AKADM,,,Шпилька,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.15.12,,,,
,,,,AKADN,,,Шплинт,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.15.13,,,,
,,,,AKADP,,,Шуруп,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.15.14,,,,
,,,AKAE,,,,Штифты цилиндрические,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,08.1.02.27,,,,
,,,AKAF,,,,Кронштейн базовый,"Вид кронштейна, на котором закрепляют одну или несколько болтовых опор с обеспечением их подвижного или неподвижного положения","ГОСТ 33079-2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ЭЛ 40 45 10 10,,,
,,,AKAG,,,,Болтовая опора,"Элемент точечного крепления светопрозрачного заполнения, устанавливаемый в подготовленное отверстие в стекле или стеклопакете и обеспечивающий шарнирное или неподвижное положение точки крепления","ГОСТ 33079-2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ЭЛ 40 45 10 20,,,
,,,AKAH,,,,Зажим,,"ГОСТ 33079-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,25.2.01.06,,,,
,,,AKAJ,,,,Прижимная планка,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,,,
,,,AKAK,,,,Фурнитура для пластиковых плинтусов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,11.3.03.14,,,,
,,,AKAL,,,,"Связевой элемент, укладываемый в горизонтальные швы кладки",,,,,,,,,
,,,,,,AKAL010,"Деталь из проволоки, укладываемая в горизонтальные швы кладки",,,,,,,,,
,,,,,,AKAL020,Штукатурная сетка,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"59.1.11.03-1075
59.1.11.03-1076",,,,
,,,AKAM,,,,Связево-монтажный элемент,,,,,,,,,
,,,,,,AKAM020,Стальная перфорированная лента,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,07.2.06.04-0042,,,,
,,AKB,,,,,Монтажные изделия,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,20.2.08,,,,
,,,AKBA,,,,Шнур,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,01.7.07.26,,,,
,,,AKBB,,,,Лента,,,,,,,,,
