Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Примечания
,,ACE,,,Кран на автомобильном ходу,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.05.05,
,,ACF,,,Кран на гусеничном ходу,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.05.06,
,,ACG,,,Кран на железнодорожном ходу,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.05.07,
,,ACH,,,Кран на пневмоколесном ходу,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.05.08,
,,ACJ,,,Кран на специальном шасси автомобильного типа,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.05.09,
,,ACK,,,Кран портальные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.05.11,
,,ACL,,,Кран стрелового типа,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.05.12,
,,ACM,,,Кран-манипулятор,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.05.13,
,,ACN,,,Кран-укосин,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.22.14.91.05.14-001
28.22.14.91.05.14-512
28.22.14.91.05.14-514",
,,ACP,,,Кран монтажный специальный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.22.14.91.05.14-021
28.22.14.91.05.14-022",
,,ACQ,,,Кран на тракторе,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.22.14.91.05.14-023
28.22.14.91.05.14-024",
,,ACR,,,Кран переносной,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.22.14.91.05.14-025,
,,ACS,,,Кран специальный строительный для возведения гиперболической оболочки градирни,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.22.14.91.05.14-026,
,AD,,,,"Машины и механизмы подъемно-транспортные, кроме кранов","Машины (устройства), предназначенные для перемещения грузов и людей в вертикальной, горизонтальной и наклонной плоскостях на относительно небольшие расстояния в пределах заводов, строительных площадок, портов, складов и т.п.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),Характер перемещения груза,,91.06,Определение синтезировано
,,ADA,,,Домкрат,Переставной механизм для подъема конструкций на небольшую высоту при воздействии на конструкцию снизу,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.06.01,ГОСТ 33650-2015
,,ADB,,,Конвейер ленточный,"Конвейер, грузонесущим и тяговым элементом которого является замкнутая лента",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.06.02,ГОСТ 18501-73 (СТ СЭВ 3512-81)
,,ADC,,,Лебедка,"Механизм, тяговое усилие которого передается посредством гибкого элемента (каната, цепи) от приводного барабана",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.06.03,ГОСТ 27555-87 
,,ADD,,,Погрузчик,"Машина, оборудованная рабочими органами для погрузки, разгрузки и штабелирования грузов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.06.05,ГОСТ 18501-73 (СТ СЭВ 3512-81)
,,ADE,,,Подъемник,"Механизм, предназначенный для вертикального перемещения грузонесущих устройств",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.06.06,СТО НОСТРОЙ 2.23.134-2013
,,ADF,,,Таль,"Компактная машина циклического действия для подъема и опускания груза, подвешенного на грузозахватном органе",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.06.07,ГОСТ 18501-73 (СТ СЭВ 3512-81)
,,ADG,,,Тельфер,Подвесное грузоподъемное устройство (таль) с электрическим приводом,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.06.08,Определение синтезировано
,,ADH,,,Вышка телескопическая,"Устройство для подъёма и перемещения рабочих с инструментом и материалами и используемый при монтаже и обслуживании линий электропередач, линий связи и контактных сетей, ремонте и обслуживании зданий и сооружений, обслуживании средств наружной рекламы, уходе за городскими зелёными насаждениями и т. п",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.22.18.91.06.09-001,Определение синтезировано
,,ADJ,,,Люлька самоподъемная,Оборудование для работ на высоте,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.22.18.91.06.09-021
28.22.18.91.06.09-022",Определение синтезировано
,,ADK,,,Машина для выдачи пучка арматуры,"Машина, применяемая при производстве железобетонных изделий, предназначенная для изготовления и монтажа элементов армирования",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.22.18.91.06.09-041,Определение синтезировано
,,ADL,,,Подмости самоходные,"Специальное сооружение, которое служит опорой во время работы",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.22.18.91.06.09-061,Определение синтезировано
,,ADM,,,Постамент с кантователями,"Механизм, производящий перекладку или передачу различных объектов с одного поста или обрабатывающего устройства на другое, с обязательным изменением пространственной ориентации объекта (переворотом, простым или двухосным поворотом), установленный на постамент",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.06.09-071,Определение синтезировано
,,ADN,,,Опалубка скользящая,"Опалубка, конструкция которой перемещается вертикально домкратами по мере бетонирования монолитной конструкции и которая состоит из щитов, домкратных рам, домкратных стержней, подъемных механизмов (домкратов, насосных или других подъемных станций) и технологических элементов (рабочий пол, подмости).",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.22.18.91.06.09-091,ГОСТ 34329-2017
,,ADP,,,Стрела монтажная А-образные для подъема опор ВЛ,"Конструкция, использующаяся для подъема и установки собранных опор ЛЭП из горизонтального положения в вертикальное путем поворота вокруг шарнира монтажной стрелы, соединенной с монтируемыми опорами",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.22.11.91.06.09-101,Определение синтезировано
,,ADQ,,,Транспортное устройство с кантователями,"Механизм, производящий перекладку или передачу различных объектов с одного поста или обрабатывающего устройства на другое, с обязательным изменением пространственной ориентации объекта (переворотом, простым или двухосным поворотом), установленный на транспортное средство",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.06.09-111,Определение синтезировано
,,ADR,,,Вышка (подмости) для внутренних работ,Приспособление для выполнения работ на высоте,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.22.18.91.06.09-500,Определение синтезировано
,,ADS,,,Вышка телескопическая на автомобиле,Приспособление для выполнения работ на высоте,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.22.18.91.06.09-502,Определение синтезировано
,,ADT,,,Конвейер,Машина для непрерывного транспортирования грузов,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.06.02,ГОСТ 18501-73 (СТ СЭВ 3512-81)
,,ADU,,,Леса инвентарные,"Многоярусное средство подмащивания, предназначенное для организации рабочих мест на разных горизонтах.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.22.18.91.06.09-506
28.22.18.91.06.09-508 28.22.18.91.06.09-510",ГОСТ Р 58752-2019
,,ADV,,,Мотолебедка,Устройство для перемещения грузов,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.22.18.91.06.09-582
28.22.12.91.06.03-091",Определение синтезировано
,,ADW,,,Натяжная машина для протяжки троса,Машина для протяжки троса,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.22.18.91.06.09-584,Определение синтезировано
,,ADX,,,Рольганги приводные,"Конвейер, роликами которого, закреплёнными на небольшом расстоянии друг от друга, перемещаются грузы (штучные или в таре)",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.22.18.91.06.09-674
28.22.18.91.06.09-676
28.22.17.91.21.22-351",Определение синтезировано
,,ADY,,,Тренога перегрузочная,"Устройство для подъема, удержания, и опускания груза выше или ниже плоскости основания треноги при строительно-монтажных, ремонтных и погрузочно-разгрузочных работах",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.22.18.91.06.09-682,Определение синтезировано
,AE,,,,Машины для дорожного и аэродромного строительства,"Группа машин предназначенных для проведения строительных работ, а также для эксплуатации и содержания дорог и аэродромов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),Назначение (функция) машины,,91.08,Определение синтезировано
,,AEA,,,Асфальтоукладчик,"Самоходная дорожная машина на колесном или гусеничном ходу, предназначенная для приемки асфальтобетонной смеси из транспортных средств, распределения смеси по ширине укладываемой полосы равномерным слоем заданной толщины на подготовленное и уплотненное основание, разравнивания и предварительного уплотнения уложенного слоя, отделки поверхности покрытия.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.08.01,СТО НОСТРОЙ 2.25.47-2011 
,,AEB,,,Гудронатор,"Машина, используемая для автоматического или ручного распределения пленки из вяжущих материалов (битума / битумной эмульсии) на поверхность дороги с заданной установленной скоростью",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.08.02,ГОСТ EN 13020-2012
,,AEC,,,Каток,"Самоходная или прицепная машина с уплотняющим устройством, состоящим из одного или более металлических цилиндрических вальцов (барабанов) или резиновых шин, предназначенная для уплотнения материалов, например щебня, грунта, асфальта или гравия, путем укатывания или вибрационного воздействия уплотняющего устройства.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.08.03,ГОСТ Р ИСО 6165-2010 
,,AED,,,Машина для разогрева битума и асфальтобетона,"Машины, предназначенные для разогрева битума и асфальтобетона",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.08.04,Определение синтезировано
,,,,AED010,"Битумная установка с 4-мя битумными котлами на 50 м3, резервуаром для хранения битума на 1000 м3 и газовым подогревом масляного теплоносителя",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.40.91.08.04-001,
,,,,AED020,Котел битумный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"25.30.11.91.08.04-021
25.30.11.91.08.04-022
25.30.11.91.08.04-023
25.30.11.91.08.04-024",
,,,,AED030,Котел битумоварочный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"25.30.11.91.08.04-510
25.30.11.91.08.04-512
25.30.11.91.08.04-514",
,,,,AED040,Котел варочный передвижной для приготовления термопластика,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,25.30.11.91.08.04-516,
,,,,AED050,Машина для разогрева асфальтобетонных покрытий,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.04-031,
,,,,AED060,Машина плавильно-заливочная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.92.30.91.08.04-033
28.92.30.91.08.04-032
28.92.30.91.08.04-034",
,,,,AED070,"Нагреватель асфальтобетонного покрытия, предварительный",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.04-041,
,,,,AED080,Разогреватель асфальтобетонных покрытий,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.04-051,
,,,,AED090,Инфракрасная линейка-разогреватель,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.92.30.91.08.11-510,
