Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Примечания
,,AFC,,,Вагон,"Несамоходное (как правило) транспортное средство, предназначенное для движения по рельсам или иным путям (монорельсу, маглев-колее и т. д.) и (как правило) эксплуатируемое с локомотивом (исключением являются вагоны-секции пассажирских электро- и дизельных поездов и автомотрисы (в том числе электромотрисы)",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.09.03,Определение синтезировано
,,AFD,,,Платформа железнодорожная ,"Грузовой вагон открытого типа, предназначенный для перевозки длинномерных, штучных грузов, контейнеров и оборудования, не требующих защиты от атмосферных воздействий",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.09.03,Определение синтезировано
,,AFE,,,Дрезина,"Специальный самоходный железнодорожный подвижной состав, передвигающийся по рельсам механически с использованием ручного привода и служащий для обслуживания инфраструктуры железнодорожного транспорта",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.09.04,ГОСТ 34056-2017
,,AFF,,,Локомотив железнодорожный,"Самоходный рельсовый экипаж, предназначенный для тяги несамоходных вагонов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.09.05,Определение синтезировано
,,AFG,,,Машина для монтажа контактной сети,Машина для монтажа контактной сети на железной дороге,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.09.06,Определение синтезировано
,,AFH,,,Машина для очистки и дозировки балласта,Машина для очистки и дозировки балласта на железном пути,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,"машина для балластировки железнодорожного пути
машина для вырезки балласта самоходные
машина роторная для вырезки балласта по торцам шпал несамоходная
машина щебнеочистительные
планировщик балласта
вагон хоппер-дозатор
машина путевая для переработки (рециклинга) щебня для оздоровления основной площадки земляного полотна
машина путевая универсальные для выправки
 планировки и стабилизации пути
",91.09.07,Определение синтезировано
,,AFJ,,,Машина для погрузки и транспортирования звеньев путей и материалов,Машина для погрузки и транспортирования звеньев путей и материалов,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,"состав для перевозки блоков стрелочных переводов
спецсостав для перевозки рельсовых плетей
",91.09.08,Определение синтезировано
,,AFK,,,"Машина для сборки, укладки и разборки путевой решетки","Машина для сборки, укладки и разборки путевой решетки",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,"кран козловой двухконсольный для работы на звеносборочных базах 
кран укладочный для рельсовых звеньев 25 м на деревянных шпалах
краны укладочный для рельсовых звеньев 25 м на железобетонных шпалах
линия поточная для сборки звеньев с железобетонными шпалами (цеховое оборудование)
линия поточная полуавтоматические для сборки звеньев с деревянными шпалами (цеховое оборудование)
линия технологическая для сборки звеньев с железобетонными шпалами (цеховое оборудование)
стенд звеносборочный (цеховое оборудование)
",91.09.09,Определение синтезировано
,,AFL,,,"Машина для уплотнения, выправки, подбивки и рихтовки путей","Машина для уплотнения, выправки, подбивки и рихтовки путей",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,"машина выправочно-подбивочно-отделочная
машина выправочно-подбивочно-рихтовочная для стрелочных переводов
машина для подбивки шпал с пневматическими подбойками
машина путерихтовочная
поезд рельсошлифовальный
путеподъемник самоходный
рихтовщик гидравлический
стабилизатор пути динамический
шпалоподбойка
шпалоподбойка при работе от передвижной электростанции
",91.09.10,Определение синтезировано
,,AFM,,,Машина для устройства фундаментов опор контактной сети,Машина для устройства фундаментов опор контактной сети,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,"агрегат для вибропогружения свайных фундаментов опор контактной сети (без мотовоза-электростанции)
комплекс машин при работе ""в окно"" для устройства свайных фундаментов опор контактной сети методом вибропогружения
машина для рытья котлованов под опоры контактной сети при работе ""с поля""
машина для рытья котлованов под опоры контактной сети при работе ""с пути""
",91.09.11,Определение синтезировано
,,AFN,,,Машина и инструмент для работы с отдельными элементами верхнего строения пути,Машина и инструмент для работы с отдельными элементами верхнего строения пути,Приказ Минстроя России от 02.03.2017 N 597/пр,,"гайковерт путевой моторный
держатель колеи специальный
домкрат путевой
ключ путевой универсальный
ключ электрический при работе от передвижной электростанции
костылезабивщик
пресс однокривошипные горизонтально-правильный для правки рельсов
разгонщик гидравлический
система контрольно-измерительная
система путевая регулировочная
станок рельсорезный
станок рельсосверлильный
станок сверлильно-шлифовальный (сверлошлифовалка)
струга путевая
траверса для укладки полушпал на железных дорогах
устройство путевое подъемное
комплекс рельсосварочные мобильные на шасси автомобиля
 мощность генераторной установки до 430 кВт
машина рельсошлифовальная
 мощность до 2 кВт
пресс испытательный
 усилие 500 тг
рельсогиб
 усилие гиба до 36 т
комплекс передвижной механизированный (ПМК) сборный секционный для перемещения оборудования
 необходимого для устройства буронабивных свай
 двухплатформенный
 с лебедкой перемещения тяговым усилием в 3
2 т
",91.09.12,Определение синтезировано
,,AFP,,,Машина энергосиловая и сварочная путевая,Машина энергосиловая и сварочная путевая,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,"комплекс мобильный рельсосварочный
машина путевая рельсосварочная
машина электросварочная автоматическая для контактной сварки рельсов подвесная
установка высоковольтная электроимпульсная для создания электрических разрядов в грунте при производстве свай по разрядно-импульсной технологии
 наибольшее значение запасаемой энергии 40 кДж
 значение емкости накопителя энергии 1000 мкФ
 диапазон регулирования выходного напряжения 7-9 кВ
система передвижная рельсосварочная для контактной стыковой сварки рельсов типа Р65 методом оплавления
 с прессом максимальным усилием не менее 320 т
 комплексом нагревательным для термообработки сварных стыков рельс температура нагрева 850 - 950 °C
 в контейнерном исполнении на базе фитинговой платформы
мотовоз-электростанция
мотовоз широкой колеи
 мощность до 198
5 (270) кВт (л.с.)
",91.09.13,Определение синтезировано
,,AFQ,,,Вышка съемная монтажная,Средство для технического обслуживания и ремонта контактной сети на железнодорожном транспорте,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,30.20.31.91.09.14-001,Определение синтезировано
,,AFR,,,Робот гидродемонтажный для разборки бетонных и железобетонных поверхностей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,30.20.31.91.09.14-010,
,,AFS,,,Машина вакуумная путевая,"Машина путевая вакуумная уборочная предназначеная для проведения на железнодорожных путях местной выборки загрязненного щебня без снятия рельсошпальной решетки; очистки стрелок, переездов, тоннелей, мостов, водных пропусков и дренажных каналов железнодорожного пути, отрытия электрических и сигнальных кабелей, рытье траншей и ям, разгрузки сыпучих материалов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,30.20.32.91.09.14-021,Определение синтезировано
,,AFT,,,Машина кюветоочистительная,"Путевая машина, применяемая на железных дорогах для нарезки и очистки кюветов при текущем содержании железнодорожных путей",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,30.20.31.91.09.14-031,Определение синтезировано
,,AFU,,,Модуль тягово-энергетический для несамоходных машин,Тягово-энергетический модуль (установка) (ТЭМ) для несамоходных путевых машин предназначеная для транспортирования и энергообеспечения щебнеочистительных машин в комплексе с составом для засорителей,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,29.20.21.91.09.14-041,Определение синтезировано
,,AFV,,,Прибор для регулировки стыков и зазоров железнодорожных путей,Путевой инструмент для регулировки (разгонки) зазоров в рельсовых стыках,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"30.20.31.91.09.14-061
30.20.31.91.09.14-062",Определение синтезировано
,,AFW,,,Состав для засорителей,"Состав для вывозки засорителей , состоящий из шести универсальных полувагонов и одного концевого, предназначен для механизированного наполнения при производстве путевых работ, транспортирования к месту выгрузки засорителей, загрязненного щебня, сыпучих материалов в отведенных местах",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,30.20.31.91.09.14-071,Определение синтезировано
,,AFX,,,Оборудование для срезки грата,Оборудование для срезки грата,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,30.20.31.91.09.14-500,Определение синтезировано
,,AFY,,,Экскаватор-погрузчик на комбинированном ходу при устройстве верхнего строения пути,Экскаватор-погрузчик на комбинированном ходу при устройстве верхнего строения пути,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,30.20.31.91.09.14-502,Определение синтезировано
,AG,,,,Машины для строительства магистральных трубопроводов,"Машины, используемые при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),Назначение (функция) машины,,91.10,Определение синтезировано
,,AGA,,,Агрегат наполнительно-опрессовочный,"Агрегат наполнительно-опрессовочный, используемый при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.10.01,Определение синтезировано
,,AGB,,,Битумозаправщик,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.10.03,Определение синтезировано
,,AGC,,,"Машина для очистки, грунтовки и изоляции труб","Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.10.04,Определение синтезировано
,,,,AGC010,Машина прочистная секционного типа для труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.04-001,Определение синтезировано
,,,,AGC020,Машина для очистки и грунтовки труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.99.39.91.10.04-011
28.99.39.91.10.04-012
28.99.39.91.10.04-013",Определение синтезировано
,,,,AGC030,Машина для очистки и изоляции полимерными лентами труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.99.39.91.10.04-015
28.99.39.91.10.04-016
28.99.39.91.10.04-017
28.99.39.91.10.04-018
28.99.39.91.10.04-019",Определение синтезировано
,,,,AGC040,Машина изоляционная для труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.04-020 28.99.39.91.10.04-021 28.99.39.91.10.04-023 28.99.39.91.10.04-024,Определение синтезировано
,,,,AGC050,"Машина навивочная для навивки профиля из НПВХ сложной конфигурации шириной от 67 до 80 мм, армированного сталью, с двойным механическим замком с уплотнением, в трубу методом спиральной навивки","Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.04-025,Определение синтезировано
,,,,AGC060,Установка для очистки трубопроводов,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.04-031,Определение синтезировано
,,,,AGC070,Установка для химической очистки маслопроводов,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.04-041,Определение синтезировано
,,,,AGC080,Установка для нанесения полимерного покрытия методом напыления на внутреннюю поверхность трубопроводов,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.04-051,Определение синтезировано
,,,,AGC090,Комплект оборудования для цементно-песчаной облицовки внутренних поверхностей трубопроводов,Комплект оборудования используемый при строительстве магистральных трубопроводов,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.04-500,Определение синтезировано
,,,,AGC100,Машина механической очистки канализационных сетей,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.04-524,Определение синтезировано
,,,,AGC110,Машина центробежного набрызга для облицовки внутренней поверхности трубопровода,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.04-526,Определение синтезировано
,,,,AGC120,Питающая тележка для устройства цементно-песчаной изоляции внутренних поверхностей стальных труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.04-528,Определение синтезировано
,,,,AGC130,Платформа прицепная для устройства цементно-песчаной изоляции внутренних поверхностей стальных труб в комплекте с растворосмесителем и дизель-генератором,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,29.20.23.91.10.04-530,Определение синтезировано
,,,,AGC140,Робот для устранения ответвлений и устранения препятствий в трубопроводе на шасси автомобиля,Робот используемый при строительстве магистральных трубопроводов,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.04-532,Определение синтезировано
,,,,AGC150,Тросопротягиватель самоходный для устройства цементно-песчаной изоляции,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.04-534,Определение синтезировано
,,,,AGC160,Установка для бестраншейного обновления старых трубопроводов,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.04-538,Определение синтезировано
,,,,AGC170,Установка для гидроочистки труб под сверхвысоким давлением,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.04-540,Определение синтезировано
,,,,AGC180,Установка для очистки внутренних поверхностей стальных труб,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.99.39.91.10.04-542
28.99.39.91.10.04-544
28.99.39.91.10.04-546",Определение синтезировано
,,,,AGC190,Установка для устройства цементно-песчаной изоляции внутренних поверхностей стальных труб,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.99.39.91.10.04-548
28.99.39.91.10.04-550
28.99.39.91.10.04-552
28.99.39.91.10.04-554
28.99.39.91.10.04-556
28.99.39.91.10.04-558",Определение синтезировано
,,,,AGC200,Установка на базе автомобиля для напыления внутренней поверхности труб двухкомпонентным полимерным материалом,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.04-562,Определение синтезировано
,,,,AGC210,Установка реверсивная с парогенератором для санации труб тканевым шлангом,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.99.39.91.10.04-564
28.99.39.91.10.04-566
28.99.39.91.10.04-568",Определение синтезировано
,,,,AGC220,Установка электрогидроимпульсная для очистки внутренних поверхностей трубопровода,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.04-570,Определение синтезировано
,,,,AGC230,Машина центробежного набрызга для облицовки внутренней поверхности труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.99.39.91.10.04-572
28.99.39.91.10.04-573
28.99.39.91.10.04-574",Определение синтезировано
,,,,AGC240,Комплект приспособлений для проведения работ по санации трубопровода,Комплект приспособлений используемый при строительстве магистральных трубопроводов,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.04-510,Определение синтезировано
,,,,AGC250,Установка самоходная комплексная для санации безнапорных канализационных трубопроводов светополимерным рукавом,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.11-570,Определение синтезировано
,,AGD,,,Трубоукладчик,"Самоходная гусеничная машина, предназначенная для подъема и укладки труб и транспортирования оборудования для трубопроводов. Данная машина, базой для которой служит гусеничный трактор, имеет специально сконструированные составные части, например главную раму, противовес, механизм подъема стрелы и груза и боковую стрелу, поворачивающуюся только в вертикальной плоскости.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.10.05,ГОСТ 27963-88 (ИСО 7136-86) 
,,AGE,,,Установка для подогрева стыков труб,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.10.06,Определение синтезировано
,,AGF,,,Установка для продавливания труб,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.10.07,Определение синтезировано
,,AGG,,,Установка для сушки труб,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.10.08,Определение синтезировано
,,AGH,,,Устройство для обследований и испытаний трубопроводов для обследований и испытаний трубопроводов,"Устройство, используемое при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.10.09,Определение синтезировано
,,,,AGH010,Система телеинспекционная для обследования труб на базе автомобиля,"Система, используемая при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,29.10.59.91.10.11-031,Определение синтезировано
,,,,AGH020,Георадар,"Геофизический прибор, предназначенный для георадиолокационных исследований любой среды, кроме металла, (грунты, материалы, горные породы, акватории, строительные конструкции и т.д.), применяется для оценки однородности уложенных дорожностроительных материалов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.11-500,СП 78.13330.2012 
,,,,AGH030,Комплекс робототехнический для телевизионного контроля и ремонта трубопровода,Комплекс используемый при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.99.39.91.10.11-506
28.99.39.91.10.11-508",Определение синтезировано
,,,,AGH040,Микроавтобус со встроенным оборудованием для видеосъемки внутренней полости и поиска повреждений трубопровода,"Машина, используемая при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.11-522,Определение синтезировано
,,,,AGH050,Детектор обнаружения течи на плоских поверхностях методом векторного картирования,"Устройство, используемое при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.11-523,Определение синтезировано
,,,,AGH060,Комплекс мобильный для диагностики внутренней поверхности трубопроводов методом акустического резонанса,Комплекс используемый при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.11-524,Определение синтезировано
,,,,AGH070,"Установка для гидравлических испытаний трубопроводов, давление нагнетания низкое 0,1 МПа (1 кгс/см2), высокое 10 МПа (100 кгс/см2)","Установка, используемая при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.13.14.91.10.11-011,Определение синтезировано
,,,,AGH080,"Установка для гидравлических испытаний трубопроводов, давление нагнетания низкое 0,1 МПа (1 кгс/см2), высокое 10 МПа (100 кгс/см2) при работе от передвижных электростанций","Установка, используемая при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.13.14.91.10.11-012,Определение синтезировано
,,AGJ,,,Центратор,Приспособление используемое при строительстве магистральных трубопроводов,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.10.10,Определение синтезировано
,,AGK,,,Машина для завинчивания анкеров (без крана-трубоукладчика),"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.11-021,Определение синтезировано
,,AGL,,,Установка для обработки кромок труб,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.31.91.10.11-042,Определение синтезировано
,,AGM,,,Устройство для исправления вмятин на трубах,"Устройство, используемое при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.11-051,Определение синтезировано
,,AGN,,,Установка с 4 гидравлическими домкратами для продавливания труб диаметром 1000-1720 мм при работе на сооружении магистральных трубопроводов,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.12.20.91.10.11-043,Определение синтезировано
,,AGP,,,Фиксатор модулей,"Устройство, используемое при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.11-061,Определение синтезировано
,,AGQ,,,Машина для безогневой резки труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.41.24.91.10.11-011,Определение синтезировано
,,AGR,,,Разрушитель гидравлический для замены трубопроводов,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.99.39.91.10.11-081
28.99.39.91.10.11-082",Определение синтезировано
,,AGS,,,Машина для врезки в действующий стальной газопровод,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,"28.99.39.91.10.11-516
28.99.39.91.10.11-518",Определение синтезировано
,,AGT,,,Механизм установки пробок в действующем стальном газопроводе,Механизм используемый при строительстве магистральных трубопроводов,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.13.14.91.10.11-520,Определение синтезировано
,,AGU,,,Механизм для врезки в магистральный стальной трубопровод,"Механизм, используемый при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.11-525,Определение синтезировано
,,AGV,,,Механизм для перекрытия полости магистрального стального трубопровода при врезке,"Механизм, используемый при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.11-526,Определение синтезировано
,,AGW,,,Эндоскоп канализационный,"Устройство, используемое при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.99.39.91.10.11-540,Определение синтезировано
,AH,,,,Машины для водохозяйственного строительства и мелиоративных работ,"Машины, используемые в водохозяйственном строительстве и мелиоративных работах",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),Назначение (функция) машины,,91.12,Определенике сгенерировано
,,AHA,,,Машина для освоения закустаренных земель,"Машина, предназначенная для освоения закустаренных земель",,,,,Определение синтезировано
,,,,AHA010,Борона,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.12.01,Определение синтезировано
,,,,AHA020,Корчеватель,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.12.02,Определение синтезировано
,,,,AHA030,Кусторез,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.12.04,Определение синтезировано
,,,,AHA040,Плуг,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.12.05,Определение синтезировано
,,,,AHA050,Мульчер самоходный на гусеничном ходу,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,91.12.08,Определение синтезировано
,,,,AHA060,Валкователь древесных остатков (без трактора),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.30.86.91.12.08-001,Определение синтезировано
,,,,AHA070,Грабли кустарниковые навесные (без трактора),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.30.86.91.12.08-021,Определение синтезировано
,,,,AHA080,Подборщик мелких древесных остатков,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.30.86.91.12.08-131,Определение синтезировано
,,,,AHA090,Пнедробилка,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 12.02.2021),,,28.24.12.91.21.22-636,Определение синтезировано
