Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,HAK,,,Сооружение инженерной защиты населения и территорий,,Классификатор ОКС по НФТО,,,
,HB,,,,Комплексы ОКС водного транспорта,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,HBA,,,Гидротехническое сооружение для водного транспорта,"Сооружения, подвергающиеся воздействию водной среды, предназначенные для использования и охраны водных ресурсов, предотвращения вредного воздействия вод, в том числе загрязненных жидкими отходами. Сооружения, подвергающиеся воздействию водной среды, предназначенные для использования и охраны водных ресурсов, предотвращения вредного воздействия вод, в том числе загрязненных жидкими отходами.","Классификатор ОКС по НФТО
ГОСТ Р 55260.1.4-2012",,,
,,HBB,,,Комплекс объектов государственной границы на водном транспорте,,Классификатор ОКС по НФТО,,,
,,HBC,,,Объект портовый грузового назначения,,Классификатор ОКС по НФТО,,,
,,HBD,,,Комплекс объектов портовый общего назначения,,Классификатор ОКС по НФТО,,,
,,HBE,,,Комплекс объектов портовый пассажирского назначения,,Классификатор ОКС по НФТО,,,
,,HBF,,,Причал,"Портовое гидротехническое сооружение, предназначенное для стоянки и обслуживания судов, обслуживания пассажиров, в том числе посадки их на суда и высадки их с судов, осуществления операций с грузами.","Классификатор ОКС по НФТО
СП 350.1326000.2018",,,
,,HBG,,,Система обеспечения безопасности мореплавания,,Классификатор ОКС по НФТО,,,
,,HBH,,,Судоремонтное предприятие,,Классификатор ОКС по НФТО,,,
,,HBJ,,,"Сухопутное сооружение, судоприемник",,Классификатор ОКС по НФТО,,,
,HC,,,,Комплексы ОКС воздушного транспорта,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,HCA,,,Аэродром (пассажирский аэродром),"Участок земли или акватория с расположенными на нем зданиями, сооружениями и оборудованием, предназначенный для взлета, посадки, руления и стоянки воздушных судов",Классификатор ОКС по НФТО Воздушный кодекс Российской Федерации от 19.03.1997 N 60-ФЗ,,,
,,HCB,,,Аэропорт (пассажирский аэропорт),"Комплекс сооружений, включающий в себя аэродром, аэровокзал, другие сооружения, предназначенный для приема и отправки воздушных судов, обслуживания воздушных перевозок и имеющий для этих целей необходимое оборудование.","Классификатор ОКС по НФТО
ГОСТ Р 58033-2017",,,
,,HCC,,,Вертодром,"Участок земли или определенный участок поверхности сооружения, предназначенный полностью или частично для взлета, посадки, руления и стоянки вертолетов. Вертодромы подразделяются на вертодромы гражданской авиации, вертодромы государственной авиации и вертодромы экспериментальной авиации",Классификатор ОКС по НФТО Воздушный кодекс Российской Федерации от 19.03.1997 N 60-ФЗ,,,
,HD,,,,Комплексы ОКС городского пассажирского транспорта,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,HDA,,,Комплекс объектов городского электрического колесного транспорта,,Классификатор ОКС по НФТО,,,
,,HDB,,,Комплекс объектов городского электрического рельсового транспорта,,Классификатор ОКС по НФТО,,,
,HE,,,,Комплексы ОКС железнодорожного транспорта,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,HEA,,,Железнодорожный путь,"Подсистема инфраструктуры железнодорожного транспорта, включающая в себя верхнее строение пути, земляное полотно, водоотводные, водопропускные, противодеформационные, защитные и укрепительные сооружения земляного полотна, расположенные в полосе отвода, а также искусственные сооружения","Классификатор ОКС по НФТО
ГОСТ 34530-2019",,,
,,HEB,,,Комплекс объектов обслуживания грузовых перевозок,,Классификатор ОКС по НФТО,,,
,,HEC,,,Комплекс объектов обслуживания пассажирских перевозок,,Классификатор ОКС по НФТО,,,
,,HED,,,Комплекс объектов ремонта и обслуживания вагонов,,Классификатор ОКС по НФТО,,,
,,HEE,,,Комплекс объектов ремонта и обслуживания локомотивов,,Классификатор ОКС по НФТО,,,
,,HEF,,,Комплекс объектов ремонта и содержания путевого хозяйства,,Классификатор ОКС по НФТО,,,
,,HEG,,,Комплекс объектов сигнализации и связи,,Классификатор ОКС по НФТО,,,
,,HEH,,,Комплекс объектов управления железной дорогой,,Классификатор ОКС по НФТО,,,
,,HEJ,,,Комплекс объектов электрификации железнодорожных линий и нетяговых потребителей,,Классификатор ОКС по НФТО,,,
,HF,,,,Комплексы ОКС магистральных газопроводов,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,HFA,,,Газопровод,"Линейное сооружение, состоящее из соединенных между собой труб, предназначенное для транспортирования газа.","Классификатор ОКС по НФТО
ГОСТ Р 53865-2019",,,
,,HFB,,,"Компрессорная станция (объект приемо-сдаточной инфраструктуры, сопутствующий объект) газопроводов",,Классификатор ОКС по НФТО,,,
,HG,,,,Комплексы ОКС магистральных нефтепроводов (нефтепродуктопроводов),,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,HGA,,,"Насосная станция (объект приемо-сдаточной инфраструктуры, сопутствующий объект) нефтепроводов",,Классификатор ОКС по НФТО,,,
,,HGB,,,"Нефтепроводы, нефтепродуктопроводы","Сооружение из труб, соединительных деталей и арматуры для передачи на расстояние нефти","Классификатор ОКС по НФТО
РД 153-39.4-113-01",,,
,HH,,,,Комплексы ОКС магистральных трубопроводов для транспортирования аммиака и других сред,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,HHA,,,"Насосная станция (объект приемо-сдаточной инфраструктуры, сопутствующий объект) трубопроводов для транспортирования аммиака и других сред",,Классификатор ОКС по НФТО,,,
,,HHB,,,Трубопроводы для транспортировки аммиака и других сред,"Сооружение, состоящее из плотно соединенных между собой труб, деталей, запорно-регулирующей аппаратуры, контрольно-измерительных приборов, средств автоматики, опор, подвесок, крепежных деталей, прокладок, материалов и деталей тепловой изоляции и противокоррозионной защиты и предназначенное для транспортирования под воздействием разницы давлений в поперечных сечениях трубы газообразных и жидких веществ, а также твердого топлива и иных твердых веществ в виде раствора","Классификатор ОКС по НФТО
СТО НОСТРОЙ 2.23.85-2013",По виду комплекса ОКС,,
,HJ,,,,"Комплексы ОКС магистральных трубопроводов СУГ, СПГ, нестабильного конденсата и нестабильного бензина, нефтяного газа и других сжиженных углеводородов (ШФЛУ)",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,HJA,,,"Насосная станция (объект приемо-сдаточной инфраструктуры, сопутствующий объект) трубопроводов СУГ, СНГ и ПР",,Классификатор ОКС по НФТО,,,
,,HJB,,,"Трубопровод СУГ, СНГ и ПР",,Классификатор ОКС по НФТО,,,
,HK,,,,Комплексы ОКС метрополитена,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,HKA,,,Перегонный тоннель,,Классификатор ОКС по НФТО,,,
,,HKB,,,Станция метрополитена,,Классификатор ОКС по НФТО,,,
,,HKC,,,Электродепо метрополитена,,Классификатор ОКС по НФТО,,,
,HL,,,,"Системы перевозок, в том числе внеуличный транспорт",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,HLA,,,Грузовая канатная дорога,"Сооружения и устройства промышленного канатного подвесного транспорта, предназначенный для перевозки грузов от пункта погрузки к пункту выгрузки",Классификатор ОКС по НФТО,,,Синтезированное определение
,,HLB,,,Пассажирская канатная дорога,,Классификатор ОКС по НФТО,,,
,,HLC,,,Рельсовый транспорт,,Классификатор ОКС по НФТО,,,
,HM,,,,Транспортные проходы и переходы,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,HMA,,,Мостовое сооружение,"Искусственное сооружение над водной преградой, состоящее из пролетных строений и опор и служащее для пропуска различных видов подвижных нагрузок","Классификатор ОКС по НФТО
ГОСТ 33179-2014",,,
,,HMB,,,Тоннель,"Подземное сооружение, внутри которого проходят пассажирские и грузовые поезда, а также служебные транспортные средства","Классификатор ОКС по НФТО
ГОСТ Р 51399-99 (ИСО 10815-96)",,,
J,,,,,Комплексы ОКС хранения,,,По виду комплекса ОКС,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,JA,,,,Комплексы объектов хранения продукции сельского хозяйства и пищевых продуктов,,,По виду комплекса ОКС,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JAA,,,Комплекс объектов хранения продукции сельского хозяйства и пищевых продуктов при температуре окружающей среды,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JAB,,,Комплекс объектов хранения продукции сельского хозяйства и пищевых продуктов в охлажденном виде,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,JB,,,,Объекты хранения материалов,,,По виду комплекса ОКС,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBA,,,Комплекс объектов хранения горючих жидкостей и жидкого топлива,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBB,,,Комплекс объектов хранения негорючих жидкостей,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBC,,,Комплекс объектов хранения твердого топлива,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBD,,,Комплекс объектов хранения газов,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBE,,,Комплекс объектов хранения сыпучих материалов,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBF,,,Комплекс объектов хранения расфасованных и штучных материалов,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBG,,,Комплекс объектов хранения взрывчатых веществ,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBH,,,Комплекс объектов хранения радиоактивных веществ,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JBJ,,,Комплекс объектов хранения токсичных материалов,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,JC,,,,"Комплексы объектов хранения оборудования, машин, деталей машин и механизмов",,,По виду комплекса ОКС,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JCA,,,Комплекс объектов хранения готовой продукции,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JCB,,,Комплекс объектов хранения машин,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JCC,,,"Комплекс объектов хранения оборудования, деталей машин и механизмов",,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JCD,,,Товарно-складской комплекс,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,JD,,,,Комплексы объектов хранения отходов,,,По виду комплекса ОКС,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JDA,,,Комплексы объектов хранения неопасных отходов,,,По виду комплекса ОКС,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,,JDAA,,Комплекс объектов хранения твердых коммунальных и смешанных отходов,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,,JDAB,,Комплекс объектов хранения промышленных отходов,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,JDB,,,Комплексы объектов хранения опасных отходов,,,По виду комплекса ОКС,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,,JDBA,,Комплекс объектов хранения биологических отходов,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,,JDBB,,Комплекс объектов хранения радиоактивных отходов,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
,,,JDBC,,Комплекс объектов хранения токсичных отходов,,,,,"Определение предложено по результатам анализа классификаторов UniClass, OmniClass и др."
K,,,,,Комплексы ОКС культуры и искусства,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,KA,,,,"Комплексы ОКС культуры, искусства и истории",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,KAA,,,Библиотека (архив),,Классификатор ОКС по НФТО,,,
,,KAB,,,"Историческое место (здание, памятник культуры)",,Классификатор ОКС по НФТО,,,
,,KAC,,,Центр культуры и искусств,,Классификатор ОКС по НФТО,,,
,,KAD,,,Концертный зал (театр),,Классификатор ОКС по НФТО,,,
,,KAE,,,Музей (выставочный зал),,Классификатор ОКС по НФТО,,,
,KB,,,,"Комплексы ОКС производства и издания литературных и музыкальных произведений, кино- и видеофильмов, телевизионных программ и звукозаписей",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,KBA,,,Издательство,"Юридически оформленное хозяйственно самостоятельное учреждение, ведущее подготовку и выпуск издательской продукции.","Классификатор ОКС по НФТО
ГОСТ 7.81-2001 СИБИД",,,
,,KBB,,,Студия звукозаписи и издания музыкальных произведений,,Классификатор ОКС по НФТО,,,
,,KBC,,,Студия производства кинофильмов и телевизионных программ,,Классификатор ОКС по НФТО,,,
,KC,,,,Комплексы ОКС религиозного и культового обеспечения,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,KCA,,,Религиозный (культовый) комплекс объектов образовательного назначения,,Классификатор ОКС по НФТО,,,
,,KCB,,,Религиозный (культовый) комплекс объектов храмовый,,Классификатор ОКС по НФТО,,,
L,,,,,Комплексы ОКС информационно-коммуникационных технологий,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,LA,,,,Комплексы объектов для обработки и хранения данных,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,LAA,,,Комплекс объектов обработки данных,,Классификатор ОКС по НФТО,,,
,,LAB,,,Комплекс объектов организаций хранения данных,,Классификатор ОКС по НФТО,,,
,LB,,,,Комплексы объектов связи на базе беспроводных технологий,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,LBA,,,Радиотелецентр,,Классификатор ОКС по НФТО,,,
,,LBB,,,Комплекс объектов сооружений для обеспечения связи,,Классификатор ОКС по НФТО,,,
,LC,,,,Комплексы объектов связи на базе проводных технологий,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,LCA,,,Кабельная линия связи с волоконно-оптическим кабелем,,Классификатор ОКС по НФТО,,,
,,LCB,,,Комплекс объектов проводной связи,,Классификатор ОКС по НФТО,,,
,,LCC,,,Комплекс объектов сетей проводного вещания,,Классификатор ОКС по НФТО,,,
,,LCD,,,Телефонная (телеграфная) станция,,Классификатор ОКС по НФТО,,,
,,LCE,,,Центр коммутации,,Классификатор ОКС по НФТО,,,
M,,,,,"Комплексы ОКС административно-делового, государственного, муниципального и общественного управления",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,MA,,,,Комплексы ОКС административного управления и бытового обеспечения промышленных предприятий,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,MAA,,,Комплекс объектов административно­-бытовой,,Классификатор ОКС по НФТО,,,
,,MAB,,,Комплекс объектов административно-­охранный,,Классификатор ОКС по НФТО,,,
,MB,,,,Комплексы ОКС бизнес управления,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,MBA,,,Бизнес-центр,,Классификатор ОКС по НФТО,,,
,,MBB,,,Логистический центр,,Классификатор ОКС по НФТО,,,
,,MBC,,,Комплекс объектов финансово­кредитных (страховых) организаций,,Классификатор ОКС по НФТО,,,
,MC,,,,Комплексы объектов государственного и муниципального управления общего и социально­экономического,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,MCA,,,Комплекс объектов органов законодательной власти и органов местного самоуправления,,Классификатор ОКС по НФТО,,,
,,MCB,,,Комплекс объектов органов исполнительной власти,,Классификатор ОКС по НФТО,,,
,,MCC,,,Комплекс объектов представительств иностранных государств,,Классификатор ОКС по НФТО,,,
,,MCD,,,Комплекс объектов представительств российской федерации за рубежом,,Классификатор ОКС по НФТО,,,
N,,,,,"Комплексы ОКС для осуществления научных исследований, проектирования, изысканий",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,NA,,,,Комплексы объектов для осуществления фундаментальных научных исследований,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,NAA,,,Комплекс объектов для осуществления научной деятельности в фундаментальных науках,,Классификатор ОКС по НФТО,,,
,,NAB,,,Комплекс объектов экспериментальной базы фундаментальной науки,,Классификатор ОКС по НФТО,,,
,NB,,,,"Комплексы объектов для проведения инженерных изысканий, проектирования",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,NBA,,,Комплекс ОКС для осуществления изыскательской деятельности,,Классификатор ОКС по НФТО,,,
,,NBB,,,Комплекс ОКС для осуществления проектной деятельности,,Классификатор ОКС по НФТО,,,
,NC,,,,"Комплекс для проведения технических испытаний, прикладных исследований, анализа и сертификации",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,NCA,,,"Комплекс объектов для осуществления анализа, сертификации, технических испытаний",,Классификатор ОКС по НФТО,,,
,,NCB,,,Комплекс объектов для осуществления деятельности в сфере прикладных исследований,,Классификатор ОКС по НФТО,,,
P,,,,,Комплексы ОКС обеспечения безопасности и правопорядка,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,PB,,,,Комплексы ОКС гражданской обороны и защиты населения,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,PBA,,,Комплекс объектов гражданской обороны,,Классификатор ОКС по НФТО,,,
,,PBB,,,Комплекс объектов защиты населения,,Классификатор ОКС по НФТО,,,
,PC,,,,Комплексы ОКС для обеспечения безопасности и охраны правопорядка,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,PCA,,,Комплекс объектов обустройства государственной границы,,Классификатор ОКС по НФТО,,,
,,PCB,,,"Комплекс объектов органов власти, обеспечивающих безопасность и охрану правопорядка",,Классификатор ОКС по НФТО,,,
,PD,,,,Комплексы ОКС для обеспечения ликвидации чрезвычайных ситуаций и стихийных бедствий,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,PDA,,,Комплекс объектов для обеспечения ликвидации чрезвычайных ситуаций,,Классификатор ОКС по НФТО,,,
,,PDB,,,Комплекс объектов пожарной охраны,,Классификатор ОКС по НФТО,,,
,PE,,,,Комплексы ОКС органов юстиции и правосудия,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,PEA,,,Комплекс объектов инфраструктуры уголовно-исполнительной системы,,Классификатор ОКС по НФТО,,,
,,PEB,,,"Комплекс объектов судебных органов, прокуратуры, адвокатуры",,Классификатор ОКС по НФТО,,,
Q,,,,,Комплексы ОКС образования,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,QA,,,,Комплексы объектов общего среднего и дошкольного образования,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,QAA,,,Комплекс объектов дошкольного образования,,Классификатор ОКС по НФТО,,,
,,QAB,,,Комплекс объектов среднего образования,,Классификатор ОКС по НФТО,,,
,QB,,,,"Комплексы объектов среднего профессионального, высшего и дополнительного образования",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,QBA,,,Комплекс объектов высшего образования,,Классификатор ОКС по НФТО,,,
,,QBB,,,Комплекс объектов дополнительного образования,,Классификатор ОКС по НФТО,,,
,,QBC,,,Комплекс объектов среднего профессионального образования,,Классификатор ОКС по НФТО,,,
R,,,,,Комплексы ОКС здравоохранения,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,RA,,,,Комплексы ОКС лечебного обеспечения,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,RAA,,,Больница общего профиля,"Медицинская организация, в которой, при стационаре круглосуточного пребывания интегрированы поликлинические, диагностические, лечебные, научные и просветительские функции (или часть их), а также связанные с ними функции обслуживания пациентов, посетителей и персонала.","Классификатор ОКС по НФТО
СП 158.13330.2014",,,
,,RAB,,,Больница специализированная,"Медицинская организация, в которой, при стационаре круглосуточного пребывания интегрированы поликлинические, диагностические, лечебные, научные и просветительские функции (или часть их), а также связанные с ними функции обслуживания пациентов, посетителей и персонала.","Классификатор ОКС по НФТО
СП 158.13330.2014",,,
,,RAC,,,Диагностическая организация,,Классификатор ОКС по НФТО,,,
,,RAD,,,Диспансер,"Медицинская организация, в которой, при стационаре круглосуточного пребывания интегрированы поликлинические, диагностические, лечебные, научные и просветительские функции (или часть их), а также связанные с ними функции обслуживания пациентов, посетителей и персонала.","Классификатор ОКС по НФТО
СП 158.13330.2014",,,
,,RAE,,,Лаборатория медицинская,,Классификатор ОКС по НФТО,,,
,,RAF,,,Комплекс объектов инфраструктуры лечебного обеспечения,,Классификатор ОКС по НФТО,,,
,,RAG,,,Поликлиника,"Организации, оказывающие внебольничную помощь пациентам, приходящим на прием, и на дому","Классификатор ОКС по НФТО
СП 158.13330.2014",,,
,,RAH,,,Специализированная лечебно­профилактическая организация,,Классификатор ОКС по НФТО,,,
,,RAJ,,,"Станция скорой медицинской помощи, переливания крови",,Классификатор ОКС по НФТО,,,
,,RAK,,,Центр медицинский,,Классификатор ОКС по НФТО,,,
,RB,,,,Комплексы ОКС санаторно-курортного обеспечения,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,RBA,,,Комплекс объектов курортной инфраструктуры,,Классификатор ОКС по НФТО,,,
,,RBB,,,Санаторий,"Предприятие, расположенное обычно в курортной местности и предоставляющее комплекс санаторно-оздоровительных и рекреационных услуг с использованием преимущественно природных факторов (климат, минеральные воды, грязи) и физиотерапевтических средств, диеты и режима",Классификатор ОКС по НФТО,,,Определение синтезировано на основе ГОСТ Р 54599-2011
,RC,,,,Комплексы ОКС санитарно-эпидемиологического обеспечения,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,RCA,,,Санитарно-профилактическая организация,,Классификатор ОКС по НФТО,,,
,,RCB,,,Эпидемиологическая организация,,Классификатор ОКС по НФТО,,,
,RD,,,,Медицинские организации особого типа,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,RDA,,,Комплекс объектов медицинских экспертных организаций,,Классификатор ОКС по НФТО,,,
,,RDB,,,Специализированное медицинское бюро,,Классификатор ОКС по НФТО,,,
S,,,,,Комплексы ОКС отдыха и развлечений,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,SA,,,,Комплексы ОКС для отдыха с кратковременным проживанием,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,SAA,,,База отдыха,"Предприятие, предлагающее размещение, а также возможности и соответствующее оборудование для занятия спортом и развлечений, рестораны и магазины.",Классификатор ОКС по НФТО,,,Определение синтезировано на основе ГОСТ Р 53423-2009 (ИСО 18513:2003)
,,SAB,,,Дом отдыха,"Предприятие, расположенное в благоприятной природной местности, с инфраструктурой и объектами, способными удовлетворить духовные и иные потребности туристов для содействия поддержанию их жизнедеятельности, восстановлению и развитию физических сил и здоровья",Классификатор ОКС по НФТО,,,Определение синтезировано на основе ГОСТ Р 54599-2011
,,SAC,,,Лагерь,"Предприятие, предоставляющее размещение для детей, приезжающих для отдыха и оздоровления",Классификатор ОКС по НФТО,,,Определение синтезировано на основе ГОСТ Р 53423-2009 (ИСО 18513:2003)
,SB,,,,Комплексы ОКС для развлечений и отдыха,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,SBA,,,Комплекс объектов для познавательных развлечений,,Классификатор ОКС по НФТО,,,
,,SBB,,,Комплекс объектов для развлечений и отдыха,,Классификатор ОКС по НФТО,,,
T,,,,,Комплексы объектов физической культуры и спорта,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,TA,,,,Крытые спортивные комплексы,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,TAA,,,Крытый комплекс для зимних видов спорта,,Классификатор ОКС по НФТО,,,
,,TAB,,,Многофункциональный крытый спортивный комплекс,,Классификатор ОКС по НФТО,,,
,,TAC,,,Специализированный крытый спортивный комплекс,,Классификатор ОКС по НФТО,,,
,,TAD,,,Стадион крытый,"Спортивное сооружение (в т.ч. манеж), на которой проводится футбольный матч, включая спортивную арену, с прилегающей территорией, вплоть до внешнего ограждения.","Классификатор ОКС по НФТО
СП 285.1325800.2016",,,
,TB,,,,Комплексы для водных видов спорта,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,TBA,,,Бассейн,"Открытый или крытый искусственный водоем, предназначенный для плавания, занятий водным спортом других видов, купания или принятия водных, в том числе лечебных, процедур, с постоянно проходящими через него (в режиме циркуляции или протока) потоками воды, оборудованный или не оборудованный системой водоподготовки, имеющий или не имеющий в своем составе водные горки и/или другие водные аттракционы","Классификатор ОКС по НФТО
ГОСТ Р 53491.1-2009",,,
,,TBB,,,Гребной канал,"Гидротехническое искусственное спортивное сооружение, предназначенное для проведения соревнований и тренировок по гребным видам спорта, состоящее из основного русла и обводного канала.","Классификатор ОКС по НФТО
СП 459.1325800.2019 ",,,
,TC,,,,Открытые спортивные комплексы,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,TCA,,,Открытый комплекс для зимних видов спорта,,Классификатор ОКС по НФТО,,,
,,TCB,,,Многофункциональный открытый спортивный комплекс,,Классификатор ОКС по НФТО,,,
,,TCC,,,Специализированный открытый спортивный комплекс,,Классификатор ОКС по НФТО,,,
,,TCD,,,Стадион открытый,"Открытое комплексное спортивное сооружение, включающее спортивное ядро (футбольное поле, беговые дорожки, места для прыжков и метаний), окруженное трибунами для зрителей, площадки для спортивных игр и гимнастики",Классификатор ОКС по НФТО,,,Синтезированное определение
