Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,CBD,,,"Комплекс объектов промышленности вязанных и трикотажных изделий, верхней одежды",,Классификатор ОКС по НФТО,,,
,,CBE,,,Комплекс объектов промышленности ковров и ковровых изделий,,Классификатор ОКС по НФТО,,,
,,CBF,,,"Комплекс объектов промышленности нетканых текстильных материалов и изделий из них, кроме одежды",,Классификатор ОКС по НФТО,,,
,,CBG,,,Комплекс объектов текстильной промышленности,,Классификатор ОКС по НФТО,,,
,CC,,,,Комплексы ОКС металлургии,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,CCA,,,Комплекс объектов сталеплавильного производства,,Классификатор ОКС по НФТО,,,
,,CCB,,,Комплекс объектов прокатного производства металлургии,,Классификатор ОКС по НФТО,,,
,,CCC,,,"Комплекс объектов промышленности драгоценных, цветных металлов",,Классификатор ОКС по НФТО,,,
,,CCD,,,"Комплекс объектов промышленности стальных труб, металлоконструкций, полых профилей и фитингов",,Классификатор ОКС по НФТО,,,
,,CCE,,,Комплекс объектов промышленности ядерного топлива,,Классификатор ОКС по НФТО,,,
,CD,,,,Комплексы ОКС пищевой промышленности,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,CDA,,,"Комплекс объектов мясной, молочной, масложировой промышленности",,Классификатор ОКС по НФТО,,,
,,CDB,,,Комплекс объектов плодоовощной промышленности,,Классификатор ОКС по НФТО,,,
,,CDC,,,Комплекс объектов промышленности безалкогольных напитков,,Классификатор ОКС по НФТО,,,
,,CDD,,,Комплекс объектов промышленности алкогольных напитков,,Классификатор ОКС по НФТО,,,
,,CDE,,,Комплекс объектов промышленности бакалейных продуктов,,Классификатор ОКС по НФТО,,,
,,CDF,,,Комплекс объектов промышленности пищевых продуктов и блюд,,Классификатор ОКС по НФТО,,,
,,CDG,,,Комплекс объектов промышленности прочих пищевых продуктов,,Классификатор ОКС по НФТО,,,
,,CDH,,,Комплекс объектов промышленности хлебобулочных и кондитерских изделий,,Классификатор ОКС по НФТО,,,
,,CDJ,,,Комплекс объектов рыбной промышленности,,Классификатор ОКС по НФТО,,,
,,CDK,,,Комплекс объектов табачной промышленности,,Классификатор ОКС по НФТО,,,
,CE,,,,Комплексы ОКС производств общего машиностроения,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,CEA,,,Комплекс объектов машиностроения для различных производств,,Классификатор ОКС по НФТО,,,
,,CEB,,,Комплекс объектов машиностроения добычи полезных ископаемых,,Классификатор ОКС по НФТО,,,
,,CEC,,,Комплекс объектов прокатного производства общего машиностроения,,Классификатор ОКС по НФТО,,,
,,CED,,,Комплекс объектов промышленности гидравлического и пневматического силового оборудования,,Классификатор ОКС по НФТО,,,
,,CEE,,,"Комплекс объектов промышленности двигателей, турбин и комплектующих, кроме авиационных, автомобильных и мотоциклетных",,Классификатор ОКС по НФТО,,,
,,CEF,,,Комплекс объектов промышленности машин и оборудования для сельского и лесного хозяйства,,Классификатор ОКС по НФТО,,,
,,CEG,,,Комплекс объектов промышленности машин и оборудования коммунального назначения,,Классификатор ОКС по НФТО,,,
,,CEH,,,"Комплекс объектов промышленности печей, термокамер и печных горелок",,Классификатор ОКС по НФТО,,,
,,CEJ,,,"Комплекс объектов промышленности подшипников, зубчатых передач, элементов механических передач и приводов",,Классификатор ОКС по НФТО,,,
,,CEK,,,"Комплекс объектов промышленности подъемно-транспортного оборудования, станков, машин, средств непрерывного транспорта",,Классификатор ОКС по НФТО,,,
,,CEL,,,"Комплекс объектов промышленности промышленного холодильного и вентиляционного оборудования, фильтров",,Классификатор ОКС по НФТО,,,
,,CEM,,,"Комплекс объектов промышленности станков, машин, оборудования и инструмента",,Классификатор ОКС по НФТО,,,
,CF,,,,Комплексы ОКС производств транспортного машиностроения,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,CFA,,,Комплекс объектов кораблестроения и судостроения,,Классификатор ОКС по НФТО,,,
,,CFB,,,Комплекс объектов промышленности двигателей внутреннего сгорания,,Классификатор ОКС по НФТО,,,
,,CFC,,,Комплекс объектов промышленности железнодорожных локомотивов и подвижного состава,,Классификатор ОКС по НФТО,,,
,,CFD,,,Комплекс объектов промышленности колесных и гусеничных транспортных средств,,Классификатор ОКС по НФТО,,,
,,CFE,,,"Комплекс объектов промышленности летательных аппаратов, включая космические и соответствующего оборудования",,Классификатор ОКС по НФТО,,,
,CG,,,,Комплексы ОКС промышленности готовых изделий (неметаллических),,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,CGA,,,Комплекс объектов инновационной инфраструктуры,,Классификатор ОКС по НФТО,,,
,,CGB,,,Комплекс объектов производства бытовых неэлектрических приборов,,Классификатор ОКС по НФТО,,,
,,CGC,,,Комплекс объектов производства готовых бытовых неэлектрических изделий,,Классификатор ОКС по НФТО,,,
,,CGD,,,Комплекс объектов производства готовых бытовых электрических изделий,,Классификатор ОКС по НФТО,,,
,,CGE,,,Комплекс объектов производства игрушек,,Классификатор ОКС по НФТО,,,
,,CGF,,,Комплекс объектов производства лыж из древесины,,Классификатор ОКС по НФТО,,,
,,CGG,,,"Комплекс объектов производства медицинских инструментов, оборудования и материалов",,Классификатор ОКС по НФТО,,,
,,CGH,,,Комплекс объектов производства музыкальных инструментов,,Классификатор ОКС по НФТО,,,
,,CGJ,,,Комплекс объектов производства оборудования для обеспечения безопасности,,Классификатор ОКС по НФТО,,,
,,CGK,,,Комплекс объектов производства ювелирных изделий,,Классификатор ОКС по НФТО,,,
,CH,,,,"Комплексы ОКС промышленности готовых металлических изделий, кроме машин и оборудования",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,CHA,,,Комплекс объектов промышленности метизов и прочих готовых металлических изделий,,Классификатор ОКС по НФТО,,,
,,CHB,,,"Комплекс объектов промышленности обработки металлов, нанесения покрытий на металлы",,Классификатор ОКС по НФТО,,,
,,CHC,,,Комплекс объектов промышленности обычных вооружений,,Классификатор ОКС по НФТО,,,
,,CHD,,,"Комплекс объектов промышленности паровых котлов, металлических цистерн, резервуаров и прочих емкостей",,Классификатор ОКС по НФТО,,,
,,CHE,,,"Комплекс объектов промышленности режущих изделий, инструментов и универсальных скобяных изделий",,Классификатор ОКС по НФТО,,,
,,CHF,,,Комплекс объектов промышленности производства строительных конструкций,,Классификатор ОКС по НФТО,,,
,CJ,,,,"Комплексы ОКС промышленности лекарственных средств, материалов и оборудования, применяемых в медицинских целях",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,CJA,,,Комплекс объектов медицинской промышленности,,Классификатор ОКС по НФТО,,,
,,CJB,,,Комплекс объектов промышленности фармацевтических субстанций,,Классификатор ОКС по НФТО,,,
,,CJC,,,Комплекс объектов фармацевтической промышленности,,Классификатор ОКС по НФТО,,,
,CK,,,,"Комплексы ОКС промышленности продуктов древесины, деревообрабатывающей и мебельной промышленности, целлюлозо-бумажной промышленности, полиграфической промышленности",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,CKA,,,Комплекс объектов полиграфической промышленности и промышленности копированных носителей информации,,Классификатор ОКС по НФТО,,,
,,CKB,,,Комплекс объектов промышленности изделий из бумаги и картона,,Классификатор ОКС по НФТО,,,
,,CKC,,,"Комплекс объектов промышленности изделий из дерева, пробки, соломки и материалов для плетения",,Классификатор ОКС по НФТО,,,
,,CKD,,,"Комплекс объектов промышленности по распиловке, строганию, предварительной обработке древесины",,Классификатор ОКС по НФТО,,,
,,CKE,,,"Комплекс объектов промышленности целлюлозы, древесной массы, бумаги и картона",,Классификатор ОКС по НФТО,,,
,,CKF,,,Комплекс объектов мебельной промышленности,,Классификатор ОКС по НФТО,,,
,CL,,,,"Комплексы ОКС промышленности резиновых, пластмассовых изделий, неметаллической минеральной продукции",,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,CLA,,,Комплекс объектов производства пластмасс,,Классификатор ОКС по НФТО,,,
,,CLB,,,"Комплекс объектов производства сортового цемента, извести и гипса",,Классификатор ОКС по НФТО,,,
,,CLC,,,Комплекс объектов промышленности другой неметаллической минеральной продукции,,Классификатор ОКС по НФТО,,,
,,CLD,,,"Комплекс объектов промышленности изделий из бетона, цемента и гипса",,Классификатор ОКС по НФТО,,,
,,CLE,,,Комплекс объектов промышленности керамических и фарфорофаянсовых материалов и изделий,,Классификатор ОКС по НФТО,,,
,,CLF,,,"Комплекс объектов промышленности резиновых изделий, шинная промышленность",,Классификатор ОКС по НФТО,,,
,,CLG,,,Комплекс объектов промышленности силикатных и огнеупорных изделий,,Классификатор ОКС по НФТО,,,
,,CLH,,,Комплекс объектов промышленности стекла и изделий из стекла,,Классификатор ОКС по НФТО,,,
,,CLJ,,,"Комплекс объектов промышленности резки, обработки и отделки камня",,Классификатор ОКС по НФТО,,,
,CM,,,,Комплексы ОКС радиоэлектронной и электротехнической промышленности,,Классификатор ОКС по НФТО,По виду комплекса ОКС,,
,,CMA,,,Комплекс объектов аккумуляторной промышленности и производства элементов электропитания,,Классификатор ОКС по НФТО,,,
,,CMB,,,"Комплекс объектов промышленности компьютеров, периферийного оборудования и коммуникационного оборудования",,Классификатор ОКС по НФТО,,,
,,CMC,,,"Комплекс объектов промышленности облучающего и электротерапевтического оборудования, применяемого в медицинских целях",,Классификатор ОКС по НФТО,,,
