Класс,Подкласс,"Тип 
(%%)",Наименование системы,Определение системы,Критерии определения подклассов,Источник,Примеры системы,IFC,МССК,ПСК,Примечание
,,HD30,Комбинированная система солнечного теплоснабжения,"Система, использующая солнечную энергию одновременно для частичного или полного покрытия нагрузки отопления и горячего водоснабжения потребителя.",,ГОСТ Р 54856-2011,"Система, использующая только солнечную энергию (система без дублера)
Система, использующая солнечную и дополнительную энергию
Система с принудительной циркуляцией теплоносителя
Система предварительного солнечного подогрева
Система солнечного горячего водоснабжения
Система солнечного отопления
Система солнечного теплоснабжения
Термосифонная система солнечного теплоснабжения",,,,
,,HD40,Система снабжения теплом на основе сгорания топлива,"Система снабжения теплом, генерируемым в результате сгорания топлива",,,"Газовое отопление
Печное отопление
Котельная установка",,,,
,,HD50,Система снабжения теплом на основе электроэнергии,Система снабжения теплом с электроотопительными приборами,,,"Система электрического кабельного обогрева
Система кабельного обогрева
Система локального электрообогрева
Система распределенного электрообогрева
Система электрического напольного отопления",,,,
,,HD60,Система снабжения теплом на основе ядерной реакции,"Система снабжения теплом, генерируемым в результате ядерной реакции",,,Установка паротурбинная теплофикационная,,,,
,HE,,Комбинированная система тепло- и холодоснабжения,Система снабжения теплом и холодом,,,"Установка теплового насоса
Система геотермального тепло- и хладоснабжения",IfcDistributionSystem,,,
,HF,,Система вентиляции,"Система организации естественного или искусственного обмена воздуха в помещениях для удаления избытков теплоты, влаги, вредных и других веществ с целью обеспечения допустимого микроклимата и качества воздуха в обслуживаемой или рабочей зонах",По типу исполнения,СП 60.13330.2016,"Комбинированная система вентиляции
Система аварийной вентиляции
Тоннельная вентиляция",IfcDistributionSystem,,,
,,HF10,Система местной вентиляции,"Вентиляция, осуществляемая вытяжной или приточной механической системой, предотвращающая или снижающая распространение вредных веществ по объему обслуживаемого помещения или рабочей зоны.",,ГОСТ 22270-2018,,,,,
,,HF20,Система приточной общеобменной вентиляции,"Вентиляция механическая, предназначенная для подачи воздуха в обслуживаемое помещение или рабочую зону.",,ГОСТ 22270-2018,,,,,
,,HF30,Система смешанной вентиляции,Система местной и общеобменной вентиляции,,,,,,,
,,HF40,Система вытяжной общеобменной вентиляции,"Вентиляция, осуществляющая регулируемое удаление воздуха из всего объема обслуживаемого помещения.",,ГОСТ 22270-2018,,,,,
,HG,,Система электроснабжения,"Совокупность электроустановок, предназначенных для обеспечения потребителей электрической энергией.",По условиям эксплуатации,Приказ Минэнерго РФ от 08.07.2002 N 204,Система электрооборудования (электроустановка),IfcDistributionSystem,СС 30 50,,
,,HG10,Система электроснабжения общего назначения,"Совокупность электроустановок и электрических устройств, предназначенных для обеспечения электрической энергией различных потребителей электрических сетей.",,ГОСТ Р 58092.1-2018,"Система (тягового железнодорожного) электроснабжения переменного тока
Система (тягового железнодорожного) электроснабжения постоянного тока",,,,
,,HG20,Резервная система электропитания,"Система питания для поддержания, не в целях безопасности, функционирования электрической установки или ее части в случае прерывания основного питания.",,ГОСТ Р 50571.5.56-2013/МЭК 60364-5-56:2009,,,,,
,,HG30,Система непрерывного электроснабжения,Инженерная система обеспечения электроэнергией в случае отказа основного питания,,,"Система бесперебойного электроснабжения
Система гарантированного электроснабжения",,,,
,,HG40,Система электроснабжения железнодорожного транспорта,Система снабжения электроэнергией подвижного состава железнодорожного транспорта,,,"Контактная сеть
Тяговая сеть",,,,
,HH,,Система освещения,"Светотехническое оборудование (источник света, пускорегулирующая аппаратура, осветительный прибор и средства управления), необходимое для реализации и функционирования осветительной установки",По типу системы,ГОСТ Р 56228-2014,Утилитарное наружное освещение,IfcDistributionSystem,СС 20,,
,,HH10,Система общего освещения,"Освещение, при котором светильники размещаются в верхней зоне помещения равномерно (общее равномерное освещение) или применительно к расположению оборудования (общее локализованное освещение)",,МУК 4.3.2812-10. 4.3.,Общее равномерное освещение Общее локализованное освещение,,СС 20 10 10,,
,,HH20,Система местного освещения,"Освещение, дополнительное к общему, создаваемое светильниками, концентрирующими световой поток непосредственно на рабочих местах.",,МУК 4.3.2812-10. 4.3.,Локальное освещение,,,,
,,HH30,"Система комбинированного
освещения","Освещение, при котором к общему освещению добавляется местное.",,МУК 4.3.2812-10. 4.3.,"Акцентирующее освещение
Система дежурного освещения
Система аварийного освещения
Система охранного освещения
Эвакуационное освещение",,СС 20 10 20,,
,,HH40,Система естественного освещения,"Освещение помещений светом неба, проникающим через световые проемы в наружных ограждающих конструкциях.",,МУК 4.3.2812-10. 4.3.,Система световодов естественного света,,,,
,,HH50,Система дежурного освещения,Освещение в нерабочее время,,СНиП 23-05-95,,,СС 20 10 30,,
,,HH60,Система светового ограждения,"Обозначение местоположения высотного сооружения в темное время суток и при плохой видимости с помощью заградительных огней, устанавливаемых на сооружении для обеспечения безопасности полетов воздушных судов",,СП 375.1325800.2017,,,СС 20 10 50,,
,,HH70,Система освещения аэродромов,Система освещения взлетно-посадочных полос аэродромов,,,Аэродромный световой комплекс,,,,
,,HH80,Система освещения тоннелей,"Освещение тоннеля, при котором свет падает на объекты движения транспортного потока",,ГОСТ Р 56334-2015,Система встречного освещения тоннеля Система симметричного освещения тоннеля,,,,
,HJ,,Система обеспечения связи ,"Любые излучение, передача или прием знаков, сигналов, голосовой информации, письменного текста, изображений, звуков или сообщений любого рода по радиосистеме, проводной, оптической и другим электромагнитным системам",По типу сигнала,Федеральный закон от 07.07.2003 N 126-ФЗ,"Система экстренной связи
Система железнодорожной радиосвязи
Система железнодорожной электросвязи
Система телемедицины",IfcDistributionSystem,,,
,,HJ10,Система телеграфии,"Система обеспечения связи, предназначенная для передачи текста",,,,,,,
,,HJ20,Система телефонии,"Система обеспечения связи, предназначенная для передачи речи",,,"Система громкоговорящей связи
Система телефонной связи общего пользования",,,,
,,HJ30,Система фототелеграфии,"Система обеспечения связи, предназначенная для передачи неподвижных изображений",,,,,,,
,,HJ40,Система телевидения,"Система обеспечения связи, предназначенная для передачи подвижных изображений",,,Система кабельного телевидения,,,,
,,HJ50,Система телеметрии,"Система обеспечения связи, предназначенная для передачи результатов измерений",,,Система телеизмерений,,,,
,,HJ60,Система телеуправления,"Система обеспечения связи, предназначенная для передачи управляющих команд",,,,,,,
,,HJ70,Система передачи данных,"Система обеспечения связи, предназначенная для передачи данных",,,"Информационно-телекоммуникационная сеть
Локальная вычислительная сеть
Система диспетчеризации",,,,
,HK,,Система климатизации,"Комплекс мероприятий и устройств, обеспечивающих создание искусственного климата в помещениях, а иногда только на рабочих местах. ",По типу системы,Большая советская энциклопедия. — М.: Советская энциклопедия. 1969—1978.,,IfcDistributionSystem,СС 30 20,,
,,HK10,Система кондиционирования воздуха,"Система для автоматического поддержания в закрытых помещениях всех или отдельных параметров воздуха (температуры, относительной влажности, чистоты, скорости движения и качества) с целью обеспечения, как правило, оптимальных метеорологических условий, наиболее благоприятных для самочувствия людей, ведения технологического процесса, обеспечения сохранности ценностей",,СП 336.1325800.2017,"Система VRV (VRF)
Система климат-контроля
Система организации микроклимата помещения
Система регулирования микроклимата помещения",,СС 30 20 30,,
J_,,,Система транспортирования,"Техническая система, которая доставляет что-либо из одного места в другое",,,,,,,
,JA,,Система газораспределения,"Имущественный производственный комплекс, состоящий из организационно и экономически взаимосвязанных объектов, предназначенных для транспортировки и подачи газа непосредственно его потребителям",По расположению,ГОСТ Р 53865-2019,Система газоудаления,IfcDistributionSystem,,,
,,JA10,Система наружных газопроводов,"Система подземных или надземных газопроводов сети газораспределения или сети газопотребления, проложенных вне зданий, до внешней грани наружной конструкции здания",,Постановление Правительства РФ от 29.10.2010 N 870,"Газопровод надземный
Газопровод надземный",IfcDistributionSystem,,,
,,JA20,Система внутренних газопроводов,"Система газопроводов,  проложенных от внешней грани наружной конструкции газифицируемого здания до места подключения газоиспользующего оборудования, расположенного внутри здания",,Постановление Правительства РФ от 29.10.2010 N 870,Внутренний газопровод сети газопотребления,IfcDistributionSystem,,,
,JB,,Система водораспределения,Система передачи воды,По расположению,,,IfcDistributionSystem,,,
,,JB10,Наружная сеть водоснабжения,Система для подачи воды от водоисточников к местам потребления для обеспечения нужд населения и предприятий,,,"Водопровод
Водопроводная сеть
Водопроводный узел",IfcDistributionSystem,СС 40 25,,
,,JB20,Внутренняя система водопровода,"Система трубопроводов и устройств, обеспечивающая присоединение к наружным сетям, подачу воды к санитарно-техническим приборам, технологическому оборудованию и пожарным кранам в границах внешнего контура стен одного здания или группы зданий и сооружений и имеющая общее водоизмерительное устройство от наружных сетей водопровода поселения, городского округа или предприятия.",,СП 30.13330.2016,"Система внутренних водопроводов хозяйственно-питьевого назначения 
Система внутренних водопроводов горячего назначения
Система внутренних водопроводов противопожарного назначения
Система внутренних водопроводов оборотного назначения
Система внутренних водопроводов производственного назначения",IfcDistributionSystem,,,
,JC,,Система распределения химических веществ,Система передачи легковоспламеняющихся или иных химических жидкостей,,,,IfcDistributionSystem,,,
,JD,,Система отведения жидкостей,Система для оттока сточных вод или жидких отходов,По назначению,,"Водоотводная система
Коллектор",IfcDistributionSystem,,,
,,JD10,Система хозяйственно-бытовой канализации,"Совокупность трубопроводов и оборудования, обеспечивающая отведение сточных вод от санитарно-технических приборов, технологического оборудования, а также дождевых и талых вод в канализационную сеть соответствующего назначения.",,СП 253.1325800.2016,"Система внутренней канализации
Вентилируемый канализационный стояк
Внутренняя система водоотведения (внутренняя канализация)
Внутренняя система канализации
Канализационная сеть
Канализационный выпуск
Канализационный стояк
Система отвода воды
Система отвода конденсата",IfcDistributionSystem,СС 30 40 10 10,,
,,JD20,Система наружного водостока,"Искусственные сооружения (трубопроводы, коллекторы и тому подобное), которые предназначены для отвода выпавших на территорию города атмосферных осадков или талых вод, а также вод от поливки и мойки улиц.",,Приказ Росстата от 25.01.2021 N 30,"Водоотвод
Водосток",IfcDistributionSystem,СС 30 40 10 20,,
,,JD30,Система внутреннего водостока,"Система водосточных воронок, отводных труб, водосточных стояков для отвода дождевых и талых вод с кровель и плоских крыш",,СП 253.1325800.2016,"Водоотвод
Водосток",IfcDistributionSystem,СС 30 40 10 30,,
,,JD40,Система ливневой канализации,"Совокупность трубопроводов и оборудования, обеспечивающая отведение дождевых и талых вод в канализационную сеть соответствующего назначения",,СП 253.1325800.2016,,IfcDistributionSystem,СС 30 40 10 40,,
,,JD50,Система дренажной канализации,"Система дрен и вспомогательных сооружений, предназначенная для кооптирования, отведения и сброса поверхностных или подземных вод",,ГОСТ Р 58033-2017,"Водоотводная дрена
Водоотводная и дренажная система
Дренаж
Дренажная система",IfcDistributionSystem,СС 30 40 10 50,,
,,JD60,"Система производственной
канализации","Совокупность трубопроводов и оборудования, обеспечивающая отведение сточных вод от технологического оборудования в канализационную сеть соответствующего назначения",,СП 253.1325800.2016,,IfcDistributionSystem,СС 30 40 10 60,,
,,JD70,Система канализации специального назначения,Система для отвода жидких отходов специального назначения,,,Система радиоактивно-загрязненных стоков спецканализации здания реактора,IfcDistributionSystem,,,
,JE,,Система отведения твердых отходов,Система отведения твердых отходов,По назначению отходов,,Система пылеудаления,IfcDistributionSystem,,,
,,JE10,Система мусороудаления,"Составная часть комплекса инженерного оборудования жилых, административных и общественных зданий и сооружений, предназначенная для сбора, транспортирования и временного хранения (накопления) твердых бытовых отходов и включающая в себя: мусоросборную камеру, ствол мусоропровода, загрузочные клапаны, шибер, механизм промывки, прочистки и дезинфекции",,Распоряжение ДЖКХиБ г. Москвы от 28.06.2011 N 05-14-373/1,"Мусоропровод
Центральный пылесос",IfcDistributionSystem,СС 30 45 10,,
,,JE20,Система отведения твердых отходов специального назначения,Система отведения твердых отходов специального (промышленного) назначения,,,"Система золошлакоудаления
Система пылеудаления
Система гидрозолоудаления ТЭС
Система удаления продуктов сгорания",IfcDistributionSystem,,,
,JF,,Система распределения холода,"Совокупность агрегатов и устройств, обеспечивающих производство, подачу и распределение холода, а также отвод избыточного тепла от холодильных установок.",,ГОСТ 22270-2018,,IfcDistributionSystem,,,
,JG,,Тепловая сеть,Система трубопроводов (теплопроводов) для транспортирования и распределения теплоносителя (горячей воды или пара) при централизованном теплоснабжении,По виду теплоносителя,СНиП 41-02-2003,"Магистральные тепловые сети
Распределительные тепловые сети
Квартальные тепловые сети
Ответвления от магистральных и распределительных тепловых сетей к отдельным зданиям и сооружениям",IfcDistributionSystem,СС 40 20,,
,,JG10,Водяная система распределения тепла,"Система передачи тепла, в которой теплоносителем является вода",,,Квартальные тепловые сети,IfcDistributionSystem,,,
,,JG20,Паровая система распределения тепла,"Система передачи тепла, в которой теплоносителем является пар",,,,IfcDistributionSystem,,,
,,JG30,Воздушная система распределения тепла,"Система передачи тепла, в которой теплоносителем является горячий воздух",,,Система воздушного отопления,IfcDistributionSystem,,,
,JH,,Комбинированная система распределения тепла и холода,Система передачи тепла и холода,,,,IfcDistributionSystem,,,
,JJ,,Система воздухораспределения,"Концевой элемент системы вентиляции или кондиционирования, служащий для выпуска или отвода в обслуживаемое помещение требуемого количества воздуха.",,ГОСТ 32548-2013,,IfcDistributionSystem,,,
,JK,,Система распределения электроэнергии,Транспортирование электрической энергии от источника к потребителю,По типу системы,Справочник технического переводчика,"Кабелепровод
Электроустановка здания
Система передачи электроэнергии",IfcDistributionSystem,,,
,,JK10,Питающая сеть,"Сеть от распределительного устройства подстанции или ответвления от воздушных линий электропередачи до ВУ, ВРУ, ГРЩ",,Приказ Минстроя России от 04.06.2020 N 305/пр,Кабельная питающая линия,IfcDistributionSystem,СС 30 50 10,,
,,JK20,Распределительная сеть,"Сеть от ВУ, ВРУ, ГРЩ до распределительных пунктов и щитков",,"Правила устройства электроустановок. Раздел 6. Электрическое освещение. Раздел 7. Электрооборудование специальных установок. Главы 7.1, 7.2","Вводное устройство
Вводно-распределительное устройство
Распределительная сеть
Распределительный пункт
Система распределения электроэнергии",IfcDistributionSystem,СС 30 50 20,,
,,JK30,Групповая сеть (потребителей),"Сеть от щитков и распределительных пунктов до светильников, штепсельных розеток и других электроприемников",,"Правила устройства электроустановок. Раздел 6. Электрическое освещение. Раздел 7. Электрооборудование специальных установок. Главы 7.1, 7.2","Электропроводка
Этажный распределительный щиток",IfcDistributionSystem,СС 30 50 30,,
,JL,,Система передачи сигнала,Система передачи сигнала,По типу передачи сигнала,,,IfcDistributionSystem,,,
,,JL10,Проводная система передачи сигнала,"Система распределения сигнала, предназначенная для передачи сигнала по проводам",,,,IfcDistributionSystem,,,
,,JL20,Беспроводная система передачи сигнала,"Система распределения сигнала, предназначенная для передачи сигнала без проводов",,,,IfcDistributionSystem,,,
,JM,,Система перемещения пассажиров,Система перемещения пассажиров,,,"Лифт пассажирский
Эскалатор
Система горизонтального транспорта",IfcDistributionSystem,,,
,JN,,Система перемещения грузов,Система перемещения грузов,,,"Конвейерная лента
Лифт грузовой
Система горизонтального транспорта",IfcDistributionSystem,,,
K_,,,Обрабатывающая/воздействующая система,"Техническая система, обеспечивающая обработку, либо воздействие на что-либо",,,,,,,
,KA,,Система солнечного экранирования,"Система обслуживания, ограничивающая или исключающая приток солнечной энергии",,,"Солнцезащитный экран
Козырек",IfcBuildingSystem,,,
,KB,,Система управления открытием проемов в ограждающих конструкциях,Система автоматического регулирования открывания проемов в ограждающих конструкциях,,,"Противодымная вентиляция с естественным побуждением
Система естественного проветривания",IfcBuildingSystem,,,
,KC,,Система фильтрации,"Система обработки, предназначенная для отделения твердых частиц из потока жидкости или газа",,,"Фильтр для очистки воды
Фильтр для очистки сточных вод
Система водоподготовки
Система золоулавливания",IfcSystem,,,
,KD,,Система сепарации,"Система обработки, предназначенная для разделения веществ",,,,IfcSystem,,,
,KE,,Система смешивания,"Система обработки, предназначенная для смешивания веществ",,,"Реагентное хозяйство
Система водоподготовки",IfcSystem,,,
,KF,,Насосная система,"Воздействующая система, предназначенная для повышения давления в потоке жидкости
-
Насосная система, состоящая из насоса или насосов и взаимодействующих или устанавливающих взаимодействие элементов, которые вместе выполняют определенную работу",,ГОСТ ISO 17769-2-2015,"Водопроводная насосная станция
Модульная насосная установка
Насосная установка",IfcSystem,,,
,KG,,Система регулирования давления,"Система, предназначенная для стабилизации давления и объема жидкости или газового потока
-
Комбинированная система, включающая системы регулирования давления, предохранительные системы и, где это целесообразно, системы регистрации давления и аварийной сигнализации",,,"Система аварийной защиты от превышения давления
Система защиты от повышенного давления
Система контроля давления",IfcSystem,,,
,KH,,Система преобразования электроэнергии,"Система обработки, предназначенная для преобразования электрической энергии",,,,IfcSystem,,,
,KJ,,Антенная система,"Система, предназначенная для преобразования радиоволн в электрические сигналы и наоборот",По назначению,,,IfcSystem,,,
,,KJ10,Передающая антенная система,"Система, предназначенная для преобразования электрических сигналов в радиоволны",,,,IfcSystem,,,
,,KJ20,Приемная антенная система,"Система, предназначенная для преобразования радиоволн в электрические сигналы",,,,IfcSystem,,,
,,KJ30,Приемо-передающая антенная система,"Система, предназначенная для преобразования радиоволн в электрические сигналы и наоборот",,,,IfcSystem,,,
,KK,,Метеорологическая система,"Система, предназначенная для преобразования информации, связанной с погодой, в электрические сигналы",,,,IfcSystem,,,
,KL,,Пропускная система,"Система, предназначенная для физического разграничения (разделения) потока людей или каких-либо предметов",,,,IfcSystem,,,
L_,,,Система наблюдения и управления,"Техническая система, обеспечивающая наблюдение и управление событиями и/или процессами",,,,,,,
,LA,,Система газовой сигнализации,"Система мониторинга, сигнализирующая об обнаружении опасных газов",,,,IfcBuildingSystem,,,
,LB,,Система пожарной сигнализации,"Система мониторинга, сигнализирующая об обнаружении опасных факторов пожара
-
Совокупность установок пожарной сигнализации, смонтированных на одном объекте и контролируемых с общего пожарного поста",,,"Установка пожарной сигнализации
Система автоматической пожарной сигнализации",IfcBuildingSystem,СС 30 30 10,,
,LC,,Автоматизированная система управления,"Система мониторинга и управления, предназначенная для автоматизации процессов в зданиях и производственных предприятиях посредством центрального блока управления",По объекту управления,,Система пожарной автоматики,IfcBuildingSystem,,,
,,LC10,Автоматизированная система управления технологическими процессами (АСУТП),"Система, предназначенная для непосредственного управления технологическими процессами",,ГОСТ 34.003-90,"Система управления лифта
Система дистанционного управления
Система управления и защиты
Система централизованного управления наружным освещением",IfcBuildingSystem,,,
,,LC20,Интегрированная автоматизированная система управления (ИАСУ),"Совокупность двух или более взаимоувязанных АС, в которой функционирование одной из них зависит от результатов функционирования другой (других) так, что эту совокупность можно рассматривать как единую АС",,ГОСТ 34.003-90,,IfcBuildingSystem,,,
,,LC30,Автоматизированная система организационного управления (АСОУ),"Система, предназначенная для управления коллективами людей в экономических и социальных системах",,,,IfcBuildingSystem,,,
,LD,,Система контроля и управления доступом (СКУД),"Система мониторинга, обеспечивающая авторизованный доступ лиц на территорию или строительный объект
-
Совокупность средств контроля и управления доступом, обладающих технической, информационной, программной и эксплуатационной совместимостью",По способу управления,ГОСТ Р 51241-2008,Система контроля и управления доступом (СКУД),IfcBuildingSystem,,,
,,LD10,Автономная СКУД,СКУД для управления одним или несколькими преграждающими управляемыми устройствами без передачи информации на центральное устройство управления и контроля со стороны оператора,,ГОСТ Р 51241-2008,,IfcBuildingSystem,,,
,,LD20,Централизованная СКУД,"СКУД для управления одним или несколькими преграждающими управляемыми устройствами с обменом информацией с центральным пультом и контролем, и управлением системой со стороны центрального устройства управления",,ГОСТ Р 51241-2008,,IfcBuildingSystem,,,
,,LD30,Универсальная СКУД,"СКУД, включающая в себя функции как автономных, так и сетевых систем, работающие в сетевом режиме под управлением центрального устройства управления и переходящие в автономный режим при возникновении отказов в сетевом оборудовании, центральном устройстве или обрыве связи",,ГОСТ Р 51241-2008,,IfcBuildingSystem,,,
,LE,,Система аварийной/тревожной сигнализации,"Система мониторинга, вызывающая сигнал тревоги при наличии опасных, либо нежелательных условий
-
Установленная на объекте система, предназначенная для обнаружения опасности и сигнализации об опасности",По типу системы,,,IfcBuildingSystem,,,
,,LE10,Система охранной сигнализации,"Совокупность совместно действующих технических средств для обнаружения появления признаков нарушителя на охраняемых объектах, передачи, сбора, обработки и представления информации в заданном виде",,ГОСТ 31817.1.1-2012,Система охранной сигнализации,IfcBuildingSystem,,,
,,LE20,Система аварийной сигнализации,Система поддержки оператора для формирования и обработки аварийных сигналов для управления аварийными ситуациями,,ГОСТ Р МЭК 62682-2019,"Система охранно-пожарной сигнализации
Система аварийной сигнализации",IfcBuildingSystem,,,
,,LE30,Система мониторинга инженерных систем (СМИС),Совокупность аппаратно-программных средств для регулярного наблюдения и регистрации состояния и функционирования инженерных систем здания или сооружения,,ГОСТ Р 55060-2012,"Система мониторинга инженерных (несущих) конструкций, опасных природных процессов и явлений (СМИК)
Система мониторинга технического состояния несущих конструкций
Система мониторинга технического состояния огнезащитных покрытий
Система непрерывного мониторинга моста",IfcBuildingSystem,,,
,LF,,Система видеонаблюдения,"Система мониторинга, обеспечивающая удаленное визуальное наблюдение",,,"Система охранная телевизионная (СОТ)
Система видеонаблюдения
Система охранного телевидения
Система телевизионного наблюдения",IfcBuildingSystem,,,
,LG,,Система наблюдения за транспортными потоками,"Система мониторинга, обеспечивающая наблюдение за транспортными потоками",,,"Система автоматизированного учета движения
Система автоматического оповещения об аварии
Система дорожного метеорологического обеспечения
Система досмотра
Система железнодорожной автоматики и телемеханики",IfcBuildingSystem,,,
,LH,,Система мониторинга промышленного объекта,Система мониторинга параметров и характеристик промышленных систем и оборудования,,,"Система вибрационного мониторинга
Система внутриреакторного контроля
Система контроля загазованности помещения
Система контроля и защитного отключения
Система контроля нейтронного потока
Система контроля радиационной безопасности атомной станции
Система контроля продуктов сгорания
Система контроля течи
Система контроля ядерного реактора
Система мониторинга качества электроэнергии
Система радиационного контроля
Система сигнализации радиационно-технологической установки",IfcBuildingSystem,,,
M_,,,Система представления информации,"Техническая система, представляющая информацию",,,,,,,
,MA,,Система предупреждения/ оповещения,"Система представления информации, которая воспроизводит определенные звуковые или голосовые сообщения для предупреждения об опасности
-
Комплекс средств оповещения, выполняющий функцию одновременного доведения до большого числа потребителей речевых сообщений, звуковых и/или световых сигналов",,,"Система оповещения
Система оповещения и управления эвакуацией людей
Локальная система оповещения
Местная система оповещения
Объектовая система оповещения
Система этажного оповещения многоквартирных жилых домов
Система оповещения и управления эвакуацией с охраняемого объекта
Система светооптическая",IfcDistributionSystem,,,
,MB,,Аудио-видео система,"Система представления информации, которая воспроизводит изображения и/или звуки",,,"Система видеоизображения (спортивного сооружения)
Система громкоговорящей связи
Система оповещения публики футбольного стадиона",IfcDistributionSystem,,,
,MC,,Система управления транспортными потоками,Система представления информации для управления транспортными потоками,,,Система оповещения о приближении железнодорожного подвижного состава,IfcDistributionSystem,,,
,MD,,Система представления времени,Система представления информации о времени,,,,IfcDistributionSystem,,,
,ME,,Система обозначений,Система представления информации в виде письменных указаний или символьных обозначений,,,,IfcDistributionSystem,,,
P_,,,Система защиты,"Автономная техническая система, защищающая от опасности или нежелательных воздействий",,,,,,,
,PA,,Система защиты от пожара,"Система защиты, обеспечивающая управление открытием или закрытием дверей и окон в случае возникновения пожара",,,Система дымоудаления,IfcSystem,,,
,PB,,Система пожаротушения,Система защиты от пожара посредством подачи огнетушащего вещества,По типу устройства,,"Агрегатная установка пожаротушения
Автономная установка пожаротушения
Батарея газового пожаротушения
Модульная установка пожаротушения
Система пенного пожаротушения
Система водяного пожаротушения",IfcSystem,СС 30 30 30,,
,,PB10,Установка пожаротушения автоматическая,"Установка пожаротушения, автоматически срабатывающая при превышении контролируемым фактором (факторами) пожара установленных пороговых значений в защищаемой зоне, а также обеспечивающая передачу сигнала о пожаре во внешние цепи",,СП 485.1311500.2020,"Модульная установка пожаротушения
Роботизированная установка пожаротушения
Установка пожаротушения автоматическая дренчерная (водяная завеса)
Установка пожаротушения автоматическая спринклерная
Установка пожаротушения автоматическая спринклерно-дренчерная",IfcSystem,,,
,,PB20,Внутренний противопожарный водопровод,"Совокупность трубопроводов и технических средств, обеспечивающих подачу огнетушащего вещества к пожарным запорным клапанам пожарных кранов и/или пожарным запорным клапанам сухотрубов",,СП 10.13130.2020,"Противопожарный водопровод
Система внутреннего противопожарного водопровода",IfcSystem,СС 30 30 30 10,,
,PC,,Система заземления,Система защиты от опасных электрических токов путем их заземления,По параметрам заземления,,,IfcSystem,СС 30 60,,
,,PC10,Система TN,"Система, в которой нейтраль источника питания глухо заземлена, а открытые проводящие части электроустановки присоединены к глухозаземленной нейтрали источника посредством нулевых защитных проводников",,Правила устройства электроустановок (ПУЭ),,IfcSystem,,,
,,PC20,Система TT,"система, в которой нейтраль источника питания глухо заземлена, а открытые проводящие части электроустановки заземлены при помощи заземляющего устройства, электрически независимого от глухозаземленной нейтрали источника",,Правила устройства электроустановок (ПУЭ),,IfcSystem,,,
,,PC30,Система IT,"Система, в которой нейтраль источника питания изолирована от земли или заземлена через приборы или устройства, имеющие большое сопротивление, а открытые проводящие части электроустановки заземлены",,Правила устройства электроустановок (ПУЭ),,IfcSystem,,,
,PD,,Система молниезащиты,"Система защиты от молний посредством заземления электрических систем
-
Комплексная система защиты от молнии, предназначенная для уменьшения физических повреждений зданий (сооружений) при ударе молнии в здание (сооружение)",По типу исполнения,,,IfcSystem,СС 30 65,,
,,PD10,Внутренняя система молниезащиты,"Часть системы молниезащиты, состоящая из системы уравнивания потенциалов и средств электрической изоляции внешней системы молниезащиты. ",,ГОСТ Р 58232-2018,,IfcSystem,,,
,,PD20,Внешняя система молниезащиты,"Часть системы молниезащиты, состоящая из системы молниеприемников, системы токоотводов и системы заземления",,ГОСТ Р 58232-2018,"Система вертикальных молниеотводов
Система молниеприемников",IfcSystem,,,
,PE,,Система электрохимической защиты,Система защиты металлических конструкций от коррозии посредством антикоррозионной защиты,По разнице потенциалов,,Система противокоррозионной защиты,IfcSystem,,,
,,PE10,Анодная защита,"Электрохимическая защита металла, способного пассивироваться анодной поляризацией, осуществляемая от внешнего источника тока или посредством соединения с металлом, имеющим более положительный потенциал, чем у защищаемого металла",,ГОСТ 5272-68,,IfcSystem,,,
,,PE20,Катодная защита,"Электрохимическая защита металла, осуществляемая катодной поляризацией от внешнего источника тока или путем соединения с металлом, имеющим более отрицательный потенциал, чем у защищаемого металла",,ГОСТ 5272-68,Станция катодная,IfcSystem,,,
,PF,,Система вибросейсмозащиты,Система защиты от вибрационных и сейсмических воздействий,По источнику воздействия,,,IfcSystem,,,
,,PF10,Система виброизоляции,"Система вибрационной защиты, основанная на ослаблении связей между источником возбуждения и защищаемым объектом",,,"Плавающий пол
Система вибрационной защиты",IfcSystem,,,
,,PF20,Система сейсмоизоляции,"Система для снижения сейсмических нагрузок на сооружение за счет применения специальных конструктивных элементов:
- повышающих гибкость и периоды собственных колебаний сооружения (гибкие стойки; качающиеся опоры; резинометаллические опоры и др.);
- увеличивающих поглощение (диссипацию) энергии сейсмических колебаний (демпферы сухого трения; скользящие пояса; гистерезисные; вязкие демпферы);
- резервных, выключающихся элементов.",,СП 14.13330.2018,"Система сейсмоизоляции
Скользящий пояс",IfcSystem,,,В зависимости от конкретного проекта применяют все или некоторые из перечисленных элементов
,,PF30,Система конструктивной сейсмозащиты,Система конструктивных мероприятий для защиты от сейсмических воздействий,,СП 14.13330.2018,Антисейсмический пояс,IfcSystem,,,
,PG,,Система обеспечения безопасности,Система для защиты строительных объектов от опасности и нежелательных воздействий,По типу системы,,Система противорадоновой защиты здания,IfcSystem,,,
,,PG10,Система безопасности транспортного объекта,"Система для обеспечения нормальной эксплуатации объектов транспорта, предупреждения аварий и ограничения их последствий",,ГОСТ Р 56461-2015,Снегозащитное устройство,IfcSystem,,,
,,PG20,Система безопасности промышленного объекта,"Система для обеспечения нормальной эксплуатации промышленных объектов, предупреждения аварий и ограничения их последствий",,,"Система безопасности АС
Система взрывозащиты горных выработок
Система безопасности удаления продуктов сгорания
Система защиты от подземных вод
Система защиты от холода
Система локализации аварий",IfcSystem,,,
