Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,BAB,,,Комплекс объектов добычи железных руд подземным способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,BAC,,,Комплекс объектов обогащения железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,BB,,,,Комплексы ОКС добычи и обогащения руд цветных металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,BBA,,,Комплекс объектов добычи руд цветных металлов закрытым способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,BBB,,,Комплекс объектов добычи руд цветных металлов открытым способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,BBC,,,Комплекс объектов обогащения руд цветных металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,BC,,,,"Комплексы ОКС добычи полезных ископаемых, кроме топливно-энергетических",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,BCA,,,Комплекс объектов добычи минерального сырья для химической промышленности и производства минеральных удобрений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,BCB,,,Комплекс объектов добычи соли,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,BCC,,,Комплекс объектов добычи инертных материалов для строительства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,BD,,,,Комплексы ОКС добычи природного газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,BDA,,,Комплекс объектов добычи природного газа и конденсата,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,BE,,,,Комплексы ОКС добычи сырой нефти,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,BEA,,,Комплекс объектов добычи сырой нефти из скважин,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,BF,,,,Комплексы ОКС добычи угля и антрацита,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
C,,,,,Комплексы ОКС обрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,CA,,,,Комплексы ОКС коксохимической и нефтеперерабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,CAA,,,Комплекс объектов коксохимической промышленности,По виду комплекса ОКС, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,,,CAA010,Комплекс объектов коксохимической промышленности без обогатительной фабрики,,СП 18.13330.2019,,,
,,,,CAA020,Комплекс объектов коксохимической промышленности с обогатительной фабрикой,,СП 18.13330.2019,,,
,,CAB,,,Комплекс объектов нефтеперерабатывающей (нефтехимической) промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CAC,,,Комплекс объектов угольной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,CB,,,,Комплексы ОКС легкой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,CBA,,,Комплекс объектов кожевенной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CBB,,,Комплекс объектов меховой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CBC,,,Комплекс объектов обувной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CBD,,,"Комплекс объектов промышленности вязанных и трикотажных изделий, верхней одежды",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CBE,,,Комплекс объектов промышленности ковров и ковровых изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CBF,,,"Комплекс объектов промышленности нетканых текстильных материалов и изделий из них, кроме одежды",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CBG,,,Комплекс объектов текстильной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,CC,,,,Комплексы ОКС металлургии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,CCA,,,Комплекс объектов сталеплавильного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CCB,,,Комплекс объектов прокатного производства металлургии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CCC,,,"Комплекс объектов промышленности драгоценных, цветных металлов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CCD,,,"Комплекс объектов промышленности стальных труб, металлоконструкций, полых профилей и фитингов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CCE,,,Комплекс объектов промышленности ядерного топлива,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,CD,,,,Комплексы ОКС пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,CDA,,,"Комплекс объектов мясной, молочной, масложировой промышленности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CDB,,,Комплекс объектов плодоовощной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CDC,,,Комплекс объектов промышленности безалкогольных напитков,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CDD,,,Комплекс объектов промышленности алкогольных напитков,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CDE,,,Комплекс объектов промышленности бакалейных продуктов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CDF,,,Комплекс объектов промышленности пищевых продуктов и блюд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CDG,,,Комплекс объектов промышленности прочих пищевых продуктов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CDH,,,Комплекс объектов промышленности хлебобулочных и кондитерских изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CDJ,,,Комплекс объектов рыбной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CDK,,,Комплекс объектов табачной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,CE,,,,Комплексы ОКС производств общего машиностроения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,CEA,,,Комплекс объектов машиностроения для различных производств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CEB,,,Комплекс объектов машиностроения добычи полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CEC,,,Комплекс объектов прокатного производства общего машиностроения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CED,,,Комплекс объектов промышленности гидравлического и пневматического силового оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CEE,,,"Комплекс объектов промышленности двигателей, турбин и комплектующих, кроме авиационных, автомобильных и мотоциклетных",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CEF,,,Комплекс объектов промышленности машин и оборудования для сельского и лесного хозяйства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CEG,,,Комплекс объектов промышленности машин и оборудования коммунального назначения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CEH,,,"Комплекс объектов промышленности печей, термокамер и печных горелок",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CEJ,,,"Комплекс объектов промышленности подшипников, зубчатых передач, элементов механических передач и приводов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CEK,,,"Комплекс объектов промышленности подъемно-транспортного оборудования, станков, машин, средств непрерывного транспорта",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CEL,,,"Комплекс объектов промышленности промышленного холодильного и вентиляционного оборудования, фильтров",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CEM,,,"Комплекс объектов промышленности станков, машин, оборудования и инструмента",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,CF,,,,Комплексы ОКС производств транспортного машиностроения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,CFA,,,Комплекс объектов кораблестроения и судостроения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CFB,,,Комплекс объектов промышленности двигателей внутреннего сгорания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CFC,,,Комплекс объектов промышленности железнодорожных локомотивов и подвижного состава,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CFD,,,Комплекс объектов промышленности колесных и гусеничных транспортных средств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CFE,,,"Комплекс объектов промышленности летательных аппаратов, включая космические и соответствующего оборудования",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,CG,,,,Комплексы ОКС промышленности готовых изделий (неметаллических),, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,CGA,,,Комплекс объектов инновационной инфраструктуры,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CGB,,,Комплекс объектов производства бытовых неэлектрических приборов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CGC,,,Комплекс объектов производства готовых бытовых неэлектрических изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CGD,,,Комплекс объектов производства готовых бытовых электрических изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CGE,,,Комплекс объектов производства игрушек,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CGF,,,Комплекс объектов производства лыж из древесины,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CGG,,,"Комплекс объектов производства медицинских инструментов, оборудования и материалов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CGH,,,Комплекс объектов производства музыкальных инструментов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CGJ,,,Комплекс объектов производства оборудования для обеспечения безопасности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CGK,,,Комплекс объектов производства ювелирных изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,CH,,,,"Комплексы ОКС промышленности готовых металлических изделий, кроме машин и оборудования",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,CHA,,,Комплекс объектов промышленности метизов и прочих готовых металлических изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CHB,,,"Комплекс объектов промышленности обработки металлов, нанесения покрытий на металлы",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CHC,,,Комплекс объектов промышленности обычных вооружений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CHD,,,"Комплекс объектов промышленности паровых котлов, металлических цистерн, резервуаров и прочих емкостей",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CHE,,,"Комплекс объектов промышленности режущих изделий, инструментов и универсальных скобяных изделий",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CHF,,,Комплекс объектов промышленности производства строительных конструкций,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,CJ,,,,"Комплексы ОКС промышленности лекарственных средств, материалов и оборудования, применяемых в медицинских целях",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,CJA,,,Комплекс объектов медицинской промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CJB,,,Комплекс объектов промышленности фармацевтических субстанций,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CJC,,,Комплекс объектов фармацевтической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,CK,,,,"Комплексы ОКС промышленности продуктов древесины, деревообрабатывающей и мебельной промышленности, целлюлозо-бумажной промышленности, полиграфической промышленности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,CKA,,,Комплекс объектов полиграфической промышленности и промышленности копированных носителей информации,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CKB,,,Комплекс объектов промышленности изделий из бумаги и картона,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CKC,,,"Комплекс объектов промышленности изделий из дерева, пробки, соломки и материалов для плетения",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CKD,,,"Комплекс объектов промышленности по распиловке, строганию, предварительной обработке древесины",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CKE,,,"Комплекс объектов промышленности целлюлозы, древесной массы, бумаги и картона",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CKF,,,Комплекс объектов мебельной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,CL,,,,"Комплексы ОКС промышленности резиновых, пластмассовых изделий, неметаллической минеральной продукции",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,CLA,,,Комплекс объектов производства пластмасс,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CLB,,,"Комплекс объектов производства сортового цемента, извести и гипса",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CLC,,,Комплекс объектов промышленности другой неметаллической минеральной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CLD,,,"Комплекс объектов промышленности изделий из бетона, цемента и гипса",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CLE,,,Комплекс объектов промышленности керамических и фарфорофаянсовых материалов и изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CLF,,,"Комплекс объектов промышленности резиновых изделий, шинная промышленность",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CLG,,,Комплекс объектов промышленности силикатных и огнеупорных изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CLH,,,Комплекс объектов промышленности стекла и изделий из стекла,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CLJ,,,"Комплекс объектов промышленности резки, обработки и отделки камня",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,CM,,,,Комплексы ОКС радиоэлектронной и электротехнической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,CMA,,,Комплекс объектов аккумуляторной промышленности и производства элементов электропитания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CMB,,,"Комплекс объектов промышленности компьютеров, периферийного оборудования и коммуникационного оборудования",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CMC,,,"Комплекс объектов промышленности облучающего и электротерапевтического оборудования, применяемого в медицинских целях",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CMD,,,"Комплекс объектов промышленности оптических приборов, фото- и кинооборудования",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CME,,,Комплекс объектов промышленности электрических ламп и осветительного оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CMF,,,"Комплекс объектов промышленности электрической распределительной и регулирующей аппаратуры, кабелей и кабельной арматуры",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CMG,,,"Комплекс объектов промышленности электродвигателей, электрогенераторов, трансформаторов и, подъемно -транспортного оборудования",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CMH,,,Комплекс объектов промышленности электроники и электрооборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CMJ,,,Комплекс объектов промышленности электронных компонентов и печатных плат,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,CN,,,,Комплексы ОКС химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,CNA,,,Комплекс объектов газовой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CNB,,,Комплекс объектов промышленности боеприпасов и спецхимии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CNC,,,"Комплекс объектов промышленности красок, лаков, клеев, эфирных масел",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CND,,,"Комплекс объектов промышленности мыла и моющих, чистящих и полирующих средств, парфюмерных и косметических средств",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CNE,,,Комплекс объектов промышленности неорганических химических веществ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CNF,,,Комплекс объектов промышленности органических химических веществ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CNG,,,Комплекс объектов промышленности пластмасс и синтетических смол,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CNH,,,Комплекс объектов промышленности удобрений и азотных соединений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,CNJ,,,Комплекс объектов промышленности химических волокон,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
D,,,,,Комплексы ОКС энергетики и электроэнергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,DA,,,,Комплексы ОКС атомной энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,DAA,,,Атомная электрическая станция малой мощности стационарного расположения,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","
 Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 19431-84",,,
,,DAB,,,Атомная электрическая станция с водо-водяным энергетическим реактором,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","
 Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 19431-84",,,
,,DAC,,,Атомная электрическая станция с реактором канального типа,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","
 Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 19431-84",,,
,,DAD,,,Атомная электрическая станция с реактором на быстрых нейтронах,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","
 Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 19431-84",,,
,DB,,,,Комплексы ОКС гидроэнергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,DBA,,,Гидроэлектростанция,"Электростанция, преобразующая механическую энергию воды в электрическую энергию","
 Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 19431-84",,,
,,DBB,,,Гидроэлектростанция приливная,"Электростанция, преобразующая энергию морских приливов в электрическую"," Приказ Минстроя России от 02.11.2022 N 928/пр 
Большая советская энциклопедия. — М.: Советская энциклопедия. 1969—1978",,,
,,DBC,,,Волновая электростанция,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,DC,,,,Комплексы ОКС теплоэнергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,DCA,,,Тепловая электростанция,"Электростанция, преобразующая химическую энергию топлива в электрическую энергию или электрическую энергию и тепло","
 Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 19431-84",,,
,,,,DCA010,Электрическая станция на возобновляемых источниках энергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,,,DCA020,Электрическая станция на невозобновляемых источниках энергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,DE,,,,Комплексы ОКС обеспечения электроэнергией,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,DEA,,,"Переход воздушных линий электропередач, коммуникационный тоннель, объект канализации",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,DEB,,,Электрическая сеть,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,DF,,,,Комплексы ОКС газораспределения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,DFA,,,Газораспределительная сеть,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,DFB,,,Комплекс объектов обеспечения сжатым и сжиженным газовым топливом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,DG,,,,Комплексы ОКС теплоснабжения и кондиционирования воздуха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,DGA,,,Комплекс объектов вентиляции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,DGB,,,"Комплекс объектов механической очистки газов, воздуха",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,DGC,,,"Комплекс объектов химической очистки газов, воздуха",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,DGD,,,Тепловой пункт,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,DGE,,,Холодильный пункт,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,DGF,,,Тепловая сеть,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
E,,,,,"Комплексы ОКС водоснабжения, водоотведения, водоочистки",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,EA,,,,Комплексы ОКС водозабора и водоподготовки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,EAA,,,"Комплекс объектов хранения воды (резервуары, насосные станции, напорные башни)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,EAB,,,Гидротехническое сооружение,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,EAC,,,Комплекс объектов водоподготовки и очистки воды,"Комплекс устройств, обеспечивающих обработку исходной воды до заданного качества"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ОСТ 108.030.128-78",,,
,,EAD,,,Комплекс объектов забора воды,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,EB,,,,Комплексы ОКС водораспределения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,EBA,,,Водопровод (сеть водоснабжения),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,EBB,,,Насосная станция,"Сооружение, предназначенное для забора воды из водоисточника и подачи ее в водопроводные сети"," Приказ Минстроя России от 02.11.2022 N 928/пр 
СТО 34.01-27.3-002-2014, ВНПБ 29-14",,,
,EC,,,,"Комплексы ОКС очистки сточных, в том числе дренажных, вод",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,ECA,,,Накопительный комплекс объектов водоочистки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,ECB,,,Комплекс объектов водоочистки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,ECC,,,Комплекс объектов канализации сточных вод,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,ED,,,,Комплексы ОКС приема сточных вод,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,EDA,,,Заглубленный комплекс ОКС для сбора сточных вод,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,EDB,,,Канализационная сеть,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,EDC,,,Насосная станция сбора сточных вод,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,EDD,,,Пруд-накопитель,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
