Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
A,,,,,"Комплексы ОКС сельского и лесного хозяйства, охоты, рыболовства и рыбоводства",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,AA,,,,Животноводческие комплексы ОКС,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,AAA,,,Комплекс объектов коневодства (верблюдоводства),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,AAB,,,Комплекс объектов звероводства (кролиководства),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,AAC,,,Комплекс объектов овцеводства (козоводства),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,AAD,,,"Комплекс объектов по выращиванию крупного рогатого скота, производству мяса, молока, выращиванию ремонтного молодняка",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,AAE,,,Комплекс объектов птицеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,AAF,,,Комплекс объектов пчеловодства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,AAG,,,Комплекс объектов свиноводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,AAH,,,Комплекс объектов шелкового производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,AB,,,,Комплексы ОКС ветеринарии и агробиологии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,ABA,,,Комплекс объектов ветеринарного обслуживания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,ABB,,,Агробиологическая станция,Научно-исследовательское и учебное учреждение, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,Синтезированное определение
,AC,,,,Комплексы ОКС лесного хозяйства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,ACA,,,Комплекс объектов лесоводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,ACB,,,Комплекс объектов лесопромышленных предприятий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,AD,,,,"Комплексы ОКС производства пушнины, добытой в результате охоты",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,AE,,,,Комплексы ОКС рыбоводного хозяйства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,AEA,,,Комплекс объектов выращивания морских видов рыб,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,AEB,,,Комплекс объектов пресноводного рыбоводного хозяйства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,AF,,,,Мелиоративные комплексы ОКС,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,AFA,,,Комплекс объектов инженерной инфраструктуры в мелиорации,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,AFB,,,"Система орошения, осушения",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,AG,,,,Растениеводческие комплексы ОКС,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,AGA,,,Комплекс объектов выращивания винограда,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,AGB,,,Комплекс объектов выращивания хмеля,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,AGC,,,Комплекс объектов обработки и хранения зерна и семян,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,AGD,,,Комплекс объектов хлопкового растениеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,AGE,,,Комплекс объектов производства рассады,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,AGF,,,Тепличный комбинат,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,AGG,,,Садоводческий комплекс ОКС,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,AH,,,,Комплексы ОКС биопромышленные,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,AHA,,,Комплекс объектов предприятий по производству вакцин,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
,,AHB,,,Комплекс объектов предприятий по производству лечебных сывороток,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
B,,,,,Комплексы ОКС добывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,BA,,,,Комплексы ОКС добычи и обогащения железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,
,,BAA,,,Комплекс объектов добычи железных руд открытым способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,
