Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по КСР,Код класса по МССК,Примечания,Примечания
,,AAC,,,,,Фундамент для анкеров и опор контактной сети,"Фундаменты железобетонные и бетонные с композитной арматурой, предназначенные для установки стоек опор контактной сети электрифицированных железных дорог по ГОСТ 19330 в любых климатических условиях","ГОСТ 32209-2013
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,05.1.05.13,,,
,,AAD,,,,,Фундамент под опоры линий электропередачи,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,05.1.05.14,,,
,,AAE,,,,,Фундамент стаканного типа,,"ГОСТ 23972-80
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,05.1.05.15,,,
,,AAF,,,,,Балка фундаментная железобетонная,"Горизонтальный линейный несущий элемент строительных конструкций промышленных и сельскохозяйственных зданий или сооружений, предназначенный для опирания наружных и внутренних стен зданий и передачи нагрузки на фундамент","ГОСТ 28737-2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,05.1.05.01,ЭЛ 10 10 35,,
A,AA,AAG,,,,,Фундамент трансформаторов,,СП 90.13330.2012,,,,,
,AB,,,,,,Элементы несущих конструкций зданий и сооружений,,,,,,,
,,ABA,,,,,Колонны и опоры,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,"ЭЛ 30 16 40
ЭЛ 30 16 80 15",,
,,,ABAA,,,,Капитель,"Конструкция каркаса, расположенная вверху колонны и предназначенная для восприятия нагрузки от вышележащего безбалочного перекрытия, включая усилия продавливания","ГОСТ 27108-2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,05.1.03.05,ЭЛ 30 16 25,,
,,,ABAB,,,,Колонна железобетонная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"05.1.03.06
05.1.03.07",,,
,,,,ABABA,,,Колонна железобетонная для многоэтажных зданий,"Железобетонная колонна сплошного прямоугольного поперечного сечения из тяжелого бетона, предназначенная для каркасов многоэтажных общественных зданий, производственных, административных и бытовых зданий промышленных предприятий",ГОСТ 18979-2014,,,,,
,,,,ABABB,,,Колонна железобетонная для одноэтажных зданий предприятий,"Железобетонная колонна сплошного и сквозного (двухветвевая) прямоугольного поперечного сечения из тяжелого бетона, предназначенная для каркасов одноэтажных зданий предприятий всех отраслей промышленности и сельского хозяйства","ГОСТ 25628.1-2016
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,ЭЛ 30 16 41,,
,,,,ABABC,,,Колонна железобетонная бескрановая для одноэтажных зданий предприятий,"Железобетонная колонна из тяжелого бетона сплошного прямоугольного поперечного сечения, предназначенная для каркасов одноэтажных зданий предприятий без мостовых кранов",ГОСТ 25628.2-2016,,,,,
,,,,ABABD,,,Колонна железобетонная крановая для одноэтажных зданий предприятий,"Железобетонная колонна из тяжелого бетона, предназначенная для каркасов одноэтажных зданий предприятий с мостовыми опорными кранами грузоподъемностью до 50 т всех отраслей промышленности",ГОСТ 25628.3-2016,,,,,
,,,,ABABE,,,Колонна железобетонная под параболические лотки,"Железобетонная колонна, изготовляемая из тяжелого бетона и предназначенная для опирания параболических лотков оросительных систем с расходом воды до 5 м3/с, сооружаемых во всех климатических районах страны с сейсмичностью до 8 баллов включительно",ГОСТ 23899-79,,,,,
