Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по КСР,Код класса по МССК,Примечания,Примечания
,,,,AKADA,,,Анкер,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.15.01,,,
,,,,AKADB,,,Болт,Крепеж в форме металлического стержня со спиральной резьбой на одном конце,"ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,01.7.15.02,,,
,,,,AKADC,,,Болт с гайками и шайбами,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.15.03,,,
,,,,AKADD,,,Винт,"Крепёжная деталь, представляющая собой обычно металлический цилиндрический стержень с головкой со шлицем под отвёртку и резьбовым концом, завинчиваемым в соответствующее резьбовое отверстие, служит для разъёмного соединения различных деталей","Большая политехническая энциклопедия. - М.: Мир и образование. Рязанцев В. Д.. 2011
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,01.7.15.04,,,
,,,,AKADE,,,Гайка,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.15.05,,,
,,,,AKADF,,,Гвоздь,Прямолинейный тонкий металлический крепеж с острым концом и шляпкой,"ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,01.7.15.06,,,
,,,,AKADG,,,Дюбель,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.15.07,,,
,,,,AKADH,,,Заклепка,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.15.08,,,
,,,,AKADJ,,,Крепеж георешеток,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.15.09,,,
,,,,AKADK,,,Скоба,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.15.10,,,
,,,,AKADL,,,Шайба,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.15.11,,,
,,,,AKADM,,,Шпилька,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.15.12,,,
,,,,AKADN,,,Шплинт,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.15.13,,,
,,,,AKADP,,,Шуруп,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.15.14,,,
,,,AKAE,,,,Штифты цилиндрические,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,08.1.02.27,,,
,,,AKAF,,,,Кронштейн базовый,"Вид кронштейна, на котором закрепляют одну или несколько болтовых опор с обеспечением их подвижного или неподвижного положения","ГОСТ 33079-2014
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,ЭЛ 40 45 10 10,,
,,,AKAG,,,,Болтовая опора,"Элемент точечного крепления светопрозрачного заполнения, устанавливаемый в подготовленное отверстие в стекле или стеклопакете и обеспечивающий шарнирное или неподвижное положение точки крепления","ГОСТ 33079-2014
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,ЭЛ 40 45 10 20,,
,,,AKAH,,,,Зажим,,"ГОСТ 33079-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,25.2.01.06,,,
,,,AKAJ,,,,Прижимная планка,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"27.33.13.130.20.2.03.26-0031
27.33.13.130.20.2.03.26-0032
27.33.13.130.20.2.03.26-1022
27.33.13.130.20.2.03.26-1024
27.33.13.130.20.2.03.26-1026
27.33.13.130.20.2.03.26-1028
27.33.13.130.20.2.03.26-1030
27.33.13.130.20.2.03.26-1032",,,
,,,AKAK,,,,Фурнитура для пластиковых плинтусов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,11.3.03.14,,,
,,,AKAL,,,,"Связевой элемент, укладываемый в горизонтальные швы кладки",,,,,,,
,,,,,,AKAL010,"Деталь из проволоки, укладываемая в горизонтальные швы кладки",,,,,,,
,,,,,,AKAL020,Штукатурная сетка,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"23.99.19.190.11.3.03.18-0004
23.99.19.190.11.3.03.18-0005",,,
,,,AKAM,,,,Связево-монтажный элемент,,,,,,,
,,,,,,AKAM020,Стальная перфорированная лента,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"25.11.23.119.07.2.06.04-0041
25.11.23.119.07.2.06.04-0042
25.11.23.119.07.2.06.04-0043
25.11.23.119.07.2.06.04-0044
25.11.23.119.07.2.06.04-0045
25.11.23.119.07.2.06.04-0161",,,
,,AKB,,,,,Монтажные изделия,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,20.2.08,,,
,,,AKBA,,,,Шнур,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.07.26,,,
,,,AKBB,,,,Лента,,,,,,,
,,,AKBC,,,,Уголок для пластиковых панелей,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,11.3.03.13,ЭЛ 30 19 50,,
,,,AKBD,,,,Раскладка поливинилхлоридная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,11.3.03.11,,,
,,,AKBF,,,,Манжет резиновый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.19.03,,,
,,,AKBG,,,,Профиль полимерный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,11.3.03.10,,,
,AL,,,,,,Изоляция,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 10 30 10,,
,,ALA,,,,,Теплоизоляция,"Общий термин, применяемый для описания процесса уменьшения теплопереноса через систему или для описания изделия, элементов системы, которые выполняют функцию тепловой изоляции","ГОСТ 21880-2011
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,,СТ 10 14,,
,,,ALAA,,,,Мат теплоизоляционный,"Гибкое волокнистое теплоизоляционное изделие, поставляемое свернутым в виде рулона или в развернутом виде, которое может быть облицовано","ГОСТ 21880-2011
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,"12.2.04
",,,
,,,ALAB,,,,Плиты изоляционные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"12.2.05
",,,
,,,,ALABA,,,Изделие из вспененного полиэтилена,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.05.01,,,
,,,,,,ALABA020,Профиль из вспененного полиэтилена,,,,,,,
,,,,,,ALABA030,Лист из вспененного полиэтилена,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"22.21.41.115.12.2.05.01-0001
22.21.41.115.12.2.05.01-0002
22.21.41.115.12.2.05.01-0003
22.21.41.115.12.2.05.01-0004
22.21.41.115.12.2.05.01-0011
22.21.41.115.12.2.05.01-0012
22.21.41.115.12.2.05.01-0013
22.21.41.115.12.2.05.01-0014
22.21.41.115.12.2.05.01-0021
22.21.41.115.12.2.05.01-0022
22.21.41.115.12.2.05.01-0023
22.21.41.115.12.2.05.01-0031
22.21.41.115.12.2.05.01-0032
22.21.41.115.12.2.05.01-0033
22.21.41.115.12.2.05.01-0034
22.21.41.115.12.2.05.01-0035
22.21.41.115.12.2.05.01-0036
22.21.41.115.12.2.05.01-0037
22.21.41.115.12.2.05.01-0038
22.21.41.115.12.2.05.01-0039
22.21.41.115.12.2.05.01-0040
22.21.41.115.12.2.05.01-0041
22.21.41.115.12.2.05.01-0042
22.21.41.115.12.2.05.01-0043
22.21.41.115.12.2.05.01-0044
22.21.41.115.12.2.05.01-0045
22.21.41.115.12.2.05.01-0051
",,,
,,,,ALABB,,,Плиты из минеральной ваты,,"ГОСТ 9573-2012
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"12.2.05.02
12.2.05.03
12.2.05.04
12.2.05.05
23.99.19.111.12.2.05.10-0001
23.99.19.111.12.2.05.10-0003
23.99.19.111.12.2.05.10-0004
23.99.19.111.12.2.05.10-0012
23.99.19.111.12.2.05.10-0040
23.99.19.111.12.2.05.10-0041
23.99.19.111.12.2.05.10-1004
23.99.19.111.12.2.05.10-1006
23.99.19.111.12.2.05.10-1008",СТ 10 14 20 14,,
,,,,ALABC,,,Изделие из пенополистирола теплоизоляционное,,ГОСТ Р 56148-2014,,,,,
,,,,,,ALABC010,Блок из пенополистирола,,,,,,,
,,,,,,ALABC020,Плита из пенополистирола,"Плита, изготовляемая беспрессовым способом из вспенивающегося полистирола с антипиренами, полученного суспензионным или экструзионным способом, с добавками графита, красителей или без них","ГОСТ 15588-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,22.21.41.111.25.3.09.01-1122,СТ 10 14 10 02,,
,,,,ALABD,,,Изделие теплоизоляционное из стеклянного штапельного волокна,,ГОСТ 10499-95,,,,,
,,,,,ALABDA,,Плита из стекловолокна,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.05.08,,,
,,,,,ALABDB,,Мат из стекловолокна,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.04.10,,,
,,,,ALABE,,,Плиты фибролитовые,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,01.6.01.09,СТ 10 14 10 12,,
,,,,ALABF,,,Плиты на основе пенополиизоцианурата теплозвукоизоляционные,,ГОСТ Р 56590-2016,,,,,
,,,ALAC,,,,"Скорлупы, сегменты",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"12.2.06
",,,
,,,,ALACA,,,Сегменты из пенополиуретана,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.06.01,,,
,,,,ALACB,,,Сегменты известково-кремнеземистые,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.06.02,,,
,,,,ALACC,,,Скорлупы битумоперлитовые,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.06.03,,,
,,,,ALACD,,,Скорлупы из пенобетона,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.06.04,,,
,,,,ALACE,,,Скорлупы из пенополиуретана без защитного слоя,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.06.05,,,
,,,,ALACF,,,Скорлупы из пенополиуретана фольгированные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.06.06,,,
,,,,ALACG,,,Скорлупы известково-кремнеземистые,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.06.07,,,
,,,ALAD,,,,"Трубки, рулоны",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"12.2.07
",,,
,,,,,,ALAD010,Рулон из вспененного каучука,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.07.01,,,
,,,,,,ALAD020,Рулон из вспененного полиэтилена,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.07.02,,,
,,,,,,ALAD030,Теплоизоляция трубная на основе вспененного полиолефина с замком-застежкой для труб,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.07.03,,,
,,,,,,ALAD040,Трубка из вспененного каучука,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.07.04,,,
,,,,,,ALAD050,Трубка из вспененного полиэтилена,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.07.05,,,
,,,,,,ALAD060,Рулон из пенополистирола,,,,,,,
,,,ALAE,,,,Цилиндры и полуцилиндры теплоизоляционные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"12.2.08
",,,
,,,,ALAEA,,,Цилиндр навивной кашированный алюминиевой фольгой,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.08.01,,,
,,,,ALAEB,,,Цилиндр навивной некашированный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.08.02,,,
,,,,ALAEC,,,Цилиндр вырезной кашированный алюминиевой фольгой,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.08.05,,,
,,,,ALAED,,,Цилиндр вырезной некашированный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.08.06,,,
,,,,ALAEE,,,Комплектующие для цилиндров и полуцилиндров вырезных,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.08.08,,,
,,,ALAF,,,,Изоляция для труб,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"12.2.01.02
12.2.01.04
12.2.01.05
12.2.01.06
12.2.01.10",,,
,,,ALAG,,,,Специализированное теплоизоляционное изделие,,,,,,,
,,,,,,ALAG010,Пластина замковая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.03.06,,,
,,,,,,ALAG020,Прокладка пробковая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.03.08,,,
,,,,,,ALAG030,Лист хризотилцементный волнистый,Изделие с повторяющимися выпуклыми и вогнутыми участками с прямыми продольными образующими,"ГОСТ 30340-2012
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,01.1.01.04,"СТ 10 12 50 10
СТ 10 12 50 20",,
,,,,,,ALAG040,Лист хризотилцементный плоский,Плоское монолитное прямоугольное изделие толщиной от 4 до 40 мм,"ГОСТ 18124-2012
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,01.1.01.05,"СТ 10 12 50 30
СТ 10 12 50 40",,
,,,,,,ALAG050,Шнур теплоизоляционный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.03.14,,,
,,,,,,ALAG060,Шнур асбестовый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.1.01.09,,,
,,,,,,ALAG070,Трубка асбестовая плетеная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.1.01.08,,,
,,,,,,ALAG080,Изделие арболитовое неармированное теплоизоляционное,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,05.2.02.13,СТ 10 14 10 09,,
,,,,,,ALAG090,Деталь покрытия теплоизоляционная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.01.01,,,
,,,,,,ALAG100,Изоляция для фасонных частей пенополимерминеральная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.2.01.11,,,
,,ALB,,,,,Гидроизоляционные и пароизоляционные изделия,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,"СТ 10 15
ЭЛ 10 30 20
ЭЛ 10 30 30",,
,,,ALBA,,,,Изделие геосинтетическое и из природного волокна,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"01.7.12
",,,
,,,,,,ALBA010,Геомат бентонитовый,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,01.7.12.02,СТ 10 15 80 10,,
,,,,,,ALBA020,Геомат экструдированный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.12.03,,,
,,,,,,ALBA030,Геополотно нетканое,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.12.05,,,
,,,,,,ALBA040,Геополотно тканое,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.12.06,,,
,,,,,,ALBA050,Георешетка нетканая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.12.07,,,
,,,,,,ALBA060,Георешетка тканая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.12.08,,,
,,,,,,ALBA070,Георешетка экструдированная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.12.09,,,
,,,,,,ALBA080,Геосетка вязаная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.12.10,,,
,,,,,,ALBA090,Геосетка нитепрошивная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.12.11,,,
,,,,,,ALBA100,Материал геокомпозитный тканый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.12.13,,,
,,,,,,ALBA110,Мат противоэрозионный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.12.15,,,
,,,,,,ALBA120,Материал геосотовый (геоячейки),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),, 01.7.12.17,,,
,,,,,,ALBA130,Профилированная геосинтетическая мембрана,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.12.04,,,
,,,,,,ALBA140,Дренажный геокомпозитный мат,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,22.23.19.000.01.7.12.14-1015,,,
,,,,,,ALBA150,Биомат,,,,,,,
,,,,,,ALBA160,Пленка аэродромная,,,,,,,
,,,ALBB,,,,Специализированное изделие для гидроизоляции,,Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39,,,ЭЛ 10 30 30,,
,,,,,,ALBB010,Втулка кровельная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.1.01.02,,,
,,,,,,ALBB020,Прокладка герметизирующая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,12.1.01.03,,,
,,,,,,ALBB030,Мат противоскользящий резиновый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,22.19.20.112.01.7.19.01-1023,,,
,,,,,,ALBB040,Прокладка уплотнительная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"23.99.11.130.01.1.02.08-1000
22.19.73.114.01.7.07.14-0051
22.19.73.114.01.7.07.14-0052
22.19.73.114.01.7.07.14-0053
22.19.73.114.01.7.07.14-0054
22.19.73.114.01.7.07.14-0055
22.21.30.110.01.7.07.14-0056
22.19.73.114.01.7.07.14-0057
22.19.73.114.01.7.07.14-0061
22.19.20.112.01.7.07.14-1000
22.19.20.112.01.7.07.14-1002",,,
,,,,,,ALBB050,Экран водоотбойный из полиэтилена,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.06.13,,,
,,,,,,ALBB060,Лента гидроизоляционная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.06.02,,,
,,ALC,,,,,Звукоизоляционные изделия,,,,,,,
,,,ALCA,,,,Звукоизоляционные прокладочные материалы и изделия,,,,,,,
,,,,ALCAA,,,Ворсовой синтетический ковер,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.6.03.03,,,
,,,,ALCAB,,,Поливинилхлоридная плитка,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,01.6.03.01,СТ 10 13 45 42,,
,,,,ALCAC,,,Плита из пенорезины,,,,,,,
,,,ALCB,,,,Звукопоглощающее изделие,,,,,,,
,,,,,,ALCB010,Звукопоглощающая гипсовая литая плита,,,,,,,
,,,,,,ALCB020,Плита из минеральной ваты на синтетическом связующем с декоративным покрытием,,,,,,,
,,ALD,,,,,Электроизоляционное изделие,,,,,,,
,,,,,,ALD010,Лента электроизоляционная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,01.7.06.12,,,
,,ALE,,,,,Огнезащита,,,,,,,
,,,ALEA,,,,Плита негорючая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,14.2.02.08,,,
,,,ALEB,,,,Подушка противопожарная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,14.2.02.09,,,
,,,ALEC,,,,"Блоки огнеупорные, кроме изделий из кремнеземистой каменной муки или диатомитовых земель",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"17.3.01
",,,
,,,,ALECA,,,Блок магнезиально-шпилевидный для конвертеров цветной металлургии,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.01.01,,,
,,,,ALECB,,,Блок на основе отходов обогащения лома магнезиально-шпинелидных изделий,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.01.02,,,
,,,,ALECC,,,Блок шамотный по индивидуальным рабочим чертежам,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.01.03,,,
,,,,ALECD,,,Изделие муллитовое блочное для стекловаренных печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.01.04,,,
,,,,ALECE,,,Изделие шамотное блочное для стекловаренных печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.01.05,,,
,,,ALED,,,,"Изделия огнеупорные алюмосиликатные, в том числе шамотные, полукислые",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"17.3.02
",,,
,,,,ALEDA,,,Изделие бетонное шамотное на фосфатной связке,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.02.01,,,
,,,,ALEDB,,,Изделие полукислое общего назначения,,"ГОСТ 390-2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,17.3.02.02,,,
,,,,ALEDC,,,Изделие шамотное для воздухонагревателей доменных печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.02.03,,,
,,,,ALEDD,,,Изделие шамотное для заливочной установки чугуна,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.02.04,,,
,,,,ALEDE,,,Изделие шамотное для кладки доменных печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.02.05,,,
,,,,ALEDF,,,Изделие шамотное для мартеновских печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.02.06,,,
,,,,ALEDG,,,Изделие шамотное для непрерывной разливки стали,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.02.07,,,
,,,,ALEDH,,,Изделие шамотное для стабилизирующих камер газовых горелок,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.02.08,,,
,,,,ALEDJ,,,Изделие шамотное для сталеразливочных ковшей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.02.09,,,
,,,,ALEDK,,,Изделие шамотное для топок котлов морского флота,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.02.10,,,
,,,,ALEDL,,,Изделие шамотное для чугуновозных ковшей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.02.11,,,
,,,,ALEDM,,,Изделие шамотное для шиберных затворов сталеразливочных ковшей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.02.12,,,
,,,,ALEDN,,,Изделия шамотные и полукислые для вагранок,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.02.13,,,
,,,,ALEDP,,,Изделия шамотные и полукислые для сифонной разливки стали,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.02.14,,,
,,,,ALEDQ,,,Изделия шамотные и полукислые для футеровки вращающихся печей,,"ГОСТ 21436-2004
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,17.3.02.15,,,
,,,,ALEDR,,,Изделия шамотные и шамотнокарбидкремниевые для трубчатых рекуператоров,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.02.16,,,
,,,,ALEDS,,,Изделия шамотные легковесные теплоизоляционные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.02.17,,,
,,,,ALEDT,,,Изделия шамотные легковесные теплоизоляционные для вращающихся печей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.02.18,,,
,,,,ALEDU,,,Изделие шамотное общего назначения,,"ГОСТ 390-2018
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,17.3.02.19,,,
,,,,ALEDV,,,Изделия шамотные стопорные для разливки стали из ковша,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.02.20,,,
,,,ALEE,,,,"Изделия огнеупорные карбидокремниевые, включая электронагреватели карбидокремниевые",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"17.3.03
",,,
,,,,ALEEA,,,Изделие карбидокремниевое,,"ГОСТ 10153-70
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,"17.3.03.01
27.90.33.120.62.5.03.04-1000
27.90.33.120.62.5.03.04-1001
27.90.33.120.62.5.03.04-1002
27.90.33.120.62.5.03.04-1003
27.90.33.120.62.5.03.04-1004
27.90.33.120.62.5.03.04-1005
27.90.33.120.62.5.03.04-1006
27.90.33.120.62.5.03.04-1007",,,
,,,,ALEEB,,,Изделие шамотнокарбидкремниевое,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"17.3.03.02
23.20.12.190.17.3.02.16-1000
23.20.12.190.17.3.02.16-1002
23.20.12.190.17.3.02.16-1004
23.20.12.190.17.3.02.16-1006",,,
,,,ALEF,,,,"Изделия огнеупорные магнезиальные, в том числе периклазовые, хромитовые, шпинельные, магнезиально-силикатные, магнезиально-известковые",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,"17.3.04
",,,
,,,,ALEFA,,,"Изделия высокомагнезиальные, периклазовые",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.04.01,,,
,,,,ALEFB,,,Изделия магнезиально-шпилевидные для конвертеров цветной металлургии,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.04.02,,,
,,,,ALEFC,,,Изделия периклазовые для шиберных затворов сталеразливочных ковшей,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,17.3.04.03,,,
