code,level_1,level_2,level_3,level_4,param_1,param_2
ТО 42 20 80 06,,,,"Пилы цепные, мощность до 2 кВт (2,72 л.с.)",2.1-30-86,25.73.20.110
ТО 42 20 80 07,,,,"Пнедробилки, мощность до 9,56 кВт (13 л.с.)",2.1-30-83,28.92.40.129
ТО 42 20 85,,,Прессы,,,
ТО 42 20 85 01,,,,Прессы гидравлические с электроприводом,2.1-30-67,28.41.33.130
ТО 42 20 85 02,,,,"Прессы кривошипные простого действия, номинальное усилие до 25 кН",2.1-30-68,28.41.33.190
ТО 42 20 85 03,,,,"Прессы листогибочные, номинальное усилие до 1000 кН",2.1-30-69,28.41.31.110
ТО 42 20 85 04,,,,Фильтр-прессы,2.1-30-70,28.29.12.136
ТО 42 20 90,,,Прочий инструмент,,,
ТО 42 20 90 01,,,,"Установки для воздушно-плазменной резки, сила тока до 400 А",2.1-30-85,27.90.31.110
ТО 42 20 90 02,,,,Ключи электрические,2.1-30-59,28.24.11.000
ТО 42 20 90 03,,,,Лобзики электрические,2.1-30-33,28.24.11.000
ТО 42 20 90 04,,,,Пистолеты монтажные,2.1-30-14,28.24.12.190
ТО 42 20 90 05,,,,"Фрезы для разделки швов рулонных материалов, мощность до 1,1 кВт",2.1-30-23,28.41.23.120
ТО 42 20 90 06,,,,Резаки,2.1-30-32,28.41.24.130
ТО 42 20 90 07,,,,Рубанки ручные электрические,2.1-30-30,28.24.11.000
ТО 42 20 90 09,,,,Трамбовки пневматические,2.1-30-1,28.92.30.130
ТО 42 20 90 10,,,,"Установки для сверления отверстий в железобетоне, диаметр до 160 мм",2.1-30-34,28.24.11.000
ТО 42 20 90 11,,,,Установки электрогидравлические для выпрямления труб из термопластов диаметром 63-160 мм,2.1-30-51,28.41.31.110
ТО 42 20 90 12,,,,Шуруповерты,2.1-30-56,28.24.11.000
ТО 42 30,,Станки,,,,
ТО 42 30 10,,,"Станки для обработки камня, керамики, бетона",,,
ТО 42 30 10 01,,,,"Станки для алмазного сверления, диаметр сверления до 160 мм",2.1-30-4,28.49.11.110
ТО 42 30 10 02,,,,"Станки камнерезные универсальные, мощность до 2,5 кВт",2.1-30-45,28.49.11.110
ТО 42 30 10 04,,,,"Станки камнерезные, диаметр диска до 250 мм",2.1-30-35,28.49.11.110
ТО 42 30 10 05,,,,"Станки камнерезные, диаметр диска до 500 мм",2.1-30-38,28.49.11.110
ТО 42 30 10 06,,,,Станки точильно-шлифовальные двухсторонние,2.1-30-22,28.41.23.120
ТО 42 30 10 07,,,,Станки токарно-винторезные,2.1-30-36,28.41.21.110
ТО 42 30 10 08,,,,Станки вертикально-сверлильные,2.1-30-37,28.41.22.110
ТО 42 30 10 10,,,,Станки трубогибочные для труб диаметром до 500 мм,2.1-30-41,28.41.31.110
ТО 42 30 10 12,,,,"Станки трубоотрезные, диаметр труб до 50 мм",2.1-30-43,28.41.24.130
ТО 42 30 10 13,,,,Фрезеры деревообрабатывающие ручные,2.1-30-52,28.41.22.130
ТО 42 30 10 14,,,,Станки для перемотки рулонных материалов,2.1-30-53,28.99.39.190
ТО 42 30 20,,,Для алмазного сверления,,,
ТО 42 30 20 01,,,,"Станки для алмазного сверления, диаметр сверления до 80 мм",2.1-30-81,28.49.11.110
ТО 42 30 20 02,,,,"Станки для алмазного сверления, диаметр сверления до 250 мм",2.1-30-82,28.49.11.110
