code,level_1,level_2,level_3,param_1,IFC
НД 05 05 11,,,Торговля электроэнергией,35.14,
НД 05 05 13,,,"Торговля газообразным топливом, подаваемым по газораспределительным сетям",35.23,
НД 05 05 16,,,Распределение пара и горячей воды (тепловой энергии),35.30.3,
НД 05 05 19,,,Торговля паром и горячей водой (тепловой энергией),35.30.6,
НД 05 05 20,,,"Забор, очистка и распределение воды",36,
НД 05 05 21,,,Сбор и обработка сточных вод,37,
НД 05 05 22,,,Сбор неопасных отходов,38.11,
НД 05 05 23,,,Обработка и утилизация неопасных отходов,38.21,
НД 06,Назначение гаражных помещений и зон,,,,
НД 06 10,,"Автостоянка, парковка",,52.21.24,
НД 06 10 10,,,Для легковых авто,,
НД 06 10 20,,,Гостевая для легковых авто,,
НД 06 10 30,,,Для инвалидов,,
НД 06 20,,Автомойка,,45.20.3,
НД 07,Назначение помещений и зон медицинских организаций,,,,
НД 07 10,,Амбулаторно-поликлиническая медицинская помощь,,,
НД 07 10 10,,,Массажный салон,86.90.3,
НД 07 10 20,,,Поликлиника,86.10,
НД 07 20,,Стационарная медицинская помощь,,,
НД 07 30,,Назначение медицинских помещений,,,
НД 07 30 01,,,Акушерское отделение,,
НД 07 30 02,,,Акушерское обсервационное отделение,,
НД 07 30 03,,,Акушерское физиологическое отделение,,
НД 07 30 04,,,Блок интенсивной терапии,,
НД 07 30 05,,,Отделение медицинской визуализации,,
НД 07 30 06,,,Отделение медицинской помощи,,
НД 07 30 07,,,Отделение поликлинического приема,,
НД 07 30 08,,,Отделение сестринского ухода,,
НД 07 30 09,,,Отделение эфферентной терапии,,
НД 07 30 10,,,Отделение гемодиализа и детоксикации,,
НД 07 30 11,,,Отделение экстракорпорального оплодотворения,,
НД 07 30 12,,,Операционное отделение,,
НД 07 30 13,,,Операционный блок,,
НД 07 30 14,,,Патолого-анатомическое отделение,,
НД 07 30 15,,,Отделение переливания крови,,
НД 07 30 16,,,Отделение реанимации и интенсивной терапии,,
НД 07 30 17,,,Отделение анестезиологии и реанимации,,
НД 07 30 18,,,Инфекционное отделение,,
НД 07 30 19,,,Отделение психиатрии,,
НД 07 30 20,,,Отделение наркологии,,
НД 07 30 21,,,Отделение стоматологии,,
НД 07 30 22,,,Отделение физиотерапии,,
НД 07 30 23,,,Родильное отделение,,
НД 07 30 24,,,Отделение новорожденных,,
НД 07 30 25,,,Отделение патологии новорожденных и недоношенных детей,,
НД 07 30 26,,,Отделение патологии беременности,,
НД 07 30 27,,,Послеродовое отделение,,
НД 07 30 28,,,Отделение ортопедии,,
НД 07 30 29,,,Отделение гинекологии,,
НД 07 30 30,,,Отделение урологии,,
НД 07 30 31,,,Отделение акушерства и гинекологии,,
НД 07 30 32,,,Отделение хирургии,,
НД 07 30 33,,,Отделение нейрохирургии,,
НД 07 30 34,,,Отделение челюстно-лицевой хирургии,,
НД 07 30 35,,,Отделение педиатрии,,
НД 07 30 36,,,Отделение кардиологии,,
НД 07 30 37,,,Отделение неврологии,,
НД 07 30 38,,,Отделение офтальмологии,,
НД 07 30 39,,,Отделение отоларингологии,,
НД 07 30 40,,,Отделение рентгенэндоваскулярных методов,,
НД 07 30 41,,,Отделение дневного стационара,,
НД 07 30 42,,,Отделение платных услуг,,
НД 07 30 43,,,Терапевтическое отделение,,
НД 07 30 44,,,Отделение травматологии,,
НД 07 30 45,,,Отделение детской травматологии,,
НД 07 30 46,,,Отделение сосудистой хирургии,,
НД 07 30 47,,,Отделение паллиативной медицинской помощи,,
НД 07 30 48,,,Отделение онкологии,,
НД 07 30 49,,,Отделение пульмонологии,,
НД 07 30 50,,,Отделение функциональной диагностики,,
НД 07 30 51,,,Клинико-диагностическая лаборатория,,
НД 07 30 52,,,Отделение рентгенологии,,
НД 07 30 53,,,Отделение ультразвуковой диагностики,,
НД 07 30 54,,,Приемное отделение,,
НД 07 30 55,,,Консультационно-диагностическое отделение,,
НД 07 30 56,,,Отделение эндоскопии,,
НД 07 30 57,,,Офис врача общей практики,,
НД 07 30 58,,,Фельдшерско-акушерский пункт,,
НД 07 30 59,,,Зуботехническая лаборатория,,
НД 08,"Назначение помещений и зон объектов культуры, искусства и спорта",,,,
НД 08 10,,Искусство,,,
НД 08 10 10,,,Библиотека,91.01,
НД 08 10 15,,,Дом культуры,90.04.3,
НД 08 10 20,,,Кинозал,59.14,
НД 08 10 25,,,Кинотеатр,59.14,
НД 08 10 30,,,Концертный зал,90.04.1,
НД 08 10 35,,,Музей,91.02,
НД 08 10 40,,,Планетарий,91.01,
НД 08 10 45,,,Театральное искусство,90.04.1,
НД 08 10 50,,,Художественная галерея,91.02,
НД 08 20,,Развлечения,,,
НД 08 20 10,,,Аквариум,,
НД 08 20 15,,,Зоопарк,91.04.1,
НД 08 20 20,,,Океанариум,,
НД 08 20 25,,,Цирк,90.01,
НД 08 20 30,,,Казино,92.11,
НД 08 20 35,,,Игровые автоматы,92.12,
НД 08 20 40,,,Букмекерская контора,92.13,
НД 08 20 45,,,Тотализатор,92.13,
НД 08 20 50,,,Проведение лотерей,92.2,
НД 08 30,,Спорт,,,
НД 08 30 10,,,Тир,93.29,
НД 08 30 15,,,Плавательный бассейн,93.11,
НД 08 30 20,,,Боулинг,93.12,
НД 08 30 30,,,Шахматный клуб,93.12,
НД 08 30 40,,,Стрелковый клуб,93.12,
НД 08 30 50,,,Фитнес и бодибилдинг,93.13,
НД 09,Назначение административных и офисных помещений и зон,,,,
НД 09 01,,Деятельность по трудоустройству и подбору персонала,,78,
НД 09 02,,Деятельность туристических агенств,,79,
НД 09 02 10,,,Деятельность туристических агенств,79.11,
НД 09 02 20,,,Деятельность туристических операторов,79.12,
НД 09 03,,Аренда и лизинг авто,,77.1,
НД 09 04,,Прокат и аренда личных и хозяйственно-бытовых товаров,,77.2,
НД 09 05,,Офисная деятельность,,,
НД 09 06,,Правоохранительная деятельность,,,
НД 09 06 01,,,Отделение по вопросам миграции,,
НД 09 06 02,,,Отделение уголовного розыска,,
НД 09 06 03,,,Отделение участковых уполномоченных и подразделений по делам несовершеннолетних,,
НД 09 06 04,,,Отделение по контролю за оборотом наркотиков,,
НД 09 06 05,,,Отделение ГИБДД,,
НД 09 06 06,,,Отделение по пропаганде безопасности дорожного движения и анализа причин ДТП,,
НД 09 06 07,,,Отделение дорожного надзора,,
НД 09 06 08,,,Отделение технического надзора,,
НД 09 06 09,,,Отдельный батальон ДПС,,
НД 09 06 10,,,Отделение патрульно-постовой службы,,
НД 09 06 11,,,Отдел организации дознания,,
НД 09 06 12,,,Оперативный отдел,,
НД 09 06 13,,,Следственный отдел,,
НД 09 06 14,,,Дежурная часть,,
НД 09 06 15,,,Отдельная рота по охране объектов органов внутренних дел,,
НД 09 06 16,,,Экспертно-криминалистический отдел,,
НД 09 06 17,,,Отдел регистрации несчастных случаев,,
НД 09 06 18,,,Отдел кинологической службы,,
НД 09 06 19,,,Отдел по противодействию экстремизму,,
НД 09 06 20,,,"ОРЧ по обеспечению безопасности лиц, подлежащих государственной защите",,
НД 09 06 21,,,Отдел оперативно-розыскной информации,,
НД 09 06 22,,,Отдел экономической безопасности и противодействия коррупции,,
НД 09 06 23,,,Отдел вневедомственной охраны,,
НД 09 06 24,,,Комендантский отдел,,
НД 09 06 25,,,Отдел СОБР,,
НД 09 06 26,,,Отделение дознания,,
НД 09 06 27,,,Отдел временного содержания подозреваемых и обвиняемых,,
НД 09 06 28,,,Отдел охраны общественного порядка,,
НД 09 06 29,,,Отдел по исполнению административного законодательства,,
НД 09 06 30,,,Отделение по работе с личным составом,,
НД 09 06 31,,,Штаб,,
НД 10,Техническое обслуживание,,,,
НД 10 10,,Обслуживание инженерных систем здания,,,
НД 11,Пожарная безопасность,,,,
НД 11 10,,Обеспечение пожаротушения,,,
НД 11 10 10,,,Транспортировка пожарных подразделений,,
НД 11 15,,Обеспечение пожарной безопасности,,,
