code,level_1,level_2,level_3,level_4,level_5,param_1
СТ 10 16 60 10,,,,Водоснабжение,,
СТ 10 16 60 10 01,,,,,Гибкая подводка с оплеткой из нержавеющей стали для воды,
СТ 10 16 60 10 02,,,,,Сильфонная подводка с оплеткой из нержавеющей стали для воды,
СТ 10 16 60 20,,,,Газоснабжение,,
СТ 10 16 60 20 01,,,,,Шланг (рукав) армированный газовый (ПВХ),
СТ 10 16 60 20 02,,,,,Сильфонная подводка из нержавеющей стали для газа,
СТ 10 17,,Материалы воздуховодов,,,,
СТ 10 17 10,,,Сталь листовая,,,
СТ 10 17 10 10,,,,Сталь тонколистовая холоднокатанная,,
СТ 10 17 10 20,,,,Сталь тонколистовая горячекатанная,,
СТ 10 17 10 30,,,,Сталь тонколистовая оцинкованная холоднокатанная,,
СТ 10 17 10 40,,,,Сталь тонколистовая оцинкованная горячекатанная,,
СТ 10 17 10 50,,,,Сталь тонколистовая нержавеющая,,
СТ 10 17 20,,,Алюминий,,,
СТ 10 17 20 10,,,,Алюминий,,
СТ 10 17 20 20,,,,Алюминиевые сплавы,,
СТ 10 17 20 30,,,,Гофра алюминиевая,,
СТ 10 17 30,,,Титан,,,
СТ 10 17 40,,,Пластик,,,
СТ 10 17 40 10,,,,Полипропилен,,
СТ 10 17 40 20,,,,Поливинилхлорид (ПВХ),,
СТ 10 17 40 30,,,,Полиэтилен,,
СТ 10 17 40 40,,,,Полиуретан,,
СТ 10 18,,Материалы радиаторов,,,,
СТ 10 18 10,,,Чугун,,,
СТ 10 18 20,,,Сталь,,,
СТ 10 18 30,,,Алюминий,,,
СТ 10 18 40,,,Биметаллический,,,
СТ 10 19,,Материалы строительной арматуры,,,,
СТ 10 19 10,,,Сталь,,,
СТ 10 19 20,,,Композитная,,,
СТ 10 19 20 10,,,,Стеклопластиковая (АСП),,
СТ 10 19 20 20,,,,Базальтопластиковая (АБП),,
СТ 10 19 20 30,,,,Углепластиковая,,
СТ 10 20,,Доска электротехническая,,,,
СТ 10 20 10,,,Доска асбестоцементная дугостойкая (АЦЭИД),,,
СТ 20,Строительные изделия,,,,,
СТ 20 05,,Погонажные изделия,,,,
СТ 20 05 01,,,Металлопрокат,,,
СТ 20 05 01 01,,,,Прокат листовой,,
СТ 20 05 01 02,,,,Прокат широкополосный,,
СТ 20 05 01 03,,,,Прокат сортовой,,
СТ 20 05 01 03 01,,,,,Прокат квадратный,
СТ 20 05 01 03 02,,,,,Прокат круглый,
СТ 20 05 01 03 03,,,,,Прокат шестигранный,
СТ 20 05 01 03 04,,,,,Прокат полосовой,
СТ 20 05 01 04,,,,Прокат фасонный,,
СТ 20 05 01 04 01,,,,,Уголок равнополочный,
СТ 20 05 01 04 02,,,,,Уголок неравнополочный,
СТ 20 05 01 04 03,,,,,Двутавр,
СТ 20 05 01 04 04,,,,,Швеллер,
СТ 20 05 01 05,,,,Профиль гнутый,,
СТ 20 05 01 05 01,,,,,Уголок гнутый равнополочный,
СТ 20 05 01 05 02,,,,,Уголок гнутый неравнополочный,
СТ 20 05 01 05 03,,,,,Швеллер гнутый,
СТ 20 05 01 05 04,,,,,Труба квадратная,
СТ 20 05 01 05 05,,,,,Труба прямоугольная,
СТ 20 05 01 05 06,,,,,Профнастил,
СТ 20 05 01 05 07,,,,,Профиль корытный,
СТ 20 05 01 05 08,,,,,Профиль зетовый,
СТ 20 05 02,,,Арматурный прокат,,,
СТ 20 05 02 01,,,,Арматура гладкая,,
СТ 20 05 02 02,,,,Арматура периодического профиля,,
СТ 20 10,,Панель наружная стеновая,,,,
СТ 20 10 10,,,Панель стеновая наружная бетонная и железобетонная ГОСТ 11024-2012,,,
СТ 20 10 10 10,,,,Для надземных этажей,,
СТ 20 10 10 10 10,,,,,Двухслойная наружная вертикальной полосовой разрезки панель 2НВ,
СТ 20 10 10 10 20,,,,,Однослойная наружная стеновая несущая панель (однорядной разрезки) 1НСН,
СТ 20 10 10 10 30,,,,,Двухслойная наружная стеновая несущая панель (однорядной разрезки) 2НСН,
СТ 20 10 10 10 40,,,,,Однослойная наружная стеновая ненесущая панель (однорядной разрезки) 1НС,
СТ 20 10 10 10 50,,,,,Двухслойная наружная стеновая ненесущая панель (однорядной разрезки) 2НС,
СТ 20 10 10 10 60,,,,,Однослойная наружная горизонтальной полосовой разрезки панель 1НГ,
СТ 20 10 10 10 70,,,,,Двухслойная наружная горизонтальной полосовой разрезки панель 2НГ,
СТ 20 10 10 10 80,,,,,Однослойная наружная вертикальной полосовой разрезки панель 1НВ,
СТ 20 10 10 20,,,,Для цокольного этажа или технического подполья,,
СТ 20 10 10 20 10,,,,,Двухслойная наружная цокольная ненесущая панель (однорядной разрезки) 2НЦ,
СТ 20 10 10 20 20,,,,,Однослойная наружная цокольная несущая панель (однорядной разрезки) 1НЦН,
СТ 20 10 10 20 30,,,,,Двухслойная наружная цокольная несущая панель (однорядной разрезки) 2НЦН,
СТ 20 10 10 20 40,,,,,Однослойная наружная цокольная ненесущая панель (однорядной разрезки) 1НЦ,
СТ 20 10 10 30,,,,Для чердака,,
СТ 20 10 10 30 10,,,,,Двухслойная наружная чердачная - вертикальной полосовой разрезки панель 2НЧВ,
СТ 20 10 10 30 20,,,,,Однослойная наружная чердачная несущая панель (однорядной разрезки) 1НЧН,
СТ 20 10 10 30 30,,,,,Двухслойная наружная чердачная несущая панель (однорядной разрезки) 2НЧН,
СТ 20 10 10 30 40,,,,,Однослойная наружная чердачная ненесущая панель (однорядной разрезки) 1НЧ,
СТ 20 10 10 30 50,,,,,Двухслойная наружная чердачная ненесущая панель (однорядной разрезки) 2НЧ,
СТ 20 10 10 30 60,,,,,Однослойная наружная чердачная горизонтальной полосовой разрезки панель 1НЧГ,
СТ 20 10 10 30 70,,,,,Двухслойная наружная чердачная горизонтальной полосовой разрезки панель 2НЧГ,
СТ 20 10 10 30 80,,,,,Однослойная наружная чердачная вертикальной полосовой разрезки панель 1НЧВ,
СТ 20 10 20,,,Панель асбестоцементная,,,
СТ 20 10 20 10,,,,Панель асбестоцементная на деревянном каркасе (1ПНСА),,
СТ 20 10 20 20,,,,Панель асбестоцементная на деревянном каркасе (2ПНСА),,
СТ 20 20,,Плиты перекрытий железобетонные многопустотные,,,,
СТ 20 20 10,,,Плита перекрытия железобетонная многопустотная ГОСТ 32499-2013,,,
СТ 20 20 10 10,,,,Плита железобетонная армированная без предварительного напряжения,,
СТ 20 20 10 20,,,,Плита железобетонная армированная  преднапряженная,,
СТ 20 21,,Материалы для благоустройства территории,,,,
СТ 20 21 10,,,Покрытия из бетона и на его основе,,,
СТ 20 21 10 01,,,,Асфальтобетонное покртытие,,
СТ 20 21 10 02,,,,Бетонное покрытие,,
СТ 20 21 10 03,,,,Бетонная плита,,
СТ 20 21 20,,,Покрытия из камня и плитки,,,
СТ 20 21 20 01,,,,Брусчатка,,
СТ 20 21 20 02,,,,Плитка с возможностью проезда спецтехники,,
СТ 20 21 20 03,,,,Тротуарная плитка ,,
СТ 20 21 20 04,,,,Тротуарная плитка с тактильной поверхностью,,
СТ 20 21 30,,,Покрытия из искуственных материалов,,,
СТ 20 21 30 01,,,,Покрытие из резиновой крошки,,
СТ 20 21 30 02,,,,Покрытие из искусственного газона,,
СТ 20 21 40,,,Покрытия сыпучие и набивные,,,
СТ 20 21 40 01,,,,Неорганические сыпучие материалы,,
СТ 20 21 40 01 01,,,,,Покрытие щебеночное,
СТ 20 21 40 01 02,,,,,Покрытие гравийное,
СТ 20 21 40 01 03,,,,,Покрытие бутовое,
СТ 20 21 40 01 04,,,,,Покрытие керамзитное,
СТ 20 21 40 01 05,,,,,Покрытие гранитное,
СТ 20 21 40 01 06,,,,,Покрытие мраморной крошкой,
СТ 20 21 40 01 07,,,,,Покрытие песчаное,
СТ 20 21 50,,,Покрытия из георешеток,,,
СТ 20 21 50 01,,,,Георешетка для склонов и откосов,,
СТ 20 21 50 02,,,,Георешетка газонная пластиковая,,
СТ 20 21 50 03,,,,Георешетка газонная бетонная,,
СТ 20 21 50 04,,,,Георешетка для канав и береговой линии,,
СТ 20 21 60,,,Покрытия из растительного материала,,,
СТ 20 21 60 01,,,,Покрытия из газона,,
СТ 20 21 60 01 01,,,,,Газон посевной,
СТ 20 21 60 01 02,,,,,Газон рулонный,
СТ 20 21 60 01 03,,,,,Газон спортивный,
СТ 20 25,,Изделия для обустройства тоннеля,,,,
СТ 20 25 01,,,Конструкции обделки,,,
СТ 20 25 01 01,,,,Тюбинг,,
СТ 20 25 01 02,,,,Цельная секция,,
СТ 20 25 02,,,Стеновой блок,,,
СТ 20 25 03,,,Блок перекрытия,,,
СТ 21,Изделия санитарные,,,,,
СТ 21 10,,Изделия санитарные керамические,,,,
СТ 21 10 10,,,Умывальники керамические,,,
СТ 21 10 20,,,Унитазы керамические,,,
СТ 21 10 30,,,Писуары керамические,,,
СТ 30,"Кабельно-проводниковая продукция, изделия для монтажа кабелей",,,,,
СТ 30 10,,Кабельно-проводниковая продукция,,,,
СТ 30 10 10,,,Кабели,,,
СТ 30 10 10 10,,,,Кабели силовые,,
СТ 30 10 10 10 01,,,,,Кабели для сетей электрифицированного транспорта,
СТ 30 10 10 10 02,,,,,Кабели силовые c бумажной изоляцией,
СТ 30 10 10 10 03,,,,,Кабели силовые для нестационарной прокладки,
СТ 30 10 10 10 04,,,,,Кабели силовые на напряжение 110-220 кВ,
СТ 30 10 10 10 05,,,,,Кабели силовые с пластмассовой изоляцией до 10 кВ,
СТ 30 10 10 10 06,,,,,Кабели силовые с пластмассовой изоляцией от 6 до 35 кВ,
СТ 30 10 10 10 07,,,,,Кабели установочные,
СТ 30 10 10 10 08,,,,,Кабели шахтные,
СТ 30 10 10 20,,,,Кабели связи,,
СТ 30 10 10 20 01,,,,,Кабели связи оптические магистральные,
СТ 30 10 10 20 02,,,,,Кабели связи оптические локальные,
СТ 30 10 10 20 03,,,,,Кабели для передачи данных низкочастотные,
СТ 30 10 10 20 04,,,,,Кабели местной связи высокочастотные,
СТ 30 10 10 20 05,,,,,Кабели связи коаксиальные радиочастотные,
СТ 30 10 10 20 06,,,,,Кабели связи комбинированные,
СТ 30 10 10 20 07,,,,,Кабели связи симметричные для цифровых систем передачи (витая пара),
СТ 30 10 10 30,,,,Кабели контрольные,,
СТ 30 10 10 40,,,,Кабели пожарные,,
СТ 30 10 20,,,Провода,,,
СТ 30 10 20 10,,,,Медные контактные провода,,
СТ 30 10 20 15,,,,Медные неизолированные гибкие,,
СТ 30 10 20 20,,,,Провода в силиконовой изоляции,,
СТ 30 10 20 25,,,,Провода высоковольтные монтажные телевизионные,,
СТ 30 10 20 30,,,,Провода для подвижного состава и электротранспорта,,
СТ 30 10 20 35,,,,Провода и шнуры соединительные с дополнительными требованиями,,
СТ 30 10 20 40,,,,Провода и шнуры соединительные,,
СТ 30 10 20 45,,,,Провода монтажные,,
СТ 30 10 20 50,,,,Провода самонесущие изолированные и защищенные СИП,,
СТ 30 10 20 55,,,,Провода связи,,
СТ 30 10 20 60,,,,Провода термостойкие,,
СТ 30 10 20 65,,,,Провода установочные,,
СТ 30 10 20 70,,,,Провода установочные бытового назначения,,
СТ 30 20,,Изделия для монтажа кабелей,,,,
СТ 30 20 10,,,Муфты кабельные,,,
СТ 30 20 10 10,,,,Муфты общепромышленного применения,,
СТ 30 20 10 10 01,,,,,Муфты концевые,
СТ 30 20 10 10 02,,,,,Муфты соединительные,
