code,level_1,level_2,level_3,level_4
УП 10,Роли и группы ролей,,,
УП 10 10,,Управление,,
УП 10 10 10,,,Президент,
УП 10 10 11,,,Вице-президент,
УП 10 10 12,,,Руководитель,
УП 10 10 13,,,Заместитель руководителя,
УП 10 10 14,,,Генеральный директор,
УП 10 10 15,,,Исполнительный директор,
УП 10 10 16,,,Финансовый директор,
УП 10 10 17,,,Менеджер,
УП 10 20,,Планирование,,
УП 10 20 10,,,Планировщик,
УП 10 20 11,,,Оценщик стоимости,
УП 10 20 12,,,Диспетчер,
УП 10 30,,Исполнение,,
УП 10 30 10,,,Застройщик,
УП 10 30 11,,,Заказчик,
УП 10 30 12,,,Представитель заказчика,
УП 10 30 13,,,Технический заказчик,
УП 10 30 14,,,Сметчик,
УП 10 30 15,,,Генеральный проектировщик,
УП 10 30 16,,,Проектировщик,
УП 10 30 17,,,Субпроектировщик,
УП 10 30 18,,,Экспертиза,
УП 10 30 18 07,,,,Руководитель департамента развития ТИМ
УП 10 30 18 08,,,,Руководитель отдела ТИМ
УП 10 30 18 09,,,,ТИМ-консультант
УП 10 30 18 10,,,,ТИМ-эксперт
УП 10 30 18 11,,,,Эксперт по ИИ
УП 10 30 18 12,,,,Эксперт по ОДИ
УП 10 30 18 13,,,,Эксперт по ПБ
УП 10 30 18 14,,,,Эксперт по электроснабжению
УП 10 30 18 15,,,,Эксперт-архитектор
УП 10 30 18 16,,,,Эксперт-инженер
УП 10 30 18 17,,,,Эксперт-конструктор
УП 10 30 18 18,,,,Эксперт-санитарный врач
УП 10 30 18 19,,,,Эксперт-сметчик
УП 10 30 18 20,,,,Эксперт-эколог
УП 10 30 19,,,Стройнадзор,
УП 10 30 19 10,,,,Инспектор стройнадзора
УП 10 30 20,,,Генеральный подрядчик,
УП 10 30 21,,,Подрядчик,
УП 10 30 22,,,Субподрядчик,
УП 10 30 23,,,Поставщик,
УП 10 30 24,,,Эксплуатация,
УП 10 30 25,,,ТИМ-менеджер,
УП 10 30 26,,,ТИМ-координатор,
УП 10 30 27,,,Главный специалист,
УП 10 30 27 10,,,,Главный архитектор
УП 10 30 27 15,,,,Главный инженер
УП 10 30 27 20,,,,Главный инженер проекта
УП 10 30 27 25,,,,Главный конструктор
УП 10 30 27 30,,,,Главный программист
УП 10 30 27 35,,,,Главный проектировщик
УП 10 30 27 40,,,,Руководитель проекта
УП 10 30 28,,,Архитектура,
УП 10 30 28 10,,,,ТИМ-координатор
УП 10 30 28 15,,,,ТИМ-менеджер
УП 10 30 28 20,,,,Архитектор
УП 10 30 28 25,,,,Архитектор по благоустройству
УП 10 30 28 30,,,,Архитектор по внутренней отделке
УП 10 30 28 35,,,,Архитектор по наружной отделке
УП 10 30 28 40,,,,Дизайнер интерьеров
УП 10 30 28 45,,,,Дизайнер по освещению
УП 10 30 28 50,,,,Ландшафтный дизайнер
УП 10 30 29,,,Инженеры по дисциплинам,
УП 10 30 29 10,,,,ТИМ-координатор
УП 10 30 29 15,,,,ТИМ-менеджер
УП 10 30 29 20,,,,Конструктор
УП 10 30 29 25,,,,Инженер ОВК
УП 10 30 29 45,,,,Инженер по ПБ
УП 10 30 29 50,,,,Инженер по технике безопасности
УП 10 30 29 55,,,,Инженер электроснабжения
УП 10 30 29 60,,,,Инженер ВВ
УП 10 30 29 65,,,,Инженер по сетям связи
УП 10 30 30,,,Рабочие,
УП 10 30 30 10,,,,Каменщик
УП 10 30 30 20,,,,Квалифицированный рабочий
УП 10 30 30 30,,,,Маляр
УП 10 30 30 40,,,,Монтажник
УП 10 30 30 50,,,,Неквалифицированный рабочий
УП 10 30 30 60,,,,Оператор
УП 10 30 30 70,,,,Плотник
УП 10 30 30 80,,,,Прораб
УП 10 30 30 90,,,,Штукатур
