code,level_1,level_2,level_3,param_1,param_2,param_3
ВР 10,Монолитное и каменное строительство,,,,,
ВР 10 05,,Устройство опалубки подземной и цокольной частей,,,,
ВР 10 05 01,,,Устройство опалубки (снизу) и поддерживающих ее конструкций для высоких ростверков,3.6-3-1,Ростверк,на площадке
ВР 10 05 02,,,Монтаж опалубки монолитных железобетонных конструкций стен инженерных сооружений (подземных пешеходных переходов и коллекторов),3.6-66-1,Стена,на площадке
ВР 10 05 03,,,Монтаж опалубки монолитных железобетонных конструкций колонн инженерных сооружений (подземных пешеходных переходов и коллекторов),3.6-66-2,Колонна,на площадке
ВР 10 05 04,,,Монтаж опалубки монолитных железобетонных конструкций перекрытий инженерных сооружений (подземных пешеходных переходов и коллекторов),3.6-66-3,Перекрытие,на площадке
ВР 10 05 05,,,Демонтаж опалубки монолитных железобетонных конструкций стен инженерных сооружений (подземных пешеходных переходов и коллекторов),3.6-67-1,Стена,на площадке
ВР 10 05 06,,,Демонтаж опалубки монолитных железобетонных конструкций колонн инженерных сооружений (подземных пешеходных переходов и коллекторов),3.6-67-2,Колонна,на площадке
ВР 10 05 07,,,Демонтаж опалубки монолитных железобетонных конструкций перекрытий инженерных сооружений (подземных пешеходных переходов и коллекторов),3.6-67-3,Перекрытие,на площадке
ВР 10 05 08,,,Монтаж опалубки монолитных железобетонных конструкций фундаментов ленточных и низкорасположенных ростверков,3.6-70-1,"Фундамент ленточный
Ростверк",на площадке
ВР 10 05 09,,,Монтаж опалубки монолитных железобетонных конструкций фундаментов ленточных с подколонниками,3.6-70-2,Фундамент ленточный,на площадке
ВР 10 05 10,,,Монтаж опалубки монолитных железобетонных конструкций фундаментных плит,3.6-70-3,Фундаментная плита,на площадке
ВР 10 05 11,,,Монтаж опалубки монолитных железобетонных конструкций фундаментных плит с подколонниками,3.6-70-4,Фундаментная плита,на площадке
ВР 10 05 12,,,Монтаж опалубки монолитных железобетонных конструкций фундаментов столбчатых с подколонниками,3.6-70-5,Фундамент столбчатый,на площадке
ВР 10 05 13,,,Демонтаж опалубки монолитных железобетонных конструкций фундаментов ленточных и низкорасположенных ростверков,3.6-71-1,"Фундамент ленточный
Ростверк",на площадке
ВР 10 05 14,,,Демонтаж опалубки монолитных железобетонных конструкций фундаментов ленточных с подколонниками,3.6-71-2,Фундамент ленточный,на площадке
ВР 10 05 15,,,Демонтаж опалубки монолитных железобетонных конструкций фундаментных плит,3.6-71-3,Фундаментная плита,на площадке
ВР 10 05 16,,,Демонтаж опалубки монолитных железобетонных конструкций фундаментных плит с подколонниками,3.6-71-4,Фундаментная плита,на площадке
ВР 10 05 17,,,Демонтаж опалубки монолитных железобетонных конструкций фундаментов столбчатых с подколонниками,3.6-71-5,Фундамент столбчатый,на площадке
ВР 10 05 18,,,Монтаж опалубки монолитных железобетонных конструкций стен подземной и цокольной частей здания,3.6-74-1,Стена,на площадке
ВР 10 05 19,,,Монтаж опалубки монолитных железобетонных конструкций колонн подземной и цокольной частей здания,"3.6-74-2
3.6-74-3",Колонна,на площадке
ВР 10 05 20,,,Монтаж опалубки монолитных железобетонных конструкций перекрытия подземной и цокольной частей здания,3.6-74-4,Перекрытие,на площадке
ВР 10 05 21,,,Монтаж опалубки монолитных железобетонных конструкций лестничных маршей подземной и цокольной частей здания,3.6-74-5,Лестничный марш,на площадке
ВР 10 05 22,,,Демонтаж опалубки монолитных железобетонных конструкций стен подземной и цокольной частей здания,3.6-75-1,Стена,на площадке
ВР 10 05 23,,,Демонтаж опалубки монолитных железобетонных конструкций колонн подземной и цокольной частей здания,"3.6-75-2
3.6-75-3",Колонна,на площадке
ВР 10 05 24,,,Демонтаж опалубки монолитных железобетонных конструкций перекрытий подземной и цокольной частей здания,3.6-75-4,Перекрытие,на площадке
ВР 10 05 25,,,Демонтаж опалубки монолитных железобетонных конструкций лестничных маршей подземной и цокольной частей здания,3.6-75-5,Лестничный марш,на площадке
ВР 10 10,,Армирование подземной и цокольной частей,,,,
ВР 10 10 01,,,"Установка стальных конструкций, остающихся в теле бетона",3.6-6-6,Стальная конструкция,на площадке
ВР 10 10 02,,,Установка закладных деталей,"3.6-6-7
3.6-6-8
3.6-6-9",Закладная деталь,на площадке
ВР 10 10 03,,,Армирование подстилающих слоев и набетонок,3.6-6-10,"Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 10 04,,,Сварка арматуры ванным способом,"3.6-7-1
3.6-7-2
3.6-7-3","Арматурный стержень
Арматурная сетка
Арматурный каркас",на площадке
ВР 10 10 05,,,Установка стержневой стеклокомпозитной арматуры в опалубку монолитной железобетонной обоймы трубы водостока,"3.6-40-1
3.6-40-2
3.6-40-3","Арматурный стержень
",на площадке
ВР 10 10 06,,,Раскладка и вязка стеклокомпозитной арматуры отдельными стержнями при армировании фундаментных плит,"3.6-40-4
3.6-40-5
3.6-40-6","Арматурный стержень
",на площадке
ВР 10 10 07,,,Изготовление пространственного каркаса из отдельных стержней стеклокомпозитной арматуры,3.6-40-7,"Арматурный каркас

",на площадке
ВР 10 10 08,,,"Установка арматурных изделий, каркасов и сеток в опалубку монолитных железобетонных конструкций стен инженерных сооружений (подземных пешеходных переходов и коллекторов)",3.6-68-1,"Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 10 09,,,"Установка арматурных изделий, каркасов и сеток в опалубку монолитных железобетонных конструкций перекрытий инженерных сооружений (подземных пешеходных переходов и коллекторов)",3.6-68-2,"Арматурный стержень
Арматурная сетка
Арматурный каркас",на площадке
ВР 10 10 10,,,"Установка арматурных изделий, отдельных стержней в опалубку монолитных железобетонных конструкций стен инженерных сооружений (подземных пешеходных переходов и коллекторов)",3.6-68-3,"Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 10 11,,,"Установка арматурных изделий, отдельных стержней в опалубку монолитных железобетонных конструкций колонн инженерных сооружений (подземных пешеходных переходов и коллекторов)",3.6-68-4,"Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 10 12,,,"Установка арматурных изделий, отдельных стержней в опалубку монолитных железобетонных конструкций перекрытий инженерных сооружений (подземных пешеходных переходов и коллекторов)",3.6-68-5,"Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 10 13,,,Установка закладных деталей монолитных железобетонных конструкций инженерных сооружений (подземных пешеходных переходов и коллекторов),3.6-68-6,"Закладная деталь

",на площадке
ВР 10 10 14,,,"Установка арматурных изделий, каркасов и сеток в опалубку фундаментов",3.6-72-1,"Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 10 15,,,"Установка арматурных изделий, отдельных стержней в опалубку ленточных фундаментов",3.6-72-2,"Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 10 16,,,"Установка арматурных изделий, отдельных стержней в опалубку массивов, отдельных фундаментов и плит",3.6-72-3,"Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 10 17,,,Установка закладных деталей фундаментов,3.6-72-4,"Закладная деталь
",на площадке
ВР 10 10 18,,,"Установка арматурных изделий, каркасов и сеток в опалубку монолитных железобетонных конструкций стен подземной и цокольной частей здания",3.6-76-1,"Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 10 19,,,"Установка арматурных изделий, каркасов и сеток в опалубку монолитных железобетонных конструкций перекрытий подземной и цокольной частей здания",3.6-76-2,"Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 10 20,,,"Установка арматурных изделий, отдельных стержней в опалубку монолитных железобетонных конструкций стен подземной и цокольной частей здания",3.6-76-3,"Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 10 21,,,"Установка арматурных изделий, отдельных стержней в опалубку монолитных железобетонных конструкций колонн подземной и цокольной частей здания",3.6-76-4,"Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 10 22,,,"Установка арматурных изделий, отдельных стержней в опалубку монолитных железобетонных конструкций перекрытий подземной и цокольной частей здания",3.6-76-5,"Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 10 23,,,"Установка арматурных изделий, отдельных стержней в опалубку монолитных железобетонных конструкций лестничных маршей подземной и цокольной частей здания",3.6-76-6,"Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 10 24,,,Установка закладных деталей монолитных железобетонных конструкций подземной и цокольной частей здания,3.6-76-7,"Закладная деталь
",на площадке
ВР 10 15,,Устройство отдельных элементов конструкций подземной и цокольной частей,,,,
ВР 10 15 01,,,Устройство монолитной железобетонной обвязочной балки по ограждающим конструкциям котлована,3.6-109-1,Балка,на площадке
ВР 10 15 02,,,Устройство бетонной подготовки,3.6-1-1,Фундаментное основание,на площадке
ВР 10 15 03,,,Устройство бетонных и железобетонных фундаментов общего назначения под колонны,"3.6-1-2
3.6-1-3
3.6-1-4
3.6-1-5
3.6-1-6
3.6-1-7
3.6-1-8
3.6-1-9",Фундамент общего назначения,на площадке
ВР 10 15 04,,,Устройство фундаментов железобетонных общего назначения с подколонниками,"3.6-1-10
3.6-1-11
3.6-1-12",Фундамент общего назначения,на площадке
ВР 10 15 05,,,Устройство фундаментов-столбов бетонных,3.6-1-13,Фундамент столбчатый,на площадке
ВР 10 15 06,,,Устройство фундаментных плит,"3.6-1-14
3.6-1-15
3.6-1-16
3.6-1-17
3.6-1-18",Фундаментная плита,на площадке
ВР 10 15 07,,,Устройство фундаментов ленточных бетонных,3.6-1-19,Фундамент ленточный,на площадке
ВР 10 15 08,,,Устройство фундаментов ленточных железобетонных,"3.6-1-20
3.6-1-21",Фундамент ленточный,на площадке
ВР 10 15 09,,,Устройство фундаментов общего назначения под оборудование,"3.6-2-1
3.6-2-2
3.6-2-3
3.6-2-4
3.6-2-5
3.6-2-6",Фундамент общего назначения,на площадке
ВР 10 15 10,,,Устройство стен подвалов бетонных и железобетонных,"3.6-8-1
3.6-8-2
3.6-8-3
3.6-8-4
3.6-8-5
3.6-8-6
3.6-8-7
3.6-8-8
3.6-8-9
3.6-8-10
3.6-8-11
3.6-8-12",Стена,на площадке
ВР 10 15 11,,,Устройство железобетонных балок фундаментных,3.6-12-1,Балка фундаментная,на площадке
ВР 10 15 12,,,Устройство засыпки фундаментных балок,3.6-14-2,Балка фундаментная,на площадке
ВР 10 15 13,,,"Бетонирование по схеме ""кран-бадья"" монолитных железобетонных конструкций фундаментов ленточных и низкорасположенных ростверков","3.6-73-1
3.6-73-2","Фундамент ленточный
Ростверк",на площадке
ВР 10 15 14,,,"Бетонирование по схеме ""кран-бадья"" монолитных железобетонных конструкций фундаментов столбчатых с подколонниками и подколонников",3.6-73-3,"Фундамент столбчатый
Подколонник",на площадке
ВР 10 15 15,,,Бетонирование автобетононасосом монолитных железобетонных конструкций фундаментов ленточных и низкорасположенных ростверков,"3.6-73-4
3.6-73-5","Фундамент ленточный
Ростверк",на площадке
ВР 10 15 16,,,Бетонирование автобетононасосом монолитных железобетонных конструкций фундаментных плит,3.6-73-6,Фундаментная плита,на площадке
ВР 10 15 17,,,"Бетонирование по схеме ""кран-бадья"" монолитных железобетонных конструкций стен подземной и цокольной частей здания","3.6-77-1
3.6-77-2
3.6-77-3
3.6-77-4
3.6-77-5",Стена,на площадке
ВР 10 15 18,,,"Бетонирование по схеме ""кран-бадья"" монолитных железобетонных конструкций колонн подземной и цокольной частей здания","3.6-77-6
3.6-77-7
3.6-77-8",Колонна,на площадке
ВР 10 15 19,,,"Бетонирование по схеме ""кран-бадья"" монолитных железобетонных конструкций перекрытий подземной и цокольной частей здания","3.6-77-9
3.6-77-10
3.6-77-11",Перекрытие,на площадке
ВР 10 15 20,,,"Бетонирование по схеме ""кран-бадья"" монолитных железобетонных конструкций лестничных маршей подземной и цокольной частей здания",3.6-77-12,Лестничный марш,на площадке
ВР 10 15 21,,,"Бетонирование по схеме ""кран-бадья"" монолитных железобетонных конструкций лестничных площадок подземной и цокольной частей здания",3.6-77-13,Лестничная площадка,на площадке
ВР 10 15 22,,,Устройство песчаного основания под фундаменты,3.8-1-1,Фундаментное основание,на площадке
ВР 10 15 23,,,Устройство щебеночного основания под фундаменты,3.8-1-2,Фундаментное основание,на площадке
ВР 10 15 24,,,Устройство гравийного основания под фундаменты,3.8-1-3,Фундаментное основание,на площадке
ВР 10 20,,Прочие работы по устройству подземной и цокольной частей,,,,
ВР 10 20 01,,,Дополнительные затраты на устройство колодцев для анкерных болтов,3.6-2-7,"Углубление в плите
",
ВР 10 20 02,,,Дополнительные затраты на устройство сложных фундаментов,3.6-2-8,"Фундамент ленточный
Фундамент столбчатый
Фундаментная плита
Фундамент общего назначения
Фундаментная балка
Фундаментный блок",на площадке
ВР 10 20 03,,,Устройство швов деформационных,"3.6-100-1
3.6-100-2
3.6-100-3
3.6-100-4","Шов деформационный
",все
ВР 10 20 04,,,Устройство подливки,"3.6-4-1
3.6-4-2",Подливка фундамента,все
ВР 10 20 05,,,Укладка бетона по перекрытиям,"3.6-5-1
3.6-5-2",Перекрытие,все
ВР 10 20 06,,,Установка анкерных болтов,"3.6-6-1
3.6-6-2
3.6-6-3
3.6-6-4
3.6-6-5",Болт анкерный,
ВР 10 20 07,,,Устройство прослойки из раствора под подошвы фундаментов,3.7-2-1,"Прослойка из раствора
",все
ВР 10 20 08,,,Установка поручней из коррозионностойкой стали на лестничных маршах,3.7-90-1,Поручень,готовое изделие
ВР 10 25,,Устройство инженерных сооружений,,,,
ВР 10 25 01,,,"Бетонирование по схеме ""кран-бадья"" монолитных железобетонных конструкций стен инженерных сооружений (подземных пешеходных переходов и коллекторов)","3.6-69-1
3.6-69-2
3.6-69-3
3.6-69-4
3.6-69-5",Стена,на площадке
ВР 10 25 02,,,"Бетонирование по схеме ""кран-бадья"" монолитных железобетонных конструкций колонн инженерных сооружений (подземных пешеходных переходов и коллекторов)","3.6-69-6
3.6-69-7
3.6-69-8",Колонна,на площадке
ВР 10 25 03,,,"Бетонирование по схеме ""кран-бадья"" монолитных железобетонных конструкций перекрытий инженерных сооружений (подземных пешеходных переходов и коллекторов)",3.6-69-9,Перекрытие,на площадке
ВР 10 30,,Гидроизоляция подземной и цокольной частей,,,,
ВР 10 30 01,,,"Горизонтальная цементная гидроизоляция стен, фундаментов с жидким стеклом",3.8-2-1,Стена,Все
ВР 10 30 02,,,"Оклеечная горизонтальная гидроизоляция стен, фундаментов","3.8-2-2
3.8-2-3",Стена,Все
ВР 10 30 03,,,"Обмазочная боковая гидроизоляция стен, фундаментов цементная с жидким стеклом",3.8-2-4,Стена,Все
ВР 10 30 04,,,"Гидроизоляция стен, фундаментов боковая оклеечная по выравненной поверхности бутовой кладки, кирпичу и бетону в 2 слоя",3.8-2-5,Стена,Все
ВР 10 30 05,,,"Гидроизоляция стен, фундаментов боковая оклеечная по выравненной поверхности бутовой кладки, кирпичу и бетону на каждый слой сверх 2-х добавлять",3.8-2-6,Стена,Все
ВР 10 30 06,,,"Гидроизоляция стен, фундаментов боковая обмазочная битумная в 2 слоя по выравненной поверхности бутовой кладки, кирпичу, бетону",3.8-2-7,Стена,Все
ВР 10 30 07,,,"Устройство гидроизоляции стен, фундаментов с применением гидроизоляционных битумно-полимерных СБС-модифицированных материалов в один слой. Укладка бандажной ленты при устройстве горизонтальной изоляции фундамента",3.8-2-8,Стена,Все
ВР 10 30 08,,,"Устройство гидроизоляции стен, фундаментов с применением рулонных гидроизоляционных битумно-полимерных СБС-модифицированных материалов в один слой, устройство горизонтальной изоляции методом свободной укладки",3.8-2-9,Стена,Все
ВР 10 30 09,,,"Устройство гидроизоляции стен, фундаментов с применением рулонных гидроизоляционных битумно-полимерных СБС-модифицированных материалов в один слой, устройство горизонтальной изоляции методом наплавления",3.8-2-10,Стена,Все
ВР 10 30 10,,,"Устройство гидроизоляции стен, фундаментов с применением рулонных гидроизоляционных битумно-полимерных СБС-модифицированных материалов в один слой, устройство боковой изоляции методом наплавления",3.8-2-11,Стена,Все
ВР 10 30 11,,,"Устройство гидроизоляции стен, фундаментов с применением битумно-полимерных СБС-модифицированных материалов в один слой, устройство боковой изоляции методом механического крепления",3.8-2-12,Стена,Все
ВР 10 30 12,,,"Устройство гидроизоляции стен, фундаментов с применением рулонных гидроизоляционных битумно-полимерных СБС-модифицированных материалов в один слой, установка прижимной планки",3.8-2-13,Стена,Все
ВР 10 30 13,,,"Гидроизоляция поверхностей из подвижно-пластичного материала ""Глимс-Водоstop"" толщиной слоя 2 мм",3.8-41-1,Все сборные и монолитные жб конструкции,Все
ВР 10 30 14,,,"Гидроизоляция бетонных и оштукатуренных поверхностей с применением сухой смеси ""Пенетрон""",3.8-43-1,Все монолитные жб конструкции,на площадке
ВР 10 30 15,,,"Гидроизоляция швов, стыков, сопряжений бетонных и железобетонных конструкций с применением сухой смеси ""Пенекрит""",3.8-44-1,Все сборные и монолитные жб конструкции,Все
ВР 10 30 16,,,"Боковая изоляция стен, фундаментов глиной",3.8-46-1,Стена,Все
ВР 10 30 17,,,"Устройство систем дренажа типа ""Дельта"", защитная система дренажа полов",3.8-47-1,Пол,Все
ВР 10 30 18,,,"Устройство систем дренажа типа ""Дельта"", вертикальная, наружная дренажная система со слоем геотекстиля",3.8-47-2,Стена,Все
ВР 10 30 19,,,"Устройство систем дренажа типа ""Дельта"", вентилирующая, водоотводящая система дренажа стен",3.8-47-3,Стена,Все
ВР 10 35,,Устройство опалубки надземной части ,,,,
ВР 10 35 01,,,Монтаж опалубки монолитных железобетонных конструкций стен надземной части зданий,"3.6-78-1
3.6-82-1
3.6-86-1
3.6-90-1
3.6-94-1",Стена,на площадке
ВР 10 35 02,,,Монтаж опалубки монолитных железобетонных конструкций колонн,"3.6-78-2
3.6-78-3
3.6-82-2
3.6-82-3
3.6-86-2
3.6-86-3
3.6-90-2
3.6-90-3
3.6-94-2
3.6-94-3",Колонна,на площадке
ВР 10 35 03,,,Монтаж опалубки монолитных железобетонных конструкций перекрытия,"3.6-78-4
3.6-82-4
3.6-86-4
3.6-90-4
3.6-94-4",Перекрытие,на площадке
ВР 10 35 04,,,Монтаж опалубки монолитных железобетонных конструкций лестничных маршей,"3.6-78-5
3.6-82-5
3.6-86-5
3.6-90-5
3.6-94-5",Лестничный марш,на площадке
ВР 10 35 05,,,Демонтаж опалубки монолитных железобетонных конструкций стен,"3.6-79-1
3.6-83-1
3.6-87-1
3.6-91-1
3.6-95-1",Стена,на площадке
ВР 10 35 06,,,Демонтаж опалубки монолитных железобетонных конструкций колонн,"3.6-79-2
3.6-79-3
3.6-83-2
3.6-83-3
3.6-87-2
3.6-87-3
3.6-91-2
3.6-91-3
3.6-95-2
3.6-95-3",Колонна,на площадке
ВР 10 35 07,,,Демонтаж опалубки монолитных железобетонных конструкций перекрытий,"3.6-79-4
3.6-83-4
3.6-87-4
3.6-91-4
3.6-95-4",Перекрытие,на площадке
ВР 10 35 08,,,Демонтаж опалубки монолитных железобетонных конструкций лестничных маршей,"3.6-79-5
3.6-83-5
3.6-87-5
3.6-91-5
3.6-95-5",Лестничный марш,на площадке
ВР 10 35 09,,,Монтаж несъемной опалубки сталебетонных перекрытий из стального профилированного настила,"3.6-104-1
3.6-104-2",Перекрытие,на площадке
ВР 10 35 10,,,Крепление профилированного настила к стальным прогонам анкерами,3.6-104-3,Перекрытие,на площадке
ВР 10 35 11,,,"Добавляется при устройстве сталебетонных перекрытий при пролетах, превышающих значения, приведенные в технической части",3.6-104-4,Перекрытие,на площадке
ВР 10 35 12,,,"Монтаж элементов несъемной опалубки сборно-монолитных железобетонных конструкций стен строительной системы ""Filigran""",3.6-101-1,Стена,на площадке
ВР 10 35 13,,,"Монтаж элементов несъемной опалубки сборно-монолитных железобетонных конструкций перекрытий строительной системы ""Filigran""",3.6-101-2,Перекрытие,на площадке
ВР 10 35 14,,,"Устройство балочно-ригельной крупнощитовой опалубки с изготовлением опалубочных щитов в построечных условиях, стен",3.6-107-1,Стена,на площадке
ВР 10 35 15,,,"Устройство балочно-ригельной крупнощитовой опалубки с изготовлением опалубочных щитов в построечных условиях, колонн","3.6-107-2
3.6-107-3",Колонна,на площадке
ВР 10 35 16,,,"Демонтаж балочно-ригельной крупнощитовой опалубки с изготовлением опалубочных щитов в построечных условиях, стен",3.6-108-1,Стена,на площадке
ВР 10 35 17,,,"Демонтаж балочно-ригельной крупнощитовой опалубки с изготовлением опалубочных щитов в построечных условиях, колонн","3.6-108-2
3.6-108-3",Колонна,на площадке
ВР 10 35 18,,,Монтаж разборно-переставной опалубки перекрытий,3.6-116-1,Перекрытие,на площадке
ВР 10 35 19,,,Монтаж индустриальной крупнощитовой опалубки стен,3.6-116-2,Стена,на площадке
ВР 10 35 20,,,Монтаж индустриальной крупнощитовой опалубки колонн,3.6-116-3,Колонна,на площадке
ВР 10 35 21,,,Демонтаж разборно-переставной опалубки перекрытий,3.6-117-1,Перекрытие,на площадке
ВР 10 35 22,,,Демонтаж индустриальной крупнощитовой опалубки стен,3.6-117-2,Стена,на площадке
ВР 10 35 23,,,Демонтаж индустриальной крупнощитовой опалубки колонн,3.6-117-3,Колонна,на площадке
ВР 10 35 24,,,Перемещение самоподъемной опалубки на один монтажный горизонт с помощью гидравлической системы подъема,3.6-119-1,"Стена
Перегородка
Перекрытие
Парапет
Отбойник
Элементы конструкций
Лестницы и пандусы",на площадке
ВР 10 35 25,,,Монтаж крупнощитовой балочно-ригельной опалубки стен ядра жесткости здания из готовых щитов с помощью гидравлической системы подъема,3.6-119-2,Стена,на площадке
ВР 10 35 26,,,Демонтаж крупнощитовой балочно-ригельной опалубки стен ядра жесткости здания из готовых щитов с помощью гидравлической системы подъема,3.6-119-3,Стена,на площадке
ВР 10 40,,Армирование надземной части,,,,
ВР 10 40 01,,,"Установка арматурных изделий, каркасов и сеток в опалубку монолитных железобетонных конструкций стен","3.6-80-1
3.6-84-1
3.6-88-1
3.6-92-1
3.6-96-1","Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 40 02,,,"Установка арматурных изделий, каркасов и сеток в опалубку монолитных железобетонных конструкций перекрытий","3.6-80-2
3.6-84-2
3.6-88-2
3.6-92-2
3.6-96-2","Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 40 03,,,"Установка арматурных изделий, отдельных стержней в опалубку монолитных железобетонных конструкций стен","3.6-80-3
3.6-84-3
3.6-88-3
3.6-92-3
3.6-96-3","Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 40 04,,,"Установка арматурных изделий, отдельных стержней в опалубку монолитных железобетонных конструкций колонн","3.6-80-4
3.6-84-4
3.6-88-4
3.6-92-4
3.6-96-4","Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 40 05,,,"Установка арматурных изделий, отдельных стержней в опалубку монолитных железобетонных конструкций перекрытий","3.6-80-5
3.6-84-5
3.6-88-5
3.6-92-5
3.6-96-5","Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 40 06,,,"Установка арматурных изделий, отдельных стержней в опалубку монолитных железобетонных конструкций лестничных маршей","3.6-80-6
3.6-84-6
3.6-88-6
3.6-92-6
3.6-96-6","Арматурный стержень
Арматурная сетка
Арматурный каркас
",на площадке
ВР 10 40 07,,,Установка закладных деталей монолитных железобетонных конструкций,"3.6-80-7
3.6-84-7
3.6-88-7
3.6-92-7
3.6-96-7",Закладная деталь,на площадке
ВР 10 40 08,,,"Армирование отдельными стержнями монолитных железобетонных конструкций стен при возведении конструкций на высоте 105,5 м",3.6-111-1,"Арматурный стержень
",на площадке
ВР 10 40 09,,,"Армирование отдельными стержнями монолитных железобетонных конструкций перекрытий и лестничных площадок при возведении конструкций на высоте 105,5 м",3.6-111-2,"Арматурный стержень
",на площадке
ВР 10 40 10,,,"Установка арматурных каркасов монолитных железобетонных конструкций колонн при возведении конструкций на высоте 105,5 м",3.6-111-3,"Арматурный каркас
",на площадке
ВР 10 40 11,,,Изготовление вручную арматурных пространственных каркасов в построечных условиях,"3.6-123-1
3.6-123-2
3.6-123-3
3.6-123-4
3.6-123-5","Арматурный каркас
",на площадке
ВР 10 40 12,,,Армирование кладки стен и других конструкций,3.8-8-1,"Арматурная сетка
",на площадке
ВР 10 40 13,,,Армирование кладки стен и других конструкций сеткой из базальтового волокна,3.8-8-4,"Арматурная сетка
",на площадке
ВР 10 45,,Устройство отдельных элементов конструкций надземной части,,,,
ВР 10 45 01,,,"Устройство железобетонных балок для перекрытий, подкрановых и обвязочных","3.6-12-2
3.6-12-3
3.6-12-4
3.6-12-5
3.6-12-6",Балка,на площадке
ВР 10 45 02,,,Устройство железобетонных балок с жесткой арматурой,"3.6-12-7
3.6-12-8",Балка,на площадке
ВР 10 45 03,,,Устройство железобетонных перемычек,3.6-12-9,Перемычка,на площадке
ВР 10 45 04,,,Устройство поясов,"3.6-13-1
3.6-13-2",Балка,на площадке
ВР 10 45 05,,,"Устройство стен и перегородок бетонных, легкобетонных и железобетонных","3.6-10-1
3.6-10-2
3.6-10-3
3.6-10-4
3.6-10-5
3.6-10-6
3.6-10-7
3.6-10-8
3.6-10-9
3.6-10-10
3.6-10-11
3.6-10-12
3.6-10-13
3.6-10-14
3.6-10-15
3.6-10-16
3.6-10-17
3.6-10-18
3.6-11-1
3.6-11-2
3.6-11-3
3.6-11-4
3.6-11-5
3.6-11-6
3.6-11-7
3.6-11-8
3.6-11-9
3.6-11-10
3.6-11-11
3.6-11-12
3.6-11-13
3.6-11-14
3.6-11-15
3.6-11-16
3.6-11-17","Стена
Перегородка",на площадке
ВР 10 45 06,,,Устройство колонн бетонных,"3.6-9-1
3.6-9-2
3.6-9-3",Колонна,на площадке
ВР 10 45 07,,,Устройство колонн железобетонных,"3.6-9-4
3.6-9-5
3.6-9-6
3.6-9-7
3.6-9-8
3.6-9-9
3.6-9-10
3.6-9-11
3.6-9-12
3.6-9-13
3.6-9-14",Колонна,на площадке
ВР 10 45 08,,,Устройство колонн со стальными сердечниками,"3.6-9-15
3.6-9-16
3.6-9-17
3.6-9-18
3.6-9-19
3.6-9-20
3.6-9-21
3.6-9-22",Колонна,на площадке
ВР 10 45 09,,,Устройство перекрытий безбалочных,"3.6-15-1
3.6-15-2
3.6-15-3
3.6-15-4",,
ВР 10 45 10,,,Устройство перекрытий ребристых,"3.6-15-5
3.6-15-6",,
ВР 10 45 11,,,Устройство перекрытий по стальным балкам и монолитные участки при сборном железобетонном перекрытии,3.6-15-7,,
ВР 10 45 12,,,По стальным балкам,"3.6-15-8
3.6-15-9
3.6-15-10
3.6-15-11
3.6-15-12",,
ВР 10 45 13,,,Устройство наружных самонесущих стен  из кирпича глухих,"3.6-57-1
3.6-57-3",Стена,на площадке
ВР 10 45 14,,,Устройство наружных самонесущих стен из кирпича с проемами,"3.6-57-2
3.6-57-4",Стена с Проемом,на площадке
ВР 10 45 15,,,Устройство внутренних стен  из кирпича глухих,"3.6-58-1
3.6-58-3",Стена,на площадке
ВР 10 45 16,,,Устройство внутренних стен  из кирпича с проемами,"3.6-58-2
3.6-58-4",Стена с Проемом,на площадке
ВР 10 45 17,,,Устройство армированных перегородок  из кирпича глухих,"3.6-59-1
3.6-59-3",Перегородка,на площадке
ВР 10 45 18,,,Устройство армированных перегородок  из кирпича с проемами,"3.6-59-2
3.6-59-4",Перегородка с Проемом,на площадке
ВР 10 45 19,,,Устройство неармированных перегородок  из кирпича глухих,3.6-59-5,Перегородка,на площадке
ВР 10 45 20,,,Устройство неармированных перегородок  из кирпича с проемами,3.6-59-6,Перегородка с Проемом,на площадке
