code,level_1,level_2,level_3,param_1,param_2,param_3
ВР 30 10 01,,,Устройство покрытий земляных без добавок песка,3.11-12-1,Покрытие пола,все
ВР 30 10 02,,,Устройство покрытий земляных улучшенных добавками песка (20%),3.11-12-2,Покрытие пола,все
ВР 30 10 03,,,Устройство покрытий щебеночных с пропиткой битумом,3.11-12-3,Покрытие пола,все
ВР 30 10 04,,,Устройство монолитных бетонных полов с использованием технологии вакуумирования бетона и последующей затиркой и шлифовкой поверхности из бетона марки 300 толщиной 80 мм без плинтусов и с плинтусами,"3.11-13-1
3.11-13-2",Покрытие пола,все
ВР 30 10 05,,,"Добавлять на каждые 10 мм изменения толщины пола из бетона марки 300, без плинтусов к позиции 3.11-13-1",3.11-13-3,Покрытие пола,все
ВР 30 10 06,,,"Исключать при не выполнении вакуумирования к позицииям 3.11-13-1, 3.11-13-2",3.11-13-4,Покрытие пола,все
ВР 30 10 07,,,Исключать при не выполнении вакуумирования к позиции 3.11-13-3,3.11-13-5,Покрытие пола,все
ВР 30 10 08,,,Устройство покрытий бетонных толщиной 30 мм,3.11-14-1,Покрытие пола,все
ВР 30 10 09,,,Добавлять или исключать на каждые 5 мм изменения толщины к позиции 3.11-14-1,3.11-14-2,Покрытие пола,все
ВР 30 10 10,,,Устройство покрытий цементных толщиной 20 мм,3.11-14-3,Покрытие пола,все
ВР 30 10 11,,,Добавлять или исключать на каждые 5 мм изменения толщины к позиции 3.11-14-3,3.11-14-4,Покрытие пола,все
ВР 30 10 12,,,Шлифовка бетонных покрытий,3.11-14-5,Покрытие пола,все
ВР 30 10 13,,,"Шлифовка поверхности подготовки из пескобетона затирочно-шлифовальной машиной ""Тремикс""",3.11-14-6,Покрытие пола,все
ВР 30 10 14,,,"Устройство полов из полированных плит различной формы мраморных типа ""Брекчия""",3.11-15-1,Покрытие пола,все
ВР 30 10 15,,,"Устройство полов из полированных плит различной формы гранитных типа ""Брекчия""",3.11-15-2,Покрытие пола,все
ВР 30 10 16,,,Устройство покрытий мозаичных (терраццо) толщиной 20 мм без рисунка,3.11-15-3,Покрытие пола,все
ВР 30 10 17,,,Устройство покрытий мозаичных (терраццо) толщиной 20 мм с рисунком,3.11-15-4,Покрытие пола,все
ВР 30 10 18,,,Добавлять или исключать на каждые 5 мм изменения толщины к позиции 3.11-15-3,3.11-15-5,Покрытие пола,все
ВР 30 10 19,,,Устройство покрытий асфальтобетонных литых толщиной 25 мм,3.11-16-1,Покрытие пола,все
ВР 30 10 20,,,Добавлять или исключать на 5 мм изменения толщины к позиции 3.11-16-1,3.11-16-2,Покрытие пола,все
ВР 30 10 21,,,Устройство покрытий асфальтобетонных жестких толщиной 25 мм,3.11-16-3,Покрытие пола,все
ВР 30 10 22,,,Добавлять или исключать на 5 мм изменения толщины к позиции 3.11-16-3,3.11-16-4,Покрытие пола,все
