code,level_1,level_2,level_3,level_4
СС 30 50 49,,,Система авиационного освещения,
СС 30 50 51,,,Система освещения тоннелей,
СС 30 55,,Системы пожарной безопасности,,
СС 30 55 10,,,Автоматическая пожарная сигнализация АПС,
СС 30 55 20,,, Автоматизация системы противопожарной защиты АПЗ,
СС 30 55 30,,,Система оповещения и управления эвакуацией людей при пожаре СОУЭ,
СС 30 55 40,,,Система автоматического пожаротушения,
СС 30 55 40 10,,,,Автоматические установки газового пожаротушения
СС 30 55 40 20,,,,Автоматические установки пенного пожаротушения
СС 30 55 40 30,,,,Автоматические установки порошкового пожаротушения
СС 30 60,,"Системы связи, сигнализации, автоматизации и диспетчеризации",,
СС 30 60 01,,,Системы безопасности,
СС 30 60 01 10,,,,Система охранно-тревожной сигнализации СОТС
СС 30 60 01 20,,,,Система охранного телевидения СОТ
СС 30 60 01 30,,,,Система контроля и управления доступом СКУД
СС 30 60 01 40,,,,Система охраны входов
СС 30 60 01 50,,,,Система охраны квартир
СС 30 60 01 60,,,,Система охранной защиты
СС 30 60 01 70,,,,Система оповещения и управления эвакуацией
СС 30 60 02,,,Автоматизированная система коммерческого учета электропотребления,
СС 30 60 03,,,Система автоматизации и диспетчеризации инженерного оборудования,
СС 30 60 04,,,Система автоматизации водоснабжения,
СС 30 60 05,,,Система приема телевидения,
СС 30 60 06,,,Интернет,
СС 30 60 07,,,Система дымоудаления,
СС 30 60 08,,,Система видеонаблюдения,
СС 30 60 09,,,Система телефонной связи,
СС 30 60 10,,,Система радиовещания,
СС 30 60 11,,,Сети компьютеризации,
СС 30 60 12,,,Система мониторинга основных элементов и конструкций,
СС 30 60 13,,,Система контроля загазованности,
СС 30 60 14,,,Система сигнализации для МГН,
СС 30 60 15,,,Система диспетчеризации,
СС 30 60 16,,,Сеть оборудования технических средств безопасности,
СС 30 60 17,,,Сеть аварийно-спасательного оборудования,
СС 30 60 18,,,Система управления парковкой,
СС 30 60 19,,,Система усиления GSM-сигнала,
СС 30 65,,Система молниезащиты,,
СС 30 66,,Система заземления,,
СС 30 70,,Системы газоснабжения,,
СС 30 70 10,,,Система бытового внутреннего газоснабжения,
СС 40,Наружные сети,,,
СС 40 10,,Наружная сеть системы электроснабжения,,
СС 40 15,,Наружная сеть системы  освещения,,
СС 40 20,,Наружная сеть системы теплоснабжения,,
СС 40 25,,Наружная сеть водоснабжения,,
СС 40 30,,Наружная сеть водоотведения,,
СС 40 30 10,,,Система отведения поверхностного стока,
СС 40 35,,Система дренажа,,
СС 40 40,,Наружная сеть системы газоснабжения,,
СС 40 45,,Наружная сеть связи,,
СС 50,Медицинские системы,,,
СС 50 10,,Система медицинского газоснабжения,,
СС 50 15,,Система телемедицины,,
СС 50 20,,Система TN,,
СС 50 25,,Система TN-S,,
СС 50 30,,Система IT,,
СС 50 35,,Безопасная система сверхнизкого напряжения,,
СС 50 40,,Заземленная система сверхнизкого напряжения,,
