Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания
A,,,,,,Земляные работы при производстве процесса капитального ремонта,,ГЭСНр 81-02-51-2020 ,По виду работ,,,
,AA,,,,,Разработка грунта вручную при производстве процесса капитального ремонта,,ГЭСНр 81-02-51-2020,По виду работ,,"ГЭСНр 51-1 
ГЭСНр 51-2",
,,AAA,,,,Разработка грунта вручную,,ГЭСНр 81-02-51-2020,,,,
,,AAB,,,,Устройство креплений откосов,,ГЭСНр 81-02-51-2020,,,,
,,AAC,,,,Разборка креплений откосов,,ГЭСНр 81-02-51-2020,,,,
,,AAD,,,,Обратная засыпка грунта с трамбованием ручными трамбовками,,ГЭСНр 81-02-51-2020,,,,
,,AAE,,,,Удаление лишнего грунта,,ГЭСНр 81-02-51-2020,,,,
,,AAF,,,,Устройство ходов для ручных тележек,,ГЭСНр 81-02-51-2020,,,,
,,AAG,,,,Обратная засыпка грунта,,ГЭСНр 81-02-51-2020,,,,
,AB,,,,,Изменение уровня пола в здании,,ГЭСНр 81-02-51-2020,По виду работ,,ГЭСНр 51-3,
,,ABA,,,,Перекидка грунта,,ГЭСНр 81-02-51-2020,,,,
,,ABB,,,,Перемещение грунта,,ГЭСНр 81-02-51-2020,,,,
,,ABC,,,,Планировка поверхности,,ГЭСНр 81-02-51-2020,,,,
,,ABD,,,,Трамбование грунта ручными трамбовками,,ГЭСНр 81-02-51-2020,,,,
,,ABE,,,,Устройство ходов для ручных тележек при изменении уровня пола в здании,,ГЭСНр 81-02-51-2020,,,,
,AC,,,,,Рытье ям для установки стоек и столбов,,ГЭСНр 81-02-51-2020,По виду работ,,ГЭСНр 51-4,
,,ACA,,,,Разработка грунта вручную при рытье ям,,ГЭСНр 81-02-51-2020,,,,
,,ACB,,,,Обратная засыпка при рытье ям,,ГЭСНр 81-02-51-2020,,,,
,,ACC,,,,Перекидка излишнего грунта при рытье ям,,ГЭСНр 81-02-51-2020,,,,
,AD,,,,,Механизированная разработка грунта в стесненных условиях,,ГЭСНр 81-02-51-2020,По способу производства работ,,ГЭСНр 51-5,
,,ADA,,,,Механизированная разработка грунта,,ГЭСНр 81-02-51-2020,,,,
,,ADB,,,,Обратная засыпка котлованов при механизированной разработке грунта,,ГЭСНр 81-02-51-2020,,,,
,,ADC,,,,Перекидка излишнего грунта при механизированной разработке грунта,,ГЭСНр 81-02-51-2020,,,,
,,ADD,,,,Погрузка в автомобиль-самосвал излишнего грунта при механизированной разработке грунта,,ГЭСНр 81-02-51-2020,,,,
,AE,,,,,Погрузка грунта вручную в автомобили-самосвалы с выгрузкой,,ГЭСНр 81-02-51-2020,По виду работ,,ГЭСНр 51-6,
,,AEA,,,,Погрузка грунта с выгрузкой и очисткой кузова,,ГЭСНр 81-02-51-2020,,,,
B,,,,,,Капитальный ремонт конструкций ОКС,,ГЭСНр 81-02-51-2020,По виду работ,,,
,BA,,,,,Капитальный ремонт фундаментов,,ГЭСНр 81-02-52-2020,По виду работ,,,
,,BAA,,,,Усиление фундаментов при капитальном ремонте,,ГЭСНр 81-02-52-2020,По виду работ ,,"ГЭСНр 52-1
ГЭСНр 52-2",
,,,BAAA,,,Очистка поверхности фундамента,,ГЭСНр 81-02-52-2020,,,,
,,,BAAB,,,Подготовка поверхности фундамента,,ГЭСНр 81-02-52-2020,,,,
,,,BAAC,,,Торкретирование поверхности фундамента,,ГЭСНр 81-02-52-2020,,,,
,,,BAAD,,,Уход за нанесенным слоем,,ГЭСНр 81-02-52-2020,,,,
,,,BAAE,,,Сверление отверстий в фундаменте с установкой трубок,,ГЭСНр 81-02-52-2020,,,,
,,,BAAF,,,Заделка зазоров между трубками и поверхностью кладки цементным раствором,,ГЭСНр 81-02-52-2020,,,,
,,,BAAG,,,Нагнетание раствора через трубки в кладку фундамента с загрузкой смеси в растворонагнетатель,,ГЭСНр 81-02-52-2020,,,,
,,BAB,,,,Устройство изоляционного слоя в цоколе существующих зданий при капитальном ремонте,,ГЭСНр 81-02-52-2020,По виду работ ,,ГЭСНр 52-3,
,,,BABA,,,Пробивка борозд на половину толщины стены с одной стороны,,ГЭСНр 81-02-52-2020,,,,
,,,BABB,,,Выравнивание поверхности цементным раствором,,ГЭСНр 81-02-52-2020,,,,
,,,BABC,,,Прокладка первого слоя изоляционного материала с отгибанием концов,,ГЭСНр 81-02-52-2020,,,,
,,,BABD,,,Тщательная заделка борозды кирпичом на растворе,,ГЭСНр 81-02-52-2020,,,,
,,,BABE,,,Пробивка борозд с другой стороны стены с выравниванием поверхности раствором,,ГЭСНр 81-02-52-2020,,,,
,,,BABF,,,Отгибание концов первого слоя изоляционного материала,,ГЭСНр 81-02-52-2020,,,,
,,,BABG,,,Укладка второго (внахлестку),,ГЭСНр 81-02-52-2020,,,,
,,BAC,,,,Устройство кирпичного цоколя существующих зданий при капитальном ремонте,,ГЭСНр 81-02-52-2020,По виду работ ,,ГЭСНр 52-4 ,
,,,BACA,,,Копание канавки под цоколь,,ГЭСНр 81-02-52-2020,,,,
,,,BACB,,,Устройство щебеночного основания,,ГЭСНр 81-02-52-2020,,,,
,,,BACC,,,Кладка цоколя с устройством продухов,,ГЭСНр 81-02-52-2020,,,,
,,,BACD,,,Обмазка поверхности цоколя битумной мастикой с одной стороны,,ГЭСНр 81-02-52-2020,,,,
,,,BACE,,,Обратная засыпка канавки,,ГЭСНр 81-02-52-2020,,,,
,,BAD,,,,Устройство кирпичных столбчатых фундаментов при капитальном ремонте,,ГЭСНр 81-02-52-2020,По виду работ ,,ГЭСНр 52-5,
,,,BADA,,,Кладка кирпичных столбчатых фундаментов,,ГЭСНр 81-02-52-2020,,,,
,,BAE,,,,Устройство осадочного шва из просмоленных досок для сопряжения существующих и пристраиваемых фундаментов,,ГЭСНр 81-02-52-2020,По виду работ ,,ГЭСНр 52-6 ,
,,,BAEA,,,Поперечное перепиливание досок,,ГЭСНр 81-02-52-2020,,,,
,,,BAEB,,,Окорка досок,,ГЭСНр 81-02-52-2020,,,,
,,,BAEC,,,Изготовление щитов со сборкой на гвоздях,,ГЭСНр 81-02-52-2020,,,,
,,,BAED,,,Обработка щитов мастикой с обшивкой рубероидом,,ГЭСНр 81-02-52-2020,,,,
,,,BAEE,,,Установка щитов по месту,,ГЭСНр 81-02-52-2020,,,,
,,BAF,,,,"Подводка, смена, ремонт и уширение фундаментов",,ГЭСНр 81-02-52-2020,По виду работ ,,ГЭСНр 52-7,
,,,BAFA,,,Разборка негодной части фундамента,,ГЭСНр 81-02-52-2020,,,,
,,,BAFB,,,Разборка негодной части стены,,ГЭСНр 81-02-52-2020,,,,
,,,BAFC,,,Пробивка отверстий в фундаментах,,ГЭСНр 81-02-52-2020,,,,
,,,BAFD,,,Заделка отверстий кирпичом,,ГЭСНр 81-02-52-2020,,,,
,,,BAFE,,,Заготовка двутавровых балок для усиления фундаментов,,ГЭСНр 81-02-52-2020,,,,
,,,BAFF,,,Установка двутавровых балок для усиления фундаментов,,ГЭСНр 81-02-52-2020,,,,
,,,BAFG,,,Устройство щебеночного основания толщиной 15 см под новые фундаменты,,ГЭСНр 81-02-52-2020,,,,
,,,BAFH,,,Кладка фундаментов из кирпича или камня с перевязкой со старой кладкой,,ГЭСНр 81-02-52-2020,,,,
,,,BAFJ,,,Подъем блоков,,ГЭСНр 81-02-52-2020,,,,
,,,BAFK,,,Установка блоков,,ГЭСНр 81-02-52-2020,,,,
,,,BAFL,,,Заливка швов блоков,,ГЭСНр 81-02-52-2020,,,,
,,,BAFM,,,Заделка стыков,,ГЭСНр 81-02-52-2020,,,,
,,,BAFN,,,Устройство горизонтальной изоляции рулонными материалами в два слоя,,ГЭСНр 81-02-52-2020,,,,
,,BAG,,,,Замена деревянных стульев (свай),,ГЭСНр 81-02-52-2020,По виду работ ,,"ГЭСНр 52-8 
ГЭСНр 52-89",
,,,BAGA,,,Выкапывание стульев (свай) с постановкой временных опор и разгрузочных креплений,,ГЭСНр 81-02-52-2020,,,,
,,,BAGB,,,Устройство песчаного основания для устройства стульев (свай),,ГЭСНр 81-02-52-2020,,,,
,,,BAGC,,,Постановка деревянных стульев (свай) с заготовкой,,ГЭСНр 81-02-52-2020,,,,
,,,BAGD,,,Обратная засыпка фундаментов с трамбованием грунта вручную,,ГЭСНр 81-02-52-2020,,,,
,,,BAGE,,,Разборка временных опор и разгрузочных креплений,,ГЭСНр 81-02-52-2020,,,,
,,,BAGF,,,Устройство монолитных бетонных столбов с установкой и разборкой опалубки,,ГЭСНр 81-02-52-2020,,,,
,,,BAGG,,,Установка сборных бетонных или железобетонных конструкций,,ГЭСНр 81-02-52-2020,,,,
,,,BAGH,,,Кладка столбов из кирпича,,ГЭСНр 81-02-52-2020,,,,
,,BAH,,,,Смена забирки и обшивки деревянного засыпного цоколя,,ГЭСНр 81-02-52-2020,По виду работ,,ГЭСНр 52-10,
,,,BAHA,,,Разборка забирки цоколя,,ГЭСНр 81-02-52-2020,,,,
,,,BAHB,,,Устройство цоколя вновь из досок с продухами и заглушками с осмолкой нижней части забирки,,ГЭСНр 81-02-52-2020,,,,
,,,BAHC,,,Разборка отливной доски,,ГЭСНр 81-02-52-2020,,,,
,,,BAHD,,,Восстановление отливной доски,,ГЭСНр 81-02-52-2020,,,,
,,,BAHE,,,Разборка обшивки с осмолкой нижней части,,ГЭСНр 81-02-52-2020,,,,
,,,BAHF,,,Восстановление обшивки с осмолкой нижней части,,ГЭСНр 81-02-52-2020,,,,
,,,BAHG,,,Ремонт продухов и заглушек (при необходимости),,ГЭСНр 81-02-52-2020,,,,
,,,BAHH,,,Смена утепляющей засыпки,,ГЭСНр 81-02-52-2020,,,,
,,BAJ,,,,Устройство водоотлива из подвала,,ГЭСНр 81-02-52-2020,По виду работ,,ГЭСНр 52-11 ,
,,,BAJA,,,Вычерпывание воды ведрами с выноской,,ГЭСНр 81-02-52-2020,,,,
,,,BAJB,,,Установка насоса с прокладкой шлангов и устройством водостоков,,ГЭСНр 81-02-52-2020,,,,
,,,BAJC,,,Передвижка насоса с прокладкой шлангов и устройством водостоков,,ГЭСНр 81-02-52-2020,,,,
,,,BAJD,,,Откачка воды насосом,,ГЭСНр 81-02-52-2020,,,,
,,BAK,,,,Устройство прижимной стенки толщиной 1/2 кирпича при ремонте фундаментов,,ГЭСНр 81-02-52-2020,По виду работ,,ГЭСНр 52-12 ,
,,,BAKA,,,Очистка поверхности фундамента. при устройстве прижимной стенки,,ГЭСНр 81-02-52-2020,,,,
,,,BAKB,,,Устройство каркаса,,ГЭСНр 81-02-52-2020,,,,
,,,BAKC,,,"Кладка кирпичной прижимной стенки толщиной 0,5 кирпича",,ГЭСНр 81-02-52-2020,,,,
,,BAL,,,,Ремонт оклеечной гидроизоляции подвалов,,ГЭСНр 81-02-52-2020,По виду работ,,ГЭСНр 52-13,
,,,BALA,,,Очистка изолируемой поверхности,,ГЭСНр 81-02-52-2020,,,,
,,,BALB,,,Нарезка изоляционного материала по размеру,,ГЭСНр 81-02-52-2020,,,,
,,,BALC,,,Наклейка изоляционного материала,,ГЭСНр 81-02-52-2020,,,,
,,,BALD,,,Промазка концов изоляционного материала мастикой,,ГЭСНр 81-02-52-2020,,,,
,,,BALE,,,Расчистка швов перед устройством гидроизоляцией,,ГЭСНр 81-02-52-2020,,,,
,,,BALF,,,Заделка швов гидроизоляции,,ГЭСНр 81-02-52-2020,,,,
,,BAM,,,,Ремонт обмазочной изоляции фундаментов,,ГЭСНр 81-02-52-2020,По виду работ,,ГЭСНр 52-14,
,,,BAMA,,,Очистка изолируемой поверхности при ремонте обмазочной изоляции,,ГЭСНр 81-02-52-2020,,,,
,,,BAMB,,,Ремонт гидроизоляции,,ГЭСНр 81-02-52-2020,,,,
,,BAN,,,,Герметизация вводов в подвальное помещение,,ГЭСНр 81-02-52-2020,По виду работ,,ГЭСНр 52-15,
,,,BANA,,,Очистка поверхности вводов от загрязнений,,ГЭСНр 81-02-52-2020,,,,
,,,BANB,,,Обезжиривание поверхности вводов,,ГЭСНр 81-02-52-2020,,,,
,,,BANC,,,"Герметизация ввода паклей, пропитанной раствором, с уплотнением",,ГЭСНр 81-02-52-2020,,,,
,,,BAND,,,Гидроизоляция уплотнения,,ГЭСНр 81-02-52-2020,,,,
,,BAP,,,,Заделка подвальных окон,,ГЭСНр 81-02-52-2020,По виду работ,,ГЭСНр 52-16,
,,,BAPA,,,Очистка оконного проема,,ГЭСНр 81-02-52-2020,,,,
,,,BAPB,,,Раскрой фанеры для заделки окон,,ГЭСНр 81-02-52-2020,,,,
,,,BAPC,,,Заделка окна,,ГЭСНр 81-02-52-2020,,,,
,,,BAPD,,,Раскрой железа для заделки окон,,ГЭСНр 81-02-52-2020,,,,
,BB,,,,,Капитальный ремонт стен,,ГЭСНр 81-02-53-2020,По виду работ,,,
,,BBA,,,,Разборка деревянных стен,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-1,
,,,BBAA,,,Разборка дощатой обшивки стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBAB,,,Разборка элементов каркаса,,ГЭСНр 81-02-53-2020,,,,
,,,BBAC,,,Удаление засыпного утеплителя,,ГЭСНр 81-02-53-2020,,,,
,,,BBAD,,,Разборка бревенчатых или брусчатых стен,,ГЭСНр 81-02-53-2020,,,,
,,BBB,,,,Прорезка проемов в стенах и перегородках,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-3 ,
,,,BBBA,,,Разметка проема,,ГЭСНр 81-02-53-2020,,,,
,,,BBBB,,,Прорезка проема,,ГЭСНр 81-02-53-2020,,,,
,,,BBBC,,,Обделка проема колодой или коробкой,,ГЭСНр 81-02-53-2020,,,,
,,BBC,,,,Заделка проемов в деревянных стенах и перегородках,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-4,
,,,BBCA,,,Снятие колод для заделки проемов в деревянных стенах и перегородках,,ГЭСНр 81-02-53-2020,,,,
,,,BBCB,,,"Заготовка бревен, брусьев с выделкой сопряжений",,ГЭСНр 81-02-53-2020,,,,
,,,BBCC,,,Заделка проемов (в деревянных стенах и перегородках),,ГЭСНр 81-02-53-2020,,,,
,,,BBCD,,,Снятие наличников для заделки проемов в деревянных стенах и перегородках,,ГЭСНр 81-02-53-2020,,,,
,,,BBCE,,,Снятие коробок для заделки проемов в деревянных стенах и перегородках,,ГЭСНр 81-02-53-2020,,,,
,,BBD,,,,Ремонт каркасных стен,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-5,
,,,BBDA,,,Разборка чистой обшивки,,ГЭСНр 81-02-53-2020,,,,
,,,BBDB,,,Восстановление чистой обшивки,,ГЭСНр 81-02-53-2020,,,,
,,,BBDC,,,"Смена части или целого элемента обвязки, стоек или подкосов с устройством сопряжений",,ГЭСНр 81-02-53-2020,,,,
,,,BBDD,,,Осмолка нижней обвязки стоек или подкосов,,ГЭСНр 81-02-53-2020,,,,
,,,BBDE,,,Осмолка нижней части стоек или подкосов,,ГЭСНр 81-02-53-2020,,,,
,,BBE,,,,Добавление утепляющей засыпки при капитальном ремонте стен,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-6 ,
,,,BBEA,,,Добавление утепляющей засыпки с послойным трамбованием в стены или перегородки с подготовкой засыпки,,ГЭСНр 81-02-53-2020,,,,
,,,BBEB,,,Снятие досок обшивки,,ГЭСНр 81-02-53-2020,,,,
,,,BBEC,,,Обратная пришивка досок обшивки,,ГЭСНр 81-02-53-2020,,,,
,,BBF,,,,Смена досок чистой обшивки стен,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-7,
,,,BBFA,,,Удаление поврежденных досок,,ГЭСНр 81-02-53-2020,,,,
,,,BBFB,,,"Заготовка досок, с острожкой с одной стороны, стеской двух кромок",,ГЭСНр 81-02-53-2020,,,,
,,,BBFC,,,Пришивка досок,,ГЭСНр 81-02-53-2020,,,,
,,BBG,,,,Устройство второй обшивки из досок с засыпкой утеплителем,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-8,
,,,BBGA,,,Прибивка брусков каркаса,,ГЭСНр 81-02-53-2020,,,,
,,,BBGB,,,Обшивка каркаса строганными досками,,ГЭСНр 81-02-53-2020,,,,
,,,BBGC,,,Засыпка утеплителя с трамбованием,,ГЭСНр 81-02-53-2020,,,,
,,BBH,,,,Смена венцов в стенах,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-9 ,
,,,BBHA,,,Расшивка венцов досками,,ГЭСНр 81-02-53-2020,,,,
,,,BBHB,,,Крепление подкосами вышележащих венцов (или частей) при смене верхнего венца,,ГЭСНр 81-02-53-2020,,,,
,,,BBHC,,,Постановка стоек под балки при смене верхнего венца,,ГЭСНр 81-02-53-2020,,,,
,,,BBHD,,,Удаление негодного венца или его части,,ГЭСНр 81-02-53-2020,,,,
,,,BBHE,,,Заготовка нового венца или его части с изготовлением сопряжений в узлах и подмене,,ГЭСНр 81-02-53-2020,,,,
,,,BBHF,,,Осмолка нижней поверхности венца,,ГЭСНр 81-02-53-2020,,,,
,,,BBHG,,,Прокладка рубероида при смене венцов в стенах,,ГЭСНр 81-02-53-2020,,,,
,,,BBHH,,,Подгонка венца на место,,ГЭСНр 81-02-53-2020,,,,
,,,BBHJ,,,Укладка венца на место с прокладкой пакли и конопаткой,,ГЭСНр 81-02-53-2020,,,,
,,,BBHK,,,Освобождение вышележащих венцов от креплений и досок расшивки,,ГЭСНр 81-02-53-2020,,,,
,,,BBHL,,,Установка подмостей или лесов при смене венцов в стенах,,ГЭСНр 81-02-53-2020,,,,
,,BBJ,,,,Подъем рубленых стен домкратом,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-10,
,,,BBJA,,,Подготовка места для домкрата,,ГЭСНр 81-02-53-2020,,,,
,,,BBJB,,,Установка домкрата с проверкой его действия,,ГЭСНр 81-02-53-2020,,,,
,,,BBJC,,,Подъем стен домкратом на необходимую высоту с перестановкой домкрата,,ГЭСНр 81-02-53-2020,,,,
,,,BBJD,,,Закрепление положения подъема временными креплениями,,ГЭСНр 81-02-53-2020,,,,
,,,BBJE,,,Разборка временных креплений,,ГЭСНр 81-02-53-2020,,,,
,,,BBJF,,,Опускание домкрата,,ГЭСНр 81-02-53-2020,,,,
,,BBK,,,,Ремонт конопатки стен,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-11 ,
,,,BBKA,,,Расчистка шва для ремонта конопатки стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBKB,,,Конопатка шва с добавлением пакли,,ГЭСНр 81-02-53-2020,,,,
,,BBL,,,,Укрепление деревянных стен при капитальном ремонте,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-12,
,,,BBLA,,,Разметка отверстий для болтов при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBLB,,,Заготовка элементов для сжимов при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBLC,,,Подтеска горбин в венцах при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBLD,,,Установка временных подпорок при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBLE,,,Проолифливание болтов при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBLF,,,Подгонка болтов при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBLG,,,Подтягивание стен болтами при укреплении,,ГЭСНр 81-02-53-2020,,,,
,,,BBLH,,,Защита болтов от промерзания при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBLJ,,,Заготовка столбиков для укрепления деревянных стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBLK,,,Заготовка подкосов для укрепления деревянных стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBLL,,,Установка столбиков с рытьем и засыпкой ям при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBLM,,,Установка столбиков засыпкой ям при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBLN,,,Установка подкосов при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,
,,BBM,,,,Облицовка откосов проемов кирпичом при толщине заделки в 1/4 кирпича,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-13,
,,,BBMA,,,Разборка кирпичной кладки вручную,,ГЭСНр 81-02-53-2020,,,,
,,,BBMB,,,Расчистка разобранных мест водой,,ГЭСНр 81-02-53-2020,,,,
,,,BBMC,,,Промывка разобранных мест водой,,ГЭСНр 81-02-53-2020,,,,
,,,BBMD,,,Облицовка откосов проемов кирпичом,,ГЭСНр 81-02-53-2020,,,,
,,,BBME,,,Очистка поверхности облицовки от раствора,,ГЭСНр 81-02-53-2020,,,,
,,,BBMF,,,Отеска неровностей и выступов,,ГЭСНр 81-02-53-2020,,,,
,,BBN,,,,Заделка трещин в кирпичных стенах,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-14 ,
,,,BBNA,,,Расчистка поврежденных мест водой,,ГЭСНр 81-02-53-2020,,,,
,,,BBNB,,,Промывка поврежденных мест водой,,ГЭСНр 81-02-53-2020,,,,
,,,BBNC,,,Заделка трещин цементным раствором,,ГЭСНр 81-02-53-2020,,,,
,,,BBND,,,Очистка поверхности стен от раствора при заделке трещин,,ГЭСНр 81-02-53-2020,,,,
,,,BBNE,,,Разборка кирпичной кладки вдоль трещин,,ГЭСНр 81-02-53-2020,,,,
,,,BBNF,,,Заделка кирпичом с очисткой поверхности стен от раствора,,ГЭСНр 81-02-53-2020,,,,
,,BBP,,,,Ремонт поверхности кирпичных стен,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-15,
,,,BBPA,,,Разборка поврежденной кладки вручную при ремонте поверхности кирпичных стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBPB,,,Расшивка швов старой кладки при ремонте поверхности кирпичных стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBPC,,,Заделка разобранных участков с перевязкой новой кладки со старой при ремонте поверхности кирпичных стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBPD,,,Очистка поверхности заделки от раствора при ремонте поверхности кирпичных стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBPE,,,Подбор кирпича для лицевой части кладки при ремонте поверхности кирпичных стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBPF,,,Отеска неровностей и выступов при ремонте поверхности кирпичных стен,,ГЭСНр 81-02-53-2020,,,,
,,BBQ,,,,Ремонт кладки стен отдельными местами и из шлакобетонных камней,,ГЭСНр 81-02-53-2020,По виду работ,,"ГЭСНр 53-16
ГЭСНр 53-17 ",
,,,BBQA,,,Отбивка штукатурки на откосах при ремонте кладки стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBQB,,,Отбивка штукатурки на перемычках при ремонте кладки стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBQC,,,Пробивка штраб при ремонте кладки стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBQD,,,Расчистка участков стен в местах кладки при ремонте,,ГЭСНр 81-02-53-2020,,,,
,,,BBQE,,,Расчистка участков стен в местах отверстий или гнезд при ремонте кладки стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBQF,,,Кладка отдельных участков стен с перевязкой новой кладки со старой,,ГЭСНр 81-02-53-2020,,,,
,,,BBQG,,,Очистка поверхности кладки от подтеков раствора,,ГЭСНр 81-02-53-2020,,,,
,,,BBQH,,,Заполнение пустот утеплителем при ремонте кладки стен,,ГЭСНр 81-02-53-2020,,,,
,,BBR,,,,Ремонт перемычек или смена клинчатой перемычки на брусковую железобетонную,,ГЭСНр 81-02-53-2020,По виду работ,,"ГЭСНр 53-18
ГЭСНр 53-19",
,,,BBRA,,,Устройство настила из досок при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,
,,,BBRB,,,Разборка кладки перемычки,,ГЭСНр 81-02-53-2020,,,,
,,,BBRC,,,Очистка поверхности кладки от раствора при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,
,,,BBRD,,,Восстановление разобранной кладки перемычки,,ГЭСНр 81-02-53-2020,,,,
,,,BBRE,,,Разборка настила из досок при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,
,,,BBRF,,,Пробивка борозд с очисткой их поверхности при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,
,,,BBRG,,,Очистка поверхности борозд при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,
,,,BBRH,,,Устройство опалубки при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,
,,,BBRJ,,,Разборка опалубки при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,
,,,BBRK,,,Расстилание цементного раствора при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,
,,,BBRL,,,Укладка арматуры при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,
,,,BBRM,,,Укладка бетонной смеси при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,
,,,BBRN,,,Разметка мест установки железобетонной брусковой перемычки,,ГЭСНр 81-02-53-2020,,,,
,,,BBRP,,,Укладка брусков перемычки с заделкой гнезд и борозд кирпичом и заклинивание промежутка между старой и новой кладкой раствором,,ГЭСНр 81-02-53-2020,,,,
,,,BBRQ,,,Заклинивание промежутка между старой и новой кладкой раствором,,ГЭСНр 81-02-53-2020,,,,
,,BBS,,,,Кладка отдельных участков стен из кирпича и заделка проемов кирпичом,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-20,
,,,BBSA,,,Прием раствора из кузова автомобиля-самосвала при кладке отдельных участков стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBSB,,,Установка подмостей при кладке отдельных участков стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBSC,,,Перестановка подмостей при кладке отдельных участков стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBSD,,,Подача материалов на рабочее место башенным краном при кладке отдельных участков стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBSE,,,Кирпичная кладка стен,,ГЭСНр 81-02-53-2020,,,,
,,,BBSF,,,Разборка подмостей при кладке отдельных участков стен,,ГЭСНр 81-02-53-2020,,,,
,,BBT,,,,Ремонт и восстановление герметизации стыков наружных стеновых панелей и расшивка швов стеновых панелей и панелей перекрытий,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-21 ,
,,,BBTA,,,"Расчистка лицевых кромок стыков от старой краски, герметика, пыли и других видов загрязнения",,ГЭСНр 81-02-53-2020,,,,
,,,BBTB,,,Вскрытие стыков с удалением пришедшего в негодность заполнителя,,ГЭСНр 81-02-53-2020,,,,
,,,BBTC,,,Промазка и укладка жгута,,ГЭСНр 81-02-53-2020,,,,
,,,BBTD,,,Укладка термоизоляционных вкладышей,,ГЭСНр 81-02-53-2020,,,,
,,,BBTE,,,Покрытие изолируемой поверхности битумом,,ГЭСНр 81-02-53-2020,,,,
,,,BBTF,,,Герметизация стыка с нагнетанием материала,,ГЭСНр 81-02-53-2020,,,,
,,,BBTG,,,Устройство водоотбойной ленты в открытых стыках,,ГЭСНр 81-02-53-2020,,,,
,,,BBTH,,,Устройство водоотводящего фартука,,ГЭСНр 81-02-53-2020,,,,
,,,BBTJ,,,Солнцезащита нетвердеющих герметизирующих мастик,,ГЭСНр 81-02-53-2020,,,,
,,,BBTK,,,Вскрытие шва,,ГЭСНр 81-02-53-2020,,,,
,,,BBTL,,,Оштукатуривание шва раствором,,ГЭСНр 81-02-53-2020,,,,
,,,BBTM,,,Установка направляющей рейки,,ГЭСНр 81-02-53-2020,,,,
,,,BBTN,,,Прорезка кромок,,ГЭСНр 81-02-53-2020,,,,
