Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечание
A,,,,,,,Земляные и горные работы,,ГЭСН 2020,по виду работ,,,Синтезировано путем объединения нескольких таблиц ГЭСН
,AA,,,,,,Земляные работы,,ГЭСН 81-02-01-2020 ,по виду работ,,ГЭСН 81-02-01-2020,
,,,DHBJ,,,,Монтаж отбойных устройств морских причальных сооружений,,ГЭСН 81-02-40-2020,по типу производства работ,,,
,,,,,,DHBJ010,Установка отбойных устройств речных причальных сооружений из резиновых труб,,ГЭСН 81-02-40-2020,,,ГЭСН 40-01-018,
,,,,,,DHBJ020,Установка отбойных устройств морских причальных сооружений в виде деревянной рамы,,ГЭСН 81-02-40-2020,,,"ГЭСН 40-01-015
ГЭСН 40-01-022",
,,,,,,DHBJ030,Навеска отбойных устройств береговыми кранами в закрытой акватории,,ГЭСН 81-02-40-2020,,,ГЭСН 40-01-023,
,,,,,,DHBJ040,Навеска отбойных устройств плавучими кранами в закрытой акватории,,ГЭСН 81-02-40-2020,,,ГЭСН 40-01-024 ,
,,,,,,DHBJ050,Навеска отбойных устройств плавучими кранами в открытой акватории,,ГЭСН 81-02-40-2020,,,ГЭСН 40-01-025,
,,,,,,DHBJ060,Установка отбойных устройств речных причальных сооружений в виде металлической рамы из труб с амортизаторами из автопокрышек,,ГЭСН 81-02-40-2020,,,ГЭСН 40-01-017,
,,,,,,DHBJ070,Установка отбойных устройств речных причальных сооружений в виде деревянных кранцев с амортизаторами из автопокрышек,,ГЭСН 81-02-40-2020,,,ГЭСН 40-01-016,
,,DHC,,,,,Устройство бетонных и железобетонных конструкций гидротехнических сооружений,,ГЭСН 81-02-37-2020,по типу конструкций,,,
,,,DHCA,,,,Устройство конструкций объектов гидроэнергетики,,ГЭСН 81-02-37-2020,по виду работ,,,
,,,,DHCAA,,,Подача и укладка бетонной смеси при устройстве конструкций объектов гидроэнергетики,,ГЭСН 81-02-37-2020,,,"ГЭСН 37-01-001
ГЭСН 37-01-002
ГЭСН 37-01-003
ГЭСН 37-01-007
ГЭСН 37-01-008
ГЭСН 37-01-009",
,,,,DHCAB,,,Монтаж опалубки при устройстве конструкций объектов гидроэнергетики,,ГЭСН 81-02-37-2020,,,"ГЭСН 37-01-014
ГЭСН 37-01-015
ГЭСН 37-01-016
ГЭСН 37-01-017
ГЭСН 37-01-018
ГЭСН 37-01-019
ГЭСН 37-01-020
ГЭСН 37-01-021
ГЭСН 37-01-022",
,,,,DHCAC,,,Монтаж арматуры при устройстве конструкций объектов гидроэнергетики,,ГЭСН 81-02-37-2020,,,"ГЭСН 37-01-026
ГЭСН 37-01-027
ГЭСН 37-01-028
ГЭСН 37-01-029
ГЭСН 37-01-030",
,,,,DHCAD,,,Устройство подготовки под сооружения гидроэнергетики,,ГЭСН 81-02-37-2020,,,ГЭСН 37-01-013,
,,,,DHCAE,,,Монтаж систем для охлаждения бетона в сооружениях гидроэнергетики,,ГЭСН 81-02-37-2020,,,"ГЭСН 37-01-044 
ГЭСН 37-01-045
ГЭСН 37-01-046
ГЭСН 37-01-047",
,,,,DHCAF,,,Монтаж сборных железобетонных конструкций гидроэнергетики,,ГЭСН 81-02-37-2020,,,"ГЭСН 37-01-033
ГЭСН 37-01-034
ГЭСН 37-01-035
ГЭСН 37-01-036
ГЭСН 37-01-037
ГЭСН 37-01-038
ГЭСН 37-01-039",
,,,DHCB,,,,Устройство конструкций объектов речного транспорта,,ГЭСН 81-02-37-2020,по виду работ,,,
,,,,DHCBA,,,Установка конструкций объектов речного транспорта,,ГЭСН 81-02-37-2020,,,"ГЭСН 37-02-001
ГЭСН 37-02-003
ГЭСН 37-02-004",
,,,,DHCBB,,,Сборка конструкций объектов речного транспорта,,ГЭСН 81-02-37-2020,,,ГЭСН 37-02-002,
,,,,DHCBC,,,Установка анкерных плит на объектах речного транспорта,,ГЭСН 81-02-37-2020,,,ГЭСН 37-02-005,
,,,,DHCBD,,,Погружение железобетонного шпунта таврового сечения причальных набережных,,ГЭСН 81-02-37-2020,,,ГЭСН 37-02-005,
,,,,DHCBE,,,Перекрытие вертикальных швов между сборными железобетонными элементами причальных набережных на объектах речного транспорта,,ГЭСН 81-02-37-2020,,,ГЭСН 37-02-006,
,,,,DHCBF,,,Устройство сплошной завесы из полотнищ геотекстиля в причальных набережных при строительстве в воду на объектах речного транспорта,,ГЭСН 81-02-37-2020,,,ГЭСН 37-02-007,
,,,,DHCBG,,,Устройство шапочного бруса из монолитного железобетона с берега на объектах речного транспорта,,ГЭСН 81-02-37-2020,,,ГЭСН 37-02-008 ,
,,,,DHCBH,,,Устройство верхнего строения пал из монолитного железобетона с воды на объектах речного транспорта,,ГЭСН 81-02-37-2020,,,ГЭСН 37-02-009,
,,,,DHCBJ,,,Установка швартовных тумб на объектах речного транспорта,,ГЭСН 81-02-37-2020,,,ГЭСН 37-02-010,
,,,DHCC,,,,Устройство конструкций морских причальных набережных и пирсов,,ГЭСН 81-02-37-2020,по типу конструкций,,,
,,,,DHCCA,,,Устройство причальных набережных из массивовой кладки,,ГЭСН 81-02-37-2020,,,"ГЭСН 37-03-001
ГЭСН 37-03-002
ГЭСН 37-03-003
ГЭСН 37-03-004
ГЭСН 37-03-005
ГЭСН 37-03-006",
,,,,DHCCB,,,Устройство пирсов из массивовой кладки,,ГЭСН 81-02-37-2020,,,"ГЭСН 37-03-001
ГЭСН 37-03-002
ГЭСН 37-03-003
ГЭСН 37-03-004
ГЭСН 37-03-005
ГЭСН 37-03-006",
,,,,DHCCC,,,Устройство причальных набережных из оболочек большого диаметра,,ГЭСН 81-02-37-2020,,,"ГЭСН 37-03-015
ГЭСН 37-03-016
ГЭСН 37-03-017
ГЭСН 37-03-018
ГЭСН 37-03-019",
,,,,DHCCD,,,Устройство пирсов из оболочек большого диаметра,,ГЭСН 81-02-37-2020,,,"ГЭСН 37-03-015
ГЭСН 37-03-016
ГЭСН 37-03-017
ГЭСН 37-03-018
ГЭСН 37-03-019",
,,,,DHCCE,,,"Устройство причальных набережных типа ""больверк""",,ГЭСН 81-02-37-2020,,,"ГЭСН 37-03-030
ГЭСН 37-03-031
ГЭСН 37-03-032",
,,,,DHCCF,,,Устройство причальных набережных эстакадного типа,,ГЭСН 81-02-37-2020,,,"ГЭСН 37-03-041
ГЭСН 37-03-042
ГЭСН 37-03-043
ГЭСН 37-03-044
ГЭСН 37-03-045",
,,,,DHCCG,,,Устройство пирсов эстакадного типа,,ГЭСН 81-02-37-2020,,,"ГЭСН 37-03-041
ГЭСН 37-03-042
ГЭСН 37-03-043
ГЭСН 37-03-044
ГЭСН 37-03-045",
,,,,DHCCH,,,Устройство подкрановых балок,,ГЭСН 81-02-37-2020,,,"ГЭСН 37-03-055
ГЭСН 37-03-056
ГЭСН 37-03-057
ГЭСН 37-03-058",
,,,,DHCCJ,,,Устройство путей,,ГЭСН 81-02-37-2020,,,"ГЭСН 37-03-055
ГЭСН 37-03-056
ГЭСН 37-03-057
ГЭСН 37-03-058",
,,,,DHCCK,,,Устройство швартовных тумб,,ГЭСН 81-02-37-2020,,,"ГЭСН 37-03-066 
ГЭСН 37-03-067
ГЭСН 37-03-068",
,,,DHCD,,,,Устройство сооружений на оросительных и осушительных системах,,ГЭСН 81-02-37-2020,,,"ГЭСН 37-04-001
ГЭСН 37-04-002
ГЭСН 37-04-003
ГЭСН 37-04-004",
,,,DHCE,,,,Заливка битумом шахтных шпонок при устройстве конструкций морских причальных набережных и пирсов,,ГЭСН 81-02-37-2020,,,ГЭСН 37-05-001 ,
,,,DHCF,,,,Шлакование аварийно-ремонтных затворов,,ГЭСН 81-02-37-2020,,,ГЭСН 37-05-002,
,,DHD,,,,,Устройство каменных конструкций гидротехнических сооружений,,ГЭСН 81-02-38-2020,по типу конструкций,,,
,,,DHDA,,,,Устройство каменных конструкций речных гидротехнических сооружений,,ГЭСН 81-02-38-2020,по виду работ,,,
,,,,DHDAA,,,Возведение банкетов при отсыпке насухо при устройстве каменных конструкций речных гидротехнических сооружений,,ГЭСН 81-02-38-2020,,,ГЭСН 38-01-001,
,,,,DHDAB,,,Возведение перемычек при отсыпке насухо при устройстве каменных конструкций речных гидротехнических сооружений,,ГЭСН 81-02-38-2020,,,ГЭСН 38-01-001,
,,,,DHDAC,,,Возведение пригрузок при отсыпке насухо при устройстве каменных конструкций речных гидротехнических сооружений,,ГЭСН 81-02-38-2020,,,ГЭСН 38-01-001,
,,,,DHDAD,,,Возведение призм при отсыпке насухо при устройстве каменных конструкций речных гидротехнических сооружений,,ГЭСН 81-02-38-2020,,,ГЭСН 38-01-001,
,,,,DHDAE,,,Возведение плотин каменно-набросных при отсыпке насухо,,ГЭСН 81-02-38-2020,,,ГЭСН 38-01-001,
,,,,DHDAF,,,Устройство каменных отсыпей призм в речных условиях при отсыпке в воду,,ГЭСН 81-02-38-2020,,,ГЭСН 38-01-002,
,,,,DHDAG,,,Устройство каменных отсыпей банкетов в речных условиях при отсыпке в воду,,ГЭСН 81-02-38-2020,,,ГЭСН 38-01-002,
,,,,DHDAH,,,Устройство переходных зон плотин,,ГЭСН 81-02-38-2020,,,ГЭСН 38-01-003,
,,,,DHDAJ,,,Устройство в каменных конструкциях гидротехнических сооружений фильтров дренажей,,ГЭСН 81-02-38-2020,,,ГЭСН 38-01-004,
,,,,DHDAK,,,Отсыпка призм для трубчатого дренажа при устройстве каменных конструкций гидротехнических сооружений,,ГЭСН 81-02-38-2020,,,ГЭСН 38-01-005,
,,,,DHDAL,,,Укладка дренажных труб из пористого бетона при устройстве каменных конструкций гидротехнических сооружений,,ГЭСН 81-02-38-2020,,,ГЭСН 38-01-006,
,,,,DHDAM,,,Укладка дренажных труб при устройстве каменных конструкций гидротехнических сооружений,,ГЭСН 81-02-38-2020,,,"ГЭСН 38-01-007
ГЭСН 38-01-008
ГЭСН 38-01-009
ГЭСН 38-01-010",
,,,DHDB,,,,Устройство каменных морских отсыпей,,ГЭСН 81-02-38-2020,по виду работ,,,
,,,,DHDBA,,,Отсыпка материалов для устройства каменных морских отсыпей,,ГЭСН 81-02-38-2020,,,"ГЭСН 38-02-001
ГЭСН 38-02-002
ГЭСН 38-02-003
ГЭСН 38-02-004
ГЭСН 38-02-005
ГЭСН 38-02-010
ГЭСН 38-02-011
ГЭСН 38-02-012
ГЭСН 38-02-013
ГЭСН 38-02-017",
,,,,DHDBB,,,Перемещение материалов для устройства каменных морских отсыпей,,ГЭСН 81-02-38-2020,,,ГЭСН 38-02-020,
,,DHE,,,,,Берегоукрепительные работы,,ГЭСН 81-02-38-2020,по типу конструкций,,,
,,,DHEA,,,,Крепление откосов речных гидротехнических сооружений и каналов,,ГЭСН 81-02-38-2020,по виду работ,,,
,,,,DHEAA,,,Крепление откосов каналов,,ГЭСН 81-02-42-2020,,,"ГЭСН 42-01-001
ГЭСН 42-01-003
ГЭСН 42-01-004",
,,,,DHEAB,,,Устройство подстилающего слоя в откосах каналов,,ГЭСН 81-02-42-2020,,,"ГЭСН 42-01-006
ГЭСН 42-01-007",
,,,,DHEAC,,,Устройство каменной наброски в воду плавучими кранами,,ГЭСН 81-02-42-2020,,,ГЭСН 42-01-005,
,,,,DHEAD,,,Крепление дна монолитным железобетоном,,ГЭСН 81-02-42-2020,,,ГЭСН 42-01-008,
,,,,DHEAE,,,Крепление откосов монолитным железобетоном,,ГЭСН 81-02-42-2020,,,ГЭСН 42-01-008,
,,,,DHEAF,,,Бетонирование каналов,,ГЭСН 81-02-42-2020,,,"ГЭСН 42-01-009
ГЭСН 42-01-010
ГЭСН 42-01-011
ГЭСН 42-01-012",
,,,,DHEAG,,,Установка арматуры в каналах,,ГЭСН 81-02-42-2020,,,ГЭСН 42-01-013 ,
,,,,DHEAH,,,Крепление откосов каналов сборными железобетонными и сталефибробетонными плитами,,ГЭСН 81-02-42-2020,,,ГЭСН 42-01-014,
,,,,DHEAJ,,,Крепление дна каналов сборными железобетонными и сталефибробетонными плитами,,ГЭСН 81-02-42-2020,,,ГЭСН 42-01-014,
,,,,DHEAK,,,Заделка швов при креплении откосов каналов сборными железобетонными плитами,,ГЭСН 81-02-42-2020,,,ГЭСН 42-01-015 ,
,,,,DHEAL,,,Установка анкерных упоров,,ГЭСН 81-02-42-2020,,,ГЭСН 42-01-018,
,,,,DHEAM,,,Установка противофильтрационных досок,,ГЭСН 81-02-42-2020,,,ГЭСН 42-01-019,
,,,,DHEAN,,,Установка парапетов ,,ГЭСН 81-02-42-2020,,,ГЭСН 42-01-019,
,,,,DHEAP,,,Устройство противофильтрационного экрана из полиэтиленовой пленки,,ГЭСН 81-02-42-2020,,,ГЭСН 42-01-020,
,,,,DHEAQ,,,Подводное крепление откосов стенкой из железобетонного шпунта,,ГЭСН 81-02-42-2020,,,ГЭСН 42-01-021,
,,,,DHEAR,,,Крепление откосов хворостяными тюфяками,,ГЭСН 81-02-42-2020,,,ГЭСН 42-01-022,
,,,,DHEAS,,,Одностороннее крепление откосов каналов,,ГЭСН 81-02-42-2020,,,ГЭСН 42-01-023,
,,,,DHEAT,,,Двухстороннее крепление откосов каналов,,ГЭСН 81-02-42-2020,,,ГЭСН 42-01-024,
,,,DHEB,,,,"Крепление откосов морских набережных и берегов, устройство оградительных сооружений",,ГЭСН 81-02-38-2020,по виду работ,,,
,,,,DHEBA,,,Выкладка откосов камнем,,ГЭСН 81-02-42-2020,,,"ГЭСН 42-02-001
ГЭСН 42-02-002",
,,,,DHEBB,,,Перемещение плавучих средств с камнем от приобъектного склада до места работ,,ГЭСН 81-02-42-2020,,,ГЭСН 42-02-003,
,,,,DHEBC,,,Укладка тетраподов ,,ГЭСН 81-02-42-2020,,,"ГЭСН 42-02-004
ГЭСН 42-02-005",
,,,,DHEBD,,,Перемещение плавучих средств с тетраподами от приобъектного склада до места работ,,ГЭСН 81-02-42-2020,,,ГЭСН 42-02-006,
,,,,DHEBE,,,Наброска массивов с берега,,ГЭСН 81-02-42-2020,,,ГЭСН 42-02-007,
,,,,DHEBF,,,Наброска массивов плавучими кранами с барж,,ГЭСН 81-02-42-2020,,,ГЭСН 42-02-008,
,,,,DHEBG,,,Перемещение плавучих средств с массивами от приобъектного склада до места работ,,ГЭСН 81-02-42-2020,,,ГЭСН 42-02-009,
,,,,DHEBH,,,Установка упорного бруса,,ГЭСН 81-02-42-2020,,,ГЭСН 42-02-010,
,,,,DHEBJ,,,Установка плит,,ГЭСН 81-02-42-2020,,,ГЭСН 42-02-011 ,
,,,,DHEBK,,,Крепление берега в закрытой акватории,,ГЭСН 81-02-42-2020,,,ГЭСН 42-02-012,
,,,,DHEBL,,,Крепление берега с помощью плавучих кранов у открытого побережья (открытого рейда),,ГЭСН 81-02-42-2020,,,ГЭСН 42-02-013,
,,,,DHEBM,,,Омоноличивание стыка плит подпорных стенок,,ГЭСН 81-02-42-2020,,,ГЭСН 42-02-014,
,,,,DHEBN,,,Установка в берегоукрепительных и оградительных сооружениях плавучими кранами массивов,,ГЭСН 81-02-42-2020,,,ГЭСН 42-02-015 ,
,,,,DHEBP,,,Установка массивов плавучими кранами у открытого побережья (на открытом рейде),,ГЭСН 81-02-42-2020,,,ГЭСН 42-02-016,
,,,,DHEBQ,,,Заполнение полостей шатровых волноломов у открытого побережья (открытого рейда),,ГЭСН 81-02-42-2020,,,ГЭСН 42-02-017,
,,,,DHEBR,,,"Устройство бетонного гребня и надстроек по бунам, молам и траверсам",,ГЭСН 81-02-42-2020,,,ГЭСН 42-02-018,
,,DHF,,,,,Устройство судовозных путей стапелей и слипов,,ГЭСН 81-02-43-2020,по виду работ,,,
,,,DHFA,,,,Устройство судовозных рельсовых путей,,ГЭСН 81-02-43-2020,по виду работ,,,
,,,,DHFAA,,,Укладка шпал при устройстве судовозных рельсовых путей,,ГЭСН 81-02-43-2020,,,"ГЭСН 43-01-001
ГЭСН 43-01-005",
,,,,DHFAB,,,Укладка брусьев при устройстве судовозных рельсовых путей,,ГЭСН 81-02-43-2020,,,ГЭСН 43-01-002,
,,,,DHFAC,,,Укладка рельсов при устройстве судовозных рельсовых путей,,ГЭСН 81-02-43-2020,,,ГЭСН 43-01-003,
,,,,DHFAD,,,Укладка пути на монтажную раму при устройстве судовозных рельсовых путей,,ГЭСН 81-02-43-2020,,,ГЭСН 43-01-004,
,,,,DHFAE,,,Укладка на подводное балластное основание монтажной рамы с путями при устройстве судовозных рельсовых путей,,ГЭСН 81-02-43-2020,,,ГЭСН 43-01-006,
,,,,DHFAF,,,Монтаж балочной плети судоподъемно-спускового устройства,,ГЭСН 81-02-43-2020,,,ГЭСН 43-01-007,
,,,,DHFAG,,,Укладка железобетонных балочных плетей с путями на подводное балластное основание,,ГЭСН 81-02-43-2020,,,ГЭСН 43-01-008,
,,,,DHFAH,,,Балластировка судовозного пути подводной части,,ГЭСН 81-02-43-2020,,,ГЭСН 43-01-009,
,,,DHFB,,,,Устройство глухих пересечений судовозных путей в одном уровне,,ГЭСН 81-02-43-2020,,,ГЭСН 43-02-001,
,,,DHFC,,,,Обкатка судовозного пути,,ГЭСН 81-02-43-2020,,,ГЭСН 43-03-001,
,,,DHFD,,,,Устройство спусковых дорожек стапелей,,ГЭСН 81-02-43-2020,,,ГЭСН 43-04-001,
,DJ,,,,,,Подводно-строительные (водолазные) работы,,ГЭСН 81-02-44-2020,по месту проведения работ,,,
,,DJA,,,,,"Подводно-строительные (водолазные) работы в речных условиях (реки, озера, водохранилища)",,ГЭСН 81-02-44-2020,по виду работ,,,
,,,DJAA,,,,"Разработка грунта в речных условиях (реки, озера, водохранилища)",,ГЭСН 81-02-44-2020,,,"ГЭСН 44-01-001
ГЭСН 44-01-002
ГЭСН 44-01-003
ГЭСН 44-01-004
ГЭСН 44-01-005
ГЭСН 44-01-006
ГЭСН 44-01-007
ГЭСН 44-01-008
ГЭСН 44-01-009
ГЭСН 44-01-010
ГЭСН 44-01-011
ГЭСН 44-01-012
ГЭСН 44-01-013
ГЭСН 44-01-014
ГЭСН 44-01-015",
,,,DJAB,,,,"Разравнивание каменных постелей в речных условиях (реки, озера, водохранилища)",,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-025,
,,,DJAC,,,,"Разравнивание песчаных постелей в речных условиях (реки, озера, водохранилища)",,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-026,
,,,DJAD,,,,"Разравнивание щебеночных (гравийных) постелей в речных условиях (реки, озера, водохранилища)",,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-026,
,,,DJAE,,,,"Подъем из воды разных предметов в речных условиях (реки, озера, водохранилища)",,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-020 ,
,,,DJAF,,,,"Подводное бетонирование в речных условиях (реки, озера, водохранилища)",,ГЭСН 81-02-44-2020,по виду работ,,,
,,,,DJAFA,,,Установка опалубки под водой,,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-030,
,,,,DJAFB,,,Укладка бетона под водой,,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-031,
,,,,DJAFC,,,Оборудование и разборка плавучего сооружения для укладки бетона методом вертикально перемещаемой трубы (ВПТ),,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-032,
,,,,DJAFD,,,Бурение отверстий в железобетонных конструкциях под водой,,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-033 ,
,,,,DJAFE,,,Установка анкеров в готовые отверстия в,,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-034,
,,,,DJAFF,,,Подводная конопатка швов примыкания,,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-035,
,,,,DJAFG,,,Разборка бетонных конструкций при помощи отбойных молотков под водой,,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-036,
,,,DJAG,,,,"Укладка кабеля в речных условиях (реки, озера, водохранилища)",,ГЭСН 81-02-44-2020,,,"ГЭСН 44-01-060 
ГЭСН 44-01-06",
,,,DJAH,,,,"Подводные работы с металлическими конструкциями в речных условиях (реки, озера, водохранилища)",,ГЭСН 81-02-44-2020,по виду работ,,,
,,,,DJAHA,,,Подводная электросварка,,ГЭСН 81-02-44-2020,,,"ГЭСН 44-01-040
ГЭСН 44-01-041
ГЭСН 44-01-042
ГЭСН 44-01-043",
,,,,DJAHB,,,Подводная резка,,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-060,
,,,,DJAHC,,,"Очистка металлических конструкций от обрастания, краски и ржавчины под водой",,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-043,
,,,,DJAHD,,,Установка и снятие болтов в стальных конструкциях под водой,,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-044,
,,,,DJAHE,,,Установка герметизирующей камеры шахтного типа под водой,,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-045,
,,,DJAJ,,,,"Укладка трубопроводов в речных условиях (реки, озера, водохранилища)",,ГЭСН 81-02-44-2020,,,"ГЭСН 44-01-050
ГЭСН 44-01-051
ГЭСН 44-01-052
ГЭСН 44-01-053",
,,,DJAK,,,,"Опускание металлических и железобетонных конструкций под воду в речных условиях (реки, озера, водохранилища)",,ГЭСН 81-02-44-2020,,,"ГЭСН 44-01-065
ГЭСН 44-01-066
ГЭСН 44-01-067
ГЭСН 44-01-068",
,,,DJAL,,,,"Водолазное обследование речных условий (реки, озера, водохранилища)",,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-070,
,,,DJAM,,,,"Перемещение камня и щебня из воды в речных условиях (реки, озера, водохранилища)",,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-073 ,
,,,DJAN,,,,"Выемка камня и щебня из воды в речных условиях (реки, озера, водохранилища)",,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-073 ,
,,,DJAP,,,,"Сварка на плаву плетей трубопровода в речных условиях (реки, озера, водохранилища)",,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-077,
,,,DJAQ,,,,"Установка элементов деревянных конструкций гидротехнических сооружений под водой в речных условиях (реки, озера, водохранилища)",,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-080,
,,,DJAR,,,,"Крепление подводной части откосов плитами с открытыми швами на подготовленные постели в речных условиях (реки, озера, водохранилища)",,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-083,
,,,DJAS,,,,Обетонирование трубопроводов в полевых условиях при строительстве подводных переходов,,ГЭСН 81-02-44-2020,,,ГЭСН 44-01-087,
,,DJB,,,,,Подводно-строительные (водолазные) работы в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,по виду работ,,,
,,,DJBA,,,,Разработка грунта в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,,,"ГЭСН 44-02-001
ГЭСН 44-02-002
ГЭСН 44-02-003
ГЭСН 44-02-004",
,,,DJBB,,,,Подъем из воды разных предметов в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,,,ГЭСН 44-02-015,
,,,DJBC,,,,"Разравнивание каменных, щебеночных (гравийных) и песчаных постелей в морских условиях в закрытой акватории",,ГЭСН 81-02-44-2020,,,"ГЭСН 44-02-020
ГЭСН 44-02-021",
,,,DJBD,,,,"Уплотнение каменных, щебеночных (гравийных) и песчаных постелей в морских условиях в закрытой акватории",,ГЭСН 81-02-44-2020,,,"ГЭСН 44-02-022
ГЭСН 44-02-023",
,,,DJBE,,,,Подводное бетонирование в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,по виду работ,,,
,,,,DJBEA,,,Установка опалубки под водой в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,,,ГЭСН 44-02-030,
,,,,DJBEB,,,Укладка бетона в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,,,ГЭСН 44-02-031,
,,,,DJBEC,,,Оборудование плавучего сооружения для укладки бетона методом вертикально перемещаемой трубы (ВПТ) в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,,,ГЭСН 44-02-032,
,,,,DJBED,,,Разборка плавучего сооружения для укладки бетона методом вертикально перемещаемой трубы (ВПТ) в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,,,ГЭСН 44-02-032,
,,,DJBF,,,,Подводные работы с металлическими конструкциями в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,,,"ГЭСН 44-02-040 
ГЭСН 44-02-041
ГЭСН 44-02-042",
,,,DJBG,,,,Укладка трубопроводов в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,,,"ГЭСН 44-02-050
ГЭСН 44-02-051
ГЭСН 44-02-052
ГЭСН 44-02-053",
,,,DJBH,,,,Укладка кабеля в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,,,"ГЭСН 44-02-060
ГЭСН 44-02-061",
,,,DJBJ,,,,Опускание металлических и железобетонных конструкций под воду в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,,,ГЭСН 44-02-065,
,,,DJBK,,,,Водолазное обследование в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,,,ГЭСН 44-02-070,
,,,DJBL,,,,Перемещение камня и щебня из воды в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,,,ГЭСН 44-02-073,
,,,DJBM,,,,Выемка камня и щебня из воды в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,,,ГЭСН 44-02-073,
,,,DJBN,,,,Сварка на плаву плетей трубопровода в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,,,ГЭСН 44-02-077,
,,,DJBP,,,,Установка швартовных бочек в морских условиях в закрытой акватории при подводно-строительных работах,,ГЭСН 81-02-44-2020,,,ГЭСН 44-02-080,
,,,DJBQ,,,,Устройство элементов деревянных конструкций в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,,,ГЭСН 44-02-083 ,
,,,DJBR,,,,Крепление подводной части откосов в морских условиях в закрытой акватории,,ГЭСН 81-02-44-2020,,,ГЭСН 44-02-087,
,,DJC,,,,,Подводно-строительные (водолазные) работы в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,по виду работ,,,
,,,DJCA,,,,Разработка грунта в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,,,"ГЭСН 44-03-001
ГЭСН 44-03-002
ГЭСН 44-03-003
ГЭСН 44-03-004",
,,,DJCB,,,,Подъем из воды разных предметов в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,,,ГЭСН 44-03-015,
,,,DJCC,,,,"Разравнивание и уплотнение каменных, щебеночных (гравийных) и песчаных постелей в морских условиях открытого побережья (открытого рейда)",,ГЭСН 81-02-44-2020,,,"ГЭСН 44-03-020
ГЭСН 44-03-021",
,,,DJCD,,,,"Уплотнение каменных, щебеночных (гравийных) и песчаных постелей в морских условиях открытого побережья (открытого рейда)",,ГЭСН 81-02-44-2020,,,"ГЭСН 44-03-022
ГЭСН 44-03-023",
,,,DJCE,,,,Подводное бетонирование в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,по виду работ,,,
,,,,DJCEA,,,Установка опалубки под водой в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,,,ГЭСН 44-03-030,
,,,,DJCEB,,,Укладка бетона в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,,,ГЭСН 44-03-031,
,,,,DJCEC,,,Оборудование и разборка плавучего сооружения для укладки бетона методом вертикально перемещаемой трубы (ВПТ) в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,,,ГЭСН 44-03-032,
,,,DJCF,,,,Подводные работы с металлическими конструкциями в морских условиях открытого побережья (открытого рейда),,ГЭСН 81-02-44-2020,,,"ГЭСН 44-03-040
ГЭСН 44-03-041
ГЭСН 44-03-042",
