Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,CGD,,,Комплекс объектов производства готовых бытовых электрических изделий,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CGE,,,Комплекс объектов производства игрушек,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CGF,,,Комплекс объектов производства лыж из древесины,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CGG,,,"Комплекс объектов производства медицинских инструментов, оборудования и материалов",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CGH,,,Комплекс объектов производства музыкальных инструментов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CGJ,,,Комплекс объектов производства оборудования для обеспечения безопасности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CGK,,,Комплекс объектов производства ювелирных изделий,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,CH,,,,"Комплексы ОКС промышленности готовых металлических изделий, кроме машин и оборудования",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,CHA,,,Комплекс объектов промышленности метизов и прочих готовых металлических изделий,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CHB,,,"Комплекс объектов промышленности обработки металлов, нанесения покрытий на металлы",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CHC,,,Комплекс объектов промышленности обычных вооружений,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CHD,,,"Комплекс объектов промышленности паровых котлов, металлических цистерн, резервуаров и прочих емкостей",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CHE,,,"Комплекс объектов промышленности режущих изделий, инструментов и универсальных скобяных изделий",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CHF,,,Комплекс объектов промышленности производства строительных конструкций,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,CJ,,,,"Комплексы ОКС промышленности лекарственных средств, материалов и оборудования, применяемых в медицинских целях",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,CJA,,,Комплекс объектов медицинской промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CJB,,,Комплекс объектов промышленности фармацевтических субстанций,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CJC,,,Комплекс объектов фармацевтической промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,CK,,,,"Комплексы ОКС промышленности продуктов древесины, деревообрабатывающей и мебельной промышленности, целлюлозо-бумажной промышленности, полиграфической промышленности",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,CKA,,,Комплекс объектов полиграфической промышленности и промышленности копированных носителей информации,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CKB,,,Комплекс объектов промышленности изделий из бумаги и картона,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CKC,,,"Комплекс объектов промышленности изделий из дерева, пробки, соломки и материалов для плетения",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CKD,,,"Комплекс объектов промышленности по распиловке, строганию, предварительной обработке древесины",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CKE,,,"Комплекс объектов промышленности целлюлозы, древесной массы, бумаги и картона",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CKF,,,Комплекс объектов мебельной промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,CL,,,,"Комплексы ОКС промышленности резиновых, пластмассовых изделий, неметаллической минеральной продукции",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,CLA,,,Комплекс объектов производства пластмасс,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CLB,,,"Комплекс объектов производства сортового цемента, извести и гипса",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CLC,,,Комплекс объектов промышленности другой неметаллической минеральной продукции,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CLD,,,"Комплекс объектов промышленности изделий из бетона, цемента и гипса",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CLE,,,Комплекс объектов промышленности керамических и фарфорофаянсовых материалов и изделий,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CLF,,,"Комплекс объектов промышленности резиновых изделий, шинная промышленность",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CLG,,,Комплекс объектов промышленности силикатных и огнеупорных изделий,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CLH,,,Комплекс объектов промышленности стекла и изделий из стекла,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CLJ,,,"Комплекс объектов промышленности резки, обработки и отделки камня",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,CM,,,,Комплексы ОКС радиоэлектронной и электротехнической промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,CMA,,,Комплекс объектов аккумуляторной промышленности и производства элементов электропитания,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CMB,,,"Комплекс объектов промышленности компьютеров, периферийного оборудования и коммуникационного оборудования",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CMC,,,"Комплекс объектов промышленности облучающего и электротерапевтического оборудования, применяемого в медицинских целях",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CMD,,,"Комплекс объектов промышленности оптических приборов, фото- и кинооборудования",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CME,,,Комплекс объектов промышленности электрических ламп и осветительного оборудования,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CMF,,,"Комплекс объектов промышленности электрической распределительной и регулирующей аппаратуры, кабелей и кабельной арматуры",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CMG,,,"Комплекс объектов промышленности электродвигателей, электрогенераторов, трансформаторов и, подъемно -транспортного оборудования",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CMH,,,Комплекс объектов промышленности электроники и электрооборудования,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CMJ,,,Комплекс объектов промышленности электронных компонентов и печатных плат,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,CN,,,,Комплексы ОКС химической промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,CNA,,,Комплекс объектов газовой промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CNB,,,Комплекс объектов промышленности боеприпасов и спецхимии,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CNC,,,"Комплекс объектов промышленности красок, лаков, клеев, эфирных масел",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CND,,,"Комплекс объектов промышленности мыла и моющих, чистящих и полирующих средств, парфюмерных и косметических средств",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CNE,,,Комплекс объектов промышленности неорганических химических веществ,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CNF,,,Комплекс объектов промышленности органических химических веществ,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CNG,,,Комплекс объектов промышленности пластмасс и синтетических смол,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CNH,,,Комплекс объектов промышленности удобрений и азотных соединений,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CNJ,,,Комплекс объектов промышленности химических волокон,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
D,,,,,Комплексы ОКС энергетики и электроэнергетики,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,DA,,,,Комплексы ОКС атомной энергетики,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,DAA,,,Атомная электрическая станция малой мощности стационарного расположения,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","
Приказ Минстроя России от 10.07.2020 N 374/пр
ГОСТ 19431-84",,,
,,DAB,,,Атомная электрическая станция с водо-водяным энергетическим реактором,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","
Приказ Минстроя России от 10.07.2020 N 374/пр
ГОСТ 19431-84",,,
,,DAC,,,Атомная электрическая станция с реактором канального типа,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","
Приказ Минстроя России от 10.07.2020 N 374/пр
ГОСТ 19431-84",,,
,,DAD,,,Атомная электрическая станция с реактором на быстрых нейтронах,"Электростанция, преобразующая энергию деления ядер атомов в электрическую энергию или в электрическую энергию и тепло","
Приказ Минстроя России от 10.07.2020 N 374/пр
ГОСТ 19431-84",,,
,DB,,,,Комплексы ОКС гидроэнергетики,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,DBA,,,Гидроэлектростанция,"Электростанция, преобразующая механическую энергию воды в электрическую энергию","
Приказ Минстроя России от 10.07.2020 N 374/пр
ГОСТ 19431-84",,,
,,DBB,,,Гидроэлектростанция приливная,"Электростанция, преобразующая энергию морских приливов в электрическую","Приказ Минстроя России от 10.07.2020 N 374/пр
Большая советская энциклопедия. — М.: Советская энциклопедия. 1969—1978",,,
,,DBC,,,Волновая электростанция,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,DC,,,,Комплексы ОКС теплоэнергетики,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,DCA,,,Тепловая электростанция,"Электростанция, преобразующая химическую энергию топлива в электрическую энергию или электрическую энергию и тепло","
Приказ Минстроя России от 10.07.2020 N 374/пр
ГОСТ 19431-84",,,
,,,,DCA010,Электрическая станция на возобновляемых источниках энергии,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,,,DCA020,Электрическая станция на невозобновляемых источниках энергии,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,DE,,,,Комплексы ОКС обеспечения электроэнергией,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,DEA,,,"Переход воздушных линий электропередач, коммуникационный тоннель, объект канализации",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,DEB,,,Электрическая сеть,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,DF,,,,Комплексы ОКС газораспределения,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,DFA,,,Газораспределительная сеть,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,DFB,,,Комплекс объектов обеспечения сжатым и сжиженным газовым топливом,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,DG,,,,Комплексы ОКС теплоснабжения и кондиционирования воздуха,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,DGA,,,Комплекс объектов вентиляции,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,DGB,,,"Комплекс объектов механической очистки газов, воздуха",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,DGC,,,"Комплекс объектов химической очистки газов, воздуха",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,DGD,,,Тепловой пункт,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,DGE,,,Холодильный пункт,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,DGF,,,Тепловая сеть,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
E,,,,,"Комплексы ОКС водоснабжения, водоотведения, водоочистки",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,EA,,,,Комплексы ОКС водозабора и водоподготовки,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,EAA,,,"Комплекс объектов хранения воды (резервуары, насосные станции, напорные башни)",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,EAB,,,Гидротехническое сооружение,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,EAC,,,Комплекс объектов водоподготовки и очистки воды,"Комплекс устройств, обеспечивающих обработку исходной воды до заданного качества","Приказ Минстроя России от 10.07.2020 N 374/пр
ОСТ 108.030.128-78",,,
,,EAD,,,Комплекс объектов забора воды,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,EB,,,,Комплексы ОКС водораспределения,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,EBA,,,Водопровод (сеть водоснабжения),,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,EBB,,,Насосная станция,"Сооружение, предназначенное для забора воды из водоисточника и подачи ее в водопроводные сети","Приказ Минстроя России от 10.07.2020 N 374/пр
СТО 34.01-27.3-002-2014, ВНПБ 29-14",,,
,EC,,,,"Комплексы ОКС очистки сточных, в том числе дренажных, вод",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,ECA,,,Накопительный комплекс объектов водоочистки,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,ECB,,,Комплекс объектов водоочистки,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,ECC,,,Комплекс объектов канализации сточных вод,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,ED,,,,Комплексы ОКС приема сточных вод,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,EDA,,,Заглубленный комплекс ОКС для сбора сточных вод,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,EDB,,,Канализационная сеть,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,EDC,,,Насосная станция сбора сточных вод,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,EDD,,,Пруд-накопитель,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,EDE,,,"Сеть канализации, сеть сбора стоков",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
F,,,,,"Комплексы ОКС сбора, переработки и утилизации отходов, обработка вторичного сырья",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,FA,,,,Комплексы ОКС обработки и утилизации неопасных отходов,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,FAA,,,Комплекс объектов переработки и утилизации промышленных и бытовых отходов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,FAB,,,Комплекс объектов утилизации отходов животного происхождения,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
