Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
A,,,,,"Комплексы ОКС сельского и лесного хозяйства, охоты, рыболовства и рыбоводства",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,AA,,,,Животноводческие комплексы ОКС,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,AAA,,,Комплекс объектов коневодства (верблюдоводства),,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,AAB,,,Комплекс объектов звероводства (кролиководства),,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,AAC,,,Комплекс объектов овцеводства (козоводства),,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,AAD,,,"Комплекс объектов по выращиванию крупного рогатого скота, производству мяса, молока, выращиванию ремонтного молодняка",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,AAE,,,Комплекс объектов птицеводства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,AAF,,,Комплекс объектов пчеловодства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,AAG,,,Комплекс объектов свиноводства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,AAH,,,Комплекс объектов шелкового производства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,AB,,,,Комплексы ОКС ветеринарии и агробиологии,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,ABA,,,Комплекс объектов ветеринарного обслуживания,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,ABB,,,Агробиологическая станция,Научно-исследовательское и учебное учреждение,Приказ Минстроя России от 10.07.2020 N 374/пр,,,Синтезированное определение
,AC,,,,Комплексы ОКС лесного хозяйства,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,ACA,,,Комплекс объектов лесоводства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,ACB,,,Комплекс объектов лесопромышленных предприятий,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,AD,,,,"Комплексы ОКС производства пушнины, добытой в результате охоты",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,AE,,,,Комплексы ОКС рыбоводного хозяйства,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,AEA,,,Комплекс объектов выращивания морских видов рыб,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,AEB,,,Комплекс объектов пресноводного рыбоводного хозяйства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,AF,,,,Мелиоративные комплексы ОКС,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,AFA,,,Комплекс объектов инженерной инфраструктуры в мелиорации,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,AFB,,,"Система орошения, осушения",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,AG,,,,Растениеводческие комплексы ОКС,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,AGA,,,Комплекс объектов выращивания винограда,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,AGB,,,Комплекс объектов выращивания хмеля,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,AGC,,,Комплекс объектов обработки и хранения зерна и семян,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,AGD,,,Комплекс объектов хлопкового растениеводства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,AGE,,,Комплекс объектов производства рассады,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,AGF,,,Тепличный комбинат,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,AGG,,,Садоводческий комплекс ОКС,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,AH,,,,Комплексы ОКС биопромышленные,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,AHA,,,Комплекс объектов предприятий по производству вакцин,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,AHB,,,Комплекс объектов предприятий по производству лечебных сывороток,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
B,,,,,Комплексы ОКС добывающей промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,BA,,,,Комплексы ОКС добычи и обогащения железных руд,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,BAA,,,Комплекс объектов добычи железных руд открытым способом,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,BAB,,,Комплекс объектов добычи железных руд подземным способом,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,BAC,,,Комплекс объектов обогащения железных руд,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,BB,,,,Комплексы ОКС добычи и обогащения руд цветных металлов,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,BBA,,,Комплекс объектов добычи руд цветных металлов закрытым способом,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,BBB,,,Комплекс объектов добычи руд цветных металлов открытым способом,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,BBC,,,Комплекс объектов обогащения руд цветных металлов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,BC,,,,"Комплексы ОКС добычи полезных ископаемых, кроме топливно-энергетических",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,BCA,,,Комплекс объектов добычи минерального сырья для химической промышленности и производства минеральных удобрений,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,BCB,,,Комплекс объектов добычи соли,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,BCC,,,Комплекс объектов добычи инертных материалов для строительства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,BD,,,,Комплексы ОКС добычи природного газа,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,BDA,,,Комплекс объектов добычи природного газа и конденсата,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,BE,,,,Комплексы ОКС добычи сырой нефти,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,BEA,,,Комплекс объектов добычи сырой нефти из скважин,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,BF,,,,Комплексы ОКС добычи угля и антрацита,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
C,,,,,Комплексы ОКС обрабатывающей промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,CA,,,,Комплексы ОКС коксохимической и нефтеперерабатывающей промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,CAA,,,Комплекс объектов коксохимической промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CAB,,,Комплекс объектов нефтеперерабатывающей (нефтехимической) промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CAC,,,Комплекс объектов угольной промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,CB,,,,Комплексы ОКС легкой промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,CBA,,,Комплекс объектов кожевенной промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CBB,,,Комплекс объектов меховой промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CBC,,,Комплекс объектов обувной промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CBD,,,"Комплекс объектов промышленности вязанных и трикотажных изделий, верхней одежды",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CBE,,,Комплекс объектов промышленности ковров и ковровых изделий,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CBF,,,"Комплекс объектов промышленности нетканых текстильных материалов и изделий из них, кроме одежды",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CBG,,,Комплекс объектов текстильной промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,CC,,,,Комплексы ОКС металлургии,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,CCA,,,Комплекс объектов сталеплавильного производства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CCB,,,Комплекс объектов прокатного производства металлургии,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CCC,,,"Комплекс объектов промышленности драгоценных, цветных металлов",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CCD,,,"Комплекс объектов промышленности стальных труб, металлоконструкций, полых профилей и фитингов",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CCE,,,Комплекс объектов промышленности ядерного топлива,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,CD,,,,Комплексы ОКС пищевой промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,CDA,,,"Комплекс объектов мясной, молочной, масложировой промышленности",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CDB,,,Комплекс объектов плодоовощной промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CDC,,,Комплекс объектов промышленности безалкогольных напитков,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CDD,,,Комплекс объектов промышленности алкогольных напитков,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CDE,,,Комплекс объектов промышленности бакалейных продуктов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CDF,,,Комплекс объектов промышленности пищевых продуктов и блюд,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CDG,,,Комплекс объектов промышленности прочих пищевых продуктов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CDH,,,Комплекс объектов промышленности хлебобулочных и кондитерских изделий,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CDJ,,,Комплекс объектов рыбной промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CDK,,,Комплекс объектов табачной промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,CE,,,,Комплексы ОКС производств общего машиностроения,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,CEA,,,Комплекс объектов машиностроения для различных производств,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CEB,,,Комплекс объектов машиностроения добычи полезных ископаемых,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CEC,,,Комплекс объектов прокатного производства общего машиностроения,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CED,,,Комплекс объектов промышленности гидравлического и пневматического силового оборудования,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CEE,,,"Комплекс объектов промышленности двигателей, турбин и комплектующих, кроме авиационных, автомобильных и мотоциклетных",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CEF,,,Комплекс объектов промышленности машин и оборудования для сельского и лесного хозяйства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CEG,,,Комплекс объектов промышленности машин и оборудования коммунального назначения,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CEH,,,"Комплекс объектов промышленности печей, термокамер и печных горелок",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CEJ,,,"Комплекс объектов промышленности подшипников, зубчатых передач, элементов механических передач и приводов",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CEK,,,"Комплекс объектов промышленности подъемно-транспортного оборудования, станков, машин, средств непрерывного транспорта",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CEL,,,"Комплекс объектов промышленности промышленного холодильного и вентиляционного оборудования, фильтров",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CEM,,,"Комплекс объектов промышленности станков, машин, оборудования и инструмента",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,CF,,,,Комплексы ОКС производств транспортного машиностроения,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,CFA,,,Комплекс объектов кораблестроения и судостроения,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CFB,,,Комплекс объектов промышленности двигателей внутреннего сгорания,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CFC,,,Комплекс объектов промышленности железнодорожных локомотивов и подвижного состава,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CFD,,,Комплекс объектов промышленности колесных и гусеничных транспортных средств,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CFE,,,"Комплекс объектов промышленности летательных аппаратов, включая космические и соответствующего оборудования",,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,CG,,,,Комплексы ОКС промышленности готовых изделий (неметаллических),,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду комплекса ОКС,,
,,CGA,,,Комплекс объектов инновационной инфраструктуры,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CGB,,,Комплекс объектов производства бытовых неэлектрических приборов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
,,CGC,,,Комплекс объектов производства готовых бытовых неэлектрических изделий,,Приказ Минстроя России от 10.07.2020 N 374/пр,,,
