Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания
,,ABA,,,Устройство ограждений площадки работ от проникновения людей и животных в опасную зону и внутрь здания (сооружения),"Устройство ограждения по периметру строительной площадки или внутри нее для выделения территории и участков производства строительно-монтажных, демонтажных работ","СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,
,,ABB,,,Применение запорных систем для защиты от проникновения людей и животных в опасную зону и внутрь здания (сооружения),,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,
,,ABC,,,Организация поста охраны для защиты от проникновения людей и животных в опасную зону и внутрь здания (сооружения),,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,
,AC,,,,Мероприятия по защите зеленых насаждений,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",По условию производства работ,,
,AD,,,,Инженерно-технологическая подготовка территории для вывода объекта из эксплуатации,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",По виду работ,,
,,ADA,,,Устройство рельсовых подкрановых путей и фундаментов (опоры) стационарных кранов,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,
,,ADB,,,"Установка и демонтаж инвентарных наружных и внутренних лесов, технологических мусоропроводов",,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,
,,ADC,,,"Строительство временных дорог, площадок, инженерных сетей и сооружений",,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,
,,ADD,,,Установка временных креплений объекта сноса (демонтажа),,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,
,,ADE,,,Заслонение места взрыва деревянными щитами или бетонными плитами для предотвращения разлета строительных обломков или осколков бетона,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,
,AE,,,,Выбор метода сноса (демонтажа),,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",По виду работ,,
,,AEA,,,Обоснование методов при сносе (демонтаже),,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,
,,AEB,,,Расчет зоны развала и опасной зоны при сносе (демонтаже),,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,
B,,,,,Снос объекта,"Ликвидация здания (сооружения) одним из способов обрушения (механический, термический, взрывной или их комбинации) с предварительным демонтажем технических систем и элементов отделки","СП 325.1325800.2017
СТО Нострой 2.33.53-2011 
",По способу производства работ,,
,BA,,,,Снос механическим способом ,"Инструментальный способ, прием достижения какой-либо цели или решения конкретной задачи","СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,
,,BAA,,,Обрушение конструкций,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По способу производства работ,,
,,,BAAA,,Обрушение конструкций экскаватором с навесным оборудованием,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По типу оборудования,,
,,,,BAAA010,Обрушение конструкций экскаватором с клин-молотом,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,,,BAAA020,Обрушение конструкций экскаватором с шар-молотом,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,,,BAAA030,Обрушение конструкций экскаватором с гидравлическими ножницами,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,,BAAB,,Обрушение конструкций станком с алмазным отрезным диском,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,,BAAC,,Обрушение конструкций алмазным канатом,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",,,
,,,BAAD,,Обрушение конструкций клиновым раскалывателем,,"СТО Нострой 2.33.53-2011 
СП 325.1325800.2017",,,
,BB,,,,Снос взрывным способом ,"Инструментальный способ, прием достижения какой-либо цели или решения конкретной задачи","СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По виду работ,,
,,BBA,,,Подготовка взрывчатых веществ,"Комплекс организационно-технических мероприятий, при выполнении которых достигается высокая эффективность работ на базе применения современных прогрессивных технологий, комплексной механизации и индустриализации, своевременного материально-технического обеспечения работ","СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,
,,BBB,,,Подготовка мест закладки зарядов (взрывных камер),"Комплекс организационно-технических мероприятий, при выполнении которых достигается высокая эффективность работ на базе применения современных прогрессивных технологий, комплексной механизации и индустриализации, своевременного материально-технического обеспечения работ","СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,
,,BBC,,,Создание подрывной электрической сети для инициирования зарядов,,"СП 325.1325800.2017
СТО Нострой 2.33.53-2011",По месту работ,,
