Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,"Код по классификатору ОАО ""РЖД""",Примеры,Примечания
,,GFB,,,Комплекс объектов промышленных площадок,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,GFC,,,Комплекс объектов делового и финансового управления,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,GFD,,,Комплекс объектов государственного и муниципального управления,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,GFE,,,"Комплекс объектов обеспечения безопасности, охраны правопорядка и правосудия",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,GFF,,,Комплекс объектов обеспечения ликвидации чрезвычайных ситуаций и стихийных бедствий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,GH,,,,Комплексы ОКС многофункциональных центров городских и сельских поселений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,GHA,,,Комплекс объектов многофункциональных центров сельских поселений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,GHB,,,Комплекс объектов многофункциональных центров,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
H,,,,,Комплексы ОКС транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,HA,,,,Комплексы ОКС автомобильного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,HAA,,,Комплекс объектов автомобильных дорог,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,HAB,,,Комплекс объектов автостоянки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,HAD,,,Комплекс объектов обустройства автомобильных дорог и пропускных пунктов,"Предприятие, обеспечивающего перевозку грузов", Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,HAF,,,Комплекс объектов автозаправочных станций,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,HAG,,,Комплекс объектов пассажирских автовокзалов и станций,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,HAJ,,,Комплекс объектов станций технического обслуживания автомобилей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,HB,,,,Комплексы ОКС водного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,HBA,,,Комплекс объектов обеспечения контроля и безопасности мореплавания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,HBB,,,Комплекс портовых объектов ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,HBC,,,Комплекс объектов причалов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,HC,,,,Комплексы ОКС воздушного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,HCA,,,Комплекс объектов аэродромов (пассажирских аэродромов),"Территория, включающая здания, установленное инженерно-техническое оборудование и оборудование, предназначенная для посадки, взлета и маневрирования воздушных судов"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р ИСО 6707-1-2020",,,,
,,HCB,,,Комплекс объектов аэропортов (пассажирских аэропортов),"Территория, включающая аэродром и объекты для обслуживания пассажиров и обработки грузов"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р ИСО 6707-1-2020",,,,
,,HCC,,,Комплекс объектов вертодрома,"Участок земли или определенный участок поверхности сооружения, предназначенный полностью или частично для взлета, посадки, руления и стоянки вертолетов. Вертодромы подразделяются на вертодромы гражданской авиации, вертодромы государственной авиации и вертодромы экспериментальной авиации"," Приказ Минстроя России от 02.11.2022 N 928/пр 
Воздушный кодекс Российской Федерации от 19.03.1997 N 60-ФЗ",,,,
,HD,,,,Комплексы ОКС прочего транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,HDA,,,Комплекс объектов городского наземного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,HDB,,,Комплекс объектов метрополитена,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,HDC,,,Комплекс объектов фуникулеров и подъемников,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,HE,,,,Комплексы ОКС железнодорожного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,HEA,,,Комплекс объектов железнодорожных путей,"Подсистема инфраструктуры железнодорожного транспорта - железнодорожный путь, сооружения и устройства путевого хозяйства"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 34530-2019 
Приказ Минтранса России от 23.06.2022 N 250",,A,,
,,HEB,,,Комплекс объектов железнодорожного транспорта обслуживания грузовых перевозок,"Комплекс сооружений, технических и технологических устройств, примыкающий к железнодорожным путям общего или необщего пользования и предназначенный для выполнения логистических операций, связанных с приемом, погрузкой-выгрузкой, хранением, сортировкой, грузопереработкой различных партий грузов, коммерческо-информационным обслуживанием грузополучателей, перевозчиков и других логистических посредников, участвующих в перевозках"," Приказ Минстроя России от 02.11.2022 N 928/пр  
СП 225.1326000.2014",,L,,
,,HEC,,,Комплекс объектов объектов железнодорожного транспорта обслуживания пассажирских перевозок ,Подсистема инфраструктуры железнодорожного транспорта для обслуживания пассажиров -   пассажирская инфраструктура ," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 34530-2019 
ГОСТ 33942-2016",,H,,
,,HED,,,Комплекс объектов ремонта и обслуживания локомотивов и вагонов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,,HEDA,,Комплекс объектов по техническому обслуживанию и ремонту тягового подвижного состава,"Комплекс сооружений и устройств (производственных зданий, мастерских специализированных по ремонту отдельных узлов локомотивов, других технических устройств), предназначенных для подготовки локомотивов к работе, их обслуживания и ремонта.",ГОСТ 34530-2019,,J,,
,,,HEDB,,Комплекс объектов по техническому  обслуживанию  и ремонту вагонов,,Приказ Минтранса России от 23.06.2022 N 250,,K,,
,,HEE,,,Комплекс объектов управления и контроля железнодорожных перевозок,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,,HEEA,,Комплекс объектов для административно-хозяйственных нужд по управлению инфраструктурой железнодорожного  транспорта,"Здания, в которых располагаются подразделения аппарата управления ОАО ""РЖД"", подразделения аппарата управления филиалов и структурных подразделений ОАО ""РЖД""","Распоряжение ОАО ""РЖД"" от 12.01.2010 N 16р",,M,,
,,HEF,,,Комплекс объектов обустройства железнодорожного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,HEG,,,Комплекс объектов технического обслуживания и ремонта железнодорожного пути,"Подсистема инфраструктуры железнодорожного транспорта, включающая в себя технологические комплексы зданий, сооружений, устройств для производства на железнодорожных станциях операций с грузами, почтовыми отправлениями и поездами, технического обслуживания и ремонта инфраструктуры железнодорожного транспорта и железнодорожного подвижного состава, а также для обслуживания пассажиров",СП 225.1326000.2014,,D,,
,,HEH,,,Комплекс объектов железнодорожного электроснабжения,"Подсистема инфраструктуры железнодорожного транспорта - железнодорожное электроснабжение, сооружения и устройства хозяйства электроснабжения","ГОСТ 34530-2019 
ТР ТС 003/2011 
Приказ Минтранса России от 23.06.2022 N 250",,E,,
,,HEJ,,,Комплекс объектов железнодорожной автоматики и телемеханики ,"Подсистема инфраструктуры железнодорожного транспорта, включающая в себя комплекс технических сооружений и устройств сигнализации, централизации и блокировки, обеспечивающих управление движением поездов на перегонах и станциях и маневровой работой",ТР ТС 003/2011,,F,,
,,HEK,,,Комплекс объектов железнодорожной технологической электросвязи ,Подсистема инфраструктуры железнодорожного транспорта -   железнодорожная электросвязь,"ГОСТ 34530-2019 
ТР ТС 003/2011 
Приказ Минтранса России от 23.06.2022 N 250",,G,,
,HF,,,,Комплексы ОКС трубопроводного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,HFA,,,Комплекс объектов магистральных газопроводов,"Линейное сооружение, состоящее из соединенных между собой труб, предназначенное для транспортирования газа."," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р 53865-2019",,,,
,,HFB,,,Комплекс объектов магистральных нефтепроводов (нефтепродуктопроводов),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,HFC,,,Комплекс объектов магистральных трубопроводов для транспортирования прочих жидкостей и газов ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,HG,,,,Комплексы ОКС транспортных сооружений и переходов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,HGA,,,Комплекс объектов мостовых сооружений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,HGB,,,Комплекс объектов тоннелей,," Приказ Минстроя России от 02.11.2022 N 928/пр 
",,,,
,,HGC,,,Комплекс объектов транспортных сооружений,," Приказ Минстроя России от 02.11.2022 N 928/пр 
",,,,
,HQ,,,,Комплексы ОКС вспомогательной инфраструктуры отрасли транспорта,,,По виду комплекса ОКС,,,
,,HQA,,,Комплекс вспомогательных объектов трубопроводного транспорта,,,,,,
,,HQB,,,Комплекс вспомогательных объектов прочего транспорта,,,,,,
,,HQC,,,Комплекс вспомогательных объектов транспорта,,,,,,
,HR,,,,Комплексы ОКС космического транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,HRA,,,Комплекс объектов наземной космической инфраструктуры,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
K,,,,,"Комплексы ОКС образования, науки, культуры, искусства и религии",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,KA,,,,"Комплекс объектов культуры, искусства и истории",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,KAA,,,Комплекс объектов библиотек и архивов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,KAB,,,"Комплекс объектов исторических мест и зданий, памятников культуры",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,KAC,,,"Комплекс объектов центров культуры, искусств и творчества",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,KAD,,,Комплекс объектов концертных залов и театров,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,KAE,,,Комплекс объектов музеев и выставочных залов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,KAF,,,"Комплекс объектов производства объектов интеллектуальной, творческой деятельности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,KB,,,,Комплексы ОКС религиозного и культового обеспечения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,KBA,,,Религиозные и культовые комплексы ,"Юридически оформленное хозяйственно самостоятельное учреждение, ведущее подготовку и выпуск издательской продукции."," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 7.81-2001 СИБИД",,,,
,KC,,,,"Комплексы ОКС научной, исследовательской и проектной деятельности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,KCA,,,Комплекс объектов научной деятельности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,KCB,,,"Комплекс объектов организаций, осуществляющих проектную деятельность",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,KD,,,,Комплексы ОКС дошкольного и общего среднего образования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,KDA,,,Комплекс объектов дошкольного образования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,KDB,,,Комплекс объектов среднего образования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,KE,,,,"Комплексы ОКС среднего профессионального, высшего и дополнительного образования",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,KEA,,,Комплекс объектов высшего и среднего профессионального образования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,KEB,,,Комплекс объектов дополнительного образования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,KEC,,,Комплекс учебно-тренировочных объектов ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,KF,,,,"Комплексы ОКС вспомогательной инфраструктуры образования, науки, культуры, искусства и религии",,,По виду комплекса ОКС,,,
,,KFA,,,"Комплекс вспомогательных объектов культуры, искусства и истории",,,,,,
,,KFB,,,Комплекс вспомогательных объектов науки,,,,,,
L,,,,,Комплексы ОКС металлургии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,LA,,,,Комплексы ОКС черной металлургии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,LAA,,,"Комплекс объектов производства стали, чугуна",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,LAB,,,"Комплекс объектов производства металлопроката, металлоконструкций",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,LAC,,,Комплекс объектов ферросплавного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,LAD,,,Комплекс объектов порошковой металлургии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,LB,,,,Комплексы ОКС цветной металлургии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,LBA,,,Комплекс объектов металлургии драгоценных (благородных) металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,LBB,,,Комплекс объектов металлургии тяжелых металлов и сплавов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,LBC,,,Комплекс объектов металлургии легких металлов и сплавов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,LBD,,,Комплекс объектов металлургии редких и легирующих металлов и сплавов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,LC,,,,Комплексы ОКС вспомогательной инфраструктуры металлургической промышленности,,,По виду комплекса ОКС,,,
,,LCA,,,Комплекс объектов вспомогательной инфраструктуры металлургической промышленности,,,,,,
,,LCB,,,Комплекс объектов цехов и печей металлургии,,,,,,
M,,,,,Комплексы ОКС производства машин и оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,MA,,,,Комплексы ОКС машиностроения для различных производств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,MAA,,,Комплекс объектов машиностроения для литейного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MAB,,,"Комплекс объектов металлургического, тяжелого и транспортного машиностроения",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MAC,,,Комплекс объектов производства бумагоделательного и целлюлозного оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MAD,,,Комплекс объектов производства машин для переработки и производства изделий из пластмасс и резины,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MAE,,,Комплекс объектов производства машин текстильной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MAF,,,Комплекс объектов производства механизированных инструментов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MAG,,,Комплекс объектов производства оборудования для пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MAH,,,"Комплекс объектов производства оборудования вентиляции, кондиционирования, теплоутилизации",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MAJ,,,Комплекс объектов производства печей и горелок,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MAK,,,Комплекс объектов производства электротермического оборудования и теплообменных устройств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MAL,,,"Комплекс объектов производства химического, криогенного и холодильного машиностроения",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MAM,,,"Комплекс объектов производства станков, машин и оборудования для обработки металлов и твердых материалов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,MB,,,,Комплексы ОКС машиностроения для добычи полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,MBA,,,Комплекс объектов производства машин для добычи полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MBB,,,Комплекс объектов производства оборудования для добычи полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,MC,,,,Комплексы ОКС промышленности гидравлического и пневматического силового оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,MCA,,,Комплекс объектов предприятий компрессорного машиностроения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MCB,,,Комплекс объектов производства гидравлического и пневматического силового оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,MD,,,,Комплексы ОКС промышленности двигателей и турбин,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,MDA,,,"Комплекс объектов производства комплектующих изделий, узлов и деталей двигателей",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MDB,,,Комплекс объектов производства специальных двигателей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MDC,,,Комплекс объектов производства турбин,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MDD,,,Комплекс объектов производства двигателей внутреннего сгорания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,ME,,,,Комплексы ОКС промышленности колесных и гусеничных транспортных средств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,MEA,,,Комплекс объектов лесохозяйственного машиностроения и автотрактороремонтного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MEB,,,Комплекс объектов машиностроения для сельского хозяйства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MEC,,,Комплекс объектов производства колесных и гусеничных транспортных средств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,MF,,,,"Комплексы ОКС промышленности подъемно-транспортного оборудования, станков, машин, средств непрерывного транспорта",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,MFA,,,Комплекс объектов производства подъемно-транспортного оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MFB,,,Комплекс объектов производства средств непрерывного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,MG,,,,Комплексы ОКС вспомогательной инфраструктуры отрасли производства машин и оборудования,,,По виду комплекса ОКС,,,
,,MGA,,,Комплекс объектов вспомогательной инфраструктуры отрасли производства машин и оборудования,,,,,,
,MH,,,,Комплексы ОКС кораблестроения и судостроения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,MHA,,,"Комплекс объектов производства кораблей, судов и плавучих конструкций",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,MJ,,,,Комплексы ОКС промышленности железнодорожного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,MJA,,,Комплекс объектов производства железнодорожных локомотивов и подвижного состава,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,MK,,,,"Комплексы ОКС промышленности летательных аппаратов, включая космические",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,MKA,,,Комплекс объектов производства летательных аппаратов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,MKB,,,Комплекс объектов ракетно-космической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
R,,,,,"Комплексы ОКС здравоохранения, спорта, физической культуры, отдыха и развлечений",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,RA,,,,Комплексы ОКС лечебного обеспечения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,RAA,,,Комплекс объектов больницы общего профиля,," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 158.13330.2014",,,,
,,RAB,,,Комплекс объектов специализированных лечебно-профилактических организаций,," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 158.13330.2014",,,,
,,RAD,,,Комплекс объектов диспансеров,," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 158.13330.2014",,,,
,,RAF,,,Комплекс объектов инфраструктуры лечебного обеспечения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,RAG,,,Комплекс объектов поликлиник,," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 158.13330.2014",,,,
,,RAH,,,"Комплекс объектов специализированных больниц, центров",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,RAJ,,,"Комплекс объектов станции скорой медицинской помощи, переливания крови",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,RAK,,,Комплекс объектов центров медицинских,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,RB,,,,Комплексы ОКС для кратковременного проживания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,RBA,,,Комплекс объектов санаторно-курортного лечения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,RBB,,,"Комплекс объектов гостиницы, лагеря, дома отдыха, базы отдыха",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,Определение синтезировано на основе ГОСТ Р 54599-2011
,RC,,,,Комплексы ОКС  досуга,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,RCA,,,Комплекс познавательных объектов ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,RCB,,,Комплекс объектов развлечений и отдыха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,RD,,,,Комплексы спортивных ОКС  ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,RDA,,,Комплекс объектов зимних видов спорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,RDB,,,Комплекс спортивных и оздоровительных  объектов ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,RDC,,,Комплекс специализированных объектов по отдельным видам спорта ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,RDD,,,"Комплекс объектов стадионов, арен",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,RE,,,,"Комплексы ОКС вспомогательной инфраструктуры  здравоохранения, спорта, физической культуры, отдыха и развлечения",,,,,,
,,REA,,,Комплексы вспомогательных объектов досуга,,,,,,
,,REB,,,Комплексы вспомогательных объектов лечебного обеспечения,,,,,,
,,REC,,,Комплексы вспомогательных объектов объектов кратковременного проживания,,,,,,
,,RED,,,Комплексы вспомогательных объектов спорта,,,,,,
S,,,,,Комплексы ОКС для хранения,,,,,,
,SA,,,,Комплексы ОКС складов и хранилищ,,,,,,
,,SAA,,,Комплексы складских объектов,,,,,,
,,SAB,,,Комплексы объектов хранения с искусственным охлаждением,,,,,,
,,SAC,,,Комплексы объектов хранилищ,,,,,,
,,SAD,,,"Комплексы объектов резервуаров, емкостей",,,,,,
