Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,"Код по классификатору ОАО ""РЖД""",Примеры,Примечания
,,BFA,,,Комплекс объектов добычи топливных ресурсов открытым способом,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,
,,BFB,,,Комплекс объектов добычи топливных ресурсов подземным способом,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,
,,BFC,,,Комплекс объектов обогащения топливных ресурсов,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,
,BG,,,,Комплексы ОКС вспомогательной инфраструктуры добывающей промышленности,,,По виду комплекса ОКС,,,
,,BGA,,,Комплекс вспомогательных объектов месторождений и обогатительных фабрик,,,,,,
,,BGB,,,Комплекс объектов производственных баз добывающей промышленности,,,,,,
,,BGC,,,Комплекс вспомогательных объектов промышленности строительных материалов,,,,,,
,BH,,,,Комплексы ОКС промышленности строительных материалов,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,
,,BHA,,,Комплекс объектов производства полимерных материалов и изделий из них,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,
,,BHB,,,"Комплекс объектов производства вяжущих веществ, материалов на их основе, строительных растворов и бетонов",,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,
,,BHC,,,Комплекс объектов производства стекла и других материалов и изделий из минеральных расплавов,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,
,,BHD,,,Комплекс объектов производства искусственных необжиговых каменных материалов,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,
,,BHE,,,Комплекс объектов производства керамических материалов и изделий из них,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,
,,BHF,,,Комплекс объектов производства (обработки) природных каменных материалов и изделий из них,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,
,,BHG,,,Комплекс объектов производства древесных материалов и изделий их них,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,
C,,,,,Комплексы ОКС химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,CA,,,,Комплексы ОКС коксохимической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,CAA,,,Комплекс объектовпо производству кокса,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,CAB,,,Комплекс объектов по производству коксового газа и коксохимической продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,CB,,,,Комплексы ОКС промышленности взрывчатых веществ и спецхимии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,CBA,,,Комплекс объектов производства взрывчатых веществ и изделий на их основе,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CBB,,,Комплекс объектов производства пороха и твердого ракетного топлива,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,CC,,,,Комплексы ОКС промышленности неорганических химических веществ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,
,,CCA,,,"Комплекс объектов лакокрасочной, клеевой промышленности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CCB,,,Комплекс объектов производства продукции бытовой химии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CCD,,,Комплекс объектов предприятий содовой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CCE,,,Комплекс объектов производства прочих неорганических веществ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,
,,CCF,,,Комплекс объектов производства неорганических кислот,,Приказ Минстроя России от 02.11.2022 N 928/пр,,,,
