Класс,Подкласс,Тип (%%),Наименование системы,Определение системы,Критерии определения подклассов,Источник,Примеры системы,IFC,МССК,ПСК,KKS,Примечание
,,BG30,Натяжные потолки,"Горизонтальные конструкции из полотнища, которые крепятся с нижней стороны перекрытия на расстоянии от него на специальный профиль",,,Натяжной потолок,,,,,
,,BG40,Комбинированные потолки,"Конструкции, состоящие из потолков разных типов устройства",,,,,,,,
,BH,,Направляющие и опорные конструкции,"Конструктивная система, поддерживающая и направляющая компоненты систем инженерно-технического обеспечения","По размещению, типу монтажа",,,IfcBuildingSystem,,,,
,,BH10,Внутренние направляющие и опорные конструкции открытой установки,"Конструкции, устанавливаемые внутри зданий и сооружений открытым способом и предназначенные для восприятия нагрузок и воздействий со стороны опираемых элементов и передачи их на строительные конструкции",,,"Подвесная опора
Система кабельных каналов
Система кабельных коробов
Система кабельных лотков; система кабельных лестничных лотков",,,,,
,,BH20,Внутренние направляющие и опорные конструкции скрытой установки,"Конструкции, устанавливаемые внутри зданий и сооружений непосредственно в строительных конструкциях и предназначенные для восприятия нагрузок и воздействий со стороны опираемых элементов и передачи их на строительные конструкции",,,"Система кабельных коробов или специальных кабельных коробов, предназначенная для установки под полом
Проходка",,,,,
,,BH30,Наружные надземные направляющие и опорные конструкции,"Конструкции, устанавливаемые снаружи зданий и сооружений над землей и предназначенные для восприятия нагрузок и воздействий со стороны опираемых элементов и передачи их на основание",,,Опора (железнодорожной) контактной сети,,,,,
,,BH40,Наружные подземные направляющие и опорные конструкции,"Конструкции, устанавливаемые снаружи зданий и сооружений под землей и предназначенные для восприятия нагрузок и воздействий со стороны опираемых элементов и передачи их на основание",,,Коммуникационный тоннель,,,,,
,BJ,,Конструктивные системы каркасные,"Системы, основными несущими конструкциями которых являются вертикальные колонны каркаса, на которые передается нагрузка от перекрытий (безригельных или ригельных).",По сочетанию вертикальных конструкций,СП 14.13330.2018,,IfcBuildingSystem,,,,
,,BJ10,Каркас рамный,"Пространственная конструктивная система колонн и ригелей с жесткими узлами в соединениях, воспринимающая всю совокупность вертикальных и горизонтальных нагрузок.",,СП 14.13330.2018,"Каркас рамный с заполнением из штучной кладки, воспринимающей горизонтальные нагрузки
Каркас рамный без заполнения
Каркас рамный с заполнением, отделенным от каркаса",,,,,
,,BJ20,Каркас рамно-связевый,"Пространственная конструктивная система в виде рамного каркаса и вертикальных диафрагм жесткости, в которой рамный каркас воспринимает и передает на основание в основном вертикальные нагрузки, а горизонтальные нагрузки воспринимают совместно вертикальные диафрагмы жесткости и каркас.",,СП 14.13330.2018,"Каркас рамно-связевый с железобетонными диафрагмами
Каркас рамно-связевый с ядрами жесткости 
Каркас рамно-связевый со стальными связями",,,,,
