Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы
,,,AACA,,"Здание (сооружение) для содержания коз, овец",," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 374.1325800.2018",,"BQ__0005
BPG_0005
BQ__0001
BH__0011 
",06.01.004.001 ,ВН ПН 10 40 15,,,
,,,AACB,,"Здание (сооружение) содержания молодняка коз, овец",," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 374.1325800.2018",,"BQ__0005
BPG_0005
BQ__0001
BH__0011 
",06.01.004.002,,,,
,,AAD,,,"Объекты предприятий по выращиванию крупного рогатого скота, производству мяса, молока, выращиванию ремонтного молодняка",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,06.01.005.,,,,
,,,AADA,,Здание (сооружение) коровника,," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 374.1325800.2018",,"BPG_0005
BH__0011 
BQ__0001
BQ__0005
",06.01.005.001,ВН ПН 10 40 15,,,
,,,AADB,,Здание (сооружение) содержания молодняка,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011 
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.005.002,,,,
,,AAE,,,Объекты птицеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,06.01.006.,ВН ПН 10 40 25,,,
,,,AAEA,,Здание птичника,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0001
BQ__0005
BPG_0005
BH__0011 ",06.01.006.002,ВН ПН 10 40 20,,,
,,,AAEB,,Здание инкубатория,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005 
",06.01.006.001,,,,
,,AAF,,,Объекты пчеловодства,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,BH__0011,06.01.007.,ВН ПН 10 40 40,,,
,,,AAFA,,Здание (сооружение) объекта пчеловодческой фермы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005 
",06.01.007.001,,,,
,,AAG,,,Объекты свиноводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,06.01.009.,,,,
,,,AAGA,,Здание (сооружение) свинарника,," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 374.1325800.2018",,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.009.001,,,,
,,,AAGB,,Здание (сооружение) содержания молодняка свиней,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.009.002,,,,
,,AAH,,,Объекты ветеринарии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BQ__0018,06.01.001.,,,,
,,,AAHA,,Здание ветеринарного лечебно-профилактического учреждения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.001.002,"ВН НН 40 80
ВН НН 40 80 10
ВН НН 40 80 20
ВН НН 40 80 30
ВН НН 40 80 40",,,"Ветеринарный объект
Ветеринарная лечебница (клиника)
Ветеринарная лаборатория
Ветеринарная станция
Ветеринарный участок"
,,,AAHB,,Здание приюта для животных,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.001.003,,,,
,,,AAHC,,Здание вивария,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.001.004,,,,
,,,AAHD,,Здание биофабрики ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.001.001,,,,
,,AAJ,,,Объекты рыбоводного хозяйства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,06.01.008.,ВН ПН 10 40 45,,,
,,,AAJA,,Здание (сооружение) рыбоводного хозяйства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.008.001,,,,
,,,AAJB,,Здание (сооружение) по подращиванию мальков,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.008.002,,,,
,AB,,,,Объекты мелиорации,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.02.,,,,
,,ABA,,,"Объекты системы орошения, осушения",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BF__0061,06.02.001.,,,,
,,,ABAA,,"Объект оросительной, осушительной системы, кроме линейных объектов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BPG_0005,06.02.001.002,,,,
,,,ABAB,,"Линейный объект оросительной, осушительной системы",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"SPG_0001
BF__0061
XPG_0019",06.02.001.001,,,,
,AC,,,,"Объекты растениеводства, лесной и деревообрабатывающей промышленности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.04.,ВН ПН 10 50,,,
,,ACA,,,Объекты растениеводства,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,BH__0011,06.04.002.,,,,
,,,ACAA,,Здание питомника и селекции,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ","06.04.002.001
",,,,
,,,ACAB,,"Здание (сооружение) сушки, очистки зерна и семян",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.04.002.002,ВН ПН 10 50 10 ,,,
,,,ACAC,,Здание сортировки и переработки,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.04.002.003,,,,
,,,ACAD,,Здание цеха обеззараживания семян,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.04.002.004,,,,
,,,ACAE,,Здание цеха производства посевных семян,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005",06.04.002.005,,,,
,,,ACAF,,Сооружение элеватора,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPW_0007
BPG_0005",06.04.002.006,,,,
,,,ACAG,,Здание инсектария,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"
BPG_0005 
",06.04.002.007,,,,
,,,ACAH,,Здание цеха по переработке пищевых продуктов леса,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011",06.04.002.008,,,,
,,ACB,,,Тепличные (культивационные) комплексы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,06.04.001.,ВН ПН 10 50,,,
,,,ACBA,,Сооружение теплицы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005 
BPG_0011 ",06.04.001.002,ВН ПН 10 50 30,,,
,,,ACBB,,"Сооружение оранжереи, климатрона",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"ZPG_0005 
BPG_0005 
BPG_0011 
",06.04.001.001,,,,
,,ACC,,,Объекты предприятий лесозаготовки и деревообрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,06.04.003.,,,,
,,,ACCA,,Здание дровобалансового цеха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005",06.04.003.001,,,,
,,,ACCB,,Здание цеха деревообрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005",06.04.003.002,,,,
,,,ACCC,,Здание цеха сушки и сортировки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005",06.04.003.003,,,,
,,,ACCD,,Здание (сооружение) лесозаготовительного цеха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005",06.04.003.004,,,,
,,,ACCE,,Здание (сооружение) лесоперевалочной базы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005",06.04.003.005,,,,
,,,ACCF,,Здание сушильно-раскроечного цеха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005",06.04.003.006,,,,
,,,ACCG,,Сооружение комплекса подготовки и подачи сырья ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005 
",06.04.003.007,,,,
,AD,,,,Обеспечивающая и вспомогательная инфраструктура отрасли сельского хозяйства и пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.05.,,,,
,,ADA,,,Вспомогательные объекты животноводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,06.05.001.,,,,
,,,ADAB,,Здание кузницы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0005 
",06.05.001.002,,,,
,,,ADAC,,Здание санпропускника объектов животноводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0062
BPG_0005
",06.05.001.003,,,,
,,,ADAD,,Сооружение площадки компостирования объектов животноводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
",06.05.001.004,,,,
,,,ADAG,,Административно-бытовое здание объектов животноводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
BQ__0018 
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 ",06.05.001.007,,,,
,,,ADAH,,Здание ветеринарной лаборатории,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BQ__0018",06.05.001.008,,,,
,,ADB,,,Обеспечивающие объекты животноводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,06.05.005.,,,,
,,,ADBA,,Здание (сооружение) пункта искусственного осеменения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011 
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005",06.05.005.001,,,,
,,,ADBB,,Сооружение выгульно-кормовой площадки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0005,06.05.005.002,,,,
,,,ADBC,,Здание (сооружение) карантина,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005",06.05.005.003,,,,
,,,ADBD,,Здание родильного отделения (животноводства),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0001
BQ__0005  
BPG_0005 
BH__0011 ",06.05.005.004,,,,
,,,ADBE,,Здание доильно-молочного блока,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0033 
BQ__0005 
BPG_0005 
BH__0011 
BQ__0001",06.05.005.005,,,,
,,,ADBG,,Здание кормоцеха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"ZPG_0005 
BH__0011
  BPG_0011
 BQ__0001
 BQ__0005",06.05.005.007,,,,
,,,ADBH,,Здание (сооружение) приема и отгрузки скота,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005 
BH__0011 ",06.05.005.010,,,,
,,,ADBJ,,Сооружение дезбарьера,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BF__0056
 BPG_0005",06.05.005.011,,,,
,,,ADBK,,Здание (сооружение) убоя и переработки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011 
BQ__0001
BQ__0005 
ZPG_0005
 BPG_0005 
BH__0011",06.05.005.012,,,,
,,,ADBL,,Сооружение манежа объектов животноводства,Специальное помещение для занятия конным спортом или производственных работ по коневодству в конном заводе. Вся площадь манежа не имеет колонн и перегородок.,"СП 106.13330.2012 
 Приказ Минстроя России от 02.11.2022 N 928/пр ",,"XPG_0005 
BH__0011 ",06.05.005.008,,,,
,,,ADBM,,Сооружение водопойного пункта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BF__0021 ,06.05.005.009,,,,
,,ADC,,,Вспомогательные объекты лесной и деревообрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,06.05.002.,,,,
,,,ADCB,,Здание гаража лесной и деревообрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0001 
BQ__0008 
BQ__0005 
ZPG_0005 
BPG_0005 
BPG_0011 ",06.05.002.002,,,,
,,,ADCC,,Здание (сооружение) производственно-технического назначения лесной и деревообрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
 BQ__0005
 ZPG_0005
 BPG_0005
 BPG_0011
 BQ__0001",06.05.002.003,,,,
,,,ADCD,,Административно-бытовое здание лесной и деревообрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
 ZPG_0005
 BPG_0011
 BQ__0001
 BQ__0018 ",06.05.002.004,,,,
,,,ADCE,,Здание тарного цеха лесной и деревообрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.05.002.005,,,,
,,ADD,,,Вспомогательные объекты пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,06.05.003.,,,,
,,,ADDA,,Административно-бытовое здание пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
 BQ__0005
 ZPG_0005
 BPG_0005
 BPG_0011
 BQ__0001",06.05.003.001,,,,
,,,ADDB,,Здание лаборатории пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
 BQ__0005
 ZPG_0005
 BPG_0005
 BPG_0011
 BQ__0001",06.05.003.002,,,,
,,,ADDC,,Здание (сооружение) производственно-технического назначения пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018 
BQ__0005 
ZPG_0005 
BPG_0005 
BPG_0011 
BQ__0001",06.05.003.003,,,,
,,,ADDE,,Здание цеха товарной переработки и фасовки пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.05.003.005,,,,
,,ADE,,,Вспомогательные объекты растениеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,06.05.004.,,,,
,,,ADEB,,Здание ремонтного цеха объектов растениеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018 
BPG_0005",06.05.004.002,,,,
,,,ADEC,,Сооружение весовой объектов растениеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPF_0003 
BPG_0005",06.05.004.003,,,,
,,,ADEF,,Здание цеха фасовки растениеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005 
BH__0011",06.05.004.006,,,,
,,,ADEG,,Здание лаборатории растениеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011 
BQ__0001 
BQ__0018 
BQ__0005 
ZPG_0005 
BPG_0005",06.05.004.007,,,,
,,,ADEH,,Здание цеха приготовления субстрата и покровной земли,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0001 
BQ__0005 
BH__0011 
ZPG_0005 
BPG_0005 
BPG_0011 ",06.05.004.008,,,,
,,,ADEJ,,Здание кордона,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0018,06.05.004.009,,,,
,,,ADEK,,"Здание цеха для приемки, хранения и отгрузки растениеводства",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BPG_0011 
BQ__0001 
XPW_0007",06.05.004.010,,,,
,,,ADEM,,Административно-бытовое здание растениеводства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011 
BQ__0001 
BQ__0018 
ZPG_0005 
BPG_0005 
BQ__0005",06.05.004.012,,,,
,AE,,,,Пищевая промышленность,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,06.03.,,,,
,,AEA,,,"Объекты производства мясной, рыбной, молочной и масложировой продукции",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,06.03.005.,,,,
,,,AEAA,,Здание цеха по производству масложировой продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.005.003,,,,
,,,AEAB,,Здание цеха по производству молочной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.005.004,,,,
,,,AEAC,,Здание цеха по переработке и производству мясной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.005.001,,,,
,,,AEAD,,Здание цеха по переработке и производству рыбной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.005.002,,,,
,,AEB,,,"Объекты производства готовых блюд, консервов и полуфабрикатов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,06.03.001.,,,,
,,,AEBA,,Здание цеха по производству консервов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.001.002,,,,
,,,AEBB,,Здание цеха по производству блюд быстрого приготовления,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.001.001,,,,
,,,AEBC,,Здание фабрики-кухни,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.001.004,,,,
,,,AEBD,,Здание цеха по производству полуфабрикатов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.001.003,,,,
,,AEC,,,Объекты производства алкогольной и безалкогольной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,06.03.002.,,,,
,,,AECA,,Здание цеха по производству безалкогольных напитков,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.002.002,,,,
,,,AECB,,Здание цеха по производству алкогольных напитков,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.002.001,,,,
,,AED,,,Объекты производства бакалейной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,06.03.003.,,,,
,,,AEDA,,Здание цеха по производству чая,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.009,,,,
,,,AEDB,,Здание цеха по производству макаронной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.003,,,,
,,,AEDC,,Здание цеха по производству кофе,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.002,,,,
,,,AEDD,,Здание цеха по производству мукомольно-крупяной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.004,,,,
,,,AEDE,,Здание цеха по производству сахара и патоки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.005,,,,
,,,AEDF,,Здание цеха по производству вкусовых добавок и пищевых концентратов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.001,,,,
,,,AEDG,,"Здание цеха по производству солода, крахмала и дрожжей",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.007,,,,
,,,AEDH,,Здание цеха по производству снеков,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.006,,,,
,,,AEDJ,,Здание цеха по производству табачной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.003.008,,,,
,,AEE,,,Объекты производства кормов и комбикормов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,06.03.004.,,,,
,,,AEEA,,Здание цеха по производству кормов и комбикормов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.004.001,,,,
,,AEF,,,Объекты производства хлебобулочной и кондитерской продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,06.03.006.,,,,
,,,AEFA,,Здание цеха по производству кондитерской продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.006.001,,,,
,,,AEFB,,Здание цеха по производству хлебобулочной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005 
ZPG_0005 
BPG_0005 
BH__0011 
BPG_0011 
BQ__0001",06.03.006.002,,,,
B,,,,,Объекты добывающей промышленности и промышленности строительных материалов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.,,,,
,BA,,,,Объекты добычи и переработки железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.03.,,,,
,,BAA,,,Объекты добычи железных руд открытым способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,08.03.001.,,,,
,,,BAAA,,Сооружение дробильно-перегрузочного пункта объектов добычи железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,08.03.001.001,,,,
,,,BAAB,,Сооружение карьера добычи железных руд ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0005
BH__0011",08.03.001.002,,,,
,,BAB,,,Объекты добычи железных руд подземным способом,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011 
",08.03.002.,,,,
,,,BABA,,Сооружение шахтного ствола объектов добычи железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0008,08.03.002.001,,,,
,,,BABB,,Сооружение скважины объектов добычи железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0008,08.03.002.002,,,,
,,BAC,,,Объекты обогащения железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011 ,08.03.003.,,,,
,,,BACA,,Здание цеха брикетирования железных руд,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005 
BH__0011",08.03.003.001,,,,
