Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы,УИН
,,,AAHA,,Здание ветеринарного лечебно-профилактического учреждения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.001.002,"ВН НН 40 80
ВН НН 40 80 10
ВН НН 40 80 20
ВН НН 40 80 30
ВН НН 40 80 40",,,"Ветеринарный объект
Ветеринарная лечебница (клиника)
Ветеринарная лаборатория
Ветеринарная станция
Ветеринарный участок",KSI030000030
,,,AAHB,,Здание приюта для животных,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0019
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.001.003,,,,,KSI030001053
,,,AAHC,,Здание вивария,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.001.004,,,,,KSI030001054
,,,AAHD,,Здание биофабрики ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.001.001,,,,,KSI030000054
,,AAJ,,,Объекты рыбоводного хозяйства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,06.01.008.,ВН ПН 10 40 45,,,,KSI030000037
,,,AAJA,,Здание (сооружение) рыбоводного хозяйства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.008.001,,,,,KSI030000996
,,,AAJB,,Здание (сооружение) по подращиванию мальков,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005 
BPG_0005 
BPG_0011 
 BQ__0001 
BQ__0005 ",06.01.008.002,,,,,KSI030000997
,AB,,,,Объекты мелиорации,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.02.,,,,,KSI030000040
,,ABA,,,"Объекты системы орошения, осушения",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BF__0061,06.02.001.,,,,,KSI030001062
,,,ABAA,,"Объект оросительной, осушительной системы, кроме линейных объектов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BPG_0005,06.02.001.002,,,,,KSI030000041
,,,ABAB,,"Линейный объект оросительной, осушительной системы",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"SPG_0001
BF__0061
XPG_0019",06.02.001.001,,,,,KSI030000042
,AC,,,,"Объекты растениеводства, лесной и деревообрабатывающей промышленности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.04.,ВН ПН 10 50,,,,KSI030000043
