Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Технико-экономические показатели <Prp>,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы,УИН
,,,CHCB,,Здание цеха сушки и грануляции при производстве удобрений и химическом производстве,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.01.003.002,,,,,KSI030001478
,,CHD,,,Печи при производстве удобрений и химическом производстве,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.01.004.,,,,,KSI030001479
,,,CHDA,,Здание печного цеха при производстве удобрений и химическом производстве,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.01.004.001,,,,,KSI030000455
,CJ,,,,Промышленность пластмасс и синтетических смол,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,07.08. ,,,,,KSI030001473
,,CJA,,,Объекты производства синтетических смол и пластических масс,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.08.002.,,,,,KSI030000447
,,,CJAA,,"Здание цеха по производству пластмасс, полимеров",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005",07.08.002.001,,,,,KSI030000449
,,,CJAB,,Здание цеха производства синтетических смол,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005",07.08.002.002,,,,,KSI030001475
,,CJB,,,Объекты производства полуфабрикатов из синтетических смол и пластических масс,,Приказ Минстроя России от 02.11.2022 N 928/пр,,BH__0011,07.08.001.,,,,,KSI030001474
,,,CJBA,,Здание цеха производства полуфабрикатов из синтетических смол и пластических масс,,Приказ Минстроя России от 02.11.2022 N 928/пр,,"BH__0011
BPG_0005",07.08.001.001,,,,,KSI030000448
,CK,,,,Целлюлозно-бумажная промышленность,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,07.11.,,,,,KSI030000339
,,CKD,,,Объекты заводов побочных продуктов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.11.002.,,,,,KSI030001174
,,,CKDA,,Здание цеха переработки побочных продуктов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.11.002.001,,,,,KSI030000354
,,CKE,,,"Объекты заводов макулатурной массы, хлопковой и тряпичной полумассы",," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,BH__0011,07.11.001.,ВН ПН 40 10 24,,,,KSI030000352
,,,CKEA,,Здание цеха приготовления макулатурной массы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.11.001.001,,,,,KSI030000353
,,,CKEB,,Здание цеха приготовления полумассы бумажной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.11.001.002,,,,,KSI030001175
,,,CKEC,,"Здание цеха приготовления химикатов заводов макулатурной массы, хлопковой и тряпичной полумассы",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.11.001.003,,,,,KSI030001176
,,CKH,,,Объекты предприятий по производству бумаги и картона,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.11.003.,,,,,KSI030001177
,,,CKHA,,"Здание цеха производства бумаги, картона",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.11.003.002,,,,,KSI030000356
,,,CKHB,,Здание цеха приготовления химикатов предприятий по производству бумаги и картона,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.11.003.001,,,,,KSI030001180
,,CKJ,,,Объекты производства полуфабрикатов целлюлозно-бумажной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.11.004.,,,,,KSI030001178
,,,CKJA,,Здание цеха по производству полуфабрикатов целлюлозно-бумажной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.11.004.001,,,,,KSI030000357
,,CKK,,,Объекты производства целлюлозы и полуцеллюлозы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.11.005.,,,,,KSI030001179
,,,CKKA,,Здание цеха производства целлюлозы и полуцеллюлозы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.11.005.001,,,,,KSI030000358
,CL,,,,Промышленность химических волокон,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,07.09. ,,,,,KSI030001480
,,CLA,,,Объекты производства компонентов химических волокон и нитей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,07.09.001.,,,,,KSI030000456
,,,CLAA,,Здание цеха производства компонентов химических волокон и нитей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BH__0011",07.09.001.001,,,,,KSI030000457
,,,CLAB,,Здание цеха хранения и приготовления химикалий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BH__0011",07.09.001.002,,,,,KSI030001481
,,CLB,,,Объекты производства химических волокон и нитей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.09.002.,,,,,KSI030001482
,,,CLBA,,Здание цеха по производству химических волокон и нитей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BH__0011",07.09.002.001,,,,,KSI030000458
,,,CLBB,,Сооружение кислотной станции производств химических волокон и нитей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005",07.09.002.002,,,,,KSI030001483
,CM,,,,Вспомогательная инфраструктура химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,07.12.,,,,,KSI030000461
,,CMA,,,Вспомогательные объекты производства синтетических смол и пластических масс,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,07.12.001.,,,,,KSI030000462
,,,CMAA,,Административно-бытовое здание производства синтетических смол и пластических масс,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BQ__0018
",07.12.001.001,,,,,KSI030001484
,,,CMAB,,Здание лаборатории производства синтетических смол и пластических масс,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BQ__0018
",07.12.001.002,,,,,KSI030001485
,,,CMAC,,Здание цеха переработки пластмасс и отходов из них,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",07.12.001.003,,,,,KSI030001486
,,,CMAD,,Здание цеха резки производства синтетических смол и пластических масс,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",07.12.001.004,,,,,KSI030001487
,,CMB,,,Вспомогательные объекты химического производства и удобрений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,07.12.002.,,,,,KSI030000463
,,,CMBA,,Административно-бытовое здание химического производства и удобрений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BQ__0018
",07.12.002.001,,,,,KSI030001488
,,,CMBB,,Здание фасовочного цеха химического производства и удобрений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
BH__0011
",07.12.002.002,,,,,KSI030001489
,,,CMBC,,Здание цеха упарки и утилизации промсточных вод химического производства и удобрений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",07.12.002.003,,,,,KSI030001490
,,,CMBE,,Здание ремонтно-механического цеха химического производства и удобрений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",07.12.002.005,,,,,KSI030001492
,,CMC,,,Объекты абсорбции и улавливания газов при производстве удобрений и ином химическом производстве,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.003.,,,,,KSI030000464
,,,CMCA,,Сооружение абсорбции газов  при производстве удобрений и ином химическом производстве,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.003.001,,,,,KSI030001498
,,,CMCB,,Сооружение улавливания газов при производстве удобрений и ином химическом производстве,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.003.002,,,,,KSI030001499
,,,CMCC,,Сооружение утилизации газов при производстве удобрений и ином химическом производстве,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.003.003,,,,,KSI030001500
,,CMD,,,Обеспечивающие объекты производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BQ__0018,07.12.004.,,,,,KSI030000466
,,,CMDA,,Здание (сооружение) испытательной станции производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",07.12.004.001,,,,,KSI030001501
,,,CMDB,,"Здание приемки, хранения и подготовки сырья производства химической промышленности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPW_0007
BPG_0005
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",07.12.004.002,,,,,KSI030001502
,,,CMDC,,Здание пункта управления производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",07.12.004.003,,,,,KSI030001503
,,,CMDD,,Здание цеха наполнения баллонов производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",07.12.004.004,,,,,KSI030001504
,,,CMDE,,Сооружение азотной станции производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.004.005,,,,,KSI030001505
,,,CMDF,,Сооружение водородной станции (электролиз воды) производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.004.006,,,,,KSI030001506
,,,CMDH,,Сооружение компрессорной станции производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.004.008,,,,,KSI030001508
,,,CMDJ,,Сооружение пункта промывки цистерн производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.004.009,,,,,KSI030001509
,,,CMDK,,Сооружение сливо-наливной эстакады производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0028
BH__0011",07.12.004.010,,,,,KSI030001510
,,,CMDL,,Сооружение станции химводоподготовки производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.004.011,,,,,KSI030001511
,,,CMDM,,"Сооружение термического обезвреживания жидких, газообразных и твердых отходов производства химической промышленности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.12.004.012,,,,,KSI030001512
,,,CMDN,,Сооружение факельной установки производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0002
BPG_0005
",07.12.004.013,,,,,KSI030001513
,,,CMDP,,Здание лаборатории производства химической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",07.12.004.014,,,,,KSI030001514
,,CME,,,Вспомогательные объекты коксохимической и нефтеперерабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,07.12.005.,,,,,KSI030001515
,,,CMEA,,Здание (сооружение) лабораторного корпуса коксохимической и нефтеперерабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",07.12.005.001,,,,,KSI030001516
,,,CMEB,,Здание (сооружение) нефтеналивного и погрузочного терминала коксохимической и нефтеперерабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",07.12.005.002,,,,,KSI030001517
,,,CMEC,,Здание (сооружение) производственно-технического назначения коксохимической и нефтеперерабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",07.12.005.003,,,,,KSI030001518
,,,CMEE,,"Сооружение бензинопровода, мазутопровода ",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
XPG_0010
XPG_0019
CPG_0023
",07.12.005.005,,,,,KSI030001520
,,,CMEG,,Сооружение сливной эстакады коксохимической и нефтеперерабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0002
BQ__0028
BH__0011
BPG_0005
",07.12.005.007,,,,,KSI030001522
,,,CMEH,,Административно-бытовое здание коксохимической и нефтеперерабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",07.12.005.008,,,,,KSI030001523
,CN,,,,Производство промышленных газов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,07.04.,ВН ПН 40 10 34,,,,KSI030000417
,,CNA,,,Объекты получения и переработки газов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,07.04.001.,,,,,KSI030000418
,,,CNAA,,Здание цеха по переработке газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005
BPG_0011
BQ__0001
BQ__0005",07.04.001.001,,,,,KSI030000419
,,,CNAB,,Сооружение блока паровой конверсии газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005",07.04.001.002,,,,,KSI030001425
,,,CNAC,,Сооружение компрессионного блока объектов получения и переработки газов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.04.001.003,,,,,KSI030001426
,,,CNAD,,Сооружение переработки газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.04.001.004,,,,,KSI030001427
,,,CNAE,,"Сооружение сжижения, регазификации газа",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.04.001.005,,,,,KSI030001428
,,CNL,,,Объекты предприятий кислородной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.04.002.,,,,,KSI030000421
,,,CNLA,,Здание цеха кислородной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
ZPG_0005
BPG_0011
BQ__0001
BQ__0005",07.04.002.001,,,,,KSI030001429
,,,CNLB,,Сооружение газификационной станции продуктов разделения воздуха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.04.002.002,,,,,KSI030001430
,,,CNLC,,Сооружение кислородно-азотного регулирующего пункта (КРП),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.04.002.003,,,,,KSI030001431
,,,CNLD,,Сооружение системы хранения сжиженных продуктов разделения воздуха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPW_0007,07.04.002.004,,,,,KSI030001432
,,CNM,,,Объекты предприятий получения инертного газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.04.003.,,,,,KSI030000422
,,,CNMA,,Сооружение получения инертного газа,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.04.003.001,,,,,KSI030001433
,CQ,,,,Нефтеперерабатывающая и нефтехимическая промышленность,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,07.03. ,,,,,KSI030001160
,,CQA,,,Объекты предприятий переработки нефти,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.03.001.,,,,,KSI030001161
,,,CQAA,,Здание (сооружение) цеха по переработке нефти,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",07.03.001.001,,,,,KSI030000112
,,,CQAB,,Сооружение установки перегонки нефти,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.03.001.002,,,,,KSI030001162
,,,CQAC,,Сооружение установки подготовки нефти,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,BH__0011,07.03.001.003,,,,,KSI030001163
,,CQB,,,Объекты производства нефтепродуктов и продуктов нефтехимического синтеза,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,BH__0011,07.03.002.,,,,,KSI030000109
,,,CQBA,,Здание цеха по производству катализаторов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",07.03.002.001,,,,,KSI030000113
,,,CQBB,,Здание цеха по производству продуктов нефтехимического синтеза,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",07.03.002.003,,,,,KSI030000115
,,,CQBC,,Здание цеха по производству поверхностно-активных веществ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",07.03.002.002,,,,,KSI030000117
,,,CQBD,,Здание цеха по производству смазочных масел и присадок,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",07.03.002.005,,,,,KSI030000118
,,,CQBE,,"Здание цеха по производству синтетических жирозаменителей (в том числе, кислот и средств бытового назначения)",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005",07.03.002.004,,,,,KSI030001164
,,,CQBF,,Здание цеха по производству топлива для транспортных средств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005",07.03.002.006,,,,,KSI030001165
D,,,,,Объекты энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,05.,ВН ПН 50 35 50,,,,KSI030000479
,DA,,,,Атомная энергетика,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,05.01.,ВН ПН 50 35 20,,,,KSI030000480
,,DAA,,,Атомная электростанция,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPE_0004,05.01.001.,,,,,KSI030000481
,,,DAAA,,Здание систем контроля и управления атомной электростанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",05.01.001.001,,,,,KSI030000482
,,,DAAB,,Здание (сооружение) турбины атомной электростанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
XPE_0004
",05.01.001.002,,,,,KSI030000483
,,,DAAC,,Здание (сооружение) реактора атомной электростанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPE_0004
BQ__0005
ZPG_0005
BPG_0011
BQ__0001",05.01.001.003,,,,,KSI030000484
,DB,,,,Гидроэнергетика,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,05.02.,,,,,KSI030000485
,,DBA,,,Гидроэлектростанция,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPE_0004,05.02.001.,ВН ПН 50 35 10,,,,KSI030000486
,,,DBAA,,Здание гидроэлектростанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
XPE_0004",05.02.001.001,,,,,KSI030001181
,DC,,,,Теплоэнергетика,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,05.04.,,,,,KSI030000491
,,DCA,,,Теплоэлектростанции,"Электростанция, преобразующая химическую энергию топлива в электрическую энергию или электрическую энергию и тепло"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 19431-84",,XPE_0004,05.04.001.,"ВН ПН 50 65 10
ВН ПН 50 65 20",,,,KSI030000492
,,,DCAA,,Здание теплоэлектростанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001
XPE_0004",05.04.001.001,,,,,KSI030001199
,DD,,,,Прочая энергетика,,Приказ Минстроя России от 02.11.2022 N 928/пр ,,,05.03.,,,,,KSI030001198
,,DDA,,,Электрические станции на возобновляемых источниках энергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPE_0004,05.03.001.,,,,,KSI030000493
,,,DDAA,,Сооружение ветряной электростанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPE_0004
BPG_0005
BQ__0033",05.03.001.001,,,,,KSI030001200
,,,DDAB,,Сооружение солнечной электростанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPE_0004
BPG_0005",05.03.001.002,,,,,KSI030001201
,,,DDAC,,Здание систем контроля и управления электрических станций на возобновляемых источниках энергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0011
BQ__0001
BQ__0005
ZPG_0005
BPG_0005
BQ__0018",05.03.001.003,,,,,KSI030001202
,,DDB,,,Электрическая станция на невозобновляемых источниках энергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPE_0004,05.03.002.,,,,,KSI030000494
,,,DDBA,,Сооружение газопоршневой электростанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPE_0004
BPG_0005",05.03.002.001,,,,,KSI030001203
,DH,,,,Обеспечивающая и вспомогательная инфраструктура энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,05.05.,,,,,KSI030000526
,,DHA,,,Вспомогательные объекты энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,05.05.001.,,,,,KSI030000527
,,,DHAA,,Административно-бытовое здание  объектов энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",05.05.001.001,,,,,KSI030001190
,,,DHAB,,Здание (сооружение) производственно-технического назначения объектов энергетики,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BQ__0018
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",05.05.001.002,,,,,KSI030001191
,,,DHAD,,Сооружение градирни,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0002
BPG_0005",05.05.001.004,,,,,KSI030001193
,,DHB,,,Объекты передачи электроэнергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,SPE_0001,05.05.003.,,,,,KSI030000505
,,,DHBA,,Сооружение перехода высоковольтной линии электропередач через естественные и искусственные сооружения  ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"SPE_0001
XPG_0003
",05.05.003.003,,,,,KSI030000507
,,,DHBB,,Сооружение воздушной линии электропередачи,"Устройство для передачи электроэнергии по проводам, расположенным на открытом воздухе и прикрепленным при помощи изолирующих конструкций и арматуры к опорам, несущим конструкциям, кронштейнам и стойкам на инженерных сооружениях (мостах, путепроводах и т.п.).",Правила устройства электроустановок (ПУЭ),,"XPG_0019
SPE_0001",05.05.003.001,,,,,KSI030000509
,,,DHBC,,Сооружение кабельной электрической линии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"SPE_0001
XPG_0019",05.05.003.002,,,,,KSI030000516
,,,DHBD,,Сооружение тяговой подстанции для транспорта электроэнергии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"SPE_0001
",05.05.003.004,,,,,KSI030001194
,,,DHBE,,Сооружение узловой и главной понизительной подстанции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"SPE_0001
BPG_0005
",05.05.003.005,,,,,KSI030001195
,,,DHBF,,"Сооружение электрической, трансформаторной подстанции",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"SPE_0001
BPG_0005
",05.05.003.006,,,,,KSI030001196
,,,DHBG,,Сооружение распределительного устройства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"SPE_0001
BPG_0005
",05.05.003.007,,,,,KSI030001197
,,DHC,,,Промышленность ядерного топлива,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
",05.05.002.,,,,,KSI030000159
,,,DHCA,,Здание цеха по производству ядерного топлива,, Приказ Минстроя России от 02.11.2022 N 928/пр,,"BH__0011
BQ__0005
ZPG_0005
BPG_0005
BPG_0011
BQ__0001",05.05.002.001,,,,,KSI030001346
E,,,,,Инженерные сети и объекты инфраструктуры,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,12.,,,,,KSI030000540
,EA,,,,Инженерные сети,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,12.01.,,,,,KSI030000541
,,EAA,,,Сети теплоснабжения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0019,12.01.001.,,,,,KSI030001182
,,,EAAA,,Линейное сооружение сети теплоснабжения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"CPG_0023
XPG_0010
XPG_0019",12.01.001.001,,,,,KSI030000525
,,,EAAB,,Здание котельной,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"MN__0021
BQ__0001
BQ__0005
XPE_0004
BPG_0005
CPT_0001",12.01.001.002,,,,,KSI030001717
,,,EAAC,,"Сооружение индивидуального, автономного теплового пункта",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPE_0004
CPT_0001
",12.01.001.003,,,,,KSI030001718
,,,EAAD,,Сооружение центрального теплового пункта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPE_0004
CPT_0001
BPG_0005
",12.01.001.004,,,,,KSI030000524
,,,EAAE,,Сооружение подкачивающей насосной станции ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
",12.01.001.005,,,,,KSI030001719
,,EAB,,,Сети водоотведения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,XPG_0019,12.01.002.,,,,,KSI030001183
,,,EABA,,Линейное сооружение сети водоотведения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"XPG_0019
XPG_0010
BH__0011",12.01.002.001,,,,,KSI030000552
,,,EABB,,Сооружение снегоплавильного пункта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011",12.01.002.002,,,,,KSI030001720
,,,EABC,,Здание (сооружение) канализационной насосной станции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BH__0011
BPG_0005
BQ__0001
BQ__0005",12.01.002.003,,,,,KSI030001721
,,,EABD,,Сооружение очистки сточных вод,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"BPG_0005
BH__0011",12.01.002.004,,,,,KSI030000551
