Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания,Синонимы,УИН
,,,AABS,,Бентонит,"Высокопластичная глина, состоящая из минерала монтмориллонита и обладающая высокой сорбционной способностью","ГОСТ Р 52918-2008
Приказ Минстроя России от 17.11.2022 N 969/пр",,,59.1.02.01,,,,KSI170000033
,,,AABT,,Дунит,,"СП 43.13330.2012
Приказ Минстроя России от 17.11.2022 N 969/пр",,,,,,,KSI170000034
,,,AABU,,Хромит,,СП 43.13330.2012,,,,,,,KSI170000035
,AB,,,,Камень бутовый,"Куски камня (доломита, известняка или песчаника) неправильной формы, размером не более 500 мм по наибольшему измерению и массой до 50 кг","СТО НОСТРОЙ 2.29.107-2013
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,"02.2.03.01 
13.2.01.03",СТ 10 10 50 60,,,KSI170000036
,,ABA,,,Булыжник,Компонент осадочных пород диаметром от 64 до 256 мм,ГОСТ Р 53389-2009,По виду материала,,,,,,KSI170000037
,,ABB,,,Валун,Окатанные в различной степени обломки горных пород и минералов размером свыше 70 мм,ГОСТ 23735-2014,По виду материала,,,,,,KSI170000038
,AC,,,,"Щебень, гравий, галька",Неорганические сыпучие минеральные материалы,,По виду материала,,"02.2 
59.1.02","СТ 10 10 40
СТ 10 10 20
СТ 10 10 10",,,KSI170000039
,,ACA,,,Щебень андезитовый,,Приказ Минстроя России от 17.11.2022 N 969/пр,По виду материала,,"02.2.05.03
",,,,KSI170000040
,,ACB,,,Щебень из плотных горных пород,"Неорганический сыпучий каменный материал в виде зерен крупностью более 4 мм, получаемый дроблением и рассевом продуктов дробления горных пород, гравия и валунов, а также попутно добываемых пород или некондиционных отходов горных предприятий по переработке руд и неметаллических ископаемых других отраслей промышленности","ГОСТ 8267-93
ГОСТ 32703-2014
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,02.2.05.04,,,,KSI170000041
,,,,ACB010,Щебень гранитный,,"Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ГОСТ 8267-93",,,59.1.02.02,СТ 10 10 40 30,,,KSI170000042
,,,,ACB020,Щебень гравийный,"Неорганический зернистый сыпучий строительный материал, получаемый дроблением гравия и валунов и рассевом продуктов дробления ","Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ГОСТ 8267-93
ГОСТ 32703-2014 ",,,"02.2.05.04 
59.1.02.02
",СТ 10 10 40 20,,,KSI170000043
,,ACC,,,Щебень из пористых горных пород,,"Приказ Минстроя России от 17.11.2022 N 969/пр
ГОСТ 22263-76",По виду материала,,02.2.05.05,,,,KSI170000044
,,,,ACC010,Щебень известняковый,,"ГОСТ 22263-76
ГОСТ 32703-2014",,,,,,,KSI170000045
,,ACD,,,Щебень черный,,Приказ Минстроя России от 17.11.2022 N 969/пр,По виду материала,,"02.2.05.08
",,,,KSI170000046
,,ACE,,,Щебень из природного камня декоративный,"Неорганический зернистый сыпучий строительный материал, получаемый дроблением скальных горных пород и рассевом продуктов дробления","ГОСТ 22856-89
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,02.2.05.06,СТ 10 10 40 60,,,KSI170000047
,,ACF,,,Гравий из плотных горных пород,"Неорганический зернистый сыпучий строительный материал, получаемый рассевом природных гравийно-песчаных смесей","ГОСТ 25137-82
ГОСТ 8267-93
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,02.2.01.02,,,,KSI170000048
,,,,ACF010,Гравий фракционированный,"Гравий, получаемый после обогащения путем разгрохотки карьерного гравийного материала с удалением зерен мельче 5 (3) мм и крупнее 70 (120) мм. Различают гравий по размерам зерен: 70-120 мм - очень крупный (галька); 40-70 мм - крупный; 20-40 мм - средний; 10-20 мм - мелкий","ОДМ 218.8.009-2017
ГОСТ 8267-93
",,,02.2.01.02,,,,KSI170000049
,,,,ACF020,Гравий горный,"Неорганический сыпучий природный каменный материал, состоящий из окатанных зерен крупностью более 4 мм",ГОСТ 32703-2014,,,02.2.01.02,,,,KSI170000050
,,,,ACF030,Гравий овражный,,,,,,,,,KSI170000051
,,,,ACF040,Гравий речной,,,,,,,,,KSI170000052
,,,,ACF050,Гравий морской,,,,,,,,,KSI170000053
,,,,ACF060,Гравий ледниковый,,,,,,,,,KSI170000054
,,,,ACF070,Гравий озерный,,,,,,,,,KSI170000055
,,ACG,,,Галька,,"ГОСТ 25100-2020
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,"02.2.01 
59.1.02.02
",СТ 10 10 10,,,KSI170000056
,,,,ACG010,Галька гранитная,,,,,"59.1.02.02
02.2.01",,,,KSI170000057
,,,,ACG020,Галька мраморная,,,,,"59.1.02.02
02.2.01",,,,KSI170000058
,,,,ACG030,Галька кремниевая,,,,,"59.1.02.02
02.2.01",,,,KSI170000059
,,,,ACG040,Галька природная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"02.2.01.01
59.1.02.02",,,,KSI170000060
,,ACH,,,"Гравий и щебень, полученные путем обжига",,,По виду материала,,02.2.01.,,,,KSI170000061
,,,,ACH010,Гравий керамзитовый,"Искусственный пористый заполнитель ячеистого строения округлой или гравелистой формы с шероховатой поверхностью, полученный при вспучивании (увеличении в объеме) полуфабриката в результате обжига легкоплавкого глинистого сырья","ГОСТ 32496-2013
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,02.2.01.03,СТ 10 10 20 30,,,KSI170000062
,,,,ACH020,Гравий шунгизитовый,"Искусственный пористый заполнитель, полученный обжигом со вспучиванием подготовленных гранул (зерен) из шунгитового сырья, содержащего тонкораспределенный аморфный углерод - шунгит","ГОСТ 32496-2013
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"59.1.02.02
02.2.01",СТ 10 10 20 40,,,KSI170000063
,,,,ACH030,Гравий термолитовый,"Искусственный пористый заполнитель, полученный обжигом со спеканием и поризацией подготовленных гранул (зерен) из кремнистых пород (трепелов, диатомитов, опок)","ГОСТ Р 56507-2015
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"59.1.02.02
02.2.01",,,,KSI170000064
,,,,ACH040,Гравий зольный,"Искусственный пористый заполнитель округлой формы, получаемый путем гранулирования золы-уноса ТЭС с последующим вспучиванием при обжиге гранул полуфабриката во вращающейся печи",ГОСТ 33928-2016,,,02.2.01,,,,KSI170000065
,,,,ACH050,Гравий аглопоритовый,"Искусственный пористый заполнитель, имеющий округлую или гравелистую форму, полученный спеканием песчано-глинистых пород на решетках агломерационной машины","ГОСТ 32496-2013
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,02.2.01,СТ 10 10 20 10,,,KSI170000066
,,,,ACH060,Щебень керамзитовый,"Искусственный пористый заполнитель произвольной, преимущественно угловатой формы, полученный при вспучивании в результате обжига фракционированного камнеподобного глинистого сырья или дроблении керамзита фракции более 20 мм","ГОСТ 32496-2013
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,02.2.05,СТ 10 10 40 70,,,KSI170000067
,,,,ACH070,Щебень аглопоритовый,"Искусственный пористый заполнитель, полученный спеканием песчано-глинистых пород на решетках агломерационной машины непрерывного или переменного действия","ГОСТ 32496-2013
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"02.2.05 
59.1.02.02
",СТ 10 10 40 10,,,KSI170000068
,,,,ACH080,Щебень термолитовый,"Искусственный пористый заполнитель произвольной, преимущественно угловатой формы, полученный спеканием и поризацией в результате обжига фракционированный камнеподобных кремнистых пород (трепела, диатомиты, опоки) или дроблением термолитового гравия крупных фракций и кусков",ГОСТ Р 56507-2015,,,02.2.05,,,,KSI170000069
,,,,ACH090,Щебень шлакопемзовый,"Техногенный пористый заполнитель, получаемый на основе поризации расплава шлаков металлургического производства ","ГОСТ 5578-2019
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,02.4.03,СТ 10 10 40 90,,,KSI170000070
