Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания,Синонимы,УИН
,,AHA,,,Местный грунт,"Грунты, разработанные в траншее или имеющиеся на стройплощадке (песчаные, глинистые, за исключением твердых глин, природные песчано-гравийные смеси без крупных включений)",СТО НОСТРОЙ 2.25.114-2013,По виду материала,,"02.1.01.02
02.1.01.01",,,,KSI170000198
,,AHB,,,Плодородный грунт,"Грунт, искусственно формируемый из минерального и органического материала и обладающий заданными физическими, химическими и биологическими свойствами или состоящий из нарушенного субстрата естественно-природных гумусовых горизонтов. В плодородном грунте не должно быть включений бытового и строительного мусора. Содержание физической глины (фракции <0,01 мм) - не менее 30-40%, содержание гумуса - 3-4%, рН - 5,5-7","ТСН 30-307-2002 г.Москвы (МГСН 1.02-02)
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,"16.2.01.01
59.1.02.01",,,,KSI170000199
,,AHC,,,Смеси грунтосодержащие,,Приказ Минстроя России от 17.11.2022 N 969/пр,По виду материала,,59.1.02.01,,,,KSI170000200
,,,,AHC010,Смесь битумно-грунтовая,"Искусственный материал, получаемый смешением на дороге или в смесительных установках грунтов с органическими вяжущими и активными добавками (в том числе минеральными вяжущими) и без них при оптимальной влажности, соответствующий нормируемым показателям качества в проектные и промежуточные сроки.
Для приготовления смесей применяют нефтяные дорожные вязкие (в том числе вспененные) битумы и жидкие, а также битумные дорожные эмульсии в соответствии с действующими нормативными документами 
","Приказ Минстроя России от 17.11.2022 N 969/пр
ГОСТ 30491-2012 ",,,59.1.02.01,,,,KSI170000201
,,,,AHC020,Смесь цементно-грунтовые,"Искусственный материал, получаемый преимущественно смешением непосредственно на дороге (с использованием фрез) грунта с цементом или другим неорганическим вяжущим и водой и отвечающий в проектные и промежуточные сроки нормируемым показателям качества по прочности и морозостойкости.
","Приказ Минстроя России от 17.11.2022 N 969/пр
ГОСТ 23558-94 
",,,59.1.02.01,,,,KSI170000202
,,AHD,,,Торф,"Органический грунт болотного, озерного или аллювиально-болотного генезиса, содержащий в своем составе по массе 50% и более органического вещества, представленного преимущественно растительными остатками.","ГОСТ 25100-2020 
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,16.2.01.03,,,,KSI170000203
B,,,,,Органические материалы и соединения,,,По виду материала,,,,,,KSI170000204
,BA,,,,Древесина и материалы на основе древесины,Лигноцеллюлозное вещество между сердцевиной и корой дерева или кустарника и материалы на его основе,ГОСТ Р ИСО 6707-1-2020,По виду материала,,,,,,KSI170000205
,,BAA,,,Древесина твердых пород,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,По виду материала,,,СТ 10 01,,,KSI170000206
,,,,BAA010,Бук,,"СП 64.13330.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 01 15,,,KSI170000207
,,,,BAA020,Вишня,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,СТ 10 01 20,,,KSI170000208
,,,,BAA030,Дуб,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,СТ 10 01 25,,,KSI170000209
,,,,BAA040,Клен,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,СТ 10 01 40,,,KSI170000210
,,,,BAA050,Мербау,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,СТ 10 01 50,,,KSI170000211
,,,,BAA060,Орех,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,,СТ 10 01 55,,,KSI170000212
,,,,BAA070,Ясень,,"СП 64.13330.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 01 65,,,KSI170000213
,,,,BAA080,Граб,,СП 64.13330.2017,,,,,,,KSI170000214
,,,,BAA090,Акация,,СП 64.13330.2017,,,,,,,KSI170000215
,,,,BAA100,Вяз,,СП 64.13330.2017,,,,,,,KSI170000216
,,,,BAA110,Береза,,"СП 64.13330.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 01 10,,,KSI170000217
,,,,BAA120,Лиственница,,"СП 64.13330.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 01 45,,,KSI170000218
,,BAB,,,Древесина мягких пород,,,По виду материала,,,,,,KSI170000219
,,,,BAB020,Липа,,СП 64.13330.2017,,,,,,,KSI170000220
,,,,BAB030,Осина,,СП 64.13330.2017,,,,,,,KSI170000221
,,,,BAB040,Ольха,,СП 64.13330.2017,,,,,,,KSI170000222
,,,,BAB050,Ель,,"СП 64.13330.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 01 30,,,KSI170000223
,,,,BAB060,Кедр,,"СП 64.13330.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 01 35,,,KSI170000224
,,,,BAB080,Пихта,,СП 64.13330.2017,,,,,,,KSI170000225
,,,,BAB090,Сосна,,"СП 64.13330.2017
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 01 60,,,KSI170000226
,,BAC,,,Шпон,"Тонкий лист древесины заданной толщины, полученный при лущении","ГОСТ 33124-2021
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,11.2.11.07,,,,KSI170000227
,,,,BAC010,Лущёный шпон,"Шпон заданной толщины, полученный при лущении фанерного чурака",ГОСТ 15812-87,,,,,,,KSI170000228
,,,,BAC020,Строганый шпон,"Шпон, полученный при строгании бруса или ванчеса",ГОСТ 15812-87,,,,,,,KSI170000229
,,,,BAC030,Пилёный шпон,,,,,,,,,KSI170000230
,,BAD,,,Целлюлозная вата (эковата),,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,По виду материала,,,СТ 10 14 10 01,,,KSI170000231
,,BAE,,,Бумага и картон,,"ГОСТ 19088-89
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,"01.7.02
",,,,KSI170000232
,,,,BAE010,Бумага мешочная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.02.01,,,,KSI170000233
,,,,BAE020,Бумага оберточная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.02.02,,,,KSI170000234
,,,,BAE030,Бумага упаковочная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.02.03,,,,KSI170000235
,,,,BAE040,Бумага электроизоляционная,,"ГОСТ 24874-91
Приказ Минстроя России от 17.11.2022 N 969/пр",,,01.7.02.04,,,,KSI170000236
,,,,BAE050,Гетинакс,,"ГОСТ 2718-74
Приказ Минстроя России от 17.11.2022 N 969/пр",,,01.7.02.05,,,,KSI170000237
,,,,BAE060,Картон строительный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.02.06,,,,KSI170000238
,,,,BAE070,Картон электроизоляционный,,"ГОСТ 2824-86
Приказ Минстроя России от 17.11.2022 N 969/пр",,,01.7.02.07,,,,KSI170000239
,,,,BAE080,Шпагат бумажный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.02.09,,,,KSI170000240
,,BAF,,,Кора древесная,,ГОСТ 17462-84,По виду материала,,,,,,KSI170000241
,,,BAFA,,Пробка,,ГОСТ ISO 633-2021,,,,,,,KSI170000242
,,,,BAFA010,Техническая пробка,,,,,,,,,KSI170000243
,,,,BAFA020,Пробковый агломерат,,,,,,,,,KSI170000244
,,BAG,,,Уголь древесный,,"ГОСТ 7657-84
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,01.7.07.21,,,,KSI170000245
,,BAH,,,Древесина измельченная,"Древесные частицы различной формы и величины, получаемые в результате механической обработки",ГОСТ 23246-78,По виду материала,,"1.7.07.29
9.1.16.02",,,,KSI170000246
,,,,BAH010,Щепа,"Измельченная древесина установленных размеров, получаемая в результате измельчения древесного сырья рубильными машинами и специальными устройствами, используемая в качестве технологического сырья или топлива ",ГОСТ 17462-84,,,,,,,KSI170000247
,,,,BAH020,Дробленка,"Древесные частицы, полученные при измельчении древесины на дробилках и молотковых мельницах",ГОСТ 23246-78,,,,,,,KSI170000248
,,,,BAH030,Древесная стружка,"Тонкие древесные частицы, образующиеся при резании древесины",ГОСТ 23246-78,,,,,,,KSI170000249
,,,,BAH040,Древесные опилки,"Мелкие частицы древесины, образующиеся в процессе пиления","ГОСТ 23246-78
Приказ Минстроя России от 17.11.2022 N 969/пр",,,1.7.07.29,,,,KSI170000250
,,,,BAH050,Древесная мука,"Древесные частицы заданного гранулометрического состава, полученные путем сухого механического размола древесины",ГОСТ 23246-78,,,,,,,KSI170000251
,,,,BAH060,Древесная пыль,Несортированные древесные частицы размером менее 1 мм,ГОСТ 23246-78,,,,,,,KSI170000252
,BB,,,,Битумы и битумные вяжущие,,,По виду материала,,"01.02.01
01.2.03.01
59.1.01.02",,,,KSI170000253
,,BBA,,,Битум нефтяной строительный,"Битум, применяемый для строительных работ в различных отраслях народного хозяйства,  получаемый окислением остаточных продуктов прямой перегонки нефти и их смесей с асфальтами и экстрактами масляного производства","ГОСТ 6617-2021
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,"01.2.01.02
59.1.01.02","СТ 10 03 20
СТ 10 03 50",Определение синтезировано,,KSI170000254
,,,,BBA010,Битум нефтяной строительный модифицированный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"01.2.01.02
59.1.01.02",,,,KSI170000255
,,,,BBA020,Битум нефтяной высокоплавкий,,"ГОСТ 781-78
Приказ Минстроя России от 17.11.2022 N 969/пр",,,59.1.01.02,,,,KSI170000256
,,,,BBA030,Битум нефтяной хрупкий,,"ГОСТ 21822-87
Приказ Минстроя России от 17.11.2022 N 969/пр",,,59.1.01.02,,,,KSI170000257
,,BBB,,,Битум нефтяной дорожный,,Приказ Минстроя России от 17.11.2022 N 969/пр,По виду материала,,"01.2.01.01
59.1.01.02",,,,KSI170000258
,,,,BBB010,Битум нефтяной дорожный жидкий,,"ГОСТ 11955-82
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"01.2.01.01
59.1.01.02",СТ 10 03 30,,,KSI170000259
,,,,BBB020,Битум нефтяной дорожный вязкий,"Вяжущий материал, который изготовляют окислением продуктов прямой перегонки нефти и селективного разделения нефтепродуктов (асфальтов деасфальтизации, экстрактов селективной очистки), а также компаундированием указанных окисленных и неокисленных продуктов или в виде остатка прямой перегонки нефти, применяемый при строительстве и ремонте дорожных и аэродромных покрытий","ГОСТ 33133-2014
ГОСТ 22245-90
ГОСТ Р 58400.1-2019
ГОСТ Р 58400.2-2019
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
",,,"01.2.01.01
59.1.01.02",СТ 10 03 40,,,KSI170000260
,,,,BBB030,Битум нефтяной дорожный модифицированный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI170000261
,,,,BBB040,Битум нефтяной дорожный улучшенный,"Продукт, получаемый путем окисления прямогонных остатков тяжелых смолистых малопарафинистых нефтей типа ярегской","ТУ 38.1011356-91
СТО Автодор 2.1-2011
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"01.2.01.01
59.1.01.02",,,,KSI170000262
,,,,BBB050,Битум нефтяной дорожный неокисленный,,"ТУ 0256-097-00151807-97
Приказ Минстроя России от 17.11.2022 N 969/пр",,,01.2.01.01,,,,KSI170000263
,,BBC,,,Вяжущее битумное,"Органический вяжущий материал, производимый из продуктов переработки нефти с добавлением при необходимости органических модифицирующих добавок","ГОСТ Р 58400.1-2019
ГОСТ Р 58400.2-2019 ",По виду материала,,"01.2.03.01
59.1.01.02",,,,KSI170000264
,,,,BBC010,Вяжущее полимерно-битумное,"Вяжущее на основе вязких дорожных битумов, полученное введением полимеров - блоксополимеров типа стирол-бутадиен-стирол, пластификаторов и поверхностно-активных веществ (ПАВ)","СТО 94108962-001-2016
ГОСТ Р 52056-2003
ГОСТ 9128-2013
Приказ Минстроя России от 17.11.2022 N 969/пр",,,01.2.03.01,,,,KSI170000265
,,BBD,,,Гудрон (полугудрон),,"ГОСТ 32264-2013
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,01.2.03.08,,,,KSI170000266
,BC,,,,Смолы и латекс природные,,,По виду материала,,,,,,KSI170000267
,,BCA,,,Природный каучук,,ГОСТ ISO 1629-2019,По виду материала,,14.2.06.04,,,,KSI170000268
,,,,BCA010,Полуэбонит,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI170000269
,,,,BCA020,Эбонит,,"ГОСТ 21341-2014
Приказ Минстроя России от 17.11.2022 N 969/пр",,,01.7.19.12,,,,KSI170000270
,,BCB,,,Канифоль,,"ГОСТ 19113-84
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,01.3.05.17,,,,KSI170000271
,,BCC,,,Деготь древесный,,"СТО 70238424.27.100.003-2008
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,,,,,KSI170000272
,,,,BCC010,Деготь каменноугольный дорожный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI170000273
,,BCD,,,Природный асфальт,,,По виду материала,,,,,,KSI170000274
,,BCE,,,Озокерит (горный воск),,,По виду материала,,,,,,KSI170000275
,,BCF,,,Пек,,ГОСТ 32264-2013,По виду материала,,,,,,KSI170000276
,BD,,,,Олифа натуральная,"Вырабатывается из льняного или конопляного масел с добавлением сиккативов (ускорителей высыхания) и  предназначена для изготовления и разведения густотертых красок, а также в качестве самостоятельного материала для малярных работ","ГОСТ 7931-76
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,14.5.05.02,,,,KSI170000277
,,,,BD010,Олифа льняная,"Натуральная олифа, для изготовления которой применяют масло льняное по ГОСТ 5791-81 и другой нормативно-технической документации или импортное с содержанием фосфорсодержащих веществ не более 0,026% в пересчете на РО",ГОСТ 7931-76,,,,,,,KSI170000278
,,,,BD020,Олифа конопляная,"Натуральная олифа, для изготовления которой применяют масло конопляное по ГОСТ 8989-73 с содержанием фосфорсодержащих веществ не более 0,026% в пересчете на РО",ГОСТ 7931-76,,,,,,,KSI170000279
,BE,,,,Органические соединения,,,По виду материала,,,,,,KSI170000280
,,,,BE010,Ангидрид,"Технический фталевый ангидрид, представляющий собой ангидрид бензол-1,2-дикарбоновой кислоты","ГОСТ 24445.1-80
Приказ Минстроя России от 17.11.2022 N 969/пр",,,01.3.05.04,,,,KSI170000281
,,,,BE020,Глицерин,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.3.05.09,,,,KSI170000282
,,,,BE030,Фенол,,"ГОСТ 11235-2017
Приказ Минстроя России от 17.11.2022 N 969/пр",,,59.1.01.03,,,,KSI170000283
,,,,BE040,Церезин,"Смесь твердых углеводородов, получаемых кислотно-контактной очисткой нефтяного неочищенного церезина. Предназначен для получения смазок, восковых сплавов, изоляционных материалов и других целей","ГОСТ 2488-79
Приказ Минстроя России от 17.11.2022 N 969/пр",,,01.7.07.25,,,,KSI170000284
,BF,,,,Материалы растительного происхождения,,,По виду материала,,,,,,KSI170000285
,,BFA,,,Газон готовый рулонный,"Тонкий слой дернины, образованной переплетением корней и подземных побегов некоторых видов многолетних злаковых трав, получаемой путем срезания специальным комбайном верхнего слоя 2-3 летнего газона из мятлика лугового, овсяницы красной, райграса пастбищного в виде ковриков","ОДМ 218.2.064-2015
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,"16.2.03.01
",,,,KSI170000286
,,BFB,,,Дерн,,Приказ Минстроя России от 17.11.2022 N 969/пр,По виду материала,,16.2.03.02,,,,KSI170000287
,,BFC,,,Мох,,Приказ Минстроя России от 17.11.2022 N 969/пр,По виду материала,,16.2.03.02,,,,KSI170000288
,,BFE,,,Пакля,,Приказ Минстроя России от 17.11.2022 N 969/пр,По виду материала,,01.7.07.29,,,,KSI170000289
,,BFF,,,Джут,"Род кустарников, полукустарников и трав семейства мальвовые, прядильная культура",СТО 79407897-002-2010,По виду материала,,,,,,KSI170000290
,,BFG,,,Солома,,,По виду материала,,16.2.03.02,,,,KSI170000291
,,,,BFG010,Солома песчаного овса,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,16.2.03.02,,,,KSI170000292
,,,,BFG020,Солома прессованная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,16.2.03.02,,,,KSI170000293
,,,,BFG030,Солома рассыпная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,16.2.03.02,,,,KSI170000294
,BG,,,,Материалы посадочные,,Приказ Минстроя России от 17.11.2022 N 969/пр,По виду материала,,16.2.02,,,,KSI170000295
,,BGA,,,Семена,,,По виду материала,,16.2.02.07,,,,KSI170000296
,,,BGAA,,Семена трав,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,16.2.02.07,,,,KSI170000297
,,,BGAB,,Семена цветов,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,16.2.02.06,,,,KSI170000298
,,,BGAC,,Семена хвойных пород,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,16.2.02.08,,,,KSI170000299
,,,BGAD,,Семена лиственных пород,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,16.2.02.10,,,,KSI170000300
,,BGB,,,Саженцы,,,По виду материала,,16.2.02.02,,,,KSI170000301
,,,BGBA,,Рассада цветов однолетних,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"16.2.02.04
16.2.02.07",,,,KSI170000302
,,,BGBB,,Саженцы многолетних цветов,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,16.2.02.04,,,,KSI170000303
,,,BGBC,,Саженцы кустарников,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"16.2.02.02
16.2.02.05",,,,KSI170000304
,,,BGBD,,Саженцы деревьев,,,,,"16.2.02.02
16.2.02.03
16.2.02.10",,,,KSI170000305
,,,BGBE,,Саженцы крупномерных деревьев,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"16.2.02.03
16.2.02.02
",,,,KSI170000306
C,,,,,Материалы на основе вяжущих веществ,,ГОСТ 4.204-79,По виду материала,,,,,,KSI170000307
,CA,,,,Смеси строительные,,"ГОСТ 31357-2007
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,"04.3.02
",,,,KSI170000308
,,CAA,,,Смесь сухая строительная на цементных вяжущих,"Сухая строительная смесь, изготавливаемая на цементном вяжущем на основе портландцементного клинкера или на смешанных (сложных) вяжущих на его основе, на глиноземистом цементе, содержащая полимерные добавки не более 5% массы смеси, применяемая при строительстве, реконструкции и ремонте зданий и сооружений
","ГОСТ 31357-2007
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,"59.1.04.03
04.3.02.09
04.3.02.10
04.3.02.11
04.3.02.12
04.3.02.13
04.3.02.14
",,,,KSI170000309
,,,,CAA020,Смесь сухая строительная клеевая на цементном вяжущем,"Сухая строительная смесь, изготавливаемая в заводских условиях на цементном вяжущем или смешанных (сложных) минеральных вяжущих на основе портландцементного клинкера и/или высокоалюминатного цемента, содержащая модифицирующие добавки и применяемая для устройства плиточных облицовок при строительстве, ремонте и реконструкции зданий и сооружений","ГОСТ Р 56387-2018
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"04.3.02.09
04.3.02.18
59.1.04.03",,,,KSI170000310
,,,,CAA030,Смесь сухая строительная на цементном вяжущем для штукатурных работ,"Сухая строительная смесь, изготовляемая на цементном вяжущем или смешанных минеральных вяжущих на основе портландцементного клинкера, содержащая полимерные добавки в количестве, не превышающем 5,0% массы смеси, предназначенная для устройства отделочного слоя из строительного раствора, наносимого на поверхность зданий и сооружений для ее выравнивания, подготовки к дальнейшей отделке, а также для защиты от атмосферных воздействий или придания декоративных свойств.
Штукатурная смесь применяется при строительстве, реконструкции и ремонте зданий и сооружений при проведении наружных и внутренних работ.
","ГОСТ 33083-2014
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"04.3.02.09
04.3.02.13
04.3.02.12
59.1.04.03",,,,KSI170000311
,,,,CAA040,Смесь сухая строительная шпатлевочная на цементном вяжущем,"Смеси заводского изготовления (далее - шпатлевочные смеси), изготовляемые на основе цементного вяжущего или смешанных минеральных вяжущих на основе портландцементного клинкера, содержащие полимерные добавки в количестве, не превышающем 5% массы сухой смеси, и предназначенные для выравнивания каменных, кирпичных, цементных и других поверхностей, а также для защиты от атмосферных воздействий или придания декоративных свойств поверхностям при строительстве, ремонте и реконструкции зданий и сооружений при проведении наружных и внутренних работ. Шпатлевочные смеси допускается применять также в качестве основания под последующее нанесение на него декоративных покрытий (красок и т.п.).
","
ГОСТ 33699-2015
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"04.3.02.09
59.1.04.03",,,,KSI170000312
,,,,CAA050,Смесь сухая строительная напольная на цементном вяжущем,"смеси, изготавливаемые на основе минеральных или смешанных вяжущих, содержащие продукты переработки органических соединений (полимеры и сополимеры различного химического состава) в размере не более 5% (в сухом состоянии) от массы смеси, предназначенные для устройства полов и применяемые при строительстве, реконструкции и ремонте зданий и сооружений.","ГОСТ 31358-2019
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"04.3.02.01
04.3.02.09
59.1.04.03",,,,KSI170000313
,,,,CAA060,Смесь хризотилцементная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.1.02.07,,,,KSI170000314
,,CAB,,,Смесь сухая строительная на гипсовых вяжущих,"Смеси изготавливаемые на гипсовых вяжущих, смешанных (сложных) минеральных вяжущих на основе гипсового вяжущего, содержащие полимерные добавки не более 5% (в сухом состоянии) от массы смеси, предназначенные для внутренних работ при строительстве, реконструкции и ремонте зданий и сооружений.
","ГОСТ Р 58276-2018
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,"04.3.02.05
59.1.04.03",,,,KSI170000315
,,,,CAB020,Смесь сухая строительная клеевая на гипсовом вяжущем,"Смеси заводского изготовления (далее - клеевые смеси), изготавливаемые на гипсовых вяжущих, смешанных (сложных) минеральных вяжущих на основе гипсового вяжущего, содержащие полимерные добавки в размере не более 5% (в сухом состоянии) от массы смеси, предназначенные для монтажа гипсокартонных листов, гипсовых плит и блоков, элементов архитектурного декора на основе гипсового вяжущего при проведении внутренних работ при строительстве, ремонте и реконструкции зданий и сооружений.
","ГОСТ Р 58275-2018. 
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"04.3.02.05
59.1.04.03",,,,KSI170000316
,,,,CAB030,Смесь сухая строительная шпатлевочная на гипсовом вяжущем,"Cмеси заводского изготовления (далее - шпатлевочные смеси), изготавливаемые на гипсовых вяжущих, смешанных (сложных) минеральных вяжущих на основе гипсового вяжущего, содержащие полимерные добавки в количестве не более 5% (в сухом состоянии) от массы смеси, предназначенные для выравнивания каменных, кирпичных, гипсовых и других поверхностей при проведении внутренних работ при строительстве, ремонте и реконструкции зданий и сооружений.
","ГОСТ Р 58278-2018
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"04.3.02.05
59.1.04.03
",,,,KSI170000317
,,,,CAB040,Смесь сухая строительная штукатурная на гипсовом вяжущем,"Cмеси заводского изготовления (далее - штукатурные смеси), содержащие полимерные добавки не более 5% (в сухом состоянии) от массы смеси, изготавливаемые на гипсовых вяжущих, смешанных (сложных) минеральных вяжущих на основе гипсового вяжущего, предназначенные для внутренних работ, выравнивания и оштукатуривания бетонных, каменных, кирпичных, гипсовых и других поверхностей при проведении внутренних работ при строительстве, ремонте и реконструкции зданий и сооружений.
","ГОСТ Р 58279-2018
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"04.3.02.05
59.1.04.03",,,,KSI170000318
,,CAC,,,Смеси сухие строительные на известковых вяжущих,,"ГОСТ 31189-2015
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,"04.3.02.12
59.1.04.03",,,,KSI170000319
,,CAD,,,Смеси сухие строительные на магнезиальных вяжущих,,ГОСТ 31189-2015,По виду материала,,,,,,KSI170000320
,,CAE,,,Смеси сухие строительные на полимерных вяжущих,,"ГОСТ 31189-2015
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,"59.1.04.03
04.3.02.06",,,,KSI170000321
,,,,CAE010,Смесь на акриловой основе,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,04.3.02.06,,,,KSI170000322
,,,,CAE020,Пол наливной эпоксидный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI170000323
,,,,CAE030,Пол наливной полиуретановый,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 13 50 28,,,KSI170000324
,,CAF,,,Смеси сухие строительные на смешанных вяжущих,,ГОСТ 31189-2015,По виду материала,,,,,,KSI170000325
,,,,CAF010,Смесь цементно-известково-песчаная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"04.3.02.12
59.1.04.03",,,,KSI170000326
,,,,CAF020,Смесь цементно-песчаная,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"04.3.02.13
59.1.04.03",СТ 10 13 50 40,,,KSI170000327
,,,,CAF030,Смесь пескобетонная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"04.3.02.11
59.1.04.03",,,,KSI170000328
,,CAG,,,Асфальтобетонные смеси,,"ГОСТ Р 58406.1-2020
ГОСТ Р 58406.2-2020
ГОСТ Р 58401.1-2019
ГОСТ Р 58401.2-2019
ГОСТ 9128-2013
Приказ Минстроя России от 17.11.2022 N 969/пр",По виду материала,,"04.2
59.1.04.02",,,,KSI170000329
,,,CAGA,,Смесь асфальтобетонная щебеночно-мастичная,"Рационально подобранная смесь, состоящая из минеральной части (щебня, дробленого песка и минерального порошка), битумного вяжущего и стабилизирующих или иных добавок, способных удерживать битумное вяжущее при технологических температурах, взятых в определенных соотношениях и перемешанных в нагретом состоянии","ГОСТ Р 58406.1-2020
ГОСТ Р 58401.2-2019
ГОСТ 31015-2002
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"04.2.03.01
59.1.04.02",,,,KSI170000330
,,,CAGB,,Смесь асфальтобетонная,"Рационально подобранная смесь, состоящая из минеральной части (щебня, песка и минерального порошка или без него) и битумного вяжущего (с модификаторами или без них), взятых в определенных соотношениях и перемешанных в нагретом состоянии","ГОСТ Р 58401.1-2019
ГОСТ Р 58406.2-2020
ГОСТ 9128-2013",,,"04.2
59.1.04.02",,,,KSI170000331
,,,,CAGB010,Смесь асфальтобетонная горячая высокоплотная,"Асфальтобетонная смесь, приготовляемая с использованием вязких и жидких нефтяных дорожных битумов и укладываемая с температурой не менее 110°С, с остаточной пористостью от  1,0% до 2,5%","ГОСТ 9128-2013
ГОСТ Р 58401.1-2019
ГОСТ Р 58406.2-2020 
Приказ Минстроя России от 17.11.2022 N 969/пр",,,,,,,KSI170000332
,,,,CAGB020,Смесь асфальтобетонная горячая плотная,"Асфальтобетонная смесь, приготовляемая с использованием вязких и жидких нефтяных дорожных битумов и укладываемая с температурой не менее 110°С,  с остаточной пористостью свыше 2,5% и до 5,0%","ГОСТ 9128-2013
ГОСТ Р 58401.1-2019
ГОСТ Р 58406.2-2020 
Приказ Минстроя России от 17.11.2022 N 969/пр",,,04.2.01.01,,,,KSI170000333
