Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания,Синонимы,УИН
,,ECR,,,Проведение санитарно-бактериологического исследования почвы и грунта,,"СП 11-102-97
СБЦ",,,,,KSI090000213
,,ECS,,,Проведение санитарно-паразитологического исследования почвы и грунта,,"СП 11-102-97
СБЦ",,,,,KSI090000214
,,ECT,,,Проведение медико-биологического исследования,,"СП 11-102-97
СБЦ",,,,,KSI090000215
,,ECU,,,Проведение гидробиологического исследования,,"СП 11-102-97
СБЦ",,,,,KSI090000216
,,ECV,,,Проведение исследования объектов культурного наследия,,"СП 11-102-97
СБЦ",,,,,KSI090000217
,,ECW,,,Проведение эколого-геохимического исследования с применением геофизических методов,,"СП 11-102-97
СБЦ",,,,,KSI090000218
,,ECX,,,Проведение медико-биологического исследования территории,,"СП 11-102-97
СБЦ",,,,,KSI090000219
,,ECY,,,Проведение социально-экономического исследования,,"СП 11-102-97
СБЦ",,,,,KSI090000220
,,ECZ,,,Проведение санитарно-эпидемиологического исследования,,"СП 11-102-97
СБЦ",,,,,KSI090000221
,ED,,,,Проведение инженерно-геологических исследований,,"СП 11-105-97
СБЦ",По виду работ,,,,KSI090000222
,,EDA,,,Проведение гидрогеологических исследований,,"СП 11-105-97
СБЦ",,,,,KSI090000223
,,EDB,,,Проведение исследования грунтов,,"СП 11-105-97
СБЦ",,,,,KSI090000224
,,EDC,,,Проведение геофизических исследований,,"СП 11-105-97
СБЦ",,,,,KSI090000225
,EE,,,,Проведение гидрометеорологических исследований,,"СП 11-103-97
СБЦ",По виду работ,,,,KSI090000226
,,EEA,,,Прогноз плановых деформаций водных объектов,,"СП 11-103-97
СБЦ",,,,,KSI090000227
,,EEB,,,Прогноз глубинных деформаций водных объектов,,"СП 11-103-97
СБЦ",,,,,KSI090000228
,,EEC,,,Проведение статистических расчётов ,,"СП 11-103-97
СБЦ",,,Для определения расходов уровней водотоков с применением специализированных компьютерных программ,,KSI090000229
,,EED,,,Изучение опасных гидрометеорологических процессов,,"СП 11-103-97
СБЦ",,,,,KSI090000230
,,EEE,,,Изучение опасных гидрометеорологических явлений,,"СП 11-103-97
СБЦ",,,,,KSI090000231
,,EEF,,,Проведение исследования микроклиматических условий,,"СП 11-103-97
СБЦ",,,,,KSI090000232
,,EEG,,,Проведение исследования условий рассеивания вредных веществ,,"СП 11-103-97
СБЦ",,,,,KSI090000233
,,EEH,,,Проведение исследования загрязнения атмосферного воздуха,,"СП 11-103-97
СБЦ",,,,,KSI090000234
,,EEJ,,,Проведение исследования особенностей гидравлического режима,,"СП 11-103-97
СБЦ",,,,,KSI090000235
,,EEK,,,Проведение исследования динамики прибрежной зоны морей,,"СП 11-103-97
СБЦ",,,,,KSI090000236
,,EEL,,,Проведение исследования водного баланса,,"СП 11-103-97
СБЦ",,,,,KSI090000237
,,EEM,,,Проведение исследования условий формирования стока на эталонных бассейнах и участках рек,,"СП 11-103-97
СБЦ",,,,,KSI090000238
,,EEN,,,Проведение исследования гидрофизических условий водных объектов,,"СП 11-103-97
СБЦ",,,,,KSI090000239
,,EEP,,,Проведение исследования ледотермических условий водных объектов,,"СП 11-103-97
СБЦ",,,,,KSI090000240
,,EEQ,,,Проведение исследования особенностей гидробиологического режима водных объектов,,"СП 11-103-97
СБЦ",,,,,KSI090000241
,,EER,,,Проведение исследования особенностей гидрохимического режима водных объектов,,"СП 11-103-97
СБЦ",,,,,KSI090000242
,,EES,,,Проведение исследования водно-эрозионных процессов,,"СП 11-103-97
СБЦ",,,,,KSI090000243
F,,,,,Проведение обследований,,СП 47.13330.2016,По виду работ,,,,KSI090000244
,FA,,,,Подготовка к проведению обследования,,СП 47.13330.2016,,,,,KSI090000245
,FB,,,,Предварительное (визуальное) обследование,,СП 47.13330.2016,,,,,KSI090000246
,FC,,,,Проведение инженерно-геологического обследования,,"Постановление Правительства РФ от 19.01.2006 N 20
СП 47.13330.2016
СП 446.1325800.2019",По виду работ,,,,KSI090000247
,,FCA,,,Обследование грунтов оснований фундаментов существующих зданий и сооружений,,СП 446.1325800.2019,,,,,KSI090000248
,FD,,,,Проведение геотехнического обследования,,"Постановление Правительства РФ от 19.01.2006 N 20
СП 47.13330.2016",По виду работ,,,,KSI090000249
,,FDA,,,Обследование состояния грунтов основания зданий и сооружений,,"Постановление Правительства РФ от 19.01.2006 N 20
СП 47.13330.2016",,,,,KSI090000250
,,FDB,,,Обследование состояния строительных конструкций,,"Постановление Правительства РФ от 19.01.2006 N 20
СП 47.13330.2016",,,,,KSI090000251
,,FDC,,,Обследование грунтов основания при реконструкции зданий,,Постановление Правительства РФ от 19.01.2006 N 20,,,,,KSI090000252
,FE,,,,Проведение гидрогеологического обследования,,СП 11-108-98,По виду работ,,,,KSI090000253
,,FEA,,,Уточнение собранных материалов о гидрогеологических условиях района (участка),,СП 11-108-98,,,,,KSI090000254
,,FEB,,,Оценка собранных материалов о гидрогеологических условиях района (участка),,СП 11-108-98,,,,,KSI090000255
,,FEC,,,Дополнительный сбор гидрогеологической информации,,СП 11-108-98,,,"В случае недостаточной изученности территории, для составления программы (предписания) изысканий и проведения изыскательских работ",,KSI090000256
,,FED,,,Обследование территории (участка) для обоснования зоны санитарной охраны,,СП 11-108-98,По виду работ,,,,KSI090000257
,,,FEDA,,Установление санитарного состояния территории,,СП 11-108-98,,,,,KSI090000258
,FF,,,,Локальное обследование загрязнения грунтов,,Постановление Правительства РФ от 19.01.2006 N 20,,,,,KSI090000259
,FG,,,,Локальное обследование загрязнения грунтовых вод,,Постановление Правительства РФ от 19.01.2006 N 20,,,,,KSI090000260
,FH,,,,Обследование технического состояния зданий (сооружений),,ГОСТ 31937-2024,По способу производства работ,,,,KSI090000261
,,FHA,,,Подготовка к проведению обследования технического состояния зданий (сооружений),,ГОСТ 31937-2024,По полученным результатам,,,,KSI090000262
,,,FHAA,,Получение согласованного заказчиком технического задания на обследование,,ГОСТ 31937-2024,,,,,KSI090000263
,,,FHAB,,Получение инвентаризационных поэтажных планов здания (сооружения),,ГОСТ 31937-2024,,,,,KSI090000264
,,,FHAC,,Получение технического паспорта на здание (сооружение),,ГОСТ 31937-2024,,,,,KSI090000265
,,,FHAD,,"Получение актов осмотров здания или сооружения, выполненных персоналом эксплуатирующей организации",,ГОСТ 31937-2024,,,,,KSI090000266
,,,FHAE,,"Получение ведомостей дефектов здания или сооружения, выполненных персоналом эксплуатирующей организации",,ГОСТ 31937-2024,,,,,KSI090000267
,,,FHAF,,Получение актов ранее проводившихся обследований здания (сооружения),,ГОСТ 31937-2024,,,,,KSI090000268
,,,FHAG,,Получение отчетов ранее проводившихся обследований здания (сооружения),,ГОСТ 31937-2024,,,,,KSI090000269
,,,FHAH,,Получение проектной документации на здание (сооружение),,ГОСТ 31937-2024,,,,,KSI090000270
,,,FHAJ,,Получение информации обо всех ранее проводившихся конструктивных изменениях здания (сооружения),,ГОСТ 31937-2024,,,,,KSI090000271
,,,FHAK,,Получение информации о капитальном ремонте,,ГОСТ 31937-2024,,,,,KSI090000272
,,,FHAL,,Получение информации о реконструкциях,,ГОСТ 31937-2024,,,,,KSI090000273
,,,FHAM,,"Получение геоподосновы, выполненной специализированной организацией",,ГОСТ 31937-2024,,,,,KSI090000274
,,,FHAN,,Получение материалов инженерно-геологических изысканий за последние пять лет,,ГОСТ 31937-2024,,,,,KSI090000275
,,,FHAS,,Получение информации о местах расположения вблизи здания (сооружения) опасных геологических явлений,,ГОСТ 31937-2024,По полученным результатам,,,,KSI090000276
,,,,FHAS010,Получение информации о местах расположения вблизи здания (сооружения) засыпанных оврагов ,,ГОСТ 31937-2024,,,,,KSI090000277
,,,,FHAS020,Получение информации о местах расположения вблизи здания (сооружения) карстовых провалов,,ГОСТ 31937-2024,,,,,KSI090000278
,,,,FHAS030,Получение информации о местах расположения вблизи здания (сооружения) зон оползней,,ГОСТ 31937-2024,,,,,KSI090000279
,,,FHAT,,Получение согласованного с заказчиком протокола о порядке доступа к элементам обследуемого здания (сооружения) ,,ГОСТ 31937-2024,,,,,KSI090000280
,,,FHAU,,Получение согласованного с заказчиком протокола о порядке доступа к обследуемому инженерному оборудованию,,ГОСТ 31937-2024,,,,,KSI090000281
,,,FHAV,,"Получение документации, полученной от компетентных городских органов, о месте подводки инженерных систем",,ГОСТ 31937-2024,,,,,KSI090000282
,,,FHAW,,Составление программы обследования,,ГОСТ 31937-2024,,,,,KSI090000283
,,FHB,,,Предварительное (визуальное) обследование технического состояния зданий (сооружений),,ГОСТ 31937-2024,По виду работ,,,,KSI090000284
,,,FHBA,,Сплошное визуальное обследование конструкций здания,,ГОСТ 31937-2024,,,,,KSI090000285
,,,FHBB,,Сплошное визуальное обследование инженерного оборудования,,ГОСТ 31937-2024,,,,,KSI090000286
,,,FHBC,,Сплошное визуальное обследование электрических сетей,,ГОСТ 31937-2024,,,,,KSI090000287
,,,FHBD,,Сплошное визуальное обследование средств связи,,ГОСТ 31937-2024,,,,,KSI090000288
,,,FHBE,,Выявление дефектов по внешним признакам с необходимыми измерениями,,ГОСТ 31937-2024,,,,,KSI090000289
,,,FHBF,,Выявление повреждений по внешним признакам с необходимыми измерениями,,ГОСТ 31937-2024,,,,,KSI090000290
,,,FHBG,,Фиксация дефектов по внешним признакам,,ГОСТ 31937-2024,,,,,KSI090000291
,,,FHBH,,Фиксация повреждений по внешним признакам,,ГОСТ 31937-2024,,,,,KSI090000292
,,FHC,,,Детальное (инструментальное) обследование технического состояния здания (сооружения),,ГОСТ 31937-2024,По виду работ,,,,KSI090000293
,,,FHCA,,Измерение необходимых для выполнения целей обследования геометрических параметров зданий (сооружений),,ГОСТ 31937-2024,По виду работ,,,,KSI090000294
,,,,FHCA010,Измерение необходимых для выполнения целей обследования геометрических параметров конструкций,,ГОСТ 31937-2024,,,,,KSI090000295
,,,,FHCA020,Измерение необходимых для выполнения целей обследования геометрических параметров оборудования,,ГОСТ 31937-2024,,,,,KSI090000296
,,,FHCB,,Инструментальное определение параметров дефектов зданий (сооружений),,ГОСТ 31937-2024,,,,,KSI090000297
,,,FHCC,,Инструментальное определение параметров повреждений зданий (сооружений),,ГОСТ 31937-2024,,,,,KSI090000298
,,,FHCD,,Инструментальное определение динамических параметров зданий (сооружений),,ГОСТ 31937-2024,,,,,KSI090000299
,,,FHCE,,Определение фактических характеристик материалов основных несущих конструкций и их элементов,,ГОСТ 31937-2024,,,,,KSI090000300
,,,FHCF,,"Измерение параметров эксплуатационной среды, присущей технологическому процессу в здании и сооружении",,ГОСТ 31937-2024,,,,,KSI090000301
,,,FHCG,,"Определение реальных эксплуатационных нагрузок и воздействий, воспринимаемых обследуемыми конструкциями с учетом влияния деформаций грунтов основания",,ГОСТ 31937-2024,,,,,KSI090000302
,,,FHCH,,Определение реальной расчетной схемы здания или сооружения,,ГОСТ 31937-2024,,,,,KSI090000303
,,,FHCJ,,Определение реальной расчетной схемы отдельных конструкций здания или сооружения,,ГОСТ 31937-2024,,,,,KSI090000304
,,,FHCK,,"Определение расчетных усилий в несущих конструкциях, воспринимающих эксплуатационные нагрузки",,ГОСТ 31937-2024,,,,,KSI090000305
,,,FHCL,,Поверочный расчет несущей способности конструкций по результатам обследования,,ГОСТ 31937-2024,,,,,KSI090000306
,,,FHCM,,Анализ причин появления дефектов в конструкциях,,ГОСТ 31937-2024,,,,,KSI090000307
,,,FHCN,,Анализ причин появления повреждений в конструкциях,,ГОСТ 31937-2024,,,,,KSI090000308
,,,FHCP,,Составление итогового документа (заключения) с выводами по результатам обследования,,ГОСТ 31937-2024,,,,,KSI090000309
,,,FHCQ,,Обследование технического состояния инженерного оборудования при обследовании технического состояния зданий (сооружений),,ГОСТ 31937-2024,По виду работ,,,,KSI090000310
,,,,FHCQ010,Обследование технического состояния систем горячего водоснабжения,,ГОСТ 31937-2024,,,,,KSI090000311
,,,,FHCQ020,Обследование технического состояния систем отопления,,ГОСТ 31937-2024,,,,,KSI090000312
,,,,FHCQ030,Обследование технического состояния систем холодного водоснабжения,,ГОСТ 31937-2024,,,,,KSI090000313
,,,,FHCQ040,Обследование технического состояния систем канализации,,ГОСТ 31937-2024,,,,,KSI090000314
,,,,FHCQ050,Обследование технического состояния систем вентиляции,,ГОСТ 31937-2024,,,,,KSI090000315
,,,,FHCQ060,Обследование технического состояния систем мусороудаления,,ГОСТ 31937-2024,,,,,KSI090000316
,,,,FHCQ070,Обследование технического состояния систем газоснабжения,,ГОСТ 31937-2024,,,,,KSI090000317
,,,,FHCQ080,Обследование технического состояния водостоков,,ГОСТ 31937-2024,,,,,KSI090000318
,,,FHCR,,Обследование технического состояния электрических сетей и средств связи при обследовании технического состояния зданий (сооружений),,ГОСТ 31937-2024,,,,,KSI090000319
,,,FHCS,,Обследование звукоизоляции ограждающих конструкций при обследовании технического состояния зданий (сооружений),,ГОСТ 31937-2024,,,,,KSI090000320
,,,FHCT,,Измерение шума при обследовании технического состояния зданий (сооружений),,ГОСТ 31937-2024,,,,,KSI090000321
,,,FHCU,,Определение теплотехнических показателей наружных ограждающих конструкций при обследовании технического состояния зданий (сооружений),,ГОСТ 31937-2024,,,,,KSI090000322
,FJ,,,,Проведение инженерно-экологического обследования,,СП 11-102-97,По виду работ,,,,KSI090000323
,,FJA,,,"Установление основных компонентов природной среды, нуждающихся в мониторинге",,СП 11-102-97,,,,,KSI090000324
,,FJB,,,"Определение системы наблюдаемых показателей, измерение фоновых значений",,СП 11-102-97,,,,,KSI090000325
,,FJC,,,Измерение фоновых значений,,СП 11-102-97,,,,,KSI090000326
,,FJD,,,Радиационное обследование участка,,СП 11-102-97,,,,,KSI090000327
G,,,,,Проведение мониторинга,,СП 47.13330.2016,По условию производства работ,,,,KSI090000328
,GA,,,,Проведение экологического мониторинга,,СП 11-102-97,По виду работ,,,,KSI090000329
,,GAA,,,"Проведение стационарных наблюдений при инженерно-экологических изысканиях
(локальный экологический мониторинг или мониторинг природно-технических систем)
",Постоянные (непрерывные или периодические) наблюдения (измерения) за изменениями состояния отдельных факторов (компонентов) территории в заданных пунктах,СП 11-102-97,,,,,KSI090000330
,,GAB,,,Проектирование постоянно действующей системы экологического мониторинга,,СП 11-102-97,,,,,KSI090000331
,,GAC,,,Оборудование и функциональное обеспечение постоянно действующей системы экологического мониторинга,,СП 11-102-97,,,,,KSI090000332
,,GAD,,,Организация взаимодействия действующей системы экологического мониторинга с аналогичными системами других ведомств,,СП 11-102-97,,,,,KSI090000333
,,GAE,,,Проведение стационарных наблюдений с целью определения тенденций изменения показателей состояния среды,,СП 11-102-97,,,,,KSI090000334
,,GAF,,,Отслеживание экологической ситуации,,СП 11-102-97,,,,,KSI090000335
,,GAG,,,Моделирование экологической ситуации,,СП 11-102-97,,,,,KSI090000336
,,GAH,,,Составление краткосрочных прогнозов экологических условий,,СП 11-102-97,,,,,KSI090000337
,,GAJ,,,Составление долгосрочных прогнозов экологических условий,,СП 11-102-97,,,,,KSI090000338
,,GAK,,,Выдача рекомендаций по результатам экологического мониторинга,,СП 11-102-97,,,,,KSI090000339
,,GAL,,,Проведение мониторинга экологических условий конструкций при проведении ремонтно-реставрационных работ,,СП 11-102-97,,,,,KSI090000340
,,GAM,,,Проведение мониторинга экологических условий помещений при проведении ремонтно-реставрационных работ,,СП 11-102-97,,,,,KSI090000341
,GB,,,,Проведение геотехнического мониторинга,"Комплекс работ, основанный на натурных наблюдениях за поведением конструкций вновь возводимого или реконструируемого сооружения, его основания, в
том числе грунтового массива, окружающего (вмещающего) сооружение, и конструкций сооружений
окружающей застройки","СП 22.13330.2016
СП 305.1325800.2017",По виду работ,,,,KSI090000342
,,GBA,,,Проведение геотехнического мониторинга объектов капитального строительства в процессе нового строительства,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000343
,,GBB,,,Проведение геотехнического мониторинга реконструируемых сооружений,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000344
,,GBC,,,"Проведение геотехнического мониторинга массива грунта, окружающего вновь возводимые сооружения",,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000345
,,GBD,,,"Проведение геотехнического мониторинга сооружений окружающей застройки, расположенных в зоне влияния нового строительства",,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000346
,,GBE,,,Систематическая фиксация изменений контролируемых параметров конструкций сооружений и геологической среды,,"СП 22.13330.2016
СП 305.1325800.2017",По виду работ,,,,KSI090000347
,,,,GBE010,Фиксация изменений с помощью геофизических методов,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000348
,,,,GBE020,Фиксация изменений с помощью геодезических методов,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000349
,,,,GBE030,Фиксация изменений с помощью визуально-инструментальных методов,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000350
,,,,GBE040,Фиксация изменений с помощью параметрических методов,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000351
,,,,GBE050,Фиксация изменений с помощью виброметрических методов,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000352
,,GBF,,,Выявление отклонений контролируемых параметров конструкций объекта от заданных проектных значений,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000353
,,GBG,,,"Выявление отклонений контролируемых параметров окружающей застройки от значений, полученных в результате геотехнического прогноза",,"СП 22.13330.2016
СП 305.1325800.2017",По виду работ,,,,KSI090000354
,,,,GBG010,Анализ степени опасности выявленных отклонений контролируемых параметров,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000355
,,,,GBG020,Установление причин возникновения выявленных отклонений контролируемых параметров,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000356
,,,,GBG030,"Разработка мероприятий, предупреждающих выявленные негативные процессы или причины, которыми они обусловлены",,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000357
,,,,GBG040,"Разработка мероприятий, устраняющих выявленные негативные процессы или причины, которыми они обусловлены",,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000358
,,GBH,,,"Проведение геотехнического мониторинга сооружений окружающей застройки, расположенных в зоне влияния  прокладки подземных инженерных коммуникаций",,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000359
,,GBJ,,,Проведение геотехнического мониторинга конструкций ограждения котлована вновь возводимых сооружений,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000360
,,GBK,,,"Проведение геотехнического мониторинга массива грунта, окружающего реконструируемые сооружения",,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000361
,,GBL,,,Определение параметров колебаний конструкций входящих в зону влияния работ,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000362
,,GBM,,,Определение величины осадок и кренов различных частей зданий и сооружений,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000363
,,GBN,,,"Выявление отклонений контролируемых параметров грунтового массива от значений, полученных в результате геотехнического прогноза",,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000364
,,GBP,,,Проведение мониторинга изменений уровня грунтовых вод,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000365
,,GBQ,,,Проведение мониторинга изменений состава грунтовых вод,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000366
,,GBR,,,Контроль уплотнения грунта при земляных работах,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000367
,,GBS,,,Определение прочностных характеристик грунтов на месте залегания,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000368
,,GBT,,,Наблюдение за раскрытием трещин в конструкциях,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000369
,,GBU,,,Проведение геотехнического мониторинга конструкций ограждения котлована реконструируемых сооружений,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000370
,,GBV,,,"Проведение геотехнического мониторинга сооружений окружающей застройки, расположенных в зоне влияния реконструируемых сооружений",,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000371
,,GBW,,,"Проведение геотехнического мониторинга подземных инженерных коммуникаций, расположенных в зоне влияния нового строительства",,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000372
,,GBX,,,"Проведение геотехнического мониторинга подземных инженерных коммуникаций, расположенных в зоне влияния реконструируемых сооружений",,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000373
,,GBY,,,Разработка программы геотехнического мониторинга,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000374
,,GBZ,,,Составление отчетной документации по результатам геотехнического мониторинга ,,"СП 22.13330.2016
СП 305.1325800.2017",,,,,KSI090000375
,GC,,,,Проведение геодезического мониторинга ,,ГОСТ Р 55535-2013,По виду работ,,,,KSI090000376
,,GCB,,,Составление технического задания на организацию и проведение геодезического мониторинга,,ГОСТ Р 55535-2013,,,,,KSI090000377
,,GCC,,,Составление технических условий на организацию и проведение геодезического мониторинга,,ГОСТ Р 55535-2013,,,,,KSI090000378
,,GCD,,,Составление технического проекта производства геодезических работ,,ГОСТ Р 55535-2013,,,,,KSI090000379
,,GCE,,,Геодезический мониторинг прорабатываемых территорий,,ГОСТ Р 55535-2013,По виду работ,,,,KSI090000380
,,,,GCE010,Определение абсолютных и относительных величин деформаций,,ГОСТ Р 55535-2013,,,,,KSI090000381
,,,,GCE020,Сравнение абсолютных и относительных величин деформаций с расчетными и допустимыми значениями,,ГОСТ Р 55535-2013,,,,,KSI090000382
,,,,GCE030,Выявление причин возникновения и степени опасности деформаций для нормальной эксплуатации объектов,,ГОСТ Р 55535-2013,,,,,KSI090000383
,,,,GCE040,Выработка своевременных мер по борьбе с возникающими деформациями или устранение их последствий,,ГОСТ Р 55535-2013,,,,,KSI090000384
,,,,GCE050,"Оценка степени влияния освоения подземного полупространства на среду обитания, безопасность проживания и эксплуатации инженерных инфраструктур",,ГОСТ Р 55535-2013,,,,,KSI090000385
,,,,GCE060,Оценка степени влияния инженерной деятельности на поверхности земли на безопасность и условия эксплуатации подземных сооружений,,ГОСТ Р 55535-2013,,,,,KSI090000386
,,,,GCE070,Оценка степени влияния различных подземных объектов друг на друга при комплексном развитии и освоении подземного пространства,,ГОСТ Р 55535-2013,,,,,KSI090000387
,,,,GCE080,Уточнение методов расчетов,,ГОСТ Р 55535-2013,,,,,KSI090000388
,,,,GCE090,"Установление допустимых и предельных величин деформаций для различных типов зданий, сооружений и коммуникаций",,ГОСТ Р 55535-2013,,,,,KSI090000389
,,,,GCE100,Оценка эффективности принимаемых профилактических и защитных мер,,ГОСТ Р 55535-2013,,,,,KSI090000390
,,,,GCE110,Уточнение закономерностей процессов сдвижения горных пород и зависимость его параметров от основных влияющих факторов,,ГОСТ Р 55535-2013,,,,,KSI090000391
,,GCF,,,Геодезический мониторинг инженерных сооружений,,ГОСТ Р 55535-2013,По виду работ,,,,KSI090000392
,,,,GCF010,"Оценка состояния зданий путем сравнения с допустимыми значениями деформаций, приведенными в проектной документации",,ГОСТ Р 55535-2013,,,,,KSI090000393
,,,,GCF020,Деформационные исследования оснований зданий и прилегающих территорий для оценки степени воздействия окружающей среды на устойчивость опорных конструкций,,ГОСТ Р 55535-2013,,,,,KSI090000394
,,,,GCF030,Непрерывная обработка результатов натурных измерений и интерпретация поступающей информации для оценки безопасности дальнейшей эксплуатации,,ГОСТ Р 55535-2013,,,,,KSI090000395
,,,,GCF040,"Периодический деформационный мониторинг мостов, расположенных в труднодоступных районах",,ГОСТ Р 55535-2013,,,,,KSI090000396
,,,,GCF050,"Деформационный мониторинг памятников архитектуры для оценки негативных явлений, которые можно ликвидировать путем ремонта или реконструкции",,ГОСТ Р 55535-2013,,,,,KSI090000397
,,,,GCF060,Мониторинг деформационных процессов территории охранной зоны памятников архитектуры для диагностики состояния геологической среды,,ГОСТ Р 55535-2013,,,,,KSI090000398
,,GCG,,,Геодезический мониторинг особо опасных производств и сооружений,,ГОСТ Р 55535-2013,По виду работ,,,,KSI090000399
,,,,GCG010,Независимая система контроля деформационных процессов объектов особо опасных производств и сооружений,,ГОСТ Р 55535-2013,,,,,KSI090000400
,,,,GCG020,Выполнение геодезических работ на объектах особо опасных производств и сооружений с помощью автоматизированных информационно-измерительных систем,,ГОСТ Р 55535-2013,,,,,KSI090000401
,,,,GCG030,Выполнение геодезических работ на объектах особо опасных производств и сооружений с помощью  технологий спутникового позиционирования,,ГОСТ Р 55535-2013,,,,,KSI090000402
,,GCH,,,Составление технического отчета о проведении геодезических работ,,ГОСТ Р 55535-2013,,,,,KSI090000403
,,GCJ,,,Составление научно-технического отчета по результатам  геодезического деформационного мониторинга,,ГОСТ Р 55535-2013,,,,,KSI090000404
,GD,,,,Проведение геологического мониторинга,,СП 11-105-97,По виду работ,,,,KSI090000405
,,GDA,,,Проведение стационарных наблюдений (локальный мониторинг компонентов геологической среды),Постоянные (непрерывные или периодические) наблюдения (измерения) за изменениями состояния отдельных факторов (компонентов) территории в заданных пунктах.,СП 11-105-97,По виду работ,,,,KSI090000406
,,,,GDA010,Получение количественных характеристик изменения отдельных компонентов геологической среды во времени,,СП 11-105-97,,,,,KSI090000407
,,,,GDA020,Получение количественных характеристик изменения отдельных компонентов геологической среды в пространстве,,СП 11-105-97,,,,,KSI090000408
,,,,GDA030,Оценка возможных изменений инженерно-геологических условий исследуемой территории,,СП 11-105-97,,,,,KSI090000409
,,,,GDA040,Прогноз возможных изменений инженерно-геологических условий исследуемой территории,,СП 11-105-97,,,,,KSI090000410
,,,,GDA050,Выбор проектных решений на основании результатов геологического мониторинга,,СП 11-105-97,,,,,KSI090000411
,,,,GDA060,Обоснование защитных мероприятий и сооружений на основании результатов геологического мониторинга,,СП 11-105-97,,,,,KSI090000412
,,,,GDA070,Мониторинг состояния сооружений инженерной защиты,,СП 11-105-97,,,,,KSI090000413
,GE,,,,Проведение гидрометеорологического мониторинга,,СП 47.13330.2016,По виду работ,,,,KSI090000414
,,GEA,,,Наблюдения за характеристиками гидрологического режима водных объектов,,СП 47.13330.2016,,,,,KSI090000415
,,GEB,,,Наблюдения за характеристиками климатических условий,,СП 47.13330.2016,,,,,KSI090000416
,,GEC,,,Наблюдения за отдельными метеорологическими характеристиками,,СП 47.13330.2016,,,,,KSI090000417
,,GED,,,Наблюдения за опасными гидрометеорологическими процессами,,СП 47.13330.2016,,,,,KSI090000418
,,GEE,,,Наблюдения за изменениями климатических условий под влиянием техногенных факторов,,СП 47.13330.2016,,,,,KSI090000419
,,GEF,,,Наблюдения за изменениями гидрологических условий под влиянием техногенных факторов,,СП 47.13330.2016,,,,,KSI090000420
,GF,,,,Проведение локального мониторинга компонентов окружающей среды,,"СП 47.13330.2016
Постановление Правительства РФ от 19.01.2006 N 20",По виду работ,,,,KSI090000421
,GG,,,,Проведение мониторинга технического состояния,,ГОСТ 31937-2024,По виду работ,,,,KSI090000422
,,GGA,,,Разработка программы проведения мониторинга технического состояния,,ГОСТ 31937-2024,,,,,KSI090000423
,,GGB,,,Проведение общего мониторинга технического состояния зданий и сооружений,,ГОСТ 31937-2024,По виду работ,,,,KSI090000424
,,,GGBA,,"Выявление объектов, изменение напряженно-деформированного состояния которых требует обследования их технического состояния",,ГОСТ 31937-2024,,,,,KSI090000425
,,,GGBB,,Визуальный осмотр конструкций в целях приблизительной оценки категории технического состояния,,ГОСТ 31937-2024,,,,,KSI090000426
,,,GGBC,,"Устранение возникающих негативных факторов, ведущих к ухудшению технического состояния",,ГОСТ 31937-2024,,,,,KSI090000427
,,,GGBD,,"Выявление объектов, на которых произошли изменения напряженно-деформированного состояния несущих конструкций",,ГОСТ 31937-2024,,,,,KSI090000428
,,,GGBE,,Обеспечение безопасного функционирования зданий и сооружений,,ГОСТ 31937-2024,,,,,KSI090000429
