Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания,Синонимы,УИН
,BL,,,,Составление прогноза изменений инженерно-геологических условий,,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000045
,BM,,,,Камеральная обработка материалов с определением расчетных гидрологических и (или) метеорологических характеристик,,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000046
,BN,,,,Выполнение расчетов климатических характеристик,,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000047
,BP,,,,Создание инженерной цифровой модели местности,,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,"Создание цифровой модели рельефа
Создание цифровой модели ситуации",,,KSI090000048
,BQ,,,,Создание цифровой структуры базы данных элементов рельефа,,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000049
,BR,,,,Создание цифровой структуры базы данных ситуации,,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000050
,BS,,,,Создание цифровых условных обозначений элементов топографических карт,,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000051
,BT,,,,Создание цифровых условных обозначений элементов топографических планов,,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000052
,BU,,,,Создание структуры базы данных цифровых условных обозначений,,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000053
,BV,,,,Физическое моделирование взаимодействия зданий и сооружений с геологической средой,,"СП 47.13330.2016
Приказ Минрегиона РФ от 30.12.2009 N 624 ",,,,,KSI090000054
,BW,,,,Математическое моделирование взаимодействия зданий и сооружений с геологической средой,,"СП 47.13330.2016
Приказ Минрегиона РФ от 30.12.2009 N 624 ",,,,,KSI090000055
,BX,,,,Составление дефектных ведомостей,,"СП 47.13330.2016
СП 305.1325800.2017
ГОСТ 31937-2024",,,,,KSI090000056
C,,,,,Полевые работы,"Технологические процессы производства, осуществляемые на местности",СП 446.1325800.2019,По виду работ,,,,KSI090000057
,CA,,,,Рекогносцировочное обследование,,СП 446.1325800.2019,По виду работ,,,,KSI090000058
,,CAA,,,Аэровизуальные наблюдения,,СП 446.1325800.2019,,,,,KSI090000059
,,CAB,,,Маршрутные наблюдения,,СП 446.1325800.2019,,,,,KSI090000060
,,CAC,,,Осмотр места изыскательских работ,,СП 446.1325800.2019,,,,,KSI090000061
,,CAD,,,Визуальная оценка рельефа,,СП 446.1325800.2019,,,,,KSI090000062
,,CAE,,,Описание имеющихся обнажений,,СП 446.1325800.2019,,,,,KSI090000063
,,CAF,,,Описание имеющихся карьеров,,СП 446.1325800.2019,,,,,KSI090000064
,,CAG,,,Описание имеющихся строительных выработок,,СП 446.1325800.2019,,,,,KSI090000065
,,CAH,,,Описание водопроявлений,,СП 446.1325800.2019,,,,,KSI090000066
,,CAJ,,,Описание геоботанических индикаторов гидрогеологических,,СП 446.1325800.2019,,,,,KSI090000067
,,CAK,,,Описание геоботанических индикаторов экологических условий,,СП 446.1325800.2019,,,,,KSI090000068
,,CAL,,,Описание внешних проявлений геодинамических процессов,,СП 446.1325800.2019,,,,,KSI090000069
