Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы,УИН
,,,AJBD,,,,Сетка композитная полимерная для армирования кирпичной кладки,"Сетка, образуемая путем крестообразных соединений стержней из полимерного композита, расположенных в двух взаимно перпендикулярных направлениях ",ГОСТ Р 58964-2020,,,,,,,,KSI160000635
,AK,,,,,,Изделия для крепления и усиления конструкций,,,,,,,,,,KSI160000636
,,AKA,,,,,Крепеж,Деталь для присоединения одного элемента к другому,ГОСТ Р ИСО 6707-1-2020,,,,,,,,KSI160000637
,,,AKAA,,,,Детали фасонные к листам хризотилцементным,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.1.01.01,,,,,KSI160000638
,,,AKAB,,,,Материалы и изделия крепежные и монтажные линейных сооружений,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,22.2.02,,,,,KSI160000639
,,,,AKABA,,,Гаситель вибрации,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,22.2.02.01,,,,,KSI160000640
,,,,AKABB,,,Гильза,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"22.2.02.02
",,,,,KSI160000641
,,,,AKABC,,,Деталь крепления,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,22.2.02.03,,,,,KSI160000642
,,,,AKABD,,,Звено промежуточное,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160000643
,,,,AKABE,,,Кольцо,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,22.2.02.05,,,,,KSI160000644
,,,,AKABF,,,Консоль,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,22.2.02.06,,,,,KSI160000645
,,,,AKABG,,,Кронштейн,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,22.2.02.08,ЭЛ 40 45 10 10,,,,KSI160000646
,,,,AKABH,,,Крюк,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,22.2.02.09,,,,,KSI160000647
,,,,AKABJ,,,Люк,"Проем, обеспечивающий ограниченный доступ","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,22.2.02.10,ЭЛ 30 18 50,,,,KSI160000648
,,,,AKABK,,,Опора промежуточная в болотистом грунте,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160000649
,,,,AKABL,,,Оттяжка мачт и опор,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160000650
,,,,AKABM,,,Скрепа,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,22.2.02.15,,,,,KSI160000651
,,,,AKABN,,,Стойка для линий сети проводного вещания,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,22.2.02.16,ЭЛ 40 45 10 50,,,,KSI160000652
,,,,AKABP,,,Стойка телефонная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,22.2.02.17,,,,,KSI160000653
,,,,AKABQ,,,Траверса,"Балка, предназначенная для распределения сосредоточенных нагрузок на опоры","ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 17.11.2022 N 969/пр",,,22.2.02.18,,,,,KSI160000654
,,,,AKABR,,,Устройство заземляющее,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,22.2.02.19,,,,,KSI160000655
,,,,AKABS,,,Хомут,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,22.2.02.20,ЭЛ 40 45 10 60,,,,KSI160000656
,,,,AKABT,,,Штырь,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,22.2.02.21,,,,,KSI160000657
,,,,AKABU,,,Элемент соединительный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,22.2.02.22,,,,,KSI160000658
,,,,AKABV,,,Устройство защиты птиц на ВЛ,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160000659
,,,,AKABW,,,Кляммер,,"СП 43.13330.2012
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"07.2.06.01
08.1.02.25
",,,,,KSI160000660
,,,AKAC,,,,Закладные изделия,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,08.4.01.02,ЭЛ 30 80,,,,KSI160000661
,,,AKAD,,,,Метизы,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"01.7.15
22.2.02.11",,,,,KSI160000662
,,,,AKADA,,,Анкер,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.15.01,,,,,KSI160000663
,,,,AKADB,,,Болт,Крепеж в форме металлического стержня со спиральной резьбой на одном конце,"ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 17.11.2022 N 969/пр",,,01.7.15.02,,,,,KSI160000664
,,,,AKADC,,,Болт с гайками и шайбами,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.15.03,,,,,KSI160000665
,,,,AKADD,,,Винт,"Крепёжная деталь, представляющая собой обычно металлический цилиндрический стержень с головкой со шлицем под отвёртку и резьбовым концом, завинчиваемым в соответствующее резьбовое отверстие, служит для разъёмного соединения различных деталей","Большая политехническая энциклопедия. - М.: Мир и образование. Рязанцев В. Д.. 2011
Приказ Минстроя России от 17.11.2022 N 969/пр",,,01.7.15.04,,,,,KSI160000666
,,,,AKADE,,,Гайка,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"01.7.15.05
01.4.03.06",,,,,KSI160000667
,,,,AKADF,,,Гвоздь,Прямолинейный тонкий металлический крепеж с острым концом и шляпкой,"ГОСТ Р ИСО 6707-1-2020
Приказ Минстроя России от 17.11.2022 N 969/пр",,,01.7.15.06,,,,,KSI160000668
,,,,AKADG,,,Дюбель,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.15.07,,,,,KSI160000669
,,,,AKADH,,,Заклепка,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.15.08,,,,,KSI160000670
,,,,AKADJ,,,Крепеж георешеток,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.15.09,,,,,KSI160000671
,,,,AKADK,,,Скоба,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.15.10,,,,,KSI160000672
,,,,AKADL,,,Шайба,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"01.7.15.11
01.4.03.06",,,,,KSI160000673
,,,,AKADM,,,Шпилька,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.15.12,,,,,KSI160000674
,,,,AKADN,,,Шплинт,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.15.13,,,,,KSI160000675
,,,,AKADP,,,Шуруп,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.15.14,,,,,KSI160000676
,,,AKAE,,,,Штифты цилиндрические,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160000677
,,,AKAF,,,,Кронштейн базовый,"Вид кронштейна, на котором закрепляют одну или несколько болтовых опор с обеспечением их подвижного или неподвижного положения","ГОСТ 33079-2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"05.3.01.10 
25.2.02.04 ",ЭЛ 40 45 10 10,,,,KSI160000678
,,,AKAG,,,,Болтовая опора,"Элемент точечного крепления светопрозрачного заполнения, устанавливаемый в подготовленное отверстие в стекле или стеклопакете и обеспечивающий шарнирное или неподвижное положение точки крепления","ГОСТ 33079-2014
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ЭЛ 40 45 10 20,,,,KSI160000679
,,,AKAH,,,,Зажим,,"ГОСТ 33079-2014
Приказ Минстроя России от 17.11.2022 N 969/пр",,,25.2.01.06,,,,,KSI160000680
,,,AKAJ,,,,Прижимная планка,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"08.1.02.03 
20.2.03.26 
26.1.01.03 ",,,,,KSI160000681
,,,AKAK,,,,Фурнитура для пластиковых плинтусов,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,11.3.03.14,,,,,KSI160000682
,,,AKAL,,,,"Связевой элемент, укладываемый в горизонтальные швы кладки",,,,,,,,,,KSI160000683
,,,,,,AKAL010,"Деталь из проволоки, укладываемая в горизонтальные швы кладки",,,,,,,,,,KSI160000684
,,,,,,AKAL020,Штукатурная сетка,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160000685
,,,AKAM,,,,Связево-монтажный элемент,,,,,,,,,,KSI160000686
,,,,,,AKAM020,Стальная перфорированная лента,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,07.2.06.04,,,,,KSI160000687
,,AKB,,,,,Монтажные изделия,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,20.2.08,,,,,KSI160000688
,,,AKBA,,,,Шнур,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.07.26,,,,,KSI160000689
,,,AKBB,,,,Лента,,,,,08.3.02,,,,,KSI160000690
,,,AKBC,,,,Уголок для пластиковых панелей,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,11.3.03.13,ЭЛ 30 19 50,,,,KSI160000691
,,,AKBD,,,,Раскладка поливинилхлоридная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,11.3.03.11,,,,,KSI160000692
,,,AKBF,,,,Манжет резиновый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.19.03,,,,,KSI160000693
,,,AKBG,,,,Профиль полимерный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,11.3.03.10,,,,,KSI160000694
,AL,,,,,,Изоляция,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,12.2.,ЭЛ 10 30 10,,,,KSI160000695
,,ALA,,,,,Теплоизоляция,"Общий термин, применяемый для описания процесса уменьшения теплопереноса через систему или для описания изделия, элементов системы, которые выполняют функцию тепловой изоляции","ГОСТ 31913-2022
ГОСТ 21880-2022
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,12.2.01.,СТ 10 14,,,,KSI160000696
,,,ALAA,,,,Мат теплоизоляционный,"Гибкое волокнистое теплоизоляционное изделие, поставляемое свернутым в виде рулона или в развернутом виде, которое может быть облицовано","ГОСТ 21880-2022
ГОСТ 23307-78
Приказ Минстроя России от 17.11.2022 N 969/пр",,,"12.2.04
",,,,,KSI160000697
,,,ALAB,,,,Плиты изоляционные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"12.2.05
",,,,,KSI160000698
,,,,ALABA,,,Изделие из вспененного полиэтилена,,"Приказ Минстроя России от 17.11.2022 N 969/пр
ГОСТ Р 56729-2015",,,12.2.05.01,,,,,KSI160000699
,,,,,,ALABA020,Профиль из вспененного полиэтилена,,,,,,,,,,KSI160000700
,,,,,,ALABA030,Лист из вспененного полиэтилена,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160000701
,,,,ALABB,,,Плиты из минеральной ваты,,"ГОСТ 9573-2012
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"12.2.05.02
12.2.05.03
12.2.05.04
12.2.05.05
12.2.05.10
",СТ 10 14 20 14,,,,KSI160000702
,,,,,,ALABB010,Плита из минеральной ваты мягкая ПМ,,ГОСТ 9573-2012,,,,,,,,KSI160000703
,,,,,,ALABB020,Плита из минеральной ваты полужесткая ППЖ,,ГОСТ 9573-2012,,,,,,,,KSI160000704
,,,,,,ALABB030,Плита из минеральной ваты жесткая ПЖ,,ГОСТ 9573-2012,,,,,,,,KSI160000705
,,,,,,ALABB040,Плита из минеральной ваты повышенной жесткости ППЖ,,ГОСТ 9573-2012,,,12.2.05.05,,,,,KSI160000706
,,,,,,ALABB050,Плита из минеральной ваты твердая ПТ,,ГОСТ 9573-2012,,,,,,,,KSI160000707
,,,,ALABC,,,Изделие из пенополистирола теплоизоляционное,,ГОСТ Р 56148-2014,,,,,,,,KSI160000708
,,,,,,ALABC010,Блок из пенополистирола,,,,,12.2.05.06,,,,,KSI160000709
,,,,,,ALABC020,Плита из пенополистирола,"Плита, изготовляемая беспрессовым способом из вспенивающегося полистирола с антипиренами, полученного суспензионным или экструзионным способом, с добавками графита, красителей или без них","ГОСТ 15588-2014
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,12.2.05.06,СТ 10 14 10 02,,,,KSI160000710
,,,,ALABD,,,Изделие теплоизоляционное из стеклянного штапельного волокна,,ГОСТ 10499-95,,,,,,,,KSI160000711
,,,,,ALABDA,,Плита из стекловолокна,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.05.08,,,,,KSI160000712
,,,,,,ALABDA010,Плита из стекловолокна П-190,,ГОСТ 10499-95,,,,,,,,KSI160000713
,,,,,,ALABDA020,Плита из стекловолокна П-160,,ГОСТ 10499-95,,,,,,,,KSI160000714
,,,,,,ALABDA030,Плита из стекловолокна П-75,,ГОСТ 10499-95,,,,,,,,KSI160000715
,,,,,,ALABDA040,Плита из стекловолокна П-60,,ГОСТ 10499-95,,,,,,,,KSI160000716
,,,,,,ALABDA050,Плита из стекловолокна П-45,,ГОСТ 10499-95,,,,,,,,KSI160000717
,,,,,,ALABDA060,Плита из стекловолокна П-30,,ГОСТ 10499-95,,,,,,,,KSI160000718
,,,,,,ALABDA070,Плита из стекловолокна П-20,,ГОСТ 10499-95,,,,,,,,KSI160000719
,,,,,ALABDB,,Мат из стекловолокна,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.04.10,,,,,KSI160000720
,,,,,,ALABDB010,Мат из стекловолокна М-45,,ГОСТ 10499-95,,,,,,,,KSI160000721
,,,,,,ALABDB020,Мат из стекловолокна М-35,,ГОСТ 10499-95,,,,,,,,KSI160000722
,,,,,,ALABDB030,Мат из стекловолокна М-25,,ГОСТ 10499-95,,,,,,,,KSI160000723
,,,,,,ALABDB040,Мат из стекловолокна М-15,,ГОСТ 10499-95,,,,,,,,KSI160000724
,,,,ALABE,,,Плиты фибролитовые,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,01.6.01.09,СТ 10 14 10 12,,,,KSI160000725
,,,,ALABF,,,Плиты на основе пенополиизоцианурата теплозвукоизоляционные,,ГОСТ Р 56590-2016,,,,,,,,KSI160000726
,,,ALAC,,,,"Скорлупы, сегменты",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"12.2.06
",,,,,KSI160000727
,,,,ALACA,,,Сегменты из пенополиуретана,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.06.01,,,,,KSI160000728
,,,,ALACB,,,Сегменты известково-кремнеземистые,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.06.02,,,,,KSI160000729
,,,,ALACC,,,Скорлупы битумоперлитовые,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.06.03,,,,,KSI160000730
,,,,ALACD,,,Скорлупы из пенобетона,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.06.04,,,,,KSI160000731
,,,,ALACE,,,Скорлупы из пенополиуретана без защитного слоя,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.06.05,,,,,KSI160000732
,,,,ALACF,,,Скорлупы из пенополиуретана фольгированные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.06.06,,,,,KSI160000733
,,,,ALACG,,,Скорлупы известково-кремнеземистые,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.06.07,,,,,KSI160000734
,,,,ALACH,,,Сегменты из экструдированного пенополистирола,,Приказ Минстроя России от 02.03.2017 N 597/пр,,,12.2.06.08,,,,,KSI160000735
,,,ALAD,,,,"Трубки, рулоны",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"12.2.07
",,,,,KSI160000736
,,,,,,ALAD010,Рулон из вспененного каучука,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.07.01,,,,,KSI160000737
,,,,,,ALAD020,Рулон из вспененного полиэтилена,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.07.02,,,,,KSI160000738
,,,,,,ALAD030,Теплоизоляция трубная на основе вспененного полиолефина с замком-застежкой для труб,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.07.03,,,,,KSI160000739
,,,,,,ALAD040,Трубка из вспененного каучука,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.07.04,,,,,KSI160000740
,,,,,,ALAD050,Трубка из вспененного полиэтилена,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.07.05,,,,,KSI160000741
,,,,,,ALAD060,Рулон из пенополистирола,,,,,,,,,,KSI160000742
,,,,,,ALAD070,Рулон из вспененного полипропилена,,Приказ Минстроя России от 02.03.2017 N 597/пр,,,,,,,,KSI160000743
,,,ALAE,,,,Цилиндры и полуцилиндры теплоизоляционные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"12.2.08
",,,,,KSI160000744
,,,,ALAEA,,,Цилиндр навивной кашированный алюминиевой фольгой,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.08.01,,,,,KSI160000745
,,,,ALAEB,,,Цилиндр навивной некашированный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.08.02,,,,,KSI160000746
,,,,ALAEC,,,Цилиндр вырезной кашированный алюминиевой фольгой,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160000747
,,,,ALAED,,,Цилиндр вырезной некашированный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160000748
,,,,ALAEE,,,Комплектующие для цилиндров и полуцилиндров вырезных,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160000749
,,,ALAF,,,,Изоляция для труб,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"12.2.01.02 
12.2.01.04 
12.2.01.05 
12.2.01.06 
12.2.01.10 ",,,,,KSI160000750
,,,ALAG,,,,Специализированное теплоизоляционное изделие,,,,,,,,,,KSI160000751
,,,,,,ALAG010,Пластина замковая,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.03.06,,,,,KSI160000752
,,,,,,ALAG020,Прокладка пробковая,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.03.08,,,,,KSI160000753
,,,,,,ALAG030,Лист хризотилцементный волнистый,Изделие с повторяющимися выпуклыми и вогнутыми участками с прямыми продольными образующими,"ГОСТ 30340-2012
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Лист волнистый хризотилцементный с симметричными кромками
Лист волнистый хризотилцементный с асимметричными кромками",01.1.01.04,"СТ 10 12 50 10
СТ 10 12 50 20",,,,KSI160000754
,,,,,,ALAG040,Лист хризотилцементный плоский,Плоское монолитное прямоугольное изделие толщиной от 4 до 40 мм,"ГОСТ 18124-2012
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Лист плоский хризотилцементный прессованный
Лист плоский хризотилцементный непрессованный",01.1.01.05,"СТ 10 12 50 30
СТ 10 12 50 40",,,,KSI160000755
,,,,,,ALAG050,Шнур теплоизоляционный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.03.14,,,,,KSI160000756
,,,,,,ALAG060,Шнур асбестовый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.1.01.09,,,,,KSI160000757
,,,,,,ALAG070,Трубка асбестовая плетеная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160000758
,,,,,,ALAG080,Изделие арболитовое неармированное теплоизоляционное,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.2.02.13,СТ 10 14 10 09,,,,KSI160000759
,,,,,,ALAG090,Деталь покрытия теплоизоляционная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.2.01.01,,,,,KSI160000760
,,,,,,ALAG100,Изоляция для фасонных частей пенополимерминеральная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160000761
,,,ALAH,,,,Изделие из ячеистых бетонов теплоизоляционное,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"05.2.02.14 
12.2.01.09 ",,,,,KSI160000762
,,ALB,,,,,Гидроизоляционные и пароизоляционные изделия,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,"12.1.01.03 
12.1.02.11 

","СТ 10 15
ЭЛ 10 30 20
ЭЛ 10 30 30",,,,KSI160000763
,,,ALBA,,,,Изделие геосинтетическое и из природного волокна,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"01.7.12
",,,,,KSI160000764
,,,,,,ALBA010,Геомат бентонитовый,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,01.7.12.02,СТ 10 15 80 10,,,,KSI160000765
,,,,,,ALBA020,Геомат экструдированный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.12.03,,,,,KSI160000766
,,,,,,ALBA030,Геополотно нетканое,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.12.05,,,,,KSI160000767
,,,,,,ALBA040,Геополотно тканое,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.12.06,,,,,KSI160000768
,,,,,,ALBA050,Георешетка нетканая,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.12.07,,,,,KSI160000769
,,,,,,ALBA060,Георешетка тканая,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.12.08,,,,,KSI160000770
,,,,,,ALBA070,Георешетка экструдированная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.12.09,,,,,KSI160000771
,,,,,,ALBA080,Геосетка вязаная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.12.10,,,,,KSI160000772
,,,,,,ALBA090,Геосетка нитепрошивная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.12.11,,,,,KSI160000773
,,,,,,ALBA100,Материал геокомпозитный тканый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.12.13,,,,,KSI160000774
,,,,,,ALBA110,Мат противоэрозионный,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.12.15,,,,,KSI160000775
,,,,,,ALBA120,Материал геосотовый (геоячейки),,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.12.17,,,,,KSI160000776
,,,,,,ALBA130,Профилированная геосинтетическая мембрана,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160000777
,,,,,,ALBA140,Дренажный геокомпозитный мат,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160000778
,,,,,,ALBA150,Биомат,,,,,,,,,,KSI160000779
,,,,,,ALBA160,Пленка аэродромная,,,,,,,,,,KSI160000780
,,,ALBB,,,,Специализированное изделие для гидроизоляции,,Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128,,,"12.1.01.02 
12.1.01.03 
01.7.06.02 
01.7.06.13 
01.7.07.14 
",ЭЛ 10 30 30,,,,KSI160000781
,,,,,,ALBB010,Втулка кровельная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.1.01.02,,,,,KSI160000782
,,,,,,ALBB020,Прокладка герметизирующая,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,12.1.01.03,,,,,KSI160000783
,,,,,,ALBB030,Мат противоскользящий резиновый,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,,KSI160000784
,,,,,,ALBB040,Прокладка уплотнительная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.07.14,,,,,KSI160000785
,,,,,,ALBB050,Экран водоотбойный из полиэтилена,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.06.13,,,,,KSI160000786
,,,,,,ALBB060,Лента гидроизоляционная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.06.02,,,,,KSI160000787
,,ALC,,,,,Звукоизоляционные изделия,,,,,,,,,,KSI160000788
,,,ALCA,,,,Звукоизоляционные прокладочные материалы и изделия,,,,,,,,,,KSI160000789
,,,,ALCAA,,,Ворсовой синтетический ковер,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.6.03.03,,,,,KSI160000790
,,,,ALCAB,,,Поливинилхлоридная плитка,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 13 45 42,,,,KSI160000791
,,,,ALCAC,,,Плита из пенорезины,,,,,,,,,,KSI160000792
,,,ALCB,,,,Звукопоглощающее изделие,,,,,"12.2.02. 
01.6.01.11 ",,,,,KSI160000793
,,,,,,ALCB010,Звукопоглощающая гипсовая литая плита,,,,,01.6.01.11,,,,,KSI160000794
,,,,,,ALCB020,Плита из минеральной ваты на синтетическом связующем с декоративным покрытием,,,,,,,,,,KSI160000795
,,ALD,,,,,Электроизоляционное изделие,,,,,,,,,,KSI160000796
,,,,,,ALD010,Лента электроизоляционная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.7.06.12,,,,,KSI160000797
,,ALE,,,,,Огнезащита,,,,,,,,,,KSI160000798
,,,ALEA,,,,Плита негорючая,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,14.2.02.08,,,,,KSI160000799
,,,ALEB,,,,Подушка противопожарная,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,14.2.02.09,,,,,KSI160000800
,,,ALEC,,,,"Блоки огнеупорные, кроме изделий из кремнеземистой каменной муки или диатомитовых земель",,Приказ Минстроя России от 17.11.2022 N 969/пр,,,"17.3.01
",,,,,KSI160000801
,,,,ALECA,,,Блок магнезиально-шпилевидный для конвертеров цветной металлургии,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.01.01,,,,,KSI160000802
,,,,ALECB,,,Блок на основе отходов обогащения лома магнезиально-шпинелидных изделий,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.01.02,,,,,KSI160000803
,,,,ALECC,,,Блок шамотный по индивидуальным рабочим чертежам,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.01.03,,,,,KSI160000804
,,,,ALECD,,,Изделие муллитовое блочное для стекловаренных печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.01.04,,,,,KSI160000805
,,,,ALECE,,,Изделие шамотное блочное для стекловаренных печей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.01.05,,,,,KSI160000806
,,,ALED,,,,"Изделия огнеупорные алюмосиликатные, в том числе шамотные, полукислые",,"Приказ Минстроя России от 17.11.2022 N 969/пр
ГОСТ 28874-2004",,,"17.3.02
",,,,,KSI160000807
,,,,ALEDA,,,Изделие бетонное шамотное на фосфатной связке,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,17.3.02.01,,,,,KSI160000808
,,,,ALEDB,,,Изделие полукислое общего назначения,,"ГОСТ 390-2018
Приказ Минстроя России от 17.11.2022 N 969/пр",,,17.3.02.02,,,,,KSI160000809
