Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Код класса по KKS,Примечания,Синонимы,УИН
,,AAF,,,,,Балка фундаментная железобетонная,"Горизонтальный линейный несущий элемент строительных конструкций промышленных и сельскохозяйственных зданий или сооружений, предназначенный для опирания наружных и внутренних стен зданий и передачи нагрузки на фундамент","ГОСТ 28737-2016
Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,05.1.05.01,ЭЛ 10 10 35,,,,KSI160000029
,,AAG,,,,,Фундамент трансформаторов,,СП 90.13330.2012,,"Фундамент грибовидный для трансформаторов Ф1-П (Ф1-А)
Фундамент ФМ-1, ФМ-2, ФМ-3, ФМ-4, ФМ-5 для установки трансформатора
Унифицированные изделия подстанций 35-500 Кв (Фундамент железобетонный Ф15.15, Ф18.18, Ф8.8)",,,,,,KSI160000030
,,AAH,,,,,Фундамент железобетонный сборный под колонны каркаса межвидового применения для многоэтажных зда-ний,,ГОСТ 24476-80,,,,,,,,KSI160000031
,,,,,,AAH010,Фундамент тип 1Ф под колонны с поперечным сечением размерами 300 x 300 мм,,ГОСТ 24476-80,,,,,,,,KSI160000032
,,,,,,AAH020,Фундамент тип 2Ф под колонны с поперечным сечением размерами 400 x 400 мм,,ГОСТ 24476-80,,,,,,,,KSI160000033
,,AAJ,,,,,Фундаменты железобетонные сборные под колонны сельскохозяйственных зданий,,ГОСТ 24022-80,,,,,,,,KSI160000034
,,,,,,AAJ010,Фундаменты железобетонные сборные под колонны сельскохозяйственных зданий марка 1Ф9.9-1 ,"Фундамента с размерами подошвы 900 х 900 мм, под стены толщиной до 250 мм
",ГОСТ 24022-80,,,,,,,,KSI160000035
,,,,,,AAJ020,Фундаменты железобетонные сборные под колонны сельскохозяйственных зданий марка 1Ф12.9-2,"Фундамента с размерами подошвы 1200 х 900 мм, под стены толщиной более 250 мм",ГОСТ 24022-80,,,,,,,,KSI160000036
,,,,,,AAJ030,Фундаменты железобетонные сборные под колонны сельскохозяйственных зданий марка 1Ф12.12-1,"Фундамента с размерами подошвы 1200 х1200 мм, под стены толщиной до 250 мм",ГОСТ 24022-80,,,,,,,,KSI160000037
,,,,,,AAJ040,Фундаменты железобетонные сборные под колонны сельскохозяйственных зданий марка 1Ф12.12-2,"Фундамента с размерами подошвы 1200 х 1200 мм, под стены толщиной более 250 мм",ГОСТ 24022-80,,,,,,,,KSI160000038
,,,,,,AAJ050,Фундаменты железобетонные сборные под колонны сельскохозяйственных зданий марка 2Ф15.15-2,"Фундамента с размерами подошвы 1500 х 1500 мм, под стены толщиной более 250 мм",ГОСТ 24022-80,,,,,,,,KSI160000039
