Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по ОКПДТР,Примеры,Примечания,Синонимы,УИН
,,AAU,,,Производитель работ (прораб),"Руководитель среднего звена, осуществляющий руководство строительством на своем участке, обеспечивающий выполнение заданий по вводу объектов в эксплуатацию в установленные сроки, организующий производство, обеспечивающий соблюдение технологии производства, ведущий учет выполненных работ, оформляющий техническую документацию, участвующий в сдаче объектов в эксплуатацию, устанавливающий производственные задания по объемам строительно-монтажных и пусконаладочных работ, контролирующий их выполнение, в том числе в процессе эксплуатации объектов",Постановление Госстандарта РФ от 26.12.1994 N 367,,25864,,,,KSI190000042
,,AAV,,,Мастер участка,,Постановление Госстандарта РФ от 26.12.1994 N 367,,23998,,,,KSI190000043
,,AAW,,,Менеджер по информационным технологиям,,ГОСТ Р 10.0.05–2019,,,,,,KSI190000044
,,AAX,,,Менеджер по эксплуатации недвижимости,,ГОСТ Р 10.0.05–2019,,,,,,KSI190000045
,AB,,,,Специалист,"Человек, в трудовые функции которого входит участие в системе управления, но не имеющий в подчинении ни одного работника, работающего или иного физического лица",Постановление Минтруда России от 21.08.1998 N 37,По должности,,,,,KSI190000046
,,ABA,,,Бухгалтер,,Постановление Госстандарта РФ от 26.12.1994 N 367,, 20336,,,,KSI190000047
,,ABB,,,Юрисконсульт,,Постановление Госстандарта РФ от 26.12.1994 N 367,,27931,,,,KSI190000048
,,ABC,,,Документовед,,Постановление Госстандарта РФ от 26.12.1994 N 367,,21792,,,,KSI190000049
,,ABD,,,Специалист по кадрам,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000050
,,ABE,,,Специалист инженерного обеспечения территорий,,Приказ Минздравсоцразвития России от 23.04.2008 N 188,,26583,,,,KSI190000051
,,ABF,,,Специалист транспортного развития территорий,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000052
,,ABG,,,Инженер организации,"Специалист, профессионально занимающийся инженерным делом",Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000053
,,,,ABG010,Инженер по охране труда,,Постановление Госстандарта РФ от 26.12.1994 N 367,,22659,,,,KSI190000054
,,,,ABG020,Инженер,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000055
,,,,ABG030,Инженер по подготовке кадров,,Постановление Госстандарта РФ от 26.12.1994 N 367,,22675,,,,KSI190000056
,,,,ABG040,Инженер-технолог строительной организации,,Приказ Минздравсоцразвития России от 23.04.2008 N 188,,,,,,KSI190000057
,,,,ABG050,Инженер-конструктор,,Постановление Госстандарта РФ от 26.12.1994 N 367,,22491,,,,KSI190000058
,,,,ABG060,Инженер-проектировщик,,Постановление Госстандарта РФ от 26.12.1994 N 367,,22827,,,,KSI190000059
,,,,ABG070,Инженер по качеству,,Постановление Госстандарта РФ от 26.12.1994 N 367,,22583,,,,KSI190000060
