c_1,c_2,c_3,c_4,c_5,lev_1,lev_2,lev_3,lev_4,lev_5,code,def,source,type,list,ifc,par_1,par_2,sect,sect_parts,synonyms,ksi_uin
,,,,0022,,,,,Код ОКВЭД,XNCC0022,Общероссийский классификатор видов экономической деятельности,,Текстовый,,,,,,,,KSI210000042
,,,,0023,,,,,Код ОКВЭД 2,XNCC0023,Общероссийский классификатор видов экономической деятельности,,Текстовый,,,,,,,,KSI210000043
,,,,0024,,,,,Код ОКДП,XNCC0024,Общероссийский классификатор продукции по видам экономической деятельности,,Текстовый,,,,,,,,KSI210000044
,,,,0025,,,,,Код ОКОНХ,XNCC0025,Общероссийский классификатор отраслей народного хозяйства,,Текстовый,,,,,,,,KSI210000045
,,,,0026,,,,,Код ОКПД,XNCC0026,Общероссийский классификатор продукции по видам экономической деятельности,,Текстовый,,,,,,,,KSI210000046
,,,,0027,,,,,Код ОКПД 2,XNCC0027,Общероссийский классификатор продукции по видам экономической деятельности,,Текстовый,,,,,,,,KSI210000047
,,,,0028,,,,,Код ОКУН,XNCC0028,Общероссийский классификатор услуг населению,,Текстовый,,,,,,,,KSI210000048
,,,,0029,,,,,Код КИЕС,XNCC0029,Классификатор институциональных единиц по секторам экономики,,Текстовый,,,,,,,,KSI210000049
,,,,0030,,,,,Код ОКАТО,XNCC0030,Общероссийский классификатор объектов административно-территориального деления,,Текстовый,,,,,,,,KSI210000050
,,,,0031,,,,,Код ОКВ,XNCC0031,Общероссийский классификатор валют,,Текстовый,,,,,,,,KSI210000051
,,,,0032,,,,,Код ОКСМ,XNCC0032,Общероссийский классификатор стран мира,,Текстовый,,,,,,,,KSI210000052
,,,,0033,,,,,Код ОКТМО,XNCC0033,Общероссийский классификатор территорий муниципальных образований,,Текстовый,,,,,,,,KSI210000053
,,,,0034,,,,,Код ОКЭР,XNCC0034,Общероссийский классификатор экономических регионов,,Текстовый,,,,,,,,KSI210000054
,,,,0035,,,,,Код КГС,XNCC0035,Классификатор государственных стандартов ,,Текстовый,,,,,,,,KSI210000055
