Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечание,Синонимы,УИН
,,,DBHB,,,,Укладка резиновых прокладок,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-01-060,,,KSI110000550
,,DBJ,,,,,Устройство сборных бетонных и железобетонных конструкций емкостных сооружений,,ГЭСН 81-02-07-2020 ,по виду работ,,,,,KSI110000551
,,,DBJA,,,,Установка сборных бетонных и железобетонных лотков емкостных сооружений,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-02-002,,,KSI110000552
,,,DBJB,,,,Установка сборных бетонных и железобетонных опор емкостных сооружений,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-02-002,,,KSI110000553
,,,DBJC,,,,Установка сборных бетонных и железобетонных панелей стен емкостных сооружений,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-02-00,,,KSI110000554
,,,DBJD,,,,Установка сборных бетонных и железобетонных перегородок емкостных сооружений,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-02-00,,,KSI110000555
,,DBK,,,,,Установка сборных бетонных и железобетонных распорок,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-04-003,,,KSI110000556
,,DBL,,,,,Установка бункеров,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-04-00,,,KSI110000557
,,DBM,,,,,Монтаж конструкций распределительных устройств,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-04-008,,,KSI110000558
,,DBN,,,,,Установка мелких конструкций,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-05-030,,,KSI110000559
,,DBP,,,,,Установка объемных блоков,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-05-034,,,KSI110000560
,,DBQ,,,,,"Установка сантехкабин, сантехнических поддонов",,ГЭСН 81-02-07-2020 ,по виду работ,,ГЭСН 07-05-035,,,KSI110000561
,,,DBQA,,,,Присоединение трубопроводов и электропроводок сантехкабин,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-05-035,,,KSI110000562
,,,DBQB,,,,Испытание трубопроводов и электропроводок сантехкабин,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-05-035,,,KSI110000563
,,DBR,,,,,Установка шахт лифта,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-05-035,,,KSI110000564
,,DBS,,,,,Установка вентиляционных блоков,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-05-035,,,KSI110000565
,,DBT,,,,,Устройство сборных бетонных и железобетонных камер со стенками,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-06-002,,,KSI110000566
,,DBU,,,,,Устройство попутного одностороннего дренажа непроходных каналов,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-06-003,,,KSI110000567
,,DBV,,,,,Устройство конструкций из хризотилцементных плит ,,ГЭСН 81-02-07-2020 ,по виду работ,,,,,KSI110000568
,,,DBVA,,,,Устройство покрытий из плит хризотилцементных в промышленных производственных зданиях,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-07-002,,,KSI110000569
,,,DBVB,,,,Обрамление дверных проемов в перегородках из хризотилцементных экструзионных панелей металлическими швеллерами,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-07-005,,,KSI110000570
,,,DBVC,,,,Заделка пространств над дверными проемами в перегородках из хризотилцементных экструзионных панелей,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-07-006,,,KSI110000571
,,,DBVD,,,,Изготовление блоков оросителя градирен из хризотилцементных листов,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-07-007,,,KSI110000572
,,,DBVE,,,,"Устройство перегородок из хризотилцементных
экструзионных панелей в зданиях промышленных предприятий ",,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-07-004,,,KSI110000573
,,,DBVF,,,,Монтаж блоков оросителя из хризотилцементных листов,,ГЭСН 81-02-07-2020 ,,,ГЭСН 07-07-008,,,KSI110000574
,DC,,,,,,Устройство конструкций из кирпича и блоков,,ГЭСН 81-02-08-2020,по типу материала,,,,,KSI110000575
,,DCA,,,,,Устройство конструкций из бутового камня,,ГЭСН 81-02-08-2020,по виду работ,,,,,KSI110000576
,,,DCAA,,,,Устройство фундаментов из бутового камня,,ГЭСН 81-02-08-2020,,,ГЭСН 08-01-001,,,KSI110000577
,,,DCAB,,,,Кладка стен из бутового камня,,ГЭСН 81-02-08-2020,,,ГЭСН 08-01-001,,,KSI110000578
,,,DCAC,,,,Устройство основания под фундаменты из бутового камня,,ГЭСН 81-02-08-2020,,,ГЭСН 08-01-002,,,KSI110000579
,,,DCAD,,,,Гидроизоляция фундаментов при устройстве из бутового камня,,ГЭСН 81-02-08-2020,,,ГЭСН 08-01-003 ,,,KSI110000580
,,,DCAE,,,,Гидроизоляция стен при устройстве из бутового камня,,ГЭСН 81-02-08-2020,,,ГЭСН 08-01-003 ,,,KSI110000581
,,DCB,,,,,Устройство конструкций из кирпича и камней,,ГЭСН 81-02-08-2020,по виду работ,,,,,KSI110000582
,,,DCBA,,,,Кладка стен из кирпича ,,ГЭСН 81-02-08-2020,,,"ГЭСН 08-02-001
ГЭСН 08-02-005",,,KSI110000583
,,,DCBB,,,,Кладка перегородок из кирпича,,ГЭСН 81-02-08-2020,,,ГЭСН 08-02-002,,,KSI110000584
,,,DCBC,,,,Кладка из кирпича конструкций,,ГЭСН 81-02-08-2020,,,"ГЭСН 08-02-003
ГЭСН 08-02-004",,,KSI110000585
,,,DCBD,,,,Расшивка швов кладки из кирпича и камней,,ГЭСН 81-02-08-2020,,,ГЭСН 08-02-006,,,KSI110000586
,,,DCBE,,,,Армирование кладки стен из кирпича,,ГЭСН 81-02-08-2020,,,ГЭСН 08-02-007,,,KSI110000587
,,,DCBF,,,,Крепление сводов из кирпича и камней,,ГЭСН 81-02-08-2020,,,ГЭСН 08-02-007,,,KSI110000588
,,,DCBG,,,,Установка металлических решеток,,ГЭСН 81-02-08-2020,,,ГЭСН 08-02-007,,,KSI110000589
,,,DCBH,,,,Кладка стен из камней керамических или силикатных кладочных,,ГЭСН 81-02-08-2020,по типу материала,,,,,KSI110000590
,,,,,,DCBH010,"Кладка стен наружных из кирпича и камней керамических или силикатных с облицовкой лицевым кирпичом, камнями керамическими или силикатными",,ГЭСН 81-02-08-2020,,,"ГЭСН 08-02-008
ГЭСН 08-02-010
ГЭСН 08-02-012",,,KSI110000591
,,,,,,DCBH020,"Кладка участков стен (карнизы, пояски и т.п.) из кирпича и камней керамических и силикатных с облицовкой кирпичом лицевым профильным",,ГЭСН 81-02-08-2020,,,ГЭСН 08-02-011,,,KSI110000592
,,,,,,DCBH030,Кладка наружных стен толщиной в 2 кирпича с облицовкой керамической плиткой,,ГЭСН 81-02-08-2020,,,ГЭСН 08-02-013,,,KSI110000593
,,,DCBJ,,,,Кладка перегородок из камней керамических или силикатных кладочных,,ГЭСН 81-02-08-2020,,,ГЭСН 08-02-009,,,KSI110000594
,,,DCBK,,,,Кладка наружных кирпичных стен облегченных конструкций,,ГЭСН 81-02-08-2020,,,ГЭСН 08-02-014,,,KSI110000595
,,,DCBL,,,,Кладка внутренних кирпичных стен облегченных конструкций,,ГЭСН 81-02-08-2020,,,ГЭСН 08-02-014,,,KSI110000596
,,,DCBM,,,,Кладка наружных кирпичных стен с воздушной прослойкой и теплоизоляционными плитами,,ГЭСН 81-02-08-2020,,,ГЭСН 08-02-015,,,KSI110000597
,,,DCBN,,,,Кладка внутренних кирпичных стен с воздушной прослойкой и теплоизоляционными плитами,,ГЭСН 81-02-08-2020,,,ГЭСН 08-02-015,,,KSI110000598
,,,DCBP,,,,Кладка прижимных стенок из кирпича,,ГЭСН 81-02-08-2020,,,ГЭСН 08-02-016,,,KSI110000599
,,,DCBQ,,,,Облицовка стен по газобетону,,ГЭСН 81-02-08-2020,,,ГЭСН 08-02-017,,,KSI110000600
,,DCC,,,,,Устройство конструкций из легких блоков и камней,,ГЭСН 81-02-08-2020,по типу материала,,,,,KSI110000601
,,,DCCA,,,,Кладка из крупных известняковых блоков,,ГЭСН 81-02-08-2020,,,ГЭСН 08-03-001,,,KSI110000602
,,,DCCB,,,,Заполнение проемов при устройстве конструкций из крупных известняковых блоков,,ГЭСН 81-02-08-2020,,,ГЭСН 08-03-002,,,KSI110000603
,,,DCCC,,,,Заполнение фахверков при устройстве конструкций из крупных известняковых блоков,,ГЭСН 81-02-08-2020,,,ГЭСН 08-03-002,,,KSI110000604
,,,DCCD,,,,Кладка стен из камней легкобетонных,,ГЭСН 81-02-08-2020,,,ГЭСН 08-03-002,,,KSI110000605
,,,DCCE,,,,Кладка перегородок неармированных из камней известковых и туфовых,,ГЭСН 81-02-08-2020,,,ГЭСН 08-03-003,,,KSI110000606
,,,DCCF,,,,Кладка стен неармированных из камней известковых и туфовых,,ГЭСН 81-02-08-2020,,,ГЭСН 08-03-003,,,KSI110000607
,,,DCCG,,,,Кладка стен из газобетонных блоков на клее без облицовки,,ГЭСН 81-02-08-2020,,,ГЭСН 08-03-004,,,KSI110000608
,,DCD,,,,,Устройство перегородок из кирпича и блоков,,ГЭСН 81-02-08-2020,по типу материала,,,,,KSI110000609
,,,DCDA,,,,Установка перегородок из гипсовых и легкобетонных плит,,ГЭСН 81-02-08-2020,,,ГЭСН 08-04-001,,,KSI110000610
,,,DCDB,,,,Установка перегородок из стеклянных блоков и заполнение проемов стеклянными блоками,,ГЭСН 81-02-08-2020,,,ГЭСН 08-04-002,,,KSI110000611
,,,DCDC,,,,Кладка перегородок из газобетонных блоков на клее,,ГЭСН 81-02-08-2020,,,ГЭСН 08-04-003,,,KSI110000612
,,DCE,,,,,Устройство крылец из кирпича и блоков,,ГЭСН 81-02-08-2020,,,ГЭСН 08-05-002,,,KSI110000613
,,DCF,,,,,Укладка подоконных железобетонных плит,,ГЭСН 81-02-08-2020,,,ГЭСН 08-05-00,,,KSI110000614
,,DCG,,,,,Устройство мусоропроводов,,ГЭСН 81-02-08-2020,,,,,,KSI110000615
,,,DCGA,,,,Монтаж мусоропровода со стволом из хризотилцементных труб,,ГЭСН 81-02-08-2020,,,ГЭСН 08-06-00,,,KSI110000616
,,,DCGB,,,,Окраска металлических деталей мусоропровода,,ГЭСН 81-02-08-2020,,,ГЭСН 08-06-002,,,KSI110000617
,,DCH,,,,,Устройство отопительных печей,,ГЭСН 81-02-08-2020,по виду работ,,,,,KSI110000618
,,,DCHA,,,,Устройство основания под печи,,ГЭСН 81-02-08-2020,,,"ГЭСН 08-08-001
ГЭСН 08-08-002 ",,,KSI110000619
,,,DCHB,,,,Устройство основания под очаги,,ГЭСН 81-02-08-2020,,,"ГЭСН 08-08-001
ГЭСН 08-08-002 ",,,KSI110000620
,,,DCHC,,,,Кладка очагов и печей,,ГЭСН 81-02-08-2020,,,ГЭСН 08-08-003,,,KSI110000621
,,,DCHD,,,,Установка очагов металлических,,ГЭСН 81-02-08-2020,,,ГЭСН 08-08-004,,,KSI110000622
,,,DCHE,,,,Кладка дымовых кирпичных труб,,ГЭСН 81-02-08-2020,,,ГЭСН 08-08-005,,,KSI110000623
,,,DCHF,,,,Отделка печей,,ГЭСН 81-02-08-2020,,,ГЭСН 08-08-006,,,KSI110000624
,DD,,,,,,Устройство строительных металлических конструкций,,ГЭСН 81-02-09-2020,по типу материала,,,,,KSI110000625
,,DDA,,,,,Монтаж зданий и каркасов из металлических конструкций,,ГЭСН 81-02-09-2020,по типу конструкций,,,,,KSI110000626
,,,DDAA,,,,Монтаж металлических каркасов одноэтажных производственных зданий,,ГЭСН 81-02-09-2020,,,ГЭСН 09-01-001,,,KSI110000627
,,,DDAB,,,,Монтаж металлических элементов каркасов быстровозводимых зданий из стальных сварных профилей на болтовых соединениях (без применения сварки),,ГЭСН 81-02-09-2020,,,"ГЭСН 09-01-002
ГЭСН 09-01-003",,,KSI110000628
,,,DDAC,,,,Монтаж металлических каркасов зданий,,ГЭСН 81-02-09-2020,,,ГЭСН 09-01-005,,,KSI110000629
,,,DDAD,,,,Монтаж зданий из металлических конструкций,,ГЭСН 81-02-09-2020,,,ГЭСН 09-01-006,,,KSI110000630
,,,DDAE,,,,Устройство металлических каркасов зданий из оцинкованных профилей,,ГЭСН 81-02-09-2020,,,ГЭСН 09-01-010,,,KSI110000631
,,,DDAF,,,,Монтаж легких металлоконструкций из профильных труб ,,ГЭСН 81-02-09-2020,,,ГЭСН 09-01-015,,,KSI110000632
,,DDB,,,,,"Монтаж бункеров, силосов и резервуаров из металлических конструкций",,ГЭСН 81-02-09-2020,по типу конструкций,,,,,KSI110000633
,,,DDBA,,,,Монтаж бункеров и силосов из металлических конструкций,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-001,,,KSI110000634
,,,DDBB,,,,Защита листовой сталью бункеров,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-002 ,,,KSI110000635
,,,DDBC,,,,Монтаж металлических корпусов конструкций декомпозеров и сгустителей,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-003,,,KSI110000636
,,,DDBD,,,,Монтаж опорных конструкций декомпозеров и сгустителей,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-003,,,KSI110000637
,,,DDBE,,,,Монтаж понтона,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-005 ,,,KSI110000638
,,,DDBF,,,,Монтаж резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-009,,,KSI110000639
,,,DDBG,,,,Монтаж изотермических резервуаров,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-011,,,KSI110000640
,,,DDBH,,,,Монтаж затвора понтона,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-006,,,KSI110000641
,,,DDBJ,,,,Монтаж резервуаров сферических,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-010,,,KSI110000642
,,,DDBK,,,,Монтаж мокрых стальных газгольдеров низкого давления с вертикальными направляющими,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-012,,,KSI110000643
,,,DDBL,,,,Монтаж резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов методом полистовой сборки,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-013,,,KSI110000644
,,,DDBM,,,,Монтаж элементов конструкций резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-014,,,KSI110000645
,,,DDBN,,,,Монтаж металлических элементов резервуаров,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-015,,,KSI110000646
,,DDC,,,,,Монтаж горизонтальных металлических конструкций,,ГЭСН 81-02-09-2020,по типу конструкций,,,,,KSI110000647
,,,DDCA,,,,Резка стального профилированного настила,,ГЭСН 81-02-09-2020,,,ГЭСН 09-05-006,,,KSI110000648
,,,DDCB,,,,Монтаж металлических потолков,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-048,,,KSI110000649
,,,DDCC,,,,Монтаж съемных металлических полов из плит,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-049,,,KSI110000650
,,,DDCD,,,,Монтаж стальных плинтусов из гнутого профиля,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-050,,,KSI110000651
,,,DDCE,,,,Монтаж металлических каркасов подвесных потолков с подвесками и деталями крепления,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-047,,,KSI110000652
,,,DDCF,,,,Монтаж металлических прогонов,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-015,,,KSI110000653
,,,DDCG,,,,Монтаж стропильных и подстропильных ферм,,ГЭСН 81-02-09-2020,,,"ГЭСН 09-03-012
ГЭСН 09-03-014",,,KSI110000654
,,,DDCH,,,,Монтаж опорных плит с обработанной поверхностью,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-001,,,KSI110000655
,,DDD,,,,,Монтаж вертикальных металлических конструкций,,ГЭСН 81-02-09-2020,по типу конструкций,,,,,KSI110000656
,,,DDDA,,,,Монтаж опорных металлических стоек,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-012,,,KSI110000657
,,,DDDB,,,,Монтаж фахверка,,ГЭСН 81-02-09-2020,,,ГЭСН 09-04-006,,,KSI110000658
,,,DDDC,,,,Монтаж металлических ограждающих конструкций стен,,ГЭСН 81-02-09-2020,,,ГЭСН 09-04-006,,,KSI110000659
,,,DDDD,,,,Монтаж металлических кровельного покрытия,,ГЭСН 81-02-09-2020,,,ГЭСН 09-04-002,,,KSI110000660
,,,DDDE,,,,Монтаж щитов покрытий зданий,,ГЭСН 81-02-09-2020,,,ГЭСН 09-04-001,,,KSI110000661
,,,DDDF,,,,Монтаж металлических вертикальных связей в виде ферм,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-013,,,KSI110000662
,,,DDDG,,,,Монтаж металлических колонн одноэтажных и многоэтажных зданий и крановых эстакад,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-002,,,KSI110000663
,,,DDDH,,,,Монтаж металлических перегородок,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-046,,,KSI110000664
,,DDE,,,,,Монтаж металлоконструкций из алюминиевых сплавов,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-016,,,KSI110000665
,,DDF,,,,,Монтаж металлических сооружений,,ГЭСН 81-02-09-2020,по типу конструкций,,,,,KSI110000666
,,,DDFA,,,,Монтаж цехов из металлоконструкций из алюминиевых сплавов,,ГЭСН 81-02-09-2020,,,ГЭСН 09-01-006,,,KSI110000667
,,,DDFB,,,,Монтаж металлических конструкций промышленных печей и сушил,,ГЭСН 81-02-09-2020,,,ГЭСН 09-06-024,,,KSI110000668
,,,DDFC,,,,"Монтаж каркасов вытяжных, вентиляционных и дымовых труб",,ГЭСН 81-02-09-2020,,,ГЭСН 09-06-033,,,KSI110000669
,,,DDFD,,,,"Монтаж стволов вытяжных, вентиляционных и дымовых труб",,ГЭСН 81-02-09-2020,,,ГЭСН 09-06-033,,,KSI110000670
,,,DDFE,,,,Монтаж мостов из металлических конструкций,,ГЭСН 81-02-09-2020,,,ГЭСН 09-06-010,,,KSI110000671
,,,DDFF,,,,Монтаж эстакад из металлических конструкций,,ГЭСН 81-02-09-2020,,,ГЭСН 09-06-010,,,KSI110000672
,,,DDFG,,,,Монтаж станций из металлических конструкций,,ГЭСН 81-02-09-2020,,,ГЭСН 09-06-010,,,KSI110000673
,,,DDFH,,,,Монтаж конструкций электролизеров из металлических конструкций,,ГЭСН 81-02-09-2020,,,ГЭСН 09-06-014,,,KSI110000674
,,,DDFJ,,,,Монтаж металлических каркасов постоянных шахтных копров ,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-023,,,KSI110000675
,,,DDFK,,,,Монтаж металлоконструкций эстакад под технологические трубопроводы,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-019,,,KSI110000676
,,,DDFL,,,,Монтаж пролетных строений галерей с опорами,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-018,,,KSI110000677
,,DDG,,,,,Монтаж подкрановых балок,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-003,,,KSI110000678
,,DDH,,,,,Монтаж каркасов фонарей,,ГЭСН 81-02-09-2020,по типу конструкций,,ГЭСН 09-03-021 ,,,KSI110000679
,,,DDHA,,,,Монтаж зенитных панельных двухскатных глухих фонарей,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-023,,,KSI110000680
,,,DDHB,,,,Монтаж оконных фонарных панелей и покрытий,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-022,,,KSI110000681
,,DDJ,,,,,Монтаж металлических лестниц,,ГЭСН 81-02-09-2020,по виду работ,,,,,KSI110000682
,,,DDJA,,,,"Монтаж щитов встроенных площадок с настилом из листовой стали, ребрами жесткости, составного сечения",,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-031,,,KSI110000683
,,,DDJB,,,,Монтаж лестниц пожарных с ограждением,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-029,,,KSI110000684
,,,DDJC,,,,"Монтаж площадок с настилом и ограждением из листовой, рифленой, просечной и круглой стали",,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-030,,,KSI110000685
,,,DDJD,,,,"Монтаж блоков встроенных площадок с настилом из листовой стали, ребрами жесткости, составного сечения",,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-031,,,KSI110000686
,,DDK,,,,,Монтаж металлических элементов,,ГЭСН 81-02-09-2020,по типу конструкций,,,,,KSI110000687
,,,DDKA,,,,Монтаж защитных ограждений оборудования,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-040,,,KSI110000688
,,,DDKB,,,,Монтаж металлических каркасов,,ГЭСН 81-02-09-2020,,,"ГЭСН 09-01-001
ГЭСН 09-01-002
ГЭСН 09-01-003
ГЭСН 09-01-005
ГЭСН 09-01-010
ГЭСН 09-02-027
ГЭСН 09-03-047
ГЭСН 09-04-011
ГЭСН 09-06-024",,,KSI110000689
,,,DDKC,,,,"Монтаж распорок из одиночных и парных уголков, гнутосварных профилей",,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-014,,,KSI110000690
,,,DDKD,,,,"Монтаж связей из одиночных и парных уголков, гнутосварных профилей",,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-014,,,KSI110000691
,,,DDKE,,,,Монтаж металлоконструкций постаментов под технологическое оборудование,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-043,,,KSI110000692
,,,DDKF,,,,Монтаж арок полигонального и криволинейного очертания из листовой стали и проката,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-038,,,KSI110000693
,,,DDKG,,,,Монтаж металлических рам коробчатого сечения,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-037,,,KSI110000694
,,,DDKH,,,,Монтаж оконных блоков,,ГЭСН 81-02-09-2020,,,ГЭСН 09-04-009,,,KSI110000695
,,,DDKJ,,,,Монтаж витражей,,ГЭСН 81-02-09-2020,,,ГЭСН 09-04-010,,,KSI110000696
,,,DDKK,,,,Монтаж витрин,,ГЭСН 81-02-09-2020,,,ГЭСН 09-04-010,,,KSI110000697
,,,DDKL,,,,Монтаж остекленных панелей фасадов,,ГЭСН 81-02-09-2020,,,ГЭСН 09-04-010,,,KSI110000698
,,,DDKM,,,,Монтаж ограждающих сеток троллеев электровозного вагона и коксовыталкивателя,,ГЭСН 81-02-09-2020,,,ГЭСН 09-06-019,,,KSI110000699
,,DDL,,,,,Монтаж опорных металлических конструкций,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-039,,,KSI110000700
,,DDM,,,,,Монтаж металлических ограждающих конструкций,,ГЭСН 81-02-09-2020,по виду работ,,,,,KSI110000701
,,,DDMA,,,,Монтаж ограждающих конструкций из профилированных алюминиевых листов,,ГЭСН 81-02-09-2020,,,ГЭСН 09-02-028,,,KSI110000702
,,,DDMB,,,,Облицовка ворот стальным профилированным листом,,ГЭСН 81-02-09-2020,,,ГЭСН 09-05-001,,,KSI110000703
,,,DDMC,,,,Монтаж каркасов ворот большепролетных зданий без механизмов открывания,,ГЭСН 81-02-09-2020,,,ГЭСН 09-04-011,,,KSI110000704
,,,DDMD,,,,Установка металлических дверных блоков в готовые проемы,,ГЭСН 81-02-09-2020,,,ГЭСН 09-04-012,,,KSI110000705
,,,DDME,,,,Установка противопожарных дверей,,ГЭСН 81-02-09-2020,,,ГЭСН 09-04-013,,,KSI110000706
,,DDN,,,,,Электродуговая сварка при монтаже,,ГЭСН 81-02-09-2020,,,ГЭСН 09-05-002,,,KSI110000707
,,DDP,,,,,Постановка болтов,,ГЭСН 81-02-09-2020,,,ГЭСН 09-05-003,,,KSI110000708
,,DDQ,,,,,Ультразвуковой контроль качества сварных соединений,,ГЭСН 81-02-09-2020,,,ГЭСН 09-05-004,,,KSI110000709
,,DDR,,,,,Контроль качества сварных соединений,,ГЭСН 81-02-09-2020,,,ГЭСН 09-05-005,,,KSI110000710
,,DDS,,,,,Монтаж путей,,ГЭСН 81-02-09-2020,по виду работ,,,,,KSI110000711
,,,DDSA,,,,Монтаж подкрановых путей,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-005,,,KSI110000712
,,,DDSB,,,,Монтаж монорельсов,,ГЭСН 81-02-09-2020,,,ГЭСН 09-03-006,,,KSI110000713
,,,DDSC,,,,Монтаж конструкций путей,,ГЭСН 81-02-09-2020,,,ГЭСН 09-06-020,,,KSI110000714
,,,DDSD,,,,Монтаж подвесных путей,,ГЭСН 81-02-09-2020,,,"ГЭСН 09-03-006
ГЭСН 09-06-001
ГЭСН 09-06-002",,,KSI110000715
,,DDT,,,,,Монтаж опорных конструкций специального назначения,,ГЭСН 81-02-09-2020,,,"ГЭСН 09-03-039
ГЭСН 09-06-010
ГЭСН 09-03-001",,,KSI110000716
,,DDU,,,,,Монтаж металлоконструкций башенных градирен,,ГЭСН 81-02-09-2020,по виду работ,,ГЭСН 09-06-028,,,KSI110000717
,,,DDUA,,,,Монтаж алюминиевых листов обшивки башенных градирен,,ГЭСН 81-02-09-2020,,,ГЭСН 09-06-029,,,KSI110000718
,,DDV,,,,,Монтаж опор кранов башенного и портального типов,,ГЭСН 81-02-09-2020,по виду работ,,ГЭСН 09-06-033,,,KSI110000719
,,DDW,,,,,Монтаж конструкций облицовок,,ГЭСН 81-02-09-2020,,,"ГЭСН 09-07-001
ГЭСН 09-07-002
ГЭСН 09-07-003
ГЭСН 09-07-004",,,KSI110000720
,,,DDWA,,,,Изготовление конструкций облицовок,,ГЭСН 81-02-09-2020,,,"ГЭСН 09-07-010
ГЭСН 09-07-011
ГЭСН 09-07-012
ГЭСН 09-07-013",,,KSI110000721
,,DDX,,,,,Гидравлическое испытание помещений,,ГЭСН 81-02-09-2020,,,"ГЭСН 09-07-005
ГЭСН 09-07-006",,,KSI110000722
,,DDY,,,,,Установка армооблицованных блоков,,ГЭСН 81-02-09-2020,,,ГЭСН 09-07-020,,,KSI110000723
,,DDZ,,,,,Монтаж средств физической защиты,,ГЭСН 81-02-09-2020,по виду работ,,,,,KSI110000724
,,,DDZA,,,,Установка металлических столбов для устройства средств физической защиты периметра,,ГЭСН 81-02-09-2020,,,ГЭСН 09-08-001,,,KSI110000725
,,,DDZB,,,,Устройство средств физической защиты периметра по металлическим столбам,,ГЭСН 81-02-09-2020,,,ГЭСН 09-08-002,,,KSI110000726
,,,DDZC,,,,Монтаж автоматического дорожного шлагбаума для контроля проезда,,ГЭСН 81-02-09-2020,,,ГЭСН 09-08-003,,,KSI110000727
,,,DDZD,,,,Установка противотаранного барьера Полищука,,ГЭСН 81-02-09-2020,,,ГЭСН 09-08-004,,,KSI110000728
,,,DDZE,,,,Установка и настройка средств принудительной остановки автотранспорта,,ГЭСН 81-02-09-2020,,,ГЭСН 09-08-005,,,KSI110000729
,,,DDZF,,,,Установка бронекабин,,ГЭСН 81-02-09-2020,,,ГЭСН 09-08-006,,,KSI110000730
,DE,,,,,,Устройство деревянных конструкций,,ГЭСН 81-02-10-2020,по типу материала,,,,,KSI110000731
,,DEA,,,,,Устройство деревянных конструкций кровельных покрытий,,ГЭСН 81-02-10-2020,по виду работ,,,,,KSI110000732
,,,DEAA,,,,Сборка деревянных конструкций кровельных покрытий,,ГЭСН 81-02-10-2020,,,ГЭСН 10-01-001,,,KSI110000733
,,,DEAB,,,,Установка деревянных конструкций кровельных покрытий,,ГЭСН 81-02-10-2020,,,ГЭСН 10-01-001,,,KSI110000734
,,,DEAC,,,,Установка деревянных стропил,,ГЭСН 81-02-10-2020,,,ГЭСН 10-01-002,,,KSI110000735
,,,DEAD,,,,Устройство деревянных слуховых окон,,ГЭСН 81-02-10-2020,,,ГЭСН 10-01-003,,,KSI110000736
