Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Подкласс 5,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечание,Синонимы,УИН
,,,AAAD,,,,Рытье траншей,,ГЭСН 81-02-01-2020 ,по виду работ,,"ГЭСН 01-01-055
ГЭСН 01-01-056
ГЭСН 01-01-057
ГЭСН 01-01-058
ГЭСН 01-01-059
ГЭСН 01-01-060
ГЭСН 01-01-061
ГЭСН 01-01-062
ГЭСН 01-01-063
ГЭСН 01-01-064
ГЭСН 01-01-065
ГЭСН 01-01-066
ГЭСН 01-01-067
ГЭСН 01-01-068
ГЭСН 01-01-069
ГЭСН 01-01-070
ГЭСН 01-01-071
ГЭСН 01-01-072
ГЭСН 01-01-073
ГЭСН 01-01-074
ГЭСН 01-01-075
ГЭСН 01-01-076
ГЭСН 01-01-077
ГЭСН 01-01-078
ГЭСН 01-01-079
ГЭСН 01-01-080
ГЭСН 01-01-081",,,KSI110000027
,,,,AAADA,,,Рытье траншей в вечномерзлых грунтах,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-053 
ГЭСН 01-03-054
ГЭСН 01-03-055
ГЭСН 01-03-056
ГЭСН 01-03-057
ГЭСН 01-03-058
ГЭСН 01-03-059
ГЭСН 01-03-060
ГЭСН 01-03-061
ГЭСН 01-03-062
ГЭСН 01-03-063
ГЭСН 01-03-064
ГЭСН 01-03-065",,,KSI110000028
,,,,AAADB,,,Разработка траншей в вечномерзлых грунтах с разравниванием и уплотнением грунта,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-066 
ГЭСН 01-03-0667",,,KSI110000029
,,,,AAADC,,,Рыхление траншей в вечномерзлых грунтах с разравниванием и уплотнением грунта,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-066 
ГЭСН 01-03-0667",,,KSI110000030
,,,AAAE,,,,Укрепление откосов,,ГЭСН 81-02-01-2020 ,по виду работ,,"ГЭСН 01-01-050
ГЭСН 01-02-040 
ГЭСН 01-02-042",,,KSI110000031
,,,,AAAEA,,,Укрепление откосов насыпных сооружений,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-02-035
ГЭСН 01-02-036
ГЭСН 01-02-037
ГЭСН 01-02-038
ГЭСН 01-01-053 ",,,KSI110000032
,,,,AAAEB,,,Укрепление откосов путепроводов,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-02-035
ГЭСН 01-02-036
ГЭСН 01-02-037
ГЭСН 01-02-038
ГЭСН 01-01-053 ",,,KSI110000033
,,,,AAAEC,,,Укрепление откосов конусов мостов,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-02-035
ГЭСН 01-02-036
ГЭСН 01-02-037
ГЭСН 01-02-038
ГЭСН 01-01-053 ",,,KSI110000034
,,,,AAAED,,,Укрепление бровки откосов земляных сооружений,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-039,,,KSI110000035
,,,,AAAEE,,,Полив посевов трав водой,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-040,,,KSI110000036
,,,,AAAEF,,,"Мощение откосов насыпи, дна и откосов кюветов",,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-043,,,KSI110000037
,,,,AAAEG,,,Устройство каменной наброски или призмы,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-044,,,KSI110000038
,,,,AAAEH,,,Устройство упоров при укреплении откосов,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-02-047
ГЭСН 01-02-045",,,KSI110000039
,,,,AAAEJ,,,"Укрепление нагорных и водоотводных канав, кюветов",,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-048,,,KSI110000040
,,,,AAAEK,,,Устройство оголовков при укреплении откосов,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-049,,,KSI110000041
,,,AAAF,,,,Устройство полок в вечномерзлых грунтах,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-068
ГЭСН 01-03-0689 ",,,KSI110000042
,,,AAAG,,,,Засыпка траншей,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-055
ГЭСН 01-01-056
ГЭСН 01-01-057
ГЭСН 01-01-058
ГЭСН 01-01-059
ГЭСН 01-01-060
ГЭСН 01-01-061
ГЭСН 01-01-062
ГЭСН 01-01-063
ГЭСН 01-01-064
ГЭСН 01-01-065
ГЭСН 01-01-066
ГЭСН 01-01-067
ГЭСН 01-01-068
ГЭСН 01-01-069
ГЭСН 01-01-070
ГЭСН 01-01-071
ГЭСН 01-01-072
ГЭСН 01-01-073
ГЭСН 01-01-074
ГЭСН 01-01-075
ГЭСН 01-01-076
ГЭСН 01-01-077
ГЭСН 01-01-083
ГЭСН 01-01-087",,,KSI110000043
,,,,AAAGA,,,Засыпка траншей в вечномерзлых грунтах,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-077,,,KSI110000044
,,,AAAH,,,,Засыпка котлованов ,,ГЭСН 81-02-01-2020 ,по виду работ,,"ГЭСН 01-01-033
ГЭСН 01-01-034
ГЭСН 01-01-035
ГЭСН 01-01-037
ГЭСН 01-01-087",,,KSI110000045
,,,,AAAHA,,,Засыпка котлованов в вечномерзлых грунтах,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-077,,,KSI110000046
,,,AAAJ,,,,Планировка площадей,,ГЭСН 81-02-01-2020 ,по виду работ,,,,,KSI110000047
,,,,AAAJA,,,Планировка площадей в вечномерзлых грунтах,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-02-082,,,KSI110000048
,,,,AAAJB,,,"Планировка дна и откосов выемки, гребня и откосов насыпи",,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-108,,,KSI110000049
,,,,AAAJC,,,Планировка орошаемых площадей,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-112
ГЭСН 01-01-113
ГЭСН 01-01-114
ГЭСН 01-01-115",,,KSI110000050
,,,,AAAJD,,,Выравнивание поверхности поливного участка,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-116,,,KSI110000051
,,,,AAAJE,,,Планировка рисовых чеков площадью до 10 га с устройством валиков,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-118
ГЭСН 01-01-119
ГЭСН 01-01-120
ГЭСН 01-01-121",,,KSI110000052
,,,AAAK,,,,Содержание грунтовых землевозных дорог,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-015
ГЭСН 01-03-014",,,KSI110000053
,,,AAAL,,,,Ремонт грунтовых землевозных дорог,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-015
ГЭСН 01-03-014",,,KSI110000054
,,,AAAM,,,,Работа на отвале,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-03-015
ГЭСН 01-01-016 ",,,KSI110000055
,,,AAAN,,,,Разработка канав,,ГЭСН 81-02-01-2020 ,по виду работ,,ГЭСН 01-01-048,,,KSI110000056
,,,,AAANA,,,Рыхление продольных водоотводных и нагорных канав,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-03-046,,,KSI110000057
,,,,AAANB,,,Разработка продольных водоотводных и нагорных канав,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-03-046 ,,,KSI110000058
,,,AAAP,,,,Транспортировка грунта,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-146
ГЭСН 01-01-147 ",,,KSI110000059
,,,AAAQ,,,,Вспомогательные работы при разработке и укладке грунта гидромониторно-насосно-землесосными установками,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-149,,,KSI110000060
,,,AAAR,,,,Укладка трубопроводов из стальных толстостенных труб при разработке грунта методом гидромеханизации,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-151
ГЭСН 01-01-152
ГЭСН 01-01-153
ГЭСН 01-01-154
ГЭСН 01-01-155",,,KSI110000061
,,,AAAS,,,,Устройство дренажа,,ГЭСН 81-02-01-2020 ,по виду работ,,"ГЭСН 01-01-129
ГЭСН 01-01-130
ГЭСН 01-01-131
ГЭСН 01-01-132
ГЭСН 01-01-133
ГЭСН 01-01-134
ГЭСН 01-01-135
ГЭСН 01-01-136
ГЭСН 01-01-137",,,KSI110000062
,,,,AAASA,,,Очистка каналов,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-096 
ГЭСН 01-01-097",,,KSI110000063
,,,,AAASB,,,Разравнивание кавальеров,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-106 ,,,KSI110000064
,,,,AAASC,,,Устройство временных оросителей канавокопателями,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-107,,,KSI110000065
,,,,AAASD,,,Открытие и закрытие кулис,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-122 ,,,KSI110000066
,,,,AAASE,,,Устройство траншей под закрытый дренаж,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-123 
ГЭСН 01-01-124",,,KSI110000067
,,,,AAASF,,,Уплотнение откосов каналов,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-125 ,,,KSI110000068
,,,,AAASG,,,"Уплотнение грунта, отсыпаемого в дамбы и плотины",,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-125 ,,,KSI110000069
,,,,AAASH,,,Перемещение грунта,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-126 ,,,KSI110000070
,,,,AAASJ,,,Устройство закрытого дренажа вручную из керамических труб,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-129 ,,,KSI110000071
,,,,AAASK,,,Устройство закрытого дренажа механизированным способом,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-133 ,,,KSI110000072
,,,,AAASL,,,Устройство кротового дренажа,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-136 
ГЭСН 01-01-137",,,KSI110000073
,,,,AAASM,,,Глубокое рыхление дренируемых земель,,ГЭСН 81-02-01-2020 ,,,ГЭСН 01-01-138 ,,,KSI110000074
,,,,AAASN,,,Устройство земляных подушек,,ГЭСН 81-02-01-2020 ,,,"ГЭСН 01-01-103 
ГЭСН 01-01-104
ГЭСН 01-01-105",,,KSI110000075
