Класс,Подкласс 1,Подкласс 2,Подкласс 3,Подкласс 4,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания,Синонимы,УИН
A,,,,,,Земляные работы при производстве процесса капитального ремонта,,ГЭСНр 81-02-51-2020 ,По виду работ,,,,,KSI140000002
,AA,,,,,Разработка грунта вручную при производстве процесса капитального ремонта,,ГЭСНр 81-02-51-2020,По виду работ,,"ГЭСНр 51-1 
ГЭСНр 51-2",,,KSI140000003
,,AAA,,,,Разработка грунта вручную,,ГЭСНр 81-02-51-2020,,,,,,KSI140000004
,,AAB,,,,Устройство креплений откосов,,ГЭСНр 81-02-51-2020,,,,,,KSI140000005
,,AAC,,,,Разборка креплений откосов,,ГЭСНр 81-02-51-2020,,,,,,KSI140000006
,,AAD,,,,Обратная засыпка грунта с трамбованием ручными трамбовками,,ГЭСНр 81-02-51-2020,,,,,,KSI140000007
,,AAE,,,,Удаление лишнего грунта,,ГЭСНр 81-02-51-2020,,,,,,KSI140000008
,,AAF,,,,Устройство ходов для ручных тележек,,ГЭСНр 81-02-51-2020,,,,,,KSI140000009
,,AAG,,,,Обратная засыпка грунта,,ГЭСНр 81-02-51-2020,,,,,,KSI140000010
,AB,,,,,Изменение уровня пола в здании,,ГЭСНр 81-02-51-2020,По виду работ,,ГЭСНр 51-3,,,KSI140000011
,,ABA,,,,Перекидка грунта,,ГЭСНр 81-02-51-2020,,,,,,KSI140000012
,,ABB,,,,Перемещение грунта,,ГЭСНр 81-02-51-2020,,,,,,KSI140000013
,,ABC,,,,Планировка поверхности,,ГЭСНр 81-02-51-2020,,,,,,KSI140000014
,,ABD,,,,Трамбование грунта ручными трамбовками,,ГЭСНр 81-02-51-2020,,,,,,KSI140000015
,,ABE,,,,Устройство ходов для ручных тележек при изменении уровня пола в здании,,ГЭСНр 81-02-51-2020,,,,,,KSI140000016
,AC,,,,,Рытье ям для установки стоек и столбов,,ГЭСНр 81-02-51-2020,По виду работ,,ГЭСНр 51-4,,,KSI140000017
,,ACA,,,,Разработка грунта вручную при рытье ям,,ГЭСНр 81-02-51-2020,,,,,,KSI140000018
,,ACB,,,,Обратная засыпка при рытье ям,,ГЭСНр 81-02-51-2020,,,,,,KSI140000019
,,ACC,,,,Перекидка излишнего грунта при рытье ям,,ГЭСНр 81-02-51-2020,,,,,,KSI140000020
,AD,,,,,Механизированная разработка грунта в стесненных условиях,,ГЭСНр 81-02-51-2020,По способу производства работ,,ГЭСНр 51-5,,,KSI140000021
,,ADA,,,,Механизированная разработка грунта,,ГЭСНр 81-02-51-2020,,,,,,KSI140000022
,,ADB,,,,Обратная засыпка котлованов при механизированной разработке грунта,,ГЭСНр 81-02-51-2020,,,,,,KSI140000023
,,ADC,,,,Перекидка излишнего грунта при механизированной разработке грунта,,ГЭСНр 81-02-51-2020,,,,,,KSI140000024
,,ADD,,,,Погрузка в автомобиль-самосвал излишнего грунта при механизированной разработке грунта,,ГЭСНр 81-02-51-2020,,,,,,KSI140000025
,AE,,,,,Погрузка грунта вручную в автомобили-самосвалы с выгрузкой,,ГЭСНр 81-02-51-2020,По виду работ,,ГЭСНр 51-6,,,KSI140000026
,,AEA,,,,Погрузка грунта с выгрузкой и очисткой кузова,,ГЭСНр 81-02-51-2020,,,,,,KSI140000027
B,,,,,,Капитальный ремонт конструкций ОКС,,ГЭСНр 81-02-51-2020,По виду работ,,,,,KSI140000028
,BA,,,,,Капитальный ремонт фундаментов,,ГЭСНр 81-02-52-2020,По виду работ,,,,,KSI140000029
,,BAA,,,,Усиление фундаментов при капитальном ремонте,,ГЭСНр 81-02-52-2020,По виду работ ,,"ГЭСНр 52-1
ГЭСНр 52-2",,,KSI140000030
,,,BAAA,,,Очистка поверхности фундамента,,ГЭСНр 81-02-52-2020,,,,,,KSI140000031
,,,BAAB,,,Подготовка поверхности фундамента,,ГЭСНр 81-02-52-2020,,,,,,KSI140000032
,,,BAAC,,,Торкретирование поверхности фундамента,,ГЭСНр 81-02-52-2020,,,,,,KSI140000033
,,,BAAD,,,Уход за нанесенным слоем,,ГЭСНр 81-02-52-2020,,,,,,KSI140000034
,,,BAAE,,,Сверление отверстий в фундаменте с установкой трубок,,ГЭСНр 81-02-52-2020,,,,,,KSI140000035
,,,BAAF,,,Заделка зазоров между трубками и поверхностью кладки цементным раствором,,ГЭСНр 81-02-52-2020,,,,,,KSI140000036
,,,BAAG,,,Нагнетание раствора через трубки в кладку фундамента с загрузкой смеси в растворонагнетатель,,ГЭСНр 81-02-52-2020,,,,,,KSI140000037
,,BAB,,,,Устройство изоляционного слоя в цоколе существующих зданий при капитальном ремонте,,ГЭСНр 81-02-52-2020,По виду работ ,,ГЭСНр 52-3,,,KSI140000038
,,,BABA,,,Пробивка борозд на половину толщины стены с одной стороны,,ГЭСНр 81-02-52-2020,,,,,,KSI140000039
,,,BABB,,,Выравнивание поверхности цементным раствором,,ГЭСНр 81-02-52-2020,,,,,,KSI140000040
,,,BABC,,,Прокладка первого слоя изоляционного материала с отгибанием концов,,ГЭСНр 81-02-52-2020,,,,,,KSI140000041
,,,BABD,,,Тщательная заделка борозды кирпичом на растворе,,ГЭСНр 81-02-52-2020,,,,,,KSI140000042
,,,BABE,,,Пробивка борозд с другой стороны стены с выравниванием поверхности раствором,,ГЭСНр 81-02-52-2020,,,,,,KSI140000043
,,,BABF,,,Отгибание концов первого слоя изоляционного материала,,ГЭСНр 81-02-52-2020,,,,,,KSI140000044
,,,BABG,,,Укладка второго (внахлестку),,ГЭСНр 81-02-52-2020,,,,,,KSI140000045
,,BAC,,,,Устройство кирпичного цоколя существующих зданий при капитальном ремонте,,ГЭСНр 81-02-52-2020,По виду работ ,,ГЭСНр 52-4 ,,,KSI140000046
,,,BACA,,,Копание канавки под цоколь,,ГЭСНр 81-02-52-2020,,,,,,KSI140000047
,,,BACB,,,Устройство щебеночного основания,,ГЭСНр 81-02-52-2020,,,,,,KSI140000048
,,,BACC,,,Кладка цоколя с устройством продухов,,ГЭСНр 81-02-52-2020,,,,,,KSI140000049
,,,BACD,,,Обмазка поверхности цоколя битумной мастикой с одной стороны,,ГЭСНр 81-02-52-2020,,,,,,KSI140000050
,,,BACE,,,Обратная засыпка канавки,,ГЭСНр 81-02-52-2020,,,,,,KSI140000051
,,BAD,,,,Устройство кирпичных столбчатых фундаментов при капитальном ремонте,,ГЭСНр 81-02-52-2020,По виду работ ,,ГЭСНр 52-5,,,KSI140000052
,,,BADA,,,Кладка кирпичных столбчатых фундаментов,,ГЭСНр 81-02-52-2020,,,,,,KSI140000053
,,BAE,,,,Устройство осадочного шва из просмоленных досок для сопряжения существующих и пристраиваемых фундаментов,,ГЭСНр 81-02-52-2020,По виду работ ,,ГЭСНр 52-6 ,,,KSI140000054
,,,BAEA,,,Поперечное перепиливание досок,,ГЭСНр 81-02-52-2020,,,,,,KSI140000055
,,,BAEB,,,Окорка досок,,ГЭСНр 81-02-52-2020,,,,,,KSI140000056
,,,BAEC,,,Изготовление щитов со сборкой на гвоздях,,ГЭСНр 81-02-52-2020,,,,,,KSI140000057
,,,BAED,,,Обработка щитов мастикой с обшивкой рубероидом,,ГЭСНр 81-02-52-2020,,,,,,KSI140000058
,,,BAEE,,,Установка щитов по месту,,ГЭСНр 81-02-52-2020,,,,,,KSI140000059
,,BAF,,,,"Подводка, смена, ремонт и уширение фундаментов",,ГЭСНр 81-02-52-2020,По виду работ ,,ГЭСНр 52-7,,,KSI140000060
,,,BAFA,,,Разборка негодной части фундамента,,ГЭСНр 81-02-52-2020,,,,,,KSI140000061
,,,BAFB,,,Разборка негодной части стены,,ГЭСНр 81-02-52-2020,,,,,,KSI140000062
,,,BAFC,,,Пробивка отверстий в фундаментах,,ГЭСНр 81-02-52-2020,,,,,,KSI140000063
,,,BAFD,,,Заделка отверстий кирпичом,,ГЭСНр 81-02-52-2020,,,,,,KSI140000064
,,,BAFE,,,Заготовка двутавровых балок для усиления фундаментов,,ГЭСНр 81-02-52-2020,,,,,,KSI140000065
,,,BAFF,,,Установка двутавровых балок для усиления фундаментов,,ГЭСНр 81-02-52-2020,,,,,,KSI140000066
,,,BAFG,,,Устройство щебеночного основания толщиной 15 см под новые фундаменты,,ГЭСНр 81-02-52-2020,,,,,,KSI140000067
,,,BAFH,,,Кладка фундаментов из кирпича или камня с перевязкой со старой кладкой,,ГЭСНр 81-02-52-2020,,,,,,KSI140000068
,,,BAFJ,,,Подъем блоков,,ГЭСНр 81-02-52-2020,,,,,,KSI140000069
,,,BAFK,,,Установка блоков,,ГЭСНр 81-02-52-2020,,,,,,KSI140000070
,,,BAFL,,,Заливка швов блоков,,ГЭСНр 81-02-52-2020,,,,,,KSI140000071
,,,BAFM,,,Заделка стыков,,ГЭСНр 81-02-52-2020,,,,,,KSI140000072
,,,BAFN,,,Устройство горизонтальной изоляции рулонными материалами в два слоя,,ГЭСНр 81-02-52-2020,,,,,,KSI140000073
,,BAG,,,,Замена деревянных стульев (свай),,ГЭСНр 81-02-52-2020,По виду работ ,,"ГЭСНр 52-8 
ГЭСНр 52-9",,,KSI140000074
,,,BAGA,,,Выкапывание стульев (свай) с постановкой временных опор и разгрузочных креплений,,ГЭСНр 81-02-52-2020,,,,,,KSI140000075
,,,BAGB,,,Устройство песчаного основания для устройства стульев (свай),,ГЭСНр 81-02-52-2020,,,,,,KSI140000076
,,,BAGC,,,Постановка деревянных стульев (свай) с заготовкой,,ГЭСНр 81-02-52-2020,,,,,,KSI140000077
,,,BAGD,,,Обратная засыпка фундаментов с трамбованием грунта вручную,,ГЭСНр 81-02-52-2020,,,,,,KSI140000078
,,,BAGE,,,Разборка временных опор и разгрузочных креплений,,ГЭСНр 81-02-52-2020,,,,,,KSI140000079
,,,BAGF,,,Устройство монолитных бетонных столбов с установкой и разборкой опалубки,,ГЭСНр 81-02-52-2020,,,,,,KSI140000080
,,,BAGG,,,Установка сборных бетонных или железобетонных конструкций,,ГЭСНр 81-02-52-2020,,,,,,KSI140000081
,,,BAGH,,,Кладка столбов из кирпича,,ГЭСНр 81-02-52-2020,,,,,,KSI140000082
,,BAH,,,,Смена забирки и обшивки деревянного засыпного цоколя,,ГЭСНр 81-02-52-2020,По виду работ,,ГЭСНр 52-10,,,KSI140000083
,,,BAHA,,,Разборка забирки цоколя,,ГЭСНр 81-02-52-2020,,,,,,KSI140000084
,,,BAHB,,,Устройство цоколя вновь из досок с продухами и заглушками с осмолкой нижней части забирки,,ГЭСНр 81-02-52-2020,,,,,,KSI140000085
,,,BAHC,,,Разборка отливной доски,,ГЭСНр 81-02-52-2020,,,,,,KSI140000086
,,,BAHD,,,Восстановление отливной доски,,ГЭСНр 81-02-52-2020,,,,,,KSI140000087
,,,BAHE,,,Разборка обшивки с осмолкой нижней части,,ГЭСНр 81-02-52-2020,,,,,,KSI140000088
,,,BAHF,,,Восстановление обшивки с осмолкой нижней части,,ГЭСНр 81-02-52-2020,,,,,,KSI140000089
,,,BAHG,,,Ремонт продухов и заглушек (при необходимости),,ГЭСНр 81-02-52-2020,,,,,,KSI140000090
,,,BAHH,,,Смена утепляющей засыпки,,ГЭСНр 81-02-52-2020,,,,,,KSI140000091
,,BAJ,,,,Устройство водоотлива из подвала,,ГЭСНр 81-02-52-2020,По виду работ,,ГЭСНр 52-11 ,,,KSI140000092
,,,BAJA,,,Вычерпывание воды ведрами с выноской,,ГЭСНр 81-02-52-2020,,,,,,KSI140000093
,,,BAJB,,,Установка насоса с прокладкой шлангов и устройством водостоков,,ГЭСНр 81-02-52-2020,,,,,,KSI140000094
,,,BAJC,,,Передвижка насоса с прокладкой шлангов и устройством водостоков,,ГЭСНр 81-02-52-2020,,,,,,KSI140000095
,,,BAJD,,,Откачка воды насосом,,ГЭСНр 81-02-52-2020,,,,,,KSI140000096
,,BAK,,,,Устройство прижимной стенки толщиной 1/2 кирпича при ремонте фундаментов,,ГЭСНр 81-02-52-2020,По виду работ,,ГЭСНр 52-12 ,,,KSI140000097
,,,BAKA,,,Очистка поверхности фундамента. при устройстве прижимной стенки,,ГЭСНр 81-02-52-2020,,,,,,KSI140000098
,,,BAKB,,,Устройство каркаса,,ГЭСНр 81-02-52-2020,,,,,,KSI140000099
,,,BAKC,,,"Кладка кирпичной прижимной стенки толщиной 0,5 кирпича",,ГЭСНр 81-02-52-2020,,,,,,KSI140000100
,,BAL,,,,Ремонт оклеечной гидроизоляции подвалов,,ГЭСНр 81-02-52-2020,По виду работ,,ГЭСНр 52-13,,,KSI140000101
,,,BALA,,,Очистка изолируемой поверхности,,ГЭСНр 81-02-52-2020,,,,,,KSI140000102
,,,BALB,,,Нарезка изоляционного материала по размеру,,ГЭСНр 81-02-52-2020,,,,,,KSI140000103
,,,BALC,,,Наклейка изоляционного материала,,ГЭСНр 81-02-52-2020,,,,,,KSI140000104
,,,BALD,,,Промазка концов изоляционного материала мастикой,,ГЭСНр 81-02-52-2020,,,,,,KSI140000105
,,,BALE,,,Расчистка швов перед устройством гидроизоляцией,,ГЭСНр 81-02-52-2020,,,,,,KSI140000106
,,,BALF,,,Заделка швов гидроизоляции,,ГЭСНр 81-02-52-2020,,,,,,KSI140000107
,,BAM,,,,Ремонт обмазочной изоляции фундаментов,,ГЭСНр 81-02-52-2020,По виду работ,,ГЭСНр 52-14,,,KSI140000108
,,,BAMA,,,Очистка изолируемой поверхности при ремонте обмазочной изоляции,,ГЭСНр 81-02-52-2020,,,,,,KSI140000109
,,,BAMB,,,Ремонт гидроизоляции,,ГЭСНр 81-02-52-2020,,,,,,KSI140000110
,,BAN,,,,Герметизация вводов в подвальное помещение,,ГЭСНр 81-02-52-2020,По виду работ,,ГЭСНр 52-15,,,KSI140000111
,,,BANA,,,Очистка поверхности вводов от загрязнений,,ГЭСНр 81-02-52-2020,,,,,,KSI140000112
,,,BANB,,,Обезжиривание поверхности вводов,,ГЭСНр 81-02-52-2020,,,,,,KSI140000113
,,,BANC,,,"Герметизация ввода паклей, пропитанной раствором, с уплотнением",,ГЭСНр 81-02-52-2020,,,,,,KSI140000114
,,,BAND,,,Гидроизоляция уплотнения,,ГЭСНр 81-02-52-2020,,,,,,KSI140000115
,,BAP,,,,Заделка подвальных окон,,ГЭСНр 81-02-52-2020,По виду работ,,ГЭСНр 52-16,,,KSI140000116
,,,BAPA,,,Очистка оконного проема,,ГЭСНр 81-02-52-2020,,,,,,KSI140000117
,,,BAPB,,,Раскрой фанеры для заделки окон,,ГЭСНр 81-02-52-2020,,,,,,KSI140000118
,,,BAPC,,,Заделка окна,,ГЭСНр 81-02-52-2020,,,,,,KSI140000119
,,,BAPD,,,Раскрой железа для заделки окон,,ГЭСНр 81-02-52-2020,,,,,,KSI140000120
,BB,,,,,Капитальный ремонт стен,,ГЭСНр 81-02-53-2020,По виду работ,,,,,KSI140000121
,,BBA,,,,Разборка деревянных стен,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-1,,,KSI140000122
,,,BBAA,,,Разборка дощатой обшивки стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000123
,,,BBAB,,,Разборка элементов каркаса,,ГЭСНр 81-02-53-2020,,,,,,KSI140000124
,,,BBAC,,,Удаление засыпного утеплителя,,ГЭСНр 81-02-53-2020,,,,,,KSI140000125
,,,BBAD,,,Разборка бревенчатых или брусчатых стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000126
,,BBB,,,,Прорезка проемов в стенах и перегородках,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-3 ,,,KSI140000127
,,,BBBA,,,Разметка проема,,ГЭСНр 81-02-53-2020,,,,,,KSI140000128
,,,BBBB,,,Прорезка проема,,ГЭСНр 81-02-53-2020,,,,,,KSI140000129
,,,BBBC,,,Обделка проема колодой или коробкой,,ГЭСНр 81-02-53-2020,,,,,,KSI140000130
,,BBC,,,,Заделка проемов в деревянных стенах и перегородках,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-4,,,KSI140000131
,,,BBCA,,,Снятие колод для заделки проемов в деревянных стенах и перегородках,,ГЭСНр 81-02-53-2020,,,,,,KSI140000132
,,,BBCB,,,"Заготовка бревен, брусьев с выделкой сопряжений",,ГЭСНр 81-02-53-2020,,,,,,KSI140000133
,,,BBCC,,,Заделка проемов (в деревянных стенах и перегородках),,ГЭСНр 81-02-53-2020,,,,,,KSI140000134
,,,BBCD,,,Снятие наличников для заделки проемов в деревянных стенах и перегородках,,ГЭСНр 81-02-53-2020,,,,,,KSI140000135
,,,BBCE,,,Снятие коробок для заделки проемов в деревянных стенах и перегородках,,ГЭСНр 81-02-53-2020,,,,,,KSI140000136
,,BBD,,,,Ремонт каркасных стен,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-5,,,KSI140000137
,,,BBDA,,,Разборка чистой обшивки,,ГЭСНр 81-02-53-2020,,,,,,KSI140000138
,,,BBDB,,,Восстановление чистой обшивки,,ГЭСНр 81-02-53-2020,,,,,,KSI140000139
,,,BBDC,,,"Смена части или целого элемента обвязки, стоек или подкосов с устройством сопряжений",,ГЭСНр 81-02-53-2020,,,,,,KSI140000140
,,,BBDD,,,Осмолка нижней обвязки стоек или подкосов,,ГЭСНр 81-02-53-2020,,,,,,KSI140000141
,,,BBDE,,,Осмолка нижней части стоек или подкосов,,ГЭСНр 81-02-53-2020,,,,,,KSI140000142
,,BBE,,,,Добавление утепляющей засыпки при капитальном ремонте стен,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-6 ,,,KSI140000143
,,,BBEA,,,Добавление утепляющей засыпки с послойным трамбованием в стены или перегородки с подготовкой засыпки,,ГЭСНр 81-02-53-2020,,,,,,KSI140000144
,,,BBEB,,,Снятие досок обшивки,,ГЭСНр 81-02-53-2020,,,,,,KSI140000145
,,,BBEC,,,Обратная пришивка досок обшивки,,ГЭСНр 81-02-53-2020,,,,,,KSI140000146
,,BBF,,,,Смена досок чистой обшивки стен,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-7,,,KSI140000147
,,,BBFA,,,Удаление поврежденных досок,,ГЭСНр 81-02-53-2020,,,,,,KSI140000148
,,,BBFB,,,"Заготовка досок, с острожкой с одной стороны, стеской двух кромок",,ГЭСНр 81-02-53-2020,,,,,,KSI140000149
,,,BBFC,,,Пришивка досок,,ГЭСНр 81-02-53-2020,,,,,,KSI140000150
,,BBG,,,,Устройство второй обшивки из досок с засыпкой утеплителем,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-8,,,KSI140000151
,,,BBGA,,,Прибивка брусков каркаса,,ГЭСНр 81-02-53-2020,,,,,,KSI140000152
,,,BBGB,,,Обшивка каркаса строганными досками,,ГЭСНр 81-02-53-2020,,,,,,KSI140000153
,,,BBGC,,,Засыпка утеплителя с трамбованием,,ГЭСНр 81-02-53-2020,,,,,,KSI140000154
,,BBH,,,,Смена венцов в стенах,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-9 ,,,KSI140000155
,,,BBHA,,,Расшивка венцов досками,,ГЭСНр 81-02-53-2020,,,,,,KSI140000156
,,,BBHB,,,Крепление подкосами вышележащих венцов (или частей) при смене верхнего венца,,ГЭСНр 81-02-53-2020,,,,,,KSI140000157
,,,BBHC,,,Постановка стоек под балки при смене верхнего венца,,ГЭСНр 81-02-53-2020,,,,,,KSI140000158
,,,BBHD,,,Удаление негодного венца или его части,,ГЭСНр 81-02-53-2020,,,,,,KSI140000159
,,,BBHE,,,Заготовка нового венца или его части с изготовлением сопряжений в узлах и подмене,,ГЭСНр 81-02-53-2020,,,,,,KSI140000160
,,,BBHF,,,Осмолка нижней поверхности венца,,ГЭСНр 81-02-53-2020,,,,,,KSI140000161
,,,BBHG,,,Прокладка рубероида при смене венцов в стенах,,ГЭСНр 81-02-53-2020,,,,,,KSI140000162
,,,BBHH,,,Подгонка венца на место,,ГЭСНр 81-02-53-2020,,,,,,KSI140000163
,,,BBHJ,,,Укладка венца на место с прокладкой пакли и конопаткой,,ГЭСНр 81-02-53-2020,,,,,,KSI140000164
,,,BBHK,,,Освобождение вышележащих венцов от креплений и досок расшивки,,ГЭСНр 81-02-53-2020,,,,,,KSI140000165
,,,BBHL,,,Установка подмостей или лесов при смене венцов в стенах,,ГЭСНр 81-02-53-2020,,,,,,KSI140000166
,,BBJ,,,,Подъем рубленых стен домкратом,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-10,,,KSI140000167
,,,BBJA,,,Подготовка места для домкрата,,ГЭСНр 81-02-53-2020,,,,,,KSI140000168
,,,BBJB,,,Установка домкрата с проверкой его действия,,ГЭСНр 81-02-53-2020,,,,,,KSI140000169
,,,BBJC,,,Подъем стен домкратом на необходимую высоту с перестановкой домкрата,,ГЭСНр 81-02-53-2020,,,,,,KSI140000170
,,,BBJD,,,Закрепление положения подъема временными креплениями,,ГЭСНр 81-02-53-2020,,,,,,KSI140000171
,,,BBJE,,,Разборка временных креплений,,ГЭСНр 81-02-53-2020,,,,,,KSI140000172
,,,BBJF,,,Опускание домкрата,,ГЭСНр 81-02-53-2020,,,,,,KSI140000173
,,BBK,,,,Ремонт конопатки стен,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-11 ,,,KSI140000174
,,,BBKA,,,Расчистка шва для ремонта конопатки стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000175
,,,BBKB,,,Конопатка шва с добавлением пакли,,ГЭСНр 81-02-53-2020,,,,,,KSI140000176
,,BBL,,,,Укрепление деревянных стен при капитальном ремонте,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-12,,,KSI140000177
,,,BBLA,,,Разметка отверстий для болтов при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000178
,,,BBLB,,,Заготовка элементов для сжимов при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000179
,,,BBLC,,,Подтеска горбин в венцах при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000180
,,,BBLD,,,Установка временных подпорок при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000181
,,,BBLE,,,Проолифливание болтов при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000182
,,,BBLF,,,Подгонка болтов при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000183
,,,BBLG,,,Подтягивание стен болтами при укреплении,,ГЭСНр 81-02-53-2020,,,,,,KSI140000184
,,,BBLH,,,Защита болтов от промерзания при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000185
,,,BBLJ,,,Заготовка столбиков для укрепления деревянных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000186
,,,BBLK,,,Заготовка подкосов для укрепления деревянных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000187
,,,BBLL,,,Установка столбиков с рытьем и засыпкой ям при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000188
,,,BBLM,,,Установка столбиков засыпкой ям при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000189
,,,BBLN,,,Установка подкосов при укреплении деревянных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000190
,,BBM,,,,Облицовка откосов проемов кирпичом при толщине заделки в 1/4 кирпича,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-13,,,KSI140000191
,,,BBMA,,,Разборка кирпичной кладки вручную,,ГЭСНр 81-02-53-2020,,,,,,KSI140000192
,,,BBMB,,,Расчистка разобранных мест водой,,ГЭСНр 81-02-53-2020,,,,,,KSI140000193
,,,BBMC,,,Промывка разобранных мест водой,,ГЭСНр 81-02-53-2020,,,,,,KSI140000194
,,,BBMD,,,Облицовка откосов проемов кирпичом,,ГЭСНр 81-02-53-2020,,,,,,KSI140000195
,,,BBME,,,Очистка поверхности облицовки от раствора,,ГЭСНр 81-02-53-2020,,,,,,KSI140000196
,,,BBMF,,,Отеска неровностей и выступов,,ГЭСНр 81-02-53-2020,,,,,,KSI140000197
,,BBN,,,,Заделка трещин в кирпичных стенах,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-14 ,,,KSI140000198
,,,BBNA,,,Расчистка поврежденных мест водой,,ГЭСНр 81-02-53-2020,,,,,,KSI140000199
,,,BBNB,,,Промывка поврежденных мест водой,,ГЭСНр 81-02-53-2020,,,,,,KSI140000200
,,,BBNC,,,Заделка трещин цементным раствором,,ГЭСНр 81-02-53-2020,,,,,,KSI140000201
,,,BBND,,,Очистка поверхности стен от раствора при заделке трещин,,ГЭСНр 81-02-53-2020,,,,,,KSI140000202
,,,BBNE,,,Разборка кирпичной кладки вдоль трещин,,ГЭСНр 81-02-53-2020,,,,,,KSI140000203
,,,BBNF,,,Заделка кирпичом с очисткой поверхности стен от раствора,,ГЭСНр 81-02-53-2020,,,,,,KSI140000204
,,,BBNG,,,Торкретирование стен,,,,,,,,KSI140000205
,,BBP,,,,Ремонт поверхности кирпичных стен,,ГЭСНр 81-02-53-2020,По виду работ,,ГЭСНр 53-15,,,KSI140000206
,,,BBPA,,,Разборка поврежденной кладки вручную при ремонте поверхности кирпичных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000207
,,,BBPB,,,Расшивка швов старой кладки при ремонте поверхности кирпичных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000208
,,,BBPC,,,Заделка разобранных участков с перевязкой новой кладки со старой при ремонте поверхности кирпичных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000209
,,,BBPD,,,Очистка поверхности заделки от раствора при ремонте поверхности кирпичных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000210
,,,BBPE,,,Подбор кирпича для лицевой части кладки при ремонте поверхности кирпичных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000211
,,,BBPF,,,Отеска неровностей и выступов при ремонте поверхности кирпичных стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000212
,,BBQ,,,,Ремонт кладки стен отдельными местами и из шлакобетонных камней,,ГЭСНр 81-02-53-2020,По виду работ,,"ГЭСНр 53-16
ГЭСНр 53-17 ",,,KSI140000213
,,,BBQA,,,Отбивка штукатурки на откосах при ремонте кладки стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000214
,,,BBQB,,,Отбивка штукатурки на перемычках при ремонте кладки стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000215
,,,BBQC,,,Пробивка штраб при ремонте кладки стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000216
,,,BBQD,,,Расчистка участков стен в местах кладки при ремонте,,ГЭСНр 81-02-53-2020,,,,,,KSI140000217
,,,BBQE,,,Расчистка участков стен в местах отверстий или гнезд при ремонте кладки стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000218
,,,BBQF,,,Кладка отдельных участков стен с перевязкой новой кладки со старой,,ГЭСНр 81-02-53-2020,,,,,,KSI140000219
,,,BBQG,,,Очистка поверхности кладки от подтеков раствора,,ГЭСНр 81-02-53-2020,,,,,,KSI140000220
,,,BBQH,,,Заполнение пустот утеплителем при ремонте кладки стен,,ГЭСНр 81-02-53-2020,,,,,,KSI140000221
,,BBR,,,,Ремонт перемычек или смена клинчатой перемычки на брусковую железобетонную,,ГЭСНр 81-02-53-2020,По виду работ,,"ГЭСНр 53-18
ГЭСНр 53-19",,,KSI140000222
,,,BBRA,,,Устройство настила из досок при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,,,KSI140000223
,,,BBRB,,,Разборка кладки перемычки,,ГЭСНр 81-02-53-2020,,,,,,KSI140000224
,,,BBRC,,,Очистка поверхности кладки от раствора при ремонте перемычек,,ГЭСНр 81-02-53-2020,,,,,,KSI140000225
