Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,"Код по классификатору ОАО ""РЖД""",Примеры,Примечания,Синонимы,УИН
,,FEL,,,Комплекс объектов производства электронной и низковольтной аппаратуры,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000535
,,FEM,,,Комплекс объектов производства электронных печатных плат,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000536
,,FEN,,,Комплекс объектов производства электрифицированного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000537
G,,,,,Комплексы ОКС среды населенных пунктов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000220
,GB,,,,Комплексы ОКС торговли и обслуживания населения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000224
,,GBA,,,Комплекс объектов бытового обслуживания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000225
,,GBB,,,Комплекс объектов похоронного назначения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000226
,,GBC,,,Комплекс объектов общественных уборных,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000227
,,GBD,,,Комплекс объектов общественного питания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000544
,,GBE,,,Комплекс объектов почтовой связи,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000545
,,GBF,,,Комплекс объектов торговли,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000546
,GC,,,,Комплексы ОКС для проживания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000228
,,GCA,,,Комплекс жилых объектов для постоянного проживания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000229
,,GCB,,,Комплекс жилых объектов специализированного назначения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000230
,GD,,,,Комплексы ОКС вспомогательной инфраструктуры среды населенных пунктов,,,По виду комплекса ОКС,,,,,KSI020000634
,,GDA,,,Комплекс вспомогательных объектов среды населенных пунктов,,,,,,,,KSI020000635
,GE,,,,"Комплексы ОКС обработки, утилизации, обезвреживания, размещения отходов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000235
,,GEA,,,Комплекс объектов коммунально-бытовых отходов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000236
,,GEB,,,Комплекс объектов отходов животного происхождения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000237
,,GEC,,,Комплекс объектов промышленных и радиоактивных отходов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000547
,GF,,,,Комплексы ОКС административно-делового управления,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000238
,,GFA,,,Комплекс объектов коммуникаций,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000239
,,GFB,,,Комплекс объектов промышленных площадок,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000240
,,GFC,,,Комплекс объектов делового и финансового управления,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000548
,,GFD,,,Комплекс объектов государственного и муниципального управления,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000549
,,GFE,,,"Комплекс объектов обеспечения безопасности, охраны правопорядка и правосудия",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000550
,,GFF,,,Комплекс объектов обеспечения ликвидации чрезвычайных ситуаций и стихийных бедствий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000551
,GH,,,,Комплексы ОКС многофункциональных центров городских и сельских поселений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000241
,,GHA,,,Комплекс объектов многофункциональных центров сельских поселений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000242
,,GHB,,,Комплекс объектов многофункциональных центров,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000243
H,,,,,Комплексы ОКС транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000245
,HA,,,,Комплексы ОКС автомобильного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000246
,,HAA,,,Комплекс объектов автомобильных дорог,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000247
,,HAB,,,Комплекс объектов автостоянки,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000248
,,HAD,,,Комплекс объектов обустройства автомобильных дорог и пропускных пунктов,"Предприятие, обеспечивающего перевозку грузов", Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000250
,,HAF,,,Комплекс объектов автозаправочных станций,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000252
,,HAG,,,Комплекс объектов пассажирских автовокзалов и станций,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000253
,,HAJ,,,Комплекс объектов станций технического обслуживания автомобилей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000255
,HB,,,,Комплексы ОКС водного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000257
,,HBA,,,Комплекс объектов обеспечения контроля и безопасности мореплавания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000258
,,HBB,,,Комплекс портовых объектов ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000259
,,HBC,,,Комплекс объектов причалов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000260
,HC,,,,Комплексы ОКС воздушного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000279
,,HCA,,,Комплекс объектов аэродромов (пассажирских аэродромов),"Территория, включающая здания, установленное инженерно-техническое оборудование и оборудование, предназначенная для посадки, взлета и маневрирования воздушных судов"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р ИСО 6707-1-2020",,,,,,KSI020000280
,,HCB,,,Комплекс объектов аэропортов (пассажирских аэропортов),"Территория, включающая аэродром и объекты для обслуживания пассажиров и обработки грузов"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р ИСО 6707-1-2020",,,,,,KSI020000281
,,HCC,,,Комплекс объектов вертодрома,"Участок земли или определенный участок поверхности сооружения, предназначенный полностью или частично для взлета, посадки, руления и стоянки вертолетов. Вертодромы подразделяются на вертодромы гражданской авиации, вертодромы государственной авиации и вертодромы экспериментальной авиации"," Приказ Минстроя России от 02.11.2022 N 928/пр 
Воздушный кодекс Российской Федерации от 19.03.1997 N 60-ФЗ",,,,,,KSI020000282
,HD,,,,Комплексы ОКС прочего транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000283
,,HDA,,,Комплекс объектов городского наземного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000284
,,HDB,,,Комплекс объектов метрополитена,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000285
,,HDC,,,Комплекс объектов фуникулеров и подъемников,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000552
,HE,,,,Комплексы ОКС железнодорожного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000286
,,HEA,,,Комплекс объектов железнодорожных путей,"Подсистема инфраструктуры железнодорожного транспорта - железнодорожный путь, сооружения и устройства путевого хозяйства"," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 34530-2019 
Приказ Минтранса России от 23.06.2022 N 250",,A,,,,KSI020000287
,,HEB,,,Комплекс объектов железнодорожного транспорта обслуживания грузовых перевозок,"Комплекс сооружений, технических и технологических устройств, примыкающий к железнодорожным путям общего или необщего пользования и предназначенный для выполнения логистических операций, связанных с приемом, погрузкой-выгрузкой, хранением, сортировкой, грузопереработкой различных партий грузов, коммерческо-информационным обслуживанием грузополучателей, перевозчиков и других логистических посредников, участвующих в перевозках"," Приказ Минстроя России от 02.11.2022 N 928/пр  
СП 225.1326000.2014",,L,,,,KSI020000288
,,HEC,,,Комплекс объектов объектов железнодорожного транспорта обслуживания пассажирских перевозок ,Подсистема инфраструктуры железнодорожного транспорта для обслуживания пассажиров -   пассажирская инфраструктура ," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 34530-2019 
ГОСТ 33942-2016",,H,,,,KSI020000289
,,HED,,,Комплекс объектов ремонта и обслуживания локомотивов и вагонов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000290
,,,HEDA,,Комплекс объектов по техническому обслуживанию и ремонту тягового подвижного состава,"Комплекс сооружений и устройств (производственных зданий, мастерских специализированных по ремонту отдельных узлов локомотивов, других технических устройств), предназначенных для подготовки локомотивов к работе, их обслуживания и ремонта.",ГОСТ 34530-2019,,J,,,,KSI020000609
,,,HEDB,,Комплекс объектов по техническому  обслуживанию  и ремонту вагонов,,Приказ Минтранса России от 23.06.2022 N 250,,K,,,,KSI020000610
,,HEE,,,Комплекс объектов управления и контроля железнодорожных перевозок,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000291
,,,HEEA,,Комплекс объектов для административно-хозяйственных нужд по управлению инфраструктурой железнодорожного  транспорта,"Здания, в которых располагаются подразделения аппарата управления ОАО ""РЖД"", подразделения аппарата управления филиалов и структурных подразделений ОАО ""РЖД""","Распоряжение ОАО ""РЖД"" от 12.01.2010 N 16р",,M,,,,KSI020000611
,,HEF,,,Комплекс объектов обустройства железнодорожного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000292
,,HEG,,,Комплекс объектов технического обслуживания и ремонта железнодорожного пути,"Подсистема инфраструктуры железнодорожного транспорта, включающая в себя технологические комплексы зданий, сооружений, устройств для производства на железнодорожных станциях операций с грузами, почтовыми отправлениями и поездами, технического обслуживания и ремонта инфраструктуры железнодорожного транспорта и железнодорожного подвижного состава, а также для обслуживания пассажиров",СП 225.1326000.2014,,D,,,,KSI020000605
,,HEH,,,Комплекс объектов железнодорожного электроснабжения,"Подсистема инфраструктуры железнодорожного транспорта - железнодорожное электроснабжение, сооружения и устройства хозяйства электроснабжения","ГОСТ 34530-2019 
ТР ТС 003/2011 
Приказ Минтранса России от 23.06.2022 N 250",,E,,,,KSI020000606
,,HEJ,,,Комплекс объектов железнодорожной автоматики и телемеханики ,"Подсистема инфраструктуры железнодорожного транспорта, включающая в себя комплекс технических сооружений и устройств сигнализации, централизации и блокировки, обеспечивающих управление движением поездов на перегонах и станциях и маневровой работой",ТР ТС 003/2011,,F,,,,KSI020000607
,,HEK,,,Комплекс объектов железнодорожной технологической электросвязи ,Подсистема инфраструктуры железнодорожного транспорта -   железнодорожная электросвязь,"ГОСТ 34530-2019 
ТР ТС 003/2011 
Приказ Минтранса России от 23.06.2022 N 250",,G,,,,KSI020000608
,HF,,,,Комплексы ОКС трубопроводного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000296
,,HFA,,,Комплекс объектов магистральных газопроводов,"Линейное сооружение, состоящее из соединенных между собой труб, предназначенное для транспортирования газа."," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ Р 53865-2019",,,,,,KSI020000297
,,HFB,,,Комплекс объектов магистральных нефтепроводов (нефтепродуктопроводов),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000298
,,HFC,,,Комплекс объектов магистральных трубопроводов для транспортирования прочих жидкостей и газов ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000553
,HG,,,,Комплексы ОКС транспортных сооружений и переходов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000300
,,HGA,,,Комплекс объектов мостовых сооружений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000301
,,HGB,,,Комплекс объектов тоннелей,," Приказ Минстроя России от 02.11.2022 N 928/пр 
",,,,,,KSI020000304
,,HGC,,,Комплекс объектов транспортных сооружений,," Приказ Минстроя России от 02.11.2022 N 928/пр 
",,,,,,KSI020000554
,HQ,,,,Комплексы ОКС вспомогательной инфраструктуры отрасли транспорта,,,По виду комплекса ОКС,,,,,KSI020000636
,,HQA,,,Комплекс вспомогательных объектов трубопроводного транспорта,,,,,,,,KSI020000637
,,HQB,,,Комплекс вспомогательных объектов прочего транспорта,,,,,,,,KSI020000638
,,HQC,,,Комплекс вспомогательных объектов транспорта,,,,,,,,KSI020000639
,HR,,,,Комплексы ОКС космического транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000465
,,HRA,,,Комплекс объектов наземной космической инфраструктуры,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000556
K,,,,,"Комплексы ОКС образования, науки, культуры, искусства и религии",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000351
,KA,,,,"Комплекс объектов культуры, искусства и истории",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000352
,,KAA,,,Комплекс объектов библиотек и архивов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000353
,,KAB,,,"Комплекс объектов исторических мест и зданий, памятников культуры",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000354
,,KAC,,,"Комплекс объектов центров культуры, искусств и творчества",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000355
,,KAD,,,Комплекс объектов концертных залов и театров,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000356
,,KAE,,,Комплекс объектов музеев и выставочных залов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000357
,,KAF,,,"Комплекс объектов производства объектов интеллектуальной, творческой деятельности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000557
,KB,,,,Комплексы ОКС религиозного и культового обеспечения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000358
,,KBA,,,Религиозные и культовые комплексы ,"Юридически оформленное хозяйственно самостоятельное учреждение, ведущее подготовку и выпуск издательской продукции."," Приказ Минстроя России от 02.11.2022 N 928/пр 
ГОСТ 7.81-2001 СИБИД",,,,,,KSI020000359
,KC,,,,"Комплексы ОКС научной, исследовательской и проектной деятельности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000362
,,KCA,,,Комплекс объектов научной деятельности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000363
,,KCB,,,"Комплекс объектов организаций, осуществляющих проектную деятельность",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000364
,KD,,,,Комплексы ОКС дошкольного и общего среднего образования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000558
,,KDA,,,Комплекс объектов дошкольного образования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000559
,,KDB,,,Комплекс объектов среднего образования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000560
,KE,,,,"Комплексы ОКС среднего профессионального, высшего и дополнительного образования",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000561
,,KEA,,,Комплекс объектов высшего и среднего профессионального образования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000562
,,KEB,,,Комплекс объектов дополнительного образования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000563
,,KEC,,,Комплекс учебно-тренировочных объектов ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000564
,KF,,,,"Комплексы ОКС вспомогательной инфраструктуры образования, науки, культуры, искусства и религии",,,По виду комплекса ОКС,,,,,KSI020000640
,,KFA,,,"Комплекс вспомогательных объектов культуры, искусства и истории",,,,,,,,KSI020000641
,,KFB,,,Комплекс вспомогательных объектов науки,,,,,,,,KSI020000642
L,,,,,Комплексы ОКС металлургии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000365
,LA,,,,Комплексы ОКС черной металлургии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000366
,,LAA,,,"Комплекс объектов производства стали, чугуна",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000367
,,LAB,,,"Комплекс объектов производства металлопроката, металлоконструкций",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000368
,,LAC,,,Комплекс объектов ферросплавного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000568
,,LAD,,,Комплекс объектов порошковой металлургии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000569
,LB,,,,Комплексы ОКС цветной металлургии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000369
,,LBA,,,Комплекс объектов металлургии драгоценных (благородных) металлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000370
,,LBB,,,Комплекс объектов металлургии тяжелых металлов и сплавов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000371
,,LBC,,,Комплекс объектов металлургии легких металлов и сплавов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000570
,,LBD,,,Комплекс объектов металлургии редких и легирующих металлов и сплавов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000571
,LC,,,,Комплексы ОКС вспомогательной инфраструктуры металлургической промышленности,,,По виду комплекса ОКС,,,,,KSI020000643
,,LCA,,,Комплекс объектов вспомогательной инфраструктуры металлургической промышленности,,,,,,,,KSI020000644
,,LCB,,,Комплекс объектов цехов и печей металлургии,,,,,,,,KSI020000645
M,,,,,Комплексы ОКС производства машин и оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000378
,MA,,,,Комплексы ОКС машиностроения для различных производств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000379
,,MAA,,,Комплекс объектов машиностроения для литейного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000380
,,MAB,,,"Комплекс объектов металлургического, тяжелого и транспортного машиностроения",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000381
,,MAC,,,Комплекс объектов производства бумагоделательного и целлюлозного оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000572
,,MAD,,,Комплекс объектов производства машин для переработки и производства изделий из пластмасс и резины,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000573
,,MAE,,,Комплекс объектов производства машин текстильной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000574
,,MAF,,,Комплекс объектов производства механизированных инструментов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000575
,,MAG,,,Комплекс объектов производства оборудования для пищевой промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000576
,,MAH,,,"Комплекс объектов производства оборудования вентиляции, кондиционирования, теплоутилизации",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000577
,,MAJ,,,Комплекс объектов производства печей и горелок,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000578
,,MAK,,,Комплекс объектов производства электротермического оборудования и теплообменных устройств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000579
,,MAL,,,"Комплекс объектов производства химического, криогенного и холодильного машиностроения",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000580
,,MAM,,,"Комплекс объектов производства станков, машин и оборудования для обработки металлов и твердых материалов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000581
,MB,,,,Комплексы ОКС машиностроения для добычи полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000382
,,MBA,,,Комплекс объектов производства машин для добычи полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000383
,,MBB,,,Комплекс объектов производства оборудования для добычи полезных ископаемых,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000384
,MC,,,,Комплексы ОКС промышленности гидравлического и пневматического силового оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000386
,,MCA,,,Комплекс объектов предприятий компрессорного машиностроения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000387
,,MCB,,,Комплекс объектов производства гидравлического и пневматического силового оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000388
,MD,,,,Комплексы ОКС промышленности двигателей и турбин,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000582
,,MDA,,,"Комплекс объектов производства комплектующих изделий, узлов и деталей двигателей",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000583
,,MDB,,,Комплекс объектов производства специальных двигателей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000584
,,MDC,,,Комплекс объектов производства турбин,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000585
,,MDD,,,Комплекс объектов производства двигателей внутреннего сгорания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000586
,ME,,,,Комплексы ОКС промышленности колесных и гусеничных транспортных средств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000587
,,MEA,,,Комплекс объектов лесохозяйственного машиностроения и автотрактороремонтного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000588
,,MEB,,,Комплекс объектов машиностроения для сельского хозяйства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000589
,,MEC,,,Комплекс объектов производства колесных и гусеничных транспортных средств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000590
,MF,,,,"Комплексы ОКС промышленности подъемно-транспортного оборудования, станков, машин, средств непрерывного транспорта",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000591
,,MFA,,,Комплекс объектов производства подъемно-транспортного оборудования,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000592
,,MFB,,,Комплекс объектов производства средств непрерывного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000593
,MG,,,,Комплексы ОКС вспомогательной инфраструктуры отрасли производства машин и оборудования,,,По виду комплекса ОКС,,,,,KSI020000646
,,MGA,,,Комплекс объектов вспомогательной инфраструктуры отрасли производства машин и оборудования,,,,,,,,KSI020000647
,MH,,,,Комплексы ОКС кораблестроения и судостроения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000596
,,MHA,,,"Комплекс объектов производства кораблей, судов и плавучих конструкций",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000597
,MJ,,,,Комплексы ОКС промышленности железнодорожного транспорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000598
,,MJA,,,Комплекс объектов производства железнодорожных локомотивов и подвижного состава,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000599
,MK,,,,"Комплексы ОКС промышленности летательных аппаратов, включая космические",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000600
,,MKA,,,Комплекс объектов производства летательных аппаратов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000601
,,MKB,,,Комплекс объектов ракетно-космической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000602
R,,,,,"Комплексы ОКС здравоохранения, спорта, физической культуры, отдыха и развлечений",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000422
,RA,,,,Комплексы ОКС лечебного обеспечения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000423
,,RAA,,,Комплекс объектов больницы общего профиля,," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 158.13330.2014",,,,,,KSI020000424
,,RAB,,,Комплекс объектов специализированных лечебно-профилактических организаций,," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 158.13330.2014",,,,,,KSI020000425
,,RAD,,,Комплекс объектов диспансеров,," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 158.13330.2014",,,,,,KSI020000427
,,RAF,,,Комплекс объектов инфраструктуры лечебного обеспечения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000429
,,RAG,,,Комплекс объектов поликлиник,," Приказ Минстроя России от 02.11.2022 N 928/пр 
СП 158.13330.2014",,,,,,KSI020000430
,,RAH,,,"Комплекс объектов специализированных больниц, центров",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000431
,,RAJ,,,"Комплекс объектов станции скорой медицинской помощи, переливания крови",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000432
,,RAK,,,Комплекс объектов центров медицинских,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000433
,RB,,,,Комплексы ОКС для кратковременного проживания,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000434
,,RBA,,,Комплекс объектов санаторно-курортного лечения,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000435
,,RBB,,,"Комплекс объектов гостиницы, лагеря, дома отдыха, базы отдыха",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,Определение синтезировано на основе ГОСТ Р 54599-2011,,KSI020000436
,RC,,,,Комплексы ОКС  досуга,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000437
,,RCA,,,Комплекс познавательных объектов ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000438
,,RCB,,,Комплекс объектов развлечений и отдыха,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000439
,RD,,,,Комплексы спортивных ОКС  ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду комплекса ОКС,,,,,KSI020000440
,,RDA,,,Комплекс объектов зимних видов спорта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000441
,,RDB,,,Комплекс спортивных и оздоровительных  объектов ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000442
,,RDC,,,Комплекс специализированных объектов по отдельным видам спорта ,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000603
,,RDD,,,"Комплекс объектов стадионов, арен",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,,,,,KSI020000604
