Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания,Синонимы,УИН
,,AEC,,,Разборка опалубки после наращивания железобетонных фундаментов под оборудование,,ГЭСН 81-02-46-2022,,,,,,KSI130000043
,,AED,,,Установка арматуры для наращивания железобетонных фундаментов под оборудование,,ГЭСН 81-02-46-2022,,,,,,KSI130000044
,,AEE,,,Укладка бетона для наращивания железобетонных фундаментов под оборудование,,ГЭСН 81-02-46-2022,,,,,,KSI130000045
,AF,,,,Усиление конструкций в проходных тоннелях,,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-01-006
",,,KSI130000046
,,AFA,,,"Укладка дренажной трубы с установкой распорок, пробивка проемов в железобетонном перекрытии для подачи бетона",,ГЭСН 81-02-46-2022,,,,,,KSI130000047
,,AFB,,,Замоноличивание при усилении конструкций в проходных туннелях,,ГЭСН 81-02-46-2022,,,,,,KSI130000048
,,AFC,,,Устройство временных глиняных перемычек,,ГЭСН 81-02-46-2022,,,,,,KSI130000049
,,AFD,,,Разборка временных глиняных перемычек,,ГЭСН 81-02-46-2022,,,,,,KSI130000050
,,AFE,,,Установка арматуры для усиления конструкций в проходных тоннелях,,ГЭСН 81-02-46-2022,,,,,,KSI130000051
,,AFF,,,Устройство набетонок для усиления конструкций в проходных тоннелях,,ГЭСН 81-02-46-2022,,,,,,KSI130000052
,,AFG,,,Насечка бетонных поверхностей в местах укладки бетонной смеси с очисткой поверхности для усиления конструкций в проходных тоннелях,"Обработка каменных бетонных и штукатурных поверхностей специальными инструментами - бучардами, скарпелями и т.д. - для получения рельефной фактуры",ГЭСН 81-02-46-2022,,,,,,KSI130000053
,,AFH,,,Установка опалубки для усиления конструкций в проходных тоннелях,,ГЭСН 81-02-46-2022,,,,,,KSI130000054
,,AFJ,,,Разборка опалубки после усиления конструкций в проходных тоннелях,,ГЭСН 81-02-46-2022,,,,,,KSI130000055
,,AFK,,,Укладка бетона для усиления конструкций в проходных тоннелях,,ГЭСН 81-02-46-2022,,,,,,KSI130000056
,AG,,,,Усиление железобетонных колонн эстакад стальными обоймами,,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-01-007
",,,KSI130000057
,,AGA,,,Подача конструкций для усиления железобетонных колонн эстакад стальными обоймами к месту производства работ с сортировкой и комплектованием,,ГЭСН 81-02-46-2022,,,,,,KSI130000058
,,AGB,,,Установка деталей и узлов усиления со сваркой элементов в различных пространственных положениях для усиления железобетонных колонн эстакад стальными обоймами,,ГЭСН 81-02-46-2022,,,,,,KSI130000059
,AH,,,,"Обетонирование металлических элементов, заполнение бетоном отдельных мест в перекрытиях",,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-01-008
",,,KSI130000060
