Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по ГЭСН,Примечания,Синонимы,УИН
,CL,,,,Разборка покрытий полов в зданиях и сооружениях с агрессивными средами,,ГЭСН 81-02-46-2022,По способу производства работ ,,ГЭСН 46-04-011,,,KSI130000192
,,CLA,,,Разборка покрытия полов с очисткой годных плиток и кирпича от раствора,,ГЭСН 81-02-46-2022,,,,,,KSI130000193
,CM,,,,Разборка деревянных заполнений проемов,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-04-012,,,KSI130000194
,,CMA,,,Снятие оконных деревянных переплетов,,ГЭСН 81-02-46-2022,,,,,,KSI130000195
,,CMB,,,"Выемка коробок со снятием наличников, отбивкой откосов и четвертей в проемах",,ГЭСН 81-02-46-2022,,,,,,KSI130000196
,CN,,,,Разборка лестничных маршей и площадок,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-04-013,,,KSI130000197
,,CNA,,,Установка лесов и подмостей для разборки лестничных маршей и площадок,,ГЭСН 81-02-46-2022,,,,,,KSI130000198
,,CNB,,,Разборка лесов и подмостей после разборки лестничных маршей и площадок,,ГЭСН 81-02-46-2022,,,,,,KSI130000199
,,CNC,,,"Пробивка борозд и гнезд в местах заделки ступеней, площадок, балок для разборки лестничных маршей и площадок",,ГЭСН 81-02-46-2022,,,,,,KSI130000200
,,CND,,,Разборка поручней и лестничных решеток,,ГЭСН 81-02-46-2022,,,,,,KSI130000201
,,CNE,,,Разборка косоуров и балок площадок,,ГЭСН 81-02-46-2022,,,,,,KSI130000202
,CP,,,,Разборка ступеней,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-04-014,,,KSI130000203
,,CPA,,,Разборка каменных ступеней,,ГЭСН 81-02-46-2022,,,,,,KSI130000204
,,CPB,,,Разборка железобетонных ступеней,,ГЭСН 81-02-46-2022,,,,,,KSI130000205
,CQ,,,,Разборка облицовки из тесаного камня,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-04-015,,,KSI130000206
,,CQA,,,Разборка облицовки с очисткой от раствора,,ГЭСН 81-02-46-2022,,,,,,KSI130000207
,CR,,,,"Резка бетонных и железобетонных конструкций стен, перегородок и перекрытий дисковыми стенорезными машинами",,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-04-016,,,KSI130000208
,,CRA,,,"Разметка линии резания, мест крепления направляющей шины",,ГЭСН 81-02-46-2022,,,,,,KSI130000209
,,CRB,,,"Установка направляющей шины в готовые отверстия, включая затяжку болтовых соединений до проектного усилия",,ГЭСН 81-02-46-2022,,,,,,KSI130000210
,,CRC,,,"Сборка стенорезной машины, включая установку режущего диска на поворотную стрелу",,ГЭСН 81-02-46-2022,,,,,,KSI130000211
,,CRD,,,"Подключение электропитания, проверка направления вращения режущего диска, фазировка, сборка системы охлаждения и промывки",,ГЭСН 81-02-46-2022,,,,,,KSI130000212
,,CRE,,,Сборка гидравлической схемы стенорезной машины,,ГЭСН 81-02-46-2022,,,,,,KSI130000213
,,CRF,,,"Проверка уровня масла, проведение необходимых регулировок и отладки системы гидравлического привода, проверка работоспособности стенорезной машины на холостом ходу",,ГЭСН 81-02-46-2022,,,,,,KSI130000214
,,CRG,,,"Подача воды на маслостанцию и стенорезную машину, пробная резка при малых оборотах",,ГЭСН 81-02-46-2022,,,,,,KSI130000215
,,CRH,,,"Резка бетонной конструкции, контроль процесса резки",,ГЭСН 81-02-46-2022,,,,,,KSI130000216
,,CRJ,,,Демонтаж стенорезной машины,,ГЭСН 81-02-46-2022,,,,,,KSI130000217
,,CRK,,,Смена режущего диска,,ГЭСН 81-02-46-2022,,,,,,KSI130000218
D,,,,,"Сверление и пробивка отверстий, проемов в конструкциях. Заделка отверстий, гнезд и борозд при реконструкции",,ГЭСН 81-02-46-2022,По виду работ,,,,,KSI130000219
,DA,,,,Сверление отверстий,,ГЭСН 81-02-46-2022,По типу конструкции,,,,,KSI130000220
,,DAA,,,Сверление установками алмазного бурения вертикальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2022,По способу производства работ ,,"ГЭСН 46-03-001
",,,KSI130000221
,,,DAAA,,Разметка мест сверления вертикальных отверстий установками алмазного бурения в железобетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000222
,,,DAAB,,"Установка, выверка и крепление станка с присоединением к электро- и водопроводным сетям установок алмазного бурения вертикальных отверстий в железобетонных конструкциях",,ГЭСН 81-02-46-2022,,,,,,KSI130000223
,,,DAAC,,Опускание привода со сверлом установок алмазного бурения к месту сверления вертикальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000224
,,,DAAD,,Сверление вертикальных отверстий установками алмазного бурения в железобетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000225
,,,DAAE,,Подъем привода со сверлом установок алмазного бурения вертикальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000226
,,,DAAF,,Удаление и уборка керна после сверления установками алмазного бурения вертикальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000227
,,,DAAG,,Установка удлинителей установок алмазного бурения при сверлении отверстий на глубину свыше 500 мм,,ГЭСН 81-02-46-2022,,,,,,KSI130000228
,,,DAAH,,Смена сверл установок алмазного бурения,,ГЭСН 81-02-46-2022,,,,,,KSI130000229
,,,DAAJ,,Перестановка станка после сверления установками алмазного бурения вертикальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000230
,,DAB,,,Сверление установками алмазного бурения горизонтальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2022,По способу производства работ ,,ГЭСН 46-03-002,,,KSI130000231
,,,DABA,,Разметка мест сверления горизонтальных отверстий установками алмазного бурения в железобетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000232
,,,DABB,,"Установка, выверка и крепление станка с присоединением к электро- и водопроводным сетям установок алмазного бурения горизонтальных отверстий в железобетонных конструкциях",,ГЭСН 81-02-46-2022,,,,,,KSI130000233
,,,DABC,,Опускание привода со сверлом установками алмазного бурения к месту сверления горизонтальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000234
,,,DABD,,Сверление горизонтальных отверстий установками алмазного бурения в железобетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000235
,,,DABE,,Подъем привода со сверлом установок алмазного бурения горизонтальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000236
,,,DABF,,Удаление и уборка керна поле сверления установками алмазного бурения горизонтальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000237
,,,DABG,,Установка удлинителей установок алмазного бурения горизонтальных отверстий в железобетонных конструкциях при сверлении отверстий на глубину свыше 350 мм,,ГЭСН 81-02-46-2022,,,,,,KSI130000238
,,,DABH,,Смена сверл установок алмазного бурения горизонтальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000239
,,,DABJ,,Перестановка станка после сверления установками алмазного бурения горизонтальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000240
,,,DABK,,Перестановка подмостей после сверления установками алмазного бурения горизонтальных отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000241
,,DAC,,,Бурение скважин в железобетонных конструкциях установками алмазного бурения,,ГЭСН 81-02-46-2022,По способу производства работ ,,ГЭСН 46-03-005,,,KSI130000242
,,,DACA,,Монтаж установки для бурения скважин в железобетонных конструкциях установками алмазного бурения,,ГЭСН 81-02-46-2022,,,,,,KSI130000243
,,,DACB,,Демонтаж установки после бурения скважин в железобетонных конструкциях установками алмазного бурения,,ГЭСН 81-02-46-2022,,,,,,KSI130000244
,,,DACC,,Бурение скважины с одновременным наращиванием удлинительных труб,,ГЭСН 81-02-46-2022,,,,,,KSI130000245
,,,DACD,,"Извлечение удлинительных труб, удаление керна после бурения скважин в железобетонных конструкциях установками алмазного бурения",,ГЭСН 81-02-46-2022,,,,,,KSI130000246
,,DAD,,,Перфорация трубы,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-03-006,,,KSI130000247
,,,DADA,,Разметка мест сверления отверстий для перфорации трубы,,ГЭСН 81-02-46-2022,,,,,,KSI130000248
,,,DADB,,Сверление отверстий для перфорации трубы,,ГЭСН 81-02-46-2022,,,,,,KSI130000249
,,,DADC,,Снятие фаски после перфорации трубы,,ГЭСН 81-02-46-2022,,,,,,KSI130000250
,DB,,,,"Пробивка отверстий, проемов, гнезд",,ГЭСН 81-02-46-2022,По типу конструкции,,,,,KSI130000251
,,DBA,,,Пробивка проемов в конструкциях,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-03-007,,,KSI130000252
,,,DBAA,,Разметка мест пробивки проемов в конструкции,,ГЭСН 81-02-46-2022,,,,,,KSI130000253
,,,DBAB,,Пробивка проемов с зачисткой откосов,,ГЭСН 81-02-46-2022,,,,,,KSI130000254
,,DBB,,,Устройство ниш в кирпичных стенах,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-03-008,,,KSI130000255
,,,DBBA,,Разметка мест пробивки ниш в кирпичных стенах,,ГЭСН 81-02-46-2022,,,,,,KSI130000256
,,,DBBB,,Пробивка ниш с зачисткой поверхности,,ГЭСН 81-02-46-2022,,,,,,KSI130000257
,,DBC,,,Пробивка гнезд и сквозных отверстий в кирпичных стенах,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-03-009,,,KSI130000258
,,,DBCA,,Разметка мест пробивки гнезд и сквозных отверстий в кирпичных стенах,,ГЭСН 81-02-46-2022,,,,,,KSI130000259
,,,DBCB,,Пробивка гнезд и сквозных отверстий,,ГЭСН 81-02-46-2022,,,,,,KSI130000260
,,DBD,,,"Пробивка отверстий в бетонных стенах, полах и потолках",,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-03-010,,,KSI130000261
,,,DBDA,,"Разметка мест пробивки отверстий в бетонных стенах, полах и потолках",,ГЭСН 81-02-46-2022,,,,,,KSI130000262
,,,DBDB,,"Пробивка отверстий (в бетонных стенах, полах и потолках)",,ГЭСН 81-02-46-2022,,,,,,KSI130000263
,,DBE,,,Пробивка борозд в кирпичных стенах,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-03-011,,,KSI130000264
,,,DBEA,,Разметка мест пробивки борозд в кирпичных стенах,,ГЭСН 81-02-46-2022,,,,,,KSI130000265
,,,DBEB,,Зачистка борозд в кирпичных стенах,,ГЭСН 81-02-46-2022,,,,,,KSI130000266
,,DBF,,,Пробивка борозд в бетонных конструкциях,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-03-012,,,KSI130000267
,,,DBFA,,Разметка мест пробивки борозд в бетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000268
,,,DBFB,,Пробивка борозд,,ГЭСН 81-02-46-2022,,,,,,KSI130000269
,,DBG,,,Сверление отверстий в бетонных конструкциях перфоратором,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-03-013,,,KSI130000270
,,,DBGA,,Разметка мест сверления отверстий в бетонных конструкциях перфоратором,,ГЭСН 81-02-46-2022,,,,,,KSI130000271
,,,DBGB,,Приведение перфоратора в рабочее положение для сверления отверстий в бетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000272
,,,DBGC,,Сверление отверстий перфоратором в бетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000273
,,,DBGD,,Уборка мусора после сверления отверстий в бетонных конструкциях перфоратором,,ГЭСН 81-02-46-2022,,,,,,KSI130000274
,,DBH,,,Сверление отверстий в железобетонных конструкциях перфоратором,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-03-014,,,KSI130000275
,,,DBHA,,Разметка мест сверления отверстий в железобетонных конструкциях перфоратором,,ГЭСН 81-02-46-2022,,,,,,KSI130000276
,,,DBHB,,Приведение перфоратора в рабочее положение для сверления отверстий в железобетонных конструкциях,,ГЭСН 81-02-46-2022,,,,,,KSI130000277
,,,DBHC,,Сверление отверстий перфоратором,,ГЭСН 81-02-46-2022,,,,,,KSI130000278
,,,DBHD,,Уборка мусора после сверления отверстий в железобетонных конструкциях перфоратором,,ГЭСН 81-02-46-2022,,,,,,KSI130000279
,,DBJ,,,"Устройство борозд в конструкциях из кирпича, бетона с использованием штробореза",,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-03-015,,,KSI130000280
,,,DBJA,,Разметка борозд штроборезом,,ГЭСН 81-02-46-2022,,,,,,KSI130000281
,,,DBJB,,Пропил борозд штроборезом,,ГЭСН 81-02-46-2022,,,,,,KSI130000282
,,,DBJC,,Зачистка борозд перфоратором,,ГЭСН 81-02-46-2022,,,,,,KSI130000283
,DC,,,,"Заделка отверстий, проемов, гнезд и борозд",,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-03-017,,,KSI130000284
,,DCA,,,"Расчистка отверстий, гнезд и борозд для заделки",,ГЭСН 81-02-46-2022,,,,,,KSI130000285
,,DCB,,,"Установка опалубки для заделки отверстий, гнезд и борозд",,ГЭСН 81-02-46-2022,,,,,,KSI130000286
,,DCC,,,"Укладка арматуры для заделки отверстий, гнезд и борозд",,ГЭСН 81-02-46-2022,,,,,,KSI130000287
,,DCD,,,"Укладка бетона для заделки отверстий, гнезд и борозд",,ГЭСН 81-02-46-2022,,,,,,KSI130000288
,,DCE,,,"Последующая заделка отверстий, гнезд и борозд",,ГЭСН 81-02-46-2022,,,,,,KSI130000289
E,,,,,Устройство временных защитных ограждений и устройств при производстве работ по реконструкции,,ГЭСН 81-02-46-2022,По виду работ,,,,,KSI130000290
,EA,,,,Устройство временных защитных ограждений,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-05-001,,,KSI130000291
,,EAA,,,Устройство каркаса временных защитных ограждений из бревен и досок,,ГЭСН 81-02-46-2022,,,,,,KSI130000292
,,EAB,,,Устройство настила временных защитных ограждений с покрытием толем в два слоя ,,ГЭСН 81-02-46-2022,,,,,,KSI130000293
,,EAC,,,Разборка временных защитных ограждений,,ГЭСН 81-02-46-2022,,,,,,KSI130000294
,,EAD,,,Обшивка досками по каркасу с покрытием толем в один слой,,ГЭСН 81-02-46-2022,,,,,,KSI130000295
,EB,,,,Установка устройств при производстве работ по усилению конструкций и элементов,,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-05-002
ГЭСН 46-05-003
ГЭСН 46-05-004
ГЭСН 46-05-005
ГЭСН 46-05-006",,,KSI130000296
,,EBA,,,Установка лебедок и такелажной оснастки для производства работ по усилению,,ГЭСН 81-02-46-2022,,,,,,KSI130000297
,,EBB,,,Снятие лебедок и такелажной оснастки после производства работ по усилению,,ГЭСН 81-02-46-2022,,,,,,KSI130000298
,,EBC,,,"Установка, перестановка и снятие приставных инвентарных лестниц и люлек, сборно-разборных подмостей индивидуального изготовления, страховочного каната при производстве работ по усилению",,ГЭСН 81-02-46-2022,,,,,,KSI130000299
,EC,,,,Установка защитного горизонтального ограждения из профнастила под верхними поясами ферм при замене конструкций покрытия,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-05-007,,,KSI130000300
,,ECA,,,Установка лебедок и такелажной оснастки для установки защитного горизонтального ограждения из профнастила под верхними поясами ферм при замене конструкций покрытия,,ГЭСН 81-02-46-2022,,,,,,KSI130000301
,,ECB,,,Снятие лебедок и такелажной оснастки после установки защитного горизонтального ограждения из профнастила под верхними поясами ферм при замене конструкций покрытия,,ГЭСН 81-02-46-2022,,,,,,KSI130000302
,,ECC,,,"Подъем, установка и снятие лестниц, люлек, защитного настила по прогонам под верхними поясами ферм, переходных мостиков для установки защитного горизонтального ограждения из профнастила под верхними поясами ферм при замене конструкций покрытия",,ГЭСН 81-02-46-2022,,,,,,KSI130000303
,,ECD,,,Устройство путей для крышного крана и грузовой тележки для установки защитного горизонтального ограждения из профнастила под верхними поясами ферм при замене конструкций покрытия,,ГЭСН 81-02-46-2022,,,,,,KSI130000304
,ED,,,,Работы по обеспечению устойчивости и безопасности ведения работ,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-05-008,,,KSI130000305
,,EDA,,,Установка опорных стоек для обеспечения устойчивости и безопасности ведения работ,,ГЭСН 81-02-46-2022,,,,,,KSI130000306
,,EDB,,,Снятие опорных стоек после обеспечения устойчивости и безопасности ведения работ,,ГЭСН 81-02-46-2022,,,,,,KSI130000307
,,EDC,,,"Приварка мелких металлических конструкций, срезка их и зачистка",,ГЭСН 81-02-46-2022,,,,,,KSI130000308
,EE,,,,"Установка и снятие временных тупиков, упоров, ограждений и предварительное напряжение подстропильных ферм",,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-05-009,,,KSI130000309
,,EEA,,,"Установка тупиков, упоров, стоечного ограждения",,ГЭСН 81-02-46-2022,,,,,,KSI130000310
,,EEB,,,"Снятие тупиков, упоров, стоечного ограждения",,ГЭСН 81-02-46-2022,,,,,,KSI130000311
,,EEC,,,"Установка гидравлического домкрата, сборка и разборка монтажного приспособления",,ГЭСН 81-02-46-2022,,,,,,KSI130000312
F,,,,,Разборка жилых и общественных зданий,,ГЭСН 81-02-46-2022,По типу конструкции,,,,,KSI130000313
,FA,,,,Разборка надземной части,,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-06-001
ГЭСН 46-06-002",,,KSI130000314
,,FAA,,,Разборка зданий с применением строительных машин и механизмов,,ГЭСН 81-02-46-2022,,,,,,KSI130000315
,,FAB,,,Выборка годных материалов с очисткой и укладкой в штабели,,ГЭСН 81-02-46-2022,,,,,,KSI130000316
,,FAC,,,"Перевозка материалов, полученных от разборки, на промежуточный склад",,ГЭСН 81-02-46-2022,,,,,,KSI130000317
,,FAD,,,Разборка зданий,,ГЭСН 81-02-46-2022,,,,,,KSI130000318
,FB,,,,Разборка санитарно-технических систем,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-06-003,,,KSI130000319
,,FBA,,,Снятие санитарно-технических систем,,ГЭСН 81-02-46-2022,,,,,,KSI130000320
,,FBB,,,Погрузка металлолома в автотранспорт,,ГЭСН 81-02-46-2022,,,,,,KSI130000321
,,FBC,,,Отвозка металлолома,,ГЭСН 81-02-46-2022,,,,,,KSI130000322
,,FBD,,,Выгрузка металлолома из автотранспорта,,ГЭСН 81-02-46-2022,,,,,,KSI130000323
,FC,,,,Разборка фундаментов жилых зданий из бутового камня,,ГЭСН 81-02-46-2022,,,ГЭСН 46-06-004,,,KSI130000324
,FD,,,,Разборка лестниц подземной части жилых зданий,,ГЭСН 81-02-46-2022,,,ГЭСН 46-06-005,,,KSI130000325
,FE,,,,Разборка полов с основанием подземной части жилых зданий,,ГЭСН 81-02-46-2022,,,ГЭСН 46-06-006,,,KSI130000326
,FF,,,,Разборка стен из кирпича подземной части жилых зданий,,ГЭСН 81-02-46-2022,,,ГЭСН 46-06-007,,,KSI130000327
,FG,,,,Разборка индивидуальных металлических гаражей с вывозкой,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-06-008,,,KSI130000328
,,FGA,,,Разборка индивидуальных металлических гаражей,,ГЭСН 81-02-46-2022,,,,,,KSI130000329
,,FGB,,,Вывоз после разборки индивидуальных металлических гаражей,,ГЭСН 81-02-46-2022,,,,,,KSI130000330
,FH,,,,Комплексная разборка зданий,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-06-009,,,KSI130000331
,,FHA,,,"Полная комплексная разборка зданий, включая фундаменты, с применением строительных машин и механизмов",,ГЭСН 81-02-46-2022,,,,,,KSI130000332
,,FHB,,,Выборка годных материалов с очисткой с укладкой в штабели,,ГЭСН 81-02-46-2022,,,,,,KSI130000333
,,FHC,,,"Перевозка материалов, полученных от разборки, на промежуточный склад после комплексной разборки",,ГЭСН 81-02-46-2022,,,,,,KSI130000334
G,,,,,Замена металлических конструкций сооружений,,ГЭСН 81-02-46-2022,По виду работ,,,,,KSI130000335
,GA,,,,Замена элементов конструкций резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-07-010,,,KSI130000336
,,GAA,,,Устройство и усиление монтажного проема для замены элементов конструкций резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-46-2022,,,,,,KSI130000337
,,GAB,,,Демонтаж днища резервуара и окраек,,ГЭСН 81-02-46-2022,,,,,,KSI130000338
,,GAC,,,Изготовление и монтаж днища и окраек,,ГЭСН 81-02-46-2022,,,,,,KSI130000339
,,GAD,,,"Изготовление, монтаж приспособлений для замены элементов конструкций резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов",,ГЭСН 81-02-46-2022,,,,,,KSI130000340
,,GAE,,,Демонтаж приспособлений после замены элементов конструкций резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-46-2022,,,,,,KSI130000341
,,GAF,,,Производство сварочных работ при замене элементов конструкций резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-46-2022,,,,,,KSI130000342
,,GAG,,,Перемещение металлоконструкций от приобъектного склада до монтажной площадки при замене элементов конструкций резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-46-2022,,,,,,KSI130000343
,,GAH,,,Испытание резервуара наливом воды после замены элементов конструкций резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-46-2022,,,,,,KSI130000344
,,GAJ,,,Контроль сварных соединений после замены элементов конструкций резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-46-2022,,,,,,KSI130000345
,GB,,,,Замена металлоконструкций при ремонте резервуаров,,ГЭСН 81-02-46-2022,По виду работ,,"ГЭСН 46-07-010
ГЭСН 46-07-015",,,KSI130000346
,,GBA,,,Устройство монтажного проема при ремонте резервуаров,,ГЭСН 81-02-46-2022,,,,,,KSI130000347
,,GBB,,,Демонтаж дефектного участка днища резервуара,,ГЭСН 81-02-46-2022,,,,,,KSI130000348
,,GBC,,,Монтаж ремонтной марки днища,,ГЭСН 81-02-46-2022,,,,,,KSI130000349
,,GBD,,,Монтаж приспособлений при ремонте резервуаров,,ГЭСН 81-02-46-2022,,,,,,KSI130000350
,,GBE,,,Демонтаж приспособлений после ремонта резервуаров,,ГЭСН 81-02-46-2022,,,,,,KSI130000351
,,GBF,,,"Производство сварочных работ, послойная зачистка сварных швов и околошовной зоны",,ГЭСН 81-02-46-2022,,,,,,KSI130000352
,,GBG,,,Контроль сварных соединений при ремонте резервуаров,,ГЭСН 81-02-46-2022,,,,,,KSI130000353
,,GBH,,,Перемещение металлоконструкций от приобъектного склада до монтажной площадки при ремонте резервуаров,,ГЭСН 81-02-46-2022,,,,,,KSI130000354
,GC,,,,Гидравлические испытания резервуаров стальных вертикальных цилиндрических для нефти и нефтепродуктов,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-07-025,,,KSI130000355
,,GCA,,,"Наполнение резервуара водой, включая проведение ВИК",,ГЭСН 81-02-46-2022,,,,,,KSI130000356
,,GCB,,,Выдержка резервуара под нагрузкой,,ГЭСН 81-02-46-2022,,,,,,KSI130000357
,,GCC,,,"Спуск воды из резервуара, включая проведение ВИК",,ГЭСН 81-02-46-2022,,,,,,KSI130000358
,,GCD,,,Нивелировка окрайки днища и вертикального отклонения стенки резервуара,,ГЭСН 81-02-46-2022,,,,,,KSI130000359
H,,,,,Работы при реконструкции гидротехнических сооружений,,ГЭСН 81-02-46-2022,По виду работ,,,,,KSI130000360
,HA,,,,Укрепление оснований гидротехнических сооружений методом инъектирования с погружением и извлечением инъектора в пробуренную скважину,,ГЭСН 81-02-46-2022,По способу производства работ ,,ГЭСН 46-09-001,,,KSI130000361
,,HAA,,,Доставка сухой смеси от приобъектного склада до места приготовления,,ГЭСН 81-02-46-2022,,,,,,KSI130000362
,,HAB,,,Выгрузка сухой смеси к растворному узлу,,ГЭСН 81-02-46-2022,,,,,,KSI130000363
,,HAC,,,Приготовление раствора для укрепления оснований гидротехнических сооружений,,ГЭСН 81-02-46-2022,,,,,,KSI130000364
,,HAD,,,Перекачка раствора в накопитель для укрепления оснований гидротехнических сооружений,,ГЭСН 81-02-46-2022,,,,,,KSI130000365
,,HAE,,,Затворение и барботаж раствора,,ГЭСН 81-02-46-2022,,,,,,KSI130000366
,,HAF,,,Выгрузка цемента для укрепления оснований гидротехнических сооружений в силос,,ГЭСН 81-02-46-2022,,,,,,KSI130000367
,,HAG,,,Доставка портландцемента и тампонажной смеси от приобъектного склада до места приготовления,,ГЭСН 81-02-46-2022,,,,,,KSI130000368
,,HAH,,,Выгрузка портландцемента и тампонажной смеси на месте производства работ,,ГЭСН 81-02-46-2022,,,,,,KSI130000369
,,HAJ,,,"Загрузка портландцемента и тампонажной смеси в смеситель, приготовление сухой смеси и загрузка в силос",,ГЭСН 81-02-46-2022,,,,,,KSI130000370
,,HAK,,,Перекачка раствора в накопительную емкость,,ГЭСН 81-02-46-2022,,,,,,KSI130000371
,,HAL,,,Выгрузка инъектора на месте производства работ по укреплению оснований гидротехнических сооружений,,ГЭСН 81-02-46-2022,,,,,,KSI130000372
,,HAM,,,Монтаж и погружение инъектора на глубину,,ГЭСН 81-02-46-2022,,,,,,KSI130000373
,,HAN,,,Нагнетание инъекционного раствора для укрепления оснований гидротехнических сооружений,,ГЭСН 81-02-46-2022,,,,,,KSI130000374
,,HAP,,,Извлечение и демонтаж инъектора,,ГЭСН 81-02-46-2022,,,,,,KSI130000375
,,HAQ,,,Промывка инъектора после укрепления оснований гидротехнических сооружений,,ГЭСН 81-02-46-2022,,,,,,KSI130000376
,,HAR,,,Монтаж и демонтаж установки для бурения скважин в железобетоне,,ГЭСН 81-02-46-2022,,,,,,KSI130000377
,,HAS,,,Установка и снятие гидромотора,,ГЭСН 81-02-46-2022,,,,,,KSI130000378
,,HAT,,,Бурение скважины для укрепления оснований гидротехнических сооружений,,ГЭСН 81-02-46-2022,,,,,,KSI130000379
,,HAU,,,Наращивание штанги для укрепления оснований гидротехнических сооружений,,ГЭСН 81-02-46-2022,,,,,,KSI130000380
,,HAV,,,"Извлечение штанги, извлечение керна после укрепления оснований гидротехнических сооружений",,ГЭСН 81-02-46-2022,,,,,,KSI130000381
,,HAW,,,Монтаж коронки с удлинительными трубками,,ГЭСН 81-02-46-2022,,,,,,KSI130000382
,HB,,,,Разборка монолитных железобетонных конструкций гидромолотом на базе экскаватора,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-09-005,,,KSI130000383
,,HBA,,,Разборка железобетонных конструкций гидромолотом на базе экскаватора,,ГЭСН 81-02-46-2022,,,,,,KSI130000384
,,HBB,,,Перемещение разобранного железобетона в отвал после разборки железобетонных конструкций гидромолотом на базе экскаватора,,ГЭСН 81-02-46-2022,,,,,,KSI130000385
,,HBC,,,Резка арматуры при разборке железобетонных конструкций гидромолотом на базе экскаватора,,ГЭСН 81-02-46-2022,,,,,,KSI130000386
,HC,,,,Канатная алмазная резка железобетонных конструкций,,ГЭСН 81-02-46-2022,По виду работ,,ГЭСН 46-09-010,,,KSI130000387
,,HCA,,,"Разметка линии резания, мест крепления оборудования для канатной алмазной резки железобетонных конструкций",,ГЭСН 81-02-46-2022,,,,,,KSI130000388
,,HCB,,,"Установка автомата канатного пиления, включая внешний осмотр агрегатов и проверку надежности креплений",,ГЭСН 81-02-46-2022,,,,,,KSI130000389
,,HCC,,,"Подключение электропитания, проверка направления вращения электродвигателя, фазировка",,ГЭСН 81-02-46-2022,,,,,,KSI130000390
