Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,"Код соответствующего ОКС по КТИМ ОАО ""РЖД""",Примечания,Синонимы
,,,CFFB,,Здание (сооружение) объектов предприятий по производству подшипников,,СП 18.13330.2019,,,11.03.001.002,,,,
,CG,,,,Объекты промышленности готовых изделий (неметаллических),, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,11.04.,,,,
,,CGA,,,Здание (сооружение) объектов инновационной инфраструктуры,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание инновационного парка
Здание технологического парка
Здание технополиса",01.01.006.002,"ВН НН 10 80
ВН НН 10 80 10
ВН НН 10 80 20
ВН НН 10 80 30
ВН НН 10 80 40
ВН ПН 40 10 60",,,
,,CGB,,,Здание (сооружение) объектов производства бытовых неэлектрических приборов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству водонагревателей
Здание цеха по производству неэлектрических кухонных плиты, жаровень, печей, устройств для приготовления пищи
Здание цеха по производству неэлектрических обогревателей",11.04.005.005,"
",,,"Объект инновационной инфраструктуры
Объект технологических парков
Объект бизнес-инкубатора
Объект технополисов
Объект инновационных парков"
,,CGC,,,Здание (сооружение) объектов производства готовых бытовых неэлектрических изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству глобусов
Здание цеха по производству зажигалок
Здание цеха по производству зонтов, зонтиков от солнца, тростей",11.04.005.005,,,,
,,CGD,,,Здание (сооружение) объектов производства готовых бытовых электрических изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству бытового ручного электрооборудования
Здание цеха по производству микроволновых печей
Здание цеха по производству посудомоечных машин",11.04.005.005,ВН ПН 40 10 50,,,
,,CGE,,,Здание (сооружение) объектов производства игрушек,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству мягких игрушек
Здание цеха по производству развивающих игрушек",11.04.005.001,,,,
,,CGF,,,Здание (сооружение) объектов производства лыж из древесины,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по выпуску лыж из древесины
Здание цеха раскроя лыжного кряжа",11.04.002.001,,,,
,,CGG,,,"Здание (сооружение) объектов производства медицинских инструментов, оборудования и материалов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству медицинских инструментов
Здание цеха по производству медицинской мебели
Здание цеха по производству стоматологических материалов",11.02.,,,,
,,CGH,,,Здание (сооружение) объектов производства музыкальных инструментов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству деталей и составных частей для музыкальных инструментов
Здание цеха по производству музыкальных шкатулок, шарманок, калиоп
Здание цеха по производству прочих музыкальных инструментов",11.04.005.003,,,,
,,CGJ,,,Здание (сооружение) объектов производства оборудования для обеспечения безопасности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству несгораемой и защитной одежды
Здание цеха по производству пластмассовых касок и прочих средств личной безопасности из пластмассы (спортивные шлемы и пр.)
Здание цеха по производству привязных ремней для электромонтеров и прочих поясов для профессионального использования","11.01.002.001
11.04.003.003
11.01.003.003 ",,,,
,,CGK,,,Здание (сооружение) объектов производства ювелирных изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству синтетических алмазов
Здание цеха по производству ювелирных изделий",11.04.006.001,,,,
,,CGL,,,Здание (сооружение) вспомогательных объектов промышленности готовых изделий (неметаллических),, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание базы ремонта контейнеров
Сооружение пункта технического обслуживания, ремонта и освидетельствования контейнеров",11.06.003.002,,,,
,CH,,,,"Объекты промышленности готовых металлических изделий, кроме машин и оборудования",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,11.03.,ВН ПН 40 10 44,,,
,,CHA,,,Объекты промышленности метизов и прочих готовых металлических изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,11.03.001.,,,,
,,,CHAA,,Здание (сооружение) объектов метизного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание инструментального цеха по производству метизов
Здание канатного цеха метизного производства
Здание сталепроволочного цеха",11.03.001.003,,,,
,,,CHAB,,Здание (сооружение) объектов производства тары для лаков и красок,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание тарного цеха
Здание цеха по производству металлотары для лаков и красок
Здание цеха химико-механической обработки металлотары для лаков и красок",11.03.002.002,,,,
,,,CHAC,,Здание (сооружение) объектов производства фурнитуры,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание металлофурнитурного цеха
Здание цеха по производству застежек",11.03.001.003,,,,
,,CHB,,,"Объекты промышленности обработки металлов, нанесения покрытий на металлы",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,09.03.002.,,,,
,,,CHBA,,Здание (сооружение) объектов кузнечно-прессового производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание кузнечного цеха
Здание кузнечно-прессового цеха промышленности готовых металлических изделий
Здание механического цеха",09.03.002.003,,,,
,,,CHBB,,Здание (сооружение) объектов литейного производства,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание дозировочного цеха для руднотермических электропечей
Здание литейного цеха
Здание обогатительного цеха формовочных песков",09.03.002.002,,,,
,,,CHBC,,Здание (сооружение) объектов нанесения защитных покрытий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха антикоррозийного покрытия труб
Здание цеха защитной декоративной и высокодекоративной окраски, пропитки, эмалирования
Здание цеха электрохимических покрытий",,,,,
,,,CHBD,,Здание (сооружение) объектов порошковой металлургии,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха механозаготовительный с отделением холодной штамповки, холодноштамповочные
Здание цеха по производству изделий из металлических порошков специальными методами",09.02.001.,,,,
,,CHC,,,Объекты промышленности обычных вооружений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,11.03.003.,,,,
,,,CHCA,,Здание (сооружение) объектов производства военных боеприпасов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание порохового цеха
Здание цеха по производству военных боеприпасов
Здание цеха по производству гильзовых боеприпасов","11.03.003.001
07.05.002.001
07.05.002.002",,,,
,,,CHCB,,"Здание (сооружение) объектов производства оружия, создаваемого на основе ядерных оружейных технологий, и его составных частей",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству комплексов, установок, стендов, испытательного и производственно­технологического оборудования для разработки, изготовления, эксплуатации и ликвидации оружия на основе ядерных оружейных технологий
Здание цеха по производству оружия, создаваемого на основе ядерных оружейных технологий, и его составных частей
Здание цеха по производству ядерных энергетических установок военного назначения и их наземных стендов- прототипов",11.03.099.099,,,,
,,,CHCC,,Здание (сооружение) объектов производства пневматических или газовых ружей и пистолетов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству пневматических или газовых пистолетов
Здание цеха по производству пневматических или газовых ружей
Комплексный объект - Производство пневматических или газовых ружей и пистолетов",11.03.003.002,,,,
,,,CHCD,,Здание (сооружение) объектов производства стрелкового оружия,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству гранатометов
Здание цеха по производству малокалиберных пушек
Здание цеха по производству стрелкового оружия (револьверов, дробовиков и пр.)",11.03.003.002,,,,
,,,CHCE,,Здание (сооружение) объектов производства тяжелого оружия,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству передвижного оружия
Здание цеха по производству ракет
Здание цеха по производству ракетных пусковых установок",11.03.003.003,,,,
,,CHD,,,"Объекты промышленности паровых котлов, металлических цистерн, резервуаров и прочих емкостей",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,11.03.002.,,,,
,,,CHDA,,"Здание (сооружение) объектов производства ёмкостей, баков, резервуаров",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству аппаратов колонного типа
Здание цеха по производству баков, бункеров
Здание цеха по производству газгольдеров",11.03.002.002,,,,
,,,CHDB,,Здание (сооружение) объектов производства котлов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по выпуску котельно­вспомогательного оборудования
Здание цеха по производству котлов",11.03.002.002,,,,
,,,CHDC,,Здание (сооружение) объектов производства реакторов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству водо­водяных энергетических реакторов для АЭС
Здание цеха по производству реакторов канального типа для АЭС
Здание цеха по производству реакторов малой мощности для АЭС",05.05.099.099,,,,
,,CHE,,,"Здание (сооружение) объектов промышленности режущих изделий, инструментов и универсальных скобяных изделий",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству металлических ручных инструментов и универсальных скобяных изделий
Здание цеха по производству ножей
Здание цеха по производству столовых приборов","11.03.001.001
11.03.001.003
11.04.005.005",,,,
,,CHF,,,Объекты производства строительных конструкций,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству легких металлоконструкций
Здание цеха по производству строительных стальных конструкций",09.02.004.001,,,,
,CJ,,,,"Объекты промышленности лекарственных средств, материалов и оборудования, применяемых в медицинских целях",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,"07.10.
11.02.
11.06.005.",,,,
,,CJA,,,Объекты медицинской промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,"07.10.
11.02.
11.06.005.",,,,
,,,CJAA,,Здание (сооружение) объектов производства белково-витаминных концентратов из Н-парафинов - паприн и газа - гаприн,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание завода по производству паприна (отделение выращивания)
Здание завода по производству паприна (отделение: сепарации, выпарки и чистой культуры)
Здание цеха по производству гаприна",07.10.003.005,,,,
,,,CJAB,,"Здание (сооружение) объектов производства материалов и оборудования, применяемых в медицинских целях",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству одноразовых шприцов
Здание цеха по производству перевязочных материалов
Здание цеха производства одноразовых медицинских перчаток","11.02.001.001
11.02.001.002",,,,
,,,CJAC,,Здание (сооружение) объектов производства медицинских изделий из стекла,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству аптекарской стеклотары
Здание цеха по производству других медицинских изделий из стекла
Здание цеха по производству стеклянных ампул (флаконов)",11.02.002.001,,,,
,,,CJAD,,"Здание (сооружение) объектов производства медицинских инструментов, приборов",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству медицинских инструментов (оборудования) без литейного производства
Здание цеха по производству медицинских инструментов и медицинского оборудования
Здание цеха по производству медицинских приборов","11.02.003.001
11.02.003.002
11.02.003.003
",,,,
,,CJB,,,Объекты промышленности фармацевтических субстанций,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,07.10.003.,,,,
,,,CJBA,,Здание (сооружение) объектов предприятий гидролизной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание гидролизного фурфурольно­дрожжевого цеха
Здание гидролизного цеха по производству ксилита, дрожжей, фурфурола из древесного сырья
Здание гидролизного цеха по производству спирта, дрожжей, фурфурола",07.10.003.001,,,,
,,,CJBB,,Здание (сооружение) объектов производства антибиотиков,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха многокомпонентной ректификации растворителей
Здание цеха по производству жидких вакцин
Здание цеха по производству лечебных сывороток
Здание цеха по производству сухих вакцин",07.10.002.001,,,,
,,,CJBC,,Здание (сооружение) объектов производства антибиотических средств защиты растений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по выпуску трихотецина
Здание цеха по выпуску фитобактериамицина",07.01.001.001,,,,
,,,CJBD,,Здание (сооружение) объектов производства бактериальных средств защиты растений,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание опытно-промышленного корпуса для отработки регламентов
Здание центральной заводской линии (Цзл)
Здание цеха по выпуску бактериальных средств защиты растений",07.01.001.001,,,,
,,,CJBE,,Здание (сооружение) объектов производства витаминов и коферментов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха выделения сульфата натрия из отходов производства
Здание цеха получения готового продукта 70 %-го раствора сорбита
Здание цеха получения готового продукта сорбита кристаллического",07.10.003.005,,,,
,,,CJBF,,"Здание (сооружение) объектов производства кормового концентрата лизина, кристаллического кормового лизина",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству кормового концентрата лизина
Здание цеха по производству кристаллического кормового лизина
Здание цеха по производству кристаллического лизина",07.10.003.003,,,,
,,,CJBG,,Здание (сооружение) объектов производства ферментных препаратов и высокоочищенных аминокислот,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание завода по производству ферментных препаратов и высокоочищенных аминокислот
Здание цеха по производству высокоочищенных аминокислот
Здание цеха по производству ферментных препаратов и высокоочищенных аминокислот","07.10.003.002
07.10.003.004",,,,
,,CJC,,,Объекты фармацевтической промышленности,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,07.10.,ВН ПН 40 10 36,,,
,,,CJCA,,"Здание (сооружение) объектов производства антибиотиков - тилозина, биоветина и др",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству биовита- 80
Здание цеха по производству тилозина
Здание цеха ферментации",07.10.002.001,,,,
,,,CJCB,,Здание (сооружение) объектов производства готовых лекарственных средств,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха наполнения крупноемких ампул в два потока
Здание цеха наполнения мелкоемких ампул в два потока",07.10.002.001,,,,
,,,CJCC,,Здание (сооружение) объектов производства премиксов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание завода по производству премиксов (со складом наполнителя)
Здание цеха по производству премиксов",07.10.003.003,,,,
,,CJE,,,"Здание (сооружение) объектов подсобного и обслуживающего назначения медицинской, фармацевтической промышленности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание административно-бытового блока
Здание вспомогательного корпуса завода
Здание вспомогательного цеха",07.12.002.,,,,
,CK,,,,"Объекты промышленности продуктов древесины, деревообрабатывающей и мебельной промышленности, целлюлозо-бумажной промышленности, полиграфической промышленности",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,,,,,
,,CKA,,,Объекты полиграфической промышленности и промышленности копированных носителей информации,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,02.01.005.,ВН ПН 40 10 26,,,
,,,CKAA,,Здание (сооружение) объектов предприятий по тиражированию CD/DVD- дисков,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха печати на CD/DVD- дисках
Здание цеха тиражирования CD/DVD- дисков на репликационной линии
Здание цеха упаковки CD/DVD-дисков",02.01.005.001,,,,
,,,CKAB,,Здание (сооружение) объектов предприятий полиграфической промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание книжно-экспедиционной базы
Здание типографии универсальной
Здание цеха высокой печати",02.01.005.002,,,,
,,CKB,,,Объекты промышленности изделий из бумаги и картона,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,11.04.001.,,,,
,,,CKBA,,Здание (сооружение) объектов производства изделий из бумаги,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха бумажной промышленности
Здание цеха по производству бугорчатых прокладок
Здание цеха по производству бумажно-беловых товаров",11.04.001.001,,,,
,,,CKBB,,Здание (сооружение) объектов производства изделий из картона,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству картонных ящиков
Здание цеха по производству обувных картонов
Здание цеха по производству склеенного или гофрированного картона",11.04.001.001,,,,
,,CKC,,,"Объекты промышленности изделий из дерева, пробки, соломки и материалов для плетения",," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,11.04.002.,ВН ПН 40 10 22,,,
,,,CKCA,,Здание (сооружение) объектов предприятий по выпуску древесно-стружечных и других видов стружечных плит,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха древесно-волокнистых плит
Здание цеха по выпуску древесно­стружечных плит
Здание цеха по выпуску клееной фанеры",08.07.007.001,,,,
,,,CKCB,,Здание (сооружение) объектов производства изделий из дерева,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание бондарной мастерской
Здание цеха изготовления доборных элементов дома
Здание цеха изготовления санитарно­технических кабин",11.04.002.001,,,,
,,CKD,,,"Объекты промышленности по распиловке, строганию, предварительной обработке древесины",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.04.003.,,,,
,,,CKDA,,Здание (сооружение) объектов лесопильного предприятия,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание (сооружение) лесопильного цеха
Здание комплекса лесопильно­деревообрабатывающего предприятия
Здание окорочно-распиловочного цеха","06.04.003.001
06.04.003.002
06.04.003.003
06.04.003.004
06.04.003.005
06.04.003.006
06.04.003.007",,,,
,,,CKDB,,Здание (сооружение) объектов предприятий деревообрабатывающей промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание деревообрабатывающей мастерской
Здание дровобалансового цеха
Здание цеха деревообрабатывающей промышленности","06.04.003.001
06.04.003.002",,,,
,,CKE,,,"Объекты промышленности целлюлозы, древесной массы, бумаги и картона",," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,07.11.,ВН ПН 40 10 24,,,
,,,CKEA,,"Здание (сооружение) объектов заводов макулатурной массы, хлопковой и тряпичной полумассы",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание варочного цеха бумажной промышленности
Здание цеха варки и отбелки заводов тряпичной и хлопковой полумассы
Здание цеха необесцвеченной макулатурной массы",07.11.001.,,,,
,,,CKEB,,"Здание (сооружение) объектов заводов побочных продуктов промышленности целлюлозы, древесной массы, бумаги и картона",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание завода побочных продуктов при производстве целлюлозы
Здание цеха заводов побочных продуктов
Здание цеха комплексной переработки древесной зелени",07.11.002.001,,,,
,,,CKEC,,"Здание (сооружение) объектов подготовки древесного сырья целлюлозных, древесно­массных заводов и заводов термомеханической и химикотермомеханической массы из щепы",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание древесно-подготовительного цеха, включая окорочное, древесно­подготовительное, сортировочное, здание короотжимного цеха, станция, участок
Здание цеха аккумулирования щепы, промывки, пропарки, пропитки химикатами, размола щепы на рафинерах
Сооружение непрерывного транспорта балансов, щепы, коры и древесных отходов (конвейерный, трубопроводный)",07.11.099.099,,,,
,,,CKED,,Здание (сооружение) объектов предприятий по производству бумаги и картона,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание картонажно-печатного цеха
Здание картоноделательного цеха
Здание цеха бумаго-и картоноделательных машин",07.11.003.002,,,,
,,,CKEE,,Здание (сооружение) объектов производства полуфабрикатов целлюлозо­бумажной промышленности,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание дефибрерного цеха заводов белой древесной массы
Здание цеха аэрофонтанной сушки, упаковки, транспорта товарной массы
Здание цеха по производству беленой термомеханической и химикотермомеханической массы",07.11.004.001,,,,
,,,CKEF,,Здание (сооружение) объектов производства целлюлозы и полуцеллюлозы,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание выпарного цеха целлюлозно­бумажной промышленности
Здание кислотного цеха целлюлозно­бумажной промышленности
Здание цеха беленой сульфитной целлюлозы",07.11.005.001,,,,
,,CKF,,,Здание (сооружение) объектов мебельной промышленности,," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Здание цеха по выпуску корпусной мебели
Здание цеха по выпуску решетчатой мебели
Здание цеха по производству мягкой мебели",11.04.004.001,ВН ПН 40 10 58,,,
,,CKG,,,Объекты вспомогательной инфраструктуры промышленности продуктов древесины,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,06.05.002.,,,,
,,,CKGA,,"Здание (сооружение) объектов вспомогательного и обслуживающего назначения целлюлозных заводов, бумажных и картонных фабрик",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание ремонтно-механической мастерской при производстве целлюлозы
Здание цеха метрологии и ремонта КИП при производстве целлюлозы
Здание цеха регенерации химикатов","07.12.002.005
07.12.004.012
",,,,
,,,CKGB,,Здание (сооружение) объектов вспомогательного назначения предприятий по производству изделий из дерева,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание ремонтно-механического цеха деревообрабатывающей промышленности
Сооружение бассейна для хранения и теплообработки сырья
Сооружение станции сбора отходов деревообрабатывающей промышленности","06.05.002.003
06.04.003.007 
01.03.001.001",,,,
,CL,,,,"Объекты промышленности резиновых, пластмассовых изделий, неметаллической минеральной продукции",," Приказ Минстроя России от 02.11.2022 N 928/пр 
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду ОКС,,,ВН ПН 40 10 38,,,
,,CLA,,,Объекты производства пластмасс,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.07.006.,,,,
,,,CLAA,,Здание (сооружение) объектов производства изделий из стеклопластика,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание модельного цеха производства изделий из стеклопластиков
Здание цеха производства бытовой стеклосетки
Здание цеха производства многослойных контурных изделий",08.07.006.002,,,,
,,,CLAB,,Здание (сооружение) объектов производства строительных изделий и материалов из пластмасс,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству бумажно-слоистого декоративного пластика
Здание цеха по производству вакуумформовочных изделий
Здание цеха по производству декалина",08.07.006.003,,,,
,,CLB,,,"Объекты производства сортового цемента, извести и гипса",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.07.004.,,,,
,,,CLBA,,"Здание (сооружение) объектов подготовки компонентов для производств цемента, извести и гипса",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание углеподготовительного цеха цементного производства
Здание цеха подсушки сырья
Здание цеха помола и сушки сырья
Здание цеха предварительного измельчения сырья
Здание цеха упаковки цементного производства",08.07.004.001,,,,
,,,CLBB,,"Здание (сооружение) объектов производства цемента, извести и гипса",, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание известкового цеха
Здание цеха вертикальных шламбассейнов
Здание цеха глиноболтушек",08.07.004.001,,,,
C,CL,,CLBC,,Здание (сооружение) объектов предприятий по производству асбестоцементных изделий,,СП 18.13330.2019,,,08.07.005.003,,,,
,,CLC,,,Объекты промышленности другой неметаллической минеральной продукции,, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,,ВН ПН 40 10 40,,,
,,,CLCA,,Здание (сооружение) объектов производства изделий из абразивных материалов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха изготовления абразивного инструмента
Здание цеха изготовления алмазного инструмента
Здание цеха изготовления гибкого шлифовального инструмента",11.03.001.001,,,,
,,,CLCB,,Здание (сооружение) объектов производства легких заполнителей,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание дробильно-сортировочного цеха для производства перлитового песка
Здание сушильно-печного цеха по производству легких заполнителей
Здание технологической линии по производству вспученного перлитового песка для бетонов",08.07.001.002,,,,
,,,CLCC,,Здание (сооружение) объектов производства слюдопласта,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству непропитанных слюдобумаг
Здание цеха по производству пропитанных лаками слюдобумаг",11.05.010.001,,,,
,,,CLCD,,Здание (сооружение) объектов производства теплоизоляционных материалов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха волокнообразования и производства изделий
Здание цеха плавки и волокнообразования
Здание цеха по производству минераловатных изделий",08.07.099.099, ,,,
,,,CLCE,,Здание (сооружение) объектов производства электроизоляционных материалов,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание цеха по производству электроизоляционных материалов из слюды
Здание цеха по производству электроизоляционных материалов из электрокерамики",11.05.010.,,,,
,,CLD,,,"Объекты промышленности изделий из бетона, цемента и гипса",, Приказ Минстроя России от 02.11.2022 N 928/пр ,По виду ОКС,,08.07.004.,,,,
,,,CLDA,,Здание (сооружение) объектов производства асбоцементных изделий,, Приказ Минстроя России от 02.11.2022 N 928/пр ,,"Здание массозаготовительного цеха асбоцементных изделий
Здание фабрикационного цеха асбоцементных изделий
Здание цеха асбоцементных изделий",08.07.005.003,,,,
