code,level_1,level_2,level_3,level_4,param_1,param_2
ВН НН,Объекты непроизводственного назначения,,,,,
ВН НН 10,,Административно-деловые объекты,,,,
ВН НН 10 10,,,"Объект органов государственной власти и органов местного
самоуправления",,001 001,Ф4
ВН НН 10 10 10,,,,Объект органов государственной власти РФ,001001001,Ф4.3
ВН НН 10 10 20,,,,Объект органов государственной власти городов федерального значения,001001002,Ф4.3
ВН НН 10 10 30,,,,Объект органов государственной власти субъектов РФ,001001003,Ф4.3
ВН НН 10 10 40,,,,Объект органов местного самоуправления,001001004,Ф4.3
ВН НН 10 20,,,"Объект правосудия, прокуратуры, адвокатуры и нотариата",,001002,
ВН НН 10 20 10,,,,Суд,001002001,Ф4.3
ВН НН 10 20 20,,,,Прокуратура,001002002,Ф4.3
ВН НН 10 20 30,,,,Объект осуществления адвокатской деятельности,001002003,Ф4.3
ВН НН 10 20 40,,,,Объект осуществления нотариальной деятельности,001002004,Ф4.3
ВН НН 10 30,,,Объект обеспечения безопасности и охраны правопорядка,,001003,
ВН НН 10 30 10,,,,Здание полиции,001003001,Ф4.3
ВН НН 10 30 20,,,,Здание ГИБДД,001003002,Ф4.3
ВН НН 10 30 30,,,,Пост дорожно-патрульной службы,001003003,Ф4.3
ВН НН 10 30 40,,,,Участковый пункт полиции и общественные пункты охраны порядка,001003004,Ф4.3
ВН НН 10 40,,,Административно-деловой объект иного типа,,001004,
ВН НН 10 40 10,,,,Объект таможенных органов,001004001,Ф4.3
ВН НН 10 40 15,,,,Здание налоговой инспекции,001004002,Ф4.3
ВН НН 10 40 20,,,,Здание Пенсионного фонда РФ,001004003,Ф4.3
ВН НН 10 40 25,,,,Здание Федерального фонда обязательного медицинского страхования,001004003,Ф4.3
ВН НН 10 40 30,,,,Здание Фонда социального страхования РФ,001004003,Ф4.3
ВН НН 10 40 35,,,,Отдел записи актов гражданского состояния,001004004,Ф4.3
ВН НН 10 40 40,,,,Дворец бракосочетания,001004004,Ф4.3
ВН НН 10 40 45,,,,Посольство,001004005,Ф4.3
ВН НН 10 40 50,,,,Консульство,001004005,Ф4.3
ВН НН 10 40 55,,,,Торговое представительство иностранных государств,001004005,Ф4.3
ВН НН 10 40 60,,,,Многофункциональный центр предоставления государственных и муниципальных услуг,001004006,Ф3.5
ВН НН 10 50,,,Офисный объект,,001005,
ВН НН 10 50 10,,,,Офисное здание,001005001,Ф4.3
ВН НН 10 50 20,,,,Деловой центр,001005002,Ф4.3
ВН НН 10 60,,,Объект финансово-кредитных и страховых организаций,,001006,
ВН НН 10 60 10,,,,Банк,001006001,Ф4.3
ВН НН 10 60 20,,,,Страховая организация,001006002,Ф4.3
ВН НН 10 70,,,Объект научной деятельности,,001007,
ВН НН 10 70 10,,,,Научно-исследовательский институт,001007001,Ф4.3
ВН НН 10 70 20,,,,Здание лабораторное,001007002,Ф5.1
ВН НН 10 70 30,,,,Здание экспериментальных мастерских,001007003,Ф5.1
ВН НН 10 70 40,,,,Научная и опытная станция,001007004,Ф5.1
ВН НН 10 70 50,,,,Научная и опытная лаборатория,001007005,Ф5.1
ВН НН 10 70 60,,,,Центр информационно-вычислительный,001007006,Ф5.1
ВН НН 10 80,,,Объект инновационной инфраструктуры,,001008,
ВН НН 10 80 10,,,,Объект технологических парков,001008001,Ф4.3
ВН НН 10 80 20,,,,Объект бизнес-инкубатора,001008002,Ф4.3
ВН НН 10 80 30,,,,Объект технополисов,001008003,Ф4.3
ВН НН 10 80 40,,,,Объект инновационных парков,001008004,Ф4.3
ВН НН 10 90,,,Объект проектного и изыскательского назначения,,001009,
ВН НН 10 90 10,,,,Конструкторское бюро,001009001,Ф4.3
ВН НН 10 90 20,,,,Проектный институт,001009002,Ф4.3
ВН НН 10 90 30,,,,Объект организации инженерных изысканий,001009003,Ф4.3
ВН НН 10 90 40,,,,Гидрометеоцентр,001009004,Ф4.3
ВН НН 10 90 50,,,,Радиометеоцентр,001009004,Ф4.3
ВН НН 20,,Учебно-воспитательные объекты,,,002,
