code,level_1,level_2,level_3,level_4,param_1
ТС 09 20 15,,,Выемки дорожные,,POL
ТС 09 20 16,,,Селеспуски,,POL
ТС 09 20 00,,,Транспортные сооружения,,POL
ТС 09 20 00 01,,,,Мост и путепровод однопролетный металлический,POL
ТС 09 20 00 02,,,,"Мост и путепровод однопролетный каменный, железобетонный",POL
ТС 09 20 00 03,,,,Мост и путепровод однопролетный деревянный,POL
ТС 09 20 00 04,,,,Мост и путепровод многопролетный металлический,POL
ТС 09 20 00 05,,,,"Мост и путепровод многопролетный каменный, железобетонный",POL
ТС 09 20 00 06,,,,Мост и путепровод многопролетный деревянный,POL
ТС 09 20 00 07,,,,"Мост двухъярусный, верхний ярус - автодорога, нижний - ж.д.",POL
ТС 09 20 00 08,,,,"Мост двухъярусный, верхний ярус - ж.д., нижний - автодорога",POL
ТС 09 20 00 09,,,,Мост и путепровод на общем пролетном основании,POL
ТС 09 20 00 10,,,,Мост и путепровод на разобщенном основании,POL
ТС 09 20 00 11,,,,"Мост подъемный, разводной металлический",POL
ТС 09 20 00 12,,,,"Мост подъемный, разводной каменный, железобетонный",POL
ТС 09 20 00 13,,,,"Мост подъемный, разводной деревянный",POL
ТС 09 20 00 14,,,,Мост цепной и канатный,POL
ТС 09 20 00 15,,,,Мост малый (без разделения),POL
ТС 09 20 00 16,,,,Мост малый деревянный,POL
ТС 09 20 00 17,,,,"Мост малый каменный, железобетонный",POL
ТС 09 20 00 18,,,,Мост малый металлический,POL
ТС 09 20 00 19,,,,Мост наплавной,POL
ТС 09 20 00 20,,,,Мост разборный деревянный,POL
ТС 09 20 00 21,,,,Мост пешеходный,POL
ТС 09 20 00 22,,,,Мост пешеходный висячий,POL
ТС 09 20 00 23,,,,"Опора моста, путепровода",POL
ТС 09 20 00 24,,,,Промежуточный устой (бык) мостового перехода,POL
ТС 09 20 00 25,,,,Разводной участок моста металлический,POL
ТС 09 20 00 26,,,,"Разводной участок моста каменный, железобетонный",POL
ТС 09 20 00 27,,,,Разводной участок моста деревянный,POL
ТС 09 20 00 28,,,,Пролетное строение моста,POL
ТС 09 20 00 29,,,,Проезжая часть моста,POL
ТС 09 20 00 30,,,,Пешеходная часть моста,POL
ТС 09 20 00 31,,,,Часть моста со ступенями,POL
ТС 09 20 00 32,,,,Туннель,POL
ТС 09 20 00 33,,,,Эстакада путепроводная,POL
ТС 09 20 00 34,,,,Эстакада крановая,POL
ТС 09 20 00 35,,,,Эстакада технологическая,POL
ТС 09 20 00 36,,,,Эстакада погрузочная,POL
ТС 09 20 00 37,,,,Эстакада для ремонта автомашин,POL
ТС 09 20 00 38,,,,Эстакада портовая,POL
ТС 09 20 00 39,,,,Эстакада портовая строящаяся,POL
ТС 09 20 00 40,,,,Переход подземный (туннель пешеходный),POL
ТС 09 20 00 41,,,,Переход надземный,POL
ТС 09 20 00 42,,,,Лестничный марш,POL
ТС 09 20 00 43,,,,Лестничная площадка,POL
ТС 09 30,,Дороги - надписи,,,LAB
ТС 10,Железные дороги,,,,
ТС 10 00,,Точечные объекты железных дорог,,,PNT
ТС 10 00 01,,,Выход линии метро на поверхность,,PNT
ТС 10 00 02,,,Станции,,PNT
ТС 10 00 02 01,,,,Станция ж.д.,PNT
ТС 10 00 02 02,,,,Остановочный пункт ж.д.,PNT
ТС 10 00 02 03,,,,Станция на узкоколейных ж.д.,PNT
ТС 10 00 02 04,,,,Станция метро,PNT
ТС 10 00 02 05,,,,Вход в станцию метро,PNT
ТС 10 00 03,,,Регулировщики,,PNT
ТС 10 00 03 01,,,,Светофор мачтовый,PNT
ТС 10 00 03 02,,,,Светофор карликовый,PNT
ТС 10 00 03 03,,,,Контроллер управления светофором,PNT
ТС 10 00 03 04,,,,Семафор,PNT
ТС 10 00 03 05,,,,Семафор на мостике консольном,PNT
ТС 10 00 04,,,Стрелки переводные ,,PNT
ТС 10 00 05,,,Опоры контактной сети,,PNT
ТС 10 00 05 01,,,,Опора контактной сети односторонняя,PNT
ТС 10 00 05 02,,,,Опора контактной сети двухсторонняя,PNT
ТС 10 00 06,,,Концы рельсовых путей,,PNT
ТС 10 00 06 01,,,,Концы рельсовых путей (тупик),PNT
ТС 10 00 06 02,,,,Концы рельсовых путей без упоров,PNT
ТС 10 00 06 03,,,,Концы рельсовых путей с упорами,PNT
ТС 10 00 06 04,,,,Концы рельсовых путей с упором и балластной призмой,PNT
ТС 10 00 07,,,Вентиляторы метро,,PNT
ТС 10 00 07 01,,,,Вентилятор метро наземный квадратный ,PNT
ТС 10 00 07 02,,,,Вентилятор метро наземный круглый,PNT
ТС 10 00 07 03,,,,Вентилятор метро подземный квадратный,PNT
ТС 10 00 07 04,,,,Вентилятор метро подземный круглый,PNT
ТС 10 00 08,,,Ж.д. указатели,,PNT
ТС 10 00 08 01,,,,Указатель расстояний ж.д.,PNT
ТС 10 00 08 02,,,,Указатель направления входа в метро,PNT
ТС 10 00 08 03,,,,Знак ж.д. сигнализации,PNT
ТС 10 10,,Линейные объекты железных дорог,,,LIN
ТС 10 10 00,,,Пути и линии,,LIN
ТС 10 10 00 01,,,,Железная дорога колеей менее 1520 мм,LIN
ТС 10 10 00 03,,,,Недействующая железная дорога,LIN
ТС 10 10 00 04,,,,Железная дорога строящаяся колеи 1520 мм,LIN
ТС 10 10 00 05,,,,Железная дорога строящаяся колеи менее 1520 мм,LIN
ТС 10 10 00 06,,,,Железная дорога колеи 1520 мм не электрофицированная однопутная,LIN
ТС 10 10 00 07,,,,Железная дорога колеи 1520 мм не электрофицированная двухпутная,LIN
ТС 10 10 00 08,,,,Железная дорога колеи 1520 мм не электрофицированная трёхпутная,LIN
ТС 10 10 00 09,,,,Железная дорога колеи 1520 мм не электрофицированная четырёхпутная,LIN
ТС 10 10 00 10,,,,Железная дорога колеи 1520 мм электрофицированная однопутная,LIN
ТС 10 10 00 11,,,,Железная дорога колеи 1520 мм электрофицированная двухпутная,LIN
ТС 10 10 00 12,,,,Железная дорога колеи 1520 мм электрофицированная трёхпутная,LIN
ТС 10 10 00 13,,,,Железная дорога колеи 1520 мм электрофицированная четырёхпутная,LIN
ТС 10 10 00 14,,,,Железнодорожные пути колеи 1520 мм станционные главные,LIN
ТС 10 10 00 15,,,,Железнодорожные пути колеи 1520 мм станционные главные,LIN
ТС 10 10 00 16,,,,Железнодорожные пути колеи 1520 мм станционные главные,LIN
ТС 10 10 00 17,,,,Линия метрополитена наземная,LIN
ТС 10 10 00 18,,,,Линия метрополитена подземная,LIN
ТС 10 10 00 19,,,,Пути метрополитена станционные,LIN
ТС 10 10 00 20,,,,Пути метрополитена вспомогательные,LIN
ТС 10 10 00 21,,,,Пути метрополитена подъездные,LIN
ТС 10 10 00 22,,,,Трамвайная линия,LIN
ТС 10 10 00 23,,,,Трамвайная линия строящаяся,LIN
ТС 10 10 00 24,,,,Пути трамвайные станционные,LIN
ТС 10 10 00 25,,,,Пути трамвайные вспомогательные,LIN
ТС 10 10 00 26,,,,Пути трамвайные подъездные,LIN
ТС 10 10 01,,,Регулировщики,,LIN
ТС 10 10 01 01,,,,Светофор подвесной (светофорная арка),LIN
ТС 10 10 01 02,,,,Опорный мостик семафоров,LIN
ТС 10 10 01 03,,,,Шлагбаум,LIN
ТС 10 20,,Объекты железных дорог - полигоны,,,POL
ТС 10 20 01,,,Платформы,,POL
ТС 10 20 01 01,,,,Платформа пассажирская открытая,POL
ТС 10 20 01 02,,,,Платформа пассажирская крытая,POL
ТС 10 20 01 03,,,,Платформа грузовая и погрузочно-разгрузочная площадка,POL
ТС 10 20 01 04,,,,Платформа грузовая с бортовым камнем,POL
ТС 10 20 01 05,,,,Платформа грузовая без бортового камня,POL
ТС 10 20 02,,,Здания станционные,,POL
ТС 10 20 02 01,,,,Здание станционное огнестойкое,POL
ТС 10 20 02 02,,,,Здание станционное не огнестойкое,POL
ТС 10 20 03,,,Круги поворотные,,POL
ТС 10 20 04,,,Путевые посты,,POL
ТС 10 20 05,,,Переезды через железные дороги,,POL
ТС 10 20 06,,,Вентиляторы метро,,POL
ТС 10 20 06 01,,,,Вентилятор метро наземный,POL
ТС 10 20 06 02,,,,Вентилятор метро подземный,POL
ТС 10 30,,Объекты железных дорог - надписи,,,LAB
ТС 11,ЛЭП,,,,
ТС 11 00,,Точечные объекты ЛЭП,,,PNT
ТС 11 00 01,,,Столбы деревянные,,PNT
ТС 11 00 01 01,,,,Столб деревянный с молниеотводом,PNT
ТС 11 00 01 02,,,,Столб деревянный с фонарем,PNT
ТС 11 00 01 03,,,,Столб деревянный с фонарем двойным,PNT
ТС 11 00 01 04,,,,Столб деревянный с часами,PNT
ТС 11 00 01 05,,,,Столб деревянный с фонарем и часами,PNT
ТС 11 00 01 06,,,,Столб деревянный с прожектором,PNT
ТС 11 00 02,,,Столбы металлические,,PNT
ТС 11 00 02 01,,,,Столб металлический с молниеотводом,PNT
ТС 11 00 02 02,,,,Столб металлический с фонарем,PNT
ТС 11 00 02 03,,,,Столб металлический с фонарем двойным,PNT
ТС 11 00 02 04,,,,Столб металлический с часами,PNT
ТС 11 00 02 05,,,,Столб металлический с фонарем и часами,PNT
ТС 11 00 02 06,,,,Столб металлический с прожектором,PNT
ТС 11 00 03,,,Столбы железобетонные,,PNT
ТС 11 00 03 01,,,,Столб железобетонный с молниеотводом,PNT
ТС 11 00 03 02,,,,Столб железобетонный с фонарем,PNT
ТС 11 00 03 03,,,,Столб железобетонный с фонарем двойными,PNT
ТС 11 00 03 04,,,,Столб железобетонный с часами,PNT
ТС 11 00 03 05,,,,Столб железобетонный с фонарем и часами,PNT
ТС 11 00 03 06,,,,Столб железобетонный с прожектором,PNT
ТС 11 00 04,,,Столбы фермовые,,PNT
ТС 11 00 04 01,,,,Столб фермовый круглый,PNT
ТС 11 00 04 02,,,,Столб фермовый круглый с молниеотводом,PNT
ТС 11 00 04 03,,,,Столб фермовый квадратный,PNT
ТС 11 00 04 04,,,,Столб фермовый квадратный с молниеотводом,PNT
ТС 11 00 05,,,Прожекторы карликовые постоянные,,PNT
ТС 11 00 06,,,Переходы от воздушных ЛЭП к кабельным подземным,,PNT
ТС 11 00 07,,,Точки подключения ЛЭП к зданиям (сооружениям),,PNT
ТС 11 00 07 01,,,,Точка подключения ЛЭП к зданиям (сооружениям) надземная,PNT
ТС 11 00 07 02,,,,Точка подключения ЛЭП к зданиям (сооружениям) подземная,PNT
ТС 11 10,,Линейные объекты ЛЭП,,,LIN
ТС 11 10 01,,,Консоли,,LIN
ТС 11 10 02,,,Перемычки опор,,LIN
ТС 11 10 03,,,ЛЭП на незастроенной территории высокого напряжения,,LIN
ТС 11 10 04,,,ЛЭП на незастроенной территории низкого напряжения,,LIN
ТС 11 10 05,,,ЛЭП на застроенной территории высокого напряжения,,LIN
ТС 11 10 06,,,ЛЭП на застроенной территории низкого напряжения,,LIN
ТС 11 10 07,,,Граница охранной зоны ЛЭП,,LIN
ТС 11 30,,Объекты ЛЭП - надписи,,,LAB
ТС 12,Электрокабели,,,,
ТС 12 00,,Точечные объекты сети электрокабеля,,,PNT
ТС 12 00 01,,,Кабельные столбики-сторожки,,PNT
ТС 12 00 02,,,Колодцы смотровые (люки) на электрокабелях,,PNT
ТС 12 00 03,,,Точки подключения электрокабеля к зданиям (сооружениям),,PNT
ТС 12 00 03 01,,,,Точка подключения электрокабеля к зданиям (сооружениям) надземная,PNT
ТС 12 00 03 02,,,,Точка подключения электрокабеля к зданиям (сооружениям) подземная,PNT
ТС 12 10,,Линейные объекты электрокабеля,,,LIN
ТС 12 10 01,,,Электрокабели подземные и подводные высокого напряжения,,LIN
ТС 12 10 02,,,Электрокабели подземные и подводные высокого напряжения в блоках,,LIN
ТС 12 10 03,,,Электрокабели подземные и подводные низкого напряжения,,LIN
ТС 12 10 04,,,Электрокабели подземные и подводные низкого напряжения в блоках,,LIN
ТС 12 10 05,,,Электрокабели подземные в каналах высокого напряжения,,LIN
ТС 12 10 06,,,Электрокабели подземные в каналах низкого напряжения,,LIN
ТС 12 10 07,,,"Электрокабели подводные, проложенные под дном, высокого напряжения",,LIN
ТС 12 10 08,,,"Электрокабели подводные, проложенные под дном, низкого напряжения",,LIN
ТС 12 10 09,,,"Зацементированные блоки кабелей, несколько кабелей в траншее",,LIN
ТС 12 10 10,,,Граница охранной зоны электрокабеля,,LIN
ТС 12 30,,Надписи объектов электрокабеля,,,LAB
ТС 13,Линии связи воздушные и кабельные,,,,
ТС 13 00,,Точечные объекты линий связи,,,PNT
ТС 13 00 01,,,Переходы от воздушных линий связи к кабельным подземным,,PNT
ТС 13 00 02,,,Радиостанции и TV центры,,PNT
ТС 13 00 03,,,"Мачты (TV-, радио- и радиорелейные)",,PNT
ТС 13 00 04,,,"Шкафы, будки",,PNT
ТС 13 00 04 01,,,,Будка телефонная вне здания,PNT
ТС 13 00 04 02,,,,Шкаф телефонный распределительный,PNT
ТС 13 00 05,,,Колодцы смотровые (люки) на кабелях связи,,PNT
ТС 13 00 06,,,Точки подключения линии связи к зданиям (сооружениям),,PNT
ТС 13 00 06 01,,,,Точка подключения линии связи к зданиям (сооружениям) надземная,PNT
ТС 13 00 06 02,,,,Точка подключения линии связи к зданиям (сооружениям) подземная,PNT
ТС 13 10,,Объекты линий связи - линии,,,LIN
ТС 13 10 01,,,Воздушные линии связи,,LIN
ТС 13 10 01 01,,,,Воздушно-проводная линия связи и технических средств управления (ТСУ) на незастроенной территории,LIN
ТС 13 10 01 02,,,,Воздушно-проводная линия связи и ТСУ на застроенной территории,LIN
ТС 13 10 01 03,,,,Воздушно-кабельная линия связи и ТСУ на незастроенной территории,LIN
ТС 13 10 01 04,,,,Воздушно-кабельная линия связи и ТСУ на застроенной территории,LIN
ТС 13 10 02,,,Кабели связи подводные и подземные ,,LIN
ТС 13 10 02 01,,,,Подводный кабель связи на поверхности дна,LIN
ТС 13 10 02 02,,,,"Подводный кабель связи, проложенный под дном или перекрытый наносами",LIN
ТС 13 10 03,,,Граница охранной зоны линии связи,,LIN
ТС 13 20,,Объекты линий связи - полигоны,,,POL
ТС 13 20 01,,,TV башни,,POL
ТС 13 30,,Надписи объектов линий связи,,,LAB
ТС 14,Водопровод,,,,
ТС 14 00,,Точечные объекты водопровода,,,PNT
ТС 14 00 01,,,Колодцы смотровые (люки) на водопроводах,,PNT
ТС 14 00 02,,,Узловая точка водопровода на фитинге,,PNT
ТС 14 00 03,,,Арматура водопроводной сети,,PNT
ТС 14 00 04,,,Точка подключения водопровода подземные,,PNT
ТС 14 00 05,,,Точка подключения водопровода наземные,,PNT
ТС 14 10,,Линейные объекты водопровода,,,LIN
ТС 14 10 01,,,Водопроводы наземные,,LIN
ТС 14 10 02,,,Водопроводы подземные,,LIN
ТС 14 10 03,,,Дюкеры на водопроводах,,LIN
ТС 14 10 04,,,Граница охранной зоны водопровода,,LIN
ТС 14 20,,Объекты водопровода - полигоны,,,POL
ТС 14 20 01,,,Камеры и колодцы на водопроводах наземные (граница),,POL
ТС 14 20 02,,,Камеры и колодцы на водопроводах подземные (граница),,POL
ТС 14 30,,Надписи объектов водопровода,,,LAB
ТС 15,Канализация хозяйственно-бытовая,,,,
ТС 15 00,,Точечные объекты канализации,,,PNT
ТС 15 00 01,,,Колодцы смотровые (люки) на канализационных сетях,,PNT
ТС 15 00 02,,,Узловая точка канализации на фитинге,,PNT
ТС 15 00 03,,,Арматура канализационной сети,,PNT
ТС 15 00 04,,,Точки подключения канализационной сети,,PNT
ТС 15 00 04 01,,,,Точка подключения канализационной сети к зданию (сооружению),PNT
ТС 15 00 04 02,,,,Точка подключения канализационной сети к КНС,PNT
ТС 15 10,,Линейные объекты канализации,,,LIN
ТС 15 10 01,,,Канализация хозяйственно-бытовая подземная самотечная,,LIN
ТС 15 10 02,,,Канализация хозяйственно-бытовая подземная напорная,,LIN
ТС 15 10 03,,,Дюкеры на канализационной сети,,LIN
ТС 15 10 04,,,Граница охранной зоны канализации,,LIN
ТС 15 20,,Объекты канализации - полигоны,,,POL
ТС 15 20 01,,,Камеры и колодцы хозяйственно-бытовой канализации (граница),,POL
ТС 15 20 02,,,Канализационная насосная станция (КНС),,POL
ТС 15 30,,Надписи объектов канализационной сети,,,LAB
ТС 16,Канализация ливневая,,,,
ТС 16 00,,Точечные объекты ливневой канализации,,,PNT
ТС 16 00 01,,,Колодцы водосборные (люки) на ливневой канализации,,PNT
ТС 16 00 02,,,Решетка дождеприемника,,PNT
ТС 16 00 03,,,Точки подключения ливневой канализации,,PNT
ТС 16 00 03 01,,,,Точка подключения ливневой канализации к ЛОС,PNT
ТС 16 00 03 02,,,,Точка подключения канализационной сети к КНС,PNT
ТС 16 10,,Линейные объекты ливневой канализации,,,LIN
ТС 16 10 01,,,Канализация ливневая открытая,,LIN
ТС 16 10 02,,,Канализация ливневая подземная,,LIN
ТС 16 20,,Объекты ливневой канализации - полигоны,,,POL
ТС 16 20 01,,,Камеры и колодцы водосборные (граница),,POL
ТС 16 20 02,,,Локальные очистные сооружения (ЛОС) на ливневой канализации,,POL
ТС 16 30,,Надписи объектов канализационной сети,,,LAB
ТС 17,Газопроводы,,,,
ТС 17 00,,Точечные объекты газопроводов,,,PNT
ТС 17 00 01,,,Колодцы смотровые (люки) на газопроводах,,PNT
ТС 17 00 02,,,Узловая точка газопровода на фитинге,,PNT
ТС 17 00 03,,,Арматура газопроводов,,PNT
ТС 17 00 04,,,Пункт газосборный,,PNT
ТС 17 00 05,,,Газозамерный узел,,PNT
ТС 17 00 06,,,Точка подключения к зданию (сооружению),,PNT
ТС 17 00 07,,,Точка перехода газопровода подземного в надземный,,PNT
ТС 17 10,,Объекты газопроводов - линии,,,LIN
ТС 17 10 01,,,Газопроводы наземные,,LIN
ТС 17 10 02,,,Газопроводы подземные,,LIN
ТС 17 10 03,,,Газопроводы надводные,,LIN
ТС 17 10 04,,,Газопроводы подводные,,LIN
ТС 17 10 05,,,Граница охранной зоны газопровода,,LIN
ТС 17 20,,Объекты газопроводов - полигоны,,,POL
ТС 17 20 01,,,Газокомпрессорные станции (ГКС),,POL
ТС 17 20 02,,,Прочие станции газопроводов,,POL
ТС 17 20 03,,,Ограждение надземные на газопроводах,,POL
ТС 17 30,,Надписи объектов газопроводов,,,LAB
ТС 18,Нефтепроводы,,,,
ТС 18 00,,Точечные объекты нефтепроводов,,,PNT
ТС 18 00 01,,,Колодцы смотровые (люки) на нефтепроводах,,PNT
ТС 18 00 02,,,Узловая точка нефтепровода на фитинге,,PNT
ТС 18 00 03,,,Арматура нефтепроводов,,PNT
ТС 18 00 04,,,Точка подключения нефтепровода к смотровому колодцу,,PNT
ТС 18 10,,Объекты нефтепроводов - линии,,,LIN
ТС 18 10 01,,,Нефтепроводы наземные,,LIN
ТС 18 10 02,,,Нефтепроводы подземные,,LIN
ТС 18 10 03,,,Нефтепроводы надводные,,LIN
ТС 18 10 04,,,Нефтепроводы подводные,,LIN
ТС 18 10 05,,,Граница охранной зоны нефтепровода,,LIN
ТС 18 20,,Объекты нефтепроводов - полигоны,,,POL
ТС 18 20 01,,,Дожимная насосная станция (ДНС),,POL
ТС 18 20 02,,,Станции перекачки нефти,,POL
ТС 18 30,,Надписи объектов нефтепроводов,,,LAB
ТС 19,Теплотрассы,,,,
ТС 19 00,,Точечные объекты теплотрассы,,,PNT
ТС 19 00 01,,,Узловая точка теплотрассы на фитинге,,PNT
ТС 19 00 02,,,Колодцы смотровые (люки) на теплосетях,,PNT
ТС 19 00 03,,,Арматура тепловой сети,,PNT
ТС 19 00 04,,,Точка подключения тепловой сети,,PNT
ТС 19 00 04 01,,,,Точка подключения тепловой сети к зданию (сооружению) надземная,PNT
ТС 19 00 04 02,,,,Точка подключения тепловой сети к зданию (сооружению) подземная,PNT
ТС 19 00 04 03,,,,Точка подключения тепловой сети к камере,PNT
ТС 19 10,,Линейные объекты теплотрассы,,,LIN
ТС 19 10 01,,,Теплотрассы наземные,,LIN
ТС 19 10 02,,,Теплотрассы подземные,,LIN
ТС 19 10 03,,,Теплотрассы в непроходных каналах,,LIN
ТС 19 10 04,,,Теплотрассы в полупроходных каналах,,LIN
ТС 19 10 05,,,Граница охранной зоны тепловой сети,,LIN
ТС 19 20,,Объекты теплотрассы - полигоны,,,POL
ТС 19 20 01,,,Камеры на теплотрассах наземные,,POL
ТС 19 20 02,,,Камеры на теплотрассах подземные,,POL
ТС 19 30,,Надписи объектов теплотрассы,,,LAB
ТС 20,Продуктопроводы,,,,
ТС 20 00,,Точечные объекты продуктопровода,,,PNT
ТС 20 00 01,,,Узловая точка продуктопровода на фитинге,,PNT
ТС 20 00 02,,,Колодец смотровой (люк) на продуктопроводе,,PNT
ТС 20 00 03,,,Колодец смотровой (люк) на мазутопроводе,,PNT
ТС 20 00 04,,,Колодец смотровой (люк) на бензопроводе,,PNT
ТС 20 00 05,,,Колодец смотровой (люк) на золопроводе,,PNT
ТС 20 00 06,,,Колодец смотровой (люк) на воздухопроводе,,PNT
ТС 20 00 07,,,Арматура продуктопровода,,PNT
ТС 20 00 08,,,Точка подключения продуктопровода,,PNT
ТС 20 00 08 01,,,,Точка подключения продуктопровода к зданию (сооружению) надземная,PNT
ТС 20 00 08 02,,,,Точка подключения продуктопровода к зданию (сооружению) подземная,PNT
ТС 20 00 08 03,,,,Точка подключения продуктопровода к смотровому колодцу,PNT
ТС 20 10,,Линейные объекты продуктопровода,,,LIN
ТС 20 10 01,,,Продуктопроводы наземные на грунте,,LIN
ТС 20 10 02,,,Продуктопроводы наземные на опорах,,LIN
ТС 20 10 03,,,Продуктопроводы наземные в коробах,,LIN
ТС 20 10 04,,,Продуктопроводы подземные,,LIN
ТС 20 10 05,,,Продуктопроводы надводные на опорах,,LIN
ТС 20 10 06,,,Продуктопроводы подводные,,LIN
ТС 20 10 07,,,Граница охранной зоны продуктопровода,,LIN
ТС 20 20,,Объекты продуктопровода - полигоны,,,POL
ТС 20 20 01,,,Станции перекачки продуктопроводов,,POL
ТС 20 20 02,,,Камеры и колодцы продуктопроводов,,POL
ТС 20 30,,Надписи объектов продуктопровода,,,LAB
ТС 21,Прочие трубопроводы,,,,
ТС 21 00,,Точечные объекты трубопровода,,,PNT
ТС 21 00 01,,,Колодец смотровые (люки) разрушенные,,PNT
ТС 21 00 02,,,"Колодец смотровые (люки), находящиеся под мощением",,PNT
ТС 21 00 03,,,Колодец смотровые (люки) подземных коммуникаций,,PNT
ТС 21 00 04,,,Узловая точка трубопровода на фитинге,,PNT
ТС 21 00 05,,,Арматура трубопровода,,PNT
ТС 21 00 06,,,Точка подключения прочих трубопроводов,,PNT
ТС 21 00 06 01,,,,Точка подключения прочих трубопроводов надземная,PNT
ТС 21 00 06 02,,,,Точка подключения прочих трубопроводов подземная,PNT
ТС 21 10,,Линейные объекты трубопровода,,,LIN
ТС 21 10 01,,,Трубопроводы наземные на грунте,,LIN
ТС 21 10 02,,,Трубопроводы наземные на опорах,,LIN
ТС 21 10 03,,,Трубопроводы наземные в коробах,,LIN
ТС 21 10 04,,,Трубопроводы подземные,,LIN
ТС 21 10 05,,,Трубопроводы надводные на опорах,,LIN
ТС 21 10 06,,,Трубопроводы подводные,,LIN
ТС 21 10 07,,,Граница охранной зоны трубопровода,,LIN
ТС 21 10 08,,,Станции перекачки трубопроводов,,LIN
ТС 21 10 09,,,Камеры и колодцы трубопроводов,,LIN
ТС 21 30,,Надписи объектов трубопровода,,,LAB
ТС 22,Растительность,,,,
ТС 22 00,,Точечные объекты растительности,,,PNT
ТС 22 00 01,,,Деревья,,PNT
ТС 22 00 01 01,,,,Дерево отдельно стоящее,PNT
ТС 22 00 01 02,,,,Дерево-ориентир хвойное,PNT
ТС 22 00 01 03,,,,Дерево-ориентир лиственное,PNT
ТС 22 00 01 04,,,,Дерево-ориентир фруктовое,PNT
ТС 22 00 02,,,Кусты,,PNT
ТС 22 00 02 01,,,,Куст отдельно стоящий,PNT
ТС 22 00 02 02,,,,Куст отдельно стоящий колючий,PNT
ТС 22 00 02 03,,,,Группа кустов,PNT
ТС 22 00 02 04,,,,Группа кустов колючих,PNT
ТС 22 00 03,,,Отметки глубины болота,,PNT
ТС 22 10,,Линейные объекты растительности,,,LIN
ТС 22 10 01,,,Лесополосы высотой до 4 м,,LIN
ТС 22 10 02,,,Лесополосы высотой 4 м и более,,LIN
ТС 22 10 03,,,"Полосы кустарников, живые изгороди",,LIN
ТС 22 10 04,,,Просеки,,LIN
ТС 22 20,,Объекты растительности - полигоны,,,POL
ТС 22 20 01,,,Леса,,POL
ТС 22 20 01 01,,,,Лес густой высокий,POL
ТС 22 20 01 02,,,,Лес густой низкорослый,POL
ТС 22 20 01 03,,,,Лес саженый высокоствольный,POL
ТС 22 20 01 04,,,,Лес редкий высокий,POL
ТС 22 20 01 05,,,,Лес редкий низкорослый,POL
ТС 22 20 01 06,,,,Бурелом площадной,POL
ТС 22 20 01 07,,,,Горелый и сухостойный лес,POL
ТС 22 20 01 08,,,,Криволесье,POL
ТС 22 20 01 09,,,,Поросль леса густая,POL
ТС 22 20 01 10,,,,Поросль леса редкая,POL
ТС 22 20 02,,,Вырубки,,POL
ТС 22 20 03,,,Лесопосадки молодые,,POL
ТС 22 20 04,,,Питомники лесных пород,,POL
ТС 22 20 05,,,Рощи,,POL
ТС 22 20 05 01,,,,Роща отдельная хвойная,POL
ТС 22 20 05 02,,,,Роща отдельная лиственная,POL
ТС 22 20 05 03,,,,Роща отдельная смешанная,POL
ТС 22 20 06,,,"Группы, заросли кустарниковые",,POL
ТС 22 20 06 01,,,,Заросли кустарников,POL
ТС 22 20 06 02,,,,Заросли кустарников колючих,POL
ТС 22 20 06 03,,,,Группа кустарников,POL
ТС 22 20 06 04,,,,Группа кустарников колючих,POL
ТС 22 20 06 05,,,,Полоса кустарников узкая,POL
ТС 22 20 06 06,,,,Полоса кустарников широкая,POL
ТС 22 20 06 07,,,,Группа кустов,POL
ТС 22 20 06 08,,,,Группа кустов колючих,POL
ТС 22 20 07,,,Прочие заросли и растительность,,POL
ТС 22 20 07 01,,,,Камышовые и тростниковые заросли,POL
ТС 22 20 07 02,,,,Растительность высокотравная,POL
ТС 22 20 07 03,,,,Растительность низкотравная,POL
ТС 22 20 07 04,,,,Растительность луговая,POL
ТС 22 20 07 05,,,,Травянистая растительность степная,POL
ТС 22 20 07 06,,,,Полукустарники,POL
ТС 22 20 07 07,,,,Кустарнички,POL
ТС 22 20 07 08,,,,Травянистая и полукустарниковая растительность,POL
ТС 22 20 07 09,,,,Моховая растительность,POL
ТС 22 20 07 10,,,,Лишайниковая растительность,POL
ТС 22 20 08,,,Плантации,,POL
ТС 22 20 08 01,,,,Плантация технических культур древесных,POL
ТС 22 20 08 02,,,,Плантация технических культур кустарниковых,POL
ТС 22 20 08 03,,,,Плантация технических культур травянистых,POL
ТС 22 20 09,,,"Сады, питомники, виноградники",,POL
ТС 22 20 09 01,,,,Сад фруктовый,POL
ТС 22 20 09 02,,,,Виноградник,POL
ТС 22 20 09 03,,,,Сад ягодный ,POL
ТС 22 20 09 04,,,,Сад фруктово-ягодный,POL
ТС 22 20 09 05,,,,Питомник плодовый,POL
ТС 22 20 10,,,Пашни,,POL
ТС 22 20 10 01,,,,"Пашня, осушенная открытым дренажем",POL
ТС 22 20 10 02,,,,"Пашня, осушенная закрытым дренажем",POL
ТС 22 20 10 03,,,,Пашня с оросительной сетью,POL
ТС 22 20 10 04,,,,Пашня орошаемая,POL
ТС 22 20 10 05,,,,Пашня заливная,POL
ТС 22 20 10 06,,,,Пашня с осушительно-оросительными системами,POL
ТС 22 20 10 07,,,,"Пашня, засоренная камнями",POL
ТС 22 20 11,,,Залежи,,POL
ТС 22 20 11 01,,,,Залежи чистые,POL
ТС 22 20 11 02,,,,Залежи богарные,POL
