code,level_1,level_2,level_3,param_1
ПО ЗУ 08,Координаты проекта,,,
ПО ЗУ 08 00,,Координаты проекта - точки,,PNT
ПО ЗУ 08 00 01,,,Базовая точка проекта,PNT
ПО ЗУ 08 00 02,,,Точка съемки,PNT
ПО ЗУ 08 10,,Координаты проекта - линии,,LIN
ПО ЗУ 08 10 01,,,Ось сетки,LIN
ПО ЗУ 08 30,,Координаты проекта - надписи,,LAB
ПО ЗУ 09,Объекты вертикальной планировки,,,
ПО ЗУ 09 00,,Объекты вертикальной планировки - точки,,PNT
ПО ЗУ 09 00 01,,,Точка планировки в местах расстановки уклоноуказателей,PNT
ПО ЗУ 09 00 02,,,Проектная отметка,PNT
ПО ЗУ 09 10,,Объекты вертикальной планировки - линии,,LIN
ПО ЗУ 09 10 01,,,Проектная горизонталь,LIN
ПО ЗУ 09 10 02,,,Характерная линия,LIN
ПО ЗУ 09 10 03,,,Проектная бровка откоса выемки,LIN
ПО ЗУ 09 10 04,,,Проектная подошва откоса выемки,LIN
ПО ЗУ 09 10 05,,,Проектная бровка откоса насыпи,LIN
ПО ЗУ 09 10 06,,,Проектная подошва откоса насыпи,LIN
ПО ЗУ 09 20,,Объекты вертикальной планировки -полигоны,,POL
ПО ЗУ 09 20 01,,,Граница типа проектной поверхности,POL
ПО ЗУ 09 30,,Объекты вертикальной планировки - надписи,,LAB
ПО ЗУ 10,Объекты проектируемых зданий (сооружений),,,
ПО ЗУ 10 00,,Объекты проектируемых зданий (сооружений) - точки,,PNT
ПО ЗУ 10 00 01,,,Проектная отметка вход в здание (сооружение),PNT
ПО ЗУ 10 00 02,,,Проектная отметка вход в подвал,PNT
ПО ЗУ 10 00 03,,,Проектная отметка въезд на парковку,PNT
ПО ЗУ 10 00 04,,,Проектная отметка забор,PNT
ПО ЗУ 10 00 05,,,Проектная отметка крыльцо,PNT
ПО ЗУ 10 00 06,,,Проектная отметка углов здания (сооружения),PNT
ПО ЗУ 10 00 07,,,Проектная отметка углов отмостки здания (сооружения),PNT
ПО ЗУ 10 00 08,,,Проектная отметка пандус,PNT
ПО ЗУ 10 00 09,,,Эвакуационный выход,PNT
ПО ЗУ 10 00 10,,,Арка (сквозной проезд),PNT
ПО ЗУ 10 10,,Объекты проектируемых зданий (сооружений)- линии,,LIN
ПО ЗУ 10 10 01,,,Вход/Выход здания (сооружения),LIN
ПО ЗУ 10 10 02,,,Вход/Выход подвал,LIN
ПО ЗУ 10 10 03,,,Въезд/Выезд,LIN
ПО ЗУ 10 10 04,,,Забор,LIN
ПО ЗУ 10 10 05,,,Крыльцо,LIN
ПО ЗУ 10 10 06,,,Отмостка здания (сооружения),LIN
ПО ЗУ 10 10 07,,,Пандус,LIN
ПО ЗУ 10 20,,Объекты проектируемых зданий (сооружений) - полигоны,,POL
ПО ЗУ 10 20 01,,,Граница здания (сооружения) со всеми спроецированными элементами,POL
ПО ЗУ 10 20 02,,,Граница отмостки здания (сооружения),POL
ПО ЗУ 10 20 03,,,Граница подземной парковки спроецированная,POL
ПО ЗУ 10 30,,Объекты проектируемых зданий (сооружений) - надписи,,LAB
ПО ЗУ 11,Объекты проектируемого дорожного графа,,,
ПО ЗУ 11 00,,Объекты проектируемого дорожного графа -точки,,PNT
ПО ЗУ 11 00 01,,,Узел дорожного графа - перекрёсток 2х,PNT
ПО ЗУ 11 00 02,,,Узел дорожного графа - перекрёсток 3х,PNT
ПО ЗУ 11 00 03,,,Узел дорожного графа - перекрёсток 4х,PNT
ПО ЗУ 11 00 04,,,Узел дорожного графа - перекрёсток 5х,PNT
ПО ЗУ 11 00 05,,,Узел дорожного графа - перекрёсток с пешеходной дорожкой,PNT
ПО ЗУ 11 00 06,,,Узел дорожного графа - перекрёсток с велосипедной дорожкой,PNT
ПО ЗУ 11 00 07,,,Узел дорожного графа - перекрёсток с велопешеходной дорожкой,PNT
ПО ЗУ 11 00 08,,,Узел дорожного графа - перекрёсток с существующей дорогой,PNT
ПО ЗУ 11 00 09,,,Узел дорожного графа - примыкание к существующей дороге,PNT
