Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания
,,,,AGC220,Установка электрогидроимпульсная для очистки внутренних поверхностей трубопровода,"Установка, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ТО 34 30 20 02,Определение синтезировано
,,,,AGC230,Машина центробежного набрызга для облицовки внутренней поверхности трубопровода,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"91.10.04-571
91.10.04-572
91.10.04-573
91.10.04-574",,Определение синтезировано
,,,,AGC240,Комплект приспособлений для проведения работ по санации трубопровода рукавом из нержавеющей стали,Комплект приспособлений используемый при строительстве магистральных трубопроводов,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,Определение синтезировано
,,,,AGC250,Установка самоходная комплексная для санации безнапорных канализационных трубопроводов светополимерным рукавом,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.10.11-570,,Определение синтезировано
A,,,,AGC260,"Установка для смешивания, нагревания и нанесения двухкомпонентного полимерного состава на внутреннюю поверхность трубопроводов","Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.10.04-576,,Определение синтезировано
,,AGD,,,Трубоукладчик,"Самоходная гусеничная машина, предназначенная для подъема и укладки труб и транспортирования оборудования для трубопроводов. Данная машина, базой для которой служит гусеничный трактор, имеет специально сконструированные составные части, например главную раму, противовес, механизм подъема стрелы и груза и боковую стрелу, поворачивающуюся только в вертикальной плоскости.","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.05,ТО 14 25,ГОСТ 27963-88 (ИСО 7136-86) 
,,AGE,,,Установка для подогрева стыков труб,"Установка, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.06,ТО 38 50 50 04,Определение синтезировано
,,AGF,,,Установка для продавливания труб,"Установка, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.07,"ТО 14 20 10 01
ТО 14 20 10 02",Определение синтезировано
,,AGG,,,Установка для сушки труб,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.10.08,,Определение синтезировано
,,AGH,,,Устройство для  испытаний трубопроводов ,"Устройство, используемое при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.10.09,,Определение синтезировано
,,,,AGH010,Система телеинспекционная для обследования труб на базе автомобиля,"Система, используемая при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.10.11-031,,Определение синтезировано
,,,,AGH020,Георадар,"Геофизический прибор, предназначенный для георадиолокационных исследований любой среды, кроме металла, (грунты, материалы, горные породы, акватории, строительные конструкции и т.д.), применяется для оценки однородности уложенных дорожностроительных материалов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ТО 38 50 20 13,СП 78.13330.2012 
,,,,AGH030,Комплекс робототехнический для телевизионного контроля и ремонта трубопровода,Комплекс используемый при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,"ТО 38 50 10 03
ТО 38 50 20 14",Определение синтезировано
,,,,AGH040,Микроавтобус со встроенным оборудованием для видеосъемки внутренней полости и поиска повреждений трубопровода,"Машина, используемая при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ТО 38 50 10 13,Определение синтезировано
,,,,AGH050,Детектор обнаружения течи на плоских поверхностях методом векторного картирования,"Устройство, используемое при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.10.11-523,,Определение синтезировано
,,,,AGH060,Комплекс мобильный для диагностики внутренней поверхности трубопроводов методом акустического резонанса,Комплекс используемый при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.10.11-524,,Определение синтезировано
,,,,AGH070,"Установка для гидравлических испытаний трубопроводов, давление нагнетания низкое 0,1 МПа (1 кгс/см2), высокое 10 МПа (100 кгс/см2)","Установка, используемая при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.10.09-011,,Определение синтезировано
,,,,AGH080,"Установка для гидравлических испытаний трубопроводов, давление нагнетания низкое 0,1 МПа (1 кгс/см2), высокое 10 МПа (100 кгс/см2) при работе от передвижных электростанций","Установка, используемая при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.10.09-012,,Определение синтезировано
,,AGJ,,,Центратор,Приспособление используемое при строительстве магистральных трубопроводов,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.10.10,,Определение синтезировано
,,AGK,,,Машина для завинчивания анкеров (без крана-трубоукладчика),"Машина, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.11-021,ТО 42 20 40 11,Определение синтезировано
,,AGL,,,Установка для обработки кромок труб,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.10.11-042,,Определение синтезировано
,,AGM,,,Устройство для исправления вмятин на трубах,"Устройство, используемое при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.10.11-051,,Определение синтезировано
,,AGN,,,Установка с 4 гидравлическими домкратами для продавливания труб диаметром 1000-1720 мм при работе на сооружении магистральных трубопроводов,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.10.11-043,,Определение синтезировано
,,AGP,,,Фиксатор модулей,"Устройство, используемое при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.10.11-061,,Определение синтезировано
,,AGQ,,,Машина для безогневой резки труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.10.11-011,,Определение синтезировано
,,AGR,,,Разрушитель гидравлический для замены трубопроводов,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"91.10.11-081 
91.10.11-082",,Определение синтезировано
,,AGS,,,Машина для врезки в действующий стальной газопровод,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"91.10.11-090
91.10.11-091
91.10.11-092
91.10.11-093
91.10.11-094
91.10.11-095
91.10.11-096
91.10.11-097
91.10.11-098
91.10.11-099
91.10.11-100
 91.10.11-107",,Определение синтезировано
,,AGT,,,Механизм установки пробок в действующем стальном газопроводе,Механизм используемый при строительстве магистральных трубопроводов,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ТО 38 50 10 08,Определение синтезировано
,,AGU,,,Механизм для врезки в магистральный стальной трубопровод,"Механизм, используемый при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,Определение синтезировано
,,AGV,,,Механизм для перекрытия полости магистрального стального трубопровода при врезке,"Механизм, используемый при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"91.10.11-108
91.10.11-109
91.10.11-110",,Определение синтезировано
,,AGW,,,Эндоскоп канализационный,"Устройство, используемое при строительстве магистральных трубопроводов",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,Определение синтезировано
,AH,,,,Машины для водохозяйственного строительства и мелиоративных работ,"Машины, используемые в водохозяйственном строительстве и мелиоративных работах",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),Назначение (функция) машины,,91.12,,Определенике сгенерировано
,,AHA,,,Машина для освоения закустаренных земель,"Машина, предназначенная для освоения закустаренных земель",,,,,,Определение синтезировано
,,,,AHA010,Борона,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.12.01,ТО 38 10 10 07,Определение синтезировано
,,,,AHA020,Корчеватель,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.12.02,ТО 38 20,Определение синтезировано
,,,,AHA030,Кусторез,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.04,,Определение синтезировано
,,,,AHA040,Плуг,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Машина глубинной подготовки полей на тракторе
Плуг выкопочный (без трактора)
Плуг трехкорпусный навесной
Плуг четырехкорпусный навесной",91.12.05,ТО 38 50 10 15,Определение синтезировано
,,,,AHA050,Мульчер самоходный на гусеничном ходу,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"91.12.08-514 
91.12.08-516 
91.12.08-518",,Определение синтезировано
,,,,AHA060,Валкователь древесных остатков (без трактора),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.08-001,,Определение синтезировано
,,,,AHA070,Грабли кустарниковые навесные (без трактора),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.08-021,,Определение синтезировано
,,,,AHA080,Подборщик мелких древесных остатков,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.08-131,,Определение синтезировано
,,,,AHA090,Пнедробилка,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ТО 42 20 80 07,Определение синтезировано
,,AHB,,,Машина для обработки почвы,"Машина, предназначенная для обработки почвы",,,,,,Определение синтезировано
,,,,AHB010,Рыхлитель,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.12.06-012,ТО 38 50 10 16,Определение синтезировано
,,,,AHB020,Культиватор,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.06-001,,Определение синтезировано
,,,,AHB030,Лущильщик,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.08-071,,Определение синтезировано
,,,,AHB040,Каток прицепной кольчатый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.08-051,,Определение синтезировано
,,,,AHB050,Планировщик длиннобазовый (без трактора),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.08-121,,Определение синтезировано
,,,,AHB060,Машина камнеуборочные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.08-081,,Определение синтезировано
,,AHC,,,Машина для посадочных работ,"Машина, предназначенная для посадочных работ",,,,,,Определение синтезировано
,,,,AHC010,Сеялка,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"91.12.07-021 
91.12.07-022",ТО 38 10 10 15,Определение синтезировано
,,,,AHC020,Сажалка,,,,,,,Определение синтезировано
,,,,AHC030,Рассадопосадочная машина,,СТО АИСТ 5.3.2010,,,,,Определение синтезировано
,,,,AHC040,Ямокопатель,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.12.08-161,ТО 38 50 50 15,Определение синтезировано
,,,,AHC050,Агрегат для травосеяния на откосах автомобильных и железных дорог,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.07-001,,Определение синтезировано
,,,,AHC060,Агрегаты посадочный прицепной,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.07-002,,Определение синтезировано
,,,,AHC070,Машина для укрепления откосов земляного полотна гидропосевом с мульчированием,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.07-011,,Определение синтезировано
,,,,AHC080,Установка для гидропосева многолетних трав,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.12.07-031 ,ТО 38 50 50 07,Определение синтезировано
,,,,AHC090,Машина самоходная для засыпки и разметания наполнителей для искусственной травы,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,Определение синтезировано
,,,,AHC100,Укладчик полимерных покрытий на игровых и спортивных площадках,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,Определение синтезировано
,,,,AHC110,Машина лесопосадочная (без трактора),,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.08-083,,Определение синтезировано
,,,,AHC120,Разбрасыватель тракторный прицепной,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.08-141,,Определение синтезировано
,,AHD,,,Машина для устройства дренажа,"Машина, предназначенная для устройства дренажа",,,,,,Определение синтезировано
,,,,AHD010,Канавокопатель,"Машина, предназначенная для отрытия осушительных канав дренажных и оросительных каналов, кюветов и т.п.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"91.12.08-031 
91.12.08-032",,Определение синтезировано
,,,,AHD020,Машина кротодренажная,Мелиоративная машина для прокладки дрены формированием ее в грунте,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.08-082,,Определение синтезировано
,,AHE,,,Машина для ухода за зелеными насаждениями,"Машина, предназначенная для ухода за зелеными насаждениями",,,,,,Определение синтезировано
,,,,AHE010,Генератор аэрозольный,"Устройство, вырабатывающее и распыляющее аэрозоли (туманы)",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,Определение синтезировано
,,,,AHE020,Опрыскиватель,Машина для опрыскивания растений растворами,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Опрыскиватель вентиляторный,"91.12.08-101
91.12.08-011",ТО 20 90 20 01,Определение синтезировано
,,,,AHE030,Опыливатель,Машина для опыливания растений,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Опыливатель широкозахватный универсальный,,ТО 20 90 20 02,Определение синтезировано
,,AHF,,,Косилка,"Машина для срезания травы, работающая в направлении движения преимущественно параллельно и близко к земле","ГОСТ EN 13524-2012
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,91.12.03,,
,,,,AHF010,Газонокосилка моторная,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.12.03-001,ТО 38 10 10 21,Определение синтезировано
,,,,AHF020,Косилка прицепная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.03-021,,Определение синтезировано
,,AHG,,,Копатель шахтных колодцев,"Передвижная машина, предназначенная для копания шахтных колодцев",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.08-061,,Определение синтезировано
,,AHH,,,Оборудование навесное сельскохозяйственное,Оборудование навешиваемое (монтируемое) на трактор или самоходное шасси,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.08-091,,Определение синтезировано
,,,,AHH030,Косилка навесная,Навесное оборудование для срезки травы,,,,,,Определение синтезировано
,,,,AHH040,Культиватор навесной,Оборудование навесное для обработки почвы,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.12.06-001,,Определение синтезировано
,,,,AHH050,Травосборник навесной,Оборудование навесное для сбора травы,ГЭСН 81-02-47-2020 ,,,,,Определение синтезировано
,,,,AHH060,Борона навесная,Оборудование навесное для обработки почвы,,,,,,Определение синтезировано
,,,,AHH070,Почвообрабатывающий каток навесной,Оборудование навесное для обработки почвы,ГЭСН 81-02-47-2020 ,,,,,Определение синтезировано
,,AHJ,,,Каналоочиститель-илосос универсальный,Машина для очистки каналов,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ТО 38 30 10 03,Определение синтезировано
,AJ,,,,Средства автотранспортные специального назначения,Машины специального назначения,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",Назначение (функция) машины,,91.13,ТО 40,Определение синтезировано
,,AJA,,,Средство транспортное для коммунального хозяйства и содержания дорог,Машина для коммунального хазяйства и содержания дорог,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.13.01,,Определение синтезировано
,,,,AJA010,"Уборочная машина (подметальные, поливомоечные)","Самоходное транспортное средство, используемое в городском дорожном хозяйстве для уборки пешеходных зон, парковых территорий, автомобильных городских дорог в стесненных городских условиях, а также в зонах промышленного и социального назначения (вокзалы, технологические дороги на территории заводов и т. д.)","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,Машина уборочная комбинированная со специальным оборудованием для распыления сыпучих и жидких реагентов,91.13.01-034,"ТО 18 15
ТО 38 50 10 12
ТО 38 50 10 19",Определение синтезировано
,,,,AJA020,Мусоровоз,,СТБ EN 1501-2-2008,,,,,
,,AJB,,,Техника снегоуборочная,Машины для уборки снега,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.13.02,,Определение синтезировано
,,,,AJB010,Снегоочиститель,Машины для уборки снега,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Снегоочиститель на автомобиле плужный
Снегоочиститель на автомобиле шнекороторный","91.13.02-002
91.13.02-001","ТО 38 50 30 01
ТО 38 50 30 02",Определение синтезировано
,,,,AJB020,Снегопогрузчик,"Машина, предназначенная для погрузки в транспортные средства снега из сформированных валов и куч, а также для очистки дорог от снега в труднодоступных для очистки участках с возможностью погрузки снега в транспортные средства",ОДМ 218.5.001-2008 (Утверждены распоряжением Росавтодора от 01.02.2008 г. N 44-р),,,,,Определение синтезировано
,,,,AJB030,Машина тротуароуборочная,"Машина, используемая на уборке тротуаров малых площадей",ОДМ 218.5.001-2008 (Утверждены распоряжением Росавтодора от 01.02.2008 г. N 44-р),,,,,Определение синтезировано
,,,,AJB040,"Трактор, оснащенный оборудованием для очистки барьерного ограждения от снега",,ОДМ 218.5.001-2008 (Утверждены распоряжением Росавтодора от 01.02.2008 г. N 44-р),,,,,
,,,,AJB041,"Трактор типа МТЗ в комплексе с автогрейдером, оснащенным оборудованием ОБГ-2, для уборки снега за ограждениями",,ОДМ 218.5.001-2008 (Утверждены распоряжением Росавтодора от 01.02.2008 г. N 44-р),,,,,
A,,,,AJB042,Оборудование для борьбы с зимней скользкостью,Стационарное и мобильное оборудование для нанесения на покрытие дороги противогололедных материалов,ГОСТ 32846-2014,,,,,
,,AJC,,,Автомобиль,Самоходная машина с двигателем внутреннего сгорания для перевозки пассажиров и грузов по безрельсовым дорогам,,,,,,Определение синтезировано
,,,,AJC010,Автомобиль полупассажирский,"Автомобиль, предназначенный для перевозки пассажиров и грузов","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.13.03-508,ТО 40 30 10 01,Определение синтезировано
,,,,AJC020,Автомобиль-рефрижератор,"Автомобиль с теплоизолированными (изотермическими) фургоном, снабжённый холодильной установкой, поддерживающей в грузовом отсеке заданный температурный режим",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,Определение синтезировано
,,,,AJC030,Автомобиль бортовой с генератором,"Грузовой автомобиль, предназначенный для транспортировки товаров, не требующих специального температурного режима, имеющих большие габариты, сыпучих и строительных грузов и т. Д.",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.13.03-021,,Определение синтезировано
,,,,AJC040,Автомобиль бортовой с устройством для предварительной маркировки,Грузовой автомобиль с устройством для предварительной маркировки,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.13.03-001,,Определение синтезировано
,,AJD,,,Автофургон-мастерская тип Кунг,"Автофургон, предназначенный для проведения аварийно-ремонтных работ, перевозки вахтовых бригад, установки технологического оборудования, а также для оснащения под лабораторию","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.13.03-031,"ТО 24 20 10 02
ТО 36 10 30 09",Определение синтезировано
,,AJE,,,Автоцистерна,"Автомобиль, оборудованный цистерной",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.13.03-041,,Определение синтезировано
,,AJF,,,Машина бойлерная,Машина для нагрева,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.13.03-051,,Определение синтезировано
,,AJG,,,Болотоход,"Автомобиль, специально предназначенный для преодоления заболоченных участков, выполнения различных технологических операций в заболоченных местах",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.13.03-061,,Определение синтезировано
,,AJH,,,Мастерская аварийная на базе автомобиля,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,13.03-081,"ТО 24 20 10 02
ТО 38 50 10 14",
,,AJJ,,,Машина для ввода рукава с парогенератором на базе автомобиля,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.13.03-091,,
,,AJK,,,Машина промывочная на базе автомобиля,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.13.03-092,,
,,AJL,,,Оборудование инспекционное на базе автомобиля,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.13.03-101,,
,,AJM,,,Оборудование монтажное на базе микроавтобуса,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.13.03-102,,
,,AJN,,,Спецавтомобиль-вездеход,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"91.13.03-111
 91.13.03-112",,
,,AJP,,,Установка промысловая паровая передвижная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"91.13.03-121
91.13.03-131",,
,,AJQ,,,Шасси самоходные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.13.03-141,,
,,AJR,,,Автолаборатория,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Автолаборатория для проверки качества сварных соединений трубопроводов
Автолаборатория с базовым комплектом для оценки качества ремонта и содержания дорог
Автолаборатория с комплектом видео и георадарного сканирования для оценки качества ремонта и содержания дорог",,ТО 24 20,
,,,,AJR010,Автолаборатория с комплектом видео и георадарного сканирования для оценки качества ремонта и содержания дорог,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,AJR020,Автолаборатория с базовым комплектом для оценки качества ремонта и содержания дорог,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,,,AJR030,Автолаборатория для проверки качества сварных соединений трубопроводов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,AJS,,,Машина вакуумная на базе автомобиля,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,AJT,,,Насосная станция на базе автомобиля,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,AJU,,,Погрузчик вакуумный (пылесос) на шасси автомобиля,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,AJV,,,Средство мультитранспортное для доставки материалов до тоннелепроходческого комплекса,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,AJW,,,Установка для очистки канализации на автомобильном ходу,"Установка, предназначенная для очистки канализации на автомобильном ходу",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,Определение синтезировано
,,AJX,,,Фургон цельнометаллический,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,
,,AJY,,,Думпер,"Специализированная самоходная самосвальная машина, обычно небольшая, предназначенная для перевозки относительно небольших объёмов сыпучих грузов на короткие расстояния (до 1—2 км) и являющаяся в этих условиях более производительной по сравнению с автосамосвалом",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,,,Определение синтезировано
,AK,,,,Средства транспортные для транспортировки строительных материалов,"Транспортные средства, предназначенные для перевозки различных строительных материалов, изделий, конструкций",Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),Назначение (функция) машины,,91.14,,Определение синтезировано
,,AKA,,,Автобетоносмеситель,"Грузовой автомобиль, оборудованный вращающейся ёмкостью для перевозки бетонной смеси","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.14.01,ТО 20 20 10,Определение синтезировано
