Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания
,,ABM,,,Установка комплектная конденсаторная на базе автомобиля (генератор импульсного тока),,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ТО 38 50 50 08,
,,ABN,,,"Установка фрезерная проходческая на гусеничном ходу для устройства ""стены в грунте""",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,91.02.05-524,,
,AC,,,,"Краны, кроме плавучих","Механизм, имеющий конструктивный элемент в верхней части, позволяющий поднимать, опускать и перемещать по горизонтали подвешенные под ним грузы","Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128","Конструкция крана, тип хода",,91.05,ТО 14 15,Определение по ГОСТ Р ИСО 6707-1-2020
,,ACA,,,Кран башенный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.01,ТО 14 10,
,,ACB,,,Кран козловой,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.02,ТО 14 15 30,
,,ACC,,,Кран консольный,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.03,ТО 14 15 10,
,,ACD,,,Кран мостовой,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.04,ТО 14 15 25,
,,ACE,,,Кран на автомобильном ходу,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.05,ТО 14 15 45,
,,ACF,,,Кран на гусеничном ходу,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.06,ТО 14 15 65,
,,ACG,,,Кран на железнодорожном ходу,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.07,ТО 14 15 40,
