Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания
,,ACB,,,Щебень из плотных горных пород,"Неорганический сыпучий каменный материал в виде зерен крупностью более 4 мм, получаемый дроблением и рассевом продуктов дробления горных пород, гравия и валунов, а также попутно добываемых пород или некондиционных отходов горных предприятий по переработке руд и неметаллических ископаемых других отраслей промышленности","ГОСТ 8267-93
ГОСТ 32703-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",По виду материала,,"02.2.05.04
59.1.02.02-0246
59.1.02.02-0247
59.1.02.02-0248
59.1.02.02-0249
59.1.02.02-0250
59.1.02.02-0251
59.1.02.02-0252
59.1.02.02-0253
59.1.02.02-0254
59.1.02.02-0255
59.1.02.02-0256
59.1.02.02-0257
59.1.02.02-0258
59.1.02.02-0259
59.1.02.02-0260
59.1.02.02-0261
59.1.02.02-0262
59.1.02.02-0263
59.1.02.02-0264
59.1.02.02-0265
59.1.02.02-0266
59.1.02.02-0267
59.1.02.02-0268
59.1.02.02-0269
59.1.02.02-0270
59.1.02.02-0271
59.1.02.02-0272
59.1.02.02-0273
59.1.02.02-0274
59.1.02.02-0275
59.1.02.02-0276
59.1.02.02-0277
59.1.02.02-0278
59.1.02.02-0279
59.1.02.02-0280
59.1.02.02-0281
59.1.02.02-0282
59.1.02.02-0283
59.1.02.02-0284
59.1.02.02-0285
59.1.02.02-0286
59.1.02.02-0287
59.1.02.02-0288
59.1.02.02-0289
59.1.02.02-0290
59.1.02.02-0291
59.1.02.02-0292
59.1.02.02-0293
59.1.02.02-0294
59.1.02.02-0295
59.1.02.02-0296
59.1.02.02-0297
59.1.02.02-0298
59.1.02.02-0299
59.1.02.02-0300
59.1.02.02-0301
59.1.02.02-0302
59.1.02.02-0303
59.1.02.02-0304
59.1.02.02-0305
59.1.02.02-0306
59.1.02.02-0307
59.1.02.02-0308
59.1.02.02-0309
59.1.02.02-0310
59.1.02.02-0311
59.1.02.02-0312
59.1.02.02-0313
59.1.02.02-0314
59.1.02.02-0315
59.1.02.02-0316
59.1.02.02-0317
59.1.02.02-0318
59.1.02.02-0319
59.1.02.02-0320
59.1.02.02-0321
59.1.02.02-0322
59.1.02.02-0323
59.1.02.02-0324
59.1.02.02-0325
59.1.02.02-0326
59.1.02.02-0327
59.1.02.02-0328
59.1.02.02-0329
59.1.02.02-0330
59.1.02.02-0331
59.1.02.02-0332
59.1.02.02-0333
59.1.02.02-0334
59.1.02.02-0335
59.1.02.02-0336
59.1.02.02-0337
59.1.02.02-0338
59.1.02.02-0339
59.1.02.02-0340
59.1.02.02-0341
59.1.02.02-0342
59.1.02.02-0343
59.1.02.02-0344
59.1.02.02-0345
59.1.02.02-0346
59.1.02.02-0347
59.1.02.02-0348
59.1.02.02-0349
59.1.02.02-0350
59.1.02.02-0351
59.1.02.02-0352
59.1.02.02-0353
59.1.02.02-0354
59.1.02.02-0355
59.1.02.02-0356
59.1.02.02-0357
59.1.02.02-0358
59.1.02.02-0359
59.1.02.02-0360
59.1.02.02-0361
59.1.02.02-0362
59.1.02.02-0363
59.1.02.02-0364
59.1.02.02-0365
59.1.02.02-0366
59.1.02.02-0367
59.1.02.02-0368
59.1.02.02-0369
59.1.02.02-0370
59.1.02.02-0371
59.1.02.02-0372
59.1.02.02-0373
59.1.02.02-0374
59.1.02.02-0375
59.1.02.02-0376
59.1.02.02-0377
59.1.02.02-0378
59.1.02.02-0379
59.1.02.02-0380
59.1.02.02-0381
59.1.02.02-0382
59.1.02.02-0383
59.1.02.02-0384
59.1.02.02-0385
59.1.02.02-0386
59.1.02.02-0387
59.1.02.02-0388
59.1.02.02-0389
59.1.02.02-0390
59.1.02.02-0391
59.1.02.02-0392
59.1.02.02-0393
59.1.02.02-0394
59.1.02.02-0395
59.1.02.02-0396
59.1.02.02-0397
59.1.02.02-0398
59.1.02.02-0399
59.1.02.02-0400
59.1.02.02-0401
59.1.02.02-0402
59.1.02.02-0403
59.1.02.02-0404
59.1.02.02-0405
59.1.02.02-0406
59.1.02.02-0407
59.1.02.02-0408
59.1.02.02-0409
59.1.02.02-0410
59.1.02.02-0411
59.1.02.02-0412
59.1.02.02-0413
59.1.02.02-0414
59.1.02.02-0415
59.1.02.02-0416
59.1.02.02-0417
59.1.02.02-0418
59.1.02.02-0419
59.1.02.02-0420
59.1.02.02-0421
59.1.02.02-0422
59.1.02.02-0423
59.1.02.02-0424
59.1.02.02-0425
59.1.02.02-0426
59.1.02.02-0427
59.1.02.02-0428
59.1.02.02-0429
59.1.02.02-0430
59.1.02.02-0431
59.1.02.02-0432
59.1.02.02-0433
59.1.02.02-0434
59.1.02.02-0435
59.1.02.02-0436
59.1.02.02-0437
59.1.02.02-0438
59.1.02.02-0439
59.1.02.02-0440
59.1.02.02-0441
59.1.02.02-0442
59.1.02.02-0443
59.1.02.02-0444
59.1.02.02-0445
59.1.02.02-0446
59.1.02.02-0447
59.1.02.02-0448
59.1.02.02-0449
59.1.02.02-0450
59.1.02.02-0451
59.1.02.02-0452
59.1.02.02-0453
59.1.02.02-0454
59.1.02.02-0455
59.1.02.02-0456
59.1.02.02-0457
59.1.02.02-0458
59.1.02.02-0459
59.1.02.02-0460
59.1.02.02-0461
59.1.02.02-0462
59.1.02.02-0463
59.1.02.02-0464
59.1.02.02-0465
59.1.02.02-0466
59.1.02.02-0467
59.1.02.02-0468
59.1.02.02-0469
59.1.02.02-0470
59.1.02.02-0471
59.1.02.02-0472
59.1.02.02-0473
59.1.02.02-0474
59.1.02.02-0475
59.1.02.02-0476
59.1.02.02-0477
59.1.02.02-0478
59.1.02.02-0479
59.1.02.02-0480
59.1.02.02-0481
59.1.02.02-0482
59.1.02.02-0483
59.1.02.02-0484
59.1.02.02-0485
59.1.02.02-0486
59.1.02.02-0487
59.1.02.02-0488
59.1.02.02-0489
59.1.02.02-0490
59.1.02.02-0491
59.1.02.02-0492
59.1.02.02-0493
59.1.02.02-0494
59.1.02.02-0495
59.1.02.02-0496
59.1.02.02-0497
59.1.02.02-0498
59.1.02.02-0499
59.1.02.02-0500
59.1.02.02-0501
59.1.02.02-0502
59.1.02.02-0503
59.1.02.02-0504
59.1.02.02-0505
59.1.02.02-0506
59.1.02.02-0507
59.1.02.02-0508

",,
,,,,ACB010,Щебень гранитный,,"Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ГОСТ 8267-93",,,"59.1.02.02-0510
59.1.02.02-0511
59.1.02.02-0512",СТ 10 10 40 30,
,,,,ACB020,Щебень гравийный,"Неорганический зернистый сыпучий строительный материал, получаемый дроблением гравия и валунов и рассевом продуктов дробления ","Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128
ГОСТ 8267-93
ГОСТ 32703-2014 ",,,"02.2.05.04-2454
02.2.05.04-2466
02.2.05.04-2478
02.2.05.04-2490
02.2.05.04-2502
02.2.05.04-2514
02.2.05.04-2538
02.2.05.04-2550
02.2.05.04-2574
02.2.05.04-2154
02.2.05.04-2156
02.2.05.04-2170
02.2.05.04-2172
02.2.05.04-2186
02.2.05.04-2202
02.2.05.04-2204
02.2.05.04-2218
02.2.05.04-2220
02.2.05.04-2234
02.2.05.04-2236
02.2.05.04-2250
02.2.05.04-2252
02.2.05.04-1920
02.2.05.04-1922",СТ 10 10 40 20,
,,ACC,,,Щебень из пористых горных пород,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
ГОСТ 22263-76",По виду материала,,02.2.05.05,,
,,,,ACC010,Щебень известняковый,,"ГОСТ 22263-76
ГОСТ 32703-2014",,,,,
,,ACD,,,Щебень черный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),По виду материала,,"02.2.05.08
59.1.02.02-0522
59.1.02.02-0523",,
,,ACE,,,Щебень из природного камня декоративный,"Неорганический зернистый сыпучий строительный материал, получаемый дроблением скальных горных пород и рассевом продуктов дробления","ГОСТ 22856-89
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,02.2.05.06,СТ 10 10 40 60,
,,ACF,,,Гравий из плотных горных пород,"Неорганический зернистый сыпучий строительный материал, получаемый рассевом природных гравийно-песчаных смесей","ГОСТ 25137-82
ГОСТ 8267-93
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",По виду материала,,02.2.01.02,,
,,,,ACF010,Гравий фракционированный,"Гравий, получаемый после обогащения путем разгрохотки карьерного гравийного материала с удалением зерен мельче 5 (3) мм и крупнее 70 (120) мм. Различают гравий по размерам зерен: 70-120 мм - очень крупный (галька); 40-70 мм - крупный; 20-40 мм - средний; 10-20 мм - мелкий","ОДМ 218.8.009-2017
ГОСТ 8267-93
",,,,,
,,,,ACF020,Гравий горный,"Неорганический сыпучий природный каменный материал, состоящий из окатанных зерен крупностью более 4 мм",ГОСТ 32703-2014,,,"59.1.02.02-0032
59.1.02.02-0033
59.1.02.02-0034
59.1.02.02-0035
59.1.02.02-0036
59.1.02.02-0037
59.1.02.02-0038
59.1.02.02-0039
59.1.02.02-0040
59.1.02.02-0041
59.1.02.02-0042
59.1.02.02-0043
59.1.02.02-0044
59.1.02.02-0045
59.1.02.02-0046
59.1.02.02-0047
59.1.02.02-0048
59.1.02.02-0049
59.1.02.02-0050
59.1.02.02-0051
59.1.02.02-0052
59.1.02.02-0053
59.1.02.02-0054
59.1.02.02-0055
59.1.02.02-0056
59.1.02.02-0057
59.1.02.02-0058
59.1.02.02-0059
59.1.02.02-0060
59.1.02.02-0061
59.1.02.02-0062
59.1.02.02-0063
59.1.02.02-0064
59.1.02.02-0065
59.1.02.02-0066
59.1.02.02-0067
59.1.02.02-0068
59.1.02.02-0069
59.1.02.02-0070
59.1.02.02-0071
59.1.02.02-0072
59.1.02.02-0073
59.1.02.02-0074
59.1.02.02-0075
59.1.02.02-0076
59.1.02.02-0077
59.1.02.02-0078
59.1.02.02-0079
59.1.02.02-0080
59.1.02.02-0081
59.1.02.02-0082
59.1.02.02-0083
59.1.02.02-0084
59.1.02.02-0085
59.1.02.02-0086
59.1.02.02-0087
59.1.02.02-0088
59.1.02.02-0089
59.1.02.02-0090
59.1.02.02-0091
59.1.02.02-0092
59.1.02.02-0093
59.1.02.02-0094
59.1.02.02-0095
59.1.02.02-0096
59.1.02.02-0097
59.1.02.02-0098
59.1.02.02-0099
59.1.02.02-0100
59.1.02.02-0101
59.1.02.02-0102
59.1.02.02-0103
59.1.02.02-0104
59.1.02.02-0105
59.1.02.02-0106
59.1.02.02-0107
59.1.02.02-0108
59.1.02.02-0109
59.1.02.02-0110
59.1.02.02-0111
59.1.02.02-0112
59.1.02.02-0113
59.1.02.02-0114
59.1.02.02-0115
59.1.02.02-0116
59.1.02.02-0117
59.1.02.02-0118
59.1.02.02-0119
59.1.02.02-0120
59.1.02.02-0121
59.1.02.02-0122
59.1.02.02-0123
59.1.02.02-0124
59.1.02.02-0125
59.1.02.02-0126
59.1.02.02-0127
59.1.02.02-0128
59.1.02.02-0129
",,
,,,,ACF030,Гравий овражный,,,,,,,
,,,,ACF040,Гравий речной,,,,,,,
,,,,ACF050,Гравий морской,,,,,,,
,,,,ACF060,Гравий ледниковый,,,,,,,
,,,,ACF070,Гравий озерный,,,,,,,
,,ACG,,,Галька,,"ГОСТ 25100-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,"02.2.01
59.1.02.02-0001
59.1.02.02-0002
59.1.02.02-0003
59.1.02.02-0004
59.1.02.02-0005
59.1.02.02-0006
59.1.02.02-0007
59.1.02.02-0008
59.1.02.02-0009
59.1.02.02-0010
59.1.02.02-0011
59.1.02.02-0012
59.1.02.02-0013
59.1.02.02-0014
59.1.02.02-0015
59.1.02.02-0016
59.1.02.02-0017
59.1.02.02-0018
59.1.02.02-0019
59.1.02.02-0020
59.1.02.02-0021
59.1.02.02-0022
59.1.02.02-0023
59.1.02.02-0024
59.1.02.02-0025
59.1.02.02-0026
59.1.02.02-0027
59.1.02.02-0028
59.1.02.02-0029
59.1.02.02-0030
",СТ 10 10 10,
,,,,ACG010,Галька гранитная,,,,,,,
,,,,ACG020,Галька мраморная,,,,,,,
,,,,ACG030,Галька кремниевая,,,,,,,
,,,,ACG040,Галька природная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,"02.2.01.01
59.1.02.02-0001
59.1.02.02-0002
59.1.02.02-0003
59.1.02.02-0004
59.1.02.02-0005
59.1.02.02-0006
59.1.02.02-0007
59.1.02.02-0008
59.1.02.02-0009
59.1.02.02-0010
59.1.02.02-0011
59.1.02.02-0012
59.1.02.02-0013
59.1.02.02-0014
59.1.02.02-0015
59.1.02.02-0016
59.1.02.02-0017
59.1.02.02-0018
59.1.02.02-0019
59.1.02.02-0020
59.1.02.02-0021
59.1.02.02-0022
59.1.02.02-0023
59.1.02.02-0024
59.1.02.02-0025
59.1.02.02-0026
59.1.02.02-0027
59.1.02.02-0028
59.1.02.02-0029
59.1.02.02-0030
02.2.01.01-1040
02.2.01.01-1042",,
,,ACH,,,"Гравий и щебень, полученные путем обжига",,,По виду материала,,,,
,,,,ACH010,Гравий керамзитовый,"Искусственный пористый заполнитель ячеистого строения округлой или гравелистой формы с шероховатой поверхностью, полученный при вспучивании (увеличении в объеме) полуфабриката в результате обжига легкоплавкого глинистого сырья","ГОСТ 32496-2013
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,02.2.01.03,СТ 10 10 20 30,
,,,,ACH020,Гравий шунгизитовый,"Искусственный пористый заполнитель, полученный обжигом со вспучиванием подготовленных гранул (зерен) из шунгитового сырья, содержащего тонкораспределенный аморфный углерод - шунгит","ГОСТ 32496-2013
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,02.2.01.05,СТ 10 10 20 40,
,,,,ACH030,Гравий термолитовый,"Искусственный пористый заполнитель, полученный обжигом со спеканием и поризацией подготовленных гранул (зерен) из кремнистых пород (трепелов, диатомитов, опок)","ГОСТ Р 56507-2015
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,02.2.01.04,,
,,,,ACH040,Гравий зольный,"Искусственный пористый заполнитель округлой формы, получаемый путем гранулирования золы-уноса ТЭС с последующим вспучиванием при обжиге гранул полуфабриката во вращающейся печи",ГОСТ 33928-2016,,,,,
,,,,ACH050,Гравий аглопоритовый,"Искусственный пористый заполнитель, имеющий округлую или гравелистую форму, полученный спеканием песчано-глинистых пород на решетках агломерационной машины","ГОСТ 32496-2013
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 10 20 10,
,,,,ACH060,Щебень керамзитовый,"Искусственный пористый заполнитель произвольной, преимущественно угловатой формы, полученный при вспучивании в результате обжига фракционированного камнеподобного глинистого сырья или дроблении керамзита фракции более 20 мм","ГОСТ 32496-2013
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"59.1.02.02-0233
59.1.02.02-0234
59.1.02.02-0235
59.1.02.02-0236
59.1.02.02-0237
59.1.02.02-0238
",СТ 10 10 40 70,
,,,,ACH070,Щебень аглопоритовый,"Искусственный пористый заполнитель, полученный спеканием песчано-глинистых пород на решетках агломерационной машины непрерывного или переменного действия","ГОСТ 32496-2013
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,"02.2.05.02
59.1.02.02-0239
59.1.02.02-0240
59.1.02.02-0241
59.1.02.02-0242
59.1.02.02-0243",СТ 10 10 40 10,
,,,,ACH080,Щебень термолитовый,"Искусственный пористый заполнитель произвольной, преимущественно угловатой формы, полученный спеканием и поризацией в результате обжига фракционированный камнеподобных кремнистых пород (трепела, диатомиты, опоки) или дроблением термолитового гравия крупных фракций и кусков",ГОСТ Р 56507-2015,,,,,
,,,,ACH090,Щебень шлакопемзовый,"Техногенный пористый заполнитель, получаемый на основе поризации расплава шлаков металлургического производства ","ГОСТ 5578-2019
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,СТ 10 10 40 90,
,,,,ACH100,Вспученный вермикулит,"Материал, получаемый вспучиванием при обжиге подготовленных зерен из природных видов гидратированной слюды","ГОСТ 25137-82
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,23.99.19.111.12.2.03.04-0001,СТ 10 14 20 07 03,
,,ACJ,,,Щебень из пеностекла,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,01.8.01.08,,
,AD,,,,Песок,,,По виду материала,,,,
,,ADA,,,Песок природный,"Неорганический сыпучий материал с крупностью зерен до 4 мм, образовавшийся в результате естественного разрушения горных пород и получаемый при разработке песчаных и песчано-гравийных месторождений","ГОСТ 32824-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",По виду материала,,"02.3.01.02
59.1.02.03",СТ 10 10 30,
,,,,ADA010,"Песок из изверженных, метаморфических и осадочных пород",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,02.3.01.04,,
,,,,ADA020,Песок кварцевый,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Песок кварцевый ЛПК-5
Песок кварцевый формовочный
Песок кварцевый, фракция 0-0,63 мм","02.3.01.07-0004
02.3.01.07-0006
59.1.02.03-0083",СТ 10 10 30 30,
,,,,ADA030,Песок из горных пород вулканического происхождения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021),,,02.3.01.03,,
,,,,ADA040,Песок баритовый,,"Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,02.3.01.01,СТ 10 10 30 10,
,,,,ADA050,Песок из отсевов дробления обогащенный,"Песок с улучшенным зерновым составом, получаемый с применением специального обогатительного оборудования и поставляемый без разделения на фракции","ГОСТ 25137-82
ГОСТ 31424-2010
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 28.09.2021)",,,"59.1.02.03-0017
59.1.02.03-0018
59.1.02.03-0020
59.1.02.03-0021
59.1.02.03-0022",,
