Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания,Синонимы,УИН
,,AFA,,,Автомотриса,"Самоходный железнодорожный подвижной состав с двигателем внутреннего сгорания дизельного или карбюраторного типа, состоящий из одного вагона, предназначенный для обеспечения перевозок и обслуживания инфраструктуры железнодорожного транспорта.",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.09.01,,ГОСТ 34056-2017,,KSI180000152
,,AFB,,,Вагонетка,Транспортное средство небольшой вместимости для перевозки грузов по рельсовому пути узкой колеи,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.09.02,,Определение синтезировано,,KSI180000153
,,AFC,,,Вагон,"Несамоходное (как правило) транспортное средство, предназначенное для движения по рельсам или иным путям (монорельсу, маглев-колее и т. д.) и (как правило) эксплуатируемое с локомотивом (исключением являются вагоны-секции пассажирских электро- и дизельных поездов и автомотрисы (в том числе электромотрисы)",Приказ Минстроя России от 17.11.2022 N 969/пр,,  ,"91.09.03
",,Определение синтезировано,,KSI180000154
,,AFD,,,Платформа железнодорожная ,"Грузовой вагон открытого типа, предназначенный для перевозки длинномерных, штучных грузов, контейнеров и оборудования, не требующих защиты от атмосферных воздействий",Приказ Минстроя России от 17.11.2022 N 969/пр,,,"91.09.03
",,Определение синтезировано,,KSI180000155
,,AFE,,,Дрезина,"Специальный самоходный железнодорожный подвижной состав, передвигающийся по рельсам механически с использованием ручного привода и служащий для обслуживания инфраструктуры железнодорожного транспорта",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.09.04,,ГОСТ 34056-2017,,KSI180000156
,,AFF,,,Локомотив железнодорожный,"Самоходный рельсовый экипаж, предназначенный для тяги несамоходных вагонов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.09.05,,Определение синтезировано,,KSI180000157
,,AFG,,,Машина для монтажа контактной сети,Машина для монтажа контактной сети на железной дороге,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.09.06,,Определение синтезировано,,KSI180000158
,,AFH,,,Машина для очистки и дозировки балласта,Машина для очистки и дозировки балласта на железном пути,Приказ Минстроя России от 17.11.2022 N 969/пр,,"Машина для балластировки железнодорожного пути
Машина для вырезки балласта самоходная
Машина роторная для вырезки балласта по торцам шпал несамоходная
Машина щебнеочистительная
Планировщик балласта
Вагон хоппер-дозатор
Машина путевая для переработки (рециклинга) щебня для оздоровления основной площадки земляного полотна самоходная
Машина путевая универсальная для выправки, планировки и стабилизации пути
Дозировщик тракторный для балластировки железнодорожных путей",91.09.07,,Определение синтезировано,,KSI180000159
,,AFJ,,,Машина для погрузки и транспортирования звеньев путей и материалов,Машина для погрузки и транспортирования звеньев путей и материалов,Приказ Минстроя России от 17.11.2022 N 969/пр,,"Состав для перевозки блоков стрелочных переводов
Спецсостав для перевозки рельсовых плетей",91.09.08,,Определение синтезировано,,KSI180000160
,,AFK,,,"Машина для сборки, укладки и разборки путевой решетки","Машина для сборки, укладки и разборки путевой решетки","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Кран козловой двухконсольный для работы на звеносборочных базах 
Кран укладочный для рельсовых звеньев на деревянных шпалах
Кран укладочный для рельсовых звеньев на железобетонных шпалах
Линия поточная для сборки звеньев с железобетонными шпалами (цеховое оборудование)
Линия поточная полуавтоматическая для сборки звеньев с деревянными шпалами (цеховое оборудование)
Линия технологическая для сборки звеньев с железобетонными шпалами (цеховое оборудование)
Стенд звеносборочный (цеховое оборудование)
",91.09.09,"ТО 14 30 10 01
ТО 14 30 10 02",Определение синтезировано,,KSI180000161
,,AFL,,,"Машина для уплотнения, выправки, подбивки и рихтовки путей","Машина для уплотнения, выправки, подбивки и рихтовки путей",Приказ Минстроя России от 17.11.2022 N 969/пр,,"Машина выправочно-подбивочно-отделочная
Машина выправочно-подбивочно-рихтовочная для стрелочных переводов
Машина для подбивки шпал с пневматическими подбойками
Машина путерихтовочная
Поезд рельсошлифовальный
Путеподъемник самоходный
Рихтовщик гидравлический
Стабилизатор пути динамический
Шпалоподбойка
Шпалоподбойка при работе от передвижной электростанции",91.09.10,,Определение синтезировано,,KSI180000162
,,AFM,,,Машина для устройства фундаментов опор контактной сети,Машина для устройства фундаментов опор контактной сети,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Агрегат для вибропогружения свайных фундаментов опор контактной сети (без мотовоза-электростанции)
Комплекс машин при работе ""в окно"" для устройства свайных фундаментов опор контактной сети методом вибропогружения
Машина для рытья котлованов под опоры контактной сети при работе ""с поля""
Машина для рытья котлованов под опоры контактной сети при работе ""с пути""",91.09.11,"ТО 10 80 10 01
ТО 10 80 10 02",Определение синтезировано,,KSI180000163
,,AFN,,,Машина и инструмент для работы с отдельными элементами верхнего строения пути,Машина и инструмент для работы с отдельными элементами верхнего строения пути,Приказ Минстроя России от 17.11.2022 N 969/пр,,"Домкрат путевой
Гайковерт путевой моторный
Держатель колеи специальный
Ключ путевой универсальный
Ключ электрический при работе от передвижной электростанции
Костылезабивщик
Пресс однокривошипный горизонтально-правильный для правки рельсов
Разгонщик гидравлический
Система контрольно-измерительная
Система путевая регулировочная
Станок рельсорезный
Станок рельсосверлильный
Станок сверлильно-шлифовальный (сверлошлифовалка)
Струга путевая
Траверса для укладки полушпал на железных дорогах
Устройство путевое подъемное
Комплекс рельсосварочный мобильный на шасси автомобиля
Машина рельсошлифовальная
Пресс испытательный
Рельсогиб
Комплекс передвижной механизированный (ПМК) сборный секционный для перемещения оборудования, необходимого для устройства буронабивных свай, двухплатформенный, с лебедкой ",91.09.12,,Определение синтезировано,,KSI180000164
,,AFP,,,Машина энергосиловая и сварочная путевая,Машина энергосиловая и сварочная путевая,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,"Комплекс мобильный рельсосварочный
Машина путевая рельсосварочная
Машина электросварочная автоматическая для контактной сварки рельсов подвесная
Установка высоковольтная электроимпульсная для создания электрических разрядов в грунте при производстве свай по разрядно-импульсной технологии
Система передвижная рельсосварочная для контактной стыковой сварки рельсов типа Р65 методом оплавления, с прессом, комплексом нагревательным для термообработки сварных стыков рельс, в контейнерном исполнении на базе фитинговой платформы
Мотовоз-электростанция
Мотовоз широкой колеи

",91.09.13,ТО 34 20 10 13,Определение синтезировано,,KSI180000165
,,AFQ,,,Вышка съемная монтажная,Средство для технического обслуживания и ремонта контактной сети на железнодорожном транспорте,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.09.14,ТО 36 10 30 06,Определение синтезировано,,KSI180000166
,,AFR,,,Робот гидродемонтажный для разборки бетонных и железобетонных поверхностей,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,,,KSI180000167
,,AFS,,,Машина вакуумная путевая,"Машина путевая вакуумная уборочная предназначеная для проведения на железнодорожных путях местной выборки загрязненного щебня без снятия рельсошпальной решетки; очистки стрелок, переездов, тоннелей, мостов, водных пропусков и дренажных каналов железнодорожного пути, отрытия электрических и сигнальных кабелей, рытье траншей и ям, разгрузки сыпучих материалов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.09.14,,Определение синтезировано,,KSI180000168
,,AFT,,,Машина кюветоочистительная,"Путевая машина, применяемая на железных дорогах для нарезки и очистки кюветов при текущем содержании железнодорожных путей",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.09.14,,Определение синтезировано,,KSI180000169
,,AFU,,,Модуль тягово-энергетический для несамоходных машин,Тягово-энергетический модуль (установка) (ТЭМ) для несамоходных путевых машин предназначеная для транспортирования и энергообеспечения щебнеочистительных машин в комплексе с составом для засорителей,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.09.14,,Определение синтезировано,,KSI180000170
,,AFV,,,Прибор для регулировки стыков и зазоров железнодорожных путей,Путевой инструмент для регулировки (разгонки) зазоров в рельсовых стыках,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.09.14,,Определение синтезировано,,KSI180000171
,,AFW,,,Состав для засорителей,"Состав для вывозки засорителей , состоящий из шести универсальных полувагонов и одного концевого, предназначен для механизированного наполнения при производстве путевых работ, транспортирования к месту выгрузки засорителей, загрязненного щебня, сыпучих материалов в отведенных местах",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.09.14,,Определение синтезировано,,KSI180000172
,,AFX,,,Оборудование для срезки грата,Оборудование для срезки грата,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,Определение синтезировано,,KSI180000173
,,AFY,,,Экскаватор-погрузчик на комбинированном ходу при устройстве верхнего строения пути,Экскаватор-погрузчик на комбинированном ходу при устройстве верхнего строения пути,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,Определение синтезировано,,KSI180000174
,AG,,,,Машины для строительства магистральных трубопроводов,"Машины, используемые при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,Назначение (функция) машины,,91.10,,Определение синтезировано,,KSI180000175
,,AGA,,,Агрегат наполнительно-опрессовочный,"Агрегат наполнительно-опрессовочный, используемый при строительстве магистральных трубопроводов","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.01,"ТО 38 10 10 01
ТО 38 10 10 02",Определение синтезировано,,KSI180000176
,,AGB,,,Битумозаправщик,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.03,,Определение синтезировано,,KSI180000177
,,AGC,,,"Машина для очистки, грунтовки и изоляции труб","Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.04,,Определение синтезировано,,KSI180000178
,,,,AGC010,Машина прочистная секционного типа для труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.04,,Определение синтезировано,,KSI180000179
,,,,AGC020,Машина для очистки и грунтовки труб,"Машина, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.04,ТО 42 20 40 10,Определение синтезировано,,KSI180000180
,,,,AGC030,Машина для очистки и изоляции полимерными лентами труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.04,,Определение синтезировано,,KSI180000181
,,,,AGC040,Машина изоляционная для труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.04,,Определение синтезировано,,KSI180000182
,,,,AGC050,"Машина навивочная для навивки профиля из НПВХ сложной конфигурации шириной от 67 до 80 мм, армированного сталью, с двойным механическим замком с уплотнением, в трубу методом спиральной навивки","Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.04,,Определение синтезировано,,KSI180000183
,,,,AGC060,Установка для очистки трубопроводов,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.04,,Определение синтезировано,,KSI180000184
,,,,AGC070,Установка для химической очистки маслопроводов,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.04,,Определение синтезировано,,KSI180000185
,,,,AGC080,Установка для нанесения полимерного покрытия методом напыления на внутреннюю поверхность трубопроводов,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.04,,Определение синтезировано,,KSI180000186
,,,,AGC090,Комплект оборудования для цементно-песчаной облицовки внутренних поверхностей трубопроводов,Комплект оборудования используемый при строительстве магистральных трубопроводов,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.04,ТО 38 10 10 20,Определение синтезировано,,KSI180000187
,,,,AGC100,Машина механической очистки канализационных сетей,"Машина, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.04,ТО 38 50 10 01,Определение синтезировано,,KSI180000188
,,,,AGC110,Машина центробежного набрызга для облицовки внутренней поверхности трубопровода,"Машина, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.04,ТО 38 50 10 07,Определение синтезировано,,KSI180000189
,,,,AGC120,Питающая тележка для устройства цементно-песчаной изоляции внутренних поверхностей стальных труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.04,,Определение синтезировано,,KSI180000190
,,,,AGC130,Платформа прицепная для устройства цементно-песчаной изоляции внутренних поверхностей стальных труб в комплекте с растворосмесителем и дизель-генератором,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.04,,Определение синтезировано,,KSI180000191
,,,,AGC140,Робот для устранения ответвлений и устранения препятствий в трубопроводе на шасси автомобиля,Робот используемый при строительстве магистральных трубопроводов,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.04,ТО 38 50 20 09,Определение синтезировано,,KSI180000192
,,,,AGC150,Тросопротягиватель самоходный для устройства цементно-песчаной изоляции,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.04,,Определение синтезировано,,KSI180000193
,,,,AGC160,Установка для бестраншейного обновления старых трубопроводов,"Установка, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,,ТО 38 50 10 02,Определение синтезировано,,KSI180000194
,,,,AGC170,Установка для гидроочистки труб под сверхвысоким давлением,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.04,,Определение синтезировано,,KSI180000195
,,,,AGC180,Установка для очистки внутренних поверхностей стальных труб,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.04,,Определение синтезировано,,KSI180000196
,,,,AGC190,Установка для устройства цементно-песчаной изоляции внутренних поверхностей стальных труб,"Установка, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.04,ТО 38 50 50 05,Определение синтезировано,,KSI180000197
,,,,AGC200,Установка на базе автомобиля для напыления внутренней поверхности труб двухкомпонентным полимерным материалом,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.04,,Определение синтезировано,,KSI180000198
,,,,AGC210,Установка реверсивная с парогенератором для санации труб тканевым шлангом,"Установка, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.04,ТО 38 50 50 09,Определение синтезировано,,KSI180000199
,,,,AGC220,Установка электрогидроимпульсная для очистки внутренних поверхностей трубопровода,"Установка, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.04,ТО 34 30 20 02,Определение синтезировано,,KSI180000200
,,,,AGC230,Машина центробежного набрызга для облицовки внутренней поверхности трубопровода,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.04,,Определение синтезировано,,KSI180000201
,,,,AGC240,Комплект приспособлений для проведения работ по санации трубопровода рукавом из нержавеющей стали,Комплект приспособлений используемый при строительстве магистральных трубопроводов,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.11,,Определение синтезировано,,KSI180000202
,,,,AGC250,Установка самоходная комплексная для санации безнапорных канализационных трубопроводов светополимерным рукавом,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,Определение синтезировано,,KSI180000203
,,,,AGC260,"Установка для смешивания, нагревания и нанесения двухкомпонентного полимерного состава на внутреннюю поверхность трубопроводов","Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,Определение синтезировано,,KSI180000204
,,AGD,,,Трубоукладчик,"Самоходная гусеничная машина, предназначенная для подъема и укладки труб и транспортирования оборудования для трубопроводов. Данная машина, базой для которой служит гусеничный трактор, имеет специально сконструированные составные части, например главную раму, противовес, механизм подъема стрелы и груза и боковую стрелу, поворачивающуюся только в вертикальной плоскости.","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.05,ТО 14 25,ГОСТ 27963-88 (ИСО 7136-86) ,,KSI180000205
,,AGE,,,Установка для подогрева стыков труб,"Установка, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.06,ТО 38 50 50 04,Определение синтезировано,,KSI180000206
,,AGF,,,Установка для продавливания труб,"Установка, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.07,"ТО 14 20 10 01
ТО 14 20 10 02",Определение синтезировано,,KSI180000207
,,AGG,,,Установка для сушки труб,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.08,,Определение синтезировано,,KSI180000208
,,AGH,,,Устройство для  испытаний трубопроводов ,"Устройство, используемое при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.09,,Определение синтезировано,,KSI180000209
,,,,AGH010,Система телеинспекционная для обследования труб на базе автомобиля,"Система, используемая при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.11,,Определение синтезировано,,KSI180000210
,,,,AGH020,Георадар,"Геофизический прибор, предназначенный для георадиолокационных исследований любой среды, кроме металла, (грунты, материалы, горные породы, акватории, строительные конструкции и т.д.), применяется для оценки однородности уложенных дорожностроительных материалов","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.11,ТО 38 50 20 13,СП 78.13330.2012 ,,KSI180000211
,,,,AGH030,Комплекс робототехнический для телевизионного контроля и ремонта трубопровода,Комплекс используемый при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.11,"ТО 38 50 10 03
ТО 38 50 20 14",Определение синтезировано,,KSI180000212
,,,,AGH040,Микроавтобус со встроенным оборудованием для видеосъемки внутренней полости и поиска повреждений трубопровода,"Машина, используемая при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.11,ТО 38 50 10 13,Определение синтезировано,,KSI180000213
,,,,AGH050,Детектор обнаружения течи на плоских поверхностях методом векторного картирования,"Устройство, используемое при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,Определение синтезировано,,KSI180000214
,,,,AGH060,Комплекс мобильный для диагностики внутренней поверхности трубопроводов методом акустического резонанса,Комплекс используемый при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов,Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,Определение синтезировано,,KSI180000215
,,,,AGH070,"Установка для гидравлических испытаний трубопроводов, давление нагнетания низкое 0,1 МПа (1 кгс/см2), высокое 10 МПа (100 кгс/см2)","Установка, используемая при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.09,,Определение синтезировано,,KSI180000216
,,,,AGH080,"Установка для гидравлических испытаний трубопроводов, давление нагнетания низкое 0,1 МПа (1 кгс/см2), высокое 10 МПа (100 кгс/см2) при работе от передвижных электростанций","Установка, используемая при строительстве магистральных трубопроводов для обследований и испытаний трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.09,,Определение синтезировано,,KSI180000217
,,AGJ,,,Центратор,Приспособление используемое при строительстве магистральных трубопроводов,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.10,,Определение синтезировано,,KSI180000218
,,AGK,,,Машина для завинчивания анкеров (без крана-трубоукладчика),"Машина, используемая при строительстве магистральных трубопроводов","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.11,ТО 42 20 40 11,Определение синтезировано,,KSI180000219
,,AGL,,,Установка для обработки кромок труб,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.11,,Определение синтезировано,,KSI180000220
,,AGM,,,Устройство для исправления вмятин на трубах,"Устройство, используемое при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.11,,Определение синтезировано,,KSI180000221
,,AGN,,,Установка с 4 гидравлическими домкратами для продавливания труб диаметром 1000-1720 мм при работе на сооружении магистральных трубопроводов,"Установка, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.11,,Определение синтезировано,,KSI180000222
,,AGP,,,Фиксатор модулей,"Устройство, используемое при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.11,,Определение синтезировано,,KSI180000223
,,AGQ,,,Машина для безогневой резки труб,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.11,,Определение синтезировано,,KSI180000224
,,AGR,,,Разрушитель гидравлический для замены трубопроводов,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.11,,Определение синтезировано,,KSI180000225
,,AGS,,,Машина для врезки в действующий стальной газопровод,"Машина, используемая при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.11,,Определение синтезировано,,KSI180000226
,,AGT,,,Механизм установки пробок в действующем стальном газопроводе,Механизм используемый при строительстве магистральных трубопроводов,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.10.11,ТО 38 50 10 08,Определение синтезировано,,KSI180000227
,,AGU,,,Механизм для врезки в магистральный стальной трубопровод,"Механизм, используемый при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.11,,Определение синтезировано,,KSI180000228
,,AGV,,,Механизм для перекрытия полости магистрального стального трубопровода при врезке,"Механизм, используемый при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,,,Определение синтезировано,,KSI180000229
,,AGW,,,Эндоскоп канализационный,"Устройство, используемое при строительстве магистральных трубопроводов",Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.10.11,,Определение синтезировано,,KSI180000230
,AH,,,,Машины для водохозяйственного строительства и мелиоративных работ,"Машины, используемые в водохозяйственном строительстве и мелиоративных работах",Приказ Минстроя России от 17.11.2022 N 969/пр,Назначение (функция) машины,,91.12,,Определенике сгенерировано,,KSI180000231
,,AHA,,,Машина для освоения закустаренных земель,"Машина, предназначенная для освоения закустаренных земель",,,,,,Определение синтезировано,,KSI180000232
,,,,AHA010,Борона,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.12.01,ТО 38 10 10 07,Определение синтезировано,,KSI180000233
,,,,AHA020,Корчеватель,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.12.02,ТО 38 20,Определение синтезировано,,KSI180000234
,,,,AHA030,Кусторез,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.12.04,,Определение синтезировано,,KSI180000235
