Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Код класса по МССК,Примечания,Синонимы,УИН
,AC,,,,"Краны, кроме плавучих","Механизм, имеющий конструктивный элемент в верхней части, позволяющий поднимать, опускать и перемещать по горизонтали подвешенные под ним грузы","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128","Конструкция крана, тип хода",,91.05,ТО 14 15,Определение по ГОСТ Р ИСО 6707-1-2020,,KSI180000026
,,ACA,,,Кран башенный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.01,ТО 14 10,,,KSI180000027
,,ACB,,,Кран козловой,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.02,ТО 14 15 30,,,KSI180000028
,,ACC,,,Кран консольный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.03,ТО 14 15 10,,,KSI180000029
,,ACD,,,Кран мостовой,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.04,ТО 14 15 25,,,KSI180000030
,,ACE,,,Кран на автомобильном ходу,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.05,ТО 14 15 45,,,KSI180000031
,,ACF,,,Кран на гусеничном ходу,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.06,ТО 14 15 65,,,KSI180000032
,,ACG,,,Кран на железнодорожном ходу,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.07,ТО 14 15 40,,,KSI180000033
,,ACH,,,Кран на пневмоколесном ходу,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.08,ТО 14 15 60,,,KSI180000034
,,ACJ,,,Кран на специальном шасси автомобильного типа,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.09,ТО 14 15 50,,,KSI180000035
,,ACK,,,Кран портальные,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.05.11,,,,KSI180000036
,,ACL,,,Кран стрелового типа,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.12,ТО 14 10 10 06,,,KSI180000037
,,ACM,,,Кран-манипулятор,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.13,ТО 16 14 70 04,,,KSI180000038
,,ACN,,,Кран-укосина,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.14,"ТО 14 15 35 01
ТО 14 15 35 02",,,KSI180000039
,,ACP,,,Кран монтажный специальный,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.14,"ТО 14 35 10 01
ТО 14 35 10 02",,,KSI180000040
,,ACQ,,,Кран на тракторе,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.14,ТО 14 15 50 05,,,KSI180000041
,,ACR,,,Кран переставной,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.14,ТО 14 35 10 04,,,KSI180000042
,,ACS,,,Кран специальный строительный для возведения гиперболической оболочки градирни,,Приказ Минстроя России от 17.11.2022 N 969/пр,,,91.05.14,,,,KSI180000043
,,ACT,,,Кран консольно-шлюзовой,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.03,ТО 14 15 15,,,KSI180000044
,,ACU,,,Кран нулевого цикла,,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.05.14,ТО 14 15 20,,,KSI180000045
,AD,,,,"Машины и механизмы подъемно-транспортные, кроме кранов","Машины (устройства), предназначенные для перемещения грузов и людей в вертикальной, горизонтальной и наклонной плоскостях на относительно небольшие расстояния в пределах заводов, строительных площадок, портов, складов и т.п.",Приказ Минстроя России от 17.11.2022 N 969/пр,Характер перемещения груза,,91.06,,Определение синтезировано,,KSI180000046
,,ADA,,,Домкрат,Переставной механизм для подъема конструкций на небольшую высоту при воздействии на конструкцию снизу,"Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.01,ТО 16 16,ГОСТ 33650-2015,,KSI180000047
,,ADB,,,Конвейер ленточный,"Конвейер, грузонесущим и тяговым элементом которого является замкнутая лента","Приказ Минстроя России от 17.11.2022 N 969/пр
Приказ Москомэкспертизы от 28.12.2022 N МКЭ-ОД/22-128",,,91.06.02,ТО 16 18 20,ГОСТ 18501-73 (СТ СЭВ 3512-81),,KSI180000048
