Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Примечания
,,,,ACH030,Гравий термолитовый,"Искусственный пористый заполнитель, полученный обжигом со спеканием и поризацией подготовленных гранул (зерен) из кремнистых пород (трепелов, диатомитов, опок)","ГОСТ Р 56507-2015
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,02.2.01.04,
,,,,ACH040,Гравий зольный,"Искусственный пористый заполнитель округлой формы, получаемый путем гранулирования золы-уноса ТЭС с последующим вспучиванием при обжиге гранул полуфабриката во вращающейся печи",ГОСТ 33928-2016,,,,
,,,,ACH050,Гравий аглопоритовый,"Искусственный пористый заполнитель, имеющий округлую или гравелистую форму, полученный спеканием песчано-глинистых пород на решетках агломерационной машины",ГОСТ 32496-2013,,,,
,,,,ACH060,Щебень керамзитовый,"Искусственный пористый заполнитель произвольной, преимущественно угловатой формы, полученный при вспучивании в результате обжига фракционированного камнеподобного глинистого сырья или дроблении керамзита фракции более 20 мм",ГОСТ 32496-2013,,,,
,,,,ACH070,Щебень аглопоритовый,"Искусственный пористый заполнитель, полученный спеканием песчано-глинистых пород на решетках агломерационной машины непрерывного или переменного действия","ГОСТ 32496-2013
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,02.2.05.02,
,,,,ACH080,Щебень термолитовый,"Искусственный пористый заполнитель произвольной, преимущественно угловатой формы, полученный спеканием и поризацией в результате обжига фракционированный камнеподобных кремнистых пород (трепела, диатомиты, опоки) или дроблением термолитового гравия крупных фракций и кусков",ГОСТ Р 56507-2015,,,,
,,,,ACH090,Щебень шлакопемзовый,"Техногенный пористый заполнитель, получаемый на основе поризации расплава шлаков металлургического производства ",ГОСТ 5578-2019,,,,
,,,,ACH100,Вспученный вермикулит,"Материал, получаемый вспучиванием при обжиге подготовленных зерен из природных видов гидратированной слюды","ГОСТ 25137-82
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,23.99.19.111.12.2.03.04-0001,
,AD,,,,Песок,"Неорганический сыпучий материал с крупностью зерен до 4,0 мм",ГОСТ Р 58402.1-2019,По виду материала,,,
,,ADA,,,Песок природный,"Неорганический зернистый сыпучий строительный материал, получаемый при разработке песчаных месторождений или рассеве природных гравийно-песчаных смесей","ГОСТ 25137-82
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,02.3.01.02,
,,,,ADA010,"Песок из изверженных, метаморфических и осадочные пород",,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,02.3.01.04,
,,,,ADA020,Песок кварцевый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,"Песок кварцевый ЛПК-5
Песок кварцевый формовочный
Песок кварцевый, фракция 0-0,63 мм","08.12.11.120.02.3.01.07-0002
08.12.11.120.02.3.01.07-0004
08.12.11.120.02.3.01.07-0005
08.12.11.120.02.3.01.07-0006
08.12.11.120.02.3.01.07-0007",
,,,,ADA030,Песок из горных пород вулканического происхождения,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,02.3.01.03,
,,,,ADA040,Песок баритовый,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,08.91.19.110.02.3.01.01-0001,
,,,,ADA050,Песок из отсевов дробления обогащенный,"Песок с улучшенным зерновым составом, получаемый с применением специального обогатительного оборудования и поставляемый без разделения на фракции","ГОСТ 25137-82
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"08.12.11.130.02.3.01.05-0037
08.12.11.130.02.3.01.05-0040
08.12.11.130.02.3.01.05-0043
08.12.11.130.02.3.01.05-0046
08.12.11.130.02.3.01.05-0049
08.12.11.130.02.3.01.05-0052
08.12.11.130.02.3.01.05-0057
08.12.11.130.02.3.01.05-0060
08.12.11.130.02.3.01.05-0063
08.12.11.130.02.3.01.05-0066
08.12.11.130.02.3.01.05-0069
08.12.11.130.02.3.01.05-0072
08.12.11.130.02.3.01.05-0077
08.12.11.130.02.3.01.05-0080
08.12.11.130.02.3.01.05-0083
08.12.11.130.02.3.01.05-0086
08.12.11.130.02.3.01.05-0089
08.12.11.130.02.3.01.05-0092
08.12.11.130.02.3.01.05-0097
08.12.11.130.02.3.01.05-0100
08.12.11.130.02.3.01.05-0103
08.12.11.130.02.3.01.05-0106
08.12.11.130.02.3.01.05-0109
08.12.11.130.02.3.01.05-0112",
,,ADB,,,Дробленый песок,"Неорганический зернистый сыпучий строительный материал, получаемый измельчением скальных горных пород и гравия с использованием специального дробильно-размольного оборудования",ГОСТ 25137-82,По виду материала,,,
,,,,ADB010,Песок из отсевов дробления,"Песок, получаемый при производстве щебня, в том числе обогащенный крупный песок без фракций размером 0,16-0,315 и 0-0,16 мм, мелкий песок без фракции размером 0-0,16 мм, а также фракционированный песок","ГОСТ 32021-2012
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,02.3.01.05,
,,ADC,,,Фракционированный песок,"Природный неорганический сыпучий материал, разделенный на две или более фракций с использованием специального оборудования","ГОСТ 8736-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,08.12.11.110.02.3.01.04-0001,
,,ADD,,,"Песок, полученный путем обжига",,,По виду материала,,,
,,,,ADD010,Вспученный перлитовый песок,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,23.99.19.190.12.2.03.04-0031,
,,,,ADD020,Диатомитовая обожженная крошка,,,,,,
,,,,ADD030,Песок керамзитовый,"Заполнитель с размером зерен от 0,16 до 5 мм, полученный при обжиге мелких фракций полуфабриката или дроблении керамзита","ГОСТ 32026-2012
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,02.3.01.08,
,,,,ADD040,Песок термолитовый,"Искусственный пористый заполнитель с насыпной плотностью не более 1200 кг/м и размерами зерен менее 5 мм, получаемый при обжиге кремнистых пород мелкой фракции или дроблением термолитовых гравия и щебня и имеющий стабильную структуру",ГОСТ Р 56507-2015,,,,
,,,,ADD050,Песок шунгизитовый,,,,,,
,,,,ADD060,Песок аглопоритовый,"Искусственный пористый заполнитель, получаемый при обжиге путем агломерации шихты или гранул полуфабриката из золы ТЭС",ГОСТ 33928-2016,,,,
,,,,ADD070,Песок шлакопемзовый,"Материал, являющийся отсевом фракции от 0 до 5 мм получаемый при дроблении шлаковой пемзы на фракционированный щебень. Шлаковая пемза имеет пористую ноздреватую структуру",ОДМ 218.3.087-2017,,,,
,AE,,,,Глинистые фракции,,,По виду материала,,,
,,AEA,,,Глина,"Связный минеральный грунт, обладающий числом пластичности > 17","ГОСТ 25100-2020
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,02.1.01.01,
,,,,AEA010,Глины тугоплавкие,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,08.12.22.113.02.1.01.01-1006,
,,,,AEA020,Глины легкоплавкие,,,,,,
,,AEB,,,Суглинок,Смесь песка (до 40%) с глиной (до 30%),Р НОСТРОЙ 2.17.7-2013,По виду материала,,,Суглинки обычно включают примеси углекислого кальция и гидроокислов железа.
,,AEC,,,Супесь,Смесь песка (90%-97%) с глиной (3%-10%),Р НОСТРОЙ 2.17.7-2013,По виду материала,,,
,,AED,,,Мергель,"Известняк, содержащий глину и представляющий собой связную и довольно твердую породу серо-зеленоватого, бурого или желтого цвета. При содержании глины в количестве 5-10% порода называется мергелистым известняком, а до 25% - известняковым мергелем и до 60% мергелем. При выветривании мергель превращается в рыхлую массу - рухляк",ЕНиР Сборник Е2. Земляные работы,По виду материала,,,
,AF,,,,Смеси минеральные,,,По виду материала,,,
