Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код класса по КСР,Примечания
,,AHC,,,Смеси грунтосодержащие,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),По виду материала,,"02.1.02
",
,,,,AHC010,Смесь битумно-грунтовая,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,02.1.02.01,
,,,,AHC020,Смесь цементно-грунтовые,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,02.1.02.02,
,,AHD,,,Торф,"Органическая горная порода, образующая в результате отмирания и неполного распада болотных растений в условиях повышенного увлажнения при недостатке кислорода и содержания не более 50% минеральных компонентов на сухое вещество","ГОСТ 21123-85
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,08.92.10.119.16.2.01.03-0011,
B,,,,,Органические материалы и соединения,,,По виду материала,,,
,BA,,,,Древесина и материалы на основе древесины,,,По виду материала,,,
,,BAA,,,Древесина твердых пород,,,По виду материала,,,
,,,,BAA010,Бук,,СП 64.13330.2017,,,,
,,,,BAA020,Вишня,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,02.10.11.240.16.2.02.02-0041 02.10.11.240.16.2.02.02-0042 02.10.11.240.16.2.02.02-0043 02.10.11.240.16.2.02.02-1008,
,,,,BAA030,Дуб,,"СП 64.13330.2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,02.10.11.220.16.2.02.02-0081 02.10.11.220.16.2.02.02-0082 02.10.11.220.16.2.02.02-0084,
,,,,BAA040,Клен,,"СП 64.13330.2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"02.10.11.220.16.2.02.02-0131
02.10.11.220.16.2.02.02-0132
02.10.11.220.16.2.02.02-0133
02.10.11.220.16.2.02.02-0134
02.10.11.220.16.2.02.02-0141
02.10.11.220.16.2.02.02-1002
02.10.11.220.16.2.02.02-1004",
,,,,BAA050,Мербау,,,,,,
,,,,BAA060,Орех,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,02.10.11.240.16.2.02.02-0181 02.10.11.240.16.2.02.02-0182,
,,,,BAA070,Ясень,,"СП 64.13330.2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"02.10.11.220.16.2.02.02-0261
02.10.11.220.16.2.02.02-0262",
,,,,BAA080,Граб,,"СП 64.13330.2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,02.10.11.220.16.2.02.02-0062,
,,,,BAA090,Акация,,"СП 64.13330.2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"02.10.11.220.16.2.02.02-0001
02.10.11.220.16.2.02.02-0002
02.10.11.220.16.2.02.02-0003
02.10.11.220.16.2.02.02-0004
02.10.11.220.16.2.02.02-0005
02.10.11.220.16.2.02.02-0006",
,,,,BAA100,Вяз,,"СП 64.13330.2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"02.10.11.220.16.2.02.02-0051
02.10.11.220.16.2.02.02-0052
02.10.11.220.16.2.02.02-1000",
,,,,BAA110,Береза,,"СП 64.13330.2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"02.10.11.220.16.2.02.02-0021
02.10.11.220.16.2.02.02-0022
02.10.11.220.16.2.02.02-0023
02.10.11.220.16.2.02.02-0024",
,,,,BAA120,Лиственница,,"СП 64.13330.2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"02.10.11.210.16.2.02.03-0021
02.10.11.210.16.2.02.03-0022
02.10.11.210.16.2.02.03-0023
02.10.11.210.16.2.02.03-0024
02.10.11.210.16.2.02.03-0025
02.10.11.210.16.2.02.03-0026
02.10.11.210.16.2.02.03-1000",
,,BAB,,,Древесина мягких пород,,,По виду материала,,,
,,,,BAB020,Липа,,"СП 64.13330.2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"02.10.11.230.16.2.02.02-0151
02.10.11.230.16.2.02.02-0152
02.10.11.230.16.2.02.02-0153",
,,,,BAB030,Осина,,СП 64.13330.2017,,,,
,,,,BAB040,Ольха,,"СП 64.13330.2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,02.10.11.230.16.2.02.02-0171,
,,,,BAB050,Ель,,"СП 64.13330.2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"02.10.11.210.16.2.02.03-0001
02.10.11.210.16.2.02.03-0002
02.10.11.210.16.2.02.03-0003
02.10.11.210.16.2.02.03-0004
02.10.11.210.16.2.02.03-0005
02.10.11.210.16.2.02.03-0006
02.10.11.210.16.2.02.03-0007
02.10.11.210.16.2.02.03-0008
02.10.11.210.16.2.02.03-0009
02.10.11.210.16.2.02.03-0010
02.10.11.210.16.2.02.03-1040
02.10.11.210.16.2.02.03-1042
02.10.11.210.16.2.02.03-1044
02.10.11.210.16.2.02.03-1046
02.10.11.210.16.2.02.03-1048
02.10.11.210.16.2.02.03-1050
02.10.11.210.16.2.02.03-1052
02.10.11.210.16.2.02.03-1054
02.10.11.210.16.2.02.03-1056
02.10.11.210.16.2.02.03-1062
02.10.11.210.16.2.02.03-1064",
,,,,BAB060,Кедр,,"СП 64.13330.2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,02.10.11.210.16.2.02.03-0011,
,,,,BAB080,Пихта,,"СП 64.13330.2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"02.10.11.210.16.2.02.03-0031
02.10.11.210.16.2.02.03-0032
02.10.11.210.16.2.02.03-0034
02.10.11.210.16.2.02.03-0035
02.10.11.210.16.2.02.03-0036
02.10.11.210.16.2.02.03-0037
02.10.11.210.16.2.02.03-0038
02.10.11.210.16.2.02.03-0039
02.10.11.210.16.2.02.03-0040",
,,,,BAB090,Сосна,,"СП 64.13330.2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"02.10.11.210.16.2.02.03-0046
02.10.11.210.16.2.02.03-0047
02.10.11.210.16.2.02.03-0048
02.10.11.210.16.2.02.03-0049
02.10.11.210.16.2.02.03-0050
02.10.11.210.16.2.02.03-0051
02.10.11.210.16.2.02.03-0052
02.10.11.210.16.2.02.03-0053
02.10.11.210.16.2.02.03-0054
02.10.11.210.16.2.02.03-0055
02.10.11.210.16.2.02.03-0056
02.10.11.210.16.2.02.03-1058
02.10.11.210.16.2.02.03-1060",
,,BAC,,,Шпон,"Тонкий лист древесины заданной толщины, полученный при лущении","ГОСТ 33124-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,11.2.11.07,
,,,,BAC010,Лущёный шпон,"Шпон заданной толщины, полученный при лущении фанерного чурака",ГОСТ 15812-87,,,,
,,,,BAC020,Строганый шпон,"Шпон, полученный при строгании бруса или ванчеса",ГОСТ 15812-87,,,,
,,,,BAC030,Пилёный шпон,,,,,,
,,BAD,,,Целлюлозная вата (эковата),,,По виду материала,,,
,,BAE,,,Бумага и картон,,"ГОСТ 19088-89
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,"01.7.02
",
,,,,BAE010,Бумага мешочная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,01.7.02.01,
,,,,BAE020,Бумага оберточная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,01.7.02.02,
,,,,BAE030,Бумага упаковочная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,01.7.02.03,
,,,,BAE040,Бумага электроизоляционная,,"ГОСТ 24874-91
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,01.7.02.04,
,,,,BAE050,Гетинакс,,"ГОСТ 2718-74
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,01.7.02.05,
,,,,BAE060,Картон строительный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,01.7.02.06,
,,,,BAE070,Картон электроизоляционный,,"ГОСТ 2824-86
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,01.7.02.07,
,,,,BAE080,Шпагат бумажный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,01.7.02.09,
,,BAF,,,Кора древесная,,ГОСТ 17462-84,По виду материала,,,
,,,BAFA,,Пробка,,ГОСТ 20350-74,,,,
,,,,BAFA010,Техническая пробка,,,,,,
,,,,BAFA020,Пробковый агломерат,,,,,,
,,BAG,,,Уголь древесный,,"ГОСТ 7657-84
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,01.7.07.21,
,,BAH,,,Древесина измельченная,"Древесные частицы различной формы и величины, получаемые в результате механической обработки",ГОСТ 23246-78,По виду материала,,,
,,,,BAH010,Щепа,"Измельченная древесина установленных размеров, получаемая в результате измельчения древесного сырья рубильными машинами и специальными устройствами, используемая в качестве технологического сырья или топлива ",ГОСТ 17462-84,,,,
,,,,BAH020,Дробленка,"Древесные частицы, полученные при измельчении древесины на дробилках и молотковых мельницах",ГОСТ 23246-78,,,,
,,,,BAH030,Древесная стружка,"Тонкие древесные частицы, образующиеся при резании древесины",ГОСТ 23246-78,,,,
,,,,BAH040,Древесные опилки,"Мелкие частицы древесины, образующиеся в процессе пиления","ГОСТ 23246-78
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,16.10.23.120.01.7.07.29-0091,
,,,,BAH050,Древесная мука,"Древесные частицы заданного гранулометрического состава, полученные путем сухого механического размола древесины",ГОСТ 23246-78,,,,
,,,,BAH060,Древесная пыль,Несортированные древесные частицы размером менее 1 мм,ГОСТ 23246-78,,,,
,BB,,,,Битумы и битумные вяжущие,,,По виду материала,,,
,,BBA,,,Битум нефтяной строительный,,"ГОСТ 6617-76
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,01.2.01.02,
,,,,BBA010,Битум нефтяной строительный модифицированный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,19.20.42.123.01.2.01.02-0021,
,,,,BBA020,Битум нефтяной высокоплавкий,,"ГОСТ 781-78
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,19.20.42.129.01.2.01.02-0056 19.20.42.129.01.2.01.02-0058,
,,,,BBA030,Битум нефтяной хрупкий,,"ГОСТ 21822-87
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,19.20.42.125.01.2.01.02-0062 19.20.42.125.01.2.01.02-0064 19.20.42.125.01.2.01.02-0066,
,,BBB,,,Битум нефтяной дорожный,,"ГОСТ 33141-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,01.2.01.01,
,,,,BBB010,Битум нефтяной дорожный жидкий,,"ГОСТ 11955-82
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,19.20.42.121.01.2.01.01-0001 19.20.42.121.01.2.01.01-0002,
,,,,BBB020,Битум нефтяной дорожный вязкий,,"ГОСТ 33141-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"19.20.42.121.01.2.01.01-0019
19.20.42.121.01.2.01.01-0020
19.20.42.121.01.2.01.01-1028
19.20.42.121.01.2.01.01-1030
19.20.42.121.01.2.01.01-1032
19.20.42.121.01.2.01.01-1034
19.20.42.121.01.2.01.01-1036
19.20.42.121.01.2.01.01-1038
19.20.42.121.01.2.01.01-1040
19.20.42.121.01.2.01.01-1042
19.20.42.121.01.2.01.01-1044
19.20.42.121.01.2.01.01-1046
19.20.42.121.01.2.01.01-1048",
,,,,BBB030,Битум нефтяной дорожный модифицированный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,19.20.42.121.01.2.01.01-1062,
,,,,BBB040,Битум нефтяной дорожный улучшенный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,"19.20.42.121.01.2.01.01-0011
19.20.42.121.01.2.01.01-0012
19.20.42.121.01.2.01.01-0013
19.20.42.121.01.2.01.01-0014
19.20.42.121.01.2.01.01-0015
19.20.42.121.01.2.01.01-0016
19.20.42.121.01.2.01.01-0017
19.20.42.121.01.2.01.01-0018
19.20.42.121.01.2.01.01-1074",
,,,,BBB050,Битум нефтяной дорожный неокисленный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,"19.20.42.121.01.2.01.01-1064
19.20.42.121.01.2.01.01-1066",
,,BBC,,,Вяжущее битумное,,ГОСТ 31740-2012,По виду материала,,,
,,,,BBC010,Вяжущее полимерно-битумное,," СТО 94108962-001-2016
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"19.20.42.121.01.2.03.01-0011
19.20.42.121.01.2.03.01-0012
19.20.42.121.01.2.03.01-1002
19.20.42.121.01.2.03.01-1004
19.20.42.121.01.2.03.01-1006
19.20.42.121.01.2.03.01-1008
19.20.42.121.01.2.03.01-1014",
,,,,BBC020,Мастика вяжущая полимерно-битумная,,"ГОСТ 30693-2000
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"23.99.12.120.01.2.03.01-0001
23.99.12.120.01.2.03.01-0002",
,,BBD,,,Гудрон (полугудрон),,"ГОСТ 32264-2013
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,23.99.12.190.01.2.03.08-0001,
,BC,,,,Смолы и латекс природные,,,По виду материала,,,
,,BCA,,,Природный каучук,,ГОСТ 28246-2017,По виду материала,,,
,,,,BCA010,Полуэбонит,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,"22.19.73.130.01.7.19.05-0001
22.19.73.130.01.7.19.05-0002
22.19.73.130.01.7.19.05-0003
22.19.73.130.01.7.19.05-0004
22.19.73.130.01.7.19.05-0005
22.19.73.130.01.7.19.05-0006
22.19.73.130.01.7.19.05-0007
22.19.73.130.01.7.19.05-0008",
,,,,BCA020,Эбонит,,"ГОСТ 21341-2014
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,"22.19.73.130.01.7.19.05-0011
22.19.73.130.01.7.19.05-0012",
,,BCB,,,Канифоль,,"ГОСТ 19113-84
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,01.3.05.17,
,,BCC,,,Деготь древесный,,"СТО 70238424.27.100.003-2008
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,01.2.02.01,
,,,,BCC010,Деготь каменноугольный дорожный,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,01.2.02.01,
,,BCD,,,Природный асфальт,,,По виду материала,,,
,,BCE,,,Озокерит (горный воск),,,По виду материала,,,
,,BCF,,,Пек,,ГОСТ 32264-2013,По виду материала,,,
,BD,,,,Олифа натуральная,"Вырабатывается из льняного или конопляного масел с добавлением сиккативов (ускорителей высыхания) и  предназначена для изготовления и разведения густотертых красок, а также в качестве самостоятельного материала для малярных работ","ГОСТ 7931-76
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,14.5.05.02,
,,,,BD010,Олифа льняная,"Натуральная олифа, для изготовления которой применяют масло льняное по ГОСТ 5791-81 и другой нормативно-технической документации или импортное с содержанием фосфорсодержащих веществ не более 0,026% в пересчете на РО",ГОСТ 7931-76,,,,
,,,,BD020,Олифа конопляная,"Натуральная олифа, для изготовления которой применяют масло конопляное по ГОСТ 8989-73 с содержанием фосфорсодержащих веществ не более 0,026% в пересчете на РО",ГОСТ 7931-76,,,,
,BE,,,,Органические соединения,,,По виду материала,,,
,,,,BE010,Ангидрид,"Технический фталевый ангидрид, представляющий собой ангидрид бензол-1,2-дикарбоновой кислоты","ГОСТ 24445.1-80
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,01.3.05.04,
,,,,BE020,Глицерин,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,01.3.05.09,
,,,,BE030,Фенол,,"ГОСТ 11235-2017
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,01.3.05.33,
,,,,BE040,Церезин,"Смесь твердых углеводородов, получаемых кислотно-контактной очисткой нефтяного неочищенного церезина. Предназначен для получения смазок, восковых сплавов, изоляционных материалов и других целей","ГОСТ 2488-79
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",,,01.7.07.25,
,BF,,,,Материалы растительного происхождения,,,По виду материала,,,
,,BFA,,,Газон готовый рулонный,"Тонкий слой дернины, образованной переплетением корней и подземных побегов некоторых видов многолетних злаковых трав, получаемой путем срезания специальным комбайном верхнего слоя 2-3 летнего газона из мятлика лугового, овсяницы красной, райграса пастбищного в виде ковриков","ОДМ 218.2.064-2015
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,16.2.03.01,
,,BFB,,,Дерн,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),По виду материала,,02.30.30.000.16.2.03.02-0001,
,,BFC,,,Мох,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),По виду материала,,02.30.30.000.16.2.03.02-0021,
,,BFE,,,Пакля,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),По виду материала,,13.10.26.190.01.7.07.29-0111,
,,BFF,,,Джут,"Род кустарников, полукустарников и трав семейства мальвовые, прядильная культура",СТО 79407897-002-2010,По виду материала,,,
,,BFG,,,Солома,,,По виду материала,,01.11.50.000.16.3.02.02-1018,
,,,,BFG010,Солома песчаного овса,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,01.11.50.000.16.2.03.02-0031,
,,,,BFG020,Солома прессованная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,01.11.50.000.16.2.03.02-0032,
,,,,BFG030,Солома рассыпная,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,01.11.50.000.16.2.03.02-0033,
,BG,,,,Материалы посадочные,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),По виду материала,,16.2.02,
,,BGA,,,Семена,,,По виду материала,,,
,,,BGAA,,Семена трав,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,"01.19.31.150.16.2.02.07-0001
01.19.31.150.16.2.02.07-0011
01.19.31.169.16.2.02.07-0021
01.19.31.169.16.2.02.07-0031
01.19.31.169.16.2.02.07-0041
01.19.31.161.16.2.02.07-0051
01.19.31.165.16.2.02.07-0061
01.19.31.165.16.2.02.07-0071
01.19.31.162.16.2.02.07-0101
01.19.31.165.16.2.02.07-0111
01.19.31.165.16.2.02.07-0121
01.19.31.165.16.2.02.07-0131
01.19.31.165.16.2.02.07-0141
01.19.31.165.16.2.02.07-0151
01.19.31.169.16.2.02.07-0161
01.19.31.165.16.2.02.07-0171
01.19.31.165.16.2.02.07-0181",
,,,BGAB,,Семена цветов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,"01.30.10.142.16.2.02.06-0001
01.30.10.142.16.2.02.06-0002
01.30.10.142.16.2.02.06-0003
01.30.10.142.16.2.02.06-0004
01.30.10.142.16.2.02.06-0011
01.30.10.149.16.2.02.06-0021
01.30.10.149.16.2.02.06-0022
01.30.10.149.16.2.02.06-0023
01.30.10.149.16.2.02.06-0024
01.30.10.149.16.2.02.06-0025
01.30.10.121.16.2.02.07-0198
01.30.10.121.16.2.02.07-1000
01.19.31.169.16.2.02.07-0091",
,,,BGAC,,Семена хвойных пород,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,"16.2.02.08
16.2.02.09",
,,,BGAD,,Семена лиственных пород,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,"02.10.11.240.16.2.02.10-0001
02.10.12.112.16.2.02.10-0011
02.10.11.240.16.2.02.10-1000
02.10.11.242.16.2.02.02-1022
02.10.11.242.16.2.02.02-1024
02.10.11.242.16.2.02.02-1026
02.10.11.242.16.2.02.02-1028
02.10.11.242.16.2.02.02-1030
02.10.11.242.16.2.02.02-1032",
,,BGB,,,Саженцы,,,По виду материала,,,
,,,BGBA,,Рассада цветов однолетних,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,"01.30.10.121.16.2.02.04-1046
01.30.10.121.16.2.02.07-0186
01.30.10.121.16.2.02.07-0187
01.30.10.121.16.2.02.07-0188
01.30.10.121.16.2.02.07-0189
01.30.10.121.16.2.02.07-0190
01.30.10.121.16.2.02.07-0191
01.30.10.121.16.2.02.07-0192
01.30.10.121.16.2.02.07-0193
01.30.10.121.16.2.02.07-0194
01.30.10.121.16.2.02.07-0195
01.30.10.121.16.2.02.07-0196
01.30.10.121.16.2.02.07-0197
01.30.10.121.16.2.02.07-1002
01.30.10.121.16.2.02.07-1012
01.30.10.121.16.2.02.07-1014
01.30.10.121.16.2.02.07-1016
01.30.10.121.16.2.02.07-1018
01.30.10.121.16.2.02.07-1020
01.30.10.121.16.2.02.07-1022
01.30.10.121.16.2.02.07-1024
01.30.10.121.16.2.02.07-1026
01.30.10.121.16.2.02.07-1028
01.30.10.121.16.2.02.07-1030
01.30.10.121.16.2.02.07-1032
01.30.10.121.16.2.02.07-1034
01.30.10.121.16.2.02.07-1036
01.30.10.121.16.2.02.07-1038
01.30.10.121.16.2.02.07-1040
01.30.10.121.16.2.02.07-1042
01.30.10.121.16.2.02.07-1044
01.30.10.121.16.2.02.07-1046
01.30.10.121.16.2.02.07-1048
01.30.10.121.16.2.02.07-1050
01.30.10.121.16.2.02.07-1052
01.30.10.121.16.2.02.07-1054
01.30.10.121.16.2.02.07-1056
01.30.10.121.16.2.02.07-1058
01.30.10.121.16.2.02.07-1060
01.30.10.121.16.2.02.07-1062
01.30.10.121.16.2.02.07-1064
01.30.10.121.16.2.02.07-1066
01.30.10.121.16.2.02.07-1068",
,,,BGBB,,Саженцы многолетних цветов,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,"01.30.10.121.16.2.02.02-1010
01.30.10.121.16.2.02.02-1012
01.30.10.121.16.2.02.02-1014
01.30.10.121.16.2.02.02-1016
01.30.10.121.16.2.02.02-1018
01.30.10.121.16.2.02.02-1020
01.30.10.121.16.2.02.04-1006
01.30.10.121.16.2.02.04-1008
01.30.10.121.16.2.02.04-1010
01.30.10.121.16.2.02.04-1012
01.30.10.121.16.2.02.04-1014
01.30.10.121.16.2.02.04-1016
01.30.10.121.16.2.02.04-1018
01.30.10.121.16.2.02.04-1020
01.30.10.121.16.2.02.04-1022
01.30.10.121.16.2.02.04-1024
01.30.10.121.16.2.02.04-1026
01.30.10.121.16.2.02.04-1028
01.30.10.121.16.2.02.04-1030
01.30.10.121.16.2.02.04-1032
01.30.10.121.16.2.02.04-1034
01.30.10.121.16.2.02.04-1036
01.30.10.121.16.2.02.04-1038
01.30.10.121.16.2.02.04-1040
01.30.10.121.16.2.02.04-1042
01.30.10.121.16.2.02.04-1044
01.30.10.121.16.2.02.06-1000
01.30.10.121.16.2.02.06-1002
01.30.10.119.16.2.02.07-0081
01.30.10.121.16.2.02.07-0182
01.30.10.121.16.2.02.07-0183
01.30.10.121.16.2.02.07-0184
01.30.10.121.16.2.02.07-0185
01.30.10.121.16.2.02.07-1004
01.30.10.121.16.2.02.07-1006
01.30.10.121.16.2.02.07-1008
01.30.10.121.16.2.02.07-1010
01.30.10.121.16.2.02.07-1070",
,,,BGBC,,Саженцы кустарников,,Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021),,,"02.10.11.250.16.2.02.04-0001
02.10.11.250.16.2.02.04-0011
02.10.11.250.16.2.02.04-0015
02.10.11.250.16.2.02.04-0021
02.10.11.250.16.2.02.04-0022
02.10.11.250.16.2.02.04-0031
02.10.11.250.16.2.02.04-0033
02.10.11.250.16.2.02.04-0034
02.10.11.250.16.2.02.04-0041
02.10.11.250.16.2.02.04-0051
02.10.11.250.16.2.02.04-0061
02.10.11.250.16.2.02.04-0071
02.10.11.250.16.2.02.04-0081
02.10.11.250.16.2.02.04-0091
02.10.11.250.16.2.02.04-0092
02.10.11.250.16.2.02.04-0101
02.10.11.250.16.2.02.04-0111
02.10.11.250.16.2.02.04-0112
02.10.11.250.16.2.02.04-0113
02.10.11.250.16.2.02.04-0121
02.10.11.250.16.2.02.04-0131
02.10.11.250.16.2.02.04-0141
02.10.11.250.16.2.02.04-0151
02.10.11.250.16.2.02.04-0161
02.10.11.250.16.2.02.04-0171
02.10.11.250.16.2.02.04-0181
02.10.11.250.16.2.02.04-0191
02.10.11.250.16.2.02.04-0201
02.10.11.250.16.2.02.04-0202
02.10.11.250.16.2.02.04-0211
02.10.11.250.16.2.02.04-0221
02.10.11.250.16.2.02.04-0231
02.10.11.250.16.2.02.04-0232
02.10.11.250.16.2.02.04-0241
02.10.11.250.16.2.02.04-0251
02.10.11.250.16.2.02.04-0261
02.10.11.250.16.2.02.04-0271
02.10.11.250.16.2.02.04-0281
02.10.11.250.16.2.02.04-0282
02.10.11.250.16.2.02.04-0291
02.10.11.250.16.2.02.04-0292
02.10.11.250.16.2.02.04-0301
02.10.11.250.16.2.02.04-0311
02.10.11.250.16.2.02.04-0321
02.10.11.250.16.2.02.04-0322
02.10.11.250.16.2.02.04-0331
02.10.11.250.16.2.02.04-0341
02.10.11.250.16.2.02.04-0351
02.10.11.250.16.2.02.04-0352
02.10.11.250.16.2.02.04-0361
02.10.11.250.16.2.02.04-0371
02.10.11.250.16.2.02.04-0381
02.10.11.250.16.2.02.04-0382
02.10.11.250.16.2.02.04-1000
02.10.11.250.16.2.02.04-1002
01.30.10.129.16.2.02.04-1004
02.10.11.290.16.2.02.05-0001
02.10.11.290.16.2.02.05-0002
02.10.11.290.16.2.02.05-0012
02.10.11.290.16.2.02.05-0013
02.10.11.290.16.2.02.05-0014
02.10.11.290.16.2.02.05-0015
02.10.11.290.16.2.02.05-0016
02.10.11.290.16.2.02.05-0017
02.10.11.290.16.2.02.05-0018
02.10.11.290.16.2.02.05-0019
02.10.11.290.16.2.02.05-0020
02.10.11.290.16.2.02.05-0021
02.10.11.290.16.2.02.05-0031",
,,,BGBD,,Саженцы деревьев,,,,,,
,,,BGBE,,Саженцы крупномерных деревьев,,,,,,
C,,,,,Материалы на основе вяжущих веществ,,ГОСТ 4.204-79,По виду материала,,,
,CA,,,,Смеси строительные,,"ГОСТ 31357-2007
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,"04.3.02
",
,,CAA,,,Смесь сухая строительная на цементных вяжущих,,"ГОСТ 31357-2007
Приказ Минстроя России от 02.03.2017 N 597/пр (ред. от 29.03.2021)",По виду материала,,04.3.02.09,
