Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,Примечания
,,,CEBA,,Здание (сооружение) объектов нефтегазодобывающего и нефтегазоперерабатывающего машиностроения,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству бурильного оборудования, долот и замков
Здание цеха по производству крупноблочного, реакторного, нефтегазоперерабатывающего оборудования
Здание цеха по производству нефтегазопромыслового оборудования",13.11.1,,
,,,CEBB,,Здание (сооружение) объектов производства горношахтного оборудования,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание малярно-сдаточного цеха горношахтного оборудования
Здание сборочного цеха заводов подъемно-транспортного оборудования горного машиностроения
Здание сборочно-сварочного цеха заводов подъемно-транспортного оборудования и горного машиностроения",13.11.2,,
,,CEC,,,Здание (сооружение) объектов прокатного производства общего машиностроения,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству гибкой арматуры
Здание цеха по производству жесткой арматуры
Здание цеха по производству запорной трубопроводной арматуры",13.3.1,,
,,CED,,,Объекты промышленности гидравлического и пневматического силового оборудования,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,13.3.1,,
,,,CEDA,,Здание (сооружение) объектов предприятий компрессорного машиностроения,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству компрессорного оборудования
Здание цеха по производству машин для сжижения воздуха или газов
Здание цеха по производству насосов для ядерных установок и радиохимического производства",13.2.1,,
,,,CEDB,,Здание (сооружение) объектов производства гидравлического и пневматического силового оборудования,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание специализированного и агрегатного цеха по производству редукторов, пневмотормозной аппаратуры, технологической оснастки, инструмента и сложных корпусных деталей
Здание цеха по производству гидроаппаратуры, гидро-и пневмооборудования и смазочных систем",13.2.2,,
,,,CEDC,,Здание (сооружение) объектов производства противопожарного гидравлического оборудования,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству противопожарного гидравлического оборудования и арматуры
Здание цеха по производству противопожарного насосного оборудования",13.2.3,,
,,CEE,,,"Объекты промышленности двигателей, турбин и комплектующих, кроме авиационных, автомобильных и мотоциклетных",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,13.2.3,,
,,,CEEA,,"Здание (сооружение) объектов производства комплектующих изделий, узлов и деталей двигателей",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание заготовительно­штамповочного цеха заводов тяжелого и транспортного машиностроения (холодно-штамповочные)
Здание кузнечного цеха заводов ПТО, горного машиностроения, дизелестроения и путевого машиностроения
Здание кузнечно-штамповочного цеха заводов вагоностроения и других заводов крупносерийного
Здание цеха по производству топливной аппаратуры",13.1.3,,
,,,CEEB,,Здание (сооружение) объектов производства специальных двигателей,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству двигателей для промышленного применения
Здание цеха по производству двигателей для тракторов
Здание цеха по производству поршневых двигателей внутреннего сгорания",13.1.1,,
,,,CEEC,,Здание (сооружение) объектов производства турбин,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству турбин
Здание цеха по производству турбогенераторных установок
Здание цеха по производству установок типа котел-турбина",13.1.2,,
,,CEF,,,Объекты промышленности машин и оборудования для сельского и лесного хозяйства,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,13.1.2,,
,,,CEFA,,Здание (сооружение) объектов лесохозяйственного машиностроения и автотрактороремонтного производства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха автотрактороремонтного производства
Здание цеха лесохозяйственного машиностроения",13.9.2,,
,,,CEFB,,Здание (сооружение) объектов машиностроения для сельского хозяйства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству автопоилок, стойлового оборудования, транспортеров для уборки навоза, стационарных кормораздатчиков, граблей
Здание цеха по производству запасных частей к тракторам и комбайнам
Здание цеха по производству зерноуборочных комбайнов",13.9.1,,
,,CEG,,,Здание (сооружение) объектов промышленности машин и оборудования коммунального назначения,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству самоходных строительных, дорожных и коммунальных машин на спецшасси, пневмоколесном и гусеничном ходах , пневмотранспорта, машин и оборудования для промышленности строительных материалов, цементной промышленности, сборного
Здание цеха по производству строительных, дорожных и коммунальных машин на базе тракторов и автомобилей
Здание цеха по производству контейнеров для сбора мусора",13.8.1,,
,,CEH,,,"Объекты промышленности печей, термокамер и печных горелок",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,13.8.1,,
,,,CEHA,,Здание (сооружение) объектов производства печей и горелок,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание печного цеха
Сооружение котла, парогенератора",13.5.2,,
,,,CEHB,,Здание (сооружение) объектов производства электротермического оборудования,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству водоподогревателей
Здание цеха по производству воздухоподогревателей
Здание цеха по производству электротермического оборудования",13.5.1,,
,,,CEHC,,Сооружение сушила,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение сушила барабанного для сушки сыпучих материалов (песка, глины, шлака, угля, руды, концентратов колчедана и других материалов)
Сооружение сушила вертикального, горизонтального конвейерного с подвесными этажерками
Сооружение сушила для сушки сыпучих материалов в кипящем слое и пневмопотоке",13.5.3,,
,,,CEHD,,Сооружение теплообменного устройства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение теплообменника вертикального
Сооружение теплообменника горизонтального",13.5.4,,
,,,CEHF,,Сооружение термокамеры,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Сооружение охладительной камеры
Сооружение топки газовой или мазутной",13.5.5,,
,,CEJ,,,"Здание (сооружение) объектов промышленности подшипников, зубчатых передач, элементов механических передач и приводов",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание комплекса по производству железнодорожных подшипников
Здание цеха по производству редукторов с плавным изменением передаточного отношения
Здание цеха по производству редукторов со ступенчатым изменением передаточного отношения",13.4.2,,
,,CEK,,,"Здание (сооружение) объектов промышленности подъемно-транспортного оборудования, станков, машин, средств непрерывного транспорта",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание базы ремонта перегрузочного оборудования
Здание малярно-сдаточного цеха заводов транспортного машиностроения
Здание цеха по производству грузовых и пассажирских лифтов",13.6.1,,
,,CEL,,,"Здание (сооружение) объектов промышленности промышленного холодильного и вентиляционного оборудования, фильтров",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству оборудования для вентиляции воздуха
Здание цеха по производству оборудования для кондиционирования воздуха
Здание цеха по производству оборудования для теплоутилизации воздуха
Здание цеха по производству фильтров и фильтрующих элементов",13.7.1,,
,,CEM,,,"Здание (сооружение) объектов промышленности станков, машин, оборудования и инструмента",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству абразивных материалов и инструмента
Здание цеха по производству алмазного инструмента
Здание цеха по производству строительно-монтажного механизированного инструмента, строительно-отделочных машин",13.10.1,,
,,CEN,,,Вспомогательные объекты общего машиностроения,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,13.10.1,,
,,,CENA,,Здание (сооружение) объектов машиностроительных заводов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание заготовительно-сварочного цеха
Здание инструментального цеха заводов тяжелого и транспортного машиностроения
Здание испытательной станции дизелей",13.13.1,,
,,,CENB,,Здание (сооружение) объектов по ремонту и сборке оборудования машиностроения,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание разборочно-сборочного цеха
Здание ремонтного цеха
Здание ремонтного цеха автосамосвалов",13.13.2,,
,CF,,,,Объекты производств транспортного машиностроения,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,13.13.2,,
,,CFA,,,Объекты кораблестроения и судостроения,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,13.13.2,,
,,,CFAA,,"Здание (сооружение) объектов производства и ремонта кораблей, судов и плавучих конструкций",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха деревообрабатывающего производства для судов (всех категорий и групп)
Здание цеха корпусообрабатывающего производства (всех категорий и групп)
Здание цеха основного производства судостроительных и судоремонтных предприятий для постройки и ремонта боевых надводных и подводных кораблей с обычными энергетическими установками, а также специальных академических судов исследовательского назначения",14.3.1,,
,,,CFAB,,Здание (сооружение) объектов производства прогулочных и спортивных судов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству малых судов из алюминиевых корпусов
Здание цеха по производству малых судов из стальных корпусов
Здание цеха по производству малых судов с водометными двигателями",14.3.3,,
,,,CFAC,,"Специальное здание (сооружение) для производства и ремонта кораблей, судов и плавучих конструкций",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание судоремонтного цеха
Сооружение ангара (крытого эллинга) для ремонта судов
Сооружение наливного бассейна
Сооружение достроечной набережной или пирса",14.3.2,,
,,CFB,,,Здание (сооружение) объектов промышленности двигателей внутреннего сгорания,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание малярно-сдаточного цеха заводов дизелестроения и газомотокомпрессоров
Здание сборочного цеха заводов дизелестроения
Здание цеха по производству бензиновых двигателей",14.1.2,,
,,CFC,,,Объекты промышленности железнодорожных локомотивов и подвижного состава,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,14.1.2,,
,,,CFCA,,Здание (сооружение) объектов предприятий по ремонту подвижного состава,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание тепловозоремонтного цеха
Здание цеха по ремонту грузовых вагонов
Здание цеха по ремонту пассажирских вагонов",14.4.3,,
,,,CFCB,,Здание (сооружение) объектов производства железнодорожных локомотивов и подвижного состава,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание малярно-сдаточного цеха путевого машиностроения
Здание сборочного цеха заводов грузового вагоностроения
Здание цеха по производству вагонов метро",14.4.1,,
,,,CFCC,,Здание (сооружение) объектов производства оборудования для управления движением,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству стрелочного оборудования
Здание электротехнического цеха по производству оборудования управления движением железнодорожного транспорта",14.4.2,,
,,,CFCD,,Здание (сооружение) объектов тепловозостроения,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание малярно-сдаточного цеха тепловозостроения
Здание сборочно-сварочного цеха заводов тепловозостроения
Здание чугунолитейного цеха заводов тепловозостроения, путевого машиностроения",14.4.4,,
,,CFD,,,Объекты промышленности колесных и гусенечных транспортных средств,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,14.4.4,,
,,,CFDA,,Здание (сооружение) объектов производства автобусов и троллейбусов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству автобусов малого, среднего и большого класса
Здание цеха по производству автобусов особо малого класса",14.2.2,,
,,,CFDB,,Здание (сооружение) объектов производства автомобилей,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству автосамосвалов и автомобилей со специальными кузовами
Здание цеха по производству грузовых автомобилей
Здание цеха по производству легковых автомобилей",14.2.1,,
,,,CFDC,,Здание (сооружение) объектов производства военных боевых машин,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству бронированных наземно-водных военных транспортных средств
Здание цеха по производству гусеничных боевых машин
Здание цеха по производству колесных боевых машин",14.2.6,,
,,,CFDD,,"Здание (сооружение) объектов производства и обслуживания автомобильных прицепов, агрегатов",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по обслуживанию автомобилей с прицепами и полуприцепами
Здание цеха по производству автомобильных агрегатов
Здание цеха по производству прицепов и полуприцепов",14.2.5,,
,,,CFDE,,"Здание (сооружение) объектов производства мотоциклов, велосипедов и инвалидных колясок",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству велосипедов
Здание цеха по производству инвалидных колясок
Здание цеха по производству мотоциклов",14.2.4,,
,,,CFDF,,Здание (сооружение) объектов производства тракторов и специальной техники,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству специальной колесной техники
Здание цеха по производству тракторов",14.2.3,,
,,CFE,,,"Объекты промышленности летательных аппаратов, включая космические и соответствующего оборудования",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,14.2.3,,
,,,CFEA,,Здание (сооружение) объектов кузнечно-прессовых и прокатный операций при производстве летательных аппаратов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание заготовительно­штамповочного цеха при производстве летательных аппаратов
Здание кольцераскатного цеха по производству заготовок колец из алюминиевых сплавов при производстве летательных аппаратов
Здание кольцераскатного цеха по производству колец из жаропрочных, титановых и др. сплавов при производстве летательных аппаратов",14.5.4,,
,,,CFEB,,Здание (сооружение) объектов литейных операций при производстве летательных аппаратов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание литейного цеха по производству слитков из алюминиевых сплавов при производстве летательных аппаратов
Здание литейного цеха по производству слитков из магниевых и специальных сплавов при производстве летательных аппаратов
Здание литейного цеха по производству слитков из титановых сплавов при производстве летательных аппаратов",14.5.5,,
,,,CFEC,,Здание (сооружение) объектов операций по окраске и нанесению покрытий при производстве летательных аппаратов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание корпуса анодирования, химфрезерования и окраски при производстве летательных аппаратов
Здание цеха гальванических и лакокрасочных покрытий агрегатных и приборных заводов при производстве летательных аппаратов
Здание цеха гальванопокрытий при производстве летательных аппаратов",14.5.7,,
,,,CFED,,Здание (сооружение) объектов опытно­конструкторских бюро при производстве летательных аппаратов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,Здание опытно-конструкторского бюро,14.5.8,,
,,,CFEE,,Здание (сооружение) объектов производства двигателей для летательных аппаратов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству легких и средних двигателей летательных аппаратов
Здание цеха по производству специальных двигателей летательных аппаратов
Здание цеха по производству тяжелых двигателей летательных аппаратов",14.5.1,,
,,,CFEF,,Здание (сооружение) объектов производства узлов и агрегатов для летательных аппаратов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание корпуса механообработки по производству агрегатов и приборов летательных аппаратов
Здание опытного цеха с опытно­конструкторским бюро по созданию агрегатов для производства летательных аппаратов
Здание опытного цеха с опытно­конструкторским бюро по созданию двигателей для летательных аппаратов",14.5.2,,
,,,CFEG,,Здание (сооружение) объектов сборочных операций при производстве летательных аппаратов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание агрегатно-сборочного корпуса повышенной чистоты при производстве летательных аппаратов
Здание агрегатно-сборочного корпуса при производстве летательных аппаратов
Здание механосборочного цеха по производству летательных аппаратов",14.5.6,,
,,,CFEH,,Здание (сооружение) вспомогательных объектов при производстве летательных аппаратов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,Здание для испытания изделий авиационного назначения,14.5.3,,
,CG,,,,Объекты промышленности готовых изделий (неметаллических),,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,15.2.7,,
,,CGA,,,Здание (сооружение) объектов инновационной инфраструктуры,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание инновационного парка
Здание технологического парка
Здание технополиса",15.2.7,ВН НН 10 80,
,,CGB,,,Здание (сооружение) объектов производства бытовых неэлектрических приборов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству водонагревателей
Здание цеха по производству неэлектрических кухонных плиты, жаровень, печей, устройств для приготовления пищи
Здание цеха по производству неэлектрических обогревателей",15.2.8,,
,,CGC,,,Здание (сооружение) объектов производства готовых бытовых неэлектрических изделий,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству глобусов
Здание цеха по производству зажигалок
Здание цеха по производству зонтов, зонтиков от солнца, тростей",15.2.10,,
,,CGD,,,Здание (сооружение) объектов производства готовых бытовых электрических изделий,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству бытового ручного электрооборудования
Здание цеха по производству микроволновых печей
Здание цеха по производству посудомоечных машин",15.2.3,,
,,CGE,,,Здание (сооружение) объектов производства игрушек,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству мягких игрушек
Здание цеха по производству развивающих игрушек",15.2.6,,
,,CGF,,,Здание (сооружение) объектов производства лыж из древесины,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по выпуску лыж из древесины
Здание цеха раскроя лыжного кряжа",15.2.2,,
,,CGG,,,"Здание (сооружение) объектов производства медицинских инструментов, оборудования и материалов",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству медицинских инструментов
Здание цеха по производству медицинской мебели
Здание цеха по производству стоматологических материалов",15.2.4,,
,,CGH,,,Здание (сооружение) объектов производства музыкальных инструментов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству деталей и составных частей для музыкальных инструментов
Здание цеха по производству музыкальных шкатулок, шарманок, калиоп
Здание цеха по производству прочих музыкальных инструментов",15.2.5,,
,,CGJ,,,Здание (сооружение) объектов производства оборудования для обеспечения безопасности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству несгораемой и защитной одежды
Здание цеха по производству пластмассовых касок и прочих средств личной безопасности из пластмассы (спортивные шлемы и пр.)
Здание цеха по производству привязных ремней для электромонтеров и прочих поясов для профессионального использования",15.2.9,,
,,CGK,,,Здание (сооружение) объектов производства ювелирных изделий,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству синтетических алмазов
Здание цеха по производству ювелирных изделий",15.2.1,,
,,CGL,,,Здание (сооружение) вспомогательных объектов промышленности готовых изделий (неметаллических),,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание базы ремонта контейнеров
Сооружение пункта технического обслуживания, ремонта и освидетельствования контейнеров",15.3.2,,
,CH,,,,"Объекты промышленности готовых металлических изделий, кроме машин и оборудования",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,15.3.2,,
,,CHA,,,Объекты промышленности метизов и прочих готовых металлических изделий,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,15.3.2,,
,,,CHAA,,Здание (сооружение) объектов метизного производства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание инструментального цеха по производству метизов
Здание канатного цеха метизного производства
Здание сталепроволочного цеха",11.5.1,,
,,,CHAB,,Здание (сооружение) объектов производства тары для лаков и красок,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание тарного цеха
Здание цеха по производству металлотары для лаков и красок
Здание цеха химико-механической обработки металлотары для лаков и красок",11.5.2,,
,,,CHAC,,Здание (сооружение) объектов производства фурнитуры,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание металлофурнитурного цеха
Здание цеха по производству застежек",11.5.3,,
,,CHB,,,"Объекты промышленности обработки металлов, нанесения покрытий на металлы",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,11.5.3,,
,,,CHBA,,Здание (сооружение) объектов кузнечно-прессового производства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание кузнечного цеха
Здание кузнечно-прессового цеха промышленности готовых металлических изделий
Здание механического цеха",11.3.2,,
,,,CHBB,,Здание (сооружение) объектов литейного производства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание дозировочного цеха для руднотермических электропечей
Здание литейного цеха
Здание обогатительного цеха формовочных песков",11.3.4,,
,,,CHBC,,Здание (сооружение) объектов нанесения защитных покрытий,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха антикоррозийного покрытия труб
Здание цеха защитной декоративной и высокодекоративной окраски, пропитки, эмалирования
Здание цеха электрохимических покрытий",11.3.1,,
,,,CHBD,,Здание (сооружение) объектов порошковой металлургии,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха механозаготовительный с отделением холодной штамповки, холодноштамповочные
Здание цеха по производству изделий из металлических порошков специальными методами",11.3.3,,
,,CHC,,,Объекты промышленности обычных вооружений,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,11.3.3,,
,,,CHCA,,Здание (сооружение) объектов производства военных боеприпасов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание порохового цеха
Здание цеха по производству военных боеприпасов
Здание цеха по производству гильзовых боеприпасов",11.2.5,,
,,,CHCB,,"Здание (сооружение) объектов производства оружия, создаваемого на основе ядерных оружейных технологий, и его составных частей",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству комплексов, установок, стендов, испытательного и производственно­технологического оборудования для разработки, изготовления, эксплуатации и ликвидации оружия на основе ядерных оружейных технологий
Здание цеха по производству оружия, создаваемого на основе ядерных оружейных технологий, и его составных частей
Здание цеха по производству ядерных энергетических установок военного назначения и их наземных стендов- прототипов",11.2.2,,
,,,CHCC,,Здание (сооружение) объектов производства пневматических или газовых ружей и пистолетов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству пневматических или газовых пистолетов
Здание цеха по производству пневматических или газовых ружей
Комплексный объект - Производство пневматических или газовых ружей и пистолетов",11.2.4,,
,,,CHCD,,Здание (сооружение) объектов производства стрелкового оружия,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству гранатометов
Здание цеха по производству малокалиберных пушек
Здание цеха по производству стрелкового оружия (револьверов, дробовиков и пр.)",11.2.3,,
,,,CHCE,,Здание (сооружение) объектов производства тяжелого оружия,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству передвижного оружия
Здание цеха по производству ракет
Здание цеха по производству ракетных пусковых установок",11.2.1,,
,,CHD,,,"Объекты промышленности паровых котлов, металлических цистерн, резервуаров и прочих емкостей",,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,11.2.1,,
,,,CHDA,,"Здание (сооружение) объектов производства ёмкостей, баков, резервуаров",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству аппаратов колонного типа
Здание цеха по производству баков, бункеров
Здание цеха по производству газгольдеров",11.1.1,,
,,,CHDB,,Здание (сооружение) объектов производства котлов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по выпуску котельно­вспомогательного оборудования
Здание цеха по производству котлов",11.1.2,,
,,,CHDC,,Здание (сооружение) объектов производства реакторов,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству водо­водяных энергетических реакторов для АЭС
Здание цеха по производству реакторов канального типа для АЭС
Здание цеха по производству реакторов малой мощности для АЭС",11.1.3,,
,,CHE,,,"Здание (сооружение) объектов промышленности режущих изделий, инструментов и универсальных скобяных изделий",,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по производству металлических ручных инструментов и универсальных скобяных изделий
Здание цеха по производству ножей
Здание цеха по производству столовых приборов",11.4.1,,
