Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Код соответствующего ОКС (группы ОКС) по классификатору ОКС ГГЭ,Код соответствующего ОКС по классификатору МССК,Примечания
,,,AAGB,,Здание (сооружение) объектов племенного воспроизводства свиней,"Здание(сооружение) организации по племенному животноводству, которая осуществляет разведение племенных животных в целях обеспечения потребностей сельскохозяйственных товаропроизводителей","Приказ Минстроя России от 10.07.2020 N 374/пр
Федеральный закон от 03.08.1995 N 123-ФЗ",,"Здание племенного сектора воспроизводства и выращивания ремонтного молодняка
Здание репродуктора предприятия свиноводства
Здание свинарника контрольного откорма свиней",1.3.6,,
,,,AAGC,,Здание (сооружение) вспомогательных объектов свиноводства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха законченного производственного цикла
Здание цеха переработки отходов свиноводства",1.3.6,,
,,AAH,,,Здание (сооружение) объектов шелкового производства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание гренажного цеха
Сооружение червоводни выкормки гусениц тутового шелкопряда
Сооружение шелководни гусениц- мурашей тутового шелкопряда",1.3.8,,
,,AAJ,,,Здание (сооружение) вспомогательных объектов животноводства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание кузницы
Здание отгрузки животных
Здание приема и отгрузки скота",1.9.10,,
,AB,,,,Объекты ветеринарии и агробиологии,,Приказ Минстроя России от 10.07.2020 N 374/пр,По виду ОКС,,1.2,,
,,ABA,,,Здание (сооружение) объектов ветеринарного обслуживания,,"Приказ Минстроя России от 10.07.2020 N 374/пр
Приказ Москомэкспертизы от 26.06.2019 N МКЭ-ОД/19-39",,"Здание амбулатории ветеринарной станции
Здание ветеринарного лечебно­профилактического учреждения
Здание ветеринарной аптеки
Здание приюта для домашних животных",1.2,ВН НН 40 80,
,,ABB,,,Агробиологическая станция,Научно-исследовательское и учебное учреждение,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание лаборатории по биологической борьбе с вредными насекомыми и болезнями сельскохозяйственных культур
Здание контрольно-семенной лаборатории",1.2.1.4,,Синтезированное определение
,AC,,,,Объекты лесного хозяйства,,,По виду ОКС,,,,
,,ACA,,,Здание (сооружение) объектов лесоводства,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание цеха по переработке пищевых продуктов леса
Сооружение для стратификации лесных семян
Сооружение инсектария",1.6.1,,
,,ACB,,,Здание (сооружение) объектов лесопромышленных предприятий,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание (сооружение) лесозаготовительного предприятия
Здание (сооружение) лесоперевалочной базы",1.7.1,,
,,ACC,,,Здание (сооружение) объектов ремонта техники лесной промышленности,,Приказ Минстроя России от 10.07.2020 N 374/пр,,"Здание ремонтно-механической мастерской лесозаготовительной техники
Здание ремонтно-строительного цеха завода лесоводства и лесозаготовки
Здание центральной ремонтной мастерской для обслуживания и ремонта лесозаготовительной техники",1.9.9,,
