Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Примеры,Примечания,Синонимы,УИН
,,,,AAF040,Демонтаж сетей инженерно-технического обеспечения магистральных,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000036
,AB,,,,Мероприятия по защите ликвидируемого здания (сооружения) от проникновения людей и животных в опасную зону и внутрь здания (сооружения),,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",По условию производства работ,,,,KSI150000037
,,ABA,,,Устройство ограждений площадки работ от проникновения людей и животных в опасную зону и внутрь здания (сооружения),"Устройство ограждения по периметру строительной площадки или внутри нее для выделения территории и участков производства строительно-монтажных, демонтажных работ","СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000038
,,ABB,,,Применение запорных систем для защиты от проникновения людей и животных в опасную зону и внутрь здания (сооружения),,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000039
,,ABC,,,Организация поста охраны для защиты от проникновения людей и животных в опасную зону и внутрь здания (сооружения),,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000040
,AC,,,,Мероприятия по защите зеленых насаждений,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",По условию производства работ,,,,KSI150000041
,AD,,,,Инженерно-технологическая подготовка территории для вывода объекта из эксплуатации,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",По виду работ,,,,KSI150000042
,,ADA,,,Устройство рельсовых подкрановых путей и фундаментов (опоры) стационарных кранов,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000043
,,ADB,,,"Установка и демонтаж инвентарных наружных и внутренних лесов, технологических мусоропроводов",,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000044
,,ADC,,,"Строительство временных дорог, площадок, инженерных сетей и сооружений",,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000045
,,ADD,,,Установка временных креплений объекта сноса (демонтажа),,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000046
,,ADE,,,Заслонение места взрыва деревянными щитами или бетонными плитами для предотвращения разлета строительных обломков или осколков бетона,,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",,,,,KSI150000047
,AE,,,,Выбор метода сноса (демонтажа),,"СП 325.1325800.2017
МДС 12-64.2013
СТО Нострой 2.33.53-2011",По виду работ,,,,KSI150000048
