Класс,Подкласс 1,Подкласс 2,Тип (%%),Наименование компонента,Определение компонента,Источник,Критерии определения подклассов,IFC-entity,IFC-Predefined Type,КСР,МССК,ПСК,Примечание,Синонимы,УИН
B__,,,,объект сбора и представления информации,объект для сбора и представления информации,ISO 81346-2:2019,Вид количества,,,,,,,,KSI060000002
,BA_,,,объект для измерения электрического потенциала,объект для измерения электрического потенциала,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000003
,,BAA,,измерительный трансформатор напряжения,"объект для измерения электрического потенциала со скалярным выходом
-
Измерительный трансформатор, в котором, при рабочих условиях применения, вторичное напряжение практически пропорционально первичному и отличается от него углом фазового сдвига, который приблизительно равен нулю для соответствующего направления соединений",ГОСТ IEC 61869-3-2012,,IfcTransformer,VOLTAGE,,,,,,KSI060000004
,,BAB,,реле напряжения,"объект индикации наличия электрического потенциала
-
Измерительное реле, характеристической величиной которого является напряжение.",ГОСТ IEC 60050-447-2014,,IfcFlowInstrument, ,"89.1.62.01-0822
,,BEA,,датчик электрического поля,"объект для измерения электрического поля со скалярным выходом
-
Устройство, которое под воздействием физического явления создает электрический сигнал, характеризующий физическое явление.","ГОСТ IEC 60050-151-2014
",,IfcSensor,,,ЭЛ 40 55 20 10,,,,KSI060000018
,,BEB,,детектор электрического поля,объект индикации наличия электрического поля,,,IfcSensor,,,ЭЛ 40 55 20 17,,,,KSI060000019
,,BEC,,датчик магнитного поля,объект для измерения магнитного поля со скалярным выходом,Большая строительная энциклопедия stroi.gov.ru,,IfcSensor,,,ЭЛ 40 55 20 10,,,,KSI060000020
,,BED,,детектор магнитного поля,объект индикации наличия магнитного поля,,,IfcSensor,,,ЭЛ 40 55 20 17,,,,KSI060000021
,BF_,,,объект для измерения расхода,объект для измерения потока,ISO 81346-2:2019,Вид выходного сигнала,,,,,,,,KSI060000022
,,BFA,,датчик расхода,объект для измерения потока со скалярным выходом,Большая строительная энциклопедия stroi.gov.ru,,IfcFlowMeter,,,"ЭЛ 40 15 36
ЭЛ 40 15 38
ЭЛ 40 55 20 14
ЭЛ 40 55 20 10",,,,KSI060000023
,,,BFA10,датчик расхода газа,,,,IfcFlowMeter,GASMETER,,,,,,KSI060000889
,,,BFA20,датчик расхода жидкости,,,,IfcFlowMeter,WATERMETER,,,,,,KSI060000890
,,,BFA30,датчик расхода твердого вещества,,,,IfcFlowMeter,,,,,,,KSI060000891
,,,BFA40,датчик расхода теплоты,,СП 60.13330.2020,,,,,ЭЛ 40 55 20 10,,,,KSI060000904
,,BFB,,реле потока,объект индикации наличия потока измеряемой среды,,,IfcSensor,,,,,,,KSI060000024
,,BFC,,топливораздаточная колонка,предназначены для измерения объема нефтепродуктов при его фактической температуре и отпуска нефтепродуктов при заправке транспортных средств и в тару клиентов,ГОСТ Р 58404-2019,,IfcBuildingElementProxy,,,,,,,KSI060000845
,,BFD,,маслораздаточная колонка,предназначены для измерения объема и отпуска масел в тару клиентов,ГОСТ Р 58404-2019,,IfcBuildingElementProxy,,,,,,,KSI060000846
,BG_,,,объект для измерения физических параметров,объект для измерения пространственных измерения и/или положения,ISO 81346-2:2019,Вид измеряемой переменной и вид выходного сигнала,,,,,,,,KSI060000025
,,BGA,,датчик положения,"объект для измерения физических размеров положения со скалярным выходом
-
Дополнительный блок, дающий информацию о положении выходного элемента исполнительного механизма (для исполнительного механизма) или затвора исполнительного устройства (для исполнительного устройства)",Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000026
,,,BGA010,датчик движения,,ГОСТ Р 71870-2024,,,,,,,,,KSI060001283
,,,BGA020,датчик открытия,Устройство для фиксации открытия двери или окна в момент размыкания контактов,ГОСТ Р 71870-2024,,,,,,,,,KSI060001284
,,BGB,,детектор изменения положения,объект индикации изменения положения объекта,,,IfcSensor, ,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 12",,,,KSI060000027
,,BGC,,датчик расстояния,объект для измерения физических размеров длины (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000028
,,BGD,,детектор линейного перемещения,объект индикации изменения расстояния (линейного),,,IfcSensor, ,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,,KSI060000029
,,BGE,,датчик угла поворота,объект для измерения величины угла или направления (скалярное значение),Большая строительная энциклопедия stroi.gov.ru,,IfcSensor, ,,ЭЛ 40 55 20 10,,,,KSI060000030
,,BGF,,детектор углового перемещения,объект индикации изменения расстояния (углового),,,IfcSensor, ,,"ЭЛ 40 55 20 17
ЭЛ 40 55 20 10",,,,KSI060000031
,,BGG,,сканер объектов,объект для измерения линейных размеров физического объекта,,,IfcSensor, ,,,,,,KSI060000032
,,BGH,,датчик габаритов,,,,IfcSensor, ,,,,,,KSI060000033
,,BGJ,,датчик вибрации и удара,,ГОСТ ISO 16063-1-2013,,IfcSensor,,,,,,,KSI060001046
