Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по ОКПДТР,Примеры,Примечания,Синонимы,УИН
,,,,AAF190,Начальник отдела технического заказчика,,"
Приказ Минтруда России от 05.10.2021 N 673н",,,,,,KSI190000587
,,,,AAF200,Начальник отдела инвестиций и реализации проектов,,"
Приказ Минтруда России от 27.04.2023 N 412н",,,,,,KSI190000588
,,,,AAF210,Начальник отдела дорожных сооружений по организации строительства объектов дорожного хозяйства,,"
Приказ Минтруда России от 20.03.2023 N 182н",,,,,,KSI190000589
,,,,AAF220,Начальник отдела по эксплуатации газового оборудования жилых и общественных зданий,,"
Приказ Минтруда России от 17.11.2020 N 806н",,,,,,KSI190000590
,,,,AAF230,Начальник отдела по эксплуатации очистных сооружений водоотведения,,"
Приказ Минтруда России от 26.07.2021 N 508н",,,,,,KSI190000591
,,,,AAF240,Начальник отдела по водным технологиям водоснабжения и водоотведения (акватроник),,"
Приказ Минтруда России от 25.05.2021 N 340н",,,,,,KSI190000592
,,,,AAF250,Начальник отдела по надзору и контролю за соблюдением норм содержания объектов железнодорожной инфраструктуры,,,,,,,,KSI190000593
,,,,AAF260,"Начальник отдела организации проведения ""окон""",,"Распоряжение ОАО ""РЖД""
от 17 августа 2020 г. N 1749/р",,,,,,KSI190000594
,,,,AAF270,"Начальник отдела предоставления ""окон"" и взаимодействия с инфраструктурой",,"Распоряжение ОАО ""РЖД""
от 17 августа 2020 г. N 1749/р",,,,,,KSI190000595
,,,,AAF280,"Начальник отдела разработки и предоставления ""окон""",,"Распоряжение ОАО ""РЖД""
от 17 августа 2020 г. N 1749/р",,,,,,KSI190000596
,,,,AAF290,Начальник отдела охраны труда,,"
Приказ Минтруда России от 22.04.2021 N 274н",,,,,,KSI190000597
,,,,AAF300,Начальник отдела маркетинга,,"
Приказ Минтруда России от 08.11.2023 N 790н",,,,,,KSI190000598
,,,,AAF310,Начальник отдела по связям с общественностью,,"
 Приказ Минтруда России от 08.11.2023 N 790н",,,,,,KSI190000599
,,,,AAF320,Начальник отдела сбыта,,"
 Приказ Минтруда России от 08.11.2023 N 790н",,,,,,KSI190000600
,,,,AAF330,Начальник отдела транспортной логистики,,"
Приказ Минтруда России от 08.09.2014 N 616н",,,,,,KSI190000601
,,,,AAF340,Начальник отдела логистики в сфере обращения с отходами,,"
Приказ Минтруда России от 27.10.2020 N 749н",,,,,,KSI190000602
,,,,AAF350,Начальник отдела по развитию агломерационной транспортной мобильности,,"
Приказ Минтруда России от 25.04.2023 N 325н",,,,,,KSI190000603
,,,,AAF360,Начальник отдела по метрологии,,"
Приказ Минтруда России от 21.04.2022 N 229н",,,,,,KSI190000604
,,,,AAF370,Начальник отдела производственного контроля в сфере промышленной безопасности,,Приказ Минтруда России от 14.04.2025 N 226н,,,,,,KSI190000605
,,,,AAF380,"Начальник лаборатории автоматики и телемеханики по организации процесса эксплуатации, развития и обеспечения работы устройств и систем железнодорожной автоматики и телемеханики",,"
Приказ Минтруда России от 14.04.2021 N 244н",,,,,,KSI190000606
,,,,AAF390,Начальник электротехнической лаборатории по технической поддержке процесса эксплуатации устройств электрификации и электроснабжения железнодорожного транспорта,,"
Приказ Минтруда России от 15.06.2020 N 334н",,,,,,KSI190000607
,,,,AAF400,"Начальник лаборатории по организации, проведению тягово-энергетических испытаний локомотивов, определению параметров их эксплуатации",,"
Приказ Минтруда России от 31.03.2021 N 195н",,,,,,KSI190000608
,,,,AAF410,"Начальник лаборатории по организации и сопровождению технического обслуживания, ремонта и эксплуатации съемных средств контроля железнодорожного пути",,"
Приказ Минтруда России от 31.03.2021 N 194н",,,,,,KSI190000609
,,,,AAF420,"Начальник лаборатории по технической поддержке процесса эксплуатации, развития и обеспечения работы объектов железнодорожной электросвязи",,"
Приказ Минтруда России от 13.04.2021 N 234н",,,,,,KSI190000610
,,,,AAF430,Начальник вагона-лаборатории испытания контактной сети по технической поддержке процесса эксплуатации устройств электрификации и электроснабжения железнодорожного транспорта,,"
Приказ Минтруда России от 15.06.2020 N 334н",,,,,,KSI190000611
,,,,AAF440,Начальник вагона электротехнической лаборатории по технической поддержке процесса эксплуатации устройств электрификации и электроснабжения железнодорожного транспорта,,"
Приказ Минтруда России от 15.06.2020 N 334н",,,,,,KSI190000612
,,,,AAF450,Начальник лаборатории по защите информации,,"
Приказ Минтруда России от 14.09.2022 N 533н",,,,,,KSI190000613
,,,,AAF460,Начальник (руководитель) научно-исследовательской лаборатории по защите информации в телекоммуникационных системах и сетях,,"
Приказ Минтруда России от 14.09.2022 N 536н",,,,,,KSI190000614
,,,,AAF470,Начальник лаборатории информационных технологий нового поколения,,"
Приказ Минтруда России от 06.07.2020 N 405н",,,,,,KSI190000615
,,,,AAF480,Начальник испытательной лаборатории по неразрушающему контролю,,Приказ Минтруда России от 03.12.2015 N 976н,,,,,,KSI190000616
,,,,AAF490,Начальник полевой испытательной лаборатории по неразрушающему контролю,,Приказ Минтруда России от 03.12.2015 N 976н,,,,,,KSI190000617
,,,,AAF500,Начальник лаборатории по метрологии,,Приказ Минтруда России от 21.04.2022 N 229н,,,,,,KSI190000618
,,,,AAF510,Начальник участка по организации строительства объектов дорожного хозяйства,,"
Приказ Минтруда России от 20.03.2023 N 182н",,,,,,KSI190000621
,,,,AAF520,"Начальник участка по монтажу лифтов, платформ подъемных для инвалидов, эскалаторов",,"
Приказ Минтруда России от 20.03.2018 N 165н",,,,,,KSI190000622
,,,,AAF530,Начальник участка по эксплуатации газового оборудования жилых и общественных зданий,,"
Приказ Минтруда России от 15.09.2020 N 612н",,,,,,KSI190000623
,,,,AAF540,Начальник участка по эксплуатации очистных сооружений водоотведения,,"
Приказ Минтруда России от 17.11.2020 N 806н",,,,,,KSI190000624
,,,,AAF550,Начальник участка по организации эксплуатации водопроводных и канализационных сетей,,"
Приказ Минтруда России от 26.07.2021 N 508н",,,,,,KSI190000625
,,,,AAF560,Начальник участка по эксплуатации насосных станций водопровода,,"
Приказ Минтруда России от 16.09.2022 N 574н",,,,,,KSI190000626
,,,,AAF570,Начальник участка по эксплуатации водозаборных сооружений,,"
Приказ Минтруда России от 16.09.2022 N 574н",,,,,,KSI190000627
,,,,AAF580,Начальник участка по эксплуатации станций водоподготовки,,"
Приказ Минтруда России от 11.04.2014 N 227н",,,,,,KSI190000628
,,,,AAF590,Начальник участка (района) по организации эксплуатации систем коммунального теплоснабжения,,"
Приказ Минтруда России от 18.01.2023 N 23н",,,,,,KSI190000629
,,,,AAF600,Начальник ремонтно-ревизионного участка,,"Распоряжение ОАО ""РЖД""
от 30.01.2023 г. N 170/р
",,,,,,KSI190000630
,,,,AAF610,Начальник ремонтно-технологического участка,,"Распоряжение ОАО ""РЖД""
от 30.01.2023 г. N 170/р
",,,,,,KSI190000631
,,,,AAF620,Начальник участка производства по техническому обслуживанию и ремонту объектов железнодорожной электросвязи,,"
Приказ Минтруда России от 01.04.2024 N 162н",,,,,,KSI190000632
,,,,AAF630,"Начальник участка производства по техническому обслуживанию и ремонту оборудования, устройств и систем электроснабжения (сигнализации, централизации и блокировки) железнодорожного транспорта",,"
Приказ Минтруда России от 02.07.2025 N 415н",,,,,,KSI190000633
,,,,AAF640,"Начальник ремонтно-технологического участка производства по техническому обслуживанию и ремонту оборудования, устройств и систем электроснабжения (сигнализации, централизации и блокировки) железнодорожного транспорта",,"
Приказ Минтруда России от 02.07.2025 N 415н",,,,,,KSI190000634
,,,,AAF650,Начальник ремонтно-ревизионного участка дистанции электроснабжения,,"
Приказ Минтруда России от 02.07.2025 N 415н",,,,,,KSI190000635
,,,,AAF660,Начальник (эксплуатационного) участка пути,,"
Приказ Минтруда России от 11.03.2024 N 98н",,,,,,KSI190000636
,,,,AAF670,Начальник участка производства путевого хозяйства,,"
Приказ Минтруда России от 11.03.2024 N 98н",,,,,,KSI190000637
,,,,AAF680,"Начальник участка производства по организации ремонта, технического обслуживания и изготовления узлов транспортных средств и элементов устройств инфраструктуры, зданий и сооружений железнодорожного транспорта",,"
Приказ Минтруда России от 31.07.2020 N 460н",,,,,,KSI190000638
,,,,AAF690,Начальник участка производства (по техническому обслуживанию и ремонту специального железнодорожного подвижного состава),,"
Приказ Минтруда России от 19.04.2021 N 252н",,,,,,KSI190000639
,,,,AAF700,Начальник участка по обслуживанию и ремонту устройств железнодорожной инфраструктуры,,"
Приказ Минтруда России от 18.01.2019 N 25н",,,,,,KSI190000640
,,,,AAF710,Начальник участка производства по обслуживанию пассажирских обустройств,,"
Приказ Минтруда России от 14.04.2021 N 246н",,,,,,KSI190000641
,,,,AAF720,Начальник участка производства по техническому обслуживанию и текущему ремонту пассажирских обустройств железнодорожного транспорта,,"
Приказ Минтруда России от 14.04.2021 N 246н",,,,,,KSI190000642
,,,,AAF730,Начальник участка производства терминально-складского комплекса железнодорожного транспорта,,"
Приказ Минтруда России от 30.03.2021 N 157н",,,,,,KSI190000643
,,,,AAF740,Начальник участка касс,,"
Приказ Минтруда России от 27.04.2023 N 392н",,,,,,KSI190000644
,,,,AAF750,Начальник участка производства по тепловодоснабжению,,"Распоряжение ОАО ""РЖД"" от 17.08.2020 N 1749р",,,,,,KSI190000645
,,AAG,,,Руководитель группы специалистов,,Приказ Росстандарта от 16.05.2025 N 423-ст,,203338,,,,KSI190000024
,,,,AAG010,Руководитель группы по инвентаризации строений и сооружений,,Приказ Росстандарта от 16.05.2025 N 423-ст,,203339,,,,KSI190000025
,,,,AAG020,Руководитель строительной лаборатории,,Приказ Росстандарта от 16.05.2025 N 423-ст,,202337,,,,KSI190000026
,,,,AAG030,Руководитель экспертной группы,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000027
,,,,AAG040,Руководитель проектной группы,,Приказ Росстандарта от 16.05.2025 N 423-ст,,203406,,,,KSI190000028
,,,,AAG050,Руководитель исследовательской лаборатории больших данных информационных технологий нового поколения,,Приказ Минтруда России от 06.07.2020 N 405н,,203355,,,,KSI190000619
,,,,AAG060,Руководитель лаборатории в сфере сварочного производства,,Приказ Минтруда России от 03.12.2015 N 975н,,202270,,,,KSI190000620
,,AAH,,,Главный инженер,,Приказ Росстандарта от 16.05.2025 N 423-ст,,200524,,,,KSI190000029
,,,,AAH010,Главный инженер строительной организации,,Приказ Росстандарта от 16.05.2025 N 423-ст,,200526,,,,KSI190000030
,,,,AAH020,Главный инженер проекта,"Первый заместитель управляющего проектом, который осуществляет связь инвестиционного строительного проекта (ИСП) с рынком проектных и инженерных услуг и с органами экспертизы, надзора и контроля хода реализации ИСП","Постановление Минтруда России от 21.08.1998 N 37
Приказ Минздравсоцразвития России от 23.04.2008 N 188
Приказ Росстандарта от 16.05.2025 N 423-ст",,200527,,Определение синтезировано,,KSI190000031
,,AAJ,,,BIM-менеджер,"Лицо, ответственное за процесс информационного моделирования в рамках проекта информационного моделирования",Приказ Минтруда России от 15.06.2020 N 328н ,,,,Определение синтезировано,,KSI190000032
,,AAK,,,BIM-координатор,"Специалист ведущего отдела, отвечающий за BIM-модель и общую координацию проекта",Приказ Минтруда России от 15.06.2020 N 328н ,,,,Определение синтезировано,,KSI190000033
,,AAL,,,Менеджер строительства,,"Приказ Росстандарта от 16.05.2025 N 423-ст
Приказ Минтруда России от 24.07.2018 N 483н ",,202067,,,,KSI190000034
,,AAM,,,Менеджер проекта,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000035
,,AAN,,,Главный технолог строительной организации,,"Приказ Росстандарта от 16.05.2025 N 423-ст
Приказ Минздравсоцразвития России от 23.04.2008 N 188 
",,200617,,,,KSI190000036
,,AAP,,,Главный механик строительной организации,,Приказ Росстандарта от 16.05.2025 N 423-ст,,200555,,,,KSI190000037
,,AAQ,,,Главный энергетик строительной организации,,Приказ Росстандарта от 16.05.2025 N 423-ст,,200652,,,,KSI190000038
,,AAR,,,Главный конструктор проекта,,Приказ Росстандарта от 16.05.2025 N 423-ст,,200539,,,,KSI190000039
,,AAS,,,Главный метролог,,Приказ Росстандарта от 16.05.2025 N 423-ст,,200552,,,,KSI190000040
,,AAT,,,Заместитель директора по капитальному строительству,,Приказ Росстандарта от 16.05.2025 N 423-ст,,200837,,,,KSI190000041
,,AAU,,,Производитель работ (прораб),"Руководитель среднего звена, осуществляющий руководство строительством на своем участке, обеспечивающий выполнение заданий по вводу объектов в эксплуатацию в установленные сроки, организующий производство, обеспечивающий соблюдение технологии производства, ведущий учет выполненных работ, оформляющий техническую документацию, участвующий в сдаче объектов в эксплуатацию, устанавливающий производственные задания по объемам строительно-монтажных и пусконаладочных работ, контролирующий их выполнение, в том числе в процессе эксплуатации объектов",Приказ Росстандарта от 16.05.2025 N 423-ст,,203208,,,,KSI190000042
,,AAV,,,Мастер участка,,Приказ Росстандарта от 16.05.2025 N 423-ст,,202006,,,,KSI190000043
,,AAW,,,Менеджер по информационным технологиям,,ГОСТ Р 10.0.05–2019,,,,,,KSI190000044
,,AAX,,,Менеджер по эксплуатации недвижимости,,ГОСТ Р 10.0.05–2019,,,,,,KSI190000045
,AB,,,,Специалист,"Человек, в трудовые функции которого входит участие в системе управления, но не имеющий в подчинении ни одного работника, работающего или иного физического лица",Постановление Минтруда России от 21.08.1998 N 37,По должности,,,,,KSI190000046
,,ABA,,,Бухгалтер,,Приказ Росстандарта от 16.05.2025 N 423-ст,,200202,,,,KSI190000047
,,ABB,,,Юрисконсульт,,Приказ Росстандарта от 16.05.2025 N 423-ст,,204335,,,,KSI190000048
,,ABC,,,Документовед,,Приказ Росстандарта от 16.05.2025 N 423-ст,,200960,,,,KSI190000049
,,ABD,,,Специалист по кадрам,,"Приказ Росстандарта от 16.05.2025 N 423-ст
Постановление Минтруда России от 21.08.1998 N 37",,203633,,,,KSI190000050
,,ABE,,,Специалист инженерного обеспечения территорий,,Приказ Минздравсоцразвития России от 23.04.2008 N 188,,,,,,KSI190000051
,,ABF,,,Специалист транспортного развития территорий,,"Приказ Росстандарта от 16.05.2025 N 423-ст
Постановление Минтруда России от 21.08.1998 N 37",,203759,,,,KSI190000052
,,ABG,,,Инженер организации,"Специалист, профессионально занимающийся инженерным делом",Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000053
,,,,ABG010,Инженер по охране труда,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000054
,,,,ABG020,Инженер,,"Приказ Росстандарта от 16.05.2025 N 423-ст
Постановление Минтруда России от 21.08.1998 N 37",,201294,,,,KSI190000055
,,,,ABG030,Инженер по подготовке кадров,,Приказ Росстандарта от 16.05.2025 N 423-ст,,201397,,,,KSI190000056
,,,,ABG040,Инженер-технолог строительной организации,,"Приказ Росстандарта от 16.05.2025 N 423-ст
Приказ Минздравсоцразвития России от 23.04.2008 N 188",,201562,,,,KSI190000057
,,,,ABG050,Инженер-конструктор,,Приказ Росстандарта от 16.05.2025 N 423-ст,,201524,,,,KSI190000058
,,,,ABG060,Инженер-проектировщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,201543,,,,KSI190000059
,,,,ABG070,Инженер по качеству,,Приказ Росстандарта от 16.05.2025 N 423-ст,,201353,,,,KSI190000060
,,,,ABG080,Инженер по строительному контролю,,"Приказ Росстандарта от 16.05.2025 N 423-ст
Приказ Минздравсоцразвития России от 23.04.2008 N 188",,201436,,,,KSI190000061
,,,,ABG090,Инженер строительной лаборатории,,Приказ Росстандарта от 16.05.2025 N 423-ст,,201312,,,,KSI190000062
,,,,ABG100,Инженер-сметчик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,201556,,,,KSI190000063
,,ABJ,,,Архитектор,"Специалист в области архитектуры, создающий здания и комплексы зданий, а также города в соответствии с функциональными, конструктивными и эстетическими ",Приказ Росстандарта от 16.05.2025 N 423-ст,,200128,,,,KSI190000064
,,,,ABJ010,Ландшафтный архитектор,,Приказ Росстандарта от 16.05.2025 N 423-ст,,201886,,,,KSI190000065
,,,,ABJ020,Архитектор организации,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000066
,,ABK,,,Градостроитель проекта,,Приказ Минздравсоцразвития России от 23.04.2008 N 188,,,,,,KSI190000067
,,ABL,,,Эксперт,,Приказ Росстандарта от 16.05.2025 N 423-ст,,204285,,,,KSI190000068
,,,,ABL010,Строительный эксперт,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000069
,,,,ABL020,Эксперт-эколог градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000070
,,,,ABL030,Эколог градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000071
,,,,ABL040,Эксперт-социолог градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000072
,,,,ABL050,Эксперт транспортного развития территорий,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000073
,,,,ABL060,Эксперт-экономист градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000074
,,,,ABL070,Эксперт инженерного обеспечения территории,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000075
,,ABM,,,Социолог градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000076
,,ABN,,,Экономист градостроительства,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000077
,,ABP,,,Механик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,202115,,,,KSI190000078
,,ABQ,,,Главный специалист,,Приказ Росстандарта от 16.05.2025 N 423-ст,,,,,,KSI190000079
,,,,ABQ010,Главный специалист в отделе (архитектурно-планировочной мастерской),,"Постановление Минтруда России от 21.08.1998 N 37
Приказ Минздравсоцразвития России от 23.04.2008 N 188",,,,,,KSI190000080
,,,,ABQ020,Главный специалист в отделе инженерных изысканий,,Приказ Минздравсоцразвития России от 23.04.2008 N 188,,,,,,KSI190000081
,,ABR,,,Техник,,Приказ Росстандарта от 16.05.2025 N 423-ст,,203921,,,,KSI190000082
,,,,ABR010,Техник организации,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000083
,,,,ABR020,Техник-проектировщик,,Приказ Росстандарта от 16.05.2025 N 423-ст,,27102,,,,KSI190000084
,,ABS,,,Ведущий инженер отдела (комплексного или по видам инженерных изысканий),,Приказ Минздравсоцразвития России от 23.04.2008 N 188,,,,,,KSI190000085
,,ABT,,,Лаборант,,Приказ Росстандарта от 16.05.2025 N 423-ст,,201877,,,,KSI190000086
,,ABU,,,Буровой мастер,,Приказ Росстандарта от 16.05.2025 N 423-ст,,201919,,,,KSI190000087
,,ABV,,,Топограф,,Приказ Росстандарта от 16.05.2025 N 423-ст,,204063,,,,KSI190000088
,,ABW,,,Старший топограф,,Приказ Росстандарта от 16.05.2025 N 423-ст,,204063,,,,KSI190000089
,AC,,,,Технический исполнитель,,Постановление Минтруда России от 21.08.1998 N 37,,,,,,KSI190000090
,,ACA,,,Агент,,"Приказ Росстандарта от 16.05.2025 N 423-ст
Постановление Минтруда России от 21.08.1998 N 37",,200001,,,,KSI190000091
,,,,ACA010,Агент по продаже недвижимости,,Приказ Росстандарта от 16.05.2025 N 423-ст,,200014,,,,KSI190000092
,,,,ACA020,Агент по снабжению,,Приказ Росстандарта от 16.05.2025 N 423-ст,,200016,,,,KSI190000093
,,,,ACA030,Агент по операциям с недвижимостью,,ГОСТ Р 10.0.05–2019,,,,,,KSI190000094
,,,,ACA040,Агент по сдаче в эксплуатацию,,ГОСТ Р 10.0.05–2019,,,,,,KSI190000095
,,ACB,,,Делопроизводитель,,Приказ Росстандарта от 16.05.2025 N 423-ст,,200735,,,,KSI190000096
,,ACC,,,Секретарь руководителя,,Приказ Росстандарта от 16.05.2025 N 423-ст,,203468,,,,KSI190000097
,,ACD,,,Чертежник,,Приказ Росстандарта от 16.05.2025 N 423-ст,,204222,,,,KSI190000098
B,,,,,Рабочий,"Производственный персонал, выполняющий одно или более производственных заданий, обеспечивающих достижение поставленной цели в производственной системе",Единый тарифно-квалификационный справочник работ и профессий рабочих,По специальности,,,,,KSI190000099
,BA,,,,Рабочий земляных работ,,,По специализации,,,,,KSI190000100
,,BAA,,,Землекоп,,Приказ Росстандарта от 16.05.2025 N 423-ст,,101287,,,,KSI190000101
,,BAB,,,Рабочий карты намыва,,Приказ Росстандарта от 16.05.2025 N 423-ст,,104188,,,,KSI190000102
,,BAC,,,Рабочий зеленого строительства,,Приказ Росстандарта от 16.05.2025 N 423-ст,,104186,,,,KSI190000103
,,BAD,,,Проходчик на поверхностных работах,,Приказ Росстандарта от 16.05.2025 N 423-ст,,104172,,,,KSI190000104
,,BAE,,,Бурильщик,,"Приказ Минтруда России от 17.04.2025 N 257н 
Распоряжение РЖД от 30.01.2023 № 170р",,,,,,KSI190000444
,,,,BAE010,Бурильщик шпуров,,Приказ Минтруда России от 17.04.2025 N 257н,,,,,,KSI190000445
,,,,BAE020,Бурильщик капитального ремонта скважин,,Распоряжение РЖД от 30.01.2023 № 170р,,,,,,KSI190000446
,,BAF,,,Горнорабочий,,Приказ Минтруда России от 19.01.2017 N 52н,,,,,,KSI190000447
,,,,BAF010,Горнорабочий на геологических работах,,Приказ Минтруда России от 19.01.2017 N 52н,,,,,,KSI190000448
,,,,BAF020,Горнорабочий на маркшейдерских работах,,Приказ Минтруда России от 19.01.2017 N 52н,,,,,,KSI190000449
,,,,BAF030,Горнорабочий очистного забоя,,Приказ Минтруда России от 19.01.2017 N 52н,,,,,,KSI190000450
,,,,BAF040,Горнорабочий по предупреждению и тушению пожаров,,Приказ Минтруда России от 19.01.2017 N 52н,,,,,,KSI190000451
,,,,BAF050,Горнорабочий по ремонту горных выработок,,Приказ Минтруда России от 19.01.2017 N 52н,,,,,,KSI190000452
,,,,BAF060,Горнорабочий подземный,,Приказ Минтруда России от 19.01.2017 N 52н,,,,,,KSI190000453
,,,,BAF070,Горнорабочий разреза,,Приказ Минтруда России от 19.01.2017 N 52н,,,,,,KSI190000454
,,,,BAF080,"Горнорабочий у экскаваторов, отвальных мостов и отвалообразователей",,Приказ Минтруда России от 19.01.2017 N 52н,,,,,,KSI190000455
