Класс,"Тип
(%%)",Наименование стадии,Определение,Источник,Примечание
A,,Инженерные изыскания,"Изучение природных условий и факторов техногенного воздействия в целях рационального и безопасного использования территорий и земельных участков в их пределах, подготовки данных по обоснованию материалов, необходимых для территориального планирования, планировки территории и архитектурно-строительного проектирования",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,
B,,Проектирование,"Создание модели объекта на основе описания этого объекта и (или) алгоритма его функционирования или алгоритма процесса его преобразования, в ряде случаев неоднократного на протяжении всего жизненного цикла объекта, с выдачей заказчику документации, в т.ч. проектной и рабочей документации, позволяющей создать этот объект",ГОСТ Р 58179-2018,
C,,Строительство,"Создание зданий, строений, сооружений (в том числе на месте сносимых объектов капитального строительства)",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,
D,,Эксплуатация,"Комплекс мероприятий по содержанию, обслуживанию и ремонту зданий (сооружений), обеспечивающих их безопасное функционирование и санитарное состояние в соответствии с их функциональным назначением",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,
E,,Реконструкция,"Изменение параметров объекта капитального строительства, связанное с заменой и/или восстановление несущих конструкций и/или влекущее изменение класса, категории и (или) первоначально установленных показателей функционирования",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,Определение синтезировано
F,,Капитальный ремонт,"Изменение параметров объекта капитального строительства, не связанное с заменой и/или восстановлением несущих конструкций и/или не влекущее изменение класса, категории и (или) первоначально установленных показателей функционирования",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,Определение синтезировано
G,,Снос объектов капитального строительства,"Ликвидация объекта капитального строительства путем его разрушения (за исключением разрушения вследствие природных явлений либо противоправных действий третьих лиц), разборки и (или) демонтажа объекта капитального строительства, в том числе его частей",Градостроительный кодекс Российской Федерации от 29.12.2004 N 190-ФЗ,
H ... Z,,Зарезервировано,,,
