Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по ОКПДТР,Примеры,Примечания
A,,,,,Служащий,"Работники, которые по характеру своей деятельности действуют в соответствии с принятыми в компании стандартами, правилами и процедурами, регламентами, методиками выполнения того или иного вида работ, обеспечивающие и обслуживающие деятельность руководителей при выработке и реализации ими управленческих решений, выполняющие административно-управленческие функции",ЕКС,По группе должностей,,,
,AA,,,,Руководитель,"Человек, в трудовые функции которого входит участие в системе управления и в подчинении которого находятся один или более работников, работающих или иных физических лиц","ОКПДТР, ЕКС",По должности,,,
,,AAA,,,Директор организации,,ОКПДТР,,,,
,,,,AAA010,Генеральный директор,,ОКПДТР,,20560,,
,,,,AAA020,Директор,,ОКПДТР,,21447,"управляющий директор
финансовый директор
директор по персоналу
директор по науке",
,,AAB,,,Главный бухгалтер,,ОКПДТР,,20656,,
,,AAC,,,Главный градостроитель,,ЕКС,,,,
,,,,AAC010,"Главный градостроитель (субъекта Российской Федерации, муниципального образования)",,ЕКС,,,,
,,,,AAC020,Главный градостроитель в организации,,ЕКС,,,,
,,,,AAC030,Главный градостроитель проекта,, ,,,,
,,AAD,,,Главный архитектор,,ОКПДТР,,20638,,
,,,,AAD010,Главный ландшафтный архитектор проекта,,ОКПДТР,,20798,,
,,,,AAD020,Главный архитектор проекта,,ОКПДТР,,20641,,
,,AAE,,,Заведующий,,ЕКС,,,,
,,,,AAE010,Заведующий конструкторским отделом,,ЕКС,,,,
,,,,AAE020,Заведующий отделом (бюро) оформления проектных материалов,,ЕКС,,,,
,,,,AAE030,Заведующий чертежно-копировальным бюро,,ОКПДТР,,21924,,
,,AAF,,,Начальник,,ЕКС,,,,
,,,,AAF010,Начальник отдела,,ОКПДТР,,24681,"начальник юридического отдела
начальник отдела кадров
начальник отдела капитального строительства
начальник отдела автоматизации и механизации производственных процессов
начальник отдела комплектации оборудования
начальник отдела контроля качества
начальник производственно-технического отдела
начальник отдела дорожных сооружений
начальник отдела имущественных отношений
начальник отдела организации работ по безопасности дорожного движения
начальник отдела организации работ по содержанию и сохранности автомобильных дорог
начальник отдела подготовки строительства
начальник отдела развития и ремонта автомобильных дорог
начальник отдела размещения государственных заказов
начальник отдела изысканий (комплексного или по видам изысканий)",
,,,,AAF020,Начальник сектора (лаборатории),,ОКПДТР,,24597,,
,,,,AAF030,Начальник службы,,ОКПДТР,,24923,начальник службы качества строительной лаборатории,
,,,,AAF040,Начальник участка,,ОКПДТР,,25081,,
,,AAG,,,Руководитель группы специалистов,,ОКПДТР,,26151,,
,,,,AAG010,Руководитель группы по инвентаризации строений и сооружений,,ОКПДТР,,26154,,
,,,,AAG020,Руководитель строительной лаборатории,,ОКПДТР,,44490,,
,,,,AAG030,Руководитель экспертной группы,,ЕКС,,,,
,,,,AAG040,Руководитель проектной группы,,ОКПДТР,,44490,,
,,AAH,,,Главный инженер,,ОКПДТР,,40759,,
,,,,AAH010,Главный инженер строительной организации,,ЕКС,,,,
,,,,AAH020,Главный инженер проекта,"Первый заместитель управляющего проектом, который осуществляет связь инвестиционного строительного проекта (ИСП) с рынком проектных и инженерных услуг и с органами экспертизы, надзора и контроля хода реализации ИСП",ЕКС,,,,определение синтезировано
,,AAJ,,,BIM-менеджер,"Лицо, ответственное за процесс информационного моделирования в рамках проекта информационного моделирования",ОДМ 218.3.105-2018 ,,,,определение синтезировано
,,AAK,,,BIM-координатор,"Специалист ведущего отдела, отвечающий за BIM-модель и общую координацию проекта",ОДМ 218.3.105-2018,,,,определение синтезировано
,,AAL,,,Менеджер строительства,,ЕКС,,,,
,,AAM,,,Менеджер проекта,,ЕКС,,,,
,,AAN,,,Главный технолог строительной организации,,ЕКС,,,,
,,AAP,,,Главный механик строительной организации,,ОКПДТР,,20818,,
,,AAQ,,,Главный энергетик строительной организации,,ОКПДТР,,21044,,
,,AAR,,,Главный конструктор проекта,,ОКПДТР,,20783,,
,,AAS,,,Главный метролог,,ОКПДТР,,20811,,
,,AAT,,,Заместитель директора по капитальному строительству,,ОКПДТР,,21480,,
,,AAU,,,Производитель работ (прораб),"Руководитель среднего звена, осуществляющий руководство строительством на своем участке, обеспечивающий выполнение заданий по вводу объектов в эксплуатацию в установленные сроки, организующий производство, обеспечивающий соблюдение технологии производства, ведущий учет выполненных работ, оформляющий техническую документацию, участвующий в сдаче объектов в эксплуатацию, устанавливающий производственные задания по объемам строительно-монтажных и пусконаладочных работ, контролирующий их выполнение, в том числе в процессе эксплуатации объектов",ОКПДТР,,25864,,
,,AAV,,,Мастер участка,,ОКПДТР,,23998,,
,AB,,,,Специалист,"Человек, в трудовые функции которого входит участие в системе управления, но не имеющий в подчинении ни одного работника, работающего или иного физического лица",ЕКС,По должности,,,
,,ABA,,,Бухгалтер,,ОКПДТР,, 20336,,
,,ABB,,,Юрисконсульт,,ОКПДТР,,27931,,
,,ABC,,,Документовед,,ОКПДТР,,21792,,
,,ABD,,,Специалист по кадрам,,ЕКС,,,,
,,ABE,,,Специалист инженерного обеспечения территорий,,ОКПДТР,,26583,,
,,ABF,,,Специалист транспортного развития территорий,,ЕКС,,,,
,,ABG,,,Инженер организации,"Специалист, профессионально занимающийся инженерным делом",ЕКС,,,,
,,,,ABG010,Инженер по охране труда,,ОКПДТР,,22659,,
,,,,ABG020,Инженер,,ЕКС,,,,
,,,,ABG030,Инженер по подготовке кадров,,ОКПДТР,,22675,,
,,,,ABG040,Инженер-технолог строительной организации,,ЕКС,,,,
,,,,ABG050,Инженер-конструктор,,ОКПДТР,,22491,,
,,,,ABG060,Инженер-проектировщик,,ОКПДТР,,22827,,
,,,,ABG070,Инженер по качеству,,ОКПДТР,,22583,,
,,,,ABG080,Инженер по строительному контролю,,ЕКС,,,,
,,,,ABG090,Инженер строительной лаборатории,,ОКПДТР,,42499,,
,,,,ABG100,Инженер-сметчик,,ОКПДТР,,22696,,
,,ABJ,,,Архитектор,"Специалист в области архитектуры, создающий здания и комплексы зданий, а также города в соответствии с функциональными, конструктивными и эстетическими ",ОКПДТР,,20196,,
,,,,ABJ010,Ландшафтный архитектор,,ОКПДТР,,23705,,
,,,,ABJ020,Архитектор организации,,ЕКС,,,,
,,ABK,,,Градостроитель проекта,,ЕКС,,,,
,,ABL,,,Эксперт,,ОКПДТР,,27779,,
,,,,ABL010,Строительный эксперт,,ЕКС,,,,
,,,,ABL020,Эксперт-эколог градостроительства,,ЕКС,,,,
,,,,ABL030,Эколог градостроительства,,ЕКС,,,,
,,,,ABL040,Эксперт-социолог градостроительства,,ЕКС,,,,
,,,,ABL050,Эксперт транспортного развития территорий,,ЕКС,,,,
,,,,ABL060,Эксперт-экономист градостроительства,,ЕКС,,,,
,,,,ABL070,Эксперт инженерного обеспечения территории,,ЕКС,,,,
,,ABM,,,Социолог градостроительства,,ЕКС,,,,
,,ABN,,,Экономист градостроительства,,ЕКС,,,,
,,ABP,,,Механик,,ОКПДТР,,24110,,
,,ABQ,,,Главный специалист,,ОКПДТР,,20889,,
,,,,ABQ010,Главный специалист в отделе (архитектурно-планировочной мастерской),,ЕКС,,,,
,,,,ABQ020,Главный специалист в отделе инженерных изысканий,,ЕКС,,,,
,,ABR,,,Техник,,ОКПДТР,,26927,,
,,,,ABR010,Техник организации,,ЕКС,,,,
,,,,ABR020,Техник-проектировщик,,ОКПДТР,,27102,,
,,ABS,,,Ведущий инженер отдела (комплексного или по видам инженерных изысканий),,ЕКС,,,,
,,ABT,,,Лаборант,,ОКПДТР,,23690,,
,,ABU,,,Буровой мастер,,ОКПДТР,,23806,,
,,ABV,,,Топограф,,ОКПДТР,,27159,,
,,ABW,,,Старший топограф,,ОКПДТР,,27159,,
,AC,,,,Технический исполнитель,,ЕКС,,,,
,,ACA,,,Агент,,ЕКС,,,,
,,,,ACA010,Агент по продаже недвижимости,,ОКПДТР,,20026,,
,,,,ACA020,Агент по снабжению,,ОКПДТР,,20031,,
,,ACB,,,Делопроизводитель,,ОКПДТР,,21299,,
,,ACC,,,Секретарь руководителя,,ОКПДТР,,26341,,
,,ACD,,,Чертежник,,ОКПДТР,,27530,,
B,,,,,Рабочий,"Производственный персонал, выполняющий одно или более производственных заданий, обеспечивающих достижение поставленной цели в производственной системе","ОКПДТР, ЕТКС",По специальности,,,
,BA,,,,Рабочий земляных работ,,ОКПДТР,По специализации,,,
,,BAA,,,Землекоп,,ОКПДТР,,12266,,
,,BAB,,,Рабочий карты намыва,,ОКПДТР,,17532,,
,,BAC,,,Рабочий зеленого строительства,,ОКПДТР,,17530,,
,,BAD,,,Проходчик на поверхностных работах,,ОКПДТР,,17495,,
,BB,,,,Рабочий по производству и укладке бетонных смесей и растворов,,ОКПДТР,По специализации,,,
,,BBA,,,Бетонщик,,ОКПДТР,,11196,,
,,BBB,,,Цементатор,,ОКПДТР,,19526,,
,,BBC,,,Известегасильщик,,ОКПДТР,,12282,,
,BC,,,,Рабочий по устройству каменных конструкций,,ОКПДТР,По специализации,,,
,,BCA,,,Каменщик,,ОКПДТР,,12680,,
,,BCB,,,Печник,,ОКПДТР,,16600,,
,BD,,,,Рабочий управляющий машинами и механизмами,,"ОКПДТР, ЕТКС",По специализации,,,
,,BDA,,,Копровщик,,ОКПДТР,,13121,,
,,BDB,,,Бункеровщик,,ОКПДТР,,11289,,
,,BDC,,,Лебедчик,,ОКПДТР,,13361,,
,,BDD,,,Водитель,,ОКПДТР,,11442,,
,,,,BDD010,Водитель вездехода,,ОКПДТР,,11447,,
,,,,BDD020,Водитель погрузчика,,ОКПДТР,,11453,,
,,BDE,,,Машинист,,ЕТКС,По виду машины,,,
,,,BDEA,,Машинист землеройной машины,,ОКПДТР,,13734,,
,,,,BDEA010,Машинист экскаватора,,ОКПДТР,,14388,,
,,,,BDEA020,Машинист дренажной машины,,ОКПДТР,,13706,,
,,,,BDEA030,Машинист землеройно-фрезерной самоходной машины,,ОКПДТР,,13734,,
,,,,BDEA040,Машинист автогрейдера,,ОКПДТР,,13509,,
,,,,BDEA050,Машинист автоямобура,,ОКПДТР,,13532,,
,,,,BDEA060,Машинист бульдозера,,ОКПДТР,,13583,,
,,,,BDEA070,Машинист гидромониторно-эжекторного плавучего несамоходного снаряда,,ОКПДТР,,13662,,
,,,,BDEA080,Машинист грейдера прицепного,,ОКПДТР,,13681,,
,,,,BDEA090,Машинист грейдер-элеватора,,ОКПДТР,,13683,,
,,,,BDEA100,Машинист землесосного плавучего несамоходного снаряда,,ОКПДТР,,13736,,
,,,,BDEA110,Машинист скрепера,,ОКПДТР,,14184,,
,,,BDEB,,Машинист машины для устройства свайного фундамента,,ЕТКС,,,,
,,,,BDEB010,Машинист вибровдавливающего погружателя свай самоходного,,ОКПДТР,,13620,,
,,,,BDEB020,Машинист вибропогружателя бескопрового,,ОКПДТР,,13622,,
,,,,BDEB030,Машинист копра,,ОКПДТР,,13783,,
