Класс,Подкласс 1,Подкласс 2,Подкласс 3,Тип (%%),Наименование,Определение,Источник,Критерии определения подклассов,Код класса по ОКПДТР,Примеры,Примечания
,,,,BDEB040,Машинист дизель-молота бескопрового,,ОКПДТР,,13694,,
,,,BDEC,,Машинист подъемной машины,,ОКПДТР,,14021,,
,,,,BDEC010,Машинист автовышки и автогидроподъемника,,ОКПДТР,,13507,,
,,,,BDEC020,Машинист крана автомобильного,,ОКПДТР,,13788,,
,,,,BDEC030,Машинист подъемника строительного,,ЕТКС,,,,
,,,,BDEC040,Машинист крана (крановщик),,ОКПДТР,,13790,,
,,,,BDEC050,Машинист подъемно-передвижных подмостей,,ОКПДТР,,14023,,
,,,BDED,,Машинист машины по производству и укладке бетонной смеси,,ЕТКС,,,,
,,,,BDED010,Машинист автобетононасоса,,ОКПДТР,,13505,,
,,,,BDED020,Машинист бетоносмесителя передвижного,,ОКПДТР,,13564,,
,,,,BDED030,Машинист бетоноукладчика,,ОКПДТР,,13565,,
,,,,BDED040,Машинист распределителя цемента аэрационного самоходного,,ОКПДТР,,14114,,
,,,,BDED050,Машинист распределителя цемента гравитационного прицепного,,ОКПДТР,,14115,,
,,,,BDED060,Машинист растворонасоса,,ОКПДТР,,14117,,
,,,,BDED070,Машинист растворосмесителя передвижного,,ОКПДТР,,14119,,
,,,BDEE,,Машинист погрузочно-разгрузочной машины,,ЕТКС,,,,
,,,,BDEE010,Машинист автомобилеразгрузчика,,ОКПДТР,,13527,,
,,,,BDEE020,Машинист вагоноопрокидывателя,,ОКПДТР,,13598,,
,,,,BDEE030,Машинист перегружателя,,ОКПДТР,,13977,,
,,,BDEF,,Машинист машины дорожно-строительного комплекса,,ЕТКС,,,,
,,,,BDEF010,Машинист машины для укладки дорожных бордюров,,ЕТКС,,,,
,,,,BDEF020,Машинист машины для устройства защитных шероховатых слоев дорожных покрытий,,ЕТКС,,,,
,,,,BDEF030,Машинист машины для устройства укрепительных полос,,ОКПДТР,,13860,,
,,,,BDEF040,Машинист машины для устройства швов при выполнении дорожных работ,,ОКПДТР,,13862,,
,,,,BDEF050,Машинист маркировочной машины для разметки автомобильных дорог,,ОКПДТР,,13832,,
,,,,BDEF060,Машинист уплотняющей и планировочно-уплотняющей машины,,ОКПДТР,,14291,,
,,,,BDEF070,Машинист автогудронатора,,ОКПДТР,,13511,,
,,,,BDEF080,Машинист планировщика,,ЕТКС,,,,
,,,,BDEF090,Машинист профилировщика,,ОКПДТР,,14082,,
,,,,BDEF100,Машинист катков самоходных и полуприцепных на пневматических шинах,,ОКПДТР,,13753,,
,,,,BDEF110,Машинист катка самоходного с гладкими вальцами,,ОКПДТР,,13755,,
,,,,BDEF120,Машинист смесителя асфальтобетона передвижного,,ОКПДТР,,14199,,
,,,,BDEF130,Машинист укладчика асфальтобетона,,ОКПДТР,,14288,,
,,,,BDEF140,Машинист фрезы дорожной,,ЕТКС,,,,
,,,,BDEF150,Машинист щебнераспределителя,,ЕТКС,,,,
,,,,BDEF160,Машинист ремиксера,,ЕТКС,,,,
,,,,BDEF170,Машинист ресайклера (холодного),,ЕТКС,,,,
,,,,BDEF180,Машинист финишера,,ОКПДТР,,14324,,
,,,,BDEF190,Машинист машины для нанесения пленкообразующей жидкости,,ОКПДТР,,13856,,
,,,,BDEF200,Машинист автобетонолома,,ОКПДТР,,13503,,
,,,,BDEF210,Машинист ледорезной машины,,ОКПДТР,,13817,,
,,,,BDEF220,Машинист заливщика швов,,ЕТКС,,,,
,,,,BDEF230,Машинист нарезчика швов самоходного,,ОКПДТР,,13904,,
,,,BDEG,,Машинист машины для строительства и ремонта трубопроводов,,ЕТКС,,,,
,,,,BDEG010,Машинист машины для изоляции газонефтепродуктопроводов,,ОКПДТР,,13853,,
,,,,BDEG020,Машинист трубоочистительной машины,,ОКПДТР,,14275,,
,,,,BDEG030,Машинист трубоукладчика,,ОКПДТР,,14277,,
,,,BDEH,,Машинист машины для общестроительных работ,,ЕТКС,,,,
,,,,BDEH010,Машинист бурильно-крановой самоходной машины,,ОКПДТР,,13589,,
,,,,BDEH020,Машинист автокомпрессора,,ОКПДТР,,13515,,
,,,,BDEH030,Машинист гидросеялки самоходной,,ОКПДТР,,13668,,
,,,,BDEH040,Машинист электролебедки,,ОКПДТР,,14407,,
,,,,BDEH050,Машинист электростанции передвижной,,ОКПДТР,,14413,,
,,,,BDEH060,Машинист газодувных машин,,ОКПДТР,,13652,,
,,,,BDEH070,Машинист двигателей внутреннего сгорания,,ОКПДТР,,13689 ,,
,,,,BDEH080,Машинист моечных машин,,ОКПДТР,,13891,,
,,,BDEJ,,Машинист компрессора,,ЕТКС,,,,
,,,,BDEJ010,Машинист компрессора для подачи воздуха водолазам,,ОКПДТР,,13769,,
,,,,BDEJ020,Машинист компрессора передвижного,,ОКПДТР,,13771,,
,,,BDEK,,Машинист оборудования,,ЕТКС,,,,
,,,,BDEK010,Машинист механизированного оборудования по подъему подвижной (скользящей) опалубки,,ОКПДТР,,13878,,
,,,,BDEK020,Машинист механического оборудования землесосных плавучих несамоходных снарядов и грунтонасосных установок,,ОКПДТР,,13884,,
,,,,BDEK030,Машинист механизированного натяжного устройства для изготовления напряженно- армированных конструкций,,ОКПДТР,,13876,,
,,,,BDEK040,Машинист электрического оборудования землесосных плавучих несамоходных снарядов и грунтонасосных установок,,ОКПДТР,,14397,,
,,,BDEL,,Машинист установки,,ЕТКС,,,,
,,,,BDEL010,Машинист вентиляционной и аспирационной установок,,ОКПДТР,,13616,,
,,,,BDEL020,Машинист воздухоразделительной установки,,ОКПДТР,,13631,,
,,,,BDEL030,Машинист компрессорной установки,,ОКПДТР,,13775,,
,,,,BDEL040,Машинист насосной установки,,ОКПДТР,,13910,,
,,,,BDEL050,Машинист баровой установки,,ОКПДТР,,13558,,
,,,,BDEL060,Машинист бетононасосной установки,,ОКПДТР,,13562,,
,,,,BDEL070,Машинист битумоплавильной передвижной установки,,ОКПДТР,,13569,,
,,,,BDEL080,Машинист вакуумной установки,,ОКПДТР,,13600,,
,,,,BDEL090,Машинист контактносварочной установки передвижной для сварки магистральных газонефтепродуктопроводов,,ОКПДТР,,13781,,
,,,,BDEL100,Машинист установки мобильной по сортировке и приготовлению минеральных материалов для устройства защитных слоев покрытия,,ЕТКС,,,,
,,,,BDEL110,Машинист установки передвижной автоматизированной непрерывного действия для приготовления бетонной смеси,,ОКПДТР,,14293,,
,,,,BDEL120,Машинист установки по продавливанию и горизонтальному бурению грунта,,ОКПДТР,,14303,,
,,,,BDEL130,Машинист холодильной установки,,ОКПДТР,,14341,,
,,,,BDEL140,Машинист холодильной установки по замораживанию грунтов,,ОКПДТР,,14339,,
,,,,BDEL150,Машинист трубогибочной установки передвижной,,ОКПДТР,,14273,,
,,,BDEM,,Машинист станции,,ОКПДТР,,,,
,,,,BDEM010,Машинист малярной станции передвижной,,ОКПДТР,,13830,,
,,,,BDEM020,Машинист штукатурной станции передвижной,,ОКПДТР,,14379,,
,,,,BDEM030,Машинист газогенераторной станции,,ОКПДТР,,13650,,
,,,BDEN,,Машинист агрегата,,ЕТКС,,,,
,,,,BDEN010,Машинист агрегата безвоздушного распыления высокого давления,,ОКПДТР,,13534,,
,,,,BDEN020,"Машинист мобильного комплекса, оснащенного агрегатами для приготовления растворов и цементо- бетонных смесей",,ЕТКС,,,,
,,,,BDEN030,Машинист электросварочного передвижного агрегата с двигателем внутреннего сгорания,,ОКПДТР,,14411,,
,,BDF,,,Моторист,,ЕТКС,,,,
,,,,BDF010,Моторист механической лопаты,,ОКПДТР,,14720,,
,,,,BDF020,Моторист электродвигателей,,ОКПДТР,,14757,,
,,BDG,,,Оператор,,ЕТКС,,,,
,,,,BDG010,Оператор акустических испытаний,,ОКПДТР,,15503,,
,,,,BDG020,Оператор заправочных станций,,ОКПДТР,,15594,,
,,,,BDG030,Оператор механизированных и автоматизированных складов,,ОКПДТР,,15705,,
,,,,BDG040,Оператор осциллографирования и тензометрирования,,ОКПДТР,,15778,,
,,,,BDG050,Оператор платформы подъемной,,ЕТКС,,,,
,,,,BDG060,Оператор по обслуживанию пылегазоулавливающих установок,,ОКПДТР,,15860,,
,,,,BDG070,Оператор теплового пункта,,ОКПДТР,,16067,,
,,BDH,,,Тракторист,,ОКПДТР,,19203,,
,,BDJ,,,Транспортерщик,,ОКПДТР,,19213,,
,BE,,,,Монтажник,,"ОКПДТР, ЕТКС",По специализации,,,
,,BEA,,,Монтажник гидроагрегатов,,ОКПДТР,,14554,,
,,BEB,,,Монтажник дробильно-размольного оборудования и оборудования для сортировки и обогащения,,ОКПДТР,,14558,,
,,BEC,,,Монтажник микропроцессорной и волоконно-оптической техники,,ЕТКС,,,,
,,BED,,,Монтажник наружных трубопроводов,,ОКПДТР,,14571,,
,,BEE,,,Монтажник оборудования атомных электрических станций,,ОКПДТР,,14575,,
,,BEF,,,Монтажник оборудования блокировки и централизации,,ОКПДТР,,14577,,
,,BEG,,,Монтажник оборудования коксохимических производств,,ОКПДТР,,14582,,
,,BEH,,,Монтажник оборудования металлургических заводов,,ОКПДТР,,14587,,
,,BEJ,,,Монтажник оборудования связи,,ОКПДТР,,14601,,
,,BEK,,,Монтажник оборудования сортировочных горок,,ОКПДТР,,14603,,
,,BEL,,,Монтажник по монтажу стальных и железобетонных конструкций,,ОКПДТР,,14612,,
,,BEM,,,"Монтажник приборов и аппаратуры автоматического контроля, регулирования и управления",,ОКПДТР,,14614,,
,,BEN,,,Монтажник санитарно-технических систем и оборудования,,ОКПДТР,,14622,,
,,BEP,,,Монтажник связи,,ОКПДТР,,,,
,,,,BEP010,Монтажник связи - антеннщик,,ОКПДТР,,14624,,
,,,,BEP020,Монтажник связи - кабельщик,,ОКПДТР,,14626,,
,,,,BEP030,Монтажник связи - линейщик,,ОКПДТР,,14627,,
,,,,BEP040,Монтажник связи - спайщик,,ОКПДТР,,14629,,
,,BEQ,,,Монтажник сельскохозяйственного оборудования,,ОКПДТР,,14633,,
,,BER,,,"Монтажник систем вентиляции, кондиционирования воздуха, пневмотранспорта и аспирации",,ОКПДТР,,14635,,
,,BES,,,Монтажник строительных машин и механизмов,,ОКПДТР,,14637,,
,,BET,,,Монтажник технологического оборудования и связанных с ним конструкций,,ОКПДТР,,14642,,
,,BEU,,,Монтажник технологических трубопроводов,,ОКПДТР,,14641,,
,,BEV,,,Монтажник турбоустановок,,ЕТКС,,,,
,,BEW,,,Монтажник шахтного оборудования на поверхности,,ОКПДТР,,14652,,
,,BEX,,,Монтажник электрических подъемников (лифтов),,ОКПДТР,,14656,,
,,BEY,,,Монтажник горного оборудования,,ОКПДТР,,14556,,
,BF,,,,Рабочий такелажных работ,,ОКПДТР,По специализации,,,
,,BFA,,,Такелажник,,ОКПДТР,,19081,,
,,,,BFA010,Такелажник на монтаже,,ОКПДТР,,19083,,
,,BFB,,,Транспортировщик,,ОКПДТР,,19217,,
,,BFC,,,Стропальщик,,ОКПДТР,,18897,,
,BG,,,,Арматурщик,,"ОКПДТР, ЕТКС",,11122,,
,BH,,,,Рабочий отделочных работ,,,По специализации,,,
,,BHA,,,Камнетес,,ОКПДТР,,12690,,
,,BHB,,,Стекольщик,,ОКПДТР,, 18859,,
,,BHC,,,Штукатур,,ОКПДТР,,19727,,
,,BHD,,,Пескоструйщик,,ОКПДТР,,36541,,
,,BHE,,,Паркетчик,,ОКПДТР,, 16445,,
,,BHF,,,Облицовщик,,ЕТКС,,,,
,,,,BHF010,Облицовщик-мозаичник,,ОКПДТР,,15214,,
,,,,BHF020,Облицовщик-мраморщик,,ОКПДТР,,15216,,
,,,,BHF030,Облицовщик-плиточник,,ОКПДТР,,15220,,
,,,,BHF040,Облицовщик-полировщик,,ОКПДТР,,15222,,
,,,,BHF050,Облицовщик синтетическими материалами,,ОКПДТР,,15224,,
,,BHG,,,Модельщик архитектурных деталей,,ОКПДТР,,14480,,
,,BHH,,,Лепщик архитектурных деталей,,ОКПДТР,,13370,,
,,BHJ,,,Маляр,,ОКПДТР,,13450,,
,,,,BHJ010,Маляр строительный,,ЕТКС,,,,
,BJ,,,,"Рабочий по устройству защиты строительных конструкций, зданий, сооружений и технологического оборудования",,"ОКПДТР, ЕТКС",По специализации,,,
,,BJA,,,Кислотоупорщик,,ЕТКС,,,,
,,,,BJA010,Футеровщик (кислотоупорщик),,ОКПДТР,,19496,,
,,,,BJA020,Кислотоупорщик-гуммировщик,,ОКПДТР,,12753,,
,,,,BJA030,Кислотоупорщик-винипластчик,,ОКПДТР,,12751,,
,,BJB,,,Пропитчик по огнезащитной пропитке,,ОКПДТР,,17436,,
,,BJC,,,Изолировщик,,ОКПДТР,,12520,,
,,,,BJC020,Изолировщик на гидроизоляции,,ОКПДТР,,12529,,
,,,,BJC030,Изолировщик на термоизоляции,,ОКПДТР,,12531,,
,,,,BJC040,Изолировщик-пленочник,,ОКПДТР,,12533,,
,,BJD,,,Огнеупорщик,,ОКПДТР,,15416,,
,,BJE,,,Кровельщик,,ЕТКС,,,,
,,,,BJE010,Кровельщик по рулонным кровлям и по кровлям из штучных материалов,,ОКПДТР,,13201,,
,,,,BJE020,Кровельщик по стальным кровлям,,ОКПДТР,,13203,,
,BK,,,,Рабочий сварочного производства,,"ОКПДТР, ЕТКС",По специализации,,,
,,BKA,,,Оператор-термист на передвижных термических установках,,ОКПДТР,,16071,,
,,BKB,,,Газорезчик,,ОКПДТР,,11618,,
,,BKC,,,Сварщик,,ЕТКС,,,,
,,,,BKC010,Газосварщик,,ОКПДТР,,11620,,
,,,,BKC020,Электрогазосварщик,,ОКПДТР,,19756,,
,,,,BKC030,Электросварщик ручной сварки,,ОКПДТР,,19906,,
,,,,BKC040,Сварщик на машинах контактной (прессовой) сварки,,ОКПДТР,,18338,,
,,BKD,,,Контролер сварочных работ,,ОКПДТР,,13057,,
,,BKE,,,Паяльщик по свинцу (свинцовопаяльщик),,ОКПДТР,,16462,,
,BL,,,,Кессонщик,,ОКПДТР,По специализации,,,
,,BLA,,,Кессонщик-аппаратчик,,ОКПДТР,,12736,,
,,BLB,,,Кессонщик-проходчик,,ОКПДТР,,12738,,
,,BLC,,,Кессонщик-слесарь,,ОКПДТР,,12740,,
,,BLD,,,Кессонщик-электромонтажник,,ОКПДТР,,12741,,
,BM,,,,Плотник,,ОКПДТР,,16671,,
,BN,,,,Рабочий занятый на электромонтажных работах,,"ОКПДТР, ЕТКС",По специализации,,,
,,BNA,,,Электромонтер,,ЕТКС,,,,
,,,,BNA010,Электромонтер диспетчерского оборудования и телеавтоматики,,ОКПДТР,,19821,,
,,,,BNA020,Электромонтер по обслуживанию электрооборудования,,ОКПДТР,,19848,,
,,,,BNA030,Электромонтер по ремонту и обслуживанию электрооборудования,,ОКПДТР,,19861,,
,,,,BNA040,Электромонтер по ремонту электрооборудования,,ЕТКС,,,,
,,BNB,,,Электромонтажник,,ЕТКС,,,,
,,,,BNB010,Электромонтажник-наладчик,,ОКПДТР,,19798,,
,,,,BNB020,Электромонтажник по аккумуляторным батареям,,ОКПДТР,,19800,,
,,,,BNB030,Электромонтажник по кабельным сетям,,ОКПДТР,,19804,,
,,,,BNB040,Электромонтажник по освещению и осветительным сетям,,ОКПДТР,,19806,,
,,,,BNB050,Электромонтажник по распределительным устройствам и вторичным цепям,,ОКПДТР,,19802,,
,,,,BNB060,"Электромонтажник по сигнализации, централизации и блокировке",,ОКПДТР,,19890,,
,,,,BNB070,Электромонтажник по силовым сетям и электрооборудованию,,ОКПДТР,,19812,,
,,,,BNB080,Электромонтажник по электрическим машинам,,ОКПДТР,,19814,,
,,,,BNB090,Электромонтер-линейщик по монтажу воздушных линий высокого напряжения и контактной сети,,ОКПДТР,,19829,,
,BP,,,,Электромеханик,,"ОКПДТР, ЕТКС",По специализации,,,
,,BPA,,,Электромеханик по лифтам,,ОКПДТР,,19778,,
,,BPB,,,Электромеханик по эксплуатации и обслуживанию подъемных платформ для инвалидов,,ЕТКС,,,,
,,BPC,,,"Электромеханик по эксплуатации, техническому обслуживанию и ремонту эскалаторов и пассажирских конвейеров",,ЕТКС,,,,
,BQ,,,,Рабочий дорожного строительства,,ОКПДТР,По специализации,,,
,,BQA,,,Асфальтобетонщик ,,ОКПДТР,,11140,,
,,BQB,,,Асфальтобетонщик-варильщик,,ОКПДТР,,11141,,
,,BQC,,,Дорожный рабочий,,ОКПДТР,,11889,,
,,BQD,,,Мостовщик,,ОКПДТР,,14703,,
,BR,,,,Слесарь,,ОКПДТР,По специализации,,,
,,BRA,,,"Слесарь по изготовлению деталей и узлов систем вентиляции, кондиционирования воздуха, пневмотранспорта и аспирации",,ОКПДТР,,18483,,
,,BRB,,,Слесарь по изготовлению узлов и деталей санитарно-технических систем,,ОКПДТР,,18489,,
,,BRC,,,Слесарь по изготовлению узлов и деталей технологических трубопроводов,,ОКПДТР,,18492,,
,,BRD,,,Слесарь строительный,,ОКПДТР,,18576,,
